3s 臣司马仪叩见吴皇。
1121s 势力大增。
1123s 天下之父,
1129s 那里土地肥沃,
1131s 物产丰盛,
1132s 足可养兵五十万啊。
1135s 更重要的是,
1136s 京州四通八达。
1139s 若是从京州起兵,
1141s 无论南征还是北伐,
1143s 车船步马,
1145s 皆可日行百里。
1147s 可是,
1148s 川蜀五十一县,
1150s 川蜀北伐,
1154s 山川仙阁,
1156s 遥遥两千余里啊。
1159s 主公正在殿堂歇息,
1168s 传命不可经扰。
1171s 闪开!
1174s 我们先前得的优势,
1176s 都随京州之变而失去了。
1179s 曹孙留三方,
1182s 又反悔相吃不下之事啊。
1187s 公有何事啊?
1198s 主公,
1199s 军师,
1201s 曹匹,
1207s 逼天子善让,
1209s 开国改元,
1210s 自立为帝。
1212s 天子,
1213s 北非以后,
1215s 被念出徐都,
1218s 途中,
1220s 船,
1222s 沉于长水。
1225s 主公,
1227s 四百年大旱哪,
1230s 忘了。
1232s 是难以避免之事,
1241s 你要保重啊。
1243s 天儿,
1246s 我二弟刚走,
1251s 天子竟有当,
1254s 我刘备毕生征战,
1261s 只为扶住汉室。
1265s 而今,
1267s 汉室不存啊,
1271s 天子,
1272s 没留世子孙,
1279s 又有何用?
1282s 功名大业,
1286s 又有何用?
1289s 主公,
1297s 恩刘备,
1305s 叩拜大行皇帝。
1308s 你命苦,
1337s 自幼,
1340s 饱受群贼领悟,
1343s 既而在,
1345s 曹操挟制,
1347s 最后,
1349s 竟死于贼子曹批之上,
1353s 仇未报,
1355s 恨未雪,
1358s 国破御远,
1361s 乾坤伦扫。
1364s 这都怪臣无能啊,
1370s 臣身为皇叔,
1373s 奉陛下写诏,
1375s 讨贼兴汉。
1378s 可是这么多年过去,
1380s 却没有完成陛下的信。
1384s 臣有父皇恩,
1387s 罪不可赦,
1391s 更无言,
1392s 见刘氏先祖。
1395s 向天立誓,
1410s 天子随王,
1414s 汉业尤存,
1416s 承继汉室伪业,
1425s 绞尽天下逆贼,
1428s 再造大汉。
1430s 主公节哀,
1433s 请问主公
1435s 准备如何承继大汉伪业?
1438s 主公啊,
1449s 天子已经遍天了,
1451s 可江山却不可一日无主。
1454s 既然曹操逆子曹批
1456s 都已建居帝位了,
1459s 那主公
1460s 更应该继承大汉伪业,
1463s 进帝位,
1464s 号令天下。
1467s 子龙将军说得对,
1471s 汉贼不两立,
1473s 王爷不偏安,
1474s 主公只有成帝
1476s 才能继承大汉伪业。
1478s 臣号请主公
1481s 建升帝位。
1483s 放肆!
1484s 我孝福在身,
1492s 你们就要
1493s 陷我不忠不义吗?
1495s 主公,
1498s 曹批已篡汉自立,
1501s 主公是汉氏皇屹,
1503s 理应继统,
1505s 一言汉思。
1507s 子龙啊,
1509s 我身为汉臣,
1512s 岂能效仿逆贼所为?
1515s 禀主公,
1519s 天子已被曹批所示,
1522s 王上如不及帝位,
1524s 何以率天师讨逆?
1527s 再者,
1528s 天下子民
1530s 盼主公顺天即位,
1532s 如大汉望甘林,
1534s 主公如果居于礼法,
1536s 国族不尽,
1537s 在下恐怕有失民望也。
1541s 你篡位称帝,
1557s 已遭天下人辱骂。
1559s 我虽为汉帝玄孙,
1562s 可一无恩责不失天下,
1566s 二无尽灭贼服汉之功。
1570s 如果我自立称帝,
1572s 那岂不是成了曹批第二?
1575s 赐海人人志士,
1577s 官吏百姓,
1579s 该如何看待?
1581s 主公,
1582s 众将士跟随主公
1584s 征战多年,
1585s 居无定所,
1586s 他们也期望主公
1587s 成了皇孙正统啊。
1589s 好你个未言!
1591s 此话说得爽快,
1593s 我一听便知何意。
1597s 想让我称帝,
1599s 无非是想让你们
1601s 各自得到分封!
1603s 若是这样,
1604s 我就更加地不能称帝!
1606s 称帝之事,
1616s 我宁死不从。
1618s 再言必发!
1620s 遵命!
1622s 主公!
1630s 军师,
1640s 今百官全集,
1642s 都是忠言呢?
1644s 为何主公
1645s 发这么大的谎?
1647s 主公生气了,
1649s 看来此事有希望了。
1652s 哦?
1653s 禀军师,
1654s 殿下口谕,
1657s 我病体未愈,
1658s 暂难离证。
1660s 即日起,
1661s 川汉所有证物
1662s 截绝于诸葛亮,
1663s 请可自立,
1664s 不必奏报。
1666s 回禀主公,
1667s 诸葛亮领命。
1669s 军师,
1670s 这又是怎么回事?
1674s 看来主公真是生气了。
1676s 郑芳啊。
1681s 军师。
1696s 那天祭奠大行皇帝时,
1699s 众文武都劝主公敬畏。
1702s 你为何不开口啊?
1705s 回军师的话,
1707s 那天在朝中,
1709s 有很多众臣都已经说了,
1712s 下官就不必多言了。
1715s 坐吧。
1719s 谢军师。
1720s 郑芳啊,
1722s 你对我太恭敬了,
1724s 恭敬得让我不得不想,
1726s 李焉为何对我那么恭敬呢?
1729s 下官对军师的恭敬,
1733s 完全是出于
1734s 对军师的仰慕之情啊。
1738s 不必不必。
1740s 你我共同为主公效力,
1742s 还是随和些的好。
1744s 这样你舒服,
1746s 我也舒服。
1747s 是,
1748s 军师。
1749s 军师,
1750s 你怎么了?
1751s 管不过气来。
1752s 快来人,
1762s 快传医官。
1766s 高祖为人,
1768s 龙,
1771s 龙,
1775s 龙准而龙言。
1777s 龙准而龙言。
1779s 龙准而龙言。
1781s 龙准而龙言。
1785s 梅,
1787s 梅,
1789s 梅虚然。
1791s 梅,
1793s 梅虚然。
1795s 梅虚然。
1796s 左骨有七十二黑子。
1800s 人,
1801s 而爱人。
1803s 不对,
1804s 不,
1805s 不,
1806s 不,
1807s 不,
1808s 不,
1811s 不,
1812s 不,
1813s 因为了三天了,
1815s 怎么就记得这几句?
1818s 孩儿是在这太笨了。
1820s 笨?
1821s 醋�onen头胡百戏?
1824s 那些为何你一掌会
1826s 我来what.
1841s 打二十。
1850s 轻兄父亲打轻点。
1852s 昨天刚打过的,
1854s 手还肿了呢。
1857s 诸国。
1858s 诸佛不过。
1861s 世子手还 draft着,
1862s 暂且先记下吧。
1864s 下去吧,
1869s 戒指背诵
1871s 明日我再检查
1872s 知道了 母亲
1887s 我百年以后
1890s 他该怎么办
1891s 世子年幼
1895s 长大些就好了
1896s 但愿如你所言
1898s 你跟了我二十几年了
1908s 在下是
1910s 中平三年
1911s 追随主公
1912s 算起来
1913s 二十三年了
1919s 一晃二十三年过去了
1924s 昔日帐下的兄弟
1927s 算来没几个了
1938s 时不我带呀
1943s 是孔明让你说的
1945s 不
1947s 是在下的心愿
1952s 在下
1952s 让我想一想
1970s 主公
1971s 军师急患病症
1973s 卧床不起
1974s 王府政务都积压着
1977s 无人敢绝呀
1979s 军师病重
1982s 快备车 我去探望
1984s 诺
1989s 愿随我去吗
1992s 不了
1993s 我去了 你俩不必
2023s 犯得如此重
2026s 胸口如鸭食块
2029s 郁闷难受啊
2032s 迎合而起
2033s 主公知道华兴这个人吗
2040s 知道
2042s 曹匹心腹重臣
2045s 逼天子的善让
2047s 他为首恶
2049s 曹匹封他为相国
2051s 当年华兴
2053s 与管宁同席读书
2055s 有高官过节
2058s 管宁读书已久
2061s 而华兴却抛下手中书卷
2064s 出外观看
2066s 待他回来时
2068s 只见管宁挥刀
2070s 割开作息
2071s 月子飞无影
2075s 管宁割席断翼的故事
2078s 我也听说过
2080s 现在
2082s 华兴所作喧灭
2085s 比当时看到的更华丽
2087s 更气派
2089s 而管宁呢
2091s 他一直在读书
2096s 这华兴管宁二人
2099s 谁忧谁虑
2102s 这还用说吗
2104s 管宁是君子
2106s 华兴小人意
2109s 臣与华兴比呢
2112s 天地玄首不可比
2115s 可华兴请曹匹称帝
2119s 曹匹从了
2121s 臣劝主公敬畏
2125s 主公不从了
2131s 就算华兴是小人
2133s 曹匹不是
2136s 他建居帝位
2138s 是明智之举
2140s 他想和主公争天下
2143s 就必须篡位自立
2146s 这么做
2148s 并不是曹匹贪婪
2150s 而是时势所需所迫
2153s 主公如想
2154s 成敬大汉帝位
2157s 就必须称帝
2163s 我对你有一个疑问
2168s 请主公示旨
2170s 当初
2173s 我敬畏汉中王时
2176s 你内心
2178s 都并不很赞同
2181s 今日
2182s 为何又要劝我称帝了呢
2188s 原来这个问题
2191s 在主公心里压了两年
2194s 主公为何不早点
2197s 当年我劝主公不要称王
2201s 是我过于谨慎
2203s 我怕三军将士骄狂至弃
2205s 因此而生
2207s 而现在
2208s 我劝主公称帝
2210s 是不称不行啊
2212s 如果主公不称帝
2214s 那么天底下
2215s 就只有一个皇帝
2217s 曹匹
2219s 因为汉庭已经不存在了
2221s 主公如果避嫌取义
2223s 不敬帝位
2225s 那么久而久之
2226s 四海渴望建功立业的
2228s 有才之事
2230s 恐怕就要投奔曹匹了
2238s 曹操手握雄兵
2243s 挟天子令诸侯
2246s 驰骋天下
2248s 直到死
2250s 却也不敢篡位称帝
2252s 曹操并非不想做皇帝
2258s 只是天不假年时机未到
2262s 当时群雄并起四海沸腾
2266s 他怕自己做了皇帝之后
2268s 天下不知有几人称帝
2270s 几人称王
2271s 其中最恐惧的
2273s 就是主公你了
2275s 所以
2276s 还不如大家都不要称帝
2279s 因为他手中
2280s 攥着傀儡天子
2282s 运勇自如
2284s 而如今汉氏已亡
2286s 曹匹窃居帝位
2288s 主公如想功夫汉氏
2290s 就应该称帝
2299s 我知道推祖再三
2304s 实在是担心
2306s 世人非异
2307s 明不正则言不顺
2311s 主公如果是名正言顺
2312s 有何可疑
2314s 殊不知
2315s 天欲浮起
2317s 反受其咎
2340s 主公也没变
2344s 罢了
2348s 我还有一个顾虑
2352s 劝我进位的
2355s 都是随我入川的老将旧部
2359s 蜀中归乡来的文物们
2361s 怎么想
2363s 主公说的是
2364s 李炎 黄泉他们吧
2366s 蜀中旧臣
2367s 不可不律
2369s 因为
2371s 这里
2372s 先是他们的家
2375s 后来
2377s 被我们占了
2378s 成了我们的家
2394s 在下迎后来迟
2395s 请主公恕罪
2399s 我只是路过
2400s 口渴了
2401s 顺道讨杯茶喝
2403s 主公请
2404s 我听说中平某年
2429s 蜀中大旱
2432s 这巷子里的人
2433s 渴死了十支三四
2437s 是你召集族人
2439s 用了粤语时间
2441s 在这府中
2442s 打了一口白齿深井
2444s 救了一巷子的百姓
2447s 这水入口干裂
2450s 不同寻常
2452s 就是去滋那口井吧
2456s 主公也知道此事了
2459s 所以呀
2461s 我要来讨杯茶吃
2467s 恕在下直言
2469s 主公不是为了
2471s 就讨这杯茶水吧
2481s 我是来问你
2482s 蜀中
2485s 该往何处去
