6s 临终前,龚瑾向我保取了大都督一职。
1152s 师元,孔明劝你投效刘备,对吧?
1157s 你,你居然派人盯。
1160s 荆山之母,谁人不哀。
1165s 你没有答应孔明是对的。
1171s 他刘备根基短浅,兵威将寡,
1174s 连脚下的荆香都是暂借我东吴的。
1177s 马上跟我去见我家主公。
1180s 你看,我江东兵多将广,
1183s 我家主公理贤下士,
1185s 一定会让你一战才学的。
1188s 走。
1189s 哎呀,走吧。
1190s 走啊。
1191s 你怎么动马呢你。
1192s 你给我走吧。
1193s 别愣了。
1194s 公瑾啊,虽然性子傲了些,
1199s 可对我们孙家,却真是呕心沥血,
1203s 功心卓著啊。
1206s 东吴这片江山,公瑾要占一半。
1210s 这趟我到柴桑为她下葬,
1216s 总算送了她一程。
1219s 可看到她留下的挂妻孤儿,
1223s 我就想起自己从前受过的苦,
1226s 这心里真是好生难受。
1231s 太过伤心,孩儿一定照顾好公瑾的气象。
1237s 主公!
1238s 太夫人,主公,
1243s 我今天遇到一位大贤才啊,
1245s 在下好不容易才把她劫进宫来啊。
1249s 大贤才?
1251s 谁?
1252s 封除庞统庞士元。
1255s 知道了,
1258s 就是钱赏在公瑾灵前胡说八道的那个狂生吧。
1264s 太夫人是怎,怎能知道的?
1270s 自有人告诉我,
1272s 这个狂生说赤壁之战是他的功劳,
1276s 他还说公瑾气量狭小,
1280s 自受其辱什么的,
1282s 对吗?
1283s 那是,那是他故作狂言,
1289s 耸人听闻,以求资重啊。
1291s 这我不管,
1293s 公瑾是东吴的薰臣,
1295s 姓庞的羞辱他,
1297s 不就是羞辱东吴吗?
1299s 认他有才,不用也罢,
1302s 狂者必败。
1304s 母亲说得极是,
1308s 这个庞统太狂倦了,
1311s 就依母亲的意思吧。
1313s 吴侯不肯见我?
1349s 请你不要着急,
1362s 我家太夫人不知道听到了什么,
1366s 对你有些惩戒,
1368s 主公碍于太夫人所言,
1373s 也不能及一见你。
1376s 你且暂住几日,
1378s 容我再和我家主公去说。
1388s 江东真是家大业大,
1390s 架子也大呀。
1392s 子将,你不是说吴侯
1394s 一向是礼贤下士吗?
1398s 我都到了府门口了,
1400s 来了一个巨剑。
1403s 说实话,
1405s 我在灵堂上最骂公瑾,
1407s 其实就是想试一下吴侯的雅量,
1411s 我庞统展艺,
1413s 可比千里的九天之愤。
1416s 吴侯如此狭窄的心胸,
1420s 怎么可能容得下我?
1422s 在下告辞了。
1426s 师元请留步。
1427s 师元,
1431s 我家主公和公瑾情深意多,
1434s 现在他正在悲伤之中。
1437s 请师元容我两日,
1439s 我再去和主公说,
1441s 我家主公一定会重用先生的。
1444s 子将,
1448s 你瞧瞧,
1450s 天下有哪一只鸟
1452s 可以在一根枝上熄上两天,
1455s 何况是一只凤凰。
1458s 师元,
1460s 师元,
1461s 你知道今年前上,
1491s 有谁见过太夫人吗?
1494s 一个时辰前,
1496s 荆州使者孙潜,
1498s 带着小姐从荆州带来吊礼,
1500s 拜见过太夫人。
1502s 一定是祝贺良知识的,
1507s 是他让孙潜,
1511s 把庞统在灵前的胡言乱语,
1514s 都说给了太夫人听。
1517s 太夫人这才大怒,
1519s 跟着庞统,
1520s 却让孙潜朝了后路,
1530s 真是可恨!
1532s 快去,
1533s 派人截住庞统,
1534s 别让他走了!
1535s 遵命。
1536s 否则天下奇才,
1542s 就真的要归柳北了。
1545s 先生,
1555s 请问你上哪儿啊?
1557s 拿着,
1560s 开船,
1561s 去往荆州。
1563s 你疯了,
1565s 这一枚钱想上荆州,
1568s 这...
1569s 那你想要多少?
1573s 至少得十枚钱吧。
1580s 船家,
1583s 此刻我身上只有这一枚钱,
1586s 还是喝酒剩下的。
1588s 你要是愿意载我去,
1590s 等到了荆州,
1591s 自然会有人给你一百枚大钱。
1594s 你要是不愿意载我去,
1597s 那就罢了。
1599s 谁知道你这是真的还是假的?
1607s 好,
1608s 那我回去。
1609s 也罢,
1614s 也罢,
1615s 上船吧,
1616s 我载你上荆州。
1622s 我说船家呀,
1624s 你知道吗?
1625s 你比江东吴侯要识货呀!
1632s 开船!
1633s 丁大人,
1642s 他不在客栈,
1644s 要不,
1645s 我多带一些人到城外去找找。
1648s 不必了,
1651s 庞统是人中之凤,
1655s 凤若斩翼,
1659s 仙宗难觅呀。
1662s 有谁又能寻得到他呢?
1666s 母若大之地,
1681s 却不能给庞统一根
1685s 可以弃身的吴统之啊。
1696s 这什么事啊?
1697s 这么热闹?
1698s 前一阵子,
1700s 周目刘皇叔下令在荆州法前问答,
1703s 不少达官贵族
1705s 就趁机取见了他们的子弟为官,
1707s 可是后来,
1708s 皇叔发现这些人并无真才实学,
1710s 所以就十分恼怒,
1712s 结果就免去了一批。
1714s 这不,
1715s 今天榜门也登出来了,
1716s 说是让荆州才俊都去赐使官属应扛,
1719s 优者给予入用。
1726s 这位大贤,
1727s 在下眼神不好,
1729s 请帮我瞧瞧,
1730s 这主考官,
1731s 可是诸葛亮?
1733s 不是,
1734s 为何不是他?
1736s 这诸葛亮是出自南亚,
1738s 与荆州才俊多有交往,
1740s 他为了避嫌,
1742s 就离开荆州徐安各郡去了。
1744s 是这样。
1750s 这些策论我都看过了,
1767s 收署龙广这篇最有见地,
1770s 你即刻叫他进来见我。
1774s 遵命,
1775s 传龙广进见。
1779s 传龙广进见。
1781s 在下龙广,
1782s 拜见刘皇叔。
1801s 龙广啊,
1803s 你这篇策论不错,
1805s 独有见解。
1807s 有何吩咐?
1808s 这篇文章真的是他写的吗?
1827s 是,
1828s 但相貌太过丑陋,
1835s 若为以重任,
1837s 恐怕有失汉官威仪,
1839s 亦在下之间。
1841s 主公,
1842s 龙广虽有才学,
1851s 但是不知是否有治国之才,
1853s 不如先让他做个县令,
1855s 看看是否有真才实学,
1857s 如果有真学问,
1859s 再重用也不迟。
1861s 好,
1862s 你是主考官,
1863s 就按你的意思办,
1865s 让龙广先生出任磊阳县令。
1867s 遵命,
1869s 主公赤封你为磊阳县令。
1873s 好,
1890s 太神了。
1892s 大哥。
1894s 主公。
1895s 三将军好剑法啊。
1898s 武将不歇功马,
1900s 文臣不费政务,
1902s 天下方安哪。
1904s 公友啊,
1906s 前些日子选出来的那些贤才
1908s 都发下去任职了吗?
1910s 都发下去了,
1912s 这批财俊发到各县任职,
1914s 大多都能胜任,
1916s 只是那个龙广,
1918s 龙广。
1920s 哦,
1922s 我想起来了,
1924s 就是那个文章写得很好的丑生。
1926s 他怎么了?
1928s 他当磊阳之后,
1930s 不理正事,
1932s 都不理会。
1934s 郡县两急,
1936s 多有非议啊。
1938s 这树儒连个乱我法都。
1940s 大哥,
1942s 让我去一趟的延县,
1944s 去查查这昏棍。
1946s 你去?
1948s 我不行吗?
1950s 想当初,
1952s 俺边打独游的时候,
1954s 最恨的就是这号主啊。
1958s 行了,
1960s 不用你去。
1962s 这趟去磊阳,
1964s 俺绝不动粗的。
1966s 这在营里啊,
1968s 憋得实在是难过啊。
1970s 让我出去走走马吧。
1972s 好。
1974s 那你此去,断不可任性胡来。
1976s 哎。
1978s 孙前跟着一道去,凡事听孙前的。
1980s 哎。
1982s 哈哈哈哈。
1984s 哈哈哈哈。
1989s 哎呀,老顺啊,
1991s 你看我穿这身官服,
1993s 还像个当官的吧?
1995s 嗯,
1997s 乍一看,没什么举笔。
1999s 哈哈哈哈。
2001s 不过。不过什么?
2003s 就是你这双手。
2005s 如果你这双手要是刷起笔杆子来,
2007s 那得多粗的一杆笔啊。
2009s 这么粗的一杆笔,
2011s 要写下一纸判状,
2013s 那得用多少纸啊?
2015s 是啊,这么一双大手,
2017s 要捏起笔杆子来,
2019s 是有点困难。
2021s 老顺,
2023s 你这是拐着我的腿笑我吗?
2025s 你这个算门人。
2027s 哈哈哈哈。
2029s 哈哈哈哈。
2031s 哈哈哈哈。
2037s 下官恭迎将军大驾。
2039s 你们县令大人呢?
2041s 呃,
2043s 龙县令他。
2045s 怎么了?
2047s 龙县令到日至今,
2049s 已经百日有余,
2051s 面中大小事,
2053s 皆弃如弊履,不加理论。
2055s 结果结果结果什么呢?
2057s 照直白地说。
2059s 啊,禀将军,
2061s 龙县令他醉香里面呢?
2063s 啊?这都什么时辰了?
2065s 太阳都多老高了,还睡着呢?
2067s 哼。
2091s 刚才是谁的结果?
2093s 我。
2099s 你是何人?
2101s 我乃张飞师爷。
2103s 哦。
2105s 张飞是段贺,
2107s 下退八十万曹军的张飞呀。
2109s 哈哈哈哈。
2111s 你也知道爷的威名。
2113s 我来问你,
2115s 我大哥把这一线百姓,
2117s 交给于你,
2119s 你怎敢如此荒废正事啊?
2121s 哼。
2123s 将军说我荒废正事,
2125s 请问将军,
2127s 我荒废了哪些事?
2129s 哼。
2131s 你到现百日,天天买醉,
2133s 荒废正事吗?
2135s 区区百里小县,
2137s 有多少公事,
2139s 将军稍坐,待我发落就是。
2141s 这位大人,
2145s 请你给我让个座,
2147s 将军占了我的座。
2149s 我这个县令,
2151s 总得有地方批公文哪。
2153s 你。
2167s 哼。
2169s 有何公文,统统拿来。
2171s 快快快,全部呈上来。
2177s 这是郡上征招劳役的公文,
2191s 是征良的步子,
2193s 须核算后上乘郡守大人。
2208s 一共,稀增多少?
2210s 各旅加起来一共是一万两千七百四十六弹。
2212s 错了,一共是,
2214s 一万两千七百五十三弹七斗。
2216s 不是。
2218s 那你们就拿算筹,
2222s 好好算算,
2224s 算算。
2226s 快去。
2239s 前殿五百二十一弹四斗,
2241s 中旅六百五十二半四升。
2243s 这百日公文,
2282s 半日你就批完了?
2284s 哼。
2286s 这有何难?
2291s 你们算完了没有?
2293s 算完了,算完了。
2295s 多少?
2297s 一共是,一共是,
2299s 一万两千七百五十三十七斗。
2301s 禀将军,龙县令方才算得不错。
2303s 这么大的一笔账,
2308s 你过目一遍,
2310s 就心算出结果了?
2312s 就连曹操孙全等辈,
2314s 我都视为
2316s 掌上玩物,
2318s 区区百里小县,
2320s 有何难人的事?
2322s 哎呀,先生大才,
2329s 义德失敬了。
2331s 请先生这就随我回京州,
2333s 面见主公。
2335s 不必了,
2337s 我闲云散鹤惯了。
2342s 在这里,
2344s 急流着百日,
2346s 已经卷了,
2348s 该走了。
2350s 慢着,走。
2354s 你走了,
2356s 我如何向大哥交代啊?
2358s 来啊!
2360s 看出这个官属,
2362s 不许一人进出。
2364s 孙大人,
2366s 你这就随我回京州,
2368s 报于主公志向。
2371s 净有如,
2383s 我真是不该啊,
2385s 不该以貌取人。
2387s 快,备马,我要去岭阳。
2389s 主公,
2391s 夫人已备好了酒宴,
2393s 嫂子可是个有脾气的人啊,
2395s 我看,
2397s 还是等赏完月再去吧。
2399s 月亮可以一年赏多少回,
2401s 可如此大闲,一旦失去就再也宣不回了。
2403s 快走。
2414s 夫人让我禀报主公,
2416s 阿斗病了,请主公回去。
2418s 阿斗病了,让他请医官照样就是了。
2420s 大哥,只怕是嫂子生气了。
2422s 不用管她,去岭阳要见。
2424s 走。
2442s 我渴了,去,我打会儿酒。
2444s 好的。
