14s 皇叔,张松遣人送来密信,说刘章已离开义州,亲自到福城来迎接皇叔。
842s 今日袭上光剑,暗藏杀机啊。
857s 不,我确信刘备是仁义之君。
862s 即使刘备仁义,可他手下诸将却不善。
866s 天下诸侯中,流行者只剩我和玄德二人了。
873s 我连他都不能信任天王刘氏。
876s 杀!
877s 君主公,张鲁带领两万兵马,
882s 昨日犯禁,今日已解大加盟关。
888s 又来了?
890s 主公,刘备不是愿意做先锋吗?
897s 既然这张鲁犯君又来了,
899s 请主公派人传命,
901s 令刘玄德率荆州军迎敌。
906s 人家千里迢迢刚到,连气都没喘,
911s 就催他出兵,这太实礼了。
916s 我看啊,还是先让杨怀高配他们抵挡一阵。
921s 主公,越是此时,越能变出刘备真伪。
927s 看看他们此次入川,到底是来打张鲁的,
932s 还是来夺西川的。
935s 好。
940s 主公,怎么样了?
1015s 怎么样了?
1016s 回主公,刘备亲率大军前往加盟关了。
1020s 你瞧瞧,你瞧瞧。
1022s 刘备待我无虚吧?
1025s 可笑黄泉李炎等辈,妄相猜疑其人犹天。
1032s 好了,我有刘备相助,
1036s 何律他张鲁马超等辈,
1039s 把我这件锦袍送到加盟关,
1052s 赐予刘备,告诉他,
1055s 此袍乃先帝所赠,
1058s 祝先帝穿上此袍后,痛击张鲁,大获全胜。
1063s 末将遵命。
1068s 刘备已率军入川,
1080s 荆州空虚,
1082s 此乃现在难逢的机会。
1085s 我们应该趁虚夺取荆州。
1088s 你们也都是这种想法吗?
1094s 成功得谋,所言是也。
1097s 刘备虽然前往西川,
1108s 但却留下诸葛亮与关张二人驻守荆州。
1112s 他们必然严加防备。
1115s 虽有防备,但军力不如先前。
1118s 如刘备既占据荆州,又取得了义州。
1123s 不但实力大增,江东之西又添危险。
1128s 我军两面受敌,大势不利。
1132s 德某,我们攻荆州,
1138s 若曹操趁机南下攻我,
1141s 如何是好?
1144s 再者,刘备借据在此,
1148s 约定一旦有栖息之地,
1151s 便将荆州归还于我。
1153s 他如果得了义州,
1155s 我们便可取回荆乡之地。
1159s 不非以兵以卒,
1161s 更好。
1163s 主公,
1165s 借据只是空文而已。
1168s 即使刘备取得了义州,
1171s 诸葛亮也不会攻守把荆乡还于我们。
1175s 如今刘备远在西川,
1178s 曹操大战马超,
1180s 修兵养军,暂无南下之意。
1184s 这样的机会
1186s 将不会再有了。
1197s 紫明,你为什么不说话?
1200s 太夫人,
1205s 不会允许主公出兵荆州的。
1209s 为什么?
1210s 夺取荆州是关江东的荣衰。
1217s 主公,
1218s 难道不能决断?
1221s 主公之妹是刘备夫人。
1223s 太夫人是如心甘,
1225s 小姐现在就在荆州。
1227s 若我军出兵,
1229s 诸葛亮将小姐作为人质,
1232s 我们又该如何?
1234s 小姐若有不测,
1236s 主公如何向太夫人交代?
1239s 刘备虽然远行西川,
1244s 我料他两年之内不会回来。
1248s 更何况刘备刚走,
1251s 荆州一定严加防范,
1253s 只有日后时间久了,
1256s 才可稍有松懈。
1258s 列尉,
1259s 此事日后再议吧。
1263s 子敬啊,
1270s 今后几年,
1272s 曹操意在养精蓄锐,
1275s 对我们来说,
1277s 虽无尽忧,
1280s 但以后的威胁却更大。
1282s 刘备灰军入川,
1286s 如果没有什么意外的话,
1290s 我料,
1292s 荆州必为他所得,
1295s 而后,
1296s 实力巨增,
1298s 十分可律。
1300s 可我东吴军中,
1304s 仍是老将丹钢,
1306s 虽然中勇,
1308s 精力有所不济,
1311s 所以,
1313s 我想提拔吕蒙,
1315s 任命他为副督督。
1317s 极为赞同,
1328s 吕蒙是尊重的好,
1332s 将中的俏处,
1335s 又受公警提拔这么多年,
1340s 此人在我之后,
1345s 你说在你之后,
1353s 这何意?
1354s 如公警,
1359s 如从前了,
1373s 我怕是待多久了。
1378s 紫荆啊,
1383s 你怎么又说这话?
1385s 江东离不开你,
1389s 孤更离不开你。
1391s 赐我一句实话,
1403s 以提升吕蒙为副督督,
1407s 只要让他夺回荆州吧。
1412s 正是,
1413s 荆州必去,
1420s 孙刘之见,
1424s 早晚会有一场大仗。
1426s 完成此心愿,
1434s 他一定能够做到。
1443s 荆阳不会派人,
1455s 宋治君。
1456s 只要陆苏一息上诉,
1469s 必当鞠躬尽罪,
1472s 以保主。
1474s 紫荆啊,
1479s 请张子布大人宣誓主公御令。
1517s 吴侯君旨,
1520s 吕蒙吕剑功勋,
1523s 忠勇至身,
1525s 堪当大任。
1527s 着急,
1528s 受吕蒙副督督职,
1531s 师长江东水师。
1535s 吕蒙接令。
1537s 吕将军,
1555s 领副督督兵符。
1559s 末将领命。
1561s 曹操自赤壁百桂之后,
1598s 立兵默马,
1599s 思谋南下。
1601s 刘备举兵入船,
1603s 名为驻刘章御敌,
1605s 是为图取我意中,
1608s 仁义其表,
1610s 争戎其心。
1611s 公卓把吕蒙为副督督,
1617s 亦在郑军备战,
1619s 时刻准备出击。
1622s 遵命。
1623s 遵命。
1624s 周善拜见夫人。
1626s 起来说话。
1627s 谢夫人。
1628s 夫人,
1632s 这是太夫人给你的信。
1636s 既然是太夫人的信,
1638s 你只管正大光明地拿来就是了。
1641s 干嘛要偷偷摸摸避开荆州守卫呢?
1644s 夫人有所不知,
1646s 太夫人连着差人送了三封信过江来。
1649s 可小姐她一封回信都没有。
1652s 太夫人何等睿智?
1654s 她猜想,
1655s 八成是小姐没有看到这些信。
1659s 什么?
1661s 母亲连着送了三封信来?
1663s 正是。
1664s 出了什么事了?
1666s 太夫人病重,
1670s 大夫说只怕。
1672s 只怕什么?
1676s 只怕是过不了这个秋天了。
1679s 太夫人只盼着能够再见你一面。
1682s 把信给我看。
1685s 母亲病得这么严重,
1701s 这里的人竟然敢瞒着我。
1704s 我立刻就回江东去。
1706s 来人。
1707s 在。
1708s 去换诸葛亮来。
1709s 诺。
1710s 慢着。
1711s 夫人,
1712s 万万不可。
1713s 诸葛亮敢扣下太夫人的信,
1715s 就是不想让夫人回到江东啊。
1718s 我是刘备夫人,
1720s 她是下属。
1721s 我母亲病危,
1722s 我回去探望,
1723s 她岂敢拦我。
1726s 诸葛亮奸诈,
1728s 她或许不敢硬拦。
1730s 但却可以推说,
1732s 此事她做不了主,
1734s 要皇叔同意才行。
1736s 而皇叔现在属中,
1738s 信使来往一次,
1739s 就要一个多月。
1741s 那不是耽误了太夫人。
1743s 周山,
1749s 我母亲真的病得很重,
1755s 你可千万别唬我。
1757s 在下怎敢妄言。
1760s 太夫人,
1762s 已经骨瘦如柴,
1765s 三日不能进一餐了。
1768s 首先让这里的人听见。
1783s 你是怎么过来的?
1792s 前行到此,
1794s 暗藏一百军师,
1798s 平安倒大产。
1801s 我留下一封信,
1808s 我们立刻就走。
1810s 这些前良战母都已越过,
1817s 入库吧。
1818s 遵命。
1819s 军师,
1830s 夫人的事你说,
1832s 夫人带着孩子走了,
1833s 留了一封信下来。
1835s 拿来,
1836s 哪位将军在府中?
1846s 赵将军刚刚巡营回来,
1848s 就在前厅。
1849s 让子龙将军来。
1850s 遵命。
1851s 送夫人先走。
1866s 诺。
1867s 快。
1869s 我乃赵云,
1883s 军师要为夫人进行。
1886s 你们几个,
1887s 保护夫人快走。
1892s 我来抵挡来将。
1893s 不要让赵云过来。
1894s 是。
1899s 闪开。
1900s 打我就死。
1902s 杀了赵云。
1904s 赵云,
1905s 你想干什么?
1953s 夫人为何不死而别?
1955s 我母亲病在危毒,
1956s 无暇此行。
1958s 夫人谈病,
1959s 何故要带小主人去?
1961s 阿斗是个没有娘亲的孩子,
1964s 若留在京中,
1965s 无人照看。
1967s 我主公厮杀平生,
1969s 只有这点骨骼,
1970s 怎能带他离开京中。
1972s 如果夫人一定要去的话,
1976s 请留下小主人。
1978s 赵云,
1979s 你不过是我夫君
1980s 仗下一届武夫,
1982s 怎敢管我家中之事?
1985s 在下当然无权过问主公家事,
1987s 但是小主人,
1988s 事关京中安危。
1990s 如果不留下她,
1992s 我也不能放夫人走。
1993s 赵云,
1994s 你眼里还有我这个主母吗?
1997s 夫人恕罪,
1998s 赵云,
2000s 必须留下小主人。
2001s 左右听令!
2002s 在!
2003s 给我拿下赵云!
2006s 站住!
2007s 夫人,
2009s 你知道青釭剑削铁如泥,
2021s 当者必死。
2023s 请不要逼赵云,
2024s 见下无情。
2026s 你们且慢,
2028s 不要逼赵云。
2029s 谢夫人。
2030s 赵云,
2039s 阿斗你先抱回去,
2045s 让他回到刘备身边去吧。
2046s 万万不可!
2048s 夫人,
2049s 万万不可!
2052s 夫人必须将阿斗带回江东去。
2055s 你奈何人?
2057s 我的主公是孙全,
2059s 不是你家主母!
2061s 夫人莫急,
2062s 前面就是我们江东的管辖之地了。
2064s 赵云,
2065s 你孤身一人插翅难飞,
2066s 你跑不掉的!
2067s 嫂嫂!
2086s 叔叔,
2087s 你咋敢正反无礼?
2091s 嫂嫂不以哥哥为重,
2093s 私自潜回江东,
2094s 还带走大哥的骨血,
2095s 这才是无礼!
2097s 夫人且慢!
2101s 你!
2102s 你这是干什么?
2103s 我母亲病危,
2105s 如果你们不放我回去,
2106s 我立刻自刎而死!
2108s 一大,
2110s 如果逼死夫人,
2113s 非臣想知道。
2120s 嫂嫂,
2121s 既然你去意已决,
2123s 我也就不拦着你了。
2125s 俺哥哥是大汉皇叔,
2127s 如果你还念着我哥哥的情意,
2130s 就请嫂嫂回来吧。
2133s 夫人保重!
2134s 告诉刘备,
2139s 我走了,
2140s 请他好自珍重。
2144s 遵命夫人!
2147s 嫂嫂,
2148s 我等告辞了!
2150s 夫人保重!
2151s 张鲁的败军
2171s 已经全部都撤回汉中了,
2174s 可以说是大败而归呀!
2177s 我们总算不许此行啊!
2180s 可刘章对我们见声待马!
2187s 怎么了?
2190s 以前每月初,
2192s 成都便送来粮草三万袋,
2195s 军饷,
2197s 五万钱,
2199s 自打击退张鲁后,
2201s 粮草顿时锐减,
2203s 上个月只送来两千袋粮草,
2206s 不见军饷,
2208s 本月更是粮草皆无,
2211s 三天前,
2212s 各营就已经是皆衣缩食了。
2216s 刘章真是忘恩负义呀,
2218s 大敌压近时,
2220s 他是我们为救星,
2222s 大敌一退,
2224s 他就不把我们放在眼里了,
2230s 我亲自写信给他,
2231s 催要粮饷。
2233s 主公,
2234s 你就是写了书信,
2236s 他要是再不给我们粮饷,
2238s 怎么办?
2240s 我们是刘章请来的,
2242s 现在强敌已退,
2244s 他不好意思把我们撵回荆州,
2247s 便以粮饷相扑,
2249s 这不是谢莫杀驴吗?
2254s 那我们就回荆州吧。
2256s 报!
2257s 报!
2258s 主公,
2261s 荆州急见!
2262s 夫人走了,
2282s 她到底还是走了。
2287s 不要再隐了,
2297s 主公。
2301s 我一醉方休吧。
2311s 沈元,
2313s 我真的舍不得她走啊。
2316s 去者自去,
2319s 来者未来,
2321s 情缘一了,
2323s 主公珍重。
2326s 其实我早就知道她会离开,
2328s 从我回荆州的那一天起,
2335s 我就知道,
2336s 她迟早会离开的。
2340s 为何?
2342s 因为我活在马上,
2346s 她活在梦里。
2348s 失去一女子是小啊,
2356s 可失去西川,
2358s 我们会身陷险地,
2361s 大难临头啊。
2363s 沈元,
2368s 我深明你意,
2373s 我何尝不知啊?
2378s 主公啊,
2381s 我有上、中、下三策,
2384s 上策是,
2386s 趁刘璋尚未返目,
2389s 速令黄忠、魏炎,
2391s 率两万精兵,
2393s 星夜攻去成都。
2395s 中策是,
2397s 主公扬作班师荆州,
2400s 由洛城守将来送,
2402s 至时擒下他们,
2405s 定洛城立足,
2408s 再图成功。
2411s 下策是,
2413s 连夜退往白帝城,
2415s 再返回京中。
2417s 君师啊,
2422s 你这上策太急,
2426s 下策太缓,
2430s 中策嘛,
2434s 还是待我向刘璋索取良想,
2444s 如若不给,
2446s 其心自明,
2448s 那时再定进退吧。
2452s 请主公速速定夺,
2456s 如果犹豫不决,
2458s 我军必献困境啊。
2462s 我不想取川帝吗?
2473s 我想,
2477s 我比谁都想。
