15s 站住。
558s 卫军领军的将领是郭怀吗?
561s 不是,
562s 是曹真的儿子,
563s 曹爽。
564s 曹爽?
565s 他不是个顽固子弟吗?
567s 也能领兵打仗?
570s 这曹爽可叼着呢,
572s 要不是我的弓弩手拼命放箭,
575s 恐怕他就断了我的退路了。
578s 这曹爽还真够精明的,
580s 居然能绕过丞相的伏兵,
582s 再回头杀来。
584s 是啊,
588s 丞相病好了?
591s 不是丞相的病好了,
594s 我早就看出来了,
597s 丞相根本就没病。
613s 拜见丞相。
617s 拜见丞相。
622s 过来说话吧。
628s 启禀丞相,
631s 末将折损了五千军士。
634s 卫军到何处了?
638s 他们的前军已经进入陈仓城,
641s 五都,
642s 殷平和下官等城,
644s 也都相继落入他们之手。
651s 丞相,
653s 其他城市并不可惜,
656s 唯独陈仓市不得,
658s 他扼住了我军的良道。
662s 再说,
663s 丞相也并非是真的想退兵,
667s 如果连陈仓这种地方都拿来诱敌深入的话,
671s 那代价实在是太大了。
673s 卫爷,
676s 你不就是舍不得陈仓吗?
680s 也罢,
681s 就算我向你借的,
684s 过不了多久,
686s 本相还给你便是了。
693s 末将于师,
695s 望丞相恕罪。
698s 坐吧,
704s 我之所以下令,
706s 将所有粮草改囤于祁山大营,
709s 就是因为那里地势高。
712s 但我没想的是,
714s 今年的雨季比往年迟了七八日,
718s 现在看来,
719s 雨来得晚,必来得大。
722s 陈仓地势低蛙,
724s 大雨之后,
725s 必会积水数池,
727s 为军粮草资重陷入水中,
730s 他们战斗力最强的西粮萧季,
733s 更会大大出言啊,
742s 战机要看天意,
746s 天意所致,
748s 你想不胜都难。
762s 明大都督,
763s 要塞陈仓,
764s 重回到我军手中。
766s 好,
768s 郭怀,
769s 在。
771s 你即刻替本都督写一道奏表,
774s 上奏朝廷,
775s 我军分拥杀敌,日行百里,
778s 一举摧毁诸葛亮三十万大军。
782s 胜利夺去了陈仓,
785s 当十多城池。
786s 在下这就去写。
788s 别急啊,郭怀,
789s 还有啊,
793s 少将军曹爽,
794s 亲率铁骑,
796s 斩杀蜀军三万有余,
798s 并率先杀入陈仓城中,
800s 请朝廷加功行赏。
807s 中达,
808s 我看这道奏章,
811s 还是由你来拟写吧。
813s 拟写,
814s 更有说服力。
816s 尊大督督命,
817s 在下写就是了。
820s 那就多谢了。
821s 陈仓真是个屯兵的好地方啊,
833s 郝昭在这儿做了半年将军,
840s 把这城墙住得,
842s 比洛阳城墙还厚。
844s 他真是个智勇双全之才啊,
848s 这太早了。
865s 父亲,
866s 你真要替曹真写表章,
868s 向朝廷邀功请赏吗?
871s 为何呢?
873s 我已经答应了。
876s 你知道表章一上去,
878s 是自取其辱,
879s 百官必然大化。
883s 为何?
884s 父亲兵败,
885s 被曹真取而代之,
887s 而曹真一上任,
888s 立刻转败为圣。
890s 这样一来,
891s 陛下会怎么想,
892s 百官又怎么想?
895s 他们一定会想,
898s 你,
901s 你这个人,
903s 不像是英雇郎氏之徒啊,
908s 怀若骨,
909s 多么宽宏大量,
912s 他和曹真已经尽是前嫌,
916s 现正同心同德,
918s 为国复难哪。
920s 父亲,
922s 儿不是说笑,
923s 儿是说真的。
924s 家一定会这样想,
933s 特别是,
935s 等我的表章到后,
937s 紧跟着曹真的败报就到,
941s 陛下更会惊讶,
945s 这刚刚司马仪,
947s 还在为他邀功请赏,
949s 怎么又败了?
952s 您是赖你,
956s 父亲是说曹真会兵败,
960s 儿没看出曹真的败相啊,
966s 父亲,
969s 还是那句老话,
971s 你服所欲,
975s 服息或所服。
977s 父亲,
978s 你,
979s 你就别跟儿卖关子了,
980s 你快教我吧。
983s 不教,
984s 自个儿琢磨吧,
986s 本都人马陆续而来,
989s 兵马越来越多,
991s 陈仓成小恐怕驻扎不下,
994s 本都义,
995s 应将几十万人马撒开来,
998s 分到各城驻守。
1000s 仲达,
1002s 你看如何啊?
1004s 大都督安排甚为妥当。
1007s 那好,
1008s 陈仓乃燕侯要地,
1015s 本都督亲自驻守。
1017s 仲达,
1018s 你引一军驻守阴平。
1020s 遵命。
1022s 郭怀。
1023s 在。
1024s 你率本部驻守五都。
1027s 遵命。
1028s 孙离。
1029s 在。
1030s 你率两军驻守东边黑石城。
1034s 遵命。
1036s 仲达,
1038s 表章可曾写好啊?
1039s 请大都督过目。
1048s 仲达,
1064s 多谢多谢。
1066s 多谢多谢。
1084s 父亲,
1087s 父亲让儿打探军情,
1089s 儿都打探清楚了。
1094s 龙溪各城,
1095s 凡是被蜀军放弃的,
1097s 都已经大火焚毁了。
1099s 只剩下了残园断壁。
1102s 大军退去,
1103s 自然片瓦无存,
1105s 我早料到了。
1113s 只是这诸葛亮,
1115s 为什么单单
1117s 留下了陈仓这座最大的城池呢?
1121s 陈仓是燕侯要道,
1123s 兵犯庸良的必经之地。
1126s 诸葛亮之所以留下它,
1127s 是为了以后再去陈仓。
1130s 就这些?
1132s 就这些,
1137s 莫非还有别的?
1138s 你再想想,
1140s 儿想不起来。
1148s 这么简单的事情,
1154s 到今日你还看不出个玄机,
1156s 真是迂腐一颗,
1158s 无可救药。
1160s 曹真多疑,
1170s 数曹爽多疑。
1177s 父亲,
1178s 喝杯热茶吧。
1185s 我喝。
1192s 父亲,
1193s 其实儿早就参透玄机了。
1197s 当真?
1198s 千真万确。
1200s 说我听听。
1207s 诸葛亮之所以留下陈仓,
1210s 就是为了给曹真助军。
1212s 陈仓地势地化,
1214s 大雨数日以后,
1215s 必会积水应池。
1217s 到那时,
1218s 我军的战甲就会泡滥,
1220s 粮草会生煤,
1221s 资重也会损坏。
1224s 等到天一放晴,
1225s 蜀军再来攻时,
1227s 我军必大败。
1228s 而诸葛亮最有可能
1230s 弃其他各城于不顾,
1232s 集中优势兵力,
1233s 专攻陈仓,
1235s 专心操阵。
1255s 大多多,
1256s 陛下又为你增加了
1258s 五千弹凤龙,
1259s 随赠两田三千亩,
1262s 电农一千户。
1265s 恩宠之重,
1267s 我朝自开源以来,
1269s 还没有一个大臣
1270s 敢与你相比。
1272s 陛下真是龙颜大悦呀。
1276s 陛下这人哪,
1278s 虽是年轻,
1280s 倒也上法森林啊。
1283s 陛下也夸了司马仪几句,
1287s 说他与大多多你啊,
1291s 同心同德,
1293s 对大多多也是心悦诚服。
1304s 心悦诚服不敢说啊,
1306s 不过,
1307s 此人近日倒是乖巧了许多。
1311s 来人哪。
1316s 大多多。
1317s 把陛下恩旨抄写百份,
1320s 发到各营去,
1321s 让将士们都看看,
1323s 黄恩浩荡啊。
1324s 诺。
1338s 扶水。
1338s 你这是去哪儿了,
1342s 一身都是水。
1347s 大多多,
1348s 下官告退。
1351s 好生伺候着。
1352s 诺。
1354s 孩儿刚去潜移巡视一番,
1356s 你瞧瞧这件铠甲。
1360s 铠甲怎么了?
1362s 别日大雨,
1363s 城里到处卖水,
1364s 排不出去,
1365s 营帐里也都进了水,
1367s 把铠甲都窝烂了。
1373s 父亲,
1374s 看情形,
1376s 这阴雨还会持续,
1377s 再过半月,
1379s 所有的铠甲都会烂成碎片,
1381s 刀毛也会生锈,
1382s 如果蜀军来袭,
1383s 那可就危险了。
1387s 依你我该怎么办啊?
1389s 儿以为应该立刻放弃神仓,
1392s 率全军退回雍梁,
1400s 神仓乃蜀军北藩之咽喉药地,
1403s 如若放弃,
1404s 再夺回就不易了。
1406s 你马上发书朝廷,
1407s 请陛下下旨,
1409s 从洛阳,
1410s 长安,
1411s 许昌等地,
1412s 转运兵器铠甲来,
1414s 天一放晴,
1415s 一切都好罢了。
1416s 但孩儿担心,
1417s 等不及铠甲兵器运到,
1419s 蜀军就会回师公杀过来。
1422s 还有,
1423s 屯梁也开始没变了。
1425s 军师们吃着发霉的饭食,
1427s 月升四起,
1429s 现在,
1430s 我越来越怀疑,
1432s 诸葛梁是故意留下尘仓,
1434s 好借上天之力,
1435s 削弱了,
1436s 然后,
1437s 你要是这么说,
1443s 我还真有些担心哪,
1451s 不过陛下刚刚办下恩旨,
1454s 重重赏赐于我,
1456s 我怎么能就放掉尘仓呢?
1463s 再等几日吧,
1465s 你传令下去,
1466s 叫各军好升守备,
1468s 城内外要战,
1469s 都要天兵驻防,
1471s 去吧。
1472s 诺。
1473s 拜见丞相。
1490s 各部都准备好了吗?
1493s 禀丞相,
1495s 全部都准备妥当。
1499s 众位将军,
1503s 前番,
1504s 我军与魏军在祁山相识,
1508s 我算准今年秋雨会多于往年,
1511s 所以撑并退兵,
1513s 率全军撤回了汗中,
1516s 此外,
1517s 还把龙溪各处的诚意,
1520s 包括陈仓,
1522s 留给了魏军,
1524s 让他们在雨水中淋泡了近两个月。
1528s 据报,
1530s 特别是陈仓城内曹真所布,
1533s 战甲凹成了碎片,
1535s 粮草都已生霉,
1537s 将士不满军心动腹,
1541s 曹真已成为瓮中之鳖,
1545s 无路可逃了。
1547s 丞相,
1549s 快下战令吧,
1551s 兄弟们早都等不及了。
1554s 魏炎王平听令。
1557s 我们都陷进泥里了,
1568s 是不是等雨停了再进军?
1569s 诸位,
1570s 必须赶到陈仓城下,等待雨停。
1575s 传令下去,加快进军速度,
1577s 凡有为抗争。
1579s 战!
1580s 诺!
1581s 全速前进!
1582s 副帅好生安乐。
1605s 我的爽儿回来了,
1607s 天气是寒,
1609s 爽儿,
1610s 快来饮杯热酒,
1612s 快给我爽儿倒杯热酒。
1614s 蜀军正在冒雨进兵。
1617s 什么?
1619s 上级探报,
1620s 城西十里处已发现大巫蜀军,
1630s 渊渊不断,
1631s 望不到尽头。
1633s 从信号上看,
1634s 是属上将军魏炎王平。
1636s 这两个人到了,
1638s 足以证明朱克亮。
1640s 对对对,
1647s 快快退下,
1647s 快快传令,
1649s 所有将士上升决堤,
1651s 朱克亮来了!
1653s 遵命!
1654s 朱克亮把蜀军逐一给,
1671s 快派人出城,
1677s 令各营守驾,
1678s 派军快来救陈仓。
1680s 儿已经派人前去了,
1682s 军就要攻城。
1688s 完了,
1701s 副帅,
1703s 这已经完全被鱼人消失掉了,
1705s 这样的箭,
1705s 射不死蜀军的。
1709s 军队来了没有?
1745s 大都督,
1746s 不好了,
1746s 破城了,
1747s 蜀军朝官属杀过来了。
1749s 爹爹,
1749s 爹爹,
1750s 快让让,
1751s 爹爹,
1751s 爹爹,
1752s 爹爹,
1753s 爹爹,
1753s 蜀帅,
1759s 快出来!
1760s 蜀军已经破城,
1761s 东关西关都湿了,
1763s 只有南门可出。
1764s 这些服饰是我军哨胎用的。
1766s 父亲,
1766s 你赶紧换上一件,
1767s 而保你趁乱杀出城郡,
1769s 快!
1769s 杀了王了。
1771s 大都督,
1772s 千万不要回头,
1782s 当心被敌军认出来,
1783s 快快造马。
1784s 驾!
1785s 不许急走,
1818s 不行。
1851s 蓝生在这,
1852s 以为是贼兵啊,
1910s 原来是大都督啊,
1916s 我早就赶来救驾了。
1919s 父亲!
1947s 父亲!
1948s 父亲!
1949s 死马医,
1951s 你!
1952s 父亲!
1956s 父亲!
1957s 父亲!
1962s 父亲!
1963s 大都督,
1967s 让将士们安心修整,
1981s 就说我说的,
1985s 杜葛亮断然不敢冒犯,
1988s 把酒肉都拿出来,
1990s 让将士们饱餐一顿。
1993s 遵命。
1994s 末将在。
2003s 我曾替你写过一道表彰,
2006s 现在你也得写一道表彰,
2008s 替我写一道表彰吧。
2011s 请大都督事下,
2013s 这道表彰应该如何写?
2026s 你上奏朝廷,
2028s 大都督曹真不听司马医劝阻,
2031s 贸然犯禁,
2033s 致使我军兵败,
2035s 丢弃陈仓等城。
2038s 大都督曹真,
2040s 抛弃陛下所赐的
2042s 朝廷服饰,
2044s 改穿蜀军,
2046s 小卒战服,
2048s 弃三军而独自逃命,
2050s 信得司马医拼死相救,
2053s 侥幸生还。
2055s 眼下三军无主,
2058s 军心动乱。
2059s 大都督所言,
2071s 句句都属实情,
2074s 这道表彰,
2075s 我要请所有的将军,
2077s 联名场所。
2082s 听旨,
2088s 奉天承运,
2089s 皇帝诏曰,
2091s 司马医,
2092s 忠勇报国,
2094s 功盖天地。
2096s 朕因三军将士所请,
2099s 加授其为
2100s 朝廷大司马,
2102s 车记大将军,
2104s 兼领平西大都督,
2107s 统领三军。
2109s 朕并赐
2111s 天子间,
2112s 锦袍玉带,
2114s 以壮君威。
2120s 臣领旨谢恩。
2122s 曹真,
2124s 丧失辱国,
2126s 凡事罪无可赦,
2129s 但念其
2130s 伤众而死,
2132s 朕不再加罪,
2134s 捉其子曹爽,
2136s 顾曹真灵旧,
2137s 返回长安,
2139s 归葬祖坟。
2141s 钦此。
2183s 仲大,
2184s 别来无恙啊,
2185s 我相助,
2193s 属下能重登大都督之位吗?
2196s 南洋已更复,
2218s 尚不知天数下不明大事,
2222s 本该偏安一遇,
2225s 报敬安民。
2227s 为何屡屡逆天行事,
2229s 强行用兵?
2230s 阿斗愚蠢,
2238s 莫非如比他更愚蠢?
2240s 我受先帝托孤之咒,
2255s 岂能不清心竭力讨伐逆贼?
2259s 如父祖皆为汉臣,
2265s 久食汉度,
2268s 不思报孝,
2269s 反诛篡矣,
2271s 必遭天劫。
2276s 我只消与善与悔,
2279s 尔等定当灰飞焉灭。
2286s 屁股好大口气啊,
2292s 听我意,
2292s 你我如今都是五十岁的人了,
2298s 天命不永,
2300s 余日无多。
2302s 你我与其争斗至死,
2305s 不如各自引兵班师,
2308s 安享天年。
2313s 原来你知道非我之敌啊,
2316s 既然这样,
2318s 你且归降于我,
2320s 我赏你一辆四轮车,
2322s 你我同归成都见主上了。
2326s 匹夫只会摇唇鼓舌,
2328s 骚手弄技,
2330s 舌死别无他能,
2333s 匹夫听着,
2335s 我魏国疆土强于数三倍,
2339s 你逆天罚魏,
2342s 匹夫汉树儿,
2344s 永远不能成功。
2345s 属下非要一战了?
2352s 斗将、斗阵法,
2358s 我都不拘你。
2361s 你且不阵吧,
2367s 在你阵法完备之前,
2369s 我绝不趁虚进攻。
2371s 属下认得此任?
2408s 别说是我,
2413s 就是我麾下一篇将也可布置,
2418s 此乃魂源一气阵也。
2421s 你也不阵我看,
2427s 在你阵法形成前,
2431s 我也绝不趁虚进攻。
