27s 外面世界混沌,这里却仿无仙境。
484s 二弟,三弟,
486s 你,你们,我去与崔先生叙谈一会儿,
489s 你们二位去那边草坡暂歇片刻啊。
491s 行,大哥,你只管谈啊,
493s 我也当回卧龙,睡觉去了。
496s 大哥,只是别耽误了,晚饭就成啊。
499s 将军请。
499s 先生请。
501s 敢问将军,何以要见我失孔明呢?
520s 坊间天下大乱,奸雄兵器,
525s 刚长沦丧,民不聊生。
529s 我想拜访孔明,
532s 求取安邦定国之策。
534s 将军想拯救乱世,好极了,
538s 果然是一片仁义之心。
543s 不过,
544s 自古以来,有治就有乱,
547s 治与乱相辅相成,
549s 此起彼伏,永无修之。
552s 我高祖斩蛇起义,诛灭暴秦,
555s 天下由乱入治,
557s 之后太平了约两百年,
559s 可见,治与乱互为因果。
565s 乱是必然,治也是必然。
569s 不乱,反倒可笑了。
571s 先生所言,
572s 果然真是有道理啊,
577s 先生所言,果然阵容发窥,
579s 高减高减,
583s 但刘备,愧为地骤,
586s 胸间流淌着黄沁血脉,
591s 既生于世,
593s 就该当平乱求治,
595s 匡扶大汉啊。
598s 将军大致,在下敬佩。
602s 周平也盼望着这乱世,
604s 越少越短则越好,
606s 盛世越多越长则更佳。
609s 如果世上多些将军这般英雄,
612s 当然是苍生之福,朝廷之幸啊。
617s 先生如此大才,
620s 何不出山来,
621s 助我看平乱世,
623s 辅佐王爷。
626s 在下山野之人,
628s 早已无异于功名大业,
631s 还是临流而坐,
633s 报稀品茶的好。
635s 世上没有神仙,
637s 但是却有神仙一般的日子,
640s 岂不快哉?
641s 连孔明的学生都如此高深莫测,
647s 真不知孔明又该当如何?
652s 将军过誉了,先生请。
654s 请。
659s 这又是个腐乳,
661s 这一坐下来就卖弄这臭酸。
664s 二哥,喝酒。
668s 主光叔管个屁用啊,
671s 这不丁吃不丁喝的,
673s 这连个鸡腿都不吃,
675s 哼,管甚用啊?
707s 孙前啊。
708s 主公。
711s 已经是龙冬蜡月了,
715s 诸葛亮出游,
717s 也该回来了吧?
719s 在下每隔五日,
721s 便请人去卧龙岗打探消息,
724s 截至昨日,
726s 诸葛亮还没有回来。
732s 中原处处战乱,
735s 他独自出游,
737s 我担心他的安危啊。
740s 主公,
741s 你与此人平生素昧相识,
744s 甚至连面都没有见过一次,
747s 何至于此啊?
750s 虽然素昧平生,
753s 却又生死相依,
757s 不瞒你说,
759s 昨夜我与他梦中相会,
763s 彼此大发豪情,
765s 纵论天下。
767s 哦,竟有此等奇事?
778s 主公,龙冬传来口信,
780s 说诸葛亮运又回来了。
782s 真的?
784s 他几时回来的?
785s 昨夜。
786s 孙前,
787s 快请关章兄弟来。
789s 快去快去快去。
796s 二弟、三弟。
797s 大哥!
798s 大哥,
799s 还我等何事?
800s 诸葛亮回来了,
801s 你们随我前去拜访,
802s 立刻就去。
803s 大哥,
805s 为何如此心切?
806s 外面下着大雪,
807s 为何不等雪,
808s 止了以后才去?
809s 不碍事,不碍事。
811s 待我们走到路上,
812s 这雪就止了,
813s 我们一路走,
814s 一路欣赏雪景。
815s 哥哥,
816s 你要是进山打猎,
818s 我去,
819s 若是见那孔明,
820s 我就不去了吧。
822s 为何?
824s 我要瘦袍子啊,
825s 那个腐儒,
827s 哪比得上袍子有趣啊?
828s 听着,
831s 拜访诸葛亮事关重大,
833s 你我兄弟三人少一人便是失礼,
835s 你非去不可。
839s 好好好,
840s 罢了,
841s 那我可得带上酒肉啊。
843s 随你,
877s 天地美景,
880s 江山如画,
881s 这腐儒,
883s 整个一匹蜂,
884s 他不来拜咱们,
886s 咱们却要去拜他。
889s 哥哥上回已经拜过他一次了,
891s 这一礼啊,
893s 这次应该他上门求见才是,
896s 这次却竟敢不来,
899s 应该叫几个兵,
900s 把他抓来见面就是了。
902s 三弟不要发牢骚了。
905s 哥哥,
906s 骂他几句啊,
908s 心里舒服,
909s 要不然,
910s 亏他忘了。
916s 前面有一酒肆,
917s 上次来可还没有啊。
921s 真的诶,
922s 快走快走,
923s 那里啊,
924s 一定有梅酒野味。
926s 你不是带酒肉了吗?
929s 早就吃光了。
932s 大哥,
933s 天色尚早,
934s 不如吃杯酒再走吧。
937s 好好好。
938s 壮士功名尚未成,
941s 无乎酒不欲扬春,
944s 君不见东海老者司京真,
947s 长吉芒荡龙准功,
950s 高潭霸王惊人耳,
954s 绰席言座钦音风。
958s 好啊,
959s 二弟三弟,
961s 那殿内必有高人,
963s 走,
963s 我们去拜访一下。
965s 好好,
965s 我们陪着哥哥去啊,
967s 走。
967s 长吉芒荡龙功,
985s 高潭霸王惊人耳,
986s 殿家,
986s 顾水人有切五斤牛肉。
988s 好,
989s 客官。
990s 绰席言座,
992s 隐音风,
994s 功下其成,
996s 其时二,
998s 天下无人,
1000s 能寄祖好。
1002s 好啊。
1011s 请问二位,
1012s 谁是卧龙先生?
1015s 客官何人,
1016s 为什么要见卧龙呢?
1018s 在下心也留备,
1020s 拜见卧龙先生,
1022s 为求治国安邦之责。
1026s 姓甚,
1027s 姓甚。
1030s 我俩均不是卧龙,
1032s 只是卧龙的朋友,
1034s 我是影川石广元,
1037s 他是汝南孟公威。
1043s 都是京乡高士,
1045s 留备久仰了。
1047s 二位如有闲暇,
1049s 请问能否前往卧龙庄,
1052s 与卧龙先生,
1053s 共同续谈一会儿。
1056s 谢谢将军相邀,
1058s 我们是山野闲览之徒,
1061s 贪杯好酒之辈。
1063s 再说,
1064s 今天我们并不想见诸葛亮。
1067s 将军,
1068s 请便。
1071s 来来来。
1072s 那在下告辞了。
1079s 店家,
1081s 这两位先生的酒钱,
1082s 都算在我身上。
1084s 好嘞。
1088s 这倒好,
1088s 卧龙没见着,
1089s 让卧龙的朋友吃了他们一道。
1094s 客官慢走。
1107s 小哥。
1113s 刘将军。
1114s 小哥,
1116s 请问今日诸葛先生在家吗?
1118s 先生正在堂上读书,
1120s 将军请进吧。
1121s 哦,好。
1125s 凤翱翔于千任兮,
1129s 非武不欺。
1132s 是服储于一方习,
1136s 非主不依。
1140s 乐功耕于龙母兮,
1143s 我爱我母。
1147s 辽季傲于秦书兮,
1151s 以待天时。
1154s 好诗文,
1156s 好志向。
1164s 刘备,
1165s 九慕先生,
1166s 今日总算一睹珍容。
1171s 将军,
1172s 莫非是心野刘玄德?
1175s 正是。
1177s 将军今日前访,
1179s 是想见见家兄诸葛亮吧?
1183s 难道先生不是卧龙先生?
1187s 在下万分抱歉,
1189s 在下乃是孔明之弟诸葛君。
1193s 我们诸葛家中有兄弟三人,
1195s 掌兄诸葛锦,
1197s 刺兄诸葛亮。
1200s 那么,
1201s 卧龙先生何在?
1203s 将军来得不巧,
1205s 家兄外出游玩,
1207s 至今未归,
1208s 在下也是昨日晚些时候才回龙中的。
1216s 敢问,
1216s 卧龙先生往何处游来?
1220s 这可不好说,
1223s 或驾舟游于江湖,
1226s 或访僧旅游于山岭,
1229s 或邀朋友坐于村落,
1232s 或携棋琴坐于洞府,
1234s 总之行踪不定。
1237s 在下替家兄向将军致歉。
1245s 请借纸笔,
1246s 我想留一封书信。
1249s 好,
1249s 将军,
1250s 这边请。
1277s 还是没见着?
1278s 虽然没见着孔明先生,
1280s 但毕竟见着棋弟了,
1282s 总算是没空跑嘛。
1284s 大哥,
1286s 如果孔明有八个兄弟,
1289s 你还要来八次。
1291s 先生来了,
1292s 先生来了,
1293s 先生!
1298s 卧龙先生回来了,
1302s 先生辛苦了,
1303s 在下恭候多时了。
1305s 你是?
1306s 心也留备自全德,
1308s 拜见卧龙先生。
1310s 错了错了,
1312s 他不是孔明先生,
1314s 他是黄老丈。
1316s 在下是诸葛亮的岳父,
1318s 黄承宴,
1320s 此行是来看望小旭的。
1323s 原来是老丈,
1326s 在下有礼了。
1337s 大哥又认错人了。
1349s 哥哥,
1350s 你这是怎么了?
1352s 莫非让这孔明给去蒙了?
1355s 这贱人就叩头,
1357s 到处施大礼的,
1359s 比拜观音菩萨还勤快。
1361s 三弟不要胡言乱语,
1363s 大哥这是,
1364s 求贤若渴。
1367s 大哥,
1369s 我说实话,
1370s 孔明可能是个贤士,
1372s 或许不是。
1373s 或许,
1374s 他不是贤士,
1376s 而是一个,
1378s 孤民钓鱼之徒。
1381s 哥哥说得有道理。
1383s 现在,
1384s 我也是这么想。
1386s 那次,
1387s 老是躲着不见面。
1390s 这就是想抬高自己的身价吗?
1395s 你们不许多言了,
1398s 我坚信,
1400s 郭龙是国士,
1403s 是巨贤,
1405s 是我们的天意所属。
1431s 必是,
1432s 必是!
1434s 等等我!
1439s 我军三个月的粮饷,
1441s 都被蔡茂扣住了。
1443s 昨日,
1443s 在下亲自去荆州,
1445s 和他当面理论。
1447s 我说,
1448s 新野的粮饷,
1449s 是刘锦升答应过的。
1451s 我们刚刚击退曹仁大军,
1453s 保住了荆乡平安,
1455s 为何敌军一退,
1456s 你们却不给粮饷了?
1457s 问得好,
1459s 蔡茂怎么说?
1460s 蔡茂说,
1461s 不是不给,
1462s 是暂缓,
1464s 等各军的粮草上缴以后,
1466s 再示情发放。
1469s 托词。
1471s 还有,
1472s 我们通过商旅买的二百匹战马,
1475s 已被襄阳的主军给扣住了。
1477s 昨日,
1477s 咪方率五百军士前去索要,
1480s 只要回了几十匹奴马。
1482s 他娘的!
1484s 太欺负人了!
1485s 我去!
1486s 三弟,
1489s 你坐下,
1494s 刘景生病势如何?
1497s 听公子说,
1498s 日渐沉重了。
1500s 大哥,
1502s 蔡茂处处排挤,
1504s 世事刁难,
1505s 其用意,
1507s 是想逼我们离开荆乡。
1510s 说得对,
1512s 不过这未必是刘表的意思,
1515s 而是蔡茂肆意妄为。
1519s 如果刘表病好了,
1521s 重掌军政,
1523s 那蔡茂断断不敢如此放肆。
1526s 大哥,二哥,
1528s 你们暂且让我提一支军马,
1530s 这就去荆州,
1531s 管那姓蔡的药粮去,
1533s 她肯定不会给。
1536s 到那个时候,
1537s 我就跟她打起来,
1538s 你们放心,
1540s 我不杀她,
1541s 只是打她个半死,
1542s 把事情一口大。
1546s 那时候,
1547s 刘表的病就全好了,
1549s 我保证!
1551s 三弟的意思是,
1553s 刘表是装病吗?
1554s 那可不是,
1556s 她心里也想逼咱们走,
1559s 可又不好意思说,
1561s 那怎么办?
1562s 就自己装病呗,
1564s 还指使那个蔡茂来为难我们。
1567s 就这等小伎俩,
1569s 那岂能瞒得过我张义德?
1573s 大哥,你说是不?
1575s 不是,
1576s 我义不到万不得已,
1580s 不要和荆州方面闹分,
1582s 实在不行,
1584s 将中军转职,
1586s 返程驻扎,
1588s 离荆州远几百里。
1590s 再等等吧。
1592s 等等,
1593s 还等什么?
1594s 一则,
1597s 等刘景生病逝稍缓,
1599s 二则,
1601s 等孔明回来。
1606s 你还惦记着那个俘儒啊?
1608s 我早把她给忘了!
1616s 见不着孔明,
1618s 我不离开新野。
1620s 大哥,
1622s 竟为了一个山野村夫,
1624s 困坐微诚,
1626s 您不是山野村夫,
1632s 新野也不是微诚,
1634s 上上大吉呀!
1688s 二弟!三弟!
1690s 二弟!三弟!
1695s 二弟!三弟!
1696s 二弟!三弟!
1698s 我刚刚不得已加期,正好是今日,
1700s 我们即刻出发,
1701s 随我去龙中拜访孔明。
1702s 他在吗?
1703s 必在,
1704s 快快备马!
1705s 大哥,
1707s 怕你伤心有句话,
1709s 我一直忍着。
1713s 二弟,你尽管说。
1717s 我们已经去过卧龙岗两次了,
1719s 都没见到朱克亮。
1721s 如果此人是个通情达理之人,
1723s 那么,
1724s 他一定会来新野回拜他。
1728s 但他至今不肯露面,
1731s 说明此人并无才学,
1733s 所以每每躲避着,
1734s 不敢见兄长啊。
1739s 二弟啊,
1740s 七皇宫见东郭先生,
1743s 五次往返方德见一面,
1746s 孔明远胜东郭先生,
1748s 而我求贤之心,
1749s 反倒还不及七皇宫吗?
1753s 大哥,
1754s 你是有诚心啊,
1756s 孔明那次却无真意。
1758s 大哥,二哥,
1759s 今天你们都不用去了,
1760s 我一个人去就行。
1762s 为何你去就行啊?
1763s 怎么不行?
1764s 我拿根绳索,
1765s 把他捆来就是了。
1766s 你不必去了,
1768s 我跟云长去。
1769s 好好好,
1770s 罚了,
1770s 既然两位兄长都去,
1772s 小弟怎能落后?
1774s 我跟着就是了。
1775s 去可以,
1776s 万万不可失礼。
1778s 知道,知道。
1779s 张义德啊,
1780s 是最讲道理的人。
1781s 二哥,
1782s 你说是不是?
1783s 是,
1783s 是啊,
1784s 全天下的道理,
1786s 都在你那杖巴蛇毛上呢。
1797s 此去我龙岗,
1798s 还有两里了,
1800s 下马吧。
1801s 既然还有两里了,
1802s 干嘛下马啊?
1804s 下马不行,
1806s 已是至上。
1807s 哥哥,
1808s 你可够傻的啊,
1809s 这咱成不成的,
1811s 他朱葛亮也看不见呢。
1813s 上有天公,
1814s 下有地母,
1815s 人心中的善善恶恶,
1817s 天地都能看得见,
1818s 听得着。
1820s 诚心是对别人的,
1822s 更是对自己的。
1829s 在下见过刘将军。
1832s 朱葛先生,
1833s 请问尊兄回来没有?
1835s 家兄昨日晚上,
1836s 刚刚返回,
1838s 今日便可与将军在家相会。
1841s 在下有事下山,
1843s 告辞了。
1844s 好,
1848s 不许此行,
1849s 终于可以见到了。
1851s 我也要看一看,
1852s 这孔明,
1853s 到底长了几个鼻子几只眼啊?
1855s 到了乌龙岗,
1856s 我自己去见孔明。
1857s 二位贤弟,
1859s 在外面等候。
1860s 遵命,大哥。
1862s 屋里慢的话,
1863s 我们还是外头爽快。
1886s 刘将军,
1888s 我家先生回来了。
1891s 有劳先同转报,
1893s 就说,
1894s 刘备专程前来拜访。
1896s 我名叫阿三,
1897s 怎么成了先童?
1899s 小子,
1899s 你别臭美了。
1901s 赶快进去,
1902s 叫你们家主子出来迎客了。
1903s 三弟。
1906s 先生半夜才回来,
1908s 现在在草堂上酣睡。
1911s 既然如此,
1912s 不可惊动,
1913s 我就在外面等候好了。
1915s 那可不好,
1916s 先生会怪我的,
1917s 将军,
1917s 你还是进来吧。
1918s 遵命。
1921s 二弟、三弟,
1922s 你们两个在这等候,
1924s 我进去拜会孔明先生,
1926s 切不可喧闹。
1927s 行。
1928s 大哥,
1929s 你放心吧,
1930s 我们不会打扰
1932s 乌龙先生的好梦。
1935s 将军请。
1999s 咱们兄长怎么跟个学童似的,
2002s 乖乖地在那站着呢?
2005s 看来,
2006s 孔明还没睡醒啊。
2009s 咱大哥是满腔斥诚地来拜会他,
2012s 这次,
2013s 竟然如此无礼啊。
2015s 这俘儒啊,
2017s 带我去放把火,
2019s 看他起来不起来。
2020s 三弟,
2021s 不可糟蹋,
2022s 坐下吧,
2036s 你又要干什么?
2038s 我去小解。
2040s 不可走远啊。
2041s 知道了,
2042s 知道了。
2071s 先生。
2072s 大梦谁先觉,
2101s 平生我自知,
2105s 草堂春睡足,
2108s 窗外日迟迟。
2112s 新野刘备,
2129s 拜见乌龙先生。
2133s 惭愧惭愧,
2135s 将军两次前来,
2136s 都未曾如面,
2138s 今日前来又未曾远迎,
2141s 恕罪恕罪。
2144s 知不知,
2146s 这大火是如何烧起来的呀?
2149s 哥哥,
2152s 那是何等人物啊?
2153s 三三两次的来看你,
2155s 你却到处游玩不归的。
2157s 今日总算是回来了,
2159s 又死猪一般地睡,
2160s 害得我哥哥
2161s 足足等了三个多时辰啊。
2163s 是我忍不住,
2164s 放了一把火,
2165s 为你出度假。
2166s 放肆。
2169s 还不快跪下,
2170s 向先生请罪。
2171s 将军不必责怪他。
2174s 你就是张一德吧,
2175s 果然赤胆忠心。
2177s 我这草庐早已破旧,
2179s 今日天降一把大火,
2181s 烧得大快人心,
2182s 还得多谢张将军了。
2185s 这孔明倒是很会说话呀。
2190s 这位便是,
2191s 挂印封经,
2193s 过武官斩将的关云长了。
2195s 在下无耻开外,
2196s 便觉英雄气逼面而来。
2203s 不敢。
2206s 寒舍简陋了,
2207s 阿三烹茶,
2208s 书房待客。
2209s 遵命。
2242s 奸贼四起,
2243s 天下大乱,
2246s 刚长伦丧,
2247s 苍生猛难。
2251s 我身为汉皇后依女,
2254s 每日凌晨,
2255s 眺望蓝天,
2257s 心痛如角啊。
2261s 大痛者必有大志,
2264s 否则痛从何来?
2266s 在下愿闻将军其志。
2271s 我欲奉天子之命,
2274s 扶乾坤与冀斗,
2277s 救黎民与水火。
2280s 可叹我,
2282s 德薄至短,
2284s 起兵至今,
2286s 屡屡被强敌所败。
2289s 几番丧家失所,
2293s 数次颠沛流。
2298s 甚至想拔剑自乎,
2300s 一死了之,
2305s 愧不能言啊。
2308s 所以,
2310s 我三顾茅庐,
2312s 常请先生,
2313s 教我良策。
2319s 董卓之后,
2321s 诸雄并起,
2324s 曹操势力本不及袁绍,
2326s 却能灭了袁绍,
2327s 独成霸业。
2329s 这是为何?
2330s 一在天时,
2332s 二在人谋。
2334s 现如今,
2335s 曹操拥兵百万,
2336s 挟天子以令诸侯,
2338s 执天下牛耳,
2340s 兵威正胜。
2341s 将军,
2342s 不可与之争风。
2345s 再者,
2347s 孙氏兄弟聚江东,
2348s 以立三氏,
2350s 国显而民富,
2351s 兵精而将有。
2353s 将军只可联之为盟,
2355s 不可突发江东。
2357s 再其次,
2358s 京乡九郡,
2359s 四同八达,
2360s 名声富足。
2362s 但其主刘表却十分庸弱,
2364s 断不能久守。
2366s 荆州早晚必将易主。
2369s 这,
2370s 便是上天赐给将军的根据之地。
2373s 难道将军不愿得京乡吗?
2378s 盼直言相告。
2382s 想,
2383s 却不忍心。
2388s 刘景生是我皇兄,
2391s 何人独他激烈?
2396s 我夜观天象,
2398s 刘表已经病危。
2400s 荆州不久,
2402s 便是一座无主之城。
2405s 将军不去,
2407s 难道等曹操来取吗?
2410s 将军得荆州后,
2411s 下一步,
2412s 则要避开中原,
2414s 挥军西向,
2415s 攻取义州,
2416s 也即是西川。
2418s 川地艰险,
2419s 易守难攻,
2420s 古称川地为天府之国,
2422s 那里物产丰盛,
2423s 足可养兵百万。
2425s 当年,
2426s 高祖刘邦就是从川地起兵,
2428s 而得天下成帝也。
2431s 将军得西川、
2432s 京乡两地之后,
2433s 天下一居齐半,
2435s 既知,
2436s 就该南府一跃,
2437s 西合诸荣,
2438s 外劫孙氏,
2440s 内修君正名声。
2441s 待天下有变,
2443s 便可率熊师出秦川,
2444s 取许昌,
2445s 灭曹贼。
