4s 误会他们了。
2011s 三人三计
2013s 二弟关羽
2014s 为马攻守
2015s 三弟张飞
2016s 为部攻守
2018s 我兄弟三人
2019s 一同生死
2020s 荣辱与共
2021s 我十八战诸侯
2022s 引兵最少的也有一万五千
2024s 你们区区三人
2026s 也好意思与我们会盟
2029s 旧国兴盟
2031s 忠义为先
2033s 岂在人多
2035s 既然是皇族后裔
2038s 那就看座吧
2039s 谢座
2040s 员工
2044s 诸位
2060s 我们虽然已经
2061s 起义讨贼了
2063s 但是我们师出无名
2065s 为什么呢
2066s 因为我们缺一道天子诏
2069s 如果我们没有天子诏
2072s 我们不就成了
2073s 乱兵了吗
2075s 我们不就跟董卓一样
2077s 无道了吗
2078s 可天子却掌控在
2081s 董贼的手中
2085s 无法给我们此诏啊
2088s 我出洛阳之前
2090s 天子亲手授予我
2092s 一道密诏
2094s 诏天子
2095s 亲手授予我一道密诏
2101s 诏天下英雄入金秦王
2104s 除贼复国
2110s 十八镇铸侯
2112s 结诏
2127s 贼臣董卓
2129s 篡夺朝纲
2131s 贿乱宫廷
2133s 残害生灵
2134s 祸国士君
2136s 朕
2137s 弃学守诏
2138s 诏天下英雄
2140s 率义军入金秦王
2142s 扩清环语
2144s 扫平奸贼
2145s 忠心大汉
2148s 这诏有些不对啊
2152s 哪儿不对
2153s 天子年幼
2156s 且又被董卓拘于深宫
2160s 再说他也没见过臣下
2162s 怎么会把此诏传给你呢
2165s 公路将军说得对
2168s 天子年方九岁
2172s 怎么能写出如此雄壮的诏书
2176s 这诏书
2178s 乃是我草草
2180s 替天子拟的
2184s 原来是讲道啊
2187s 请问公路将军
2189s 既然那董卓
2191s 能把天子拘于深宫之中
2193s 视如掌上玩物
2195s 我等
2197s 为什么就不能
2199s 视他如草祭
2201s 拿他来为我们所用呢
2203s 再说
2205s 草某手中的诏书
2207s 哪一句
2208s 不是天子想说而不敢说的话
2211s 此诏虽假
2213s 却比真的
2214s 更真
2216s 我料定
2217s 此诏一旦颁布天下
2220s 定然是群贼胆丧
2222s 群雄奋起
2224s 是啊
2225s 说得是啊
2229s 好啊
2230s 好啊
2232s 人言
2233s 曹孟德乃
2234s 治世之能臣
2237s 乱世之奸雄
2240s 今日一见
2243s 果然如此啊
2247s 多谢公路将军夸奖我
2250s 我不但
2251s 替天子拟好了一道诏书
2254s 我还替咱们大伙
2256s 拟好了讨贼方略
2258s 出洛阳之前
2261s 我已经
2262s 屈身是贼
2263s 有半年多了
2265s 这半年多的时间里
2267s 我已经把西梁军
2270s 部署的军力
2272s 粮饷供给
2274s 强弱情况
2275s 摸得一清二楚
2277s 有了这些
2278s 我相信咱们就能
2280s 胜券在握
2282s 大伙请看
2283s 城上的小子们
2307s 给我听好喽
2309s 我是千将军华雄
2311s 奉相国之命
2313s 前来讨伐叛贼
2315s 如果
2316s 你们谁
2317s 能将曹操狗贼的头颅
2319s 给我踢上来
2321s 我将免你们不死
2324s 报
2325s 报
2326s 禀蒙主
2327s 董卓的前封将军华雄
2329s 带着西梁大军
2330s 说要讨伐曹操
2331s 正在关前叫骂
2334s 华雄何需人言
2336s 怎敢如此放肆
2338s 此人不可小事
2340s 可是关西人士
2342s 我称董卓麾下的
2344s 第四员猛将
2346s 第四
2348s 那其他三名
2349s 都是谁啊
2351s 第一是吕布
2353s 第二是李爵
2354s 第三郭四
2356s 第四员
2357s 才是这个华雄
2360s 六位将军
2365s 我等刚刚聚议
2369s 西梁军就来挑战
2371s 这次是我军
2372s 和董贼的首战
2375s 此战
2376s 要求必须
2377s 斩将立功
2378s 以仗我盟军的挺威
2380s 末将请求出战
2385s 石河之内
2386s 定斩下华雄的狗头
2389s 这是我的上将军
2390s 余舍
2392s 好
2393s 取酒来
2394s 为余将军重刑
2397s 蒙德
2402s 接着说你的方略吧
2404s 好
2406s 西梁军
2408s 奉 奉 奉 奉
