81s 好像是一座空城。
1052s 我如果罢免了他的职权
1054s 国中有谁能够
1055s 担当如此之重任
1057s 如果朕不罢免他
1059s 如何又能够明正典型
1061s 须知这些新法
1063s 都是丞相自己立下的
1065s 这次北伐失败
1067s 国中之大臣
1069s 个个惊慌失措
1071s 你说
1072s 这让朕如何是好啊
1074s 臣以为
1076s 诸葛亮的权位
1078s 是万万不可罢成
1080s 是万万不可罢彻的
1083s 因为朝中无人可以替代
1086s 但北伐失败
1088s 又不得不降罪
1091s 陛下
1092s 何不取个折中的法子呢
1095s 什么折中的法子
1097s 将他为右将军
1100s 兴丞相式
1103s 执掌国中兵权
1107s 执掌军政
1111s 好啊
1114s 还是您想得周到啊
1116s 谢陛下
1117s 爱卿啊
1120s 此次大劫你功高卓著啊
1123s 辛苦
1124s 太辛苦了
1125s 瞧
1126s 人都瘦了
1127s 谢陛下
1133s 太祖和先帝都曾说过
1135s 群臣中
1136s 唯有爱卿最知兵略
1139s 此次大劫
1140s 足见先帝有识人之名啊
1143s 先帝何等圣明
1145s 臣如无先帝教诲
1148s 和陛下恩威
1150s 断没有今日之声
1152s 你看看这个
1153s 你也看到了
1157s 这是朕三日之前
1182s 写的圣旨
1184s 要加封你为大司马
1186s 领标记大将军
1189s 可是
1191s 你猜怎么成
1192s 臣猜不着
1193s 百官纷纷上标
1195s 说你
1199s 曾以十五万大军
1201s 进击西城
1202s 然而城内
1203s 只有诸葛亮和一千数兵
1207s 而你却在琴声中
1209s 放走了诸葛亮
1210s 为魏国留下后患
1212s 臣误以为
1213s 城中有福君
1215s 此乃臣之罪
1217s 还有
1218s 有大臣说
1220s 你之所以放走诸葛亮
1222s 是为了养寇自重
1224s 因为
1225s 没有诸葛亮为患
1227s 你司马仪
1228s 也就不可能
1229s 被大用了
1232s 禀陛下
1233s 断无此事
1238s 还有呢
1240s 有人上奏弹劾
1242s 说孟达起兵之前
1244s 深仪曾经劝过你
1247s 要你坐视朕被擒
1250s 听任曹魏灭亡
1252s 然后你则可以
1253s 拥重兵拘王位
1255s 角逐天下
1258s 万万没有此事
1260s 万万没有此事
1262s 万万没有此事啊
1270s 臣恳请陛下明察呀
1278s 爱卿
1280s 这些胡言乱语
1282s 朕
1283s 断断不信
1284s 宁死也不信啊
1286s 陛下英明
1287s 陛下英明
1288s 陛下英明
1292s 可是
1293s 他们让朕
1294s 治你西城之罪
1296s 你看
1298s 这么多弹劾壮子堆在这
1301s 朕
1302s 一时也不敢加上你了
1304s 请陛下罢免
1309s 臣所有兵权
1312s 罢彻臣所有知觉
1316s 朕为了爱惜你
1318s 保护你
1320s 只能暂时
1321s 解除你的兵权
1322s 你也好生休息休息
1324s 暂且不要长兵了
1326s 陛下不杀臣
1328s 一是天恩浩荡
1330s 与山林之相
1344s 哪儿都别去
1350s 就在京都洛阳
1352s 朕
1354s 要赏你一座大的府宅
1357s 比你的晚城旧宅
1359s 大多了
1361s 罪臣遵旨
1372s 父亲父亲
1416s 外面全是虎贲卫士
1418s 我们被软禁了
1422s 我不喝
1435s 父亲
1436s 没想到
1437s 没想到陛下如此待你
1440s 你知道吗
1441s 你知道吗
1445s 诸葛亮兵败汉中
1446s 如善只是割了他的职
1448s 并没夺他的权
1450s 而是让他继续执掌军政
1452s 可你呢
1454s 打了胜仗回朝
1456s 却什么都没有了
1457s 还如处牢狱
1459s 霓裳放走了诸葛亮
1469s 曹真丧失辱国
1472s 连吃败仗
1474s 照样当大将军
1475s 曹修丢了龙骑三郡
1477s 刺杀了十几万将士
1479s 却毫无处分
1481s 还被炮到扬州
1482s 当大都督去了
1485s 你一点小小的过失
1487s 陛下就揪住不放
1489s 他到底想干什么呀
1491s 住口
1492s 天子昏庸
1494s 朝中满食解腻
1497s 你
1498s 你如果再这么忍受下去
1500s 恐怕会死无葬身之地的
1502s 父亲
1505s 逆子
1506s 有一句被逆之言
1513s 我就把你交给陛下处置
1515s 父亲
1517s 你还从来没打过我
1519s 公子
1525s 走开
1527s 荆叔
1530s 荆叔
1546s 奴婢没事
1549s 老爷心里的伤痛才重
1551s 公子你不知道吧
1557s 老爷已经三日没出门了
1560s 整日干坐着
1563s 今日
1564s 才准奴婢来送一碗鸽
1566s 无所依
1588s 夫惜祸所福
1590s 没惊我
1591s 日子吧
1601s 你等着
1614s 终有一天
1615s 朝廷还会找来的
1617s 司马仪的预言
1634s 很快验证
1636s 大都督曹修
1638s 中了濮阳太守
1639s 中房
1640s 炸响之际
1641s 被陆迅
1643s 大破语实情
1645s 曹修
1646s 兵败身亡
1648s 停停停
1649s 来
1650s 搬过来搬过来
1653s 司马大人
1655s 司马大人
1656s 你可算来了
1659s 来来来
1660s 大人
1661s 你下车
1667s 大人
1671s 皇上候你多时了
1675s 请
1680s 请
1683s 自从五弟爷
1684s 就没有任何大臣
1686s 能乘车直驰御街
1690s 这份恩宠
1692s 只有你司马大人
1694s 享受着了
1698s 大人
1705s 你呢
1708s 是老当益壮
1711s 来来来
1712s 慢点慢点
1714s 慢点
1716s 御街都快爬不动了
1732s 司马大人
1733s 你这是偶感风寒
1736s 不必担心
1739s 大人
1740s 那咱走啊
1742s 走
1743s 走
1745s 司马爷
1746s 老爱卿
1747s 请坐请坐
1773s 臣谢座
1777s 爱卿啊
1778s 曹修战败身亡
1780s 国中水失
1790s 损失过半
1796s 朕想
1797s 率領五十万大军
1798s 伐吾啊
1800s 陛下真的要伐吾吗
1803s 朕只是
1804s 说来听听
1805s 征求一下你的意见
1807s 说给臣
1808s 听听
1811s 陛下
1812s 不打算伐吾了
1814s 凡事都得从长计议嘛
1825s 陛下
1826s 这话说得好
1831s 应该从长计议
1833s 陆迅不是大人
1835s 他应该从长计议
1837s 应该从长计议
1845s 陆迅不是大患
1848s 我朝大患
1850s 仍是蜀汉朱各亮
1852s 爱卿言之有理
1854s 据报
1856s 朱各亮退回汉中
1858s 大力整顿兵马
1860s 积攒潜梁兵器
1862s 你看看
1864s 他还是伐吾之心不死
1867s 早晚还会来的
1870s 爱卿
1873s 蜀吾两国
1875s 朕要以谁为首要之地
1878s 应该以核战守之策
1880s 盼先生赐教
1882s 臣断不敢言教
1885s 只能举实而论
1888s 臣刚才说了
1890s 蜀汉是天敌
1893s 朝廷应该让
1897s 东南故事
1899s 将众军步往中原
1904s 随时准备迎战朱各亮
1907s 中原两千余里
1911s 要紧之处便是陈仓
1914s 更要有重兵把守
1916s 为何陈仓这么紧要
1918s 因为他恶中原燕侯
1920s 是敌我双逢必争之地
1925s 四百多年前
1928s 韩信明修战道
1931s 暗渡陈仓
1932s 就是从那儿出兵的
1935s 爱卿
1938s 朕想赋你二十万兵马
1941s 再次请你担任
1942s 雍粮大督徒
1944s 兼领陈仓防务
1948s 五粮之后
1976s 臣又换了废机
1978s 咳血不止
1982s 方才尚余结识
1986s 要不是内侍扶着
1989s 早就跌下去了
1991s 既然如此
1999s 那就为朕举荐一位吧
2004s 大将军曹真
2006s 三叔理正上课
2010s 至于长兵征战
2012s 朕也不必愁了
2015s 他是败将一个
2017s 绝非助个量之敌
2019s 爱卿
2020s 再为朕举荐一个吧
2022s 大将军长子
2024s 后将军曹爽啊
2026s 嫩了嫩了
2029s 乳嗅未干
2030s 不怕
2031s 历练历练
2033s 就和他爹曹真
2034s 一样老辣了
2036s 不话讲
2038s 清除于蓝胜于蓝吗
2040s 仲达
2047s 你长兵多年
2049s 莫非心目中
2051s 就别无能争
2052s 善战之将吗
2054s 陛下言过了
2056s 臣有生之年
2060s 仗军不足两年
2063s 前后负贤加在一起
2065s 倒有二十多年
2071s 可是你人贤心不贤哪
2074s 更何况
2075s 你有变才之名
2078s 你的门身故隶
2079s 便于朝野
2081s 你出征的时候
2082s 婚下的战将
2083s 为你拼死效力
2085s 你百战百胜啊
2087s 陛下又言过了
2091s 将士们
2092s 不是为臣拼死相战
2095s 而是为陛下拼死相战
2098s 再者
2099s 臣也不是百战百胜
2103s 西城那一战
2105s 臣就中了
2107s 诸葛亮的空城计
2109s 现在想起来
2112s 我都汗颜哪
2114s 区区小事
2116s 爱卿为何不这么想
2121s 天下有谁能够
2122s 把诸葛亮打得
2123s 如此落花流水
2125s 逼得他携带千余老幼
2127s 逃往西城
2129s 爱卿
2135s 此事与你的
2136s 累累功勋相比
2138s 实在是九牛一毛啊
2140s 九牛一毛
2146s 朕永不计较此事
2148s 有这资格
2167s 众达
2180s 大兵当前
2182s 你为何不为朝廷
2183s 举荐贤良
2184s 将军好招可当
2195s 好招
2198s 此人自幼便身负沙场
2202s 身经百战
2204s 迫之兵发
2206s 与世不荒
2208s 更有一种好处
2210s 什么好处
2211s 他和清贵曹真相反
2218s 从不口出大言
2220s 好大喜功
2225s 好
2226s 朕命好招
2230s 为征西大将军
2232s 领兵进入陈仓房屋
2235s 陛下圣断
2237s 有话就说
2249s 说完就走
2250s 别惊肉欲
2252s 父亲
2253s 朝中传言
2255s 说陛下给你
2256s 二十万精兵
2257s 请你出赈雍粮
2258s 可你是臣病推辞
2261s 不错
2263s 你不想出山了
2265s 时机未到
2267s 做赈雍粮的事
2269s 里面暗藏玄机
2271s 暗藏什么玄机
2278s 陛下让我做雍粮的大都督
2281s 同时让曹真
2283s 总领天下兵马
2285s 做大将军
2287s 也就是说
2289s 他是我的顶头上司
2291s 陛下让父亲对付诸葛亮
2299s 又让曹真对付父亲
2302s 如果胜了
2303s 功劳全是曹真的
2305s 如果败了
2306s 罪过全是父亲
2308s 半年下来
2319s 府中已增部新兵十五万
2322s 汉中已扩军十二万
2324s 另外
2325s 又添购了两万匹战马
2326s 军械和兵器等物
2328s 各营都在补充当中
2331s 凡新增战技
2333s 都归你未严执着
2335s 粮草军械
2337s 也由你部先行补足
2340s 谢丞相
2343s 你忘了
2345s 我已不是丞相
2347s 丞相
2348s 待丞相试耳
2353s 一样一样
2354s 今秋蜀中各地大熟
2359s 所得粮谷
2360s 比往年多出了两三成
2363s 尚书令李延下令
2364s 让臣把五十万袋粮谷
2366s 送到邪谷那儿屯放
2368s 以备不时之需
2371s 有何不时之需
2374s 丞相如果北伐的话
2376s 粮草不得先行吗
2379s 不错
2381s 朝中文武能如此勤勉
2383s 真乃疏汉之福啊
2389s 对了
2390s 卫武两军交战情况如何
2393s 竟有何军报
2395s 藩城传来消息
2397s 卫国大都督曹修
2399s 中了炸响之际
2401s 被陆迅大败于
2402s 江北实体一带
2404s 卫国水师丧失殆尽
2407s 曹修是羞愤而死啊
2410s 果真如此的话
2414s 对蜀汉倒也是一桩幸事
2418s 知不知怯与不怯
2421s 我看这事千真万确
2426s 为何呀
2428s 因为我也接到军报
2430s 说卫国在中原调兵遣将
2432s 加紧布防
2434s 丞相请讲
2435s 这曹芮为何要调兵遣将
2438s 加紧布防啊
2439s 因为他怕
2440s 他怕丞相成卫国兵败
2442s 发军北伐
2445s 如今还是曹真管理
2448s 雍粮防务
2449s 正是
2451s 但是还有一员被将
2453s 叫郝昭
2454s 曹芮现在已命他为
2456s 镇西将军镇守陈仓了
2460s 郝昭
2461s 自国道
2462s 太原人士三十上下
2464s 早年是徐皇不下
2466s 后从征于司马仪
2468s 丞相啊
2470s 如果要是二次北伐
2472s 你是不是
2474s 打算从陈仓进军啊
