3s 车架备好了吗?
2075s 假如那个时候,荆州的势力巩固了,我们就不必再怕周姨的纠缠。
2082s 事情弄到这般田地,都是我的过失。
2105s 律盟有副都督栽培之恩。
2107s 不要过于自责了,谋事在人,诚事在天嘛。
2118s 那下一步我们该怎么办?
2121s 既然已经弄假成真,我们就只好把这戏给唱下去。
2132s 请都督明示。
2137s 将刘备困于东,给他豪宅大院以丧其心志。
2149s 金玉美色已于其耳目。
2152s 总之,好好伺候着。
2156s 日子已久,他就只记得自己是江东的女婿。
2161s 忘掉荆州了。
2163s 荆州见他不归,必起变乱。
2169s 然后,我们相机行事。
2173s 都督,刘备这人素有大志。
2177s 王物美色,恐怕不能夺其职啊。
2181s 此人号称皇叔,可终究是起于威慕。
2189s 这些年奔走天下,饱受颠沛流离之苦。
2196s 从来没享受过什么人世间的快乐。
2199s 若真让他体验到了,
2201s 就像在饥饿中煎熬了四五天的人,
2204s 给他一桌美味佳肴。
2207s 谁能知道他的饭量有多大?
2209s 都督所言甚是。
2211s 主公已奉太夫人之命,将东府拨给刘备用。
2220s 你要好好休整,广灾花木。
2225s 一应气用,全部都要选最好的。
2228s 再增加女月数十人,多备些金玉锦旗。
2233s 不要怕花钱。
2236s 让刘备过上比神仙都快乐的日子。
2239s 属下明白。
2241s 皇叔,这是先主公孙策东府。
2266s 太夫人说将他赠与皇叔夫妻居住。
2269s 哎哟,这岂敢不成不成。
2273s 太夫人说了,皇叔入住的话,
2276s 能使我东吴人丁兴旺。
2278s 再说,除了皇叔你,还有谁配住这东府呢?
2282s 皇叔莫要推辞。
2284s 那就多谢太夫人厚爱。
2286s 在下恭敬不如从命了。
2291s 皇叔请。
2292s 这是什么?
2293s 这是一株南海珊瑚。
2326s 如此巨大的珊瑚,真是世间罕见啊。
2330s 那这个呢?
2331s 这是一块西域美玉。
2340s 这么大块玉?
2347s 是啊,少说也得值几万斤。
2352s 主公,我听说吴侯生活一向节俭。
2360s 江东上下官吏也十分的简朴。
2363s 他们省下来的用度都用来养兵了。
2367s 怎么对我们却如此大方?
2370s 会不会有什么企图?
2373s 人家一片热忱,
2375s 你怎么能以小人之心夺君子之父呢?
2381s 主公教训的是,属下明白了。
2383s 主公,吴侯派人送来一车钱,
2403s 说是给咱们当月的用度一共四万钱的。
2407s 四万钱?这么多?
2410s 吴侯美意,却知不恭。
2412s 收下。
2414s 好,那我就收下了。
2416s 你不去骑马连社了?
2418s 天都亮了,
2458s 昨日多饮了几杯。
2466s 不去了吗?
