43s 这有块碑,拿火把来。
1688s 什么御旨啊?
1690s 拿过来,
1692s 我呈给皇上。
1694s 太后口谕,
1696s 此旨要当众宣读,
1723s 先帝脱孤于
1725s 大司马曹爽,
1727s 令其辅佐少帝。
1729s 曹爽本应恪守
1731s 尽忠王室,
1733s 但其权欲勋心,
1735s 结党专政于内,
1737s 任用亲私于外,
1739s 荼毒社稷,
1741s 祸乱朝纲,
1743s 使天下只知有大司马,
1745s 不知有天子,
1747s 人神共愤,
1749s 天地不容。
1751s 今,特召太后司马仪,
1753s 令其接掌朝政,
1755s 急拿曹爽兼党,
1757s 严肃朝纲,
1759s 还政于天子,
1761s 众臣当弃暗投明,
1763s 随司马仪拨乱反正,
1765s 有随曹爽抗执者,
1767s 严惩不怠。
1769s 司马仪,
1777s 你,
1779s 你敢诈兵谋我?
1781s 曹爽,
1783s 司马仪已令部将接管了御林军,
1785s 现在全洛阳
1787s 都在他的手里,
1789s 以你这点兵力,
1791s 如要顽抗,
1793s 以卵击石啊。
1795s 哼,圣驾在此,
1797s 尔等须随我护驾,
1799s 诛杀司马老贼。
1801s 众位大臣,
1803s 你们的亲眷,
1805s 已经让大将军司马昭,
1807s 接到御林军营去了。
1809s 你们忍心,
1811s 玉石俱焚吗?
1813s 陛下,
1815s 司马仪军多,
1817s 请陛下顾全大军,
1819s 如何不能抗拒?
1821s 顾曹爽,
1823s 绝不会罪及陛下!
1825s 陛下,
1827s 请指大司马曹爽,
1833s 令他危险吧!
1835s 我问你,
1837s 你说这,
1842s 人的脚,
1845s 为什么比脸和手都要白呢?
1857s 在下不知,
1859s 因为他老藏着,
1861s 没想到曹氏先祖三朝主政,
1863s 今日竟沦落到如此地步,
1900s 司马仪,
1904s 我自带军臣建立的江山。
1906s 我挥剑只有一次,
1908s 我剑磨了十几年啊,
1912s 这都是你先祖
1924s 草草教我的本领。
1926s 可是把他
1979s 赠送给你的人,
1981s 却不是我,
1983s 是你的舅主,
1985s 世祖文皇帝,
1987s 曹匹。
1989s 那么现在,
1991s 你可以
1993s 把一切都说出来了吧?
1995s 十八年前,
1999s 文皇帝
2001s 把禁书
2003s 送到你的身边,
2005s 令他
2007s 倾听你
2009s 说的每一句话,
2011s 观察你
2013s 做的每一件事。
2015s 我原以为
2019s 你是
2021s 不破他的,
2023s 可是当你
2025s 诈病转草爽后,
2027s 我才醒悟过来。
2029s 你原来
2031s 早就把禁书
2033s 看破了。
2035s 早就看破了他,
2037s 可我仍然
2041s 这也是我
2043s 万万没想到的事,
2047s 你居然
2049s 还有爱。
2051s 世祖皇帝
2053s 和曹氏秦贵们
2055s 才自以为
2085s 掌握了
2087s 我的一举一动,
2090s 才会
2092s 对我放心。
2094s 要不然,
2096s 我死马医遭死了。
2098s 我问你一句话,
2122s 望你能
2124s 实情回答。
2126s 墓中这个女人
2128s 是你
2130s 杀死的?
2132s 不。
2142s 在这个世上,
2144s 你所爱的东西
2146s 那就是
2148s 功名大业。
2150s 禁书
2154s 只是你的
2156s 可用之物。
2158s 当它没用时,
2160s 你自然要
2162s 除掉它。
2164s 放血的药
2179s 当成止血的药,
2189s 没生下来。
2193s 你不是说
2195s 你爱它吗?
2197s 难道你就没有一点感情吗?
2203s 我在这个...
2211s 当有禅,
2277s 禅方
2279s 愤意悲鸣,
2281s 欲饮轻怒,
2283s 不知堂郎知在后,
2288s 取其静。
2290s 父亲,
2295s 吾国太傅诸葛克
2302s 率军攻徐昌。
2304s 谁?
2306s 诸葛克,
2308s 也就是诸葛锦之子,
2310s 诸葛亮之侄。
2317s 什么?
2321s 引兵犯境,攻打徐昌。
2325s 兄长已经提兵十万,
2327s 南下抵敌了。
2329s 你说什么?
2331s 谁抵敌了?
2335s 兄长司马师,
2337s 调兵十万南下。
2346s 你哥哥提兵走了,
2355s 你就得待在京城。
2357s 咱们什么时候
2360s 都得留个后手。
2364s 是,
2366s 儿明白。
2370s 爷儿。
2382s 爷爷,
2391s 院中有鱼树,
2393s 旗上有禅,
2395s 禅方愤意悲鸣,
2397s 欲饮轻怒,
2399s 不知堂郎知在后,
2401s 去其境,
2403s 院中有鱼树,
2405s 旗上有禅。
2409s 七十二岁的司马遗病子,
2431s 司马家族已经主宰
2433s 魏国朝政。
2435s 十二年后,
2437s 司马招灭蜀,
2442s 柳山降,
2444s 又两年,
2446s 司马炎篡位称帝,
2449s 建立晋朝。
2451s 公元二八零,
2453s 司马炎荡平吾国,
2458s 三国再次一统,
2462s 天下终归司马时。
