53s 济州大将军袁绍禁告苍雄,
432s 如此极妙。
434s 徐游。在。
438s 传令。明谷。
440s 主公有令。
461s 我先头大军与陈师上路,
463s 天已过正午,
465s 后军才刚刚出城,
467s 前后相连近百里啊。
469s 主公啊,
473s 像今天这般,
475s 在那儿处的大军,
477s 似潮水般涌动,
479s 真乃金骨罕见,
481s 海内奇观啊。
485s 国相曹操,
487s 已知我军所向,
489s 但愿他,
491s 只为风丧感才好。
495s 主公,
497s 此处据那曹操首府许昌,
499s 一百三十里,
501s 据关渡八十里,
503s 少记探报,
505s 曹操将沿途的车站、兵马、资众,
507s 全部收入了许昌,
509s 由此可见,
511s 他已有所准备啊。
517s 传令。
519s 军至关渡下寨,
521s 分炸三座大营,
523s 形成相互侧应之势。
525s 招令。
527s 元兆于济州实施,
535s 沙雪济天,济地济祖,
537s 其水路大军七十万,
539s 于三日前向许昌而来。
541s 元兆的三位公子
543s 都率军驻战,并征作先锋。
545s 元军拥有
547s 萧綦镇、公鲁镇、
549s 铁甲镇、战车镇。
551s 他们粮草充足,
553s 工程期限无数。
555s 少记探报,元军陆路绵延百里,
557s 水路绵延五十里。
559s 其先锋已今日抵达关渡前线。
561s 列位可能
567s 没见过这么多的兵马,
569s 也没听过
571s 这么大的阵势。
573s 元兆有一句话说得不错,
575s 此战
577s 将决定今后
579s 五百年的历史,
581s 决定皇朝天下
583s 归于水手。
585s 大伙说说吧,
590s 是战
592s 是和,
594s 如战,
596s 那么是
598s 急战呢,还是缓战?
600s 如和,
602s 那么是
604s 议和呢,还是求和?
606s 列位竟可直言?
610s 丞相,
615s 元兆势大,
617s 其兵风也正劲,
619s 在下建议,
621s 必战而言和,
623s 先言时日,观其待变,
625s 以谋后发之人。
627s 在下
629s 不议!
631s 在下不议!
633s 臣主战,
639s 丞相非战不可,
641s 却是立战,急战。
643s 为何呢?
645s 我不懂兵,
649s 但我痛切知道
651s 元兆的心理,
653s 他此次进京是非取喜昌不可,
655s 丞相要和,
657s 他也不会和。
659s 此外,元兆军势随大,
661s 那也是徒有虚名。
663s 请问各位将军,
665s 区区一个官允,
667s 就敢在三日之内
669s 连斩严良和文丑?
671s 难道你们这些
673s 身经百战的虎将,
675s 连一个官允都不如吗?
677s 是!
683s 愿为先锋!
686s 末将只需两万精兵,
688s 定能大破敌军!
702s 我在二十岁左右的时候,
704s 还是相当地
706s 崇拜元兆老兄的。
708s 为何呢?
710s 因为他祖上
712s 私事三功,
714s 门身故立,遍天下。
716s 而我的祖父是个宦管,
718s 我自愧不辱,
720s 活受元兆取笑。
724s 三十岁上下呢,
726s 我和他同朝称臣,
728s 我外表尊敬他,
730s 内心里
732s 已经瞧不上他了。
734s 为何呢?
736s 因为正是他
738s 请董卓引军入京,
740s 造成了天下大乱。
742s 而我
744s 早就告诉过他,
746s 这样做
748s 只能引狼入室,
750s 必将自取其祸。
752s 四十岁左右,
761s 我与他各霸一方,
763s 我简直开始蔑视他。
765s 为何呢?
769s 因为他身为人主,
773s 却心胸狭隘,
775s 气势浅薄,
777s 外宽内济,
780s 刚必夺一。
782s 身为统帅,
784s 却有谋而无断,
786s 色利而胆薄,
788s 兵多,
790s 而指挥不宜,
792s 将交,
794s 而政令不明。
796s 身为人妇,
798s 却听任几个儿子,
800s 拥兵自重,
802s 争夺世子大位,
804s 用亲,
806s 不用嫌。
811s 我可见,
813s 我这位
815s 袁绍老兄,
817s 无论是为人主,
819s 为人妇,
821s 还是为统帅,
823s 都是外表庄严,
825s 内力平庸。
828s 这场战役,
830s 其实八年前我就预料到了。
832s 我们相继,
834s 破袁术,
836s 灭吕布,
838s 迎天子,
840s 拥据中原,
842s 早晚,
844s 必将和袁绍
846s 有一场最终的决战。
848s 所以八年来,
850s 我无日无夜地
852s 不为此战做着准备。
854s 今日我且直言,
856s 八年前,
858s 袁绍拥兵三十万,
860s 我想,
862s 我怎么也得有二十万兵马
864s 才能战胜他。
866s 三年前,
868s 袁绍已经拥兵五十万。
870s 我想,
872s 我怎么也得有十万兵马
874s 才能战胜他。
876s 现如今,
878s 袁绍已经拥兵七十万了。
880s 天下周军,
882s 他一个人独占了四个,
884s 可谓声势滔天了吧!
886s 可是我现在想,
890s 如要战胜袁绍,
894s 我只要精兵七万即可。
896s 为何袁绍拥兵越来越少?
898s 反而丞相拥兵越来越少?
900s 因为兵不再多,
902s 再精,
904s 将不再勇,
906s 再谋。
908s 如果要比将士多寡,
910s 我永远也比不上袁绍。
912s 可是要比起精悍和志谋,
914s 三个原本出绑一块,
916s 也比不上我一个曹总。
918s 曹仁,
926s 把我为袁绍准备的兵马
928s 说给大伙听听。
930s 诺。
932s 练卫,
937s 在八年前,
939s 袁绍拥兵,
941s 把各部的轻壮猛士
943s 抽掉于衍州境内,
945s 在那里日夜练兵。
947s 现在,
949s 袁绍拥兵已练出七万精甲。
951s 他们全部都是
953s 身经百战的猛士。
955s 全部都是勇中之勇,
957s 精中之精。
959s 其中,
961s 四万铁骑,
963s 一万长枪壮士,
965s 八千重装甲步军。
967s 其他的,
969s 全部都是弓弩手,
971s 与皮里车。
981s 这七万精甲,
983s 就是我们的剑手,毛头。
985s 他一击之下,
987s 定能刺穿袁绍的三军。
991s 大伙可能会问,
993s 我们不是还有二十万人马吗?
995s 他们干什么?
997s 我告诉你们,
999s 这二十万人马,
1001s 只有一个任务,
1003s 那就是带援军溃败之时,
1005s 放手让他们追杀,
1007s 直到把援军
1009s 斩尽,杀绝。
1011s 遵命!
1013s 这场战役,
1016s 实际上只有一战,
1020s 首战胜,
1027s 袁绍兵败如山倒,
1029s 天下归伍,
1031s 首战不胜,
1033s 我们藏家失所,
1035s 死无葬身之地,
1037s 所以,
1039s 七万精甲,
1041s 全部入首战,
1043s 一战,
1045s 定乾坤。
1047s 诺!
1052s 皮儿啊,
1054s 我只留给你八千老弱
1056s 驻守徐昌礼,守得住吗?
1058s 父亲放心,
1060s 儿定能守得住,
1062s 或许这八千兵勇都还多了。
1064s 为什么呢?
1066s 徐大夫说过,主公精兵所向,
1068s 袁绍无暇踏步。
1070s 好,
1075s 你要多向巡弋学习,
1077s 方能成大旗。
1086s 还是明白。
1091s 丞相,在下认为,
1093s 袁绍兵多并不可怕,
1095s 可怕的是他粮毒。
1097s 闻听袁绍为此战准备了
1099s 两百多万袋粮草,
1101s 而主公只有十五日之粮,
1103s 此战断然不可言诺。
1105s 回回征战我都是为粮草操心,
1107s 这回又是。
1109s 十五日之内,
1115s 必须结束战事。
1117s 丞相,
1137s 大军距关渡,还有二十里,
1139s 袁军已在山坡下,
1141s 扎住阵脚。
1143s 袁绍大军面朝何方?
1147s 北东朝西。
1154s 好,待会儿我要请袁绍
1156s 吃杯茶,
1158s 扶阵吧。
1160s 诺,徐楚张流!
1162s 你们速率四万铁骑,
1164s 绕袭袁军后路。
1166s 在!
1168s 下侯蹲下侯冤!
1170s 在!
1172s 你们率霹雳战阵,守护中军!
1174s 在!
1176s 你们率长江战为前军!
1178s 在!
1180s 你们率弓弩手,射住袁军阵脚!
1182s 在!
1184s 那曹贼一向诡计多端,
1258s 主公不必踩他。
1260s 即刻传令,令三军眼杀过去便是。
1264s 不,
1266s 今日之议,
1268s 必为清时所宰,
1270s 传于后事。
1272s 我军天威浩大,
1274s 胜券在握。
1278s 我可以堂堂正正取曹操的首级,
1280s 又何必要偷袭呢?
1284s 令三军待命,
1286s 弓弩迎而不发。
1290s 我倒想要听听
1292s 他都死到临头了,
1294s 有何话说?
1297s 主公,
1299s 不可大意。
1301s 看我如何戏他。
1327s 本主兄,
1329s 别来无恙了。
1331s 多谢孟德挂怀。
1333s 本人一日好过一日,
1335s 一年
1337s 胜死一年。
1339s 本主兄,
1345s 你不是朝廷的
1350s 成相吗?
1354s 何必信呢?
1356s 人家说我名为汉相,
1358s 实为汉贼。
1360s 本主兄,
1362s 年长,
1364s 自当为尊。
1367s 多谢了。
1390s 咱们俩的交情,
1392s 说起来话长。
1396s 从小咱们就是亲密无间。
1398s 我记得想当年,
1400s 兄台领着我们是
1402s 玩遍了洛阳城。
1404s 那天,
1406s 驾鹰打猎,
1408s 晚上,
1410s 循环作乐。
1412s 那日子真是痛快。
1414s 我有时候想,
1416s 你说这人,
1418s 要是永远不长大,
1420s 那该多好。
1422s 那些丑事,
1424s 孟德还好意思说。
1426s 人不能够忘本啊。
1428s 不能因为,
1430s 你我现在是朝廷重臣,
1432s 国家动量,
1434s 就毁颜以前的丑心。
1436s 常言道,
1438s 人非圣贤,
1440s 殊能无果。
1442s 孟德,
1444s 我不是来和你怀旧的。
1446s 你有什么话赶紧说。
1449s 我那三军将士,
1451s 已经不耐烦了。
1458s 怎么说呢?
1464s 你此次举七十万大军,
1466s 罚我,
1470s 我只支持。
1476s 此话怎讲?
1478s 因为此战,
1480s 如果再推迟五年,
1482s 军必败,我必胜。
1485s 可是现在,
1489s 我不是你的对手。
1492s 我早就料到了,
1496s 我岂能等你五年。
1500s 孟德,
1505s 既然你已经知道了,
1509s 胜负已定,
1511s 不如,
1513s 干脆归乡与我。
1516s 那你那万千将士,
1518s 跟着你送死。
1520s 可是你知道我的性子,
1522s 我是宁四爷不愿意投降的。
1524s 那你我还废话干吗?
1526s 兄弟,
1530s 我虽然不愿意投降,
1532s 却愿意和兄弟请和。
1534s 请和?
1538s 或者说是,
1540s 启和,求和。
1542s 都成,
1544s 随你高兴。
1553s 曹安门啊,曹安门。
1557s 三寸雕蛇,
1559s 就想骗我撤军?
1561s 不敢,不敢骗你。
1563s 乃是,
1565s 请和。
1567s 如果你此刻愿意退兵的话,
1572s 我愿意,
1576s 让出徐州六军,
1578s 只保留
1580s 眼州一地。
1582s 而且我发誓,
1584s 永远,
1586s 不和兄台争天下。
1588s 此话当真?
1596s 为了表示我的真心,
1598s 我此番特意带来了
1600s 请和之物。
1604s 请看。
1617s 你所说的请和之物,
1619s 竟然是,
1621s 大汉天子。
1623s 他不配吗?
1625s 难道他不是兄台,
1627s 朝思暮想之物?
1629s 兄台如果此刻退兵,
1631s 就请把天子带走。
1633s 此后,
1635s 朝廷就安在
1637s 冀州了。
1639s 协天子令诸侯的就是你元大将军。
1641s 天子哥在我手里
1647s 是个包袱。
1651s 因为你比我强,
1653s 你会讨伐我。
1655s 可是如果天子在你手里,
1657s 没人敢讨伐你。
1660s 说白了,
1662s 那跟兄台自个儿当皇帝
1664s 有什么不同呢?
1666s 而且还免除了篡你之名。
1668s 兄台如果
1670s 现在不愿意
1672s 进大魏的话,
1674s 今后无论任何时候,
1676s 您都可以
1678s 废敌自立。
1680s 你看如何?
1697s 徐游军士,
1699s 傅帅跟曹操那儿说什么呢?
1701s 他们有那么多话可说吗?
1703s 我家主公
1705s 与那曹操奸贼
1707s 可是少时晚有。
1709s 彼此之间
1711s 有着说不清的恩恩怨怨。
1713s 不过,
1715s 那曹贼一向心腹狡诈,
1717s 且诡计多端。
1719s 他如此的拖延,
1721s 肯定是别有用心。
1723s 什么用心?
1725s 这个,
1727s 徐游一时,
1729s 也说不清楚。
1731s 你为了讲和,
1746s 单单献出
1749s 天子是不够的,
1751s 你还必须割让许昌昌。
1753s 首辅,
1759s 割让了许昌,你让我何处容身呢?
1761s 你不还有
1763s 远州武俊之地吗?
1765s 这足够让你独白一方。
1767s 远州?
1776s 地狭明寡,
1778s 良想难知,
1780s 自保且难,谈何成罢?
1782s 太太,
1787s 我已经答应割让许昌了。
1789s 还愿意交出天子,
1791s 你就不要违逼太深了。
1793s 你每次
1796s 率军征战,
1798s 都在许昌用命。
1800s 兄弟,
1803s 如果你不想交出许昌城,
1805s 我如何相信你的和谊?
1807s 许昌一时,
1814s 那些个文官武将
1816s 就会认为我是个懦夫,
1818s 庸主,
1820s 他们就会施主夺位。
1822s 那万一
1824s 我要是死了,
1826s 那谁来维护这个和谊呢?
1828s 而且如果有一天
1830s 他们兴兵讨伐兄台,
1832s 那不是给兄台
1834s 那不是给兄台添麻烦吗?
1836s 袁叹将军,
1883s 不必再等,
1885s 即刻明金召回我家主公,
1887s 准备开战!
1889s 不,再等等。
1891s 你们看,
1893s 主公在跟曹操品茶的时候,
1895s 一直是居高临下,
1897s 从容不迫。
1899s 而曹操却在向主公
1901s 祈求着什么?
1903s 曹贼祈求什么?
1905s 要么是祈和,
1907s 公子啊,
1909s 你想主公他不急,
1911s 那应该是胜券在握。
1913s 再等等吧,
1915s 或许我们能够不战而胜。
1917s 郭徒大人,
1919s 别忘了,
1921s 那曹贼可是诡计多端啊。
1923s 再这样拖延下去,
1927s 我们三军将士
1929s 也会躁动不安。
1931s 他们是干什么的?
1943s 他们这是干什么?
1945s 兄弟,
1947s 这些都是公女儿,
1949s 他们拿的都是天子
1951s 赐给将士们的美酒。
1953s 兄弟啊,
1955s 天子对你
1957s 是一片厚爱啊。
1959s 天子多么想化干戈为玉帛,
1961s 让咱们俩都能双双开选啊。
1963s 拜谢天安!
1976s 兄弟,
1984s 不管此番,
1986s 我们是战是和,
1988s 是敌是友。
2011s 坐,坐。
2013s 兄弟,
2015s 你们是来打仗的,
2051s 还是来调情的?
2053s 所有将士听我命令,
2055s 马上把这帮娘们给我赶走,
2057s 快点赶走!
2059s 走!
2061s 走!
2063s 快走!
2065s 走!
2073s 曹军在前面,
2075s 不在后面。
2077s 元熙将军,
2079s 亲自率领一支铁骑,
2081s 火速赶到我军后方去,
2083s 严防那曹贼从后面偷袭。
2085s 遵命!
2098s 快让主公回到本镇!
2100s 现交许长成后,
2102s 我保证今后
2104s 不再与你用兵。
2106s 我还要助损天子,
2108s 封你为大将军,
2110s 领眼周目,
2112s 保你荣华富贵,
2114s 享有佛金。
2116s 多谢兄太宽容啊。
2127s 元盛,
2131s 我如果是你,
2133s 就决不同
2135s 曹孟德议和,
2137s 只会给他住一座青石大坟,
2139s 因为,
2141s 只要曹孟德
2143s 一息尚存,
2145s 他就战无不胜!
2177s 傅帅,请赶紧回营!
2179s 傅帅,曹冲数万铁骑,
2190s 正在抄袭我军后方!
2192s 你这天下第一巨金!
2197s 我非将你碎尸万段不可!
2199s 快撤,傅帅!
