14s 你为何把洛阳让给孙监
1676s 宣德
1681s 宣德保重
1682s 曹将军 孙将军
1703s 文台兄
1704s 告辞了
1705s 文台兄留步
1710s 在下有一事相问
1712s 如有难言之处
1714s 你可以不回答
1716s 请问吧
1720s 你真的得到了传国玉玺吗
1727s 文台兄
1729s 恕我直言
1730s 在我看来
1732s 此物并非福气而是祸害
1735s 元树 元绍皆有君王之职
1737s 无不贪恋此物
1740s 你得到的
1741s 只是一块石头
1743s 却可能树地于天下
1748s 孟德此话
1751s 与儿小儿孙全
1752s 说得倒是十分相近
1754s 孙全
1758s 全儿
1761s 拜见曹伯伯
1763s 拜见曹伯伯
1768s 全儿说
1770s 秦皇想用玉玺传百诗千诗
1774s 不料仅仅二诗
1776s 泡秦就亡了
1779s 说得好啊
1782s 有见地
1784s 养个儿子就应该像他一样
1792s 全儿
1793s 全儿
1794s 我们走
1799s 保重
1800s 江东孙氏
1821s 满门英侯
1823s 何尽可探
1825s 更可律啊
1828s 元绍
1829s 给我送来一封密信
1832s 约我在三金渡劫杀孙涧
1835s 多取传国玉玺
1837s 事成之后
1838s 许我济州三座城池
1840s 并报以黄金五千两
1843s 战马三千匹香榭
1846s 元绍
1848s 为何非要让我劫杀孙涧呢
1851s 此举
1853s 不是有失我金州府的人意之风吗
1858s 不是让我刘表
1860s 左右为难吗
1862s 主公
1864s 元绍的势力比孙涧强盛很多
1867s 他既然想夺传国玉玺
1869s 则说明他怀有君王大志
1872s 主公如果能助他一臂之力
1874s 那么不但靖州无忧
1875s 日后我们还可以借元绍的势力
1878s 相激向青州济州一带扩展
1881s 如此
1882s 主公的前途不可限量了
1886s 再者
1887s 孙涧素来藐视我家主公
1890s 江东战船也不时侵犯武器
1892s 末将赞同与元绍结盟
1894s 屠杀孙涧
1896s 尽元绍之力
1897s 消除金州大患
1901s 孙涧骁勇无比
1903s 听心而论
1905s 你二人是孙涧的对手吗
1915s 主公
1916s 孙涧勇虽勇
1918s 但他有勇无谋
1920s 在下有一计
1923s 如果主公能依计行事的话
1926s 定能灭掉孙涧
1951s 父亲
1953s 有一人自称是元绍密使
1955s 想要见你
1956s 此人何在
1966s 你是何人
1967s 为何要见我
1968s 在下元绍仗前谋士范骏
1972s 受元将军所托
1974s 在此专候孙将军
1979s 何事啊
1980s 说吧
1984s 将军请看
1987s 弟元树百拜文台兄
1990s 先前会盟时
1992s 弟科寇将军梁祥等事
1994s 全是奉元绍所命
1997s 元绍早有帝王之心
1999s 意图借会盟之机壮大实力
2002s 取代董卓独霸天下
2005s 现在他已经密信金州刘表
2008s 许以重力
2009s 约刘表在三京渡社福
2012s 截取传国玉玺
2014s 文台兄千万小心啊
2017s 袁公路为什么
2018s 把这么机密的事告诉我
2021s 难道他不是袁绍的兄弟吗
2023s 同性未必同道啊
2025s 我家主公乃仁义之君
2027s 袁绍则是假仁假义
2030s 口密附鉴之徒
2032s 我家主公不忍见孙将军蒙难
2035s 更不愿让袁绍祸乱天下
2044s 袁叔在信中
2045s 大谈对我孙监的敬重之情
2048s 要与我阶层生死同盟
2051s 共图大业
2053s 两位袁氏兄弟
2055s 表面亲如手足
2057s 内心都始而与我战
2060s 依我看来
2063s 这两人
2065s 都是贪图我的传国玉玺啊
2068s 你们说说
2069s 我们如何应付
2071s 父亲
2074s 依我看
2075s 袁树比袁绍更可恶
2077s 他连自己的堂哥都可以出卖
2079s 末将的意思是
2081s 我部刚受重创
2084s 主公又身负债伤
2086s 我到万不得已的时候
2088s 不要与刘表交兵
2091s 我们还是设法绕过三金渡吧
2095s 三金渡
2097s 是反江东的要道
2100s 我已经命令渡传在那里等候
2104s 如果绕过三金渡
2106s 如果绕过三金渡
2109s 非但渡传在那儿白等一场
2111s 而且我们的归程要延迟二十多天
2115s 特别是
2116s 各部已经断了粮
2118s 而我们的后续粮草
2120s 都在渡传上了
2122s 末将有个想法
2124s 请主公不要生气
2126s 说
2127s 万般祸事都源自玉玺
2130s 主公自从得到那方传国玉玺后
2132s 各地诸侯都像恶狗一般瞪大了眼睛
2136s 眼下
2137s 袁绍 袁束叹图玉玺
2140s 主公何不抛出他来
2142s 两个人员相争
2143s 如此可保江东太平啊
2146s 皇叔万万不可呀
2148s 这传国玉玺乃是上天授予我父亲的
2152s 岂能让给他人
2154s 要我说
2155s 父亲
2156s 刘表现在已经老迈昏溃了
2158s 绝非我敌
2160s 只要我们集中五千金兵
2162s 由我来打先锋
2163s 我保证在三个时辰之内
2165s 擒下刘表攻克荆州城
2172s 荆州城防坚实
2175s 城中有数万兵甲
2178s 仓促之间你攻不下呀
2182s 城铺黄盖
2184s 末将在
2185s 你们俩率本部人马
2187s 在三金渡北面设下一兵
2189s 诺
2190s 孙策
2192s 孩儿在
2194s 你率两千精兵
2196s 在南面设下埋伏
2197s 诺
2199s 如果刘表敢动兵甲
2202s 你们相机杀出
2204s 只取刘表首级
2207s 父亲
2210s 那你呢
2215s 刘表不是冲我来的吗
2218s 那我就带几百老弱残兵
2221s 去会会他
2239s 想取我孙监的首级吗
2257s 文太兄
2258s 别来无恙
2260s 刘兄
2263s 此行何为啊
2265s 特来给你送一份博礼
2269s 袁绍给我的密信
2289s 果然如此啊
2292s 袁绍让你劫杀我
2294s 你孙监最了解我
2296s 我刘表将过半百
2299s 体弱多病
2300s 胸无大志
2302s 手无长技
2304s 我只想保荆州九郡
2307s 上不负皇恩
2308s 下不负黎民百姓罢了
2311s 可是
2313s 袁绍却让我在此设伏
2316s 让我劫杀足下
2319s 这真叫我左右为难啊
2323s 敢问刘兄
2327s 如何决定
2328s 思来想去
2346s 只有率军在此布阵
2349s 其用意是假做拦截
2351s 遮人耳目
2353s 敷衍袁绍
2354s 现在
2355s 文太兄
2357s 你可以率军冲过我的战阵
2359s 直奔三京渡
2361s 请你放心
2363s 只要贵部的号角一响
2365s 我荆州的军阵
2367s 立即败退
2368s 决不交战
2371s 之后
2373s 我可以向袁绍禀报说
2376s 我刘表无能
2379s 拦截失败
2380s 我荆州的兵马
2382s 反而遭到了损失
2385s 这样
2386s 我就既不得罪他袁绍
2388s 也不得罪你孙尖了
2391s 文太兄
2392s 这就是我的两全之策
2395s 你意下如何
2397s 此话当真
2399s 当然
2402s 不过
2403s 我确实还有一个要求
2408s 讲
2410s 从今往后
2412s 你我两家和平相处
2415s 你江东的兵马
2418s 再也不要侵犯我荆州的境界了
2422s 刘兄
2424s 今日起
2426s 我江东兵马
2427s 永远不会过荆州境界半步
2430s 如此
2431s 老朽多谢了
2435s 文太兄
2436s 你现在可以率兵冲杀了
