3s 咱们送这个月的支应了。
1272s 这话,我都不信。
1275s 我怎么能瞒得过周瑜呢?
1278s 可是,我不知道该怎么办。
1312s 女儿给母亲请安了。
1314s 今天你怎么来看我了?
1318s 我还以为,我女儿嫁的人就忘了你。
1322s 母亲这是什么话?
1324s 女儿嫁人了,就不是女儿了?
1327s 来,让我看看。
1331s 这些日子,弦德对你还好吗?
1338s 嗯,天天陪着我。
1341s 这么亲,还真没选错。
1346s 他也学会疼人了。
1350s 只不过,他这两天心情不太好。
1359s 出了什么事?
1362s 是,弦德父母的墳墓在浊郡。
1368s 明天是公公的祭日。
1372s 弦德昨天也感到很伤心。
1375s 我看着他也很难过。
1378s 我想,我想陪他到江边去。
1382s 我希望他能够表达一份孝心。
1386s 或许,他的心情会好一点。
1393s 我不知道母亲会否同意。
1406s 你们要出城了。
1410s 城啊,这是禁校的。
1413s 你该去了。
1417s 女儿代父许,谢过母亲。
1428s 有日子没给你梳头了。
1446s 让我给你梳个头吧。
1505s 小时候,你的头发可稀疏了。
1512s 我夜夜用荷树屋给你梳洗。
1515s 我不想,长大后,
1519s 竟长出这么一头,浓密的头发。
1524s 真是漂亮极了。
1527s 母亲,你在流泪吗?
1537s 没什么。
1541s 人老了,就爱想从前的事。
1546s 想起你小时候的模样,
1552s 不知怎么,这眼泪啊,就流了下来。
1560s 这头发太长了。
1579s 将军,请歉见。
1656s 末将见过太夫人。
1668s 是又平啊。
1674s 不知太夫人唤末将来有何吩咐。
1681s 我差你去办一件事情。
1684s 请太夫人吩咐。
1686s 快到春荒了,囤的军粮够用吗?
1690s 足够了。
1692s 虽然如此,还是要省一些用。
1696s 去年荆州打了一年仗,百姓穷困。
1699s 今年要是再遇什么灾荒,
1701s 只怕就要挤出些粮食,赈济百姓。
1705s 不然盗贼封起,再多的兵都不服用度。
1709s 先生所言甚是。
1711s 军师,你到底救不救我大哥?
1715s 三将军。
1717s 你,给我说清楚了。
1719s 你是不是盼着我大哥倒死呢?
1722s 三将军,你醉了。
1724s 我没醉。
1726s 你到街上去打听打听,
1728s 听听人家是这么说的。
1730s 现在,满街的人都知道了。
1733s 军师和他那个在东吴当官的兄弟,
1737s 朱格谨,早就勾结好了。
1740s 太上有自立。
1742s 三将军,这是谣言,你怎么能信?
1745s 谣言?如果真的是谣言,
1748s 那他现在就发病啊,去救我大哥啊。
1751s 我看,你是舍不得这张照片吗?
1756s 三将军醉了。
1758s 你们还不快把他拆下去歇息。
1773s 诺!诺!
1774s 给我听好了。
1782s 我大哥要是有什么闪失的话,
1785s 我是不会放过你的。
1787s 先生,你就不要和他计较了。
1802s 他都灌了几杯,全都没听见就是了。
1806s 高山,你今天捡起来,
1818s 他明天还要来撒野的。
1820s 先生,这是怎么了?
1822s 发这么大的脾气。
1831s 发这么大的脾气可不像你啊。
1840s 你说得是,我都快不认识我自己了。
1846s 想当初我功耕难养,
1849s 不愿为道良之谋而出使,
1852s 也算得上是高节之事。
1856s 而现在呢,却天天受这屠夫之气。
1860s 先生是个什么样的人,
1867s 我知道。
1869s 而云长、易德他们,
1871s 还不完全知道。
1873s 他们有误会,
1875s 是因为他们心里只有主公,
1877s 他们都是粗人。
1879s 先生怎么能拿自己和他们之气呢?
1883s 我不和他拗气,
1889s 我是和自己拗气。
1892s 先生,你不是常说,
1902s 韩信也曾受过跨下之辱吗?
1905s 坏着中兴汉式的梦想。
1916s 韩信能忍的,先生也该有人才。
1947s 和这些相比,
1951s 这点委屈,
1953s 又算得了什么呢?
1983s 太夫人,今天这顿酒,
1986s 是什么名目啊?
1990s 我请客,还用得着什么名目?
1994s 一年到头,
1996s 你们大家伙,为我江东尽心尽力。
1999s 我还不该请大家,
2001s 饮上一杯。
2003s 来,这十餐好酒啊,
2006s 我叫了三年了,
2008s 你们给我痛痛快快地喝。
2011s 多谢太夫人。
2013s 太夫人,
2015s 如此美味盛宴,
2017s 为何不请凌皇叔,
2019s 一同尝饮呢?
2023s 我那个女婿啊,
2025s 她昨天刚喝了一醒,
2027s 到现在啊,
2029s 还没醉醒呢。
2031s 回头,送她一盘就是了。
2036s 各位,
2038s 这些年江东风调雨顺,
2041s 人顶星望。
2044s 这一是赖上苍之诱,
2047s 二是托太夫人之福啊。
2051s 这第一杯酒,
2054s 我看该敬太夫人。
2057s 祝她老人家福如东海,
2061s 寿比南山。
2063s 祝太夫人福如东海,寿比南山。
2067s 好,
2069s 这杯酒,
2071s 我饮下。
2073s 来,
2074s 不过,
2082s 我不胜酒力,
2084s 你们更应该好好敬敬你们的主公,
2086s 他的酒量可大着呢。
2089s 母亲,
2091s 我的酒量也不好,
2093s 两三杯就醉了。
2095s 大家伙敬你,
2097s 你就喝嘛,
2098s 一年到头也该醉上一回嘛,
2101s 男人不醉上几回,
2104s 能叫男人吗?
2108s 我等敬主公一杯。
2111s 敬主公一杯。
2113s 敬主公一杯。
2115s 好,
2116s 敬诸位。
2119s 敬主公。
2121s 我回去告诉李将军,
2143s 就说刘备去江边了。
2145s 主公啊,
2151s 老臣再敬你一杯。
2154s 好,
2159s 紫布的酒,
2161s 你怎么能不喝呢?
2163s 我喝。
2166s 谢主公。
2184s 主公真是醉了。
2186s 主公还真就醉了。
2193s 好,
2194s 宋吾侯,
2195s 进去歇息吧。
2197s 张大人,
2200s 来来来,
2201s 我敬你一杯。
2203s 我也敬张大人一杯。
2206s 二位大人,
2207s 这杯酒啊,
2208s 我们同敬太夫人。
2213s 将军,
2214s 刘备的车驾已经出了东府,
2215s 要往江边去祭拜。
2216s 传我令,
2220s 立刻令加花带五百军士,
2222s 给我紧紧盯着他们。
2223s 遵命。
2224s 吕蒙啊,
2235s 什么事这么慌张啊?
2237s 大人,
2238s 刘备已出城到了江边,
2240s 现在乘船往西走了。
2242s 这是真的?
2244s 当然是真的。
2246s 那你何不禀报公瑾,
2248s 公瑾跑这儿来干嘛?
2250s 大都都在柴丧,
2251s 后天才能回来。
2253s 大人,
2254s 你赶紧禀报主公吧。
2256s 如果是有其事,
2258s 是该禀报主公,
2260s 可你也都瞧见了,
2262s 主公已醉得人事不知,
2264s 怎么向他禀报?
2266s 要不,
2270s 我跟太夫人说说。
2273s 大人,
2274s 事已至此你还看不出来,
2276s 这太夫人和女儿女婿是一条心哪。
2280s 放肆。
2282s 既然这样,
2284s 你自己拿主意吧。
2286s 这件事,
2287s 只能主公拿主意。
2289s 绕来绕去,
2291s 还是绕不开主公。
2293s 那,
2296s 你就等他酒醒吧。
2300s 张大人。
2324s 什么?
2326s 刘备写五妹不辞而别了?
2328s 你们是怎么搞的?
2332s 现在才来禀报?
2333s 仕才主公一直睡着,
2335s 老臣只好等在狼下。
2338s 这叫什么事啊?
2340s 你们早该叫醒我了。
2342s 立刻派人到江上追。
2345s 主公,
2346s 甲花有要事禀报。
2348s 传他进来。
2350s 诺。
2354s 报主公,
2355s 大都督已经派人在江上拦住那艘船。
2357s 何否扣住刘备?
2364s 刘备等人均不在船上。
2366s 只有几十个跟随他从荆州过来的小兵。
2369s 我们去过东府,
2371s 刘备和小姐都不在府中。
2374s 大都都认为他使用了金蝉脱壳之计。
2377s 多半已从陆路逃往荆州去了。
2380s 好一招,金蝉脱壳。
2384s 这一来就耽误了我们一日的时间。
2388s 我这样对待你,
2404s 你却跟我玩这种花样。
2406s 立刻传令。
2407s 派周泰和蒋亲帅五百精兵从陆上追。
2411s 一定要把刘备和五妹劫回来。
2413s 遵命。
2414s 收拾了吧。
2415s 主公,
2428s 前面有伏兵。
2447s 这周郎真是机关算戒呀。
