26s 刘将军
745s 此役过后
748s 我就要谢甲归田了
751s 列位
752s 也可以四绝封侯
756s 带上千两黄金
759s 万亩良田
761s 搂着三五个娇妻美妾
764s 饱享清福
767s 谢天下
769s 但是
771s 不管是金山银山
772s 还是娇妻美妾
774s 眼下还都只是画饼
777s 哪怕他已经端到你面前了
780s 在入嘴前的一刻
783s 仍有可能失去
786s 列位还记得
787s 江京渡吗
790s 刘备已经是我们的掌中物
793s 盘中餐了
795s 可是在最后一刻
797s 煮熟的鸭子
799s 飞走了
801s 因此此役
803s 诸位一定要
805s 立兵莫马
808s 一定要
810s 将孙刘全奸
813s 万不可让
814s 江京渡之事重演
821s 蔡某
824s 末将在
826s 我给你
828s 三个月时间
830s 在东庭湖操练四十万水军
833s 打造八千艘战船
836s 五月十日
839s 率全部的水军战船
842s 出伯阳湖开赴
844s 赤壁将判
846s 遵命
848s 承玉
849s 在
852s 笔墨伺候
854s 我要给孙全
855s 下一道诏书
868s 孤诚皇命
871s 奉天罚罪
874s 今其所下
877s 刘从肃首
880s 今乡九郡
882s 望丰来归
886s 今统
887s 雄兵百万
889s 战将千元
891s 欲与卒下
892s 会列于江东
895s 共秦刘备
897s 拥结盟航
900s 盼卒下
901s 顺天几手
908s 将此诏
909s 抄写三千份
911s 至于竹筒沿江飘下
914s 要让
918s 万里长江
920s 都飘满了
922s 我给孙全的战表
925s 我要让
926s 沿江的子民
928s 心惊胆战
931s 我要让江东的文武
934s 魂飞魄散
952s 虽然我积极主张
954s 孙柳两家联手抗草
957s 但是
958s 江东的群臣
959s 并非都像我这般思想
963s 所以
964s 请你见到我家主公之时
966s 特别是在大庭广众之下
969s 切不可以
970s 曹操兵多将我罢
977s 理解 理解
979s 实至上有长短
981s 何况江东群贤苦
984s 再说了
985s 家家都有本难念的经
994s 是何声音
996s 报
997s 秦省
998s 这是曹操的战书
999s 皇命奉天罚罪
1013s 京启所向
1015s 刘从肃守
1017s 京乡九军望风来归
1020s 金统雄兵百万
1022s 上将千元
1023s 欲与卒下会练于江东
1026s 共秦刘备
1028s 永劫盟好
1029s 盼卒下顺天击手
1033s 以免自误
1035s 好文章
1045s 气吞山河
1047s 雄势鼓劲
1051s 这些战书顺江而下
1055s 江东的官民士族
1057s 谁都可以取而官
1058s 江东的军心民心
1067s 都要为之大乱呢
1069s 现在我主的案头
1076s 还不是堆积了
1077s 多少这样的竹筒子啊
1079s 紫禁啊
1085s 你现在该知道
1086s 曹操何等厉害了吧
1089s 他呀
1090s 未功成
1092s 先功兴
1094s 先生 请登岸
1117s 主公请孔明先生客馆歇息
1120s 明日相见
1125s 请
1128s 主公请先生立刻相见
1172s 师叔
1173s 你继续说
1178s 主公啊
1179s 有些话
1180s 也只有老臣敢言
1183s 旁人害怕得罪主公
1188s 但说无妨
1193s 曹操拥百万之中
1196s 挟天子之名
1199s 经其遮日
1201s 兵甲漫天
1203s 其将大多来自北方
1206s 或者西域
1207s 汉勇无比
1210s 其族大多久经沙场
1213s 兵丰正境
1216s 其文臣谋士
1218s 大多凶有韬略
1220s 足智多谋
1222s 而我江东兵马
1226s 步骑水师
1228s 加在一块步俗十万
1232s 自先主公创业
1234s 五十二年下来
1236s 江东将士所经历过的
1238s 最大一场战争
1240s 只是与荆襄刘表交战
1243s 且不分胜负
1246s 而刘表的部将们
1248s 此次
1250s 根本不敢与曹军交战
1252s 就已经开成现象了
1256s 综上所述
1258s 我江东军旅
1260s 非曹军之敌呀
1268s 师叔
1269s 主公
1270s 我们
1271s 有一道长江天线
1274s 是也
1276s 但
1277s 曹操有百万凶师
1279s 足以头边断流
1283s 再者
1284s 我们刚刚从上将于夫口中得知
1288s 曹操正在洞庭湖训练水军
1293s 日夜不停
1295s 打造上千条战船
1299s 从他们
1300s 发运下来的龙骨判断
1303s 那些战船
1305s 长二十丈
1307s 阔数丈
1310s 比我江东战船
1312s 要宽大许多
1317s 那
1318s 师叔的意思是
1328s 战
1329s 江东生灵投探
1335s 祥
1337s 方可保静安民
1340s 请主公率江东六郡官员百姓
1344s 归顺朝廷
1346s 曹操必授主公
1348s 提领江东之位
1350s 让主公
1351s 永镇东吴
1358s 只需
1360s 按年向徐昌缴纳税付即可
1365s 因为曹操所要的是
1367s 一统天下
1368s 成万载功名
1371s 他最不想看到的是
1373s 到处诸侯割据
1375s 群雄争霸山河破碎
1380s 他也不想看到
1382s 南北大军疏死交兵
1385s 致使
1386s 尸堆如山
1388s 血漫长江
1395s 子不所言
1396s 是也
1398s 必战倾乡
1400s 何天意
1402s 顺民心
1413s 师叔和各位先生
1416s 先请回
1417s 此事
1420s 容我三思
1424s 他们都劝我降
1455s 可你平平里一句话也没有
1458s 主公啊
1461s 张昭他们主降
1463s 有他们的道理
1466s 从他们的角度看
1468s 自然是该想的
1471s 因为他们归乡以后
1473s 仍然可以治理州政
1476s 管理农丧
1477s 太平如旧
1479s 仍然不失为朝廷的命官
1482s 甚至
1486s 甚至连在下也是可以想的
1490s 在下想了以后
1491s 可以器官不做
1493s 在家摆弄些诗文笔墨
1496s 开门授图
1499s 混合温饱不成问题
1502s 可是
1502s 江东文物人人可想
1508s 唯独主公你
1510s 是万万想不得呀
1523s 为何我
1525s 就万万想不得
1528s 不久前
1530s 曹操在许昌
1533s 编制了一个黄金的笼子
1537s 灿烂无比啊
1542s 这个笼子叫做朝廷
1545s 笼中关了一只鸟
1549s 这个鸟的名字
1551s 叫天子
1553s 不久后
1555s 曹操又把一只鸟
1557s 关了进去
1559s 它的名字叫刘从
1562s 如果主公回乡
1564s 主公也会被曹操
1566s 关进这只黄金的笼子
1571s 一只笼子关进去三只鸟
1586s 你这番话
1591s 要把我的信都刺穿了
1594s 完全可能
1613s 孔明先生
1616s 紫禁兄
1618s 孔明今天
1619s 真乃是
1621s 红光满面
1622s 神采一役
1624s 好不精神哪
1627s 江东天灵地秀
1629s 群贤碧极
1630s 我若再不光彩点
1632s 有何颜面见贵主公啊
1639s 孔明啊
1641s 切记
1642s 在我主公面前
1644s 千万不要说
1645s 曹军兵夺将广啊
1650s 理解
1652s 理解
1655s 请
1656s 请
1678s 这是江东常事
1680s 张昭张子布
1685s 在下江东威谋之事
1688s 张昭事业
1690s 久闻先生
1692s 高卧龙中
1694s 号称卧龙
1696s 此笔管众乐意
1702s 莫非
1703s 真的有此笔吗
1707s 这只是在下生平小可之笔
1709s 先生不必在意
1714s 听说刘史君
1716s 三顾茅庐
1718s 才请的先生出山
1721s 之后刘史君
1723s 如鱼得水
1726s 准备席卷京乡
1729s 独呈霸业
1732s 如今
1734s 京乡久郡
1736s 已落于曹操之手
1739s 敢问此时此刻
1742s 鱼在水中
1743s 还是鱼在汤锅
1748s 我主公若想取京乡
1750s 那是易如反掌
1752s 刘表曾再三相让
1754s 我主公不忍取同宗激业
1757s 这才让曹贼窃得京乡
1760s 如今我主屯兵江下
1763s 如龙入海 凤腾空
1765s 别有良徒
1766s 子布先生勿虑
1773s 先生自笔管众乐意
1780s 管众者相助齐桓公
1784s 独霸诸侯一筐天意下
1788s 乐意者扶持若嫣
1791s 一鼓作气连下齐
1794s 七十二成
1796s 此二人堪称星国济世之才艺
1802s 而先生呢
1805s 枯坐草庐 笑傲丰业
1809s 除报锡银炭之外
1812s 别无所常
1814s 刘使君未得先生钱
1817s 尚能割据城池 自保有余
1822s 得先生之后
1824s 则抛兵弃甲 望风而窜
1830s 尚不能报天子 以安庶民
1833s 下不能叫贼君 而守疆土
1838s 半年不到
1840s 弃新野 失凡城 败当阳 走下口
1847s 放黄南北 陆路东西
1851s 竟无一寸立身之地
1858s 在下直言相告
1862s 先生雅量 叛物见怪
1867s 蓬飞万里 雁雀不识其志
1872s 我本以为雁雀应在林间
1875s 没想到今日都聚于郎下
1879s 我主刘玄德却曾败于汝南
1882s 托付于刘表
1883s 事实兵不足万 将至关张
1887s 然而当曹操率五十万大军
1889s 杀乃时
1890s 我主于伯旺火攻 白河用水
1893s 致使曹人 李典 夏侯
1895s 蹲十万兵马 骗甲无归
1899s 即使管众越异用兵
1902s 也未必过此
1904s 当阳路上 后有追兵 前有大疆
1908s 二十万百姓俘老邪幼追随我主公
1911s 日行至十里
1913s 我主公宁守刀剑也不弃百姓
1916s 如此仁义之君百世以来
1918s 足下可曾听说过吗
1922s 然而却有夸夸齐谈之辈
1926s 闭目涩听 视而不见
1929s 如论孤鸣钓狱
1931s 他们无人能及
1933s 如论临敌用兵
1935s 他们却百无一能
1938s 只能一笑天下
1949s 曹操拥兵百万 上将千元
1952s 龙香虎施 玉京吞江下
1955s 敢问足下有何良策
1958s 曹操收袁绍已聚之兵
1960s 节流表乌合之重
1962s 哪怕他号称百万千万
1965s 我也不惧
1966s 足下君败于当阳
1968s 既穷于下口
1970s 黄黄求救于江东
1972s 竟敢说无惧
1974s 真是狂言其事
1977s 我主公仅有兵勇数千
1979s 岂能敌曹操百万之重
1982s 现退守江下
1983s 仍与曹贼势不两立
1985s 待机杀敌
1987s 而江东兵经良族
1989s 雄居长江天欠
1991s 却有一般风雅之势
1993s 苦口婆心劝其主归降曹贼
1997s 如此看来
1999s 我主公真是天底下
2001s 最不惧曹操之人了
2007s 孔明
2008s 想效仿苏秦张仪
2011s 用三寸肉舌扫平东吴吗
2015s 万万不敢
2018s 足下只知苏秦张仪
2020s 乃能言善辩之事
2021s 却不知他们亦真好解
2025s 苏秦配六国相应
2027s 张仪两次相亲
2029s 皆有安邦定国之功
2031s 绝非势强凌弱
2032s 必死贪生之徒
2034s 而时下有人
2035s 亦听说曹操雍君百万
2038s 且不问虚假真实
2040s 即刻欲叩首启祥
2044s 这等人
2045s 还敢效苏秦张仪吗
2050s 孔明以为曹操何需人言
2053s 汉贼
2054s 天下皆知
2056s 又何必问
2057s 此言差矣
2059s 汉传世四百年
2061s 天命已尽
2062s 如今三分天下
2064s 曹操已得其二
2065s 剩下其一已暗怀归心
2068s 刘始君不识天命
2070s 逆流而行
2072s 安能不败啊
2074s 足下此话
2076s 真是无君无父
2077s 不忠不孝之言
2079s 人生于天地间
2081s 当以忠义为本
2082s 我等既为汉臣
2084s 就当与贼势不两立
2086s 大汉已传世四百年
2088s 为何不能再传世四百年
2090s 如果不能
2091s 就是因为有了足下
2092s 这样无君无父之人
2094s 坏了大汉天下也
2106s 孔明真是当世奇才呀
2109s 各位先生
2110s 如果口舌相难
2111s 就不是待客的道理了
2114s 敢问老将军名讳
2116s 此乃江东上将
2119s 黄盖皇公父
2122s 黄盖将军所言
2123s 堪称这条长廊上
2126s 最明白的话
2129s 主公有请
2130s 请
2131s 请
2137s 千万不可言曹军兵多将寡
2140s 理解 理解
2146s 孔明远来令我大感欣慰
2148s 昨夜喜不能寐啊
2151s 我主刘玄德
2152s 托在下拜见孙将军
2154s 暂约孙将军少年英主
2156s 南天一柱
2158s 先生 请入座用茶
2161s 谢座
2167s 卢子敬多次赞扬先生的雄才大略
2170s 今日幸得一见
2172s 我年轻稚嫩
2173s 还盼先生多多教诲于我
2176s 不敢当
2178s 在下自踏入江东地面起
2180s 每时每刻都在饱受教义
2186s 刘史军在心也不忘等地
2189s 屡屡曹操击战
2192s 不知曹兵兵马有多少
2195s 战力究竟如何
2199s 既然是明公亲口垂寻
2202s 在下不敢相瞒
2203s 只能直言禀告
2206s 明公
2207s 曹操的水军 步军 马军
2209s 总计约一百余万
2216s 百万之众
2218s 这其中会不会有诈
2222s 无诈
2223s 容在下一笔笔算给明公听
2227s 中原大战之前
2228s 曹操就有青州军二十二万
2230s 灭袁绍后得其军五六十万
2233s 即使算他才去十几万老弱
2235s 也当得四十五万精兵
2238s 之后半年他再继 并 忧
2241s 各州新练兵勇三十八万
2243s 精州归降后曹操一旦被发
2246s 即得京乡水陆三军三十三万
2249s 综上所计曹操兵马
2251s 不下于一百四十万
2253s 我说百万
2255s 是怕惊吓了江东诸贤
2257s 但明公垂寻
2259s 在下只能直言相告
2268s 曹军战将究竟如何
2272s 曹操在战表中吹嘘
2274s 上将千元
2275s 那是说谎
2277s 但能争善战之将
2278s 大约有三百位左右
2280s 其中当今一流统兵上将
2283s 约三十位左右
2284s 我略举几位
2287s 曹人曹洪兄弟
2289s 夏侯兄弟
2290s 徐楚
2291s 徐晃
2291s 张辽
2292s 岳敬
2293s 李典
2293s 张禾
2294s 都堪称当世名将
2297s 曹操取京乡之后
2301s 别有远之梦
2303s 曹操沿江下战
2305s 打造战船
2306s 训练水师
2308s 战表铺天盖地而来
2310s 他不屠江东
2312s 又当如何
2315s 那我当战当禾还是当降
2317s 请先生为我一决
2330s 在下有一言
2332s 恐明公不肯听从
2336s 愿闻高论
2341s 十年前
2342s 董卓篡逆
2343s 致使天下大乱
2344s 群雄并起
2346s 孙将军父兄与我家主公
2348s 都是在反董秦王时崛起的
2351s 如今十分天下
2353s 曹操独占七八
2355s 剩下仅二三
2357s 留给其他英雄人物的用武之地
2359s 已然不多
2360s 因此
2361s 我主公不得不退居江下
2362s 以待十变
2365s 请明公自己判断一下
2367s 如果能率江东兵马
2368s 敌曹操举国之重
2370s 那就与之战
2371s 如果不能
2372s 就应当
2373s 暗家束手
2375s 向北而败
2385s 北败
2387s 是和
2389s 还是降
2392s 和就是降
2393s 只不过说起来
2395s 比降好听些罢了
2399s 你主刘备
2401s 为何不降
2402s 我主公与明公不同
2404s 他是汉帝之后末世英雄
2407s 哪怕天崩地裂 乾坤毁灭
2409s 我主公必然逊天而死
2411s 断断不暇
