25s 你是副都督。
849s 眼看着就要擒杀孙离了。
852s 不料副都督郭怀凌军杀除,
854s 救回了孙离。
856s 我是没想到,
859s 冤军背后,
861s 他还有一股冤军。
866s 司马已猜破了我的用心啊。
869s 丞相,
871s 此话怎讲?
873s 我让你在武都应评围城大元,
877s 此等肤浅的计谋,
880s 哪怕是一个初战之将都能看出来,
883s 司马已岂能看不出来?
886s 他如果弃城不救,
889s 那么远近及时坐城一里的魏军,
892s 如欲我军攻城,
894s 定会绝望,
895s 甚至将会现城来降。
898s 可是司马已不舍城池,
900s 他必定派军来救了呀!
902s 派个莽夫孙离来救武都,
905s 再派副都督来救孙离,
907s 前者摆明了是假救,
910s 做给其他城一魏军守将看的,
914s 后者才是真救。
917s 可司马已,
921s 他不会亲自率大军来援的。
924s 司马已这只老狐狸。
927s 没有湘儿是诱不到他的。
930s 丞相,
932s 想以谁为儿啊?
935s 我啊。
939s 司马已做梦都想娶我的少级。
943s 魏延哪?
949s 在。
951s 你这就回营去,
953s 整顿兵马准备出战。
957s 明天一早,
959s 你带五千军护我去武都府宁。
962s 丞相,这太危险了吧?
964s 丞相,
965s 如果司马一情场而出,
967s 到那个时候在下根本来不及援救你呀。
974s 生死自有天命。
976s 遵命。
985s 大都督,
1028s 中个量引军朝武都方向去了。
1031s 来人哪?
1032s 在!
1033s 把此人推下去,
1036s 斩首。
1037s 诺!
1038s 大都督,你为何要杀我呀?
1039s 因为你谎报军情,
1043s 本都最恨人说谎。
1045s 大都督,
1046s 小的万万没有说谎,
1047s 小的亲眼看见了诸葛亮。
1049s 是吗?
1051s 诸葛亮身高极许,
1054s 穿什么衣裳,
1055s 骑马还是坐车,
1057s 身边护卫是谁?
1059s 随行有多少军马,
1062s 不许犹豫,
1063s 马上就说。
1065s 诸葛亮羽裳关机,
1067s 坐在一辆四轮车中,
1068s 因此看不出身高极许,
1070s 护卫将军是姜维,
1071s 身高六尺有余,
1073s 随行兵马大约有五千左右,
1075s 小的一直跟了二十多里,
1076s 亲眼看着诸葛亮进入城中。
1078s 你非但没有说谎,
1090s 反而胆大信息,
1092s 本都升你为军前校尉,
1096s 赏钱三千。
1098s 谢谢大都督!
1100s 谢大都督!
1102s 谢大都督!
1104s 这是真的吗?
1123s 诸葛亮离开大营去武都?
1126s 我琢磨诸葛亮有几年了,
1128s 有一个习惯,
1132s 每下一城,
1135s 每得一郡,
1136s 他都要亲自迁往,
1138s 抚慰官民百姓。
1140s 不错,
1142s 我也听说诸葛亮,
1144s 势必攻亲,
1146s 是擒杀诸葛亮的良机啊!
1151s 武都小城一座,
1153s 易攻难守,
1155s 我即刻在两万经济前去,
1157s 明日凌晨便可赶到武都,
1159s 日落之前,
1160s 便能擒杀诸葛亮。
1162s 武都虽说是座小城,
1166s 这山里面若是藏匿几万大军,
1174s 也会不留痕迹。
1176s 别忘了,
1179s 魏妍就在这儿打过一次埋伏。
1182s 大都督所虑极是,
1185s 上一次,
1186s 诸葛亮拿武都城做诱饵,
1190s 这一次他的诱饵,
1192s 是他自己。
1194s 诸葛亮如此胆大,
1196s 真是令人佩服啊!
1198s 诸葛亮是不是就是搬起石头,
1216s 砸自己的脚?
1217s 这世上太聪明的人,
1219s 往往会被聪明所误。
1222s 明白了,
1224s 我们不必追杀诸葛亮,
1226s 而是要杀他个回马枪,
1228s 直击蜀军大营。
1230s 将军不愧为九经沙场,
1233s 一眼就看破要害。
1235s 蜀军的粮草资重都在大营,
1239s 那才是他们的命根子。
1242s 我军要是趁虚攻陷他,
1245s 一把火烧了他,
1247s 诸葛亮的蜀军就会土崩瓦解。
1251s 禀大都董,
1253s 此役轮到我张河出战了,
1256s 我愿带领两万精兵,
1258s 直击蜀军大营。
1260s 将军是大魏三朝老将,
1266s 名扬天下,
1268s 此役,
1269s 还是让后生们去战吧。
1271s 我久不上阵,
1273s 侠中宝剑只知作响,
1276s 浑身骨头,
1278s 村养难忍,
1279s 我非上阵不可。
1281s 就请将军督战,
1289s 不必亲自遇敌厮杀。
1292s 杀大营,杀!
1317s 十年前,
1478s 前方便是剑壳道,
1558s 两面都是绝壁。
1560s 你带两千工奴手前去埋伏,
1562s 我让卫炎罔开一面,
1564s 把张河引入剑壳,
1566s 他活着出来。
1570s 诺!
1571s 什么地方?
1594s 如此一森,
1596s 念你年老,
1606s 我且问你一句,
1608s 详是不详?
1610s 我垂钓高手了,
1675s 可这世上哪有这样下钩的呀?
1690s 尔在武都那边,
1692s 高雪安在了大营这头。
1694s 张河将军,
1699s 身中三十七剑啊!
1706s 我军士气却复活了,
1725s 知道吗?
1730s 张河将军带去的两万精兵,
1733s 没有一人临阵脱逃,
1735s 这就是我军的胜利!
1738s 军心如铁,
1742s 何愁蜀军不败?
1746s 司马昭!
1748s 杀了本都作计,
1750s 剥下马皮来,
1751s 包裹张将军的尸首!
1753s 本都要率三军为他送行!
1755s 遵命!
1758s 丞相,
1805s 末将太营回来了。
1809s 情况如何呀?
1810s 卫军他们身沟高雷,
1812s 丝马衣确实不同于曹真。
1814s 曹真打了败仗,
1816s 上下皆尸昏落魄,
1818s 可司马衣打了败仗,
1820s 却不见一丝乱象。
1822s 丞相!
1824s 大将军,
1826s 在下拟了这幅药方之后,
1828s 还要带一份回去承宇陛下看的。
1858s 请问大将军,
1860s 我是依照病情止血呢,
1862s 还是...
1864s 若是优劣,
1866s 我会尽力尽力,
1868s 但是,
1870s 若是有我的病情,
1872s 你看,
1874s 该如何开这个药方?
1878s 若是依照大将军的病情,
1880s 在下就不用开药了。
1882s 不可!
1884s 万万不可!
1890s 你还是赶紧开这个药方吧。
1892s 只是这药方要开得重一点,
1894s 才能拿回洛阳,
1896s 承越陛下。
1900s 那可不好办了。
1902s 陛下若是知道
1904s 在下作假,
1906s 那还了得。
1908s 我的病情除了足下,
1910s 神不知归不效。
1912s 陛下如何会知道?
1918s 来人哪!
1923s 这是...
1930s 多谢大将军。
1932s 陛下若是看了
1936s 这幅药方,
1938s 我准定赐予大将军
1940s 半年的假期。
1944s 半年?
1946s 多谢了。
1951s 请大将军过目。
1955s 算了。
1957s 爽儿,
1959s 送柳大人。
1961s 诺。
1965s 将军,
1969s 龙启军报到了。
1975s 父亲,
1977s 喜事啊!
1979s 什么喜事啊?
1981s 你怎么弄成这个模样啊?
1983s 司马医中了诸葛亮的诱敌之计,
1985s 吃了大败,
1987s 损军两万多。
1989s 此外,
1991s 大将军张和也因为司马医之过,
1993s 不幸阵亡。
1997s 张和被司马医害死了?
1999s 正是。
2001s 父亲啊,
2003s 你常说司马医深明兵法,
2005s 而看不尽然。
2007s 这一战,
2009s 他不是败得比你更惨吗?
2016s 张和,
2018s 损失了两万多兵马。
2020s 他损失了两万多兵马。
2022s 父亲,
2024s 行。
2026s 去!
2028s 司马医啊!
2030s 中达!
2032s 你不会也是一个败军之将啊!
2036s 爽儿,
2038s 我即刻写到奏者,你星夜赶往洛阳承认陛下。
2040s 父亲是要弹劾司马医。
2042s 我不光要弹劾他,
2046s 我要夺回大都督之权。
2050s 快把医官拦下,
2052s 把他手里那个药方拿回来,快!
2054s 刘大人!
2056s 刘大人!
2060s 司马医长军以来,一直消极避战。
2062s 都三个月了,他总共只打两仗。
2064s 第一仗,失了五度等程。
2066s 第二仗,折损近兵两万多。
2068s 连老将军张和,
2070s 都依司马医指挥失误,
2072s 不幸阵亡。
2074s 老将军身重三十七件哪。
2076s 曹真有何建议?
2078s 家父身上的伤病基本痊愈。
2080s 但心中之痛,仍然痛不可当。
2082s 家父日夜都在为朝廷的安危担忧啊。
2086s 家父托儿臣向陛下请命,
2088s 想要再次出征,
2090s 以血尘苍之耻,尽忠报国。
2092s 又再拜于诸葛亮呢?
2094s 家父说了,
2096s 若再拜于诸葛亮,
2098s 就不等朝廷下旨,
2100s 自斩于军前。
2102s 好,听着。
2104s 令曹真官复原职,
2108s 再次出任平息大都督。
2110s 前往龙溪长军。
2112s 遵旨。
2114s 陛下,
2118s 那司马仪,
2120s 该如何处置?
2122s 你有何建议?
2124s 陛下,
2126s 司马仪先是拒敌必战,
2128s 后则损兵折将。
2130s 朝廷应该明正典型啊。
2132s 你父亲战败的时候,
2134s 明正典型了吗?
2136s 听旨。
2139s 命司马仪为平息副都督,
2141s 协同曹真长军。
2143s 二人尽事前嫌,
2145s 共聚大敌。
2147s 钦此。
2149s 人接旨。
2171s 我费尽心机,
2173s 稳固了几十万军心,
2175s 稳固了大魏防务,
2177s 却无法稳固
2180s 朝廷对我的信任啊。
2182s 父亲,
2184s 如果你比那个曹真当副都督,
2186s 那,
2188s 那是大吃大辱啊,父亲。
2190s 何况,曹真肯定会陷害你。
2192s 我已经给陷害了,
2194s 还能怎么陷害?
2196s 你比如说,
2201s 朱国良只会在
2203s 战场上跟你相敌,
2205s 可曹真呢,
2207s 却会在背后释放暗箭呢。
2209s 不合作。
2227s 跟曹真换个位置。
2229s 既然曹真离开雍良前来长军,
2231s 那父亲就离开军营回雍良去。
2233s 我看不守两个月,
2235s 他又会兵败,又会被陛下撤回。
2237s 大都督,
2248s 你千万不能走啊。
2250s 大都督,
2252s 大都督,千万不能走啊。
2254s 钟达兄,
2259s 你是军心所在,
2261s 唯你才能抵挡朱国良。
2263s 你容易走了之,
2265s 军心,
2267s 又散了。
2269s 不管朝廷怎么对你,
2271s 在我们心中,
2273s 只有你是大都督,
2275s 我们永远听你的军令。
2277s 多谢各位将军。
2279s 多谢。
2281s 我不走。
2284s 不走咱们也得迎接曹真大都督啊。
2297s 停。
2315s 平西副都督司马怡,
2320s 恭迎大将军,
2322s 大都督。
2329s 钟达,
2331s 好久不见,可好吗?
2335s 尚好,尚好。
2337s 我听人说,
2339s 你宁可负贤,
2341s 也不肯做人家的副职。
2343s 这回怎么愿意驱居副都督了?
2347s 回大都督话,
2349s 如不做副都督,
2351s 有人就会上奏朝廷。
2353s 那司马怡脑袋就掉了。
2364s 那就让她先在你的脖子上长着吧。
2368s 如不遵本都军令,
2370s 再让她掉下来不迟。
2372s 在下必遵军令,
2374s 也都依从大都督。
2376s 真的?
2378s 千真万确,
2380s 大都督日后便知。
2400s 金油,了不得呀。
2402s 这个帅案,
2404s 好堂皇,
2406s 好气派。
2408s 简直比圣上的龙案都大。
2412s 各位将军,
2416s 本都奉旨长君,
2418s 陛下对各位
2420s 深怀厚望。
2422s 可是数月来,
2424s 我军一直
2426s 深沟高垒,
2428s 消极必战。
2430s 照这样下去,
2432s 何日可以退敌?
2434s 何日可以告慰圣上?
2438s 这不是在作战,
2440s 这是养寇自重。
2442s 听令!
2448s 本都设四条禁军之策,
2450s 半月之内
2452s 大败诸葛亮!
