10s 苗泽,我且问你,我待你如何?
685s 已经派兵去拿了。
687s 丞相,黄葵的供状最后还有一个名字。
694s 谁啊?
695s 公子曹皮。
699s 这份供状还有谁看过?
721s 除了在下以外,没人看过。
724s 把黄葵带来,我要亲自问他。
730s 黄葵写完供状以后,趁人不备,放在刀刃上,死了。
735s 死了?
736s 他这是要死无对证,传命许楚。
751s 拿曹皮来见我即可。
754s 怎么了?
758s 丞相,你真的相信黄葵的供词吗?
763s 在下可万万不敢相信。
768s 宣玉,你相信不相信不重要。
786s 重要的是,如果我真的死于马腾之手的话,对谁最有利?
793s 你且想想,住公子之间,谁的党羽最大,根基最深。
800s 如果我一旦遭遇不幸,谁最有可能继承我的大位?
812s 立刻拿他。
813s 先生,马腾夜袭不成,兵败备战。
829s 父亲大获全胜。
832s 昨天夜里城里乱了一宵吧?
835s 是。
837s 莫非你这里都听见了?
839s 大乱刚刚静止,你该在丞相身边伺候着,不该出城。
846s 是,这我明白。
849s 是有一件事情让我心里一直是不安的,想请教于先生。
860s 何事?
861s 是让黄奎被捉住了。
865s 父亲正在令人严刑拷打。
868s 此人与我有交情,我怕他会不会供我出来?
875s 先生,先生。
884s 你是黄奎的后台吗?
888s 你是马腾的内应吗?
890s 你想借马腾之手杀死丞相吗?
894s 绝对没有,万万不是啊。
897s 曹皮你听着,如果你想借马腾之手杀死丞相的话,谁也帮不了你,包括我。
903s 还有一件事情我必须让你听明白了。
906s 在这个世上,丞相是我最敬佩的人。
909s 不管丞相怎样待我,都动摇不了我对丞相的忠心和敬佩。
915s 先生,相信我。命死我都不敢背你父亲。
921s 那你还为黄奎担心什么?
924s 黄奎曾经是曹植的宾客,其余我也有旧交。
930s 我当初只不过想让黄奎做我的耳目,去探听曹植的情况,可是...
934s 可是...
935s 万万没有想到他会去勾结马腾啊。
938s 他现在正在受严刑拷问。万一他把我扯进去,一口咬定说我是他的主子,那我跳起黄河我都说不清楚了。
953s 你...你赶紧回城,设法让黄奎死去。
960s 我也是这么想的,可是军事看管甚严。根本就没有人能靠近他。
968s 公子!公子!公子!公子,公子,不好了。丞相派徐州将军前来召你。你快回府吧。
978s 哦,知道了。外面候着。
987s 诺。
988s 先生,你听见了吗?
993s 你为何这样说?
1005s 没闹我的人是徐楚。徐楚是何人呢?
1012s 他是父亲最得力的战将。只要父亲一声领下,哪怕是让他砍自己的爹、娘,他都不中眉头。
1019s 于险境之中了,你不要心乱。我赠你两个字,你可以试一试。
1034s 先生,请讲。
1037s 第一个字就是赖。黄奎咬你什么,你该不能承认。就是丞相把刀架在你的脖子上。你也要死不认证。
1055s 第二个字呢?
1056s 第二个字就是误。黄奎不是做过曹芝的宾客吗?现在你反误黄奎的后台就是曹芝。
1067s 把水搅昏,让丞相一心大作,是非难断。
1071s 黄奎在府上设宴,以女月招待曹芝,大肆献媚。平日间,黄奎和曹芝也有诗文场合。这些你都可以视为证据。
1087s 请丞相明察。
1090s 黄奎的主子是曹芝。
1097s 曹芝。
1098s 哎呀,情急间我也想不出更多的法子了。但这两个字定能有助于你。公子快快回府吧。
1105s 拜见父亲。
1172s 丞相,在下告退。
1180s 顾碧,你就坐这儿吧。皮儿,我叫徐楚前去招你。你为何足足耽误了三个时辰之久?
1195s 孩儿不在府上,出城去了。
1199s 城中刚刚安定,你为何出城呢?
1203s 孩儿,孩儿开望司马姨去了。
1211s 为什么?
1213s 今天是司马姨的生辰。她孤苦伶仃独守城外,无人为她祝寿。孩儿不忍,送了她两匹绸缎,还有一些酒肉。
1224s 做公子的对旧属下应该有情有义。我这儿有个东西,你拿去欣赏一下。你为什么要勾结黄奎迎马腾入城杀我呢?
1254s 冤枉的父亲!孩儿从来就没有和黄奎打过交道。黄奎是丧心病狂。
1261s 父亲,他一定是件模范失败,横竖誓死,就乱咬一气。
1269s 他想借父亲的手,他想借父亲的手杀我。
1274s 他想借父亲的手杀我。一切他心中对曹家的仇恨呢,父亲。
1285s 你从来都没有和黄奎有过交往吗?
1299s 绝对没有。
1304s 他们正在隔壁审讯黄奎,用不了多久,黄奎就会招供,什么都拿不住。
1311s 所以你要是有什么事,就要抢在他招供之前告诉我,人非圣贤,孰能无辜。
1360s 就连父亲也犯过很多过错。父亲头上的每一根白发,都是一个过错。
1378s 所以你要是犯了什么过错,只要你把它说出来,父亲就会愿意。
1387s 说出来,说完。
1394s 从来就没有和黄奎打过交道。
1408s 死到临头了还敢嘴硬。
1413s 父亲如果一定要让孩儿说,孩儿只能说实话了。
1435s 这就对了,说吧。
1450s 黄奎的主子,黄奎的主子是四弟操职。
1465s 两年前他就是四弟府上的宾客,他们来往密切。
1471s 你混帐!你死到临头了你还敢诬蔑侄儿。
1476s 父亲,孩儿绝对没有诬陷四弟。
1480s 四弟还在黄奎的府上饮宴,黄奎用女月招待四弟,他们还经常。
1485s 你这兄弟。
1507s 孩儿如果有一句虚言,就杀死孩儿吧。
1523s 寻月。
1531s 在。
1532s 去讯问黄奎。
1535s 诺。
1536s 把一切都供出来,他会证明你所说的都是假的。
1602s 父亲,我刚才说的不是实话,黄奎的主子是四弟。
1616s 那咱们爷儿俩啊,就等着黄奎招供吧。
1623s 好。
1625s 等,下棋。
1663s 干什么你们。
1669s 我输了。
1708s 皮儿,我等了你半天了你还是不肯招吗?
1715s 该说的,孩儿都说了,没有一句是假话。
1720s 既然我说不动你,咱们就让天意来断。
1725s 我手里的棋子,如果是单数的话,就说明你对我是一心一意的。
1734s 如果是双数,就说明你对我有二心。
1738s 我就砍了你,你敢吗?
1741s 听请便。
1742s 孩儿。
1743s 现在说真话还来得及。
1753s 孩儿在父亲面前,从来没有说过一句假话。
1766s 我要输了。
1767s 单数,看来你没有骗父亲。
1770s 丞相,黄奎他招了。
1854s 怎么说的?
1872s 黄奎的确和四公子来往很密切。
1875s 这些诗文就是从黄奎小妾的枕头底下搜到的。
1879s 曹植的诗文,怎么会跑到黄奎的枕头底下搜到的。
1891s 这个狗东西。
1893s 风流成星。
1897s 皮儿,父亲委屈你了。
1902s 公子,我不要你赏赐。
1904s 这是五百斤,是丞相送给先生的,寿蛋贺礼。
1969s 丞相赏赐的,那我就收下了。
1973s 你就知道我能赖过去呢。
1975s 因为丞相不同于常人嘛。
1982s 你做错了事情,一昧跪地求饶。
2005s 他会觉着你这个人没出息。
2007s 反过来,要是你坚持到底,死不认账。
2023s 他就会觉着你是个能成大事的人。
2027s 公子,只要你坚持到底,死不认账,
2033s 他就会觉得你是个能成大事的人。
2036s 公子,知道丞相在立生训问你的时候,
2040s 心里在想什么吗?
2042s 想什么?
2050s 丞相在想啊。
2052s 儿啊,千万要顶住喽,千万千万。
2060s 皮儿,我等了你半天了,你还是不跟着吗?
2067s 现在说真话还来得及。
2072s 你怎么会对父相的性情如此了如之诈?
2086s 只都说出来,公子可别怪我对丞相不公啊。
2098s 你快说吧。
2099s 因为丞相自己就是一个敢赖、会赖、
2105s 依赖到底的君王。
2116s 刘泽呀,这回你立了个大功。
2124s 我该好好谢谢你。
2126s 按你的功劳,我应该奉励个将军才是。
2130s 谢谢丞相,谢谢丞相。
2133s 在下还有个不情之请。
2135s 你说?
2137s 请丞相把皇...皇魁的小妾相君赐给我。
2144s 好你个苗泽。
2146s 我总算是明白你为何要出卖自个儿的姐夫了。
2150s 我这辈子最恨属下跟主子的妻妾有染。
2155s 为什么呢?
2157s 我有正妻一,侧妻二,小妾九,一共十二个妻妾。
2163s 如果我的属下跟我的妻妾有染,谋我性命,
2167s 那我岂不是防不胜防了吗?
2171s 我若是留你,那我怎么叫化属下?
2175s 我怎么叫化天下人?
2178s 拿出去砍了。
2180s 丞相,丞相饶命,丞相,丞相。
2183s 丞相,若不是我,马滕早就攻击城来了。
2187s 我救了你性命啊,丞相,你不能这样对待我。
2190s 我对你很好啊,苗泽。
2192s 你早就在马滕之意中光荣战死了。
2195s 我这是要厚葬你啊。
2197s 丞相,丞相饶命啊,丞相。
2200s 丞相,丞相饶命啊,丞相。
2208s 丞相,探马急报。
2210s 马朝寒水纠结的西梁八阵兵马,
2213s 总共二十万大军,以攻陷的长安,正朝徐昌杀来。
2218s 从西梁到徐昌至少要从二十天。
2221s 他们怎么会来得这么快?
2223s 不是来得快。
2225s 是他们早就备好了兵马,
2228s 就等着接应马滕呢。
2231s 来得好。
2234s 这回我要亲自率军出征,消灭西梁军,
2238s 斩草除根。
2242s 我令你坚守通关十天,不准交战。
2296s 你却为何在第九天丢了通关?
2299s 丙丞相,那马朝率军日日夜夜在城下辱骂,
2304s 把我们曹氏家族的祖宗八代都骂变了。
2308s 末将忍了九天,再也忍无可忍,
2312s 就下令出城与他决一死战。
2314s 既然交战就应该战胜,却为何兵败石城?
2317s 那西梁军十分骁勇,末将不能敌。
2328s 你身为主将,却违我军令,还兵败石城。
2333s 斩了。
2335s 丞相!丞相!
2337s 曹洪虽然兵败,但大敌当前,
2340s 斩杀大将恐非吉兆啊!
2343s 丞相,请你宽恕曹洪,让他戴罪立功吧!
2348s 求求丞相,让他戴罪立功吧!
2352s 将曹洪贬为武长军前效命。
2368s 谢丞相不杀之恩!
2370s 尔等听战!再有战败者,我绝不轻饶!
2380s 遵命!
