4s 川帝艰险易守难攻,
2161s 各州郡的文武官员,
2163s 也都能同心同德了。
2166s 周瑜啊,
2168s 孙策并不是庸弱的孩子,
2171s 相反,
2172s 他太聪明了,
2174s 以示于他为了江东的百年大业,
2177s 决心放弃自己的主位。
2180s 秉先主公,
2181s 在下周瑜,
2233s 率成普,
2234s 黄盖,
2235s 韩当,
2236s 祖茂,
2237s 并率三军将士,
2239s 在主公临前立誓,
2241s 同心同德,
2243s 扶助少主,
2245s 生死无悔,
2246s 永固江东。
2248s 生死无悔,
2250s 永固江东。
2252s 各位将军请起,
2276s 我孙泉,
2291s 在此发誓,
2293s 与各位前辈,
2295s 荣辱于共,
2297s 生死同仇,
2299s 共创,
2301s 千秋大业。
2303s 你带着幼子,
2348s 肯定会引起人们的见地防备。
2351s 一旦有人,
2353s 利用此事,
2354s 那最终的结局将是,
2357s 孙泉一手建立起来的江东大局,
2362s 不得稳定。
2364s 我得先生日日授教,
2410s 心胸大开,
2412s 真是如鱼得水啊。
2414s 先生,
2415s 请。
2416s 好。
2419s 云长,
2420s 你听见没有?
2421s 这大哥成了鱼,
2423s 孔明成了水,
2424s 那咱哥俩是什么呀?
2426s 大哥,
2427s 把孔明接下山后,
2429s 便以施礼相待,
2431s 食之同席,
2433s 寝则同事,
2435s 争天谈古论今。
2438s 都快把你我兄弟给忘了。
2442s 这孔明啊,
2443s 比我还小十多岁呢。
2444s 说他是乳嗅未干,
2446s 也不为过啊。
2447s 他怎么配做咱大哥的师父啊?
2451s 此人浑身上下都是嘴,
2454s 除了巧舌如簧之外,
2456s 不见真本事。
2458s 大哥,
2459s 都快被他给哄糊涂了。
2465s 二哥,
2466s 让我收拾他一下。
2467s 不可,
2469s 你何必招大哥发怒呢?
2471s 那咱们就这么忍着?
2473s 莫急,
2474s 太平时光,
2476s 看不出真本事。
2477s 大敌当前,
2479s 还是要靠你我兄弟。
2482s 这倒是。
