18s 国家
1790s 主公不能回去
1791s 杀回去
1793s 我兄弟如果死了
1794s 我绝不渡伤
1795s 主公
1796s 使不得呀
1797s 万万使不得呀
1798s 使不得呀 主公
1799s 让开
1801s 主公
1802s 主公
1803s 使不得呀
1804s 杀回去
1805s 主公
1806s 使不得呀 主公
1808s 主公
1809s 你快看
1810s 救兵来了
1811s 救兵来了
1812s 救兵
1813s 救兵
1821s 总算是来了
1833s 山大
1834s 惭愧呀
1841s 于兄来迟了一步
1842s 连累贤弟
1843s 沦落到如此地步
1848s 请问曹公
1850s 数日前
1851s 你是不是遣人
1853s 带给我一封密信
1855s 结果被成功截火了
1856s 是有这么回事
1857s 不过这封信
1858s 不是给你的
1859s 它原本就是写给成功看的
1862s 什么
1864s 你故意让它截火的
1867s 当然
1868s 否则
1869s 吕布怎么会向你用兵
1871s 徐州又怎么可能会空许
1875s 可惜
1876s 为此
1877s 我一个中仆的性命
1878s 都丢了
1888s 曹操
1890s 你知道你有多狠吗
1892s 你使这道奸计
1894s 不但使我丢了城池
1896s 还害得我两个兄弟
1897s 陷入城北生死破严
1899s 我知道
1902s 知道
1905s 贤弟不必悲伤
1906s 城池
1908s 我可以替你去取
1910s 关张若有不幸
1911s 你不是还有我曹操吗
1913s 咱们联手
1914s 何时不成
1920s 且看我如何收拾联合
1922s 将军
1940s 将军
1942s 邵琪探报
1943s 曹操的大军到了
1945s 你不是说
1948s 至少五天才能到吗
1949s 今天才第三天
1951s 曹操真是巨奸
1953s 他一定是提前动兵了
1955s 曹军在哪
1958s 我没看到
1959s 你当然看不到了
1961s 我料想
1962s 他一定是奔徐州去了
1964s 徐州
1967s 对
1969s 他要娶我徐州
1970s 快回去
1972s 快
1973s 快开城门
2005s 放下吊桥
2007s 吕布
2008s 徐州城原本就不属于你
2010s 是你抢弹留备的
2012s 今天
2013s 我要把它献给朝廷
2018s 你这奸贼
2020s 卖主求荣
2023s 这对贼父子
2024s 卖主求荣
2025s 又不是第一回了
2027s 匹夫
2028s 曹操大军将日
2030s 你赶快逃命吧
2032s 否则将成瓮中之变
2035s 陈登在哪
2039s 把他抓起来
2041s 我要用他的头颅
2042s 逼陈归开城
2043s 到现在你还执迷不悟
2045s 陈登早就不知去向
2047s 先生
2060s 我们该怎么办
2064s 看来
2065s 徐州各军
2066s 都已经落入曹操手中了
2068s 这时下批应该还没有陷入
2070s 那里可以坚守一时
2072s 退守下批
2079s 走
2080s 去下批
2115s 二弟 三弟
2116s 你们安然无恙
2118s 谢天谢地
2119s 陈哥
2120s 我和三弟杀出重围
2121s 到处找你
2122s 急死人了
2125s 我早就跟二哥说了嘛
2126s 怕个甚
2127s 咱大哥
2128s 那是上天脱身的
2130s 逢凶化吉
2131s 欲奈成祥啊
2133s 二弟 三弟
2134s 真豪杰
2136s 二爷
2137s 陈哥
2138s 我所言不虚罢
2139s 你现在兄弟有了
2141s 城池也有了
2149s 我有兄弟足矣
2152s 至于城池嘛
2154s 当然要归属曹公了
2156s 这话说得透彻
2159s 大哥
2163s 我们走
2164s 走
2165s 在下陈登
2173s 恭迎曹公进城
2176s 快快请起
2179s 你们二人
2180s 为朝廷立了大功
2182s 我会裱奏天子
2184s 为你们
2185s 拜官进爵
2187s 谢曹公
2188s 主公
2191s 吕布已经带兵
2192s 投奔下坯去了
2194s 曹仁
2195s 在
2196s 立刻靠军
2197s 传命各部
2198s 歇息三日
2199s 准备
2201s 不
2202s 只准歇息一日
2204s 明日即攻打下坯
2206s 主公
2207s 将士们已经奔袭了
2208s 六百多里
2209s 即使人扛得住
2210s 战马也扛不住啊
2211s 只歇一天
2212s 恐怕
2214s 吕布如同惊弓之鸟
2215s 如不乘胜除之
2216s 很有可能投奔袁绍
2218s 如此一来
2219s 袁绍的势力就变大了
2220s 明白了吗
2221s 末将明白了
2223s 奉先哪
2258s 我们刚刚大败
2259s 死里逃生
2260s 这才来到下坯
2262s 你看你
2263s 转眼间
2264s 你又快活得像神仙似的
2266s 仙上我累了
2268s 小心一些
2270s 知道吗
2271s 现在外面是军心摇动
2273s 生兵满营啊
2274s 你作为义军统帅
2276s 你应该到将士们中间去啊
2279s 我去过了
2281s 我刚刚视察过城防
2282s 情况怎么样
2283s 下批城防坚实无比
2290s 城中粮食充足
2292s 足够食用百日
2294s 城外又有道似水之险
2297s 水流湍急
2299s 曹操大军如果来
2301s 我军聚成而守
2303s 无忧
2304s 先生只管放心
2306s 报
2307s 上将军
2308s 曹操率军叩关
2312s 听到了吧
2313s 曹操大军又到了
2315s 你在哪儿啊
2316s 曹操大军又到了
2317s 你在这里对酒当歌
2319s 人家可是没有片刻的信息啊
2324s 毕城坚守
2325s 不可应战
2326s 诺
2327s 报
2331s 上将军
2332s 曹操匹马来到调调钱
2333s 呼唤将军出城相见
2335s 他想见我
2337s 冯县长
2338s 曹孟德诡计多端
2340s 你可千万不要理睬他
2343s 见见又有何妨
2345s 说不定
2347s 说不定他是来跟我求和的呢
2350s 你
2351s 你怎么如此的天真呢
2354s 先生请上城
2358s 待我劈脚后就来
2365s 快去我方天化吉
2366s 诺
2367s 将军
2372s 公台先生对你忠心耿耿
2374s 你真应该听听他的劝呀
2377s 臣公虽然忠诚
2379s 但他太过傲慢
2381s 那你呢
2382s 你就不傲慢了吗
2385s 奴婢倒觉得
2386s 这全天下最傲慢的
2388s 就当书将军你了
2391s 将军
2392s 你想
2394s 那成归父子
2395s 倒是最为悲谦
2397s 可是悲谦之下
2399s 暗藏奸险呀
2400s 爱妻说得是
2409s 我愧对成功了
2410s 论英勇
2412s 将军是天下无双
2418s 可是论计谋
2420s 跟公台先生比起来
2422s 将军倒像是个孩子
2425s 好了
2426s 快去和公台先生
2427s 商量一下该怎么办吧
2429s 去呀
