12s 主公,前面有伏兵。
364s 儒生总归还是讲道理的,对武夫又如何说得清理呢?
369s 就算说服不了他们,我还有对汉氏的一颗忠心。
375s 一枪必须。
377s 先生,你怎么能想到去死呢?
381s 没了先生,这天下该怎么办?
394s 侍卫知己者死。
400s 谁让我诸葛亮遇到了主公呢?
411s 子龙,好了,到了江边了。
414s 我俩孔明必会派快船来接我们。
417s 你赶紧扬江边寻找快船。
419s 是,主公。
429s 刘备!
430s 刘备!
432s 快下马受复吧!
434s 你是我东吴爱叙,我也不忍心伤你啊!
441s 我们还有第四支警囊吗?
443s 主公,带我与周瑜决一死战。
447s 不必了,他们人多。
450s 刘备!
451s 快下马受复吧!
464s 我家君氏有言,你伤情未愈,不必和我们交战。
469s 孙刘已是亲家,当时百年好合呀。
472s 敢请大都督自重啊!
479s 大都督!
481s 怎么了?
483s 傻!
503s 再敢向前一步,休怪我党无情!
512s 主公,沿江而下半里,边有快船。
515s 主公快去!
517s 子龙,咱们走。
539s 君氏备下了一句告别词,要我传给周瑜听。
549s 你传给他吧。
550s 传话吧!
551s 请君氏下令,出兵伐吾。
600s 这只兵马已经不是从前主公和二位拉起来的几百人的小队伍了,
606s 而是一只几万人的大军。
609s 什么时候打仗,该怎么打,都得按规矩来。
614s 就是有千军万马,那也是从大哥这颗种子上发出来的芽。
619s 要是没了大哥,就是得到全天下,又有个屁用了。
624s 我瞧出来了,你呀,是想他永远不会回来了。
630s 你想占用荆州啊。
633s 主公对二位情深似海,对我也是恩重如山。
640s 你们追随主公几十年,我等待这样一位英雄也等了十几年。
646s 你们对主公忠心耿耿,我对主公的忠心上苍可见。
651s 只是打仗不能只凭意气,要有能力,得能忍耐。
660s 诸葛先生,我知道你能言善辩,认你说的天花乱坠。
668s 但你从荆州带来的人马是对付我们的,这是不争的事实对吗?
673s 我问你为何突然调集皇中和魏延的人马,是何用意?
679s 你是想把大哥从中原带来的人马全都给收拾了。
684s 二位将军,你们真的是误会军师了。
688s 二位将军啊,军师猜到你们今天要起事。
693s 他令我拿着兵符,火速把皇中的人马全都调出城去了。
698s 为的就是,就是不想让这几万人之间自相残杀,令亲痛愁快呀。
705s 你说的,可是实话。
707s 二位将军,你们要是不信的话,现在可以出去看看,公安城内还能找到一个荆州兵马。
716s 不管怎么说,我也要带兵把大哥救出来。
729s 我们曾经盟誓,不求同生,但求同死。
735s 我不信,在这个世上,对大哥的感情有谁能超过我和三弟?
742s 三弟。
743s 在。
744s 竹葛亮,带的荆州兵不可靠,要靠,只能靠我这一万个老兄弟,把大哥救出来。
753s 走。
754s 走。
755s 我们走。
756s 报。
757s 启禀二将军,三将军,主公回来了,主公回来了。
761s 是吗?
762s 这是真的。
763s 是真的,就在门口。
765s 二哥,走。
766s 三弟,走。
767s 走走走。
768s 先生,主公回来了,我们还是出去迎接吧。
773s 还是第一次见你留言了。
775s 云长一德。
776s 大哥。
811s 大哥。
825s 大哥。
826s 主公。
827s 大哥。
828s 主公。
829s 大哥,兄弟想死你了。
832s 大哥,想你啊。
834s 我也想你们啊。
839s 军师呢?
840s 为何不见孔明?
843s 他在府里。
848s 军师呢?
849s 为何不见孔明?
850s 他在府衙候着你呢?
855s 快见军师。
856s 如污他的警囊妙计,我险些陷于大难了。
859s 快。
877s 怎么回事?
882s 怎么回事?
884s 啊?
888s 定是你们气走了军师!
893s 尤其是一德宁。
895s 我不再是,你们竟让军师饱受屈辱。
899s 是也不是!
901s 我,我去把军师找回来。
911s 不要开船!
928s 他们追来了。
930s 不用理睬。
932s 船家,解揽开船。
935s 不要开船!
936s 船家!
937s 你万万不能走啊。
953s 都是俺张飞鲁马,开罪了你。
956s 俺张飞在这里给你赔罪了。
959s 先生,欢愉向先生请罪。
963s 孔明啊,事情我都知道了。
973s 这二位也都知罪了。
975s 待回去以后再责罚他们。
978s 军师,俺张飞给你跪下赔罪了。
986s 二哥,你也过来啊。
989s 这些都免了吧。
991s 我去意已决。
994s 此心有如,有如这重剑的枯木。
999s 他生来是不下跪,生来不叩头的。
1016s 可是今天,在家跪都给你跪了。
1018s 老大的头都给你磕了。
1020s 你还是不宽恕啊。
1022s 你,你也太小心眼了吧。
1025s 城啊,求是求不动你了。
1042s 那莫怪我不客气了。
1044s 儿子,咱们把军师嫁回城去。
1047s 好。
1048s 来。
1050s 易德,易德,云长,你们放我下来。
1054s 我已经断了银河,你们毫无关系。
1056s 你们这是劫盗。
1057s 云长,易德,休得无礼啊。
1059s 放我下来。
1061s 休得无礼。
1062s 你们两个站得像卫兵似的,难过不?
1087s 哥,俺哥俩都把好酒好菜给他送来了。
1091s 可他不吃啊。
1093s 大哥,都一天了。
1095s 军师还是不敢宽恕我们。
1098s 你劝劝他。
1100s 是啊。
1101s 你们两个呀,自作自受。
1104s 好好回国吧。
1106s 主公。
1107s 后面来。
1108s 谢主公。
1132s 他们两个确实知道错了。
1158s 小小委屈,与我哥哥在一起。
1171s 与我根本不算什么。
1173s 那你为何还要生气啊?
1175s 不瞒你说,关于张飞这两个人脾气,
1182s 需要好好整治一下。
1184s 为何,他们都是统领万军的将军,
1188s 肩负的责任重大。
1190s 如果在临敌之际,生死关头,
1192s 他们也要一起用势的话,
1194s 那非败不可,会连累大军的。
1197s 尤其那张飞,性如猎虎,
1207s 贪杯好饮,还经常在打醉之中打骂不详。
1211s 确实需要好好整治。
1213s 假使关于,
1224s 他虽然不像张飞那样性烈如火,
1227s 但他傲和。
1229s 普天之下,四海之中,
1231s 他独赴主公一人,
1233s 而小视天下其他英雄,
1235s 甚至曹操,周瑜等人,
1236s 在他眼中皆为草芥。
1238s 随着我们的壮大,
1241s 关于之后,
1242s 定能成为独党一方的统帅。
1245s 这性情就危险了。
1247s 比如说周瑜,
1249s 他才是不下雨,
1251s 却为何屡屡败雨。
1253s 性情,
1255s 张飞关于为将可,
1260s 为帅,则必须虚怀若骨,
1263s 坚韧不拔,
1265s 虔诚待施,
1266s 还要像韩兴那样受到胯下之辱。
1268s 否则的话,
1270s 早晚要吃苦头的。
1272s 先生,
1280s 你深知我两弟的长短,
1282s 比我看得还透明。
1284s 刘备深感敬佩,
1286s 请受我一杯。
1288s 主公。
1290s 二位将军,
1298s 进来喝茶吧。
1300s 多谢军师。
1308s 军师,
1310s 这茶太苦了,
1312s 咱们还是改喝酒吧。
1315s 不,喝茶。
1317s 好,
1319s 喝茶,
1321s 喝茶。
1323s 云昌,
1325s 给军师敬茶。
1327s 遵命。
1329s 大都督!
1335s 殿下,到了天罗地网,
1345s 刘备却成了漏网之鱼。
1349s 现在诸葛亮还敢这么说,
1354s 狠杀我爷!
1367s 都督,
1369s 你千万不能动怒啊,
1371s 否则就中了诸葛亮的奸计。
1373s 他怎么说,
1375s 就是想气坏你啊。
1377s 你这话说对了,
1395s 他就是想气我。
1401s 他杀人不见血,
1403s 送我这句话,
1405s 就是想气死我。
1409s 他意在助心啊。
1418s 好,
1429s 既然我军已在巴陵布置妥当,
1435s 你就下令吧,
1437s 就算掉了我这颗头颅,
1439s 我也要拿下荆州。
1448s 你出身贫寒目不识丁,
1450s 从军后只知在战场拼杀,
1452s 不知使用心计谋略,
1454s 为此吃了很多亏,
1456s 被人记为无暇阿牧,
1458s 后来你发愤突强,
1460s 跟我学习兵法,
1462s 所以你现在更应该懂得
1464s 上兵伐谋的道理。
1466s 属下愚钝,
1472s 将者,
1479s 跪在知敌虚实,
1481s 而后避失而积虚。
1483s 刘备被困在江东做女婿时,
1485s 荆州是空虚的,
1489s 关于张妃不服诸葛亮,
1491s 那是你不去打她。
1493s 现在刘备回去了,
1497s 反倒要去打,
1502s 这不是犯傻吗?
1509s 我来看你来了!
1517s 赶紧收拾一下!
1522s 主公!
1526s 公谨!
1528s 拜见主公!
1530s 公谨,
1533s 我听说你病重,
1535s 特意叫上子敬,
1537s 一起前来看你。
1539s 是啊,
1541s 大都督心胸宽广,
1543s 断不讳为些许小事索扰,
1545s 主公也可以放心了。
1549s 主公,子敬,请上座。
1551s 好。
1568s 公谨,刘备妥协我妹,
1570s 逃之公安,据探报,
1572s 诸葛亮和关张照等人
1574s 也都在公安,忙于扩军练兵。
1576s 连日来,
1578s 众将群情激奋,各营士气高昂,
1580s 将军们都纷纷向我请战,
1582s 说荆州空虚,
1584s 想让我请你攻打荆州。
1586s 你看如何?
1588s 主公也知军心之所向了吗?
1595s 其实,主公攻取荆州之心,
1602s 不下雨攻紧雨驻将。
1604s 只是,
1606s 时机未到,
1608s 还不能和刘备开战呢。
1610s 那么,
1612s 你们为何还来瞧我?
1614s 我已经是个无用之人了。
1616s 哎,
1618s 公谨言重了。
1620s 我和子敬前来,
1622s 就是和你商量战何大计。
1624s 这些日子,
1626s 我也是痛顶思痛,
1641s 苦思冥想啊。
1643s 我觉得,
1647s 玉城大势,
1649s 不能意气相争,
1651s 更无需计较
1653s 玉城一地之德势。
1655s 说得好,
1657s 说得好啊。
1662s 我意,
1666s 刘备不是占着荆州不撒手吗?
1668s 那么,
1670s 就请主公向许昌上表,
1672s 授刘备荆州墓。
1680s 主公为何而笑?
1684s 公谨啊,实不相瞒,
1686s 主公早有此意。
1688s 这次前来,
1690s 就是要和你商量此事啊。
1692s 是吗?
1695s 那么,且让我誓言主公用意吧。
1699s 公谨请讲。
1701s 医者,
1703s 反正荆州已经在刘备手里,
1705s 暂时要不回来。
1707s 那么我们不妨把他已经到手的东西
1709s 再赏赐给他。
1711s 你是江东大都。
1713s 二者,主公的表彰到了许昌,
1715s 也可以迷惑曹操。
1717s 让他看见孙柳两家成亲之后,
1719s 更加的京城团结,荣辱与共。
1721s 让他不敢再济于江东。
1725s 三者,
1727s 还可以懈怠刘备。
1729s 让他以为,
1731s 让他以真诚地与他修好。
1733s 共拒曹操,同仇敌忾。
1735s 而后再寻他的破绽,
1737s 相机行事。
1739s 是吗?
1745s 正是。
1747s 好,今日我等君臣文武,
1749s 上下一心,所见略通。
1751s 日后我江东,
1753s 必将会大展宏图啊。
1757s 许昌发来的文书。
1768s 大出意料啊,
1781s 你们猜猜是何事?
1788s 莫非,
1790s 朝廷要赤封主公?
1793s 差不多。
1795s 但让人意外的是,
1797s 是孙权向许昌上表彰,
1799s 请朝廷收我为京州牧。
1803s 好好好。
1805s 主公啊,你这个妹夫的不辞而别,
1807s 人家非但不生气,
1809s 反而送了这么厚的一份嫁礼。
1811s 好胸颈,
1813s 好气魄。
1815s 东吴认输了。
1817s 大哥,
1819s 曹操同意了吗?
1821s 曹操同意了。
1823s 同意孙权的表彰,
1825s 同时,
1827s 还请朝廷发布御令,
1829s 封周瑜为南郡太守,
1831s 成普为江夏太守。
1835s 妙啊。
1837s 这两只算盘,
1839s 一个比一个精。
1841s 他们打的什么算盘?
1843s 孙权上表,
1845s 让朝廷斥封主公,
1847s 是想用来震慑曹操的。
1849s 看啊,
1851s 我们孙柳两家多亲密啊,
1853s 你如敢来犯,
1855s 我们就共同迎敌。
1857s 同时,也不想让曹操知道,
1859s 我们只是表面亲密,
1861s 实际上,为了京州,
1863s 争得你死我活。
1865s 可曹操呢,更惊讶。
1867s 你不是让我把京州斥封给刘备吗?
1869s 我给,
1871s 不但,我还要加授,
1873s 周瑜为南郡太守,
1875s 成普为江夏太守。
1877s 此二郡,
1879s 是京州重镇,
1881s 而且,都在我们手里。
1883s 曹操这是投石问路啊,
1885s 想用这两个太守的位置,
1887s 试一试,
1889s 孙柳联盟到底结实不结实,
1891s 煽动两家,
1893s 相争相斗。
1895s 军师啊,
1897s 如果周瑜拿着一纸诏书,
1899s 让南郡上任,
1901s 那该当如何?
1903s 放心吧,
1905s 周瑜心里想的是京乡九郡,
1907s 他不会指涂江夏和南郡。
1942s 出事了吧?
1944s 曹操老奸巨猾,
1946s 他不仅准了刘备出任京州牧,
1948s 还加授你为
1950s 南郡太守,
1952s 成普为江夏太守。
1954s 他是想用这两个空头太守,
1956s 诱我们和刘备,
1958s 去争这两个郡。
1960s 我们两家再起刀兵啊。
1964s 主公知道吗?
1966s 此刻已经知道,
1968s 明日主公定会奔计,
1970s 我想,
1972s 在议政之前,
1974s 先来和你商量一下对策。
1977s 京州那边有何动静?
1979s 日日调练兵马,
1981s 刘备的水师也已往路口江面。
1983s 这是在防我们动兵啊。
1985s 紫禁你且坐,
1987s 我想,
1989s 我想跟你退心置腹。
1994s 豪华公君,
1996s 你早就该和我退心置腹啊。
1998s 江东大局,
2010s 除主公外,
2012s 中弹实际上
2014s 是扛在你我的肩上。
2016s 此话对否?
2018s 自然。
2020s 因此,你我若不能间接一致,
2022s 则无法收复主公。
2024s 江东也就无法一致,
2026s 此话对否?
2028s 极对。
2030s 你说我的最终方律,
2032s 京州必取。
2034s 京州不取,
2036s 这江东永远不得安宁。
2040s 取了京州以后,
2042s 才可能向北进击曹操,
2044s 成就帝王大业。
2046s 而为了夺取京州,
2048s 孙柳两家,
2050s 早晚必有一战。
2052s 此话对否?
2054s 完全同意。
2056s 你我之间的分歧
2058s 仅仅在于何时攻取京州
2060s 才最为有利。
2069s 我已把我的想法告诉你。
2073s 上次你和主公来探病时,
2075s 我没有全部说出来。
2080s 上次你建议主公上表彰,
2082s 赤凤刘备为京州牧。
2084s 这是第一步。
2088s 接下来还有第二步。
2090s 我们应该催促刘备取兵,
2092s 吸取西川。
2094s 我们两家不是有约?
2096s 只要刘备另有立足之地,
2098s 就必须归还京州吗?
2100s 对。
2102s 我们必须在主公手中,
2104s 刘备和朱格亮都已经划了。
2106s 请你尽快渡江,
2108s 催促刘备去西川。
2110s 否则他们十年不去。
2112s 我们等十年吗?
2114s 我可以过家。
2119s 但是...
2121s 但是?
2123s 你担心他们以兵马,
2125s 卫备等为托子,
2127s 牵延时日。
2129s 对吧?
2131s 你真是了事如神。
2134s 这全都在我的意料之中。
2138s 如果不知道人家怎么回答,
2140s 那么这个问题就不必去问。
2142s 要问,
2144s 就应该先知道
2146s 他会如何做到。
2148s 在下佩服。
2150s 龚金啊,
2152s 如果朱格亮就是说
2154s 兵马未备,
2156s 粮草不足等等,
2158s 你又当如何应对啊?
2160s 那么我们可以施行第三步。
2162s 你可以这样告诉他们,
2164s 你们兵马未备,粮草不足。
2166s 我们可是兵强马壮,
2168s 粮草足备。
2170s 你们不敢去西川,
2172s 那么我们就帮你去取。
2174s 取了西川之后,
2176s 以西川之地换回京乡九郡。
2179s 你想,他们还有何说法?
2183s 告密。
2188s 他们必然是无话可说。
2190s 就连朱格亮也会是色口无言。
2192s 但是,
2196s 龚金啊,
2198s 去西川是一场大局。
2200s 用兵不少,
2202s 耗时耗粮啊。
2204s 莫非你还有第四步?
2215s 当然。
2217s 爱情失相。
2220s 假图灭国。
2222s 去西川必须途经京乡。
2224s 在进军路上,
2226s 我们兵风一转,
2228s 突然袭取京中。
2230s 刘备、朱格亮无妨,
2232s 三日之内,
2236s 我们必定大获全胜。
2264s 不过...
2268s 不过什么?
2271s 不过只要主公同意,
2273s 我一定全力以赴的支持你。
2275s 而且是义无反顾。
2277s 我必须取下京中。
2287s 先生真有办法。
2296s 我才大半年的功夫,
2298s 这项变戏法能练出这么多的功夫。
2300s 人马虽多,
2302s 但大都是新兵,
2304s 训练还不够。
2306s 那就抓紧练,
2308s 好在这一项没有什么大的战事。
2310s 已经在做了。
2312s 主公你瞧,
2314s 连义德都戒了几个,
2316s 正忙着训练新木兰士族。
2318s 你们都说一说,
2320s 这当兵打仗的,
2322s 第一本事是练什么呀?
2324s 回教爷,既然打仗,
2326s 自然离不开刀剑,
2328s 第一要练的是刀剑。
2330s 你说呢?
2332s 小的认为是弓箭,
2334s 箭要射得准了,
2338s 那敌人到不了身旁,
2340s 第二本事,那就是嗓门。
2342s 刀能砍三步,
2344s 箭能射百步,
2346s 和义灵的人喊起来,
2348s 能让十里以外的敌人大喊,
2350s 能不战自退。
2352s 你们知道吗?
2354s 爷,我当年,
2356s 在城板坡一声断吓,
2358s 就吓退了超超八十万大军啊。
2360s 来,
2362s 你们先给我喊三声,
2364s 杀,杀,杀!
2366s 杀,杀,杀!
2368s 杀,杀,杀!
2370s 你们这干嘛呢?
2372s 哭嗓子,大声点!
2378s 易德这练兵的法子,
2380s 真是少见了。
2382s 我们三弟啊,
2384s 处处透着语政不通。
2386s 报,报!
2388s 主公,
2390s 罗素大人过江来了。
2396s 周瑜果然出招了。
2398s 赶紧出营吧,
2405s 现在咱们已是亲家了。
2409s 走。
2411s 这酒已经三巡了,
2413s 我们该谈点正事了。
2417s 子敬不思辛苦而来,
2419s 当然必有见教。
2421s 请讲,我等熹耳恭听了。
2425s 我家主公和皇叔
2427s 已结成了一家之亲。
2429s 这一家人,
2431s 就不说两家话了。
2433s 不管是一家话
2437s 还是两家话,
2439s 都请畅言之。
2441s 这样才易见亲近嘛。
2443s 朝廷已下旨,
2446s 周瑜,成普
2448s 分别被斥封为
2450s 南郡和江夏太上。
2452s 他们二位准备即日走马上任,
2454s 还请你们
2456s 让出这两个郡来。
