13s 主公 外面有一位来客
15s 自称是主公旧游许忧
689s 所以在下建议
691s 兵马
693s 在大营之外设下伏击
695s 不 这样太简单了
700s 我会把我的空营丢给他
702s 静止去取他的关渡大营
706s 要知道袁绍的大营
708s 可比我的大营
710s 大多了
928s 王朝你夜袭吴朝
930s 我百万军粮毁于一具啊
932s 傅帅
934s 这曹子一定没有足远
936s 不如吴朝吧
938s 傅帅 吴朝粮线一旦被毁
940s 营中只剩三日军粮
942s 大军不能久迟啊
944s 不如挥尸追杀
946s 与曹操决一死战
948s 对 决一死战
950s 傅帅 傅帅
958s 慌什么
961s 不就是那几屯粮草吗
963s 我四十万大军
965s 聚在
967s 曹操奈何我也
969s 请傅帅下令
971s 如何应战
975s 你们想想
979s 吴朝有八千守军
981s 轻可见化为乌有
983s 这说明曹操的所有精锐
985s 都已经去奔起吴朝了
990s 曹操的大营空虚了
992s 没错
994s 传令
996s 请吴朝不顾
998s 赶紧调集兵马
1000s 由我亲自带领
1002s 前往曹操大营
1004s 遵命
1054s 曹操 你中了我们的埋伏了
1056s 快快下马受死
1058s 弟兄们 放箭
1060s 曹军有百
1068s 吴朝臣我军不备 恭喜我军大营
1103s 我们回不去了
1105s 曹操 我和你不务共代替
1107s 傅帅
1113s 傅帅
1115s 傅帅
1117s 傅帅
1119s 傅帅
1121s 我们跟曹操决一死战
1123s 决一死战吧傅帅
1125s 传令吧傅帅
1140s 傅帅
1146s 撤军
1150s 诺
1174s 又想草了
1176s 我们的吴朝被分
1178s 大营丢失
1180s 全是这个贼给害的
1182s 高揽张合
1190s 及诸位将士
1192s 如等且听我一言
1194s 你家主公袁绍
1197s 生性幽柔寡断
1199s 刚毕自用
1201s 贤与不分中间不明
1203s 似
1205s 这等庸主
1207s 安有不败之理乎
1209s 还有
1211s 他那三位公子
1213s 元潭元兮元尚
1215s 既无胸怀大志
1217s 且自私贪婪
1219s 为了争夺世子大位
1221s 却忘了刚常礼
1223s 不讲手足之情
1225s 你争我夺
1227s 勾心斗脚
1229s 早晚必樊木成仇
1231s 定有一场血光之灾
1233s 尔等
1235s 如果再千言不绝的话
1241s 大难
1243s 必将临头了
1245s 古人云
1247s 良亲择木而棋
1251s 良臣择主而侍
1255s 听我一言
1257s 列位将军
1259s 尔等还不如笑话
1261s 尔等还不如效仿我许忧
1263s 悬崖勒马
1265s 当机立断
1267s 弃暗投明
1275s 大家想叛我吗
1277s 如叛我
1281s 现在就赐我一枪
1283s 拿我的首级
1285s 献给曹操
1287s 领功去吧
1296s 如不叛我
1300s 我令你们立刻上山
1302s 敢杀许勇
1304s 主公啊
1306s 这山上肯定有夫君
1308s 此时上山
1310s 等于是送死啊
1312s 为将者
1314s 岂能贪生怕死
1321s 我令你们
1396s 禀副帅
1414s 不到
1417s 三年前
1419s 我率七十万大军出征
1445s 却不到百次
1447s 天诛曹不诛有爱
1465s 主公
1467s 他用了许忧之计
1489s 先是烧了吴朝的粮草资重
1491s 然后又攻取了元军的关渡大营
1493s 元军一败再败
1495s 百里战场
1497s 血流成河
1499s 尸骨成堆
1501s 七十万元军不胜百计啊
1503s 据说
1505s 已经逃回冀州了
1507s 七十万大军
1509s 所胜不足百计
1511s 是啊
1515s 请问原本初
1524s 本是首屈一指的霸主
1526s 转眼之间
1528s 竟沦落为
1530s 藏寇了
1532s 曹操
1534s 极善用兵
1536s 恐怕冀州城
1538s 不久会被他攻陷
1540s 这曹操
1542s 既是奸贼
1544s 又是熊主
1546s 还是兵家
1548s 与此人
1550s 同时不知幸与不幸
1554s 我们兵不过三千
1556s 又无间可守
1558s 此地不宜久留
1560s 是啊
1562s 我原想
1564s 偷奔京州
1566s 与刘表联手
1568s 举兵抗草
1570s 可是现在元少七十万大军
1572s 几乎丧尽
1574s 就不知道刘表
1576s 还有没有抗草的胆识了
1578s 刘表
1580s 用兵三十万
1582s 尤其是他的京州水兵
1584s 号称天下无敌
1586s 他为什么要惧怕曹操
1588s 兵多有何用
1590s 元少的兵少了
1592s 临敌胜败
1596s 少在统帅
1598s 刘表身为人主
1600s 坐领京乡九军
1602s 十多年来却动也不动
1604s 如果他有二弟一小颗胆子
1606s 也就不容
1608s 曹操像今天这本放肆了
1610s 这刘表
1612s 既然没有胆识
1614s 那主公准备偷和出去
1616s 刘表虽无胆识
1618s 但毕竟是贤良方正之主
1620s 又是皇室宗族
1622s 我想当下之计
1628s 也只能赞透刘表
1630s 戏图后续
1632s 不过这需要有一位
1635s 大胆善言之人
1637s 先去探一探刘表的口风
1639s 看看人家
1641s 愿不愿意收容我
1646s 主公
1648s 在下愿意出使京州
1650s 孙乾愿望
1656s 再合适不过了
1658s 遵命
1678s 参军孙乾奉主公之命
1680s 拜见民公
1682s 好 请起来吧
1684s 谢民公
1687s 听说刘备仍然健在人间
1689s 我深感欣慰
1691s 如今
1693s 在中原大地上
1695s 能够逃出曹孟德虎口的
1697s 虎口的英雄豪杰
1699s 已经为数不多了
1701s 民公说得极是
1703s 我主不仅逃出了曹操的虎口
1705s 而且还要
1707s 与虎相搏
1709s 刘备起兵多年
1711s 屡战屡败
1713s 恐怕
1715s 不是曹操的对手吧
1717s 与其说
1719s 屡战屡败
1721s 不如说屡败屡战
1723s 只要我主一息尚存
1725s 就要扫除逆贼
1727s 匡扶汉室
1729s 民公也是皇亲后裔
1731s 身上也流淌着
1733s 高祖的鲜血
1735s 民公对我主的志向
1737s 就不以为然吗
1739s 可敬可佩
1743s 刘备差你来做什么
1745s 是要借兵
1747s 借粮
1749s 还是要
1751s 借城市啊
1753s 我主对民公一无所求
1755s 他只想
1757s 相助民公
1761s 助我
1764s 怎样助我呀
1766s 民公汉贼不两立
1768s 王爷不偏安哪
1770s 曹操绝不甘心做一个丞相
1772s 他志在篡汉自立
1774s 袁绍兵败后
1776s 曹操的下一个战略目标
1778s 就是靖州
1780s 民公大敌当前
1782s 战祸不远啊
1784s 并民公
1786s 我主兵马虽不多
1788s 但是愿意率领关羽 张飞 赵云
1790s 三位当事勇猛豪杰
1792s 在曹操来犯之时
1794s 做民公的先锋
1796s 助民公灭曹贼成大业
1798s 安天下
1800s 刘备和我
1802s 同是皇室后裔
1804s 在这乱世之时
1806s 我们更应该相互扶持
1808s 共复国难才是
1810s 你告诉刘备
1812s 就说
1813s 主公
1823s 哦 这样吧
1825s 你先下去歇息
1827s 待会我让刘齐
1829s 为你白酒洗尘
1831s 在下告退
1834s 有话就说
1842s 主公
1844s 刘备是个灾星啊
1846s 刘备现在兵危剑寡
1848s 无一做成俊可以攻他立足
1850s 又惨遭曹操追杀
1852s 他是在走投无路之下
1854s 才到主公这来求个存身之处
1856s 主公
1857s 我们万万不可被他利用
1859s 如果一拟
1861s 怎么办才算妥当呢
1863s 眼下曹操势力滔天
1865s 无人可敌
1867s 但他对刘备却恨之入骨
1869s 我们不如斩了使者
1873s 将手机送给曹操
1875s 以表明主公拒留何操之意
1877s 如此一来
1878s 曹操定然欢喜
1880s 也绝不会向荆州发兵了
1882s 你看呢
1886s 副帅
1888s 而认为蔡将军所言
1890s 误国误主
1892s 早晚会断送荆州
1894s 公子言过了吧
1896s 副帅与刘备同为黄金地州
1898s 血脉相连
1899s 如今刘备失穷来头
1901s 想要与副帅共敌曹操
1903s 我们完全可以隐为荆州之助啊
1906s 但副帅竟然要把来世给杀了
1909s 这事要是传扬出去
1911s 世人如何看待副帅
1914s 副帅又如何立足于天下呀
1917s 刘备投吕布则吕布网
1918s 投袁绍则袁绍败
1920s 前车之鉴后事之师
1922s 主公千万三思啊
1925s 蔡将军言过了吧
1926s 吕布至晓性贪
1928s 袁绍闲遇不分须有其名
1930s 吕元都是败给曹操
1931s 而不是刘备
1933s 再说
1934s 我副帅又不是吕布袁绍等人
1936s 副帅非但不会被刘备所用
1940s 相反却能用刘备
1943s 主公
1944s 副帅
1946s 好
1947s 让孙乾上来吧
1950s 孙乾上堂
1974s 孙乾哪
1977s 你看
1979s 我这里有个盒子
1981s 原先是装塔叶用的
1984s 现在
1986s 有人建议我取下你的头颅
1989s 装在这个盒子里
1991s 献与曹操
1992s 以表明我
1994s 拒留和曹之意
1996s 保荆州太平
1999s 你觉得这个主意怎么样
2007s 明公
2008s 你在砍下这个头颅之前
2010s 还在征求这个头颅的意见
2012s 真可谓是贤民之君
2015s 多谢
2017s 见听则明
2019s 我总是不止下问
2021s 如果在下这颗头颅
2023s 能够换得荆州的太平
2025s 那太值了
2026s 在下也建议明公砍了去
2029s 可是曹操何需人也
2032s 曹操能为这区区博理而动心吗
2036s 如果在下是曹操
2038s 看到这颗头颅
2039s 一定会开怀大笑
2044s 我还没向荆州用兵
2047s 刘景升就下得送颗人头来
2051s 如果我挥师东进
2053s 刘景升还不下得开城启祥吗
2056s 如果曹操准备
2057s 明年攻打荆州
2059s 在下的人头一到
2061s 曹操定会提前攻去荆州
2064s 看了在下
2065s 非但保不住荆州的太平
2067s 而且会惹祸上身
2069s 明公
2070s 你用一颗头颅换来两个强敌
2076s 那第二个强敌是谁
2081s 明公怎会不知
2082s 正是我主刘备
2085s 你杀了刘备特意派来联谊的使者
2088s 让他在众人面前
2089s 饱受耻辱痛不可当
2091s 试问明公刘备
2093s 不会和你拼命吗
2099s 想不到刘备在刘王之中
2104s 身边还跟随着你这样的义序
2109s 我主刘备身边义士众多
2112s 除了关羽 张飞 赵云之外
2114s 还有周沧 芈芳 简雍等等等等
2117s 怎么也得数到五十位之后
2120s 才能数到我区区孙前
2124s 回刘皇叔
2126s 请他尽快来荆州
2129s 我会大排一仗
2131s 出城相迎
2133s 在下领命
2139s 屡败之将刘备
2154s 深谢景升皇兄收容之
2157s 宣德啊
2158s 你鲜明扬天下
2160s 我是仰慕已久
2162s 从今日起
2163s 景升兄有何差遣
2165s 宣德定当消灭
2167s 不敢当 不敢当
2169s 来 我给你介绍一下
2171s 这是长子刘齐
2174s 次子刘从
2176s 拜见刘皇叔
2178s 真是英雄初少年
2180s 景升兄这两位龙虎公子
2182s 实在是让人羡慕
2184s 宣德 请入城
2186s 明公请
2187s 请
2188s 五年多来
2193s 我刘备可以说是日夜不宁
2196s 每念及天子密授血诏
2199s 都有如万箭穿心
2201s 痛不可当
2203s 我刘备上不能承天负寒
2206s 下不能手刃奸贼
2208s 虽然是东征西逃
2211s 却是屡战屡败
2214s 愧对天子
2216s 愧对苍生
2218s 先帝之大
2220s 当然就有天大的烦恼
2224s 于兄至小
2226s 因此也就牵挂也少
2231s 我只想独守一郁
2234s 保荆州太平
2237s 恕在下直言
2239s 曹操是个百年不遇的奸凶
2243s 其权谋 兵略 淫威 罢属
2247s 据可以说又狠又毒
2250s 自邪天子令诸侯开始
2253s 篡汉自立的野心
2255s 可为路人皆知
2257s 明公乃汉皇后仪
2260s 世寿国恩
2262s 岂能坐视曹贼篡国呢
2265s 更何况
2266s 曹操他早就对荆州
2269s 垂涎三尺了
2270s 下一步
2271s 下一步
2272s 下一步
2273s 定会向荆州用兵
2276s 依你所料
2278s 我应该怎么办
2281s 高清亡起
2283s 召集天下之士
2285s 举兵伐草
2289s 只怕现在时机还不到吧
2293s 明公
2294s 你正逢其时啊
2297s 袁绍虽然兵败
2299s 但有如百族大宠
2302s 死而不僵
2303s 他手下仍有残兵二三十万
2305s 凶狙在济青幽等州
2308s 图谋东山再起呀
2310s 曹操想跟除袁绍
2313s 此时正在攻打济州
2315s 战事震撼
2316s 但我料不到半年至一年的工夫
2319s 他根本无法彻底消灭袁绍
2321s 明公
2322s 此时你若率一支近旅
2326s 奔袭曹操首辅许昌
2328s 定可大获成功啊
2330s 奔赴许昌
2337s 贤德啊
2339s 我把话跟你说明了吧
2342s 我已经连过六巡
2346s 既无在诸侯中称霸之志
2349s 更没有争夺天下之心
2355s 我主掌金香九郡之地
2358s 已经有十几年了
2361s 这里的一草一木木
2363s 一山一水
2365s 一村一镇
2367s 一兵一民
2369s 都是我苦心栽培出来的
2372s 荆州背衣群山
2378s 足踏长江
2380s 甲士三十万
2382s 战船五千艘
2385s 我握有这些
2387s 坚守一方太平
2389s 足矣吧
2391s 曹操
2394s 凭他那北方战绩
2396s 休想灭我
2398s 我靠我的水军战船
2401s 也灭不了曹操
2404s 因此
2406s 双方都应该明智一些
2411s 听了明公这一番话
2415s 在下十分欣慰
2419s 请尽此中以表敬意
2424s 我虽然没有争夺天下之心
2430s 却真心失意的
2433s 想要以重于你
2436s 请明公吩咐
2438s 不管曹操是否真向荆州用兵
2442s 我都要做好御敌的准备
2445s 我想拨出一座城池
2451s 明教新野
2453s 共你驻军
2455s 帮助我共举曹操
2459s 听你那官长召三员虎将
2463s 足可令曹军丧打
2468s 当然了
2470s 你需要的军械粮草
2474s 完全由我共举
2477s 行吗
2479s 在下遵命
