0s 宁甘宝贝啊,你可让我想死了啊!
567s 强占了将军的爱妻。
570s 这种事也确实近乎禽兽。
574s 万一传扬出去,相国自然不在意。
580s 可将军你怎么做人呢?
584s 将军,你要干什么去?
590s 你怎么了这是?
636s 再躺一会儿。
638s 相国,相国,您该早朝了。
644s 你看看,你看看。
647s 我都不急,你急什么呢?
650s 来来来,再躺一会儿。
655s 我去梳妆。
658s 梳妆,梳妆好啊,梳妆好。
760s 冯夕!
761s 冯夕,你干什么?
770s 我来请相国上朝。
786s 这样,既然如此,
791s 那你暂且到宫外等候。
794s 记住,今后没有我的命令,
797s 不许到我的寝宫来。
803s 遵命。
840s 冯夕,冯夕,
842s 为何如此惊慌啊?
845s 不急,慢慢说。
847s 相国他占了貂蝉。
851s 那貂蝉与你有什么关系?
856s 就和貂蝉定情,
863s 相悦白头到老,
865s 生死与共,
873s 给天子丽妃为名,
876s 把貂蝉借到梅屋来了。
884s 冯夕呢,冯夕,
886s 你已经贵为公侯了。
888s 什么样的女人没有啊?
890s 区区一个貂蝉只剩啊,
892s 何至于此伤感呢?
894s 不,
895s 那是我的命根子。
902s 冯夕呢,
904s 恕我斗胆问一句,
906s 如果你得不到貂蝉,
909s 你将会怎样?
924s 臣斗胆借言,
926s 还是把那貂蝉赏还给吕布吧。
929s 此刻,
931s 天下未定,
932s 相国仍需将士用命。
935s 相国欲夺天下的话,
937s 必须笼络住吕布,
939s 让他驰骋疆场,
941s 攻城拔寨。
943s 只有这样,
945s 相国才能成就大业呀。
951s 吕布啊,
953s 他要什么,
954s 咱家都可以给他。
956s 唯独这个貂蝉,
958s 你要知道,
959s 貂蝉是人间极品,
962s 咱家舍不得。
965s 请相国斟酌,
967s 万一,
968s 吕布怒而背反,
970s 甚至投奔袁绍,
972s 与我们为敌的话,
974s 那,
975s 可就大失去业呀。
978s 我是吕布的义父,
982s 我对他不薄,
985s 他对我也是忠心耿耿,
989s 他怎会因此女而背我呀?
992s 敢问相国,
994s 丁元是怎么死的?
1000s 相国你只用了一匹赤兔马,
1003s 就收得吕布前来归顺,
1005s 不但如此,
1007s 吕布居然为了这匹赤兔马,
1010s 还亲手杀了自己的义父丁元。
1015s 那么现在,
1016s 吕布为了貂蝉,
1018s 又会做出何等事来?
1020s 貂蝉与赤兔马相比,
1023s 孰重孰轻,
1025s 大业与一个粉带油雾相比,
1028s 何者当取,
1030s 何者当弃呀?
1084s 你可真是个仙人啊,
1088s 咱家是越看越爱看。
1107s 心肝儿啊,
1111s 咱家今天跟你说个事。
1115s 相国请讲。
1130s 吕布想要你,
1140s 虽说吕布是我的义子,
1142s 又是天下第一勇夫,
1145s 我思来想去啊,
1147s 既然他对你是这样的,
1149s 放心不下,
1151s 我就成人之美,
1155s 把你赏给他。
1158s 你们两个在一起,
1162s 不但是郎才女貌,
1165s 也是情投意合。
1167s 将来定然是,
1169s 如鱼得水,
1171s 如胶似漆。
1175s 你说是不是?
1186s 你,你怎么了?
1188s 奴婢没做错什么吧?
1198s 昨天相国,
1203s 还对奴婢宠爱有加,
1205s 可是今天,
1207s 却要将奴婢转送给别人。
1210s 奴婢还不如相国,
1216s 喜欢的一个物价。
1219s 你这说的什么话?
1221s 我,
1223s 我就是想提出来和你商量商量嘛。
1227s 本以为,
1233s 相国是真心对奴婢好,
1236s 奴婢,
1238s 也愿意侍奉相国一辈子,
1241s 可是相国,
1247s 却要将奴婢转送给一个下人。
1250s 相国,
1254s 你还是赐奴婢一死吧,
1257s 以免侮辱了相国之尊。
1260s 我这心肝啊,
1264s 你看,
1270s 我呀,
1272s 我跟你说吧,
1274s 其实我呀,
1276s 从心里头不愿意放你走啊,
1280s 真的,
1282s 我舍不得你呀。
1284s 来来来,
1286s 宝贝,
1288s 宝贝啊,
1292s 咱家还想跟你呀,
1295s 白头到老,
1300s 富贵终生。
1303s 相国骗人。
1305s 我怎么能骗你呢?
1308s 既然如此,
1310s 为何要将我许配给吕将军?
1313s 莫不是,
1316s 莫不是你怕他不成?
1319s 我,我怕他?
1322s 他是我干儿子。
1325s 既然不怕,
1327s 还要将我许配给他。
1330s 当今天下,
1332s 谁人不知谁人不晓,
1334s 连天子都要尽让你三分,
1337s 可是你,
1339s 连自己的爱妻都留不住。
1342s 这要是传出去了,
1344s 外面的人会怎么想你?
1347s 你岂不成了,
1350s 成了宫亲大臣的笑柄?
1353s 嗯,嗯。
1356s 对,说得对。
1358s 哎呀,咱家糊涂了。
1360s 你放心,
1362s 咱家绝不把你让给别人。
1365s 你永不分离。
1371s 相国,
1373s 到时辰该上朝了。
1376s 上朝?这...
1380s 哦,上朝,上朝。
1383s 相国复朝!
1397s 义父。
1405s 奉献,
1407s 随义父走走。
1417s 是。
1418s 奉献,
1420s 带你如何呀?
1422s 义父待我情义深重,
1426s 恩同在造。
1428s 记着,
1429s 咱家早晚要改朝换代,
1431s 继大魏,
1432s 那个时候咱家定和你共享天下。
1435s 还有,咱家七下无子,
1437s 你就是我的亲儿子。
1440s 咱家继位之后,
1442s 第一件事就是要立你为太子。
1445s 咱家百年之后,
1447s 天下就是你的,
1448s 大魏就是你的。
1450s 谢义父。
1453s 咱们父子俩,
1458s 你说你谢什么谢?
1464s 哦,对了。
1465s 在继位之前,
1467s 咱家得抬举抬举你。
1470s 比如说朝廷中大将军这个位置,
1473s 一直是空缺逮捕,
1475s 咱家早就有意于你。
1477s 但是恐怕西梁军众将不服,
1479s 特别是李雀郭司二将。
1481s 他们说你年轻气盛,
1483s 不堪大任。
1484s 都要和你争这个大将军的位置。
1488s 末将不敢相争。
1490s 咱家决定,
1495s 拜你为朝廷的大将军,
1498s 统管天下所有兵马。
1501s 谢义父大恩。
1505s 吕布肝脑涂地,
1507s 难以回报。
1508s 哎呀,
1509s 快起来快起来,
1510s 快起来快起来。
1517s 义父。
1520s 你还有什么事吗?
1522s 没有就好。
1523s 没有就好。
1535s 没有就好。
1538s 禀相国,
1548s 季州牧韩复,
1550s 近日与袁绍交恶。
1553s 他上表朝廷,
1555s 要求天子下诏讨贼。
1558s 好啊。
1560s 那就赐他一诏。
1563s 卓他奉诏剿灭袁绍。
1567s 他如是胜了,
1569s 咱家就再赐他。
1571s 再赐他三郡之地。
1573s 臣遵命。
1575s 上月以来,
1577s 曹操在青衍二州,
1580s 连续剿灭了五路黄金乱军。
1585s 得祥族二十余万,
1589s 号称青州兵,
1592s 声势一大。
1595s 哎呀呀呀,
1596s 这个曹阿满,
1598s 是越发了得了。
1600s 咱家得想法子收拢他才好。
1604s 臣还有一事。
1607s 爱卿只管说。
1610s 自开春以来,
1612s 中原一直大旱。
1615s 近日几个州,
1617s 已经是义子相识。
1620s 好几个州郡,
1623s 都上书,
1625s 要求朝廷,
1627s 拨梁相敬。
1631s 咱家的粮食还不够吃呢。
1634s 哪里有粮食给他们呢?
1637s 那朝廷要是不拨,
1640s 做事不顾的话,
1643s 恐怕要有几十万灾民,
1646s 丧生。
1648s 这你怕什么呢?
1651s 这千百年来,
1653s 这七灾八难的,
1656s 不是也都没断过吗?
1658s 可是怎么着了?
1660s 这人丁是越来越兴旺啊,
1663s 人是越来越多了。
1667s 牵手百姓,
1669s 见着呢。
1671s 启奏相国,
1678s 百姓的口粮虽然可以不管,
1681s 但是股种必须要与义相计。
1685s 否则,
1687s 明年春天,
1689s 粮农们没有股种播种,
1692s 则是全年无收,
1694s 朝廷的税赋也就断了。
1697s 那股种哪儿去了?
1699s 那股种都哪儿去了?
1701s 岩岩一息的鸡民,
1704s 什么都会吃啊。
1706s 谁叫他把股种都给吃了呀?
1711s 真是鸡不得食。
1714s 臣斗胆启奏相国,
1718s 煤雾吞有百万袋粮草,
1722s 足够二十年使用。
1725s 请相国为天下百姓着想,
1729s 拨出十分之一,
1731s 以供粮农做股种。
1734s 等到明年秋收以后,
1736s 令他们加倍偿还。
1738s 你等会儿,
1740s 谁说我们煤雾里头
1744s 存着百万袋粮草啊?
1747s 谁说的?
1749s 纯属胡说八道。
1751s 没有,没有。
1759s 你要不信的话,
1761s 你可以问问奉先吗?
1763s 他是朝廷的大将军,
1765s 他应该知道相情啊。
1767s 是不是奉先?
1769s 奉先哪儿去了?
1774s 吕布哪儿去了?
1789s 将军,
1790s 相国差我前来。
1791s 闪开!
1792s 诺。
1793s 将军。
1848s 我日日夜夜都在想你。
1881s 调禅之所以,
1883s 人肉通生地活着,
1885s 就是为了见将军最后一面。
1892s 调禅终于见着将军你了。
1897s 调禅的心愿已了,
1901s 就让调禅,
1903s 来生再侍奉将军吧。
1906s 若你死了,
1916s 我会怎么活?
1921s 能和将军在一起,
1923s 调禅活着,
1925s 又有什么意思呢?
1927s 将军,
1929s 就,
1930s 就让调禅,
1931s 死了吧?
1932s 我有余意。
1941s 听说他。
1984s 吕布可曾来过?
1986s 禀相国,
1987s 吕将军刚进去不久。
2054s 咱家小妾,
2055s 逆,
2058s 饶不了你。
2059s 你这个逆子。
2061s 逆你,
2062s 逆子,
2063s 武逆,
2064s 我饶不了你。
2066s 军之贼,
2095s 备军之贼,
2097s 气死我了,
2100s 气死我了。
2122s 不急,
2125s 将军抱着奴婢就是不放。
2130s 你可要为奴婢做主啊。
2141s 吕布武逆,
2142s 无耻之徒。
2144s 咱家,
2147s 一定饶不了他。
2149s 让你受惊了。
2153s 吕当时,
2156s 只想偷捕自己,
2158s 辱没了相国之身。
2162s 可是吕将军,
2164s 把奴婢死死地抱住,
2166s 幸亏相国及时赶到。
2174s 姓甘,
2175s 咱不怕,
2186s 咱不怕,
2187s 来,
2188s 不怕。
2189s 咱家给你做主,
2191s 我一定饶不了那司。
2194s 不哭,
2195s 咱不怕。
2196s 臣王允,
2198s 拜见相国。
2199s 王允呢?
2201s 你都知道了吗?
2203s 臣刚才见吕布,
2205s 匆匆忙忙奔命,
2207s 老夫,
2208s 也就猜测出一二了。
2211s 吕布武逆,
2213s 这无耻之徒,
2215s 竟然干出这种,
2216s 卑鄙无耻的勾当来。
2219s 我要,
2220s 要把他正罚。
2222s 相国,
2224s 老臣,
2225s 赶紧相国借一步说话。
2227s 怎么着?
2243s 老臣琢磨着,
2245s 事情既然已经做下了,
2247s 吕布,
2248s 当然是罪不可赦。
2250s 但吕布,
2251s 是相国的义子,
2253s 爱将。
2254s 凤怡亭之事,
2256s 如果传扬出去,
2258s 这必然百官沸然,
2260s 天下失效,
2261s 也大损相国的威严了。
2264s 再者说,
2265s 吕布,
2267s 英勇无双,
2269s 足堪大任。
2271s 如斩了吕布,
2273s 就如同自断臂膀,
2275s 阴小施大呀。
2279s 那你说怎么办?
2281s 与其治吕布之罪,
2284s 不如赐他一条生路,
2287s 化祸为福。
2290s 怎么个化祸为福?
2293s 相国顺水推舟,
2296s 将小女貂蝉赐给他。
2299s 什么?
2301s 你!
2302s 把小女貂蝉赐给他,
2305s 以安其心。
2307s 这样,
2308s 以后吕布必然感恩戴德,
2311s 生生死死忠于相国,
2314s 如是皆大欢喜。
2317s 王司徒!
2322s 你!
2326s 这个事,
2328s 咱家也想过,
2330s 可是咱家同意了,
2333s 那爱姬不同意呀。
2335s 吕布是貂蝉的义父,
2341s 臣可令他从命。
2343s 也罢。
2357s 你去和他说说试试。
2359s 遵命。
2360s 拜见义父。
2365s 死丫头,
2367s 看你给相国惹下多少麻烦,
2370s 给相国父子之间,
2372s 惹下多少误会。
2375s 听着,
2376s 即刻更衣,
2378s 随老夫离去。
2385s 要带我去哪儿啊?
2387s 我带你到吕布将军处谢罪。
2393s 从今往后啊,
2395s 你就伺候吕将军吧。
2397s 你个死丫头,
2400s 你听见没有?
2402s 我是你父,
2404s 你敢违抗父命吗?
2406s 我不去。
2413s 你放肆!
2414s 相国,
2419s 生再见吧。
2422s 貂蝉!
2427s 貂蝉哪!
2428s 我的心肝啊!
2430s 你怎么能这样?
2432s 貂蝉哪!
2433s 相国,
2434s 相国,
2435s 不用管他,
2437s 让他死好了。
2439s 这种无情无义,
2441s 无忠无孝的死丫头,
2443s 留他何用?
2445s 住口!
2446s 都是你!
2447s 你是想害死咱们爱姬啊!
2451s 相国,
2452s 老臣可是处处为相国着想。
2455s 滚!
2456s 相国!
2457s 滚!
2458s 再不跟我劈了你!
2460s 是是是。
2462s 太医!
2465s 我的心肝啊!
