3s 没想到,刘备焦狂之气,
377s 是有此事。
379s 陛下明鉴,
381s 容臣再举数例,
384s 我主纳鲁肃于凡品,
386s 是其聪也,
388s 把吕蒙于杭镇,
389s 是其名也,
390s 服于晋而不害,
392s 是其仁也,
393s 取荆州兵不血刃,
396s 是其志也,
398s 聚三江,
399s 而虎是天下,
400s 是其雄也,
402s 今日,
403s 愿屈身于陛下,
405s 是其略也。
407s 以此而论,
408s 我主岂不就是
409s 聪明,
410s 仁至,
411s 雄略之主吗?
413s 尊全
418s 通师叔一礼吗?
420s 我主
421s 福疆万艘,
422s 代价百万,
424s 任贤使能
425s 至存精略,
427s 虽然政务繁忙,
428s 不孝俘儒寻张斋具,
430s 但少有余闲,
432s 只需稍稍阅书官使,
435s 便能采其大旨,
437s 胜似学父武车者。
440s 尊全
444s 虽然降朕,
446s 但依现在的形势是
448s 蜀强,
450s 吾弱,
452s 朕
453s 如果拒绝尊全,
455s 反而
456s 连蜀伐吾呢?
459s 东吾
460s 如何相抗?
461s 大国有征伐之兵,
463s 小国有预备之策,
466s 我主
467s 无论陛下怎样做,
469s 都有成竹在胸。
471s 这么说
473s 东吾
475s 不怕?
476s 东吾战甲虽少,
479s 但水师之勇
484s 天下无双,
485s 更有长江天窃,
487s 足可坚守不坠。
489s 我主
490s 何惧之有?
493s 祖先
495s 祖先
496s 果然善变,
497s 东吾像你这样的人才
502s 还有多少?
503s 之勇超群者
504s 百人上下,
506s 如我辈,
508s 车载斗粮
511s 不可胜数。
512s 尊全派你为使者,
524s 真是不辱使命啊。
526s 好吧,
528s 朕
529s 接受尊全的响表。
532s 你告诉他
534s 朕
535s 封他为吾王
536s 加九夕。
538s 谢陛下。
541s 仲达,
542s 照你看这次吾蜀交战,
548s 谁可取胜啊?
549s 臣以为
554s 刘备必胜。
557s 何以见得?
558s 刘备称帝后雄心万丈。
563s 他梦想在有生之年
567s 完成天下大业。
570s 此次清国出兵,
572s 粮饷备足,
574s 将士用心,
575s 军风强劲。
576s 访观东吾尊全,
579s 其水师虽精锐,
581s 但步棋不如蜀军。
584s 坚诚死归,
586s 三个时辰便败了。
588s 东吾城门已开,
592s 由此看来
593s 主君当胜,
595s 吾君当败。
599s 那尊全这次
604s 会有亡国吗?
606s 臣以为
607s 东吾将士败而不亡。
609s 刘备如想灭吾,
615s 必须尊全。
616s 第一步仍是攻取荆州。
618s 荆州乃天下之府,
620s 四通八达。
625s 得荆州者
626s 是天下牛儿,
628s 之后
629s 补充粮饷士族,
632s 才可沿江东下
637s 取吾都建业。
639s 尊全为了避免
640s 灭顶之灾,
642s 不得已向朕请降。
648s 此时,
649s 又把灰尸西向
650s 攻取汉州。
652s 朕不会上这个当。
655s 朕既不攻蜀
657s 也不救吾,
659s 做官成败
661s 相机而斗。
664s 陛下英明。
666s 英明。
667s 陛下臣以为
668s 吾君胜。
669s 陛下可乘势
670s 收取汉州。
676s 如刘备胜,
677s 陛下可乘势
681s 收取荆州。
683s 吾君胜。
685s 吾君胜。
686s 吾君胜。
688s 好Coréne
690s 绝对 ai
693s 都紮合第七次的
709s poison
711s 和
713s St expressing
719s 除了
722s bet
728s 既以
730s 无辜
731s 无重
734s 全军转入夷陵
735s 举敌刘备
736s 夷陵城池
738s 还不如紫硅坚实呢
739s 我们能抵挡多久啊
741s 主公命我抵挡多久
742s 我就抵挡多久
745s 夷陵城
747s 要么是刘备坟墓
749s 要么就是我孙桓坟墓
752s 孙将军这番胆识
753s 主人没什么说的了
755s 愿与将军同生共死
757s 愿与将军同生共死
761s 全军听令
763s 全军向北
765s 转入夷陵城
771s 孙花乃孙权亲职
773s 主人也号称是汉将
774s 没想到如此不堪一击吗
777s 照这个进度打下去
778s 再过二十天
779s 咱们就可以进入建康城了
788s 怎么不吹嘘了
790s 你们了解孙权吗
792s 他九岁单身入敌营
795s 向刘表求回腐蚀
797s 十八岁坐领江东
799s 第一仗便是赤壁交兵
802s 比朕小三十岁
804s 但极有套律
806s 胆识过人
808s 更何况自古江东多才俊
811s 江东水师还没有参战
813s 你们有什么可惜的
815s 陛下所言极是
818s 在下打了一辈子仗
820s 误出一个道理
822s 太容易获胜的仗
824s 十之八九有诈
825s 眼下吴军虽然败了几阵
828s 可是
829s 称府甘宁 邯郸周泰
832s 等等名将一个也没有露面
836s 孙权连败数阵
839s 这是他的交兵之计
841s 对江东军民也是挨兵之计
844s 如果我们小胜计较
848s 那大祸也就不远了
850s 报
850s 禀陛下
851s 孙权前使向曹皮请降
855s 曹皮在许昌昭告天下
856s 奉孙权为捕亡加九戏
861s 听见了吧
862s 孙权跟曹皮结盟了
867s 如果我们不能速战速决
871s 曹皮就会趁箭用灵
873s 报
874s 禀陛下
875s 孙桓引四万残军进入宜陵城
880s 一进城便加固城池
882s 并扬言要与宜陵共存亡
885s 想不到这个小侄倒有几分胆子
888s 放着南徐不回
890s 要坚守这国
892s 陛下
893s 末将请命 共驱宜陵
895s 好
898s 你领三万军去
901s 陛下
904s 孙桓还有四万军
906s 围攻城池至少应该三倍余地
908s 若陛下能给末将五万精兵
910s 我保证三日之内共下宜陵
912s 张宝
913s 朕只是让你阳攻宜陵
915s 并没有让你血债
920s 为何呀
921s 这里离南徐有多久
925s 这里离南徐有东吴监城十余座
930s 朕估计再往前
933s 便是东吴悍将聚守监城了
939s 我军虽重
941s 但劳师远征
942s 粮草均血共挤不易
945s 如果这样一城一池地打下去
949s 打不到南徐
951s 我们就会折兵过半
953s 那样草坯就有可乘之机
956s 陛下是想围城打圆
964s 正是孙桓是孙泉的亲职
973s 他非救不可
975s 我就是让他救
978s 就是要等他的援兵
980s 这样我才可以在野战中
982s 一举将他们歼灭
996s 草坯
998s 给了我两个空头面关
1002s 一个是吴王
1005s 一个叫加九西
1009s 他若真想出兵助我
1011s 还需整顿军啊
1013s 汉中附近
1014s 就驻守曹任二十万大军
1017s 只要他一声令下
1019s 二十万大军杀入汉中
1022s 刘备必然退兵回防蜀地
1026s 草坯是得等蜀巫两败俱伤后
1030s 他再进兵余力啊
1033s 这样也好
1035s 起码可以稳住草坯
1037s 使他不能趁火打劫
1039s 袭我荆州
1042s 可是我们不能再败了
1044s 如果一败再败
1046s 就难保草坯和刘备
1048s 不会使我荆州
1056s 禀主公
1057s 孙桓血书上表
1059s 一者是为子规之师
1062s 请主公降罪
1063s 二者他已率四万大军退守夷陵
1067s 并称是与夷陵共存亡
1071s 主公
1073s 臣来之时据探报得知
1076s 刘备先锋张报
1077s 已将夷陵团团围住
1080s 今晚大军几日猛攻
1083s 而不能下
1084s 拿来
1101s 知始而后永
1104s 不愧为孙氏子孙
1108s 夷陵不能再失
1109s 请主公快快发兵救援
1115s 传命
1116s 韩当为正将 周太为副将
1118s 潘张为先锋
1119s 甘宁领统为后应
1121s 起兵十万
1122s 援助夷陵
1123s 诺
1124s 主公 这怕不妥啊
1125s 有何不妥
1127s 紫辉城坚是无比
1129s 三个时辰就被刘备攻破
1133s 夷陵城池
1135s 远比紫辉难受
1137s 为何
1139s 蜀军连攻三日都未能攻下
1142s 这其中恐怕有诈呀
1145s 你是说
1153s 刘备围攻夷陵
1156s 是想引我大军决战
1158s 臣
1159s 虽然不能下此定论
1162s 可臣必生征战
1165s 也能从这
1166s 诡异的敌情中
1169s 闻出险境来
1189s 老将军多虑了
1191s 蜀国在我国土上作战
1195s 并非我军在蜀地作战
1198s 此时此刻
1199s 夷陵不能再世了
1201s 否则会祸及南郡
1203s 那时候
1204s 曹匹就会以为我东吴大势已去
1206s 必袭荆州
1209s 更何况
1210s 即便决战
1212s 我也不惧刘备
1214s 他千里而来
1215s 连战两月有余
1217s 此时冰封已衰
1220s 我就在夷陵城下
1222s 与他决一次战
1224s 主公
1226s 三思啊
1227s 我意已决
1228s 传命吧
1230s 诺
1233s 各营到马里去
1235s 凌晨就启程
1237s 遵命
1243s 禀将军
1244s 前任大都督陆迅
1246s 劈头散发坐在江边大哭不止
1249s 看样子像是疯了
1251s 走
1252s 看一看
1252s 诺
1263s 是宋阳入虎口
1266s 包心灸大火呀
1269s 今日宋军去
1272s 不得见君还呐
1276s 惨呐
1278s 惨呐
1283s 伯焱
1284s 你这是干什么
1286s 冯夷将军嘛
1291s 我是在给动物的儿郎们送行呢
1301s 今日宋军去
1304s 不得见君还呐
1310s 住口
1312s 陆迅
1313s 你满口胡言乱我军心
1316s 你再不住口
1318s 我可不客气了
1320s 吴当门
1328s 你不过是一歹死的佣人儿
1332s 土刀架在你脖子上
1334s 当你尚不自知
1337s 你懂什么祸福啊
1339s 像我陆迅
1342s 当年曾是东吴的大都督
1345s 看他要比你深远得多
1350s 左卫听令
1351s 在
1353s 此人出口不训满嘴胡言
1356s 即刻拿下
1357s 诺
1358s 教主公贩落
1361s 主公啊
1363s 给东吴的老人们
1365s 留几个儿郎吧
1367s 给东吴的女人们
1369s 留几个丈夫啊
1372s 主公
1388s 陆迅拜见主公
1407s 主公何在啊
1409s 你中风昧傻
1411s 胡言乱语
1413s 破乱军心
1415s 罪无可赦
1418s 张大人哪
1419s 情势危急啊张大人
1422s 请让我速速见见主公吧
1425s 主公根本不屑一见
1427s 你这样一个疯汉
1429s 来人
1434s 在
1435s 把陆迅关押起来
1437s 诺
1438s 某人齐下马
1444s 也办邻深渊
1447s 好江山
1451s 朕刚刚得到消息
1481s 孙权令邯当为正将
1483s 周泰为副将
1485s 潘章为先锋
1486s 灵统甘宁为后营
1488s 起兵十万
1490s 援助一令
1491s 十万哪
1493s 孙权这次把家底都使上了
1495s 陛下
1496s 孙权上钩了
1498s 我们赶紧出军
1499s 与他们决战吧
1500s 陛下
1501s 臣
1504s 曾在荆州
1507s 与孙权对峙多年
1509s 深知此人满腹的击炸
1511s 怎会如此轻易的
1513s 就上钩了呢
1515s 这个朕也想过
1519s 原因只怕有二
1521s 其一
1523s 曹皮答应援助他
1525s 这就使孙权壮了胆
1528s 其二
1529s 孙权一败再败
1530s 大局危机
1532s 他想拼其老本输死一仗
1535s 这样也可以扬威许长
1537s 让曹尉援兵来得更快
1539s 如此看来
1541s 我军更应该速战速决啊
1543s 现在我们该想想
1545s 如何收拾东吴这十万精锐
1558s 此仗
1560s 是东征的关键之一
1564s 如圣旨
1565s 孙权大势已去
1569s 荆州指日可下
1571s 陛下
1573s 韩党周泰
1574s 潘昌 林统这些将领
1578s 虽然比不上周瑜
1580s 可是个个身经百战
1583s 他们要是累起营盘
1585s 扎住阵脚
1586s 面对面地和我们厮杀
1589s 我们虽然也能将计击败
1591s 可自身的折损
1594s 也不会少啊
1595s 陛下请看
1597s 这片山蛙叫富池口
1599s 最适合伏兵
1600s 若把吴军诱到此地
1602s 那他那十几万精锐
1607s 肯定是有来无回呀
1609s 此计甚佳
1611s 但如何能将吴军
1613s 诱入富池口呢
1614s 要钓大鱼
1616s 须上香儿
1620s 皇中愿以身作尔
1622s 诱入富池口
1624s 此计设法
1625s 必须必须必须
1627s 此计设法
1629s 愿以身作尔
1631s 诱吴军上钩
1642s 韩生啊
1644s 你七十五岁了
1646s 位居五虎上将
1647s 声名显著
1649s 是我蜀军大盗
1651s 朕怎么能让你冒如此凶险呢
1655s 说实话
1657s 此次伐吴
1659s 我本不想让你来的
1661s 挡不住你一再恳请
1663s 但以身作尔之事
1665s 朕绝对不会答应
1668s 陛下
1671s 五虎将中
1672s 云长义德都走了
1675s 马超在汉中防着曹匹
1678s 赵云留守川蜀
1680s 只有我随驾出征
1683s 东吴那些将领
1684s 谁不想用五虎将的首级
1687s 为自己扬名啊
1689s 这以身作尔的人
1691s 还有谁比我更适合呢
1694s 只有我亲师现于阵前
1696s 邯郸他们
1697s 才会不顾一切地追杀我呀
1701s 陛下
1702s 请
1704s 准我上阵吧
1706s 别说了
1706s 韩生啊
1713s 你的忠勇令朕感动
1721s 白发苍苍
1722s 你让朕怎么能忍心
1725s 一旦轻神附险
1727s 失刃无情了
1735s 臣打了一辈子仗
1738s 直到六十都没有遇上明主
1742s 臣以为
1744s 此生也就如此了
1748s 没想到临老了
1750s 遇上了陛下
1754s 封过为五虎上将
1758s 陛下
1761s 皇中已经是老朽了
1765s 不想苟延残喘
1769s 只想在一场大战中
1772s 留此终身
1774s 以求不憾
1782s 臣
1784s 恳求陛下了
1814s 七十五岁
1817s 这番雄心壮语
1819s 告诉我们
1822s 怎样才能不负平生
1828s 怎样才能成为
1829s 明垂青史的良相
1837s 韩生
1839s 我用你所谋
1842s 你也可以率军出征
1844s 此次付出十万精锐的粉肠
1851s 但是
1855s 更要你平安归来
1860s 安然无恙
1861s 我不想再失去你这位贤兄
1890s 臣
1908s 快
1909s 加快速度
1910s 将给钱
1911s 一定要放过山去
1913s 是
1920s 这谁的马车
1921s 停下
1926s 程老将军
1930s 老将军
1931s 你怎么上前线来了
1934s 杀敌啊
1936s 你身患重病
1938s 怎么还能胜振杀敌啊
1940s 我程浦
1941s 受三代主公的好恩
1944s 只能以死为报
1947s 你放心吧
1949s 到了阵前
1951s 我定能挥刀杀敌
1953s 不会让你麻烦的
1955s 我将能与老将军同上战场
1959s 毕生荣幸啊
1960s 我为老将军驾车
1962s 不着急
2028s 放敌军于近前
2030s 五十步放箭
2032s 三十步滚十
2033s 十步之内长劳刺杀
2036s 后备军接应
2038s 韩将军
2039s 你看那面蜀旗
2041s 怎么了
2042s 那是皇中的将旗啊
2044s 皇中未居五虎上将
2046s 如果他在这里
2047s 蜀军主力必然在此
2050s 他一定是去攻打
2051s 程老将军的营寨去了
2053s 什么五虎将啊
2054s 我早想跟他较高地
2056s 今天正好让我赶上了
2058s 给我狠狠地打
2067s 五十步
2070s 放
2110s 一步可施
2111s 打开战门出击吧
2114s 别再犹豫了
2115s 我们居高临下
2116s 一旦冲刹是不可挡
2119s 如果能拿下皇中
2120s 蜀军必然大败啊
2122s 好
2123s 传令全军杀出营寨
2125s 盛清皇中
2127s 诺
2129s 皇将军
2130s 敌军攻势太强
2132s 我军实在抵挡不住了
2134s 怎么办
2135s 查军
2136s 黄老将军
2167s 已经把吴军引出山寨
2169s 现正往富池口上来
2171s 多少人马
2172s 黑牙牙一片
2173s 直连天边
2175s 不可进蜀
2177s 好
2179s 再探
2180s 诺
2182s 三军将士们
2184s 都五十万精锐
2187s 正向鬼门关迈进
2192s 半个时辰之内
2193s 大战就要开始
2200s 身为将士
2204s 能够经历如此大战
2207s 是上天赐予我们的荣幸
2214s 也是上天
2216s 赐予我们的机会
2219s 将士们
2221s 你们建功的时刻到了
2223s 让敌人的鲜血
2225s 浸透我们的正袍
2254s 会把身后的吴军丢掉的
2256s 我打对劲的
2279s 有什么不对劲的
2280s 你看
2282s 前面像是个山谷
2285s 一股阴森之气
2286s 地势怕有埋伏
2288s 不管有没有
2290s 那地势
2291s 适合伏击
2293s 不可不防啊
2295s 报
2297s 杀将军
2298s 杀将军
2299s 吴军好像停止追击了
2301s 只是用箭射杀我们的后队
2303s 韩当果然是名将
2306s 比狼还要诡诈
2312s 听命
2313s 搭起本将的大盗旗
2315s 跟我回去继续冲杀
2317s 杀将军
2317s 几万吴军在放箭
2319s 太危险了
2321s 传令
2322s 跟我回去
2324s 伪令者斩
2325s 遵命
2326s 守军正在拜讨
2334s 不追杀实在是太可惜了
2337s 主公将十万精锐交给我俩
2341s 要谨慎小心啊
2343s 再说
2345s 兵法有言
2346s 穷寇勿追
2351s 那就听你的
2353s 传命各军
2355s 停止追杀
2356s 射箭杀敌即可
2358s 停止追杀
2360s 工农朝
2361s 放箭
2362s 老夫六岁
2392s 习都说过射人
2395s 岂有人射火
2396s 莫将射军冲杀
2405s 我征战一项
2406s 死也要死在马上
2407s 拖起来
2408s 将军
2409s 这个好机会啊
2438s 让我上前去斩了他
2440s 再把他的手机挂到仪岭城头
2442s 让蜀军上下都看看
2444s 蜀军必然魂飞丧胆
2446s 周抬
2447s 韩军军
2451s 你留在这里
2452s 我带军追杀
2453s 跟我来
