5s 孔明啊,你这是何意啊?
1063s 因为在下龙中草庐中,仅仅只比公瑾多了一本书。
1068s 何书?
1070s 黄历。
1071s 要是没了他,我这山中野人会忘乎情汉,不知岁月。
1084s 公瑾啊,曹操大军难犯,江东本武战河相持不下。
1091s 主公只等你来,明日要一决于大唐。
1096s 直说吧,你是何意?
1099s 昔日曹操挟天子以领诸侯,今日曹操挟天子以攻诸侯。
1110s 而且越攻势力越大,现已庸君百万,雄势天下。
1114s 江东区区一域,断不能敌。
1117s 我苦思许久,决定请主公归降曹操。
1126s 孙氏今夜一立三世,岂可拱手送人呢?
1132s 这江东到底是大汉的,六郡苍生无不是大汉子民。
1145s 战端已开,生灵涂炭,百年之后后人指谁而骂?
1152s 还不是我等吗?我不愿意他们跑我的祖坟。
1160s 我江东兵精良足,又有天切险阁。
1167s 如果奋力一战,曹操未必能胜啊。
1172s 孔明为何冷笑?
1177s 我不是笑都督,我是笑卢子敬,不识时务。
1182s 为何我就不识时务了?
1185s 都督主张降曹,何情何理何时何到?
1190s 听听,孔明都这么说了,子敬你就不要再坚持了。
1196s 孔明啊,你为何出尔反尔啊?
1200s 非我出尔反尔,实在是恭敬一言,
1206s 有如当头一棒,令我大梦出喜。
1210s 曹操极善用兵,恭敬不是他的对手。
1215s 只有吕布、袁绍、刘表加上我主公四人堪称七弟。
1222s 那三位诸侯已经死了。
1225s 我主公啊,独木难支,只能亡命于天涯。
1230s 为避免战时,在下有一戒。
1234s 江东既无须割地称臣,也无须献金纳贡。
1239s 只需迟出一夜偏州送两个人到许昌,
1242s 曹操就会即刻罢兵,定然如此。
1247s 只需两个人?
1249s 是啊,江东少了这两个人,
1252s 有如森林飘一夜,太仓少一宿而已。
1257s 怎么样的两个人?
1261s 两位绝世美女。
1264s 怎么样的绝世美女?
1269s 这些年来,曹操征战四方,攻城霸占。
1274s 而每下一周,都要把此周的绝世美女住于其中。
1278s 曹操最盼望得到的,就是江东乔国老家中的二位女儿。
1284s 大女,名叫大乔,小女,名叫小乔。
1289s 据说,大乔小乔,都由博雅书齐之才,亲国亲城之荣。
1297s 我还听说,去岁曹操寿辰,
1300s 他举酒向天示约,吾死生只有两个愿望。
1306s 一愿扫平四海,成千古功名。
1310s 二愿得江东二乔,以伴晚年之乐。
1315s 两愿足,死而无憾。
1320s 曹贼,你辱我太甚!
1329s 公井为何发怒了?
1331s 想当年,范黎为保越国平安,还把美女西施供奉给夫差呢。
1338s 终于帮着勾结一喜三年为奴之耻,灭了吾国。
1343s 区区二乔,你们有何舍不得呀?
1347s 空明啊,大乔是先主公孙策的夫人,小乔正是公瑾之妻呀。
1353s 这。
1358s 在下断断不知,诗口乱言,死罪死罪。
1362s 不好啊。
1371s 你又怎么了?
1372s 在下不敢言,断断不敢言。
1377s 冒犯了上将军虎辈,在下就死无葬身之地了。
1383s 你说!我命你直说!
1386s 既然将军有令,在下就冒死直言了。
1390s 曹操,他要是知道大乔是孙策夫人,小乔是将军娇妻,那他更要垂涎三尺了。
1405s 为何?
1406s 这曹操有异事,他历来是少女为残花败了,而把别人家的妻子看为是妙妇。
1418s 比如,张稷之妻邹氏,袁术之妾吴氏,袁绍儿媳甄夫人,吕布之妾貂蝉,都被曹操强占了。
1429s 曹操这些丑事,和他的怪异癖好,天下人人皆知。
1437s 将军,要小心啊。
1452s 刚才在公瑾府上,你这话说得也太狠了吧?
1560s 无怪乎人家要说你舌头也能够杀人,而且是杀人不见血。
1566s 紫禁啊,我又犯什么错了?
1572s 自从踏上江东地面,我处处小心谨慎,步步如履薄冰。
1578s 说真的,我连手都不知道放哪儿合适。
1583s 你啊,你是故作谨慎之状,暗中却要激怒公瑾啊。
1591s 冤枉,紫禁,你本是个厚道人啊。
1595s 顾明啊,难道你真的不知道,大乔是孙策夫人,小乔是周瑜之妻吗?
1604s 这个嘛,我当然知道了。
1610s 足下用心不善啊。
1612s 紫禁啊,我们只知道曹操性情诡异,素来不爱少女,偏偏贪求侯门妙妇。
1620s 这种怪诞的癖好世人皆知对不?
1624s 曹操后宫妻妾十二,其中就有十个,曾经是别人的妻妾啊。
1633s 那你没必要把公瑾气成那个样子。
1639s 谁让她不跟我说实话来着。
1641s 其实公瑾心里早就拿定了主意,必要与曹操一战。
1648s 但她却口口声声说什么归顺曹操,罢兵求和。
1652s 这不是故意在戏弄你哦。
1654s 如果周公瑾能有紫禁兄这般的君子风范,句句都说大实话。
1662s 我敬她还敬不过来呢,我岂敢激她呀。
1667s 我终于此生有你,死而无憾。
1704s 夫君,今日一正,在大天广众之下,你可千万别动怒啊。
1718s 我不会动怒,但我要稍势江东之危,让那诸葛亮刮目相看。
1728s 收拾行装吧。
1745s 爹刚刚回府啊。
1749s 没错,但他又要离去了。
1754s 是。
1756s 曹操脱名汉相,实为汉贼。
1810s 主公天降其才,成父兄之大业,兵精良足,雄巨江东。
1818s 独独缺乏者,只是天降时机,让主公挥施中原,取经乡霸将汉,成功名之大业。
1827s 恰是现在,曹操拱手送来这个好时机。
1835s 我江东文武真该汉首成卿,仰天大笑三声哪。
1841s 曹军此来,犯了兵家四计,其中的任何一计,都足以让其灭顶。
1849s 其一,北疆未定,西梁马腾韩遂为曹军的后方大患。
1858s 一旦战事焦灼,西梁兵必攻许昌。
1865s 其二,北军部署水战,竟敢舍鞍马,伏周吉,与我东吴争袖。
1873s 此为舍长就短。
1876s 其三,龙东隐寒,马无稿草,人无暖石,功己不济。
1883s 其四,长驱中原之兵,远涉江湖,水土不服,多生奇幻。
1891s 曹操犯此四计,必败无疑。
1899s 周瑜只需率精兵数万,禁军下口,半年之内必然大破曹军。
1912s 都督说得好,我等愿随都督破敌。
1916s 我等愿随都督破敌。
1919s 天寿恭敬于我。
1934s 今日起,我江东任何人,如有再敢言降曹者,有如此案。
1965s 遵命。
1968s 命,周瑜为大督督,成普为副督督。
1974s 领命。
1975s 鲁素为参军校尉,率精兵五万,禁囤下口,迎战曹军。
1982s 领命。
1983s 任何人敢有抗命者,均按江东七禁令五十四载施行,大督督接见。
1995s 周瑜领命。
2001s 师叔。
2018s 主公,此次大战,无论粮草军械,器物民服,都所需甚具,消耗极大。
2037s 我想任命你为总提调官,掌管江东大军所有后勤供给。
2044s 主公,你忘了,我,我曾经建议。
2054s 你曾经建议祥曹。
2056s 我江东文武,无论主战,主乡,都是出自一片忠心,都是为了我江东的百年大业着想。
2079s 师叔。
2081s 在。
2083s 我江东六郡四十五县,所有的赋税,钱粮,甜米,子民,无一不在你肚子里装着。
2096s 我江东所有的官吏中,还有谁,能比你更善于立财治政?
2104s 还有谁,能比你更熟知车马周记民妇的征调和钱粮的散局?
2110s 我还没有出生的时候,你就已经是江东的大管家了。
2120s 我没有你这三十多年来尽心的辅助,我傅兄不可能创下今天的这片基业。
2130s 我江东不可能有今日的繁荣昌盛。
2133s 晚辈,恳请你再助我一次,辅助周大都督,击败曹军,护佑江东大业。
2154s 出宫啊!
2160s 张召听命。
2190s 张召在。
2193s 命你为东吴总提调官,掌管东吴大军所有供给保障。
2202s 命顾雍,布置,薛从为副提调,协助张召掌理。
2211s 领命。
2213s 这是我傅兄三代相传的江东福音。
2220s 只此因行事,便如我傅兄行令。
2225s 敢有违抗者,也按照江东七禁令五十四斩施行。
2231s 遵命。
2233s 遵命。
2235s 张召,接音。
2238s 张召,领命。
2240s 遵命。
2248s 龚瑾娜,大孤独啊!
2252s 今日是我有生以来最高兴的一天的!
2257s 紫荆啊,我还从来没见你这么高兴过。
2260s 高兴,高兴啊!
2265s 今天我家主公真是了不起啊!
2269s 骗人之间,就是得我江东文武上下以亲,同心同德,并立抗曹啊!
2276s 我主公自然是了不起。
2279s 江东自然同心同德。
2283s 但是,刘备、孔明他们,会不会跟我们同心同德啊?
2290s 哦,都督此言何意啊?
2294s 我知道孔明是你请来的。
2297s 江东也是你最早提出孙刘联手合兵抗草。
2300s 对此我是极为赞同。
2303s 但是战河大计决定之后,孙刘联盟就要开始了。
2308s 现在的关键是,联手联手,谁要联谁的手。
2317s 拥兵抗草,谁想要谁的兵。
2319s 别急,我就一语挑明吧。
2325s 那便是,孙刘联盟,谁是联盟之主。
2332s 都督说得对。
2336s 在下以为,当以我江东为主。
2340s 但孔明并不这么想啊。
2343s 相反呢,他会这么想。
2345s 如果江东胜了,他趁势去荆州立足。
2352s 如果曹操胜了,他趁势夺我江东。
2355s 紫荆啊,我说得有无道理。
2363s 都督所言,一针见血呀。
2369s 孔明此人见势超全,日后必成我江东大患。
2374s 我必须杀了他,以除后患。
2376s 不可不可,万万不可呀。
2378s 大胆在己,岂能不杀敌而杀友。
2381s 再说,刘备的军队是我江东的大助。
2384s 现在杀孔明就等于自断臂膀啊。
2387s 都督万万不可呀。
2389s 先生修经,既然你说杀不得,
2395s 那就暂且不杀吧。
2397s 人虽可以不杀,但总不能坐视他成为后患。
2410s 我意请紫荆设法把他召入江东,
2418s 为主公效命。
2420s 此事难哪。
2438s 我知道此事甚难,
2447s 但你足智多谋,又是参军效命。
2451s 这是本都督拜托你的第一键重任。
2455s 还请先生迎难而上,尽力育成此事。
2458s 我是断断说不动他的。
2470s 不过,诸葛锦是孔明的胞兄。
2476s 如果请他劝说孔明来想,或许可以是。
2481s 也行。
