3s 徐州城不愧为中原第一雄官
648s 这你算十分对人了
651s 大概在
657s 八百多年前吧
659s 有一颗流星落在了月底
661s 烧红了五十多里山川
665s 当天夜里
666s 干江莫爷夫妇
668s 就取回了流星
669s 铸成了两把宝剑
671s 一把叫干江
672s 一把叫莫爷
673s 也就是吴王剑和岳王剑
676s 铸完这两把宝剑剩下的云铁
678s 只能够断造一把的刀
681s 就是这把七星刀
683s 吴王剑和岳王剑
685s 都已经是名满天下了
693s 七星刀
695s 默默无闻
700s 一直不为人所知
702s 一直到
704s 我草草
706s 指此刀
707s 刺杀董卓的手
709s 可惜啊
710s 董贼也不敢
714s 可惜啊
715s 董贼命不当局
718s 怎么
720s 今天
721s 你想用它来
722s 杀我
728s 我是要把它
731s 还给上天
736s 如今我就是天
740s 拿来
762s 他没想杀我
764s 他只是想自杀你这个屁股
766s 他死得好
775s 是寻衣叫你来的吧
778s 自己到监军那领三十军棍
780s 诺
784s 罢了免了吧
786s 不
787s 不免
788s 抹去
823s 大伙听战
826s 此役
827s 我们一起收取徐州六郡
830s 为震天下
831s 实力大增
833s 这也是咱们自起兵以来
837s 取得的最大的一场胜利
839s 为此
841s 我足足高兴了
843s 半个时辰
846s 可是半个时辰之后
848s 我的心情又倍绝沉重
850s 你们知道为什么吗
855s 因为济州袁绍
857s 毫发公孙瓒的一战
860s 正在激烈地进行
863s 这几个月以来
866s 袁绍步步紧逼
868s 公孙瓒是损兵折将
870s 照此下去用不了多长时间
873s 幽州就是袁绍的了
875s 如此一来
877s 这大汉天下
878s 袁绍一个人就独享了
880s 清幽并济四个州
882s 成为天下最大的诸侯
884s 你们知道这意味着什么
887s 意味着主公与袁绍之间
890s 定有一场生死决战
892s 此战决定天下归宿
895s 没错
897s 那你们知道此刻
899s 我最盼望什么
901s 主公盼望的是
903s 现在袁绍与公孙瓒
905s 最好不分胜败
906s 拖得越久越好
908s 以便让袁绍兵力受损
910s 为主公赢得时间
913s 为最后的决战
914s 做充分准备
918s 对
924s 听命
926s 后天班师回许昌
928s 整军备战
930s 遵命
941s 为何发愁啊
944s 曹操后天就要班师了
948s 我在想
950s 我们该何去何从啊
953s 现在徐州是他的掌中务
958s 曹操不是答应了
960s 让你做徐中务吗
964s 他还答应吕布
965s 做三军大元帅呢
969s 曹操
970s 不还我们徐州
972s 让我们屯住小佩也成啊
977s 你为朝廷立下过汉马功劳
981s 就为曹操受了这么多的委屈
984s 难道他连一座小城
985s 都不舍得吗
989s 他若能准我住小佩
992s 那我当然高兴
994s 我根本就不想随他去许昌
997s 现在
999s 离这个人越远越好
1003s 一德
1005s 你意如何
1009s 我才不操那份闲心呢
1011s 大哥的意思
1012s 那就是我的意思
1014s 三弟倒是省心
1016s 那当然了
1017s 这老大个天下
1019s 岂能没咱容身的地方
1021s 你们瞅个甚呢
1026s 班师在即
1031s 其余的大事
1032s 我都已经有所安排了
1036s 可是有个人
1038s 该如何处置呢
1041s 站前
1043s 你们仨一个叫我杀
1046s 一个叫我用
1048s 一个叫我用后再杀
1052s 现在班师在即啊
1056s 我们该拿他怎么办呢
1059s 吕布已亡
1060s 徐州已归属主宫
1063s 刘备无处依靠
1064s 他只好投奔主宫
1066s 现在杀他
1068s 已经没有必要
1070s 相反
1072s 用之更好
1073s 无尽其力人尽其才
1076s 主宫也享受
1077s 人间爱闲之美称
1080s 敢问主宫
1082s 是否答应过刘备
1083s 令其坐徐州墓
1086s 好像是有
1088s 记不清了
1091s 请主宫明言吧
1093s 有还是没有
1096s 有
1098s 那么主宫不可实言
1100s 在下建议
1101s 赐刘备为徐州墓
1103s 但只受其名分
1105s 而不给其实权
1107s 令派可靠将领助守徐州
1109s 总揽军政民政
1113s 刘备呢
1115s 令其助守小佩即可
1121s 在下附议
1126s 在下也附议
1133s 好吧
1136s 就这么办
1140s 禀主宫
1141s 有几位士绅父老求见主宫
1143s 何事
1145s 他们听说主宫要回徐昌了
1147s 大吉
1147s 代表徐州五十万百姓
1149s 向主宫敬献万民书
1154s 这
1155s 真想不到
1158s 咱们刚到徐州每两天
1161s 徐州的百姓就如此爱待咱们
1164s 铭心可依啊
1167s 快请进来
1168s 诺
1182s 小民 奴役族等
1184s 拜见曹大将军
1185s 拜见曹大将军
1187s 请起
1193s 我等听说大将军
1195s 就要返回徐昌
1197s 特代表徐州六郡的百姓
1199s 向大将军来敬成万民书
1203s 恳请大将军
1205s 留下刘公玄德
1208s 让他重新担任徐州墓
1212s 谁
1214s 刘公玄德
1217s 即是刘备
1218s 为什么呢
1222s 禀大将军
1224s 刘备爱民啊
1227s 陶签死后
1228s 刘备曾经担任过
1230s 九个月的徐州墓
1233s 那九个月
1234s 是我徐州最太平的时光啊
1238s 刘备与各乡镇定立约法
1242s 霸斥贪官 减轻赋税
1244s 还建了三座遍民桥
1247s 五百余丈河堤
1249s 饮水灌溉农田
1252s 才有了五谷丰登
1254s 人丁兴旺啊
1256s 大将军啊
1258s 我徐州百姓
1260s 直到现在还有口饭吃
1263s 仍然托付于
1265s 刘备当初的德政
1268s 我等
1269s 已多年未见
1271s 如此鲜明的
1273s 鲜明的主公了
1276s 臣请大将军
1279s 留下刘备吧
1281s 臣请大将军
1283s 留下刘备吧
1290s 刘备如此鲜明
1293s 堪当朝廷栋梁之才
1297s 不过
1299s 让如此大才
1301s 担任区区一州的刺史
1304s 不是太委屈他了吗
1307s 这样你们看
1309s 我把你们这个万民书
1316s 上呈朝廷
1317s 把列位的心意表奏天子
1320s 让天子
1321s 亲自赤封刘备
1324s 可好
1325s 谢 谢大将军
1327s 谢 谢大将军
1330s 还不能让这个刘备留守徐州
1342s 连小胚都不能让他住
1344s 主公你刚才同意
1348s 让刘备在徐州过去
1350s 在徐州挂个虚名
1352s 有名无实啊
1354s 你没有听到刚才那个
1355s 示身的话吗
1356s 刘备在徐州已经深得明心了
1359s 如果让他挂个虚相
1360s 挂着挂着
1361s 他就会变成实的
1363s 而咱们留在徐州的人
1364s 就会变成虚的
1368s 这个不得不防
1372s 刘备
1374s 不能留下
1377s 要把他带回徐城
1388s 曹公
1395s 天子下诏了
1397s 他听说你是皇室后裔
1400s 又在徐州剿贼中立下大功
1402s 隆心大悦啊
1407s 臣刘备
1408s 遥祝五皇万安
1413s 贤弟
1414s 你想不想一赌天颜哪
1417s 在下朝思暮想
1418s 那好
1420s 上车吧
1421s 随我去西昌
1423s 这就走
1424s 这就走
1427s 曹公不是明天才班是吗
1429s 那是三军将士
1430s 你我要先行一步
1432s 再说旅途寂寞
1434s 我也想和贤弟做个班
1438s 在下有几位兄弟
1440s 你放心吧
1441s 我都安排好了
1442s 明日
1443s 曹仁会陪着关章照三位将军
1446s 办事回京
1451s 咱们贤弟
1452s 不想见天子吗
1455s 好
1456s 在下遵命
1459s 这就对了
1460s 大将军曹操
1492s 奉旨觐见
1508s 天子赐我入朝不败
1510s 暂败不明
1512s 在下明白
1513s 臣曹操
1540s 拜见天子
1542s 爱卿平身
1546s 臣奉旨觐军徐州
1549s 擒杀贼将吕布
1551s 收复徐州
1553s 六郡十九城
1554s 府堤十万
1556s 斩首两万
1557s 令获战马兵器无数
1562s 爱卿立此书勋
1564s 朕极为高兴
1566s 臣所做的一切
1568s 上乘天威
1569s 下位黎明
1570s 忠心汉事
1572s 臣不敢鞠躬
1573s 爱卿一举攻陷了寿纯
1576s 大败逆贼袁述
1578s 此次
1579s 爱卿又人不卸甲
1580s 马不卸鞍
1581s 为朝廷收取了徐州
1584s 爱卿已是名震四海
1585s 攻垂天下呀
1588s 听旨
1589s 朕拜爱卿为朝廷丞相
1592s 总领朝政
1593s 加赠封地九千锦
1596s 民三万户
1598s 臣曹操
1600s 叩谢天恩
1608s 请曹丞相入座
1611s 请
1613s 陛下请
1635s 陛下
1637s 你看这个人
1640s 他叫刘备
1641s 自玄德
1645s 刘爱卿请上殿来
1658s 臣刘备叩见陛下
1663s 爱卿祖上何方
1666s 臣乃中山晋王之后
1669s 孝瑾皇帝之玄孙
1671s 祖刘雄之孙
1673s 父刘弘之子
1677s 你是朕的皇亲
1678s 快拿皇族世谱来
1680s 朕要验看
1693s 念语朕听
1696s 孝瑾皇帝生子十四
1699s 第七子便是中山晋王刘胜
1701s 刘胜生鹿城侯刘贞
1703s 刘贞生佩侯刘昂
1705s 刘昂生张侯刘禄
1707s 刘禄生夷侯刘炼
1709s 刘炼生杨侯刘英
1711s 刘英生风铃侯刘不宜
1714s 刘不宜生季川侯刘惠
1716s 刘惠生东郡令刘雄
1718s 刘雄生刘弘
1720s 刘弘不适生刘备
1722s 禀陛下
1723s 这刘备乃是孝瑾皇帝的
1725s 第十八代玄孙也
1731s 一族谱
1732s 你是朕的皇叔啊
1736s 陛下天恩浩荡
1738s 刘备感激其名
1743s 连年兵祸
1744s 使得国家蒙难
1746s 朕也饱受乱贼欺凌
1752s 幸得曹丞相
1755s 忠君报国 除贼安民
1758s 迁都于许昌
1760s 朕才略享偏安之福
1763s 今日见了刘皇叔
1765s 朕更是欢喜不尽啊
1767s 刘备听旨
1769s 朕授你为左将军
1771s 怡承廷侯
1774s 臣叩谢天恩
1777s 爱卿闲暇时
1778s 请多多进宫来看望朕
1780s 朕想跟你述足
1783s 臣遵旨
1787s 恭喜刘皇叔
1814s 恭喜刘皇叔败将封侯啊
1829s 丞相虽然未及人臣
1832s 但还仍然是臣
1834s 而他刘备
1835s 转眼间变成了皇叔
1837s 可笑至至啊
1839s 那有什么
1841s 我要是愿意
1842s 做他皇爷爷都成
1844s 那我不贪那个
1845s 这陛下刚见刘备
1847s 就给他败将封侯
1850s 很明显
1851s 陛下是想培植势力
1853s 用于外援
1855s 丞相
1856s 不得不防啊
1859s 此意结我也想到了
1862s 当然要防
1864s 不过凡事
1865s 皆有利弊
1867s 刘备现在既然贵为皇叔
1870s 以后我再用天子诏令
1872s 制约他
1873s 他就更得遵从了
1876s 吉是
1877s 刘皇叔受封后
1879s 有没有得意忘形啊
1882s 恰恰相反
1884s 他受封之后
1886s 反而更加谦卑了
1888s 他把自己关在客宅里
1890s 整天是大门不出啊
1893s 即便是出门拜客
1895s 大老远就打工作衣
1897s 如履薄冰
1902s 聪明人
1905s 丞相
1906s 在下有言
1908s 压抑很久了
1910s 你只管说
1912s 丞相
1914s 无论在朝在野
1917s 都已经是
1918s 功德浩荡
1919s 恩威齐天了
1921s 因此
1922s 丞相
1923s 不应该仅仅屈尊于丞相之位啊
1927s 承玥
1928s 你是在劝劲吗
1930s 正是
1936s 多谢了
1939s 我现在虽然功名日胜
1941s 但是自望尚浅
1943s 兵马属地也不如袁绍多
1946s 再说了
1948s 现在朝廷内外
1950s 忠于天子一心伏汉的大臣不少啊
1953s 别人不说
1956s 徇玉
1958s 头一个他就不能答应
1960s 所以我还是别
1962s 惹火烧身了
1964s 那丞相
1965s 你应该早做谋划
1966s 查清谁是帝的
1968s 谁忠诚于丞相啊
1976s 这倒可以
1980s 这样
1983s 过两天我要去
1985s 许田行猎
1988s 劳你进宫奏报天子
1989s 就说我请他一块去
1992s 还有
1993s 朝廷内外的文武大臣
1995s 都去
1997s 遵命
2008s 祖上如此辉煌
2012s 可惜传到朕这儿
2014s 却是奸贼当道
2015s 国家沦丧
2037s 刚刚召见刘备
2039s 为何就给他拜将封侯啊
2042s 国事都不由朕做出
2052s 刘备既是个英雄
2053s 又是皇族后裔
2057s 将来子人可用作后援呢
2059s 臣明白了
2063s 可刘备兵马不多
2066s 又无甚属地啊
2071s 这个嘛
2072s 朕将来会慢慢地封赏他
2080s 禀陛下
2081s 参军承玉求见
2089s 叫进来
2090s 诺
2100s 臣承玉
2102s 拜见陛下
2104s 平身
2106s 谢陛下
2108s 爱卿有何事啊
2111s 禀陛下
2112s 后天
2113s 丞相请陛下许田行猎
2117s 爱卿啊
2118s 这嫁鹰牵狗的事
2120s 恐怕不是天子正道啊
2122s 再者
2123s 朕的身体也不舒服
2124s 朕
2125s 陛下
2127s 自古以来
2128s 圣君都好打猎
2130s 春波夏中秋收冬藏
2133s 似是狩猎扬为于天下
2135s 曹丞相
2136s 不但请陛下出猎
2138s 还令朝廷大臣
2140s 三军将士随驾
2142s 他们都盼望着
2143s 跟随陛下行猎啊
2148s 至于陛下所说的
2149s 龙体欠安嘛
2152s 臣
2153s 敢请陛下三思
2161s 听爱卿说话的这会儿
2163s 朕的身体舒服多了
2165s 朕告丞相
2167s 朕
2168s 朕
2169s 去
2170s 领旨
2208s 臣妻陛下死射一箭
2248s 丞相神射
2249s 真是了不起啊
2252s 这恐怕不是
2253s 刘皇叔的心里话吧
2255s 你可是见过吕布的
2257s 原门社稷的
2258s 他才堪称
2259s 神射儿子
2262s 吕布虽然擅射
2265s 却被丞相斩首了
2267s 丞相箭术虽步入吕布
2270s 却能一箭定江山啊
2272s 如此看来
2274s 吕布射技再高也是俗射
2277s 而丞相
2279s 随指射翻一头鹿
2281s 堪当是神射
2284s 这倒是句实话
2286s 忠听
2287s 臣奉还陛下的宝雕功
2291s 安心留着用吧
2295s 谢陛下赐功
2297s 万岁
2311s 徐初
2312s 在
2313s 送你了
2314s 丞相
2315s 这弓转圆面子没鸟用
2316s 要它干吗
2317s 那就把它扔了吧
2320s 不 我要
2321s 在
2321s 刚才的事你都看到了吧
2323s 将士们向我高呼万岁的时候
2325s 有多少人不高兴
2328s 国舅董成气得满脸痛哄
2330s 关于以身手摸箭
2332s 不少大臣也是感怒不忍
2334s 还有寻玉
2336s 他也长虚短叹
2337s 是
2338s 我对他那么信任
2340s 那么尽忠
2341s 他却心向天子
2344s 是
2345s 由此可见
2347s 朝廷上下忠于陛下的人不在少数
2350s 更何况现在
2351s 诸侯割据 萧雄争霸
2354s 成帝的事就不要再说了
2356s 诺
2357s 徐天哪为
2366s 曹操实在太可恨
2368s 竟然敢压皇帝一头
2371s 抢夺天子之礼
2373s 曹操帝王之志
2375s 见畏之心
2376s 早就有目共睹了
2379s 我本来想
2381s 杀了曹贼
2382s 为国除害
2383s 可大哥你为什么
2386s 不许我动手
2387s 当时曹操身边假势伶俐
2392s 猛将如云
2394s 如果你动手
2396s 我担心不但伤不了他
2398s 反而会害了天子
2401s 现在不除曹贼
2404s 日后
2405s 就是
2409s 这杀又杀不得
2410s 忍又忍不得
2412s 那咱们还窝在这里干吗
2414s 大哥
2415s 咱不如离开徐章
2417s 到外头 快
2419s 快回去吧
2423s 现在徐章各处都把守纪言
2426s 我们即使想走
2428s 也要寻找机会
2431s 我们现在既忍离下
2434s 万事都要忍耐
2437s 你老是忍耐忍耐
2440s 这忍到何时是个头啊
2446s 主公
2447s 皇宫里来了个内臣
2448s 说是传天子口谕
2459s 臣刘备听旨
2462s 禀留皇叔
2463s 圣上口谕
2464s 陛下在许田行猎时
2466s 身染寒露
2467s 臥病不起
2468s 召各位皇亲国戚入宫请安
2472s 请奏报陛下
2474s 臣立刻就去
