4s 各位弟兄,明天我就要出战关羽。
1116s 不如你想了我,世人知道你想了关羽,不丢人。
1125s 我主我哥,乃庸人儿。
1131s 大丈夫,死于刀斧之下,也该大笑三声。
1138s 你真的想死?
1143s 我若不死,回头必提君杀你!
1148s 周苍听令!
1152s 在!
1153s 用我的青龙燕月刀,斩杀庞德。
1158s 遵命!
1169s 马良听令,命各部乘胜追击,猛攻翻城。
1183s 君侯,在下有一言不知当讲否。
1191s 讲。
1192s 我军北征以来,连续作战已达半月。
1198s 又倒是强鲁之末,南川鲁岗。
1203s 是否修整几日再战?
1207s 这是什么话?
1209s 我关羽的兵永远是强鲁,曹兵才是鲁岗。
1213s 大胜之计,应该乘胜追击,何言修整啊?
1221s 虽然鱼禁兵败,难保曹操不再发旧兵来。
1226s 而且,樊城曹仁也是善战之将。
1230s 我军多日履功不下,城下是失衡如山。
1236s 那是因为我没有兵临城下。
1239s 我若前去,将士们必奋勇当先。
1243s 并归神速,我们越是早早地拿下樊城,
1247s 曹操就越不敢发兵。
1249s 除此之外,我们还有后顾之用。
1257s 现在大军都已调来攻打樊城。
1260s 若东吾一旦向我荆州用兵,该如何?
1264s 此时此刻,我大败鱼禁十万大军的消息
1270s 定会传进东吾。
1272s 就算我借孙全个胆子,他也未必敢来惹我。
1278s 将军自然是勇冠天下,
1283s 不过,若那无胆孙全果然来了,该如何?
1288s 那好啊,他过疆,我也过疆。
1291s 他过疆攻我的荆州,我就过疆。
1294s 直到东吾建业,连孙全一起拿了。
1299s 父亲,父亲!
1302s 君侯!
1304s 怎么了?父亲,怎么了?
1306s 父亲,不好,庞子的箭头有毒。
1320s 君侯,现在伤口一片青子。
1323s 看来是毒性已经发作了。
1326s 君侯千万不要动怒。
1328s 一旦动怒,会加剧毒性。
1339s 还是班师荆州吧。
1341s 不,不至可取。
1347s 小创,岂能误了军中大事。
1355s 父亲,先生言之有理。
1357s 你还是速回荆州调养,
1359s 留我等在此攻去樊城。
1361s 我意已决。
1363s 胆敢再轻言退兵,
1366s 军法乱冲。
1368s 父亲,太不诚。
1370s 他毕竟受了这么重的伤,
1383s 却听不尽劝。
1387s 万一有个三长两短,
1393s 我如何向伯父交代?
1397s 少将军,不要太着急。
1401s 昨日,有人在往襄阳的路上,
1405s 看见明依华佗。
1409s 此人的医术,可谓医中之上。
1412s 许多绝症到他的手下,
1414s 即刻就能解决。
1416s 先生所说的,
1418s 是不是传说中的化身仙呢?
1420s 正是此人。
1422s 我与此人有过一面之交。
1424s 将军,
1426s 我这就派人去追他。
1428s 先生,我亲自去。
1430s 我马快。
1432s 驾。
1434s 箭头,
1439s 针有无头毒药,
1446s 药性已直透入骨髓。
1448s 再不医治,
1450s 非但这只胳膊要废了,
1452s 只恐性命难保啊。
1454s 先生,可依否?
1456s 我虽有疗法,
1460s 只恐君侯受不了巨痛。
1462s 巨痛?
1464s 官某驰骋疆长几十年,
1466s 出生入死,
1469s 何惧之忧?
1474s 君侯,请听我讲这疗伤之法之后,
1476s 再做决定。
1478s 是,
1480s 君侯,
1482s 请听我讲这疗伤之法之后,
1484s 再做决定。
1486s 如何?
1488s 请讲。
1490s 先选净处,
1492s 深埋一柱,
1494s 柱上钉铜环,
1496s 君侯须以伤臂穿于环中。
1498s 我用绳复支,
1500s 然后用棉被蒙君侯之手。
1502s 为何要把我的头蒙起来?
1504s 只恐君侯看到我的疗法受惊。
1506s 我看你疗伤做什么?
1508s 我要看这件事。
1510s 我看你疗伤做什么?
1512s 我看这件事。
1514s 我还没下完这盘棋。
1516s 你继续讲。
1518s 我用尖刀,
1520s 割君侯的皮肉,
1525s 直至入骨。
1527s 然后,
1529s 用刀刃,
1531s 刮去骨上的箭毒,
1533s 用药复制。
1535s 再用针线,
1537s 缝合伤臂,
1539s 再用药复制。
1541s 这样,
1543s 我继续讲。
1545s 我只是坐在这里下棋。
1547s 你只需要用刀。
1550s 你还愣着干什么?
1552s 用刀吧。
1561s 少将军。
1563s 在。
1583s 取一支盆来,
1626s 接血。
1628s 我和你一起喝酒。
1630s 如果我输了,
1689s 我会给你一杯酒。
1691s 三天之内,
1703s 你不能活动这支伤臂。
1705s 先生,
1707s 你真是个神医。
1709s 君侯,
1713s 我从来没有见过
1715s 君侯这样的人。
1717s 君侯真是天神医。
1719s 先生,
1738s 在下,
1742s 我有一事想通。
1744s 请讲。
1748s 请先生,
1750s 以伤情慎重为由,
1752s 劝官将军退回京州。
1754s 为什么你不跟他说?
1756s 他不听在下的。
1762s 难道他肯听我的吗?
1766s 求先生了。
1770s 也罢。
1777s 我试试。
1789s 先生,
1791s 我有一心愿。
1793s 君侯请讲。
1795s 军中,
1797s 如有先生在,
1799s 如同增加了数万将士的性命。
1801s 官某斗胆,
1803s 敢请先生在军中留住。
1805s 国军将士,
1807s 必国士相爱。
1809s 多谢君侯美意。
1811s 在下,
1813s 一向闲云野鹤,
1815s 受不得军中拘束。
1817s 再者,
1819s 请君侯恕我直言。
1821s 在下本不愿治这刀兵之伤。
1823s 为何呢?
1825s 因为我治好了他,
1827s 就会增加更多的刀兵。
1829s 医者,
1831s 虽有再生之德,
1833s 但在下,
1835s 就会增加更多的民众。
1837s 如果我留在军中,
1839s 怎么办呢?
1841s 先生高兴,
1843s 在下敬佩。
1847s 管平,
1849s 这黄金白粮,
1854s 全作谢礼。
1856s 这我不能接受。
1858s 我另有所请,
1860s 请先生试下。
1862s 君侯的箭疮,
1864s 虽治了,
1866s 但仍需爱护。
1868s 切勿怒火攻亲。
1870s 不需待百日之后,
1872s 才能平复如初。
1874s 因此,
1876s 请将军远离战地,
1878s 回荆州调养。
1880s 不,
1882s 百日之内,
1884s 我不用这条伤壁,
1888s 一样可以攻下藩城。
1890s 先生,
1892s 此次辛苦了。
1899s 不辛苦。
1901s 寄诚,
1903s 请恕我直言。
1905s 官将军的伤情,
1907s 我已治好了。
1909s 可是他的狂傲之病,
1911s 远甚于伤情,
1913s 无药可医。
1915s 在下,
1919s 大都督,
1923s 你看,
1960s 荆州军营将编,
1962s 立起数百座风火台。
1964s 一旦有警,
1966s 夜居浑日起焉,
1968s 片刻之间,
1970s 会立即稳紧而动,
1972s 关羽也会前来援救。
1974s 这样一来,
1976s 我军将水路
1978s 两面收地啊。
1980s 动手吧,大都督。
1982s 我们定能在关羽回园之前,
1984s 拿下荆州。
1987s 现在还不是时候。
1989s 大都督,
1991s 要是关羽一旦攻下藩城,
2005s 我们可就永无机会了。
2011s 大都督,
2013s 大都督,
2024s 主公。
2030s 薄言,
2032s 我招你来,
2034s 是有事委托你。
2036s 请主公吩咐。
2040s 子明突然患病,
2042s 不能长军。
2044s 他发来书信说,
2046s 让我替他选一粮食,
2048s 替他掌管大都督之职。
2050s 我,
2052s 就想到了你。
2054s 我?
2056s 舍你其谁啊?
2061s 谢主公信任。
2065s 不知,
2067s 子明病情沉重否?
2071s 州马劳顿,
2073s 引发风寒,
2075s 病势很重。
2077s 现在,应该赶往南徐了。
2089s 楚公啊,
2093s 孙刘联盟,
2095s 万劫不复了。
2099s 何出此言呢?
2101s 祥吕盟,
2103s 航武出身,
2105s 身体十分强劲,
2107s 几十年制风沐雨,
2109s 从未染病。
2111s 为何偏偏,
2113s 早不病晚不病,
2115s 一到路口就病了呢?
2121s 我看哪,
2123s 他是想以诈病,
2125s 迷惑关羽。
2127s 此时此刻,
2129s 恐怕不是返回建康,
2133s 而是齐西金州了吧。
2137s 真是瞒不过你。
2141s 没错,
2143s 他是看见对面的风火台,
2145s 他还得知,
2147s 关羽在金州内部,
2149s 留守了一万五千精锐,
2151s 所以,
2154s 才想到诈病,
2156s 诱关羽,
2158s 把那一万五千精锐,
2160s 调到樊城前线。
2166s 所以,
2168s 他就举荐了我这么一个书生,
2170s 好让关羽,
2172s 更加无妨。
2175s 博言,
2177s 我已传告了
2179s 江东各地,
2181s 吕盟病重,
2185s 陆迅代职。
2187s 此刻,
2189s 金州的细作,
2192s 应该已经把消息告诉关羽。
2196s 博言,
2201s 你就配合一下吕盟,
2203s 上任去吧。
2205s 在下遵命。
2207s 主公,
2212s 在下还有一言。
2214s 是孔明,
2216s 吕盟最恨的人是关羽。
2218s 请主公下令,
2220s 吕盟攻下金州即可,
2222s 万万不可杀害关羽。
2224s 因为关羽,
2229s 是刘备的骨肉兄弟。
2231s 他在刘备心目中的位置,
2233s 甚至于要高于孔明。
2235s 失了金州,
2238s 刘备未必会与我们反目。
2240s 因为金州本来就该属于我们江东的。
2242s 可如果杀了,
2244s 主公和刘备,
2246s 就会结下不共戴天之仇。
2248s 十个金州也化解不开。
2252s 几个月后,
2254s 刘备的百万大军,
2256s 就会舍弃曹军,
2258s 直奔江东而来。
2263s 陆迅,
2265s 你赶快前往路口,
2267s 一定要找到吕盟,
2269s 令他攻入金州。
2271s 是,
2276s 是,
2278s 是,
2280s 令他攻入金州后,
2282s 就地驻守,
2284s 万万不可追杀关羽。
2286s 遵命。
2288s 关将军。
2358s 东吴阿盟定了,
2362s 竟让一个书生
2364s 带行水石都。
2366s 我说的没错,
2368s 东吴全是蜀辈。
2370s 关明。
2372s 父亲,有何吩咐?
2374s 传我将令,
2376s 回金州再调一万精兵,
2378s 这,
2380s 开启。
2382s 遵命。
2443s 传我军令,全军扬帆过江,
2445s 直驱金州。
2447s 诺,扬帆。
