14s 大都督! 大都督!
15s 贼无辜杀我兄长啊,大都督!
1717s 都督,
1730s 成普将军,
1808s 令你率五千经济,
1811s 打着曹军旗号,
1813s 直奔江北巫林,
1815s 那里吞放曹操的军械粮草,
1818s 令将他们全部焚尽。
1820s 诺。
1822s 甘宁将军。
1823s 在。
1824s 令你率兵三千,
1826s 直奔黄州地界,
1828s 断曹军后援。
1830s 诺。
1831s 太史司听令。
1832s 在。
1833s 令宁爷率兵三千,
1835s 隔一日前往巫林,
1837s 接应成普将军,
1838s 斩断曹操东陆援军。
1840s 诺。
1841s 令统听令。
1843s 在。
1844s 率兵三千,
1845s 取戒守。
1846s 诺。
1847s 潘昌听令。
1848s 在。
1849s 令你率兵三千,
1850s 直取汉阳。
1851s 诺。
1852s 潘昌听令。
1853s 在。
1854s 令你率兵三千,
1855s 打着曹军旗号,
1857s 隔一天前往汉阳,
1859s 接应董席,
1861s 斩断曹操西北退路。
1863s 诺。
1864s 你杀,
1866s 皆为不齐的禁军方律。
1870s 水军战船,
1872s 当分六旅,
1874s 第一路统领,
1875s 盘当。
1876s 领命。
1877s 第二路统领,
1878s 盘当。
1879s 第二路统领,
1880s 周太。
1881s 诺。
1882s 第三路统领,
1883s 贾青。
1884s 诺。
1885s 第四路统领,
1886s 陈吴。
1887s 诺。
1888s 第五路统领,
1889s 丁凤。
1890s 诺。
1891s 第六路统领,
1892s 徐胜。
1895s 诺。
1896s 六路各引战船,
1897s 三百艘。
1898s 共计一千八百艘。
1903s 东风起来之后,
1904s 半个时辰,
1907s 杨帆进攻北岸。
1910s 我会在南平山,
1911s 西风顶,
1912s 布下降台。
1914s 进攻时辰一到,
1916s 即有号令发出。
1918s 遵命。
1919s 孔明施法已经快三天了,
1970s 仍不见东南风起。
1972s 今天已经是二十日,
1974s 再过两个时辰,
1975s 我军就要动兵了。
1977s 你听着,
1980s 如果甲子时辰到了,
1983s 仍然不见东南风起,
1985s 你即率兵赶往七星潭,
1992s 斩杀孔明以证军法。
1995s 遵命。
1996s 大都督,
2001s 若末将赶往七星潭,
2003s 见东南风起,
2005s 又该如何?
2006s 那更要斩他,
2007s 当场斩杀。
2010s 东南风起,
2013s 留着诸葛亮已经没用。
2014s 此人有诡神不测之术,
2018s 令日后必成我江东大海。
2024s 末将遵命。
2028s 请快上车。
2081s 恶中何人?
2115s 是我。
2120s 惊扰夫人了。
2122s 夫人可有见过诸葛亮?
2125s 没有。
2128s 夫人为何救我?
2151s 因为你救过周朗。
2154s 先生,
2164s 燕子机到了,
2166s 你自行去吧。
2168s 夫人为何知道我要去燕子机?
2172s 前两天,
2174s 我看见这里停着一艘快船,
2176s 那船夫英气夺人,
2178s 他显然不是渔夫吧?
2181s 禀夫人,
2183s 他是常山赵子龙。
2223s 回去告诉大都督,
2225s 让他好生用兵。
2227s 诸葛亮下唐后,
2241s 就消失得无影无踪。
2243s 末将追到燕子机江边的时候,
2246s 他已经被一艘快船接走了。
2248s 接他的人,
2249s 是赵云将军。
2251s 在下追查过,
2252s 那艘快船,
2253s 已在江边等候了三日。
2255s 孔明事事料于我先,
2264s 他不死,
2267s 我咒于不安。
2273s 人已走,
2274s 恨也无用。
2276s 等灭逃之后,
2278s 再作图谋吧。
2280s 放走了朱...
2389s 夫君!
