14s 丞相,咱们的仓劳实之久空啊,恐怕这些余粮只够大军使用三天了。
1156s 吉山大营空虚,
1159s 故而来袭我大营,
1161s 但是,
1165s 如果他真的想请我,
1168s 就该不动声色。
1170s 而如今,
1172s 司马仪真正的目标,
1174s 是要奪取上方国。
1176s 不错,
1178s 正是上方国。
1180s 如我所料不错,
1183s 此时此刻,
1185s 司马仪必清率大军前去。
1189s 只要未延王平来远,
1192s 他就会攻去上方国。
1194s 否则,
1196s 司马仪必须带大军前去。
1199s 他就会攻去上方国,
1202s 分我粮草,
1204s 断我命脉。
1206s 丞相,
1208s 我这就派人传命未延王平
1210s 叫他们当心。
1212s 啊,
1214s 来不及了。
1216s 未延知道大营危急,
1218s 必会分兵来救。
1220s 丞相,
1222s 那如此一来,
1224s 岂不是就让司马仪得手了?
1226s 我已将应对之策留给王平了。
1230s 万吉州,
1232s 如果我们失去粮草,
1235s 那他司马仪也得不到。
1244s 大都督,
1245s 少启报,
1246s 孙将军正在猛攻齐山大营。
1248s 上方国那里,
1250s 未延起兵回原了吗?
1252s 没有,
1254s 未延暗兵不动。
1255s 来人!
1256s 在!
1259s 传令国怀,
1261s 让他增兵猛攻齐山大营,
1263s 把所率精锐全部用上。
1265s 诺!
1266s 报!
1268s 大都督,
1270s 说。
1271s 上方国的蜀军起兵了,
1273s 他们直奔齐山大营而去。
1275s 未延去了没有?
1277s 留下多少守兵?
1279s 未延亲自领兵去的,
1280s 王平留守,
1281s 守军仍有数千。
1282s 再探。
1283s 诺!
1284s 未军攻势猛烈,
1300s 我们的东寨已经两次被攻破,
1303s 好不容易才夺了回来,
1305s 但是南寨的情况就更加危险了,
1307s 伤兵和马夫都提着刀上了,
1309s 仍然不敌,
1310s 看来南寨也快守不住了。
1312s 丞相,
1315s 我从来没有见过未军这么猛烈的攻势啊,
1318s 司马宜一定是亲自来督战了,
1321s 否则未军是不会这么拼命的。
1323s 在上方国。
1330s 我从寨楼上看,
1331s 上方国太平无事。
1333s 司马宜定在上方国。
1337s 都说了,
1340s 去指挥退敌吧。
1343s 诺!
1344s 又重现了。
1372s 司马昭!
1377s 大都督!
1378s 传令各部,
1384s 随我前往上方国。
1387s 遵命!
1388s 寨破了,
1398s 东寨北寨都在枯寨,
1402s 或许天亮前整座大营都会实现。
1406s 丞相,
1411s 你赶快前出大营,
1413s 转往陈仓吧。
1414s 我一走,
1419s 大营就真的要崩溃了。
1422s 可是,
1423s 现在情势危急,
1425s 你不走不成啊。
1426s 我不走?
1428s 传命,
1430s 令中军死战,
1432s 与大营共存亡。
1436s 丞相。
1438s 旗山东寨西寨已均被敌军攻破。
1461s 中军大寨如何?
1463s 四面被围,正在西寨。
1465s 再探。
1466s 传命!
1467s 尚牛军,
1471s 如果再不救援的话,
1473s 卫军定会攻破中军大寨。
1475s 倒是丞相,
1476s 性命难保啊。
1477s 妄自猜测,
1478s 丞相何需人也,
1482s 神人也。
1484s 我们再等一等,
1486s 等到中军大寨被攻破之时,
1489s 我们再杀将军去。
1491s 遵命。
1492s 报!
1493s 少将军,
1494s 不好了,
1495s 旗山大营已被敌军攻破了。
1497s 你看清楚了吗?
1499s 看得清清楚楚,
1500s 敌军已经攻入旗山大营。
1502s 众将听令。
1504s 不!
1505s 杀!
1506s 杀将军去!
1508s 杀!
1509s 丞相!
1510s 丞相!
1517s 威严所待万计已经杀到,
1521s 卫军开始溃败了。
1523s 你速去廖化军营传令,
1526s 让他率本部兵马前往上方谷与王平河军,
1531s 待司马一进入上方谷,
1534s 即封杀谷口。
1537s 丞相,
1538s 可是廖化部不足一万人战斗力也弱,
1541s 为什么不让卫炎回救上方谷呢?
1543s 廖化所不离上方谷更近,
1548s 令卫炎回攻司马一大营。
1551s 诺!
1552s 丞相,
1559s 我军中卫士还有多少啊?
1562s 只有两三百人了。
1564s 宁他们护送我去上方山底。
1571s 丞相,
1572s 上方山山高路远,
1574s 大战刚刚结束,
1576s 你身子又有病,
1578s 还是不能轻动啊?
1580s 一个时辰前,
1585s 你还劝我去陈仓啊?
1588s 怎么现在,
1590s 我连上方谷都去不了了吗?
1593s 丞相,
1594s 刚刚接报,
1596s 弓大营的卫军全部往上方谷退去了。
1599s 万一,
1600s 他们半道上攻杀丞相,
1602s 这几百卫士怎么能保得住你呢?
1605s 我和司马已战斗多年,
1610s 今天总算有个了断,
1613s 岂能不去送送他?
1616s 走吧。
1620s 大都督,
1633s 谷口的蜀军营寨已被我攻破,
1635s 王平尹数千残兵正朝山中拜讨。
1638s 上方谷口如何?
1648s 杀机探过了,
1650s 谷口的守兵已经纷纷弃债而逃,
1653s 谷口现在只是一座空营。
1656s 大都督,
1657s 事不宜迟,
1658s 赶快进谷口夺粮吧。
1660s 不准,
1661s 先恶守住谷口,
1663s 再派人大探齐山大营消息。
1667s 遵命。
1668s 卫军已经来了。
1669s 卫军早已拿下谷口,
1718s 但他们就是不肯进入上方谷。
1722s 司马已在犹豫,
1725s 他是头老狐狸,
1727s 每走一步都十分小心。
1731s 那我们怎么办?
1734s 没办法,
1737s 我都做了,
1741s 能天意吧?
1745s 不行,
1755s 这里是山中腹地,
1757s 我们要么进谷,
1758s 要么退军,
1759s 不可久留啊。
1760s 急什么?
1761s 我看过了,
1762s 谷口地处险要,
1764s 进可攻,
1765s 退可守,
1766s 耐心点吧。
1768s 等齐山大营消息到了,
1771s 我再定进退。
1773s 好。
1781s 禀大都督,
1784s 卫炎引军到齐山大营,
1786s 正与郭怀将军交战。
1787s 两军交战,
1788s 交筑不下。
1790s 齐山大营距此八十多里,
1793s 蜀军就是插上翅膀,
1796s 两个时辰内也到不了上方谷。
1799s 父亲,
1800s 下令吧。
1801s 全军杀入谷中,
1810s 夺取蜀军粮食,
1812s 焚毁蜀军营阵,
1814s 随我冲。
1816s 卫军进谷了,
1820s 司马已上钩了。
1824s 蜀军残兵已全部肃清,
1876s 粮仓也丝毫无损。
1877s 冲中有粮吗?
1880s 请大都督验粮。
1881s 你竟心思夺我军粮,
1915s 现在又让我夺回来了。
1917s 我就不信,
1918s 没了军粮,
1919s 如何退军?
1921s 父亲,
1924s 传令装车吧。
1926s 装车。
1927s 快,
1928s 装车。
1929s 遵命。
1930s 快,
1931s 把车拉过来。
1932s 快。
1945s 粮中全是火药。
1946s 大都督,
1947s 大都督,
1948s 粮仓底下埋的全是焦炭。
1950s 快撤。
1959s 快撤,
1960s 撤。
2079s 我看见司马已了。
2080s 丞相,
2081s 你快看,
2082s 快看他丞相。
2083s 司马已正在火海中奔逃呢。
2088s 光能葬身火海,
2097s 天也救不了。
2100s 复兴了。
2137s 让将士们不要冲了。
2153s 将士们全是敢死之事。
2162s 待会火势烧弱,
2164s 我们一定能冲出去。
2165s 喜欢做什么吗?
2173s 最喜欢摆弄蒜蓁,
2176s 最精于运算的人呢?
2180s 上方谷浇多少火油,
2183s 藏多少硝炭,
2185s 用多少时间,
2187s 才能把上方谷分为灰烬。
2191s 此人早已算得清清楚楚了。
2194s 去吧。
2196s 不要让将士们再战了。
2198s 让他们退下来。
2199s 准许他们投降。
2201s 去。
2204s 不能投降。
2207s 不能投降啊,
2209s 复兴。
2210s 大都督,
2219s 大都督,
2220s 我都知道你们都尽了力了。
2226s 今日落到这步田地,
2228s 都是本都的过错。
2230s 现在,
2232s 本都允许你们,
2234s 放下兵器,
2235s 走出国口,
2237s 向蜀军投降。
2240s 大都督,
2241s 那你呢?
2242s 是,大都督,
2243s 那你怎么办?
2247s 我是大都督,
2248s 我必须殉职。
2250s 不,
2251s 大都督,
2252s 我不投降。
2253s 我愿与大都督一同战死。
2256s 末将也不投降。
2257s 不,
2258s 末将愿与大都督一同战死。
2260s 杀大都督,
2262s 末将必死不降。
2268s 你们是天地下最好的士兵,
2271s 本都谢谢你们了。
2282s 萧萧兮,
2283s 易水寒,
2291s 壮士一去兮,
2293s 不复还。
2295s 萧萧兮,
2344s 卫军不再突围了,
2346s 他们,
2347s 他们在唱歌。
2348s 萧萧兮,
2352s 易水寒?
2353s 这只叛所唱两地,
2372s 歌客气,
2380s 不愧是个英雄。
2386s 对酒当歌,
2388s 人生几何?
2390s 地狱昭露,
2391s 劝苦托。
2395s 先帝啊,
2396s 臣司马仪这就来与你相会了。
2399s 父亲,
2402s 大都督,
2403s 大都督,
2404s 大都督,
