5s 恕在下直言,主公不是为了就讨这杯茶水吧。
433s 陛下,臣有四意,请陛下三思。
444s 一者,蜀汉大地仍是草位,而非东吴。
448s 二者,如果我们占据荆州,那么尽可攻退可守。
453s 而眼下,荆州已落了孙全之手,
456s 江东反而占据天下之父,中原根据。
460s 三者,从川蜀起兵伐吴,条条两千里,
464s 其间更有山川县阁,江湖水路,
467s 粮草军械运输极为不便。
470s 四者,蜀吴一旦交兵,
473s 草皮定会遣大军在樊城一带整戈带带。
477s 蜀盛,草皮则顺势南下取江东,
481s 吴盛,草皮则顺势西进取汉中。
484s 陛下,蜀城一带整戈带带。
488s 陛下,蜀吴一旦交兵,
491s 最大的获利者是草皮。
494s 臣之手是丞相,
508s 武将之手属子龙,
512s 既然文武之手都这么劝阻,
518s 那就暂缓发务吧。
522s 陛下圣明。
529s 暂缓并非放弃发务,
532s 而是为了囤积粮草军械,
535s 大造车船,带击发务。
538s 主公。
561s 四岳,什么事啊?
565s 探马来报,刘备在成都成地。
569s 刘备成地后的第一诏就是,
572s 兴兵发务。
574s 传命,明日晨时,
592s 中文武,大殿一事。
595s 诺,传属军报。
624s 怎么?刘备出川了?
627s 不,探索说,
629s 丞相孔明已经阻止刘备发务。
635s 还是你家兄弟有远见。
638s 依我看呢,用不了多久,
642s 五鼠联合,还得恢复。
645s 先生,这是怎么了?
658s 这几日,上将军的脾气越发火爆了。
664s 这些兄弟们稍有过时,
667s 上将军就罚他们,
669s 为二哥关羽守灵十日。
671s 上将军在哪?
673s 在帐中。
680s 几位都一个月了。
682s 我在这里,天天盼着发务。
686s 哥哥为何还不下,倒在赵令啊?
690s 陛下的意思是要暂缓。
693s 暂缓?暂缓呀?
707s 多有文武众臣觐见,
711s 说国之巨贼是曹魏,
714s 而非东吾。
716s 建议陛下要先灭魏,
719s 之后再发吾。
722s 这是什么话?
726s 将我三兄弟一结桃源,
730s 试图生死。
733s 如今,二哥半道被害,
739s 岂能不报仇雪恨?
748s 你给我说实话,
750s 到底是谁反对发吾啊?
755s 说!
757s 是丞相不同意啊!
759s 去面见哥哥!
775s 陛下,有何吩咐?
805s 宫道里有脚步声。
807s 只有风声,没有脚步声啊?
813s 有。
815s 你听,是我三弟。
820s 是三弟的脚步声。
823s 他脚步沉重,异于常人。
827s 义德!
829s 三弟啊!是你吗?
831s 大哥!
842s 你不是在郎中长兵吗?
853s 到长都做什么?
856s 大哥!
858s 我在郎中是度日如年的!
862s 早也盼,晚也盼,
865s 天天盼着做新凤啊!
867s 眼睛都快忘川了!
871s 可就是等不到
875s 这发吾的诏律,
877s 等到你,
880s 做了皇帝,
882s 就忘了
883s 桃园之师了吗?
885s 云长之仇,我如何忘?
897s 长海在,
909s 还与我,
911s 师同心,
913s 义同堂。
917s 二哥!
923s 二哥!
924s 二哥呀!
930s 关将军殡天后,
932s 陛下让人画了这幅像,
935s 奴才夜夜都能听到,
937s 陛下对这画像说话。
941s 既然如此,
943s 那大哥为何不下令发吾啊?
946s 兄弟休怪,
951s 云长遇难的消息一传来,
954s 我就打算兴兵发吾。
957s 可那时,
959s 我军刚遭到靖州之败,
962s 大家都劝我,
964s 都劝我修整三军,
970s 我只好言认,
972s 继位后,
977s 我已经下诏发吾了,
982s 可是,
988s 打那贼,
992s 又降了曹尉,
994s 上庸粮草尽失,
997s 没了粮草,
999s 不能占华。
1001s 不是你推迟发吾的理由!
1008s 那你的理由是什么?
1017s 你是担心,
1018s 孔明他们反对发吾!
1020s 我一直,
1026s 以为你是粗人,
1028s 没想到你,
1034s 心细如发。
1036s 三弟啊,
1040s 清国出兵,
1042s 非同小可呀,
1044s 丞相,
1047s 一再劝阻,
1049s 永不三思。
1052s 你是皇帝,
1057s 他是臣子!
1058s 是你听他的,
1060s 还是他听你的?
1062s 他不想和东吴打仗,
1064s 还不是因为,
1066s 他那个鸟哥哥朱国锦,
1068s 在孙泉手下当官呢?
1069s 不要胡说,
1070s 丞相跟我东征西北,
1076s 西讨十多年,
1078s 若无他的辅佐,
1080s 你我断不会有今日。
1083s 没有朱葛亮,
1088s 哥哥就不能成就大业吗?
1090s 哥哥就不能御驾亲征了吗?
1093s 哥哥就不能躲到天下了吗?
1098s 叫我说啊,
1100s 他朱葛亮,
1101s 要是没哥哥的赏罢,
1103s 才不会有今日呢?
1105s 一德,
1106s 哥哥只是知道,
1108s 朱葛亮辅佐了你,
1110s 何不说,
1112s 是你遭救了他?
1114s 这话可不像你说的,
1116s 告诉我,
1119s 谁跟你说的?
1121s 我们私下议论过。
1130s 你歇息几日,
1156s 还是回到郎中去长军,
1158s 不可乱,
1167s 你总要给我一些时间运筹。
1184s 慢点,
1191s 还有一事,
1232s 云长玉与他的脾气,
1237s 不关系,
1239s 你的火爆脾气,
1243s 也该收敛些。
1247s 不可再理言,
1300s 拜见陛下。
1303s 郑芳啊,
1304s 来坐吧。
1308s 谢陛下。
1310s 郑芳啊,
1322s 眨眼间,
1324s 我已年过六训了。
1327s 朕不知道,
1332s 还能不能看到,
1333s 光复大汗的那一天,
1335s 也不知道,
1340s 云长的血恨,
1342s 何时能报?
1345s 陛下,
1346s 不必太过伤感。
1349s 臣倒是觉得,
1351s 陛下春秋正盛,
1353s 雄心万丈。
1356s 麾下粮将上千,
1358s 水陆三军近百万。
1361s 是看当今天下,
1363s 还有谁敢与陛下抗衡呢?
1367s 东吴孙权,
1372s 许昌曹匹,
1374s 揭我大敌。
1377s 不瞒你说,
1379s 丞相与子龙,
1382s 一直在劝阻我方。
1384s 朕知道他们在忧虑什么。
1388s 他们心忧,
1389s 千里佣兵,
1391s 山川阻隔,
1392s 粮饷军血,
1394s 难以共挤。
1395s 与曹魏相比,
1404s 更弱些。
1405s 成大业,
1410s 必先灭。
1412s 我三军将士,
1416s 刚刚经历了汉中大战,
1419s 军威正盛,
1420s 而孙权不将,
1422s 多亦老弱。
1423s 其步骑战甲,
1425s 更非我军敌守。
1427s 此时,
1428s 我若以雷霆之军南下继旨,
1431s 完全可以在曹魏出兵前,
1434s 击败东吴。
1435s 曹匹心里根基未稳,
1441s 又没有经历过大的战争。
1444s 我法吾,
1446s 他最多只是虚张声势,
1449s 坐观长白,
1450s 不敢轻动。
1451s 而且,
1452s 我越是用兵神速,
1455s 他就越是不敢轻易冒险。
1467s 我这样的想法,
1469s 对与不对。
1470s 陛下东观全局,
1477s 深谋远立,
1479s 臣钦佩满分。
1482s 此来想去,
1493s 最关键的,
1495s 还是粮饷军血。
1497s 上次,
1501s 我让你与黄泉他们商量此事,
1504s 你们有何见解?
1506s 臣与太傅许敬,
1508s 右将军黄泉,
1510s 商量了三天两夜。
1513s 得出的结论是,
1516s 如果各郡县,
1518s 都能够实施四六征税,
1521s 三丁抽一,
1523s 那么,
1524s 在今秋之后,
1525s 可以新添粮草,
1527s 一百五十万单。
1530s 新添兵荣,
1532s 二十五万上下。
1535s 是吗?
1536s 千真万确。
1538s 有你们这些话,
1553s 我没有后顾之忧了。
1556s 我完全放心了。
1561s 但是,
1563s 陛下,
1565s 丞相好像一直不赞成
1569s 四六征税,
1571s 三丁抽一。
1573s 因为这样一来,
1576s 书中的百姓,
1578s 负担过重了。
1580s 非常时期,
1591s 当用非常手段。
1594s 朕,
1595s 即刻,
1596s 授你一道手诏,
1598s 授权于你,
1600s 令你与黄泉,
1602s 年内加征军粮,
1604s 一百五十万单,
1606s 兵用,
1607s 二十五万。
1609s 臣,
1610s 尊举,
1611s 如有误,
1613s 干当军法。
1615s 中方,
1619s 我好像,
1623s 好久没有这么高兴过了。
1625s 我们喝一种,
1630s 谢陛下。
1632s 你向陛下表示,
1644s 赞同秋火乏污了?
1646s 是啊。
1648s 可是,
1649s 可是你跟孩儿说过,
1650s 你心里并不赞同啊。
1652s 陛下的乏污决心已定。
1656s 凤儿啊,
1657s 你不要忘记咱们的身份。
1659s 咱们是降臣。
1661s 而孔明和子龙他们,
1663s 跟随陛下多年。
1666s 遇见什么事情,
1668s 都可以率性地直言。
1670s 咱们不信。
1672s 咱们要顺着陛下的心意行事。
1676s 尤其是在陛下,
1678s 和孔明之间有分歧的时候。
1682s 更要一心一意地,
1684s 站在陛下这边。
1687s 属中兵马前梁,
1689s 倾国而出,
1690s 投入千里东征。
1693s 万一不胜,
1695s 何以善后啊?
1696s 你这是什么话?
1700s 孩儿是怕魏无联手,
1702s 我朝难以以一敌二。
1704s 为什么要以一敌二呢?
1707s 陛下可以在曹魏介入之前,
1710s 一举击败东吴孙权。
1713s 这样,
1714s 曹魏就不敢轻举妄动了。
1718s 太冒险了。
1720s 冯儿啊,
1723s 你记住,
1726s 今后这种瞻前顾后的话,
1729s 绝不可再说。
1731s 我...
1732s 丞相,
1743s 丞相,
1745s 丞相,
1752s 陛下批复了李延、黄泉他们的奏章,
1755s 同意四柳开水,
1757s 三丁争议。
1759s 此事,
1761s 我已经知道了。
1763s 丞相,
1764s 为何不劝劝呢?
1766s 我已经劝了两次了。
1769s 但,
1770s 家政说服兵丁的诏令一下,
1773s 证明陛下乏无决心已定,
1777s 我已经劝不动他了。
1779s 凡事可一而再,
1783s 不可再而三。
1785s 那我们该怎么办?
1791s 全力支持陛下,
1794s 舍此别无选择。
1797s 丞相,
1803s 在下还有句话,
1805s 不知当讲不当讲。
1807s 你不当讲?
1810s 马苏,
1818s 你是要告诉我,
1820s 主公已经绕过我,
1822s 直接命属中就臣办事了。
1825s 尚将军,
1834s 都两坛子了,
1835s 不能再喝了,
1837s 小的求你了。
1843s 你想让我,
1845s 打烂你的狗头啊?
1847s 快去拿酒来!
1849s 遵命。
1850s 尚将军!
1877s 是范将长胆啊?
1883s 我让你们五日之内,
1886s 制办好三万套,
1888s 白旗白甲。
1890s 今日是第几日了?
1894s 第五日了。
1900s 齐备了。
1903s 尚将军恕罪,
1904s 齐县太监五日之内,
1906s 实在是造不出三万套旗甲呀。
1909s 什么?
1912s 诏令,
1916s 转眼计下。
1920s 恨不得,
1921s 明天就打过我将军,
1923s 竟敢误我军令!
1927s 尚将军,
1929s 制造旗甲的物品,
1931s 筹塑不足,
1932s 末将,
1933s 实在是制不出来呀。
1935s 放屁!
1936s 来人哪,
1938s 拖下去,
1940s 筹罚我,
1941s 两百鞭子!
1942s 诺!
1943s 尚将军!
1944s 尚将军!
1945s 尚将军!
1946s 尚将军!
1947s 尚将军!
1948s 尚将军,
2001s 已经鞭过一百了,
2003s 反正二将已经气力不支了,
2005s 恳求尚将军饶过他们吧。
2009s 来几鞭子,
2013s 就不支了?
2015s 那如何能带兵搭战啊?
2017s 两百鞭子,
2021s 一鞭都不能少!
2023s 遵命。
2025s 你们,
2063s 知罪了吗?
2065s 末将,
2066s 末将,
2067s 知罪了,
2068s 知罪了。
2070s 哼,
2075s 我再给你们三日,
2077s 三日之内,
2080s 务必把三万套,
2082s 白旗白甲,
2083s 制办齐全。
2085s 遵命。
2086s 遵命。
2092s 这就对了吗?
2094s 起来吧!
2095s 随我喝酒去!
2097s 将军,
2098s 恕罪,
2100s 末将,
2102s 实在不能动他。
2106s 别怕,
2108s 那就回营去吧!
2111s 记着!
2136s 你肉都打烂了,
2140s 不能翻身啊。
2142s 尚将军性情如此暴虐,
2144s 照我看,
2145s 别说打仗,
2146s 你我早晚死在他的手里啊。
2148s 还要说早晚吗?
2150s 三日之内,
2151s 我们定被他斩首。
2153s 为何?
2154s 你想,
2155s 三日之内,
2157s 我们造得出三万套白旗白甲吗?
2160s 如果不能,
2162s 你我,
2164s 只有死路一条了。
2167s 张兄,
2168s 可有良策?
2169s 陛下,
2244s 陛下,
2247s 郎中部将吴班,
2249s 夜闯皇宫,
2250s 请求见驾。
2264s 陛下,
2265s 说。
2273s 范将,
2275s 范将长大,
2276s 昨天深夜杀害了尚将军,
2279s 必持尚将军首级,
2280s 头本动物四全了,
2282s 末将非去追杀,
2284s 没能追杀。
2291s 弟!
2298s 兄!
2300s 陛下!
2301s 陛下!
2302s 陛下!
2303s 张妃深恨吴侯,
2305s 日夜盼刘备发兵征吴。
2307s 她还扬言说,
2308s 捉到殿下后,
2309s 是要剥皮食肉。
2311s 我等不堪其辱,
2312s 冒死斩了张妃,
2313s 前来头本动物,
2315s 愿为吴侯效力。
2317s 我倒要看看,
2323s 这个食我肉的人,
2324s 长成什么模样。
2326s 果然是猛张妃啊。
2342s 可惜,
2343s 你云长大厨未报,
2347s 现在连你的头
2348s 也送到我的麾下来了。
2351s 范江张达,
2352s 功劳不小啊。
2354s 谢殿下!
2355s 谢殿下!
2356s 可是,
2357s 你们二人杀了张妃,
2359s 为什么不投曹匹,
2360s 偏偏要投我?
2362s 末将久目殿下威名,
2364s 因此冒死相投。
2366s 你们两个祸水!
2373s 一个云长
2374s 已经让刘备恨透了我,
2375s 现在又来了个张妃,
2376s 更是火上浇油!
2378s 来人!
2379s 将这两个人打入囚牢,
2380s 严加看管!
2381s 皇后饶命!
2382s 皇后饶命!
2383s 皇后饶命!
2384s 皇后饶命!
2385s 多派些细作,
2387s 好生打探,
2395s 成都至边境。
2397s 驾驾到!
2398s 陛下!
2400s 让开!
2416s 朕没有你的辅助,
2434s 就不能自立了吗?
