7s 我奉你为朝廷上将军,拜江宁侯。
1186s 打现来时
1187s 人心难测
1188s 他定是投那曹总
1189s 享受荣华富贵去了
1191s 不可能
1192s 子龙跟我患难相较
1196s 心如铁石
1197s 岂能没富贵所动
1200s 大哥
1202s 你赶快赶路要紧啊
1204s 我张飞挡住曹总
1206s 请赶紧上马
1237s 快
1240s 我上马了
1241s 你怎么办
1242s 末将不幸跟随
1243s 掩护夫人
1244s 杀出众为
1246s 如此我们谁也走不通
1249s 子龙你把阿朵带上
1251s 务必交给主攻
1253s 夫人赶快上马
1265s 要是见了他就
1551s 将军你看
1556s 曹军骑兵
1557s 据此意不足十里了
1560s 那定是赵羽引来的
1562s 你们赶紧退到桥后
1564s 多力精心多阳沉痛
1566s 以做伏兵之状
1567s 我单击在此挡后
1569s 遵命
1570s 走
1571s 走
1572s 走
1573s 走
1575s 报上姓名
1710s 朕放箭务必生擒
1724s 一针是举世无双
1781s 天下再会战
1785s 务必生擒
1789s 我留有大用
1790s 丞相
1793s 我知道你爱才
1795s 你忘了关羽了吧
1811s 说的对
1814s 又忘情了
1816s 你下令生擒
1940s 将士们就不敢痛下杀手
1942s 赵子龙他越杀越欢了
1944s 赵子下去他会突出重围的
1947s 那就杀了吧
1950s 遵命
1951s 上马
1952s 见恨
2260s 当年关羽曾经对我说过
2290s 他二弟易德
2291s 于百万军中取上将首级
2294s 如探囊取物
2296s 此人的名字我还记在袍底
2298s 桥后沉土满天
2306s 却又好奇闪动
2309s 刘备毕安排了
2310s 何意见得
2348s 地满天沉土
2354s 那曹操以为桥后有伏兵
2356s 便不敢进军了
2358s 我单击立于桥上
2360s 发出三声来听之后
2362s 把他们吓得是屁滚尿流啊
2365s 好啊
2366s 蒙将军也有勇有智
2369s 今日起在下刮目相看
2372s 那是
2375s 曹操退军后
2376s 我令军师拆断桥板
2379s 下来追赶兄长了
2381s 你断桥了
2384s 那桃军退了
2385s 不断如何
2391s 曹操生性多疑
2393s 他看见军师
2394s 他要生性多疑
2395s 他看见沉土飞扬
2397s 才会怀疑桥后有伏兵
2399s 他若再派少记回来
2400s 看见桥断了
2401s 他立刻醒回来
2403s 桥后不是伏兵
2404s 乃是疑兵
2406s 你不断桥能下来
2407s 断了桥
2408s 却把他给引回来了
2414s 一德
2415s 我又要对你刮目相看了
2417s 军师
2420s 俺都把桥给拆断了
2422s 曹军如何过得来啊
2425s 曹操上万铁技
2426s 能填江过河
2428s 何况区区一座断桥啊
2430s 好了
2431s 事已至此
2432s 不必再说了
2433s 赶快赶路吧
2435s 走
2436s 我早就派云长
2458s 前往江夏了
2459s 让刘齐引兵来
2460s 江京渡接应
2461s 为何还不来啊
2462s 人算不如天算啊
2464s 当初在许天为烈时
2467s 大哥若容我杀了曹操
2469s 岂有今天呢
2471s 三弟
2472s 不必愧憾
2474s 我天命已尽
2476s 死而何憾
2478s 我们要是落入
2480s 曹操之手
2481s 他会把我们怎么样呢
2483s 曹操为赏金赐银
2490s 劝降主公
2492s 就像当年对关羽一样
2494s 不会的
2496s 曹操若是抓了主公
2498s 天底下就没有他的对手
2500s 他会把我们一并斩首
2502s 列位弟兄
2514s 随我接战
2516s 战至最后一刻
2518s 自稳归天
2521s 不求同年同月同日生
2524s 但求同年同月同日死
2526s 不求同日
2527s 但求同日
2529s 不求同日
2530s 不求同日
