3s 我意 吉祥 金周用兵 攻伐刘备
11s 父亲 此时京乡正是秋雨季节
15s 恐怕不利于骑兵作战
457s 破敌之策
458s 想出来了没有
468s 草人引阵
470s 名叫八门金锁阵
472s 修
474s 升
475s 伤
477s 渡
478s 警
481s 经
482s 开
483s 八门
484s 此阵本是孙兵所创的阵
487s 经历代兵家发展
489s 已有变化
492s 阵中这座将台
494s 名叫龙眼
497s 就是后来所创
499s 不过
500s 草人只学得阵形阵法
502s 却没有学得精髓
505s 只需一员猛将
506s 带五百金甲
508s 从东南升门杀入
512s 从正西景门杀出
515s 此阵必破
516s 我去
523s 我去
524s 子龙啊
528s 听说你一颗铁胆七尺长枪
532s 除入万军从中
533s 有如关羽赏花
536s 那就
537s 请你辛苦一趟如何
539s 末将领命
540s 徐叔
544s 你是故意去按张义德啊
548s 岂敢
550s 待赵将军破阵后
552s 张将军与关将军
554s 就可以随主公
556s 大举杀入
560s 好
562s 来人哪
563s 在
563s 取我战甲来
564s 遵命
975s 伤势重吗
978s 不碍事
981s 你说得对
983s 此阵
984s 我轻敌了
988s 没想到
990s 刘备手下有能人
992s 竟然破了我的八百金锁阵
996s 在下建议
998s 退军驻守凡城
1000s 立即遣人
1001s 将敌情报给丞相
1002s 待丞相的大军到后
1005s 再取新野
1008s 这新野淡丸之地
1010s 何劳丞相亲征啊
1013s 此外
1015s 今日的拜训
1016s 你也不必禀报丞相
1019s 待我今夜攻下新野
1021s 你再一并禀报吧
1023s 什么
1024s 将军
1024s 你想夜袭新野
1029s 正是
1030s 刘备
1033s 刚刚胜了一场
1035s 他肯定是性高才烈
1038s 他见我军兵败
1040s 我又受了伤
1042s 必然以为我不敢再轻举妄动了
1046s 我偏要出其所料
1050s 夜袭新野
1052s 兵法于
1053s 出其不易
1056s 攻其无妨
1058s 正是至此时啊
1060s 将军
1061s 不可轻敌啊
1062s 不可轻敌啊
1064s 刘备身边如有高人
1065s 那他定有防备啊
1067s 将军
1068s 不能一物再物啊 敏典
1071s 你这么胆小
1073s 你还打什么仗
1077s 你如果害怕
1079s 还是留守吧
1080s 我自领军前去 将军
1082s 将军如果非去不可
1084s 在下也当领一支兵马
1087s 用以接应
1090s 成
1091s 我分你五千军
1093s 据我二十里根茧
1096s 一方不测
1098s 他们那是什么破八门鸡所战
1101s 被子龙的铁骑一冲
1103s 现在全成了破关烂岛了
1107s 朝军杀亡足足两千人马
1109s 再加上关将军这么一射
1111s 草人掉下台来
1112s 差点性命不保啊
1115s 看来朝军也是不堪一击啊
1117s 不过如此事
1119s 不过如此嘛
1124s 先生
1136s 先生
1137s 曹人虽然折了一阵
1140s 但并没有完败
1142s 接下来我们该当如何啊
1144s 我料曹人今夜必来接应
1147s 这也是曹操惯用的手法
1149s 败而不退
1151s 反而出其不意再次进攻
1154s 曹人平生就喜欢效仿曹操
1158s 只可惜他学曹操
1160s 就像学八阵法一样
1162s 只学了个皮毛而已
1164s 曹人兵风所向
1165s 是我们城外的大营
1167s 我们应当在曹人进军的半路上
1169s 伏击他
1171s 凡成于心野之间
1173s 有一片山瓦
1174s 名叫蛇口
1176s 张飞 赵云
1178s 准你们领一万军马
1180s 埋伏于蛇口前后两端
1183s 待曹人军到放他进来
1186s 待他军过其败
1188s 你俩再分头杀出
1190s 叫曹军守尾难顾
1191s 必然大获全胜
1193s 遵命
1199s 绝尺
1200s 那我呢
1203s 官将军辛苦些
1204s 去凡成采灵芝吧
1207s 什么意思
1211s 曹人大军既出
1213s 凡成必然空虚
1215s 主你带八千兵马
1217s 直取凡成
1218s 顺便把城楼那朵灵芝采回来
1221s 给主公泡茶喝
1223s 当然
1224s 如果他还在的话
1226s 遵命
1226s 大速前进
1283s 穿住阵口
1287s 别活
1376s 叫我不必杀你
1378s 否则
1378s 你只有葬身这城下了
1381s 归于
1382s 你
1384s 你不是我的对手
1386s 回许昌叫曹操来
1405s 禀主公 军师
1406s 征召两位将军在蛇口大盛
1408s 间敌两万
1409s 俘获战马兵器无数
1411s 好
1420s 禀主公 军师
1421s 曹人已逃回许昌
1423s 所在残兵不到百计
1426s 好
1435s 禀主公 军师
1436s 官将军已取下凡成
1438s 城中有曹军军粮二十万大
1440s 前十万全部归于我军
1442s 好
1443s 好
1447s 你手里捧的是什么
1449s 徐凡成后
1450s 官将军亲自登上城楼
1452s 又亲自采下这朵灵芝
1453s 献与主公军师泡茶喝
1455s 先生啊
1481s 这灵芝待百草之盛
1487s 先生
1488s 你便是人中之盛啊
1493s 主公
1495s 主公此话
1496s 在下万万不敢当
1498s 刘备起兵二十余年
1521s 屡战
1524s 从来没有过
1525s 像今天这样的大盛
1530s 而且战胜的是曹军主将
1533s 先生
1534s 这我胜利
1537s 百而归
1569s 凡成也给丢了
1571s 他把自己捆起来
1573s 跪在府外
1574s 等候丞相吃醉
1578s 李典啊
1580s 同归带罪
1583s 叫李典进来
1585s 给李典送榜
1595s 诺
1604s 罪将李典拜见丞相
1609s 因为你处事谨慎
1612s 我才叫你辅助曹仁
1615s 曹仁亲敌冒进
1617s 你为何不阻止他
1619s 末将曾经再三地劝阻
1622s 可是
1624s 劝不住我
1626s 请丞相治罪
1628s 胜败乃兵家常事
1632s 损几万兵丢个城池
1635s 我不在意
1637s 我没料到的是
1639s 刘备居然能够识破
1641s 我的金锁阵法
1643s 禀丞相
1646s 破金锁八门阵的
1647s 不是刘备
1649s 而是他新拜的军师
1651s 名叫徐树
1653s 徐树是什么人
1655s 丞相
1660s 此人我认识
1661s 他叫徐元直
1663s 襄阳明世
1665s 精通兵法
1666s 深明套略
1669s 他的才华比你如何
1672s 胜我数倍
1673s 不可能
1675s 数倍乃至数十倍
1683s 刘备过去只有
1686s 张飞 关羽等武将
1689s 现在又添了个军师
1692s 岂不是要
1693s 龙生双翼了吗
1712s 先生
1715s 怎么了
1716s 主公
1718s 我小弟徐康去世了
1720s 母亲一年过六旬
1721s 无人公养
1723s 正好出门乞讨
1724s 此事被曹操知道
1726s 曹操派人把我母亲
1727s 抓进了续昌 下了大牢
1730s 主公
1731s 这是我母亲在牢里的手术
1733s 说我如不归降曹操
1735s 曹操就要把我母亲
1737s 架到火炉上
1738s 活生生烤死
1740s 恕我无力
1742s 我要前往续昌
1744s 一身孰母
1746s 先生请慢
1749s 先生请慢
1752s 曹操虽然奸恶
1753s 但我想他断断
1754s 不能把六旬老人
1756s 架在火上生生烤死
1757s 请先生安心
1758s 容我设法相救如何
1760s 不不不
1761s 我要去续昌
1762s 现在就去
1763s 早到一刻是一刻
1764s 我不能让老母
1765s 在牢里受罪啊
1767s 先生
1773s 这也许是曹操的奸计呢
1775s 主公
1776s 这事我想过了
1778s 哪怕是曹操的奸计
1779s 我也要回去
1781s 荡漾乃济州侠
1782s 而济州早就归于曹操了
1786s 曹操如想拿我母亲
1788s 那简直是易如反掌
1791s 主公
1792s 容我告辞吧
1805s 主公
1807s 我身为人子
1809s 母亲有难
1810s 岂能做事
1813s 此外
1814s 我心神余乱
1816s 已不能辅佐主公了
1818s 主公
1820s 这一切都是天意
1827s 容我去吧
1867s 宋军千里终有一别
1869s 主公请回答
1870s 不知何年何月
1883s 才能相见
1885s 与主公相遇
1888s 是我平生一大快事
1890s 不幸中途而别
1895s 请主公放心
1906s 我到许长之后
1908s 终生不为曹操
1910s 你以谋 社以计
1912s 只求侍奉母亲
1916s 一尽天年
1917s 拜别主公
1925s 听令
1951s 主公
1952s 明天
1953s 把前面那片树林
1955s 全部伐尽
1958s 主公
1958s 为何要
1960s 要砍掉那片树林
1961s 它挡住了徐元之的身影
1964s 遵命
1965s 主公
1983s 主公
1984s 先生
1986s 你不走了是吗
1988s 是不是不走了
1989s 不
1989s 主公
1991s 你我心乱如麻
1992s 竟然忘了件天大的事情
1996s 何事
1997s 襄阳城外三十里
2000s 有一片山野
2001s 名叫龙珠
2003s 诸这一位当代奇才
2005s 主公如果得到它
2008s 无异于
2009s 周公得吕王
2011s 汉王得张良啊
2012s 此人才华
2016s 比君如何
2018s 那我比他
2020s 那真是
2022s 奴马比西林
2024s 韩鸦比凤凰
2026s 此人有惊天伟地之才
2028s 堪称天下第一人
2030s 当真
2031s 千真万确
2035s 此人姓诸葛
2037s 自孔明
2039s 因为住于卧龙岗上
2041s 所以又好卧龙先生
2044s 卧龙
2046s 多年来
2046s 他身边的师朋们
2048s 纷纷各寻其主
2050s 或是曹操
2051s 或是袁绍
2053s 或是公孙瓒
2054s 以便成就功名大业
2058s 唯有孔明独居山野
2061s 七身操控
2062s 危然不动啊
2064s 他为何这样
2067s 我也曾问过孔明
2069s 你因何如此
2072s 孔明笑到
2073s 曹操 袁绍
2075s 公孙瓒治疗
2076s 不配做他的主公
2079s 我再问他
2080s 那么天下
2082s 谁配做你的主公
2084s 孔明叹道
2087s 只怕没有啊
2090s 与其寻找主公
2092s 不如为自己
2093s 创造一个主公
2095s 与其寻找主公
2098s 不如自己创造一个主公
2100s 住得空前绝好
2103s 千古悲闻
2104s 这世间
2108s 竟然真有此等大仙
2110s 此前我不说此人
2112s 就是因为我知道
2114s 他胸怀云霄之志
2118s 只怕不愿意
2119s 偷笑主公
2122s 多谢先生
2123s 刘备就算肝脑涂地
2125s 也一定会请得孔明出山
2130s 难哪
2133s 但愿主公
2134s 有此幸运
2175s 寻找主公
2177s 不如为自己创造一个主公
2179s 请问来者
2227s 可是徐原侄吗
2229s 不错
2229s 在下正是徐述
2231s 请问阁下是谁
2232s 我就是被先生
2233s 打败的上将军
2235s 曹仁
2236s 听在下此名者将
2238s 主公罚我在此迎候先生
2241s 我在这儿
2241s 已经是站了三天三夜了
2243s 你要是再不来
2245s 我的腿
2246s 可就要站断了
2250s 曹将军
2251s 请将军带我去见丞相吧
2253s 请请请
2259s 原侄
2269s 戴罪之徒徐述
2270s 拜见丞相
2273s 原侄啊
2274s 我对你真是朝思暮想
2277s 敢问丞相
2278s 姜母在哪里
2279s 灵堂大人正在客馆歇息
2282s 姜母没在牢里
2284s 这是谁人给我草草草的谣言
2287s 先生的母亲就如同我的母亲
2290s 我怎么会把自个儿的母亲
2292s 关进牢狱里呢
2294s 放心吧
2295s 唐老人家正在客馆里歇息
2298s 你就放心吧
2299s 容我见过母亲
2300s 再来拜见丞相
2301s 好
2301s 好
2302s 请
2306s 快去快回
2308s 我等你
2313s 娘
2314s 娘
2316s 儿来了
2316s 是你吗
2324s 真的是你吗
2326s 娘
2327s 儿来迟了
2328s 让母亲受罪了
2331s 姝儿
2333s 你来了就好
2334s 你来了就好啊
2337s 娘想你
2339s 娘在梦里都惦记着你呀
2352s 儿啊
2354s 你不是在刘皇叔那儿效力吗
2358s 为何来许昌
2360s 娘
2361s 儿接到一封信
2362s 说母亲被草草抓入牢中
2364s 要儿来许昌
2366s 以身相赎
2368s 为娘从来就不曾写过什么信
2372s 这是奸计
2373s 你
2375s 你难道看不出来吗
2377s 儿看出来了
2379s 可是儿不能不来呀
2380s 为什么
2382s 儿身为人子
2384s 母亲被囚
2385s 儿岂能不来相救啊
2389s 姝儿啊
2391s 你从小饱读诗书
2398s 你不会不知道
2400s 这自古忠孝难两全哪
2407s 刘皇叔乃仁义之君
2410s 贤德之志
2412s 名满天下呀
2414s 他又是皇室宗亲
2417s 你能够为他效命
2419s 就是为大汉金钟啊
2423s 那草草是什么人
2428s 他是欺君罔上的奸贼
2432s 徐述啊徐述
2435s 为娘万万想不到
2438s 你竟会弃名投案
2442s 成了个
2444s 余福蠢汉
2449s 娘
2467s 徐述虽生有死
2470s 他终生不为草草
2472s 献一策出义谋
2474s 由此
2476s 徐述进曹营一言不发
2478s 成为千古名殿
2480s 娘
