7s 你竟令人围攻我。
1240s 千里之遥,
1242s 来一趟也不容易啊。
1249s 如果我们这样漫待人家,
1251s 那岂不冷了,
1253s 想依附你的人心了吗?
1255s 刘章,
1257s 也是一方诸侯啊。
1259s 既然丞大人都发话了,
1268s 那就让他明日来见我吧。
1270s 丞相。
1274s 你刚才不是都替他说话了吗?
1276s 我也答应你了。
1278s 你怎么不去传话啊?
1282s 我不知道丞相,
1284s 究竟何意啊?
1286s 我听说许昌官府的风气
1296s 有些堕落。
1298s 像十年前的洛阳啊,
1300s 凡是外地的官员进京,
1302s 官府的人都索要贿赂。
1306s 你该得到
1308s 张诵什么好处了吧?
1312s 我承玉
1314s 岂是这种人呢?
1316s 我跟你开玩笑呢?
1320s 仲德,
1328s 你可真是个老实人啊。
1338s 丞相,
1340s 不该戏弄老实人啊。
1342s 好好好。
1344s 咱们当着老实人
1346s 不说假话。
1348s 我之所以不想
1350s 我之所以不见张诵
1352s 是因为我一直没有弄清楚
1354s 他的来意。
1356s 现在我大致明白了。
1358s 所以明日
1360s 可以与他相见了。
1362s 儿等,
1383s 快快通报。
1385s 西川特使,
1387s 易州张诵,
1389s 拜会曹丞相。
1391s 刮造什么呀?
1393s 谁是张诵?
1395s 你吗?
1409s 你是大人啊。
1413s 在下有礼了。
1416s 今日丞相公务繁忙。
1418s 请大人回去等候吧。
1420s 我已经等了六天了。
1422s 今日是按照诚誉约定
1424s 才来见丞相的。
1426s 哦,是这样啊。
1428s 那请大人在此等候。
1430s 容在下进去禀报一声。
1432s 你在等什么?
1441s 还不快去。
1443s 在等大人你的心意啊。
1445s 什么?
1449s 我是易州别嫁
1451s 千里迢迢来见丞相。
1453s 你这奴才
1455s 还要收礼?
1457s 不管大人从哪里来
1459s 不能坏了
1461s 相府的规矩啊。
1463s 还是入乡随俗吧。
1466s 谢谢大人。
1481s 大人在此稍候。
1490s 在下急去禀报。
1498s 在下
1500s 相府主部奉命迎接张大人。
1502s 丞相何在?
1504s 哦,请。
1506s 丞相。
1526s 丞相。
1530s 西川特使来了。
1535s 易州别嫁张松
1537s 拜见丞相大人。
1544s 你就是那个
1546s 庄别嫁
1548s 庄松?
1550s 在下姓张
1552s 工厂张
1554s 张松。
1556s 哦
1558s 原来你姓张
1560s 不姓庄。
1562s 张别嫁
1564s 如主刘张
1567s 多年不来朝庭
1569s 朝贡
1571s 是何原因啊?
1573s 路途艰难
1575s 贼寇频频
1577s 不能通达。
1582s 托词。
1586s 我早已扫清中原
1588s 如今天下太平
1590s 民生安定
1592s 南有孙权
1594s 北有张禄
1596s 西有刘备
1598s 此三人各地称兄
1600s 代价数十万
1602s 何为太平?
1604s 庄松
1606s 你既为来使
1608s 何不知礼呢?
1610s 在下姓张
1613s 张松
1615s 并丞相
1617s 张松知礼
1619s 张松千里迢迢来此
1621s 并且在驿馆
1623s 等候六天了。
1625s 放肆!
1642s 张大人
1644s 幸亏丞相宽人为怀
1646s 念你千里远来不忍责罚
1648s 刚才你应该屈意
1650s 尽言才是啊。
1652s 我川中向无阐宁之人
1654s 在下不懂
1656s 屈意逢盈之数。
1658s 川人不懂阐宁
1660s 难道许昌
1662s 就都是阐宁之徒吗?
1664s 是也不是
1666s 足下自主。
1668s 你!
1673s 郑德,传命。
1677s 诺。
1679s 两天后
1681s 从许昌各军中
1683s 抽调精锐三万人进驻西教场。
1685s 我要亲自观看操演。
1689s 丞相
1691s 许昌原有驻军四万
1693s 今平息已
1695s 现在只剩下两万来人
1697s 凑不足三万之数啊。
1699s 就从夜城
1701s 从洛阳清夜调兵来。
1709s 眼下啊
1711s 各军都很疲惫啊。
1713s 再疲惫也得操演。
1715s 如果敌军今晚杀来
1717s 你说我很疲惫
1719s 请敌军明天来吗?
1721s 告诉驻将
1725s 操演一定要有气势。
1727s 务实者
1729s 士气不振者
1731s 已败战
1733s 出于军阀。
1763s 丞相军务繁忙
1765s 只能在这里接待阁下。
1767s 很客气啊
1771s 客随主殿嘛。
1803s 张别驾
1805s 张宋拜见丞相。
1812s 张别驾
1814s 你在川中
1816s 可见过如此雄壮的人马吗?
1818s 蜀中明军
1820s 刘章向以仁义治邦
1822s 不曾见此兵阁。
1824s 此话何意?
1829s 是在说我不仁义吗?
1831s 丞相虎威在上
1835s 张宋岂敢?
1837s 张宋
1842s 我视天下诸侯如同草芥
1844s 大军到处
1846s 战无不胜 攻无不取
1848s 顺我者胜
1850s 逆我者死
1852s 这你知道吗?
1854s 知道
1856s 丞相用兵如神
1858s 大军到处
1860s 战必胜
1862s 攻必取
1864s 张宋豈能不知啊?
1866s 比如
1868s 昔日
1870s 蒲阳攻吕布之时
1872s 板城战张秀之日
1874s 赤壁与周郎
1876s 华融逢关羽
1878s 隔须气炮
1880s 与同关
1882s 多传避箭于未水
1884s 恕辱
1886s 如此放肆
1888s 左右退出去斩了
1890s 张相息怒
1892s 但他毕竟千里而来许昌入宫
1894s 若展之 恐是怨人之心哪
1896s 丞相
1898s 两军交战
1900s 尚不斩来时
1902s 何况 流章是把张宋前来
1904s 修好的
1907s 殊如坐井观天 夜郎自大
1909s 狂辈可恨
1911s 如果不是看在他们俩的分上
1913s 定不饶你
1915s 左右
1917s 在
1930s 棍棒大出
1932s 走了吗
1934s 张宋挨了丞相一顿赤马
1936s 一回驿馆收拾行装
1938s 出南门走了
1940s 走得好
1942s 该走的走了
1944s 该来的才能来
1950s 丞相 究竟为何折辱张宋
1952s 在下真是不明白
1956s 如果连你都不明白
1958s 那这个计策就可以成功了
1962s 你想想 马超战败
1964s 投奔汉中张鲁
1966s 张鲁
1968s 要想保住汉中
1970s 只有两条路
1972s 一是归降我
1974s 二是屠取西川
1976s 眼下
1978s 张鲁已经收留了马超
1980s 自然不会归降我
1982s 那么 他只有
1984s 屠取西川
1986s 一周流章
1988s 多年不向朝廷朝共
1990s 这个时候 突然派别驾来朝共
1992s 其用心
1994s 难道还不明显吗
2000s 定是流章 畏惧张鲁
2002s 又恐马超攻取西川
2004s 所以派张松
2006s 请来请丞相
2008s 出兵打张鲁 以求自保
2010s 我既不能答应他
2012s 也不能拒绝他
2014s 左右为难 所以只能
2016s 把他骑走
2018s 那丞相
2020s 为何不答应呢
2022s 何不和西川结盟
2024s 夹攻汉中
2026s 这样既可得汉中之地
2028s 又可跟除肃敌马超
2030s 岂不妙哉
2032s 我们已经定下了基本方略
2034s 要休战数年
2036s 再行进取
2038s 常言道
2040s 杀敌一万 自损八千
2043s 以我们目前的实力
2045s 如果倾尽全力
2047s 也能攻下汉中
2049s 但是
2051s 如果孙权和刘备
2053s 此事来犯
2055s 则许昌危宜
2057s 所以我们还是休战待机的好啊
2059s 再说了
2061s 大计方略
2063s 如果定下了
2065s 就不能轻易变动
2069s 丞相是不愿战
2071s 但又不能让他看出不能战
2073s 所以精兵操练
2075s 展示军威
2077s 震慑他
2079s 面目可赠
2081s 心术不端
2083s 卖弄才华
2085s 待嫁而故
2089s 我不喜欢
2113s 回益州应该是往西啊
2115s 大人为何一直往东望啊
2117s 我在主公面前
2119s 夸下海口
2121s 要让曹操兴必武功取汉
2123s 如今
2125s 走而归必将
2127s 为川蜀管理取孝
2129s 更无颜见中木马
2131s 我本预见
2133s 西川与曹操却不了
2135s 此人心血如此狭隘
2137s 曹操交进如此
2139s 连相府侍卫都向小的
2141s 索取贿赂
2143s 这样的主子还配做丞相吗
2145s 即使做了也做不长久
2147s 大人
2149s 咱们还是回益州吧
2154s 到什么地方啊
2158s 到云州地界啊
2162s 那就以刘备的地位
2166s 你们可要小心些了
2168s 且不可暴露身份
2170s 如果遭遇了荆州军马
2172s 您就说是
2174s 穿中可上
2176s 大人为何这样谨慎
2178s 主公与刘备
2180s 同为皇室血脉
2182s 我们起刘备不才
2184s 却去向汉贼
2186s 曹操去救救
2188s 刘备知道了
2191s 一定会对我们生出记恨来的
2201s 益州别将这份风度
2203s 可不像穿中的商客啊
2213s 敢问足下是
2215s 在下庞统
2217s 自侍员
2219s 好奉厨
2221s 我给你介绍一下
2223s 那位呢
2225s 是荆州将军关云长
2227s 那位是
2229s 南郡将军张义德
2233s 天哪 他们这是
2236s 我等奉
2238s 刘皇叔之命
2240s 在这已经等候张大人
2242s 多时了
2244s 我
2246s 不是张总
2248s 在下姓庄
2250s 是穿中客商
2258s 永年兄
2260s 不要再装了
2262s 你赴喜昌朝贡的事
2264s 我家主公早就知道了
2266s 特令他的二弟三弟
2268s 还有在下
2270s 长驱三百多里
2272s 在此相迎
2274s 永年兄
2276s 跟我们走吧
2280s 皇叔
2282s 急我作甚
2284s 曹操不能
2286s 近在主人椅
2288s 我家主公可是个
2290s 好客的贤君啊
2292s 永年兄
2294s 快快请吧
2296s 请先生上车
2298s 请先生上车
2300s 请
2302s 慕刘备恭候张大人
2362s 干劳皇叔相迎
2378s 如此
2380s 自龙中长景
2382s 张宋平生未见哪
2384s 刘备久闻
2386s 永年大名如雷贯耳
2388s 恨云山遥远
2390s 不得听教
2392s 近闻先生回川
2394s 特令云长亦得前去相迎
2396s 如有冒昧之处
2398s 还请先生宽容
2400s 请先生暂入荒州小些
2402s 以续可养之思
2404s 刘备实为万幸
2406s 皇叔如此热情
2408s 令在下万分感激
2412s 但这迎賓之礼
2414s 近乎国礼
2416s 在下当不起
2418s 先生乃国事业
2420s 何不能以国礼相迎
2427s 贵主公刘继玉
2429s 乃吾皇兄
2431s 我今日见先生
2433s 有如见益州刘皇兄
2435s 请
2437s 皇叔请
2441s 其志是
2443s 这是赤壁大战中
2454s 我与曹操交战时
2456s 所搅和的
2458s 我脚下是曹操的帅气
2462s 曹人的将气
2464s 张辽的令气
2466s 徐楚的英雄
2468s 永年兄
2472s 若非我二弟手下留情
2474s 那曹操早就成为
2476s 我的阶下酒了
2478s 今日我用曹操这些
2480s 来为国事殿祖
2482s 踏棋入城
2484s 再何事不过了
2486s 我原以为曹操
2488s 是天下雄主
2490s 今日才知
2492s 皇叔才是
2494s 盖世英雄
2496s 皇叔兵奉所向
2498s 曹贼束手
2500s 大汗天下
2502s 早晚必归皇叔
2504s 先生言过了
2506s 刘备岂敢
2508s 先生请
2521s 永年啊
2523s 你肝胆照人 忠义千秋
2525s 我敬你一杯
2527s 来 干
2536s 张大人 我也敬你一杯
2540s 来
2542s 干
2547s 咱家最佩服的
2549s 就是像张大人这样的人
2551s 来 我敬先生一杯
2553s 先生饮一杯
2555s 咱家饮三杯
2557s 干了
2559s 张将军
2561s 在下不胜酒力
2563s 喝醉了
2567s 莫非先生瞧不起我这个粗人呢
2571s 哪里哪里
2573s 我真是喝醉了
2575s 先生连曹操都不惧
2579s 何惧这杯酒呢
2581s 来 干
2583s 好 好 好
2585s 干
2587s 干
