3s 站住
743s 而得一虎
746s 何恨之有
752s 刚才
755s 刚才
756s 只是细言罢了
759s 我这么说是想
760s 试试你的心意
762s 其实啊
763s 我是非常喜爱关羽的
766s 你知道吗
768s 关羽他们现在
769s 已经到了汝南古城
771s 张飞也在那儿
780s 汝南距此不远
781s 那么
782s 我们兄弟几日后
784s 就可以相见了
789s 可是
791s 关羽他们在古城
793s 停留不前
795s 谦言观望
797s 你知道这其中的缘故吗
803s 在下不知
804s 我知道关羽的心思
817s 关羽因为杀了严良文丑
820s 对我有愧
822s 怕我治他的罪
824s 所以才在古城
826s 停留不前呢
827s 聪明见
832s 必然如此
834s 关羽素来忠义
836s 斩严良文丑之事
837s 定然会让他寝食不安
840s 柳威啊
842s 汝南距此不到二百里
844s 四日便可往返
847s 我想派你
848s 亲自前往汝南
851s 替我安抚关羽
853s 之后
855s 把关羽和张飞一同带来
858s 他们两人
859s 我都要重用啊
861s 遵命
866s 在下即刻
867s 选两马戍匹
868s 前往汝南
869s 四日之内
870s 携二弟三弟
871s 回来拜见明公
874s 去吧
876s 早去早回
877s 我静候佳音
879s 主公
891s 这刘备此一去
894s 恐怕再也不会回来了
896s 刘备乃正人君子
903s 他既然答应了我
905s 必不食言
907s 你不要以小人之心
910s 夺君子之父
912s 主公
913s 倒是在下
917s 错怪他了
922s 刘备
923s 刘玄德
944s 还不快快下马
946s 我徐悠
948s 候你多时了
951s 星台有何见教
953s 刘备
964s 我来问你
968s 你此一去汝南
972s 想必
973s 就再也不会回来了
976s 是也不是
978s 我曾奉劝过
979s 我曾奉劝我家主公
981s 一定要留住你
983s 徐兄为何相助
988s 你这可是害我
991s 刘备
992s 这不是明摆着吗
994s 你若在此
995s 你那生如手足的兄弟
1000s 关与张飞
1001s 势必前来相投
1003s 然
1004s 你若离去
1007s 你们三兄弟相聚后
1009s 又何必再来呢
1012s 令徐兄
1014s 我徐悠没有想到的是
1016s 我这一片肺腑之言
1018s 我家主公非但没有采纳
1021s 反倒斥我
1022s 是以小人之心
1025s 夺君子之父
1028s 你听见了
1030s 这是何等的荒唐
1034s 我徐悠
1037s 一刘备
1039s 反倒成了正人君子
1043s 我家主公
1044s 如此官人察事
1046s 再一次证明
1049s 证明大人
1051s 是一个昏君
1056s 徐兄啊
1060s 我在济州客居半年多
1063s 早已感受到
1065s 袁绍不能成大事
1068s 我如果继续留在这儿
1070s 非但一无所为
1072s 反而会有性命之限
1074s 所以我必须离开这里
1076s 只有这样
1078s 我才能履行天子诏命
1081s 举兵灭草
1087s 好一个举兵灭草
1089s 六辈
1092s 就凭你现在这副潦倒的样子
1095s 你还想
1097s 你还敢与那奸贼曹操
1099s 继续为敌吗
1101s 想
1104s 只要我还有一口气在
1106s 我就会奋斗不止
1114s 那我徐悠
1116s 送你一刀剑
1118s 你如果采纳
1120s 我今天
1121s 就放你走
1124s 请讲
1125s 当今天下
1131s 虽然尚未一统
1133s 但真正能与那曹操这奸贼
1135s 相匹敌之人
1137s 可谓屈指可数吧
1140s 荆州刘表
1142s 雄俱荆乡之九郡
1144s 财大气粗
1146s 兵精粮足
1148s 他才是曹操的真正大敌
1152s 只可惜我家主公袁绍
1154s 与刘表似乎来不及
1159s 这刘表
1160s 一直暗兵未动
1165s 你们三兄弟相会后
1167s 一定共投刘表
1169s 务必说服他
1171s 举兵伐草
1172s 徐兄啊徐兄
1177s 不瞒你说我早有此意
1179s 只是我怕袁绍阻拦
1180s 我不敢跟他说
1182s 刘敬生
1183s 跟我同属皇族后裔
1187s 我如劝他举兵
1188s 他必会听从
1192s 果真能够如此
1194s 那么在下
1195s 徐子远
1197s 今天就当是
1198s 为皇叔送刑了
1200s 请吧
1201s 上马
1205s 多谢
1216s 你明明知道袁绍
1217s 并非英主
1219s 为何不如
1222s 随我一块去
1228s 此言差矣
1230s 有道是
1232s 滴水之恩
1234s 当饮泉相报
1236s 我家主公虽然昏昧
1238s 可对我有知遇之恩啊
1242s 更何况
1243s 我已经侍奉他
1245s 有十余年之久了
1247s 我实在是
1252s 不忍心
1253s 弃他而来
1254s 徐兄
1262s 保重
1264s 人各有志
1265s 从这里到冀州城
1296s 只有一百多里了
1297s 明日日落之前
1299s 我们定可与兄长相会
1301s 三弟
1305s 这月时
1307s 快与大哥相见
1309s 我这心里
1310s 越是不安呢
1312s 这是为何
1313s 兄长在袁绍手下
1314s 为幕僚
1318s 我却斩杀了他
1319s 两缘大将
1321s 这倒是个窘迫的事
1330s 要不然这么着吧
1331s 二哥在城外
1332s 三十里等候
1333s 我先进城与兄长相会
1336s 顺便看看袁绍的虚实
1339s 如果无事
1340s 我回头来再见二哥
1343s 卑尖兄长
1345s 我过五关斩流将
1346s 千里来寻
1348s 现在就该相见了
1350s 怕他作甚
1352s 料那袁绍
1354s 也不敢斩我人头
1356s 他才舍不得杀你的
1358s 他还要用你
1359s 为他建功呢
1361s 将军
1364s 将军
1368s 主堂这是为何
1370s 我踏入踏到前面的谷口
1372s 那里有座山寨
1373s 原本是没有驻军的
1375s 不想从哪儿冒出来一个将军
1376s 引兵占住了山寨
1378s 可是袁绍的部将
1383s 在下不识得
1384s 那人也不答应
1385s 挥枪遍刺
1386s 凶猛的厉害
1388s 周苍 孙千
1391s 守护驿车
1392s 三弟
1393s 我们前去看看
1394s 好 走
1395s 孙千 接着
1396s 唐义德
1425s 子龙兄弟
1430s 义德
1431s 子龙 真的是你
1433s 这真是苍天开眼了
1435s 你怎么会在这里
1436s 自从叙州兵败之后
1438s 我苦苦寻找主公
1439s 跟你们的下落
1440s 无奈之下
1441s 只有回到幽州
1442s 招募了公孙瓒的
1443s 三千兵马
1444s 又回到此地
1445s 继续寻找你们跟主公
1447s 子龙
1448s 你可真了不起
1449s 你啊
1450s 不光自己回来
1452s 还带回了一只兵马
1454s 这比我在古城当县官
1455s 可是强多了
1457s 这座山寨
1458s 名叫关定庄
1459s 寨主与云长是同宗
1461s 也姓关 叫关定
1462s 此人静情豪爽
1464s 伟人高义
1465s 我这三千兵马住于此地
1466s 他不收分文
1468s 而且对两位兄长
1469s 也是仰慕已久
1470s 渴望见上一面了
1472s 走 咱们进山寨喝酒去
1474s 进庄 进庄
1475s 走
1484s 晚生拜见各位前辈
1486s 关将军
1490s 老朽有个心愿
1492s 不知将军能否容纳
1494s 关老太爷有何吩咐
1496s 我想让他跟随将军外出
1499s 在将军的鞍前马后
1501s 历练一番
1503s 或许能博个功名
1506s 回禀老太爷
1508s 在下的日子过于凶险
1510s 万一有个闪失
1512s 岂不隐恨终身
1515s 不瞒将军说
1517s 自从得知将军来了
1520s 关平已经求过我好几次
1523s 他定要跟随将军而去
1526s 关将军
1527s 你就收下我吧
1529s 公子
1533s 沙场征战
1535s 绝非儿戏
1536s 这我知道
1538s 刀山火海
1539s 绝无所惧
1541s 好 好志气
1543s 云长
1546s 你看
1547s 你也没有子嗣
1550s 这关平
1551s 英武过人
1553s 你不如
1554s 就把他收为义子
1555s 对呀
1556s 关将军
1557s 你就收他做个义子吧
1559s 这个我可做不了主
1561s 还得
1562s 禀过兄长才成
1565s 二哥呀
1566s 兄长不在
1567s 兄弟说了也成啊
1569s 二哥
1570s 你暂且先收了
1572s 等和兄长相会之时
1574s 我和子龙兄弟
1575s 替你说句话
1577s 兄长岂能不准
1578s 收了
1579s 收了吧
1580s 要我收你
1585s 可有三个规矩
1591s 人生在世
1592s 义气重于性命
1595s 第二是胆气
1597s 无论是做将
1598s 还是做士
1600s 都要像相羽那样
1602s 力拔山 气盖世
1606s 第三是军规
1608s 一旦从军
1609s 法不容请
1611s 禀将军
1612s 我自自铭记
1613s 好
1615s 我收下你了
1617s 谢将军
1618s 孩儿叩见义父
1620s 快起来吧
1622s 拜见叔父
1624s 拜见叔父
1626s 来啊
1627s 各位共饮此杯
1629s 一谢苍天
1631s 来
1635s 外面有个叫咪芳的人
1636s 前来求见
1637s 咪芳 快叫她进来
1641s 我的天哪
1642s 你们都在这儿呢
1643s 关将军
1647s 快说
1648s 兄长在呢
1649s 容我先喘口气
1651s 主公听说你们在古城
1652s 昨天就已经离开了冀州
1654s 欲与你们相会
1656s 主公令我提前赶来
1657s 向你们报个信
1659s 主公
1660s 既然已经前往古城
1662s 那我们就赶紧折道返回吧
1665s 老太爷
1666s 告辞了
1667s 告辞了
1741s 大哥
1742s 大哥
1754s 我这下你下得好苦啊
1763s 你这干什么
1777s 来 大哥 起
1778s 起来
1788s 拜董相亲
1789s 就拜 就拜
1790s 拜
1791s 来 喝
1792s 十年前
1803s 我三兄弟在聚禄桃园结译
1806s 今日
1810s 我们四兄弟
1811s 又在古城桃园相会
1814s 此生此世
1816s 此情此景
1818s 感慨万千
1820s 一德
1828s 这桃树怎么了
1832s 怎么七零八落的
1837s 哥哥
1838s 这都是小弟的错
1840s 我这一听说呀
1841s 二哥想了草草
1843s 这气得我呀
1844s 我 我都快气死了
1847s 没法子
1848s 我拿了根棍
1849s 把这桃园给打了个遍
1854s 来年新春
1858s 这桃树定会再发新枝
1862s 这桃园
1863s 就像我等兄弟的遭际
1866s 虽然叠遭厄运
1867s 颠沛流离
1868s 但最终
1869s 定会疲极泰来
1871s 再现繁荣
1872s 好
1873s 大哥说得好啊
1875s 当饮一杯
1876s 来
1877s 那主公
1878s 日后有何打算
1890s 还是子隆心细
1891s 早早就想下一步
1895s 下一步嘛
1896s 我们要去荆州
1902s 荆州
1903s 荆州
1904s 对
1906s 拜会荆州刺史刘表
1909s 劝他与袁绍联手
1911s 举兵发草
1912s 我上表汉地
1921s 让他封我为大司马的事情
1924s 许昌已经回消息了
1927s 竟然不许
1930s 曹操是看我在江东
1931s 日渐强盛
1933s 才故意驳回我的请求
1935s 主公
1938s 昨日防江将士截获一封
1940s 吴郡太守许共
1942s 给曹操的密报
1944s 念
1945s 丞相
1946s 孙策骁勇
1954s 他与项羽比肩
1956s 朝廷以外事荣宠
1958s 召唤京师加以控制
1961s 不可使其居外阵
1963s 以为后患
1966s 大胆许共
1967s 竟敢勾结曹操
1969s 谋害玉王
1971s 主公息怒
1973s 许共
1977s 如若不处
1978s 大患
1982s 你去
1983s 替他人头来降
1986s 遵命
1988s 金阁百万
2009s 钦在握
2011s 引霸回首
2018s 真是好诗
2019s 好诗
2020s 好好好
2022s 主公
2023s 出祸事了
2024s 朕高兴着呢
2026s 又有什么祸事
2028s 古城县令差人禀报
2030s 刘备 关羽 张飞 赵云
2032s 在古城相会后
2033s 集兵数千
2034s 往西而去
2036s 往西
2039s 他难道不回冀州了吗
2040s 主公
2041s 你还指望刘备回来吗
2043s 他一定是投奔曹操去了
2046s 退下
2049s 徐水流上
2055s 探如河
2057s 人生如梦
2059s 亦蹉跎
2061s 这自运绝妙
2064s 好诗啊
2069s 许妖
2070s 在
2071s 刘备叛我
2073s 投奔曹操而去
2075s 非爷
2076s 非爷
2078s 兵主公
2080s 依在下判断
2082s 那刘备对曹操恨之辱
2085s 可以说是不共戴天
2087s 故
2088s 在下可以断言
2090s 刘玄德绝不会投曹
2092s 然
2093s 他果真是西去了的话
2096s 那他一定
2097s 是投了
2098s 荆州的刘表
2102s 试图以荆襄九郡为靠
2104s 再图
2105s 难道
2112s 我还不如刘表吗
2114s 我对刘备是恩爱有价
2118s 他却对我食言
2120s 背我
2121s 欺我
2122s 尤其是他那个弟弟关羽
2127s 还杀了我的大将严良文丑
2130s 如不将这三个贼兄弟斩首
2135s 难消我心头的怒气
2138s 郭托
2139s 我想刘备尚未走远
2143s 你速派五千铁骑
2145s 清夜追杀
2146s 一定要拿住他们
2148s 不可不可
2149s 主公
2150s 我
2151s 万万不可
2154s 区区一个刘备
2156s 焉能成为武之大敌啊
2159s 依在下之见
2162s 倒是那曹操
2164s 主公
2166s 你一向明鉴
2168s 此事
2169s 你还要三思啊
2177s 我们当前的大敌
2179s 是曹操
2181s 而不是刘备
2185s 主公明鉴
2188s 主公
2189s 圣明
2191s 报
2193s 禀主公
2194s 长公子元潭
2195s 率军十万从青州而来
2197s 二公子元兮
2198s 率军十五万从幽州而来
2199s 三公子元尚
2200s 率军十五万从并州而来
2202s 好啊
2204s 传令所有文武
2206s 明日辰迟
2208s 到帅府议兵
2210s 遵命
2211s 主公有令
2213s 传
2214s 青州次使元潭
2216s 幽州太守元兮
2219s 幽州上将元尚天天
2221s 元尚兮
2231s 拜见副帅
2233s 副帅
2234s 儿新练成的铁甲战阵
2235s 如果排不开来
2237s 又如苍龙出海
2238s 猛虎下山
2239s 天下无人可敌
2242s 副帅
2243s 儿请命为先锋大将
2245s 我有唐儿的铁甲战阵
2248s 破曹军
2249s 易如反掌
2254s 唐儿
2255s 英雄啊
2257s 英雄
2259s 副帅
2260s 新练成霹雳战车阵
2262s 一旦部长开来
2263s 定当山呼海啸
2265s 雷霆万军
2266s 无论何人军队
2267s 想与之抗衡
2268s 眨眼间
2269s 定叫他灰飞烟灭
2271s 请父王下令
2272s 儿越做先锋大将
2275s 我有唐儿的霹雳战车阵
2278s 破曹操三军
2280s 真如同滚滚雷霆
2283s 及腐败洛燕儿
2286s 唐儿
2287s 英雄啊
2288s 英雄
2290s 副帅
2293s 孩儿所练得的剑弩阵
2295s 装备着新进打造的
2296s 五万幅强弓硬弩
2298s 其每一支利剑
2300s 百步之内都能射胸腹
2302s 五十步之内
2303s 能射透曹军的甲冲
2305s 据而判断
2307s 副帅此次起兵灭曹
2309s 其决战的战场
2310s 必定设在关渡一旦
2313s 因此
2314s 孩儿已经预先
2315s 将兵器 军粮
2316s 以及攻城所必需的军械
2318s 全部运往了距离关渡
2320s 几十里的乌巢镇
2323s 并在那里
2324s 为副帅的大军扎好了营盘
2327s 兵马未动
2329s 粮草先行
2331s 尚儿年纪轻轻
2333s 却也是文武双全
2335s 此乃大将之风范啊
2339s 禀副帅
2340s 孩儿以为
2341s 临敌至胜
2342s 需志勇双全
2344s 儿虽不才
2345s 但愿谨为先锋大将
2348s 而若不胜
2349s 请副帅将儿斩首正法
2352s 儿应请
2357s 王子令
2360s 副帅
2364s 儿愿为先锋大将
2366s 儿的铁甲战阵
2367s 副帅
2368s 儿非做先锋大将不可
2370s 如不胜
2371s 儿愿提头来见
2372s 副帅
2373s 大哥二哥都是我的兄长
2375s 身负大任
2376s 但临敌接战
2377s 性命交关
2379s 还是请副帅
2380s 让我为先锋大将
2381s 小哥不太
2383s 三个公子
2384s 都在征服先锋
2386s 我为先锋大将
2387s 主公为难了
2389s 主公尚未立死
2392s 三个公子都在急做先锋
2394s 其实
2396s 是在征大位
2398s 那么你估计
2400s 主公会立谁为先锋大将
2403s 这次和曹操决战
2405s 事关重大
2408s 先锋大将
2410s 我决定由
2421s 由我袁绍
2423s 亲自担当
2425s 这次灭曹
2427s 主公高明啊
2429s 我跟你说
2431s 主公一旦携命起来
2433s 那是比天下任何主公都携命
2436s 没错没错
2440s 听令
2441s 后日正午
2446s 三军齐聚关前
2448s 举行灭曹操事事大会
2452s 祭天
2453s 祭地
2454s 祭祖
2456s 杀薛
2458s 出征
2459s 遵命
