129s 这是谁啊?怎么睡到我踏上来了?
2322s 这大战在即,
2323s 此衣最为要紧的,
2337s 仍是水战决胜负。
2339s 是。
2340s 我多次探看曹操水军,
2344s 急势严整,
2345s 绝不可轻视。
2348s 这江东水师虽然精悍,
2350s 数量却不及曹操战船的一半,
2352s 大小也不如他。
2354s 却如何以少胜多,
2355s 以弱胜强,
2357s 击破曹操水军战船。
2360s 还望先生教我。
2362s 大都督过目,
2364s 在下陆路之辈,
2366s 岂敢言教。
2368s 昨夜我苦思良久,
2370s 终于思得一破敌之计,
2375s 却不知可行否。
2378s 巧了,
2379s 我今天早起也思得一计。
2382s 我这计肯定比大都督之计
2385s 晚了几个时辰。
2386s 请问先生所思何计?
2389s 敢问,
2392s 都督所思何计?
2394s 也罢。
2396s 你我都不知
2404s 你我都不必说,
2405s 且写在掌中,
2406s 看同是不同。
2408s 好,
2409s 左右,
2410s 取笔墨来。
2411s 诺。
2438s 真是英雄所见略同啊。
2442s 大都督,
2447s 蔡茂之弟蔡和蔡忠,
2449s 前来投降。
2451s 好,
2452s 我且去瞧瞧,
2453s 这破敌之计,
2462s 请葬物谢了。
2465s 告辞。
2466s 遵命。
2467s 大都督慢走。
