4s 朝会时辰到。
1147s 拿下你草草的脑袋,赏千金,封万户侯。
1153s 听清了吗?
1155s 千金啊,值三十万弹骨。
1160s 相当于我一个县令三百七十五年的官奉。
1164s 相当于中某县全县百姓一年的口粮啊。
1169s 还要外加上一个万户侯。
1172s 从今往后,我成功可是要坐拥金山了呀。
1178s 我真是闹不明白。
1181s 草草,你连皮带肉也就一百多斤重了。
1185s 怎么会值千金?
1188s 那选赏之人是不是瞎了眼睛啊?
1191s 好了,不要再啰嗦了。
1193s 尽管拿着草某的脑袋到东贼那儿去领赏吧。
1198s 我只有一个要求,
1201s 给我一把筷头,免得爷爷遭罪。
1206s 好。
1209s 不错,不错不错。
1214s 死到临头了,还挺有骨的英雄之气。
1220s 别着急,明天一早我就会准备一口痰子,装上你的脑袋奔赴京市。
1228s 不过今天晚上嘛,好歹你还是我本官的客人。
1236s 来人哪!
1237s 在!
1238s 让他尝尝中某县大牢的厉害,大牢伺候。
1243s 走!
1244s 草草,据我所知,董卓对你不薄啊。
1287s 你为何要刺杀他?
1289s 燕雀安知,鸿鸿知。
1299s 我这只燕雀,倒还真想知道,你的鸿鸿之志。
1309s 我历代祖上,誓食汉禄,誓授皇恩。
1315s 如果我草草不思报国与秦寿合一,如今奸贼当道,生灵涂炭。
1323s 正成寿守,世子蒙羞,四百年的大汉江山危在旦夕。
1328s 越是在这危难当中,就越是英雄辈出之势。
1333s 凡我治世人人,都可杀贼建功。
1338s 振兴汉室,治国,平天下。
1343s 而欲救国,就必先诛杀董仲。
1346s 我正是为了杀贼,才不得不屈身示贼以谋求施济。
1351s 朕乃无双国士,智勇超群,秦寿臣恭一拜。
1363s 你这是为何?
1370s 大唐之上,人多眼杂。
1379s 臣宫我不得,不折如泥番。
1383s 就算是报我当年登门受辱之分,我就恨透了。
1388s 早就想手提三尺剑,手刃国贼。
1397s 做了我想做,而没有办法做到的事情。
1402s 臣宫深表敬佩。
1407s 可是我料事不周啊。
1413s 刺杀失败了。
1415s 苍黄逃出京师,亡命于荒郊野地。
1419s 不,虽然刺贼没有成功。
1424s 但是孟德兄已经名存以轻示。
1428s 不宜成败论英雄。
1430s 对于刺杀这件事,我已经后悔了。
1439s 这话什么意思?
1442s 我草草何许人言。
1454s 我应该振臂高呼。
1456s 召集天下的壮士。
1458s 组建剿贼义军。
1460s 挽江山于祭道。
1462s 救苍生于水火。
1464s 干一番轰轰烈烈的大事。
1467s 这才是我应该做的。
1469s 而这恰恰也是最难做的。
1471s 可是我呢?
1473s 我挑了一个容易的。
1475s 避众救青,拿了一把刀去刺杀董卓。
1479s 你看看。
1481s 我草草居然堕入刺客者流了。
1484s 董卓又是什么人?
1486s 他不配我去刺杀他。
1488s 再者说,
1490s 就算是董卓死了,
1492s 难道就没有别的枭雄,
1494s 祸国乱世?
1496s 所以,草草刺董,
1499s 看上去是大智大勇。
1501s 实则,以夫之勇,愚蠢之志。
1508s 令我如梦方醒。
1515s 我正为你此壮举敬佩不宜之事。
1523s 虚如草芥。
1527s 这也是拜你所赐。
1530s 我在这间牢房里痛定思痛。
1533s 此去何为?
1539s 此去何为?
1540s 归乡里发天子诏,
1546s 召集天下诸侯,
1548s 兴兵讨伐董卓,
1550s 重整山河再造乾坤。
1553s 臣工有遗愿,
1558s 请孟德兄允诺。
1561s 请讲。
1563s 请准许我随你安前马后,
1566s 辅助明宫,共创大义。
1574s 你可是朝廷命官。
1576s 孟德兄不也是朝廷的一名萧綦校尉吗?
1583s 杀贼一意,
1584s 一旦把大旗举起来,
1588s 我等随时都有粉身碎骨的危险。
1593s 为了乾坤大义,
1595s 臣工我不必刀山火海。
1598s 我再问你,
1600s 我如今是孤身一人。
1606s 你的父母,妻子,孩子,
1611s 他们该怎么办?
1612s 只当是臣工从来就没有这些。
1623s 曹某敬佩之至。
1649s 与孟德兄并列于此,
1655s 就算是国事成双马。
1658s 爹为仁兄,
1689s 恩公告罪了。
1692s 我要和曹操举一逃贼,
1695s 共建英雄大业。
1697s 孟德兄啊,
1746s 由此北去五万余里,
1748s 即是平阳。
1750s 我听说袁绍已经在平阳起兵了。
1754s 不错。
1756s 袁本初是个聪明人啊。
1759s 在这乱世之中,
1760s 抢先举起了一旗,
1763s 为天下先啊。
1766s 袁氏家族,
1769s 明东四海四世三宫。
1772s 可以说是名门故旧遍布天下。
1775s 袁绍举兵,
1777s 各地诸侯必然云集。
1780s 我看咱们不如先投奔一趟,
1783s 共乡大一。
1785s 宋太兄,
1787s 我觉得咱们肯定是要去见袁绍的。
1793s 但是如果现在单枪匹马地去,
1796s 不会得到重用。
1798s 而且,
1800s 我觉得袁绍并非明主。
1802s 孟德兄啊,
1811s 此话何意啊?
1813s 请问,
1814s 袁绍为何举兵?
1816s 这还用问哪?
1818s 逃发董卓,
1820s 除贼服汉。
1822s 我再问你,
1824s 董卓之患有从何而来?
1829s 这个我知道。
1831s 先帝中平末年,
1833s 金臣混混,
1834s 换党擅权。
1836s 以张让为首的时常势,
1838s 把持朝政。
1840s 当时何靖为了剿除换党,
1842s 密令西粮诸侯,
1844s 率兵入京秦王。
1847s 这才造成了董卓的祸乱。
1850s 那你知道,
1853s 招藩入京秦王这个主意是谁出的吗?
1857s 这个我倒不知道。
1859s 正是袁绍。
1861s 袁绍?
1862s 是他向何靖建议,
1865s 密令西粮刺史董卓引军入京。
1869s 后头的结果就有目共睹了。
1872s 烟患之祸倒是没有了,
1874s 但是董卓之祸
1876s 甚于烟患之祸十倍。
1879s 看来这原本初
1880s 真是徒有虚名,
1882s 没有远见着实啊。
1884s 我再问你,
1886s 你知道是谁
1888s 第一个便反对。
1890s 招藩入京秦王,
1892s 又是谁最早
1894s 就看出董卓之祸
1895s 会甚于烟患之祸的?
1897s 我曹某,当日,
1904s 何靖和袁绍商议此事,
1907s 我就在边上。
1909s 我跟他们说,
1910s 烟患之祸古今皆有,
1913s 但看天子是否闲民,
1916s 只要有明主在朝,
1918s 只需以训雷不计言耳之势,
1921s 便可将烟患复至牢狱。
1924s 但是招藩入京秦王
1926s 却万万不可,
1927s 因为那是阴虎驱狼之计,
1929s 其结果
1930s 断然是虎患大于狼骸。
1933s 但是何靖不听,
1935s 他认为袁绍
1937s 私事三功,
1938s 肯定比我草草有见识。
1940s 结果呢,
1942s 西梁军来了,
1943s 何靖死了,
1944s 袁绍跑了,
1946s 董卓祸害后宫,
1948s 屠毒天下,
1950s 当初,
1952s 他们要是听了你曹孟德的话,
1958s 何至于今日?
1960s 饿瓢遍地,
1962s 虎狼横行难,
1965s 山河破碎,
1967s 民不聊生,
1969s 这就是他们
1971s 不听我草草的话的
1973s 下场。
1975s 卖水了,卖水了!
1995s 大爷,你还喝点吗?
1997s 如何?
1999s 你的画像
2000s 已经传到这儿来了,
2002s 我也成了你的从犯。
2004s 不过,
2005s 你的头颅值千斤,
2007s 我的头颅只值五十斤。
2009s 抱歉,
2010s 我的脑袋太贵,
2011s 你的又太便宜了。
2014s 龙大兄,
2015s 中原大汉克力不朽,
2017s 各地的百姓啊,
2019s 早就有人一子而十了。
2021s 西民们,
2022s 为了半斗两鼓,
2024s 都不惜铤而走险,
2025s 卖也有穷。
2027s 朝廷如此重伤,
2029s 就等于把我们变成了
2031s 所有人梦里已穷的猎物。
2034s 说得是,
2036s 你我身负大业,
2038s 如果死于鹰犬之手,
2039s 岂不可惜?
2040s 咱们绕过这个城寨,
2042s 找个地方歇息,
2043s 从此后,
2044s 祝福夜行。
2047s 此地,
2048s 离龙山已经不远了。
2049s 我听说那里的百姓
2051s 不奉朝廷号召,
2052s 武装自盗。
2053s 龙山?
2054s 龙山是个大城市,
2056s 龙山?
2057s 龙山?
2058s 那儿是不是有个小县
2060s 叫成稿县?
2061s 好像是。
2063s 咱们就去那儿歇歇。
2064s 驾!
2066s 驾!
2067s 都何人
2078s 竟敢闯到这儿来?
2079s 请问庄士,
2081s 吕博社在吗?
2082s 在!
2083s 那就劳烦庄士通禀一声,
2085s 就说赐总失败的钦犯
2087s 曹操前来拜访。
2088s 蒙德?
2089s 如果
2090s 替曹操的手机
2091s 陷入京城,
2092s 朝廷赏千金,
2094s 封万户喉。
2095s 蒙德?
2096s 对了,
2097s 还有中谋县令陈功台
2099s 和曹操一起前来,
2101s 如替陈功台的手机
2103s 陷入京城,
2104s 朝廷赏五十金。
2107s 禀卧主!
2108s 蒙德呀!
2109s 曹操拜见!
2110s 你这是什么意思啊?
2112s 这儿的地主吕博社
2113s 是我父亲的结义兄弟。
2115s 此人急功耗义,
2117s 绝不会卖有。
2118s 相反,
2119s 如果我把底细直接告诉他,
2121s 倒会引起他的敬重。
2123s 难道你就如此信任这个吕博社?
2126s 这么跟你说吧,
2127s 我就是信不过我自个儿,
2129s 也绝不会信不过吕博社。
2132s 快开门!
2133s 开门去!
2135s 侄儿!
2136s 侄儿!
2140s 伯父!
2141s 侄儿!
2142s 伯父!
2143s 你是侄儿?
2144s 是我啊!
2145s 是我从阿玛那儿!
2147s 苍天有眼,
2148s 你还没死,
2149s 真是太好了!
2152s 真是你呀!
2154s 太好了!
2156s 太好了!
2158s 你可知道,
2159s 从周县到乡里,
2161s 到处都贴着拿你的告示。
2164s 你父亲举家避难到陈流去了。
2167s 我是为你的干,
2168s 为爷爷悬心的。
2170s 伯父,
2171s 这位是中谋县令陈公太。
2174s 若不是他相救,
2175s 侄儿早就粉身碎骨了。
2178s 义士大恩,
2179s 要是没你,
2180s 阿玛他就活不到今天了。
2182s 受老夫一拜!
2184s 伯父,
2186s 伯父高义,
2187s 晚辈十分钦佩。
2189s 走走走!
2190s 回家去!
2191s 走走走!
2193s 来人哪!
2194s 在!
2195s 赶紧杀住崽阳!
2196s 温酒设夜!
2197s 把所有好食的全拿出来!
2198s 好嘞!
2199s 太好了!
2201s 我等饥寒交迫
2202s 已经两天都没有进食了。
2204s 阿玛那,
2205s 这就是你家,
2207s 暂且住下。
2208s 过了风头,
2209s 再走也不迟啊!
2210s 语伯啊!
2211s 家里没酒了!
2212s 赶紧沽酒去啊!
2213s 好嘞!
2214s 到镇上沽好酒!
2215s 好好好!
2217s 伯父,
2218s 现在镇上到处都贴满了。
2220s 搜拿我们两个人的告示。
2222s 要是万一他们有的人
2223s 贪图上金,
2224s 岂不是给老伯惹祸?
2226s 伯父,
2227s 我等就不吃酒了。
2229s 有碗饭充饥即可。
2231s 那哪成啊?
2232s 你阿玛是最好酒的。
2234s 到我这儿来
2235s 没有酒工你喝,
2236s 那不成。
2237s 沽酒,
2239s 沽叫他们去,
2240s 我自己去!
2241s 走走走!
2242s 进屋!进屋!进屋!
2243s 到我这儿来呀,
2244s 没酒喝可不行!
2245s 来来来!
2247s 快去把毛吕给我牵过来!
2255s 快点啊!
2256s 好!
2257s 快些!
2282s 我是说过这话,
2352s 可我还说过。
2353s 通风报信,
2354s 找官兵来捉拿我们。
2365s 断然如此,
2366s 以死相平杀出一条血路
2374s 方能脱身。
2375s 杀!
