4s 吴王口谕,传蜀汉使臣马肃觐见。
637s 他一直是秦木流,
639s 此人从未领兵征战过,
642s 尚不知其兵法韬略如何。
645s 就凭他泄语草批的这一策,
649s 此人早晚会成为辅辟重臣。
652s 往后,
656s 你替我多留意着他。
658s 遵命。
660s 平身,
693s 此次法蜀,
706s 各路大军,
708s 皆是无功而返,
710s 徒号前两,
713s 你们说,
715s 此义,
717s 何在?
719s 殿下,
728s 我认为法蜀无功,
730s 它是孙权。
732s 他表面上答应殿下,
734s 出兵帮助,
736s 却却与蜀为盟。
738s 更可恨的是,
740s 孙权竟敢碰上我大魏之使。
742s 是可忍,
743s 孰不可忍。
744s 不错。
746s 花心,
750s 你做好了水师战船吗?
752s 殿下,
755s 三千艘战船
757s 已经完成了。
759s 五万水师将士
761s 正在整训中。
763s 龙舟十支,
765s 二十支,
767s 每周两千支。
769s 好。
771s 曹兄。
774s 在。
776s 两艘武器,
778s 如何?
780s 一百五十万弹,
782s 五十万弹,
783s 已运往河北等地。
793s 听旨!
795s 我决定。
797s 其水陆大军,
799s 三十五万,
801s 秋后,
802s 会试发武。
804s 此意,
808s 要御驾钦证,
812s 破京乡。
814s 吃入环座!
816s 是!
823s 殿下,
824s 我法蜀无功,
826s 愧恨无疾。
827s 请殿下允许我,
829s 代罪出师。
831s 殿下,
833s 我愿做法蜀先锋,
835s 如若不赦,
836s 甘当军法。
838s 陛下,
839s 我愿随驾出征。
841s 陛下,
842s 我愿随驾出征。
844s 陛下,
845s 我也愿随驾出征。
847s 好。
850s 清党雄心壮志。
853s 我,
854s 深感欣慰。
862s 仲达,
865s 你为何不开言呢?
878s 臣请陛下降罪。
882s 爱卿,
883s 何罪之有?
885s 先前五路大军法蜀,
888s 盖出于臣。
890s 不料想,
891s 劳师无功,
893s 此臣之罪也。
896s 虽然陛下没有降罪,
898s 臣心何安?
901s 朕说过,
903s 法蜀无功,
905s 祸在孙泉。
906s 你不必自责。
910s 谢陛下宽容。
912s 不过臣还是要请陛下降罪。
916s 还有何罪?
918s 臣有一言,
919s 不说则无罪。
920s 说了,
921s 陛下定会降罪。
923s 说,说,说,说。
925s 说,说。
926s 臣请陛下不要兴兵伐吾。
944s 为何?
945s 既然法蜀无功,
947s 此祸在孙泉。
949s 如果我军伐吾,
951s 诸葛亮就不会圆吾了吗?
954s 臣以为,
955s 蜀无,
957s 如果联盟不出现劣系,
960s 法蜀法吾都难有胜算。
963s 那你有何建议?
965s 臣建议陛下效仿先帝,
968s 养兵屯田十年。
970s 十年之后,
971s 魏国将一发强大。
974s 而不用十年,
975s 吾蜀将再生裂痕。
978s 要么,
979s 诸葛亮起兵攻取荆州,
981s 要么,
982s 孙泉起兵攻取义州。
984s 而此时陛下,
986s 只需乘势用兵,
988s 军可一鼓而下。
990s 这,
991s 年近四巡,
993s 岂能坐等十年?
995s 再者,
1004s 如果吾蜀之间,
1006s 不但不生劣系,
1008s 反而联手用兵攻位,
1010s 那朕不是坐视两地了吗?
1012s 朕,
1018s 法吾之志已决,
1020s 断不刚改。
1021s 司马夷,
1027s 朕,
1028s 不降罪于你,
1030s 你就不必坠颜了。
1035s 回家去吧。
1036s 朕,
1041s 要义兵了。
1042s 臣遵旨。
1053s 关门,
1076s 为何劝陛下罢兵?
1083s 那,
1084s 那不是自寻其辱吗?
1088s 我若不禁键,
1090s 陛下更要降罪于我。
1092s 什么?
1093s 难道法吾之意会失败?
1095s 必败无意。
1096s 可,
1101s 陛下建功之心,
1102s 又如当年法吾的刘备。
1105s 孙权,
1106s 陆迅和等人呢?
1108s 曹真,
1109s 曹修,
1110s 岂是他们的敌手?
1111s 加之,
1112s 诸葛亮,
1113s 必然会在陛下法吾之时,
1115s 遣上一上将,
1116s 从西川出兵,
1117s 直袭长安。
1118s 陛下胜负可想而知。
1120s 我是说也得罪,
1122s 不说也得罪。
1124s 既然罪则难辞,
1126s 倒不如直面请罪,
1128s 省得人家攻见我,
1130s 心怀奸诈。
1131s 父亲,
1135s 自取今日享罪,
1137s 以免日后大祸,
1139s 而钦佩之至。
1142s 此外你也看到了,
1144s 陛下仍然气我不用啊,
1147s 还是曹氏亲贵们随征。
1177s 坐进来,
1178s 你的劝阻,
1179s 但朕此生,
1329s 也只是个,
1335s 无为之君罢了。
1337s 陛下法吾,
1339s 为何不让臣去呢?
1343s 臣做梦都想着,
1346s 能为陛下沙场建功啊?
1349s 会用你的,
1350s 先帝说过,
1356s 只有你,
1357s 不可量的对我一句话。
1363s 陛下,
1366s 司马怡,
1378s 进中王室二十五年,
1444s 勤勉扶正,
1446s 志勇超群,
1448s 任劳任怨,
1449s 坚忍不拔,
1451s 即,
1452s 加授,
1453s 彪继大将军一职,
1456s 与大将军,
1457s 曹真,
1458s 大司马曹修,
1460s 共同执掌,
1461s 为国君政,
1463s 钦此,
1465s 相年四十。
1467s 更好啦,
1568s 你的主子,
1569s 是老爷呀。
1627s 也是我主子。
1630s 你说的是皇上,
1634s 这才四十岁啊。
1646s 皇上四十岁就走了,
1657s 可我司马怡五十多岁,
1664s 才邓到张兵之权,
1666s 曹天子,
1667s 臣妻和,
1668s 曹真,
1679s 曹修,
1694s 拜见吾皇。
1719s 三叔四伯,
1720s 不必多礼,
1721s 来,
1722s 看座。
1723s 谢陛下。
1724s 哎呀,
1726s 哎呀,
1729s 哎呀,
1730s 哎呀,
1731s 哎呀,
1732s 哎呀,
1733s 哎呀,
1734s 陛下真乃天人哪,
1737s 神采四溢,
1739s 皇位灿烂,
1740s 哎呀,
1741s 昼得臣,
1742s 眼睛都花了。
1744s 臣刚进宫门,
1747s 便感觉一股阴气扑面而至。
1751s 我大魏有如此的圣君,
1754s 真是天赐之幸也,
1756s 天赐之幸啊。
1758s 二位不但是朕的长辈,
1761s 更是铸国重臣,
1763s 以后要多教导朕才是。
1766s 太祖和先帝未静之夜,
1769s 定要在朕这一朝里完成。
1772s 陛下壮志,
1773s 如日当头,
1775s 臣等陛下全马之劳。
1777s 臣觉得,
1779s 让外必先安内,
1781s 陛下欲成大业,
1783s 应当重整朝纲,
1785s 提出宁臣才是。
1787s 哦,
1788s 谁是宁臣?
1790s 陛下,
1791s 太祖五皇帝曾对臣密言,
1795s 司马仪应是狼顾,
1798s 不可负于兵权,
1799s 久之必为国之大患。
1802s 司马仪暗藏大志,
1806s 性情艰人,
1808s 曾在先帝身边讨会多年。
1811s 当年先帝没用,
1814s 也必致之。
1816s 不料,
1817s 先帝临终前一时不察,
1820s 竟让他篡得
1822s 标记大将军之职,
1824s 此甚为可忧啊。
1827s 陛下,
1828s 请恕臣直言,
1831s 陛下临朝出政,
1834s 非曹氏清贵,
1836s 不可加以兵权。
1838s 司马仪久蓄大志,
1840s 精通兵略,
1842s 其长子司马师,
1844s 次子司马昭,
1845s 也都生有异乡,
1847s 这个司马家族,
1849s 乃是百年之望族啊,
1851s 其门生故旧,
1853s 亲信蓬荡,
1854s 遍布朝廷内外。
1856s 陛下啊,
1860s 昨夜臣偶得一噩梦,
1864s 梦见三匹马,
1865s 同草食草,
1867s 梦醒,
1868s 并觉豁然心惊。
1871s 陛下,
1873s 三马,
1874s 便是司马仪,
1875s 司马昭,
1876s 司马师,
1877s 食草,
1878s 啊,
1879s 食草啊。
1881s 那朕该怎么办?
1884s 依臣之见,
1891s 应该把他贬出京都,
1894s 派往边城,
1895s 日后再逐步收拾。
1898s 这样也好,
1900s 司马仪罪行未险,
1903s 如果咒然剿除,
1905s 必起风波。
1906s 这样吧,
1907s 受司马仪为
1909s 雍粮大都督,
1910s 让他驻守边城,
1912s 没有朕的旨意,
1916s 不准回京。
1918s 父亲,
1919s 肯定有什么喜事,
1952s 是吗?
1953s 到底什么喜事?
1954s 关门,
1963s 快关门,
1964s 父亲,
1965s 你倒是说呀。
1968s 如大海,
1977s 龙出生天哪!
1979s 若再待在京都,
1985s 早晚会被奸人给害死。
1988s 谁料曹尘
1990s 曹修两个蠢负
1992s 把我给贬到雍粮去了。
1997s 他们不知啊,
1999s 正是我梦寐以求的地方。
2004s 更何况,
2006s 雍粮虽属边城,
2008s 却是魏国燕侯重镇。
2011s 诸葛亮若敢犯境,
2013s 天赐我剑功之机啊!
2016s 帝创业未半,
2026s 而中道崩促,
2028s 今天下三分,
2030s 一周疲弊,
2032s 此城危及存亡之求也。
2035s 然,
2036s 侍卫之臣不屑于内,
2039s 忠治之事望身于外州,
2042s 改追先帝之疏欲,
2044s 欲报于陛下也。
2047s 臣本不宜功耕于南洋,
2051s 勾全性命于乱世,
2053s 不求文达于诸侯。
2057s 先帝不以臣卑鄙,
2059s 唯以自枉趣,
2061s 三顾臣于草庐之中,
2064s 资臣以当世之事,
2066s 犹世感激,
2068s 遂许先帝以屈耻。
2071s 后职清复,
2072s 授任于败君之际,
2074s 奉命于危难之间,
2076s 而来二十又一年矣。
2079s 先帝知臣谨慎,
2083s 故灵崩祭臣以大事矣,
2086s 臣受命以来,
2088s 夙夜忧叹,
2090s 唯恐托付不孝,
2092s 以伤先帝之命。
2094s 今南方已定,
2096s 兵甲已足,
2098s 当蒋率三军,
2100s 北定中原,
2102s 竖截弩盾,
2104s 让除奸凶,
2105s 兴复汉室,
2107s 还于旧都。
2109s 愿陛下托臣以讨贼兴复之孝,
2117s 不孝则治臣之罪,
2119s 以告先帝之灵,
2121s 臣不慎受恩感激,
2124s 灵表替灵,
2126s 不知所欲。
2131s 相父七情梦霍,
2133s 刚刚顶定了南荒,
2135s 现在座位未安,
2137s 又要北伐中原,
2139s 这,
2140s 这叫震兴和安哪。
2143s 臣之所以南征,
2145s 正是为了北伐,
2147s 后方不定,
2149s 不可举兵,
2150s 如今南方已平,
2152s 无后顾之忧,
2153s 如不趁此讨贼恢复中原,
2156s 更待何时。
2158s 丞相壮志,
2163s 令在下敬畏不已,
2165s 不过,
2166s 曹尉势大,
2167s 极难图之。
2170s 我川蜀,
2172s 乃天府之国,
2174s 山川显耀,
2176s 田广良丰,
2178s 即使不图之,
2180s 也足可以立足于天下。
2183s 丞相何必轻身负险呢?
2189s 正方此言差矣,
2191s 川蜀之地虽广,
2193s 却是偏居异余。
2195s 如果只图顾守,
2197s 那么十年二十年尚可,
2199s 五十年之后就难说了。
2201s 如果川蜀之地
2203s 真的可以永保太平,
2205s 那么四百年前太祖皇帝刘邦
2207s 为何还要出川北伐,
2209s 夺中原征天下?
2211s 因为太祖皇帝目光远大,
2215s 他声明我不伐人,
2218s 人必伐我,
2220s 只求自保,
2221s 断不能自保,
2222s 唯有进取,
2224s 方能成大业。
2226s 陛下,
2232s 臣夜观天下,
2234s 北方王器正盛,
2236s 只恐未可图言。
2239s 臣既观天下,
2242s 夜观天道,
2244s 甚至天道无常,
2246s 岂可拘泥。
2248s 陛下,
2255s 臣举兵后,
2257s 当先驻军在汉中,
2259s 居高临下,
2260s 虎尸洛阳,
2261s 待查明情形,
2263s 便直取两经。
2265s 若不胜,
2266s 臣甘受枉法。
2269s 听旨。
2274s 朕拜诸葛亮为平北大都督,
2280s 兼领臣相,
2281s 易周牧,
2282s 五湘侯,
2284s 择日进军法位。
2286s 择日。
2289s 蜀国将领,
2290s 竟凭相父选用。
2292s 众将听令。
2308s 龙湘将军关兴,
2310s 为左护卫士。
2312s 虎翼将军张包,
2314s 为右护卫士。
2316s 督廷侯卫延,
2318s 为正北将军。
2320s 臣苍侯马代,
2321s 为平北将军。
2323s 参军马苏,
2324s 为安远将军。
2327s 遵命。
2328s 李辉,
2329s 为安汉将军。
2332s 廖化,
2333s 为前军副将。
2335s 王平,
2336s 为毕将军。
2337s 元凌,
2338s 为前将军。
2339s 吴易,
2340s 为左将军。
2341s 高祥,
2342s 为右将军。
2343s 邓芝,
2344s 为监军使。
2346s 丁贤,
2347s 刘敏,
2348s 为左右护军。
2350s 杜易,
2351s 为参军。
2352s 严彦,
2353s 为行参军。
2355s 樊齐,
2356s 为随军主部。
2358s 樊建,
2359s 为典军书记。
2361s 高祥,
2367s 为何不用我呀?
2368s 子隆啊,
2378s 你已年过半百。
2380s 数日前,
2383s 马超刚刚禀告,
2385s 先帝的五湖上将,
2388s 如今只剩你一个人了。
2391s 我不愿让你再驰骋战场了,
2394s 还是留守成都吧。
2397s 自我随先帝以来,
2401s 大小战事,
2404s 无不当先。
2406s 今日五湖上将已故其次,
2412s 我是更觉得寂寞呀。
2415s 若今天丞相,
2418s 不令我做这个先锋,
2421s 我便一头撞死在这柱子上。
2424s 子隆听礼,
2429s 封你为先锋大将,
2432s 应精兵两万,
2434s 副将十元。
2436s 领命。
2449s 在平定南方后,
2451s 为保刘备兴旱之日,
2453s 脱孤之人,
2455s 禁起蜀军出秦山,
2457s 开始第一次北伐大业。
2462s 蜀军一出,
2464s 天下震动。
