3s 此乃奇门八卦阵也。
2248s 皆因礼言征粮不力
2250s 无法将后续的军粮
2252s 运送到祁山大营
2254s 不得已
2256s 礼言只得谎报军情
2259s 朕本该依律重办
2263s 但是
2265s 念起礼言有多年的勋劳
2268s 家之相父未知说情
2271s 故
2272s 将其礼言贬为庶人
2275s 永不复用
2276s 陛下圣派
2283s 相父
2284s 礼言之职
2285s 应着何人接替
2290s 陛下
2292s 臣愿以性命担保
2294s 举一人担任尚书令
2298s 亲举荐何人
2302s 常石李峰
2313s 在下半晚没有想到
2315s 你不仅给了家父一条活路
2317s 还生用了在下
2320s 李峰啊
2321s 我向朝廷举荐的
2323s 是一个能为我们北伐大军
2326s 筹良谋小的干财
2328s 不是为了报答你
2333s 丞相虚魂弱骨
2334s 在下十分感动
2337s 你父亲离开成都了吗
2340s 已经返回故乡同子去了
2342s 丞相
2343s 说也奇怪
2345s 家父以前
2346s 总是心事重重的
2348s 可自打成为庶民之后
2350s 他反而一身轻快了
2351s 走的时候啊
2356s 开心得很
2357s 我实话
2363s 我羡慕他呀
2366s 我也想重归南洋
2369s 安老于山中灵下呀
2371s 无奈
2373s 不说了
2403s 这不是我的府上吧
2405s 禀丞相
2406s 这处府宅
2407s 是丞相北伐的时候
2408s 陛下吩咐建造的
2409s 陛下说了
2411s 快过年了
2412s 此宅赐给丞相做礼物
2418s 这得好去多少钱两年啊
2422s 李峰 你为何不见呢
2425s 建造新宅的时候
2427s 下官见过
2428s 陛下不难
2433s 又一年过去了
2435s 为法大业还没有完成
2441s 我何德何能干居子新宅呀
2448s 李峰哪
2450s 把这府门封上
2452s 不攻破洛阳
2454s 我绝不进这府门
2456s 遵命
2458s 江伟
2459s 末将在
2460s 吩咐部下做好准备
2462s 两天后启行
2463s 你
2464s 随我重返祁山大营
2468s 遵命
