15s 凤仙,幸会,幸会。
334s 在下有主意了。
338s 你说什么?
340s 在下认为,
342s 四合可用。
345s 那合是用来护城的,
347s 怎么可以用来攻城吗?
350s 你说。
354s 为何不可呀?
356s 得于死者,
358s 毁于私。
360s 主公啊,
361s 雨季就快到了。
372s 天公助我。
383s 曹军是远道而来,
386s 冰封绝不能久,
388s 只要我们坚守两个月以上,
390s 他们非退军不可。
392s 难道曹操就不攻城了吧?
397s 他肯定要攻城,
398s 只是现在雨中不便用兵。
402s 曹操在等雨势稍减啊。
405s 这样,
408s 奉献哪,
409s 不如趁现在雨水未停歇,
412s 您率铁骑出城,
414s 在城外高处见营在。
417s 我率布军团与城内,
419s 我们互为击脚之势。
421s 为大战预做准备。
424s 等到雨停之后,
426s 曹军若敢攻打将军,
428s 我袭其后。
430s 如果曹军敢攻城,
431s 将军袭其后,
433s 如此一来,
435s 曹军是内外小弟,
437s 必败无疑。
442s 依先生之策。
444s 好,
445s 不可再耽误了,
447s 我们分头行事吧。
457s 尚将军,
458s 夫人乍受风寒,
460s 病倒了。
460s 怎么会病成这样的?
489s 丢了徐州,
510s 何至于让你颠沛流离?
514s 何至于让你受如此大罪?
516s 吕布军的受苦,
519s 能和将军在一起,
524s 今愿已足。
526s 可是我又要出城了。
529s 怎么?
531s 不是刚回来吗?
533s 城宫设下了计谋,
534s 城中蒙蒸几年。
540s 那将军,
543s 应该听先生的话,
545s 依他的计谋行事。
547s 你正在病中。
555s 将军,
558s 将军大战在即,
560s 心中岂能悬念于奴婢?
563s 你还是快走吧,
567s 别让公太先生等急了。
571s 将军,
581s 你走吧,
586s 走啊,
594s 走啊,
596s 别误了事,
597s 走啊。
601s 调查,
601s 调查,
603s 快追医官!
604s 兵马早已集结完毕,
626s 赶快率军出城吧!
633s 先生,
634s 你怎么了?
638s 调查并未,
641s 我岂能离开?
643s 什么?
646s 我想了一下,
647s 保退后几日,
650s 等调查并且稍缓,
652s 再出城里迎。
654s 奉先哪,
655s 大战在即,
656s 生死关头啊!
658s 你作为三军统帅,
659s 怎么能为一件女子而依无战计呢?
662s 调查是我一生至爱,
666s 可,
676s 我活着没有任何意义!
678s 再说我并非不出城,
680s 只想年后几日。
682s 奉先哪,
683s 机不可失,时不再来啊!
685s 你回头看看,
687s 三军将士已经候命多时了呀!
690s 意已决,
694s 等调查并好后出城,
697s 先生,回去歇息吧。
698s 你!
699s 奉先!
702s 奉先哪!
705s 众将听令!
707s 你们暂且归营,
709s 待我号令!
710s 遵命!
711s 奉先!
713s 你如此残民,
714s 会祸及三军哪!
716s 调缠于吕布,
733s 难道真是天命已定?
736s 我等将士,
739s 回身之地了!
778s 将军为何在此啊?
780s 为何,
781s 没有出城立营啊?
791s 将军,
793s 你真应该听先生的话。
795s 发水进城啦!
812s 将军小心啊!
813s 将军!将军!
815s 发水啦!
838s 怎么会这样?
839s 允绝开河地,
845s 把夏毕城,
847s 换成邦阳啦!
850s 先生,
852s 我现在该怎么办?
855s 兵律将军,
857s 你现在只有两种选择。
861s 一是坐水中鱼下,
864s 二是开城投降。
866s 你的儿女缠绵,
883s 祸及三军。
891s 不!
893s 没完!
895s 我有赤兔马!
897s 我将和胡塘,
898s 如律平地!
900s 我何惧曹贼!
902s 你有赤兔马,
903s 又方天际。
907s 可将士们有吗?
908s 安城内守军,
951s 只此剪归乡,
953s 据论功行赏。
954s 由取吕布守击者,
956s 赠五千金封办户侯。
958s 叛贼!
959s 将军!将军!
960s 想取我守击,
962s 我先把你们给斩了!
964s 来人!
964s 在!
964s 拿上!
965s 上将军!
966s 我只是虽然看了一下,
967s 却无祥朝之心!
968s 无祥朝之心哪!
969s 上将军!
970s 将军!
971s 我等为将军效命,
972s 宁死不祥啊!
973s 若无事军贵,
977s 便为部族!
978s 脱将军!
979s 将军!将军!
980s 将军!
980s 我们冤枉了!
982s 将军!将军!
984s 将军!
995s 无兄啊,
996s 你不无道,
998s 根本不顾我等死活!
1000s 看来我们也犯不着,
1003s 再为他卖命了!
1004s 是啊!
1071s 可否进城?
1072s 请将军快入城吧!
1078s 生命的人,
1082s 我一眼就识破了!
1084s 这不过是成功布下的诡计,
1086s 想转我进城,
1088s 取我守击,
1089s 如此把戏,
1091s 谁能瞒得过我曹操?
1098s 曹将军!
1100s 我们真的伤及吕布!
1102s 请将军不要多疑!
1106s 尔等若是真的擒住了吕布,
1109s 就将他的兵器置下我看!
1113s 将军拿来!
1117s 将军请看!
1118s 吕布兵器在此!
1135s 是吕布的棘!
1136s 还真是吕布的棘!
1138s 看来我又多疑了!
1140s 曹人!
1140s 在!
1141s 须须进城!
1143s 去吧!
1143s 遵命!
1144s 进城!
1194s 我带你们不保,
1195s 为何出卖我?
1196s 吕布!
1197s 你有吃兔马?
1199s 渡水如履平地!
1201s 你还有美妾貂蝉?
1203s 你视它众与三军!
1205s 为将如此,
1206s 竟然还敢说带我们不保!
1209s 帮得太近,
1219s 松一下好吗?
1239s 冯夕,
1241s 你是一只猛虎啊!
1243s 绑虎,
1245s 能不紧吗?
1255s 我说过的话有很多,
1257s 不知道你问的是哪一句?
1261s 最怕的人是我!
1262s 最敬的人也是我!
1264s 你我做你的三军大元帅,
1266s 为你横扫天下,
1267s 共创大业!
1273s 在下,
1274s 你做你的三军大元帅!
1280s 我确实说过这话,
1282s 但我说这个话的时候,
1284s 是你在城上,
1285s 我在城下,
1286s 我不能不跟你共创大业!
1288s 但是现在,
1290s 你看看你!
1291s 接下之求,
1292s 你怎么跟我共创大业?
1294s 如此简单的道理,
1299s 你都不懂吗?
1304s 玄德贤弟,
1305s 还记得原本社稷吗?
1319s 记得,
1326s 奉先此恩,
1328s 在下永生不忘!
1330s 那你还不开遵口!
1332s 快帮我求求曹操!
1335s 遵命!
1338s 禀曹公,
1342s 在下有一事相求!
1349s 无论何事,
1350s 但说无妨!
1353s 吕布曾经拜过三位义父,
1357s 其一是丁元,
1359s 其二是董卓,
1360s 其三是王允,
1362s 这三位义父,
1363s 都托福吕布不浅!
1366s 今日恳请曹公,
1368s 收吕布为义子,
1370s 做他的第四位义父!
1375s 听见了吧?
1381s 吕布是吕布的义父!
1385s 吕布是吕布的义父!
1391s 啊?
1393s 谁?
1395s 做吕布的义父,
1397s 谁就不得好死?
1403s 大尔贼!
1404s 你忘恩负义!
1415s 吕奉先,
1417s 你也知恩义二字吗?
1421s 早先我让徐州与你,
1424s 就是盼望你知恩知义,
1427s 可是你非但不容我,
1429s 还屡屡攻杀我,
1431s 你懂什么叫恩义吗?
1434s 若你我联手,
1436s 你岂有今日之祸?
1451s 押下!
1453s 走!
1453s 走!
1460s 大仗务断头不可断致,
1462s 你何居之有啊?
1464s 走!
1467s 此人是谁?
1470s 主公,
1471s 他就是吕布手下第一勇将,
1473s 姓张明辽,
1474s 自闻元,
1477s 跪下!
1478s 跪下!
1483s 张辽,
1485s 张闻元,
1528s 你这是为何?
1540s 说话呀!
1544s 闻元,
1546s 你是个真英雄,
1548s 我有心想留你为我建功立业,
1552s 但是我怕你骂我,
1554s 所以你走吧!
1566s 走吧!
1587s 将军,
1591s 在下愿为将军效命,
1593s 我等的就是你这句话!
1606s 主公!
1623s 宣德,
1624s 看看谁来了?
1626s 来了!
1633s 坐!
1637s 龚太兄,
1640s 钟某县相救之情,
1642s 曹某感恩于心,
1645s 曹孟德也长得一颗心,
1651s 我真是后悔呀,
1654s 当年成稿县那天夜里,
1657s 我就该将你一箭穿心,
1659s 理解,
1661s 完全理解,
1663s 连我都替你后悔,
1665s 可奸诈小人,
1669s 无耻之徒!
1672s 龚太兄,
1674s 我又一世不能理解,
1678s 你既然欲图大业为何不来找我,
1680s 而去找了吕布,
1682s 他配不上你的才华和抱负,
1685s 不会有今天,
1687s 吕布虽然无知人,
1698s 但是为人要比你干净得多,
1702s 是干净,
1703s 干净得像个傻子,
1707s 龚太兄啊,
1708s 我还有一件事想请你赐教,
1712s 说吧,
1713s 你说我是应该杀你呢?
1716s 江浩白,
1718s 快快杀我,
1723s 真的舍不得?
1723s 那我就给你个理由,
1732s 让你舍得杀我,
1736s 只要我成功一天不死,
1739s 我会当年那些丑事挂在嘴边,
1742s 我会天天讲日日说,
1744s 我让世人借民皆知,
1749s 让你一丑万年,
1753s 大家伙都听着,
1755s 当年曹孟德在成岗县逃亡的时候,
1765s 被他的伯父吕波舍所救,
1769s 可是他却恩恨不得,
1772s 他就不想再逃亡了,
1774s 可是他却恩将仇报,
1776s 杀了吕波舍,
1778s 这些都是我亲眼所见,
1780s 他恩将仇报啊,
1782s 杀了自家的伯父,
1785s 他就是个奸诈小人,
1787s 无耻之徒啊,
1788s 来人,
1789s 在,
1789s 拉下去,
1790s 快拉下去,
1790s 诺,
1791s 诺,
1791s 放肆,
1796s 龚太兄是何人哪,
1800s 那是我的救命恩人,
1803s 骂我两句怎么了,
1805s 又掉不了一根汗毛,
1807s 再说,
1808s 龚太兄说的,
1810s 有道理,
1812s 骂得对,
1814s 骂,
1816s 接着骂,
1817s 骂痛快了,
1819s 咱们喝酒,
1825s 曹孟德呀,
1827s 我真没想到,
1829s 你竟然如此疲厚,
1844s 并非我,
1846s 曹操疲厚,
1849s 而是我把这世上,
1851s 那些忠俗不堪的刚昌伦理,
1854s 早已经,
1855s 不放在心上了,
1857s 世人都说我是奸雄,
1859s 可又都拿我这个奸雄,
1861s 莫可奈何,
1862s 你们这些,
1864s 自许为君子的人,
1866s 也都败在了我这个奸雄手里,
1868s 如果当君子的代价就是,
1870s 被凌辱,
1872s 被践踏,
1873s 被消灭甚至被杀的话,
1876s 我宁愿当一个,
1877s 能够实现自己报复的,
1879s 奸雄,
1882s 自古以来,
1884s 大奸死忠,
1886s 大为死针,
1888s 忠义和奸恶,
1890s 都不是能够从表面就能看得出来的,
1893s 也许你们从前,
1895s 错看了我曹操,
1898s 现在又看错了,
1900s 可是我,
1901s 仍然是我,
1902s 我从来都不怕别人,
1904s 错看我,
1906s 弓太兄,
1907s 平心而论,
1910s 你觉得我说的对吗?
1915s 什么也别说了,
1918s 赶快上酒吧,
1924s 小酒,
1947s 刀斧手何在,
1950s 快送我,
1951s 成功上路,
1952s 容我,
1970s 送你最后一程,
1971s 与将军同行,
2016s 与我同行,
2021s 难道你没有看到,
2023s 与同死,
2048s 你的心意我明白,
2055s 我李伯要你这句话,
2059s 但你万万不可如此,
2067s 快走啊,
2074s 展金天穿的,
2086s 是将军最敬仰的妥当,
2090s 就让平妾披着它,
2092s 和将军,
2095s 共赴九泉吧,
2096s 天地之间梦,
2278s 家中还有七世老母,
2281s 你若死了,
2283s 她怎么办,
2285s 你舍得下吗?
2289s 我陈功文,
2293s 仁孝之君,
2295s 依法诛罪,
2297s 不会罪及父母,
2299s 我谅你曹孟德,
2301s 也不会杀我老母,
2304s 反而会,
2305s 供她钱粮,
2306s 养其终生,
2308s 不错,
2315s 我还知道,
2316s 你家中有两个娃儿,
2319s 一娃儿七岁,
2320s 还娃儿五岁,
2322s 她们还小,
2324s 你若走了,
2325s 她们怎么办,
2326s 你舍得下吗?
2329s 我儿我女,
2331s 自然会参风引路,
2333s 顺天应命,
2335s 就不劳孟德操心了,
2340s 宫太兄,
2370s 我从来都不求人,
2372s 但是今天,
2373s 我是真的舍不得你,
2383s 这个我知道,
2386s 但需许我自己,
2388s 真真的要走,
2391s 还请孟德,
2394s 随我心愿吧,
2396s 老沙河,
2437s 我怎么会流泪?
