4s 我身为武侯,你怎能擅自用兵?
885s 他投到谁门下
887s 谁就要受其所累
890s 起初
891s 他投陶谦
893s 不久
894s 就从陶谦手中夺了徐者
896s 后又投刘表
898s 这刘表也就失了精者
901s 现在
902s 他口口声声要和我们联合
904s 谁又能保证
905s 到头来他不会害我东吴呢
908s 主公
909s 徐州城是陶谦主动让给刘备的
912s 刘表失去荆州
913s 是因为他费掌力诱
914s 由内乱而导致外患
916s 最终被曹操夺了荆乡
918s 其实这和刘备并没有关系
921s 罗素
922s 你这是在跟我说话吗
925s 放肆
926s 这几天我都想明白了
936s 当初要不是错听了你的话
938s 怎能让东吴损失荆州
940s 你也不看看战报
941s 诸葛亮都要兴兵去芭灵了
944s 你怎么还在替他们说话
946s 难道这就是你跟诸葛亮
948s 相交甚好的缘故吗
950s 我和诸葛亮是有些交情
957s 我和他都是各为其主
961s 一旦两国交兵
963s 他诸葛亮仍然是我
964s 鲁素的死敌
966s 方才主公因为此人
970s 说到了公瑾
973s 在下以为
974s 公瑾不但是诸葛亮为死敌
977s 理天敌
978s 公瑾对诸葛亮之恨
982s 已经远远地超过了
983s 对国贼曹操之恨
986s 而且是又恨又毒
988s 在下以为这样就不对了
991s 以为不管什么样的仇恨
992s 一旦失去了控制
993s 就会反过来杀伤我们自己
996s 所以在下绝不愿意看到
998s 公瑾因一己私怨
1000s 而罔顾天下一
1002s 子敬
1003s 那你以为诸葛亮是什么人
1011s 一敌一友
1012s 敌人好对付
1015s 友人也好对付
1018s 但是一敌一友之人
1020s 却最难对付
1022s 因为他随时可以
1023s 成为你的大敌
1025s 也随时可以成为
1026s 你的盟友
1028s 究竟是他为敌
1029s 还是是他为友
1030s 就要看我们的智慧了
1032s 如果听任公瑾一意孤行
1037s 那么必将是误国误军
1039s 断送我江东
1041s 鲁素
1042s 依你之言
1048s 我和公瑾
1049s 一个是奸臣
1050s 一个是暗主了
1053s 主公
1054s 鲁素
1055s 你太狂辈了
1056s 你又从骨捉狼
1059s 不忍重责于你
1066s 这暂军督卫之职
1068s 就不必当了
1069s 主公息怒
1071s 子敬虽然言辞激励
1078s 但到底是一片忠心
1079s 请主公收回成命
1082s 无异议决
1083s 公瑾休要再劝
1085s 他不视我为主
1087s 我又何必视他为臣
1094s 这就是鲁大夫家了
1098s 子敬好歹也做了
1099s 这么些年官
1161s 我从吴侯府回来
1172s 顺道来看看你
1173s 来人
1214s 去打些韭菜来
1216s 我要陪大都督
1221s 好好畅饮几杯
1225s 这
1227s 怎么还站着不动啊
1230s 主人去年的俸禄
1231s 都周记了
1232s 赤壁湛王将士的遗孤
1233s 今年的俸禄
1234s 还没有领到
1236s 家中
1237s 实在无欲牵大酒
1240s 这有何难呢
1241s 来啊
1242s 把我这个貂皮袍子
1243s 拿去做鸭
1244s 换些好酒菜来
1246s 这
1247s 来啊
1248s 请
1249s 你是对我有大恩的人
1251s 先了今日
1272s 你我竟相争不下
1273s 成为正敌
1275s 不过我来了
1277s 你也不应该
1278s 不过我来了
1280s 你仍以雕琼换酒相待
1283s 令我十分感动
1284s 在下为你这份豪气
1289s 敬你一杯
1292s 恭谨言过了
1295s 你我绝非正敌
1297s 只是方略不同罢了
1299s 试想
1300s 当初我倾家荡产相助的
1303s 不是你恭谨个人
1305s 而是要让你恭谨
1307s 相助天下之人
1308s 而现在
1312s 你我相争的
1314s 也不是私家的事
1316s 仍然是天下之事啊
1319s 卢子清毕竟是卢子清啊
1324s 大义凛然
1325s 毫不通路
1326s 恭敬过奖了
1330s 其实我也想过
1331s 你连流抗曹的方略
1344s 可能是正确的
1346s 如果再给我二十年
1348s 我一定会按你的方略行事
1352s 可是
1353s 保天爷不会
1354s 给我那么多时间了
1358s 十多年来
1360s 我征南闯北
1362s 刀剑无情啊
1364s 我已经多数负伤
1368s 南郡城下
1370s 又中我曹人那支毒箭
1374s 我的身体
1375s 我的身体像一块
1376s 快要坠落的流星
1381s 不知道什么时候
1382s 就会消失在天空
1383s 我已经不能选择
1386s 走最好走的那条路
1387s 而只能选择
1390s 走最快的那条路
1391s 去帮助主公
1394s 实现一统江山的愿望
1396s 我设计挟制刘备
1398s 公主公
1399s 我设计挟制刘备
1404s 公取经乡
1406s 令关张之辈扶手称臣
1408s 然后挥施北伐
1409s 剿灭曹操
1410s 你的心素无明
1418s 你也知道
1424s 凡事
1425s 欲速则不达呀
1428s 关张二将
1429s 乃世之勇将
1431s 性情刚烈
1433s 你用这种办法
1434s 逼他们就范
1436s 他们能够心服吗
1438s 心中不服
1439s 他们又怎么能够
1440s 心甘情愿地
1442s 为我东吴效力呢
1445s 运行王霸之术
1447s 只能无所不用其极
1449s 此言差矣
1450s 最终极的王霸之术
1454s 还是人术
1456s 你看
1457s 曹操一贯霸道
1459s 可是
1461s 自赤壁败归之后
1463s 他回到了许多
1465s 没有兴兵暴虏
1467s 而是卧薪偿胆
1469s 收拾人心
1470s 会有这样的变化
1477s 经过一场大败之后
1478s 他最终悟出了
1480s 人数高于霸术的道理
1499s 你以为必是对的
1500s 就让时间来证明一切吧
1505s 我的性子你知道
1507s 决定的事是不会改变的
1511s 更何况主公
1512s 现在已经同意我了
1514s 不错
1516s 主公是同意了
1519s 可是太夫人呢
1524s 你以小姐之名赚去刘备
1528s 太夫人是最要面子的
1531s 她能够答应
1532s 再说
1536s 自伯扶将军去后
1538s 你把太夫人视作姬母
1542s 她的话
1544s 你能够不听吗
1553s 你身为江东之主
1554s 统十几万精兵
1556s 没能耐去取荆州
1558s 却以我女儿为诱饵
1560s 使这美人计骗刘备来
1562s 你羞不羞
1565s 现在刘备来了
1566s 你又不嫁了
1568s 扣下人家做人质
1569s 你愧不愧
1572s 孩儿羞愧
1576s 禀太夫人
1577s 此事跟主公无关
1578s 都是我的主意
1580s 原来是你出的馊主意
1584s 就算是你的馊主意
1586s 他身为吴侯
1587s 岂能不当家做主
1590s 既然做主
1591s 他就不该把过错
1593s 往臣属身上推
1595s 周瑜
1597s 这事我懒得骂你
1599s 我只骂孙全
1601s 你们啊
1603s 已经让我女儿
1604s 成为天下孝秉
1607s 她以后还怎么嫁人呢
1610s 你们只图自个儿
1611s 那点小聪明
1613s 却误了我女儿一生一世
1619s 太夫人则得是
1621s 若用这个计策
1624s 即便是取了荆州
1627s 也会被天下人耻笑
1630s 禀太夫人
1632s 小妹乃侯门之女
1633s 身份高贵
1635s 并没有真的嫁给刘备
1636s 将来怎么会愁家
1638s 再说了
1639s 小妹乃老主公血脉
1642s 也该为东吴大业
1643s 尽些力量
1645s 你还知道小妹
1646s 是老主公的血脉
1649s 文台当年是何等英雄啊
1652s 他如果知道
1654s 自己的血脉
1655s 现在落到这步田地
1657s 也早已修上了
1660s 你们不要脸
1661s 我要脸
1663s 我还要为死人
1664s 要点尊严
1678s 母亲 消消气
1680s 不要你捶
1682s 都是你个没主意的东西
1684s 弄出这等丑事了
1686s 我看呢
1695s 事已至此
1697s 也只能假戏真做了
1700s 刘皇叔
1701s 乃汉室宗亲
1703s 当世英雄
1705s 找了这个女婿
1706s 也算是不辱没我女儿
1709s 太夫人 不可
1711s 怎么着
1712s 刘备跟孙小妹
1713s 门庭虽然相配
1715s 但是年纪不相当
1717s 这刘备已经年近五旬了
1719s 当初你向孙全献计
1721s 招刘备为婿时
1723s 怎么没想到年纪不相当呢
1725s 我当时只是设下此计
1729s 并不是真的想让小妹嫁给他
1733s 资格做些事来
1735s 后悔了
1736s 不
1737s 主公与我
1738s 有手足之情
1740s 小妹与我有兄妹之意
1742s 如果小妹嫁给刘备
1744s 我心痛
1746s 莫非太夫人不心痛
1748s 你能否这样
1749s 明天约刘备
1753s 于甘露寺见
1755s 让小妹躲于账后观看
1757s 如果合了小妹心意
1759s 那就是天意所属
1761s 我等也敬遵太夫人之命
1762s 让两人成亲
1764s 可要是小妹
1766s 看不上刘备
1768s 那就不甘心了
1770s 我该委屈小妹了
1772s 主公 太夫人
1774s 也不愿意逼着小妹
1775s 跳入火坑吧
1781s 母亲
1782s 恭谨这番话
1784s 也是为了小妹着想
1790s 那好
1791s 就依你
1793s 如小妹看不中
1795s 咱们再商量
1798s 大都督
1807s 太夫人从不干预正事
1809s 今时为何要出来做主呢
1812s 是有人请她出来的
1814s 是谁
1815s 你不必问
1820s 我也不便说
1822s 难不成
1823s 真让主公妹妹嫁给刘备吗
1825s 小妹青春年少
1827s 怎么会看得上
1828s 她刘备这个糟老头子呢
1830s 我明白了
1834s 大都督是想让小姐
1835s 堵住太夫人的嘴
1838s 什么事都怕万一啊
1841s 万一小姐真的看上刘备
1843s 那怎么办
1845s 凡事都有天意
1847s 如果老天能开眼
1852s 那就不要让刘备
1853s 走出甘露寺
1855s 遵命
1861s 你的头发是越长越好了
1879s 真是让娘喜欢了
1881s 只可惜
1884s 以后就不能常疏了
1889s 母亲这是什么话
1891s 女儿永远陪在你身边
1893s 女大不中留
1895s 你该嫁人了
1897s 我才不想嫁人呢
1900s 鬼丫头
1902s 你说的是真心话
1904s 我跟你哥商量好了
1910s 给你寻了一门亲
1913s 人家是皇亲宋氏
1915s 这样的人家
1917s 配得上我女儿
1919s 母亲
1921s 你真的把我嫁给那个老头子
1923s 你都知道了
1927s 满城的人都在传
1929s 你们要把我嫁给刘备
1931s 这件事
1932s 我恐怕是最后一个才听说的吧
1936s 你愿意吗
1938s 母亲
1939s 他是个糟老头子
1942s 怎么能这么说话呢
1944s 人家是当今皇叔
1946s 太狠心了
1948s 你知道他多大年纪吗
1950s 知道
1952s 四十八
1954s 他大我三十岁
1956s 你也舍得把我嫁给他
1959s 我当然不舍得
1961s 你是我心肝肝上的各大任务
1963s 可就算是一万个不舍得
1967s 我仍然要这么做
1968s 为什么
1970s 因为我是孙家的女人
1972s 得为江东八十一县的安危
1975s 为几百万百姓着想
1978s 我可不愿让人当礼物送出去
1982s 你就算是一万个不愿意
1984s 也必须要嫁过去
1986s 因为你是孙家的女儿
1988s 母亲嫁到孙氏家族后
1994s 不到三十就死了夫君
1998s 不到四十
2000s 就经历了丧子之痛
2002s 我流的泪水
2004s 只怕比天下哪个女人流的都毒
2009s 可我为什么还要咬着牙
2012s 够活下来呢
2014s 就是为了孙氏的基业
2017s 我一个外星人
2018s 尚且能够这样
2020s 而你身上
2021s 流着孙家的血
2023s 对孙家的前途
2025s 更负着义不容辞的责任呢
2028s 我嫁什么人
2029s 和孙家的前途
2030s 又有什么关系
2032s 那边的曹操太强大了
2035s 江东只有孙流联合
2037s 才能发展壮大
2038s 而现在
2039s 只有你嫁过去
2040s 才能维护住
2041s 孙流联合的大局
2043s 才能保住江东啊
2045s 今天才知道
2046s 你是世上
2050s 也是最心狠的母亲
2061s 我们来了几天了
2063s 算起来
2094s 应该是第七天了
2095s 七天了
2097s 还不见吴侯的动静
2101s 前几日
2103s 卢夙还不时地来照应
2105s 这几天
2106s 连他也不见了人影
2109s 采买的人回来说
2110s 市井间已传言
2114s 路素已经被削植了
2116s 主公
2117s 我有种不祥的预感
2120s 此次到甘露寺相亲
2122s 可能会有什么阴谋
2124s 你所忧不无道理
2130s 招我来东吴结亲
2134s 是吴侯钦浅的使者
2136s 如果不是遇到什么波折
2138s 不至于这么久
2139s 还见不到孙犬
2141s 我想
2142s 可能是东吴
2143s 自己出现了分歧
2145s 如果卢紫静
2146s 被削植时
2147s 就更加印证了这一点
2149s 皇叔
2150s 我是管成
2151s 鲁大夫求见
2156s 快请进来
2157s 公瑾在甘露寺里
2158s 摆下了一场红门宴
2167s 万一小姐
2168s 不肯嫁给皇叔
2169s 那埋伏在甘露寺两厢的
2171s 三百刀斧首饰
2172s 绝不会让皇叔
2173s 走出去的
2174s 此话当真
2175s 皇叔
2184s 难道我卢紫静
2185s 肝冒背主之命
2187s 来到你这管邑之中
2189s 就是为了说句谎话不成
2191s 此事
2192s 是为了说句谎话不成
2196s 紫静
2197s 我相信你
2198s 孔明早就说过了
2200s 卢紫静
2201s 乃江东第一君子
2202s 与你这样的人
2203s 不论是做朋友
2204s 还是做敌人
2205s 都是人生的快事
2207s 孔明谬讲了
2208s 事不宜迟
2209s 请皇叔
2210s 立刻坐在下的车架
2211s 离开此地
2212s 我已经密使人
2213s 在江中
2214s 备下了一只小船
2215s 连夜送你们回荆州
2224s 多谢紫静
2225s 可是
2226s 我不能走啊
2229s 这是为何呀
2230s 我若走了
2231s 将至吴侯于何地啊
2234s 东吴主战的人
2235s 又占上风
2237s 孙六渐
2238s 就只能是大动干戈了
2241s 这一来
2243s 得意者是谁啊
2245s 曹操啊
2247s 再说了
2248s 明日干龙寺
2251s 小姐未必就一定
2252s 相不中我呀
2254s 要是她相中我了
2256s 周瑜
2257s 不就没有办法
2258s 动刀斧手了吗
2260s 皇叔啊
2262s 公瑾是什么样的人
2264s 你还不知道吗
2266s 她早就算你好了
2269s 现在皇叔的安危
2270s 全系于小姐一念
2272s 可小姐今年才十八岁
2274s 皇叔毕竟都四十八了
2277s 按常理说
2279s 胜算时不足矣
2281s 万一小姐
2282s 她不点这个头
2283s 到时候皇叔
2284s 要是再相走
2286s 可就难了
2287s 紫静不必再劝了
2288s 就算
2293s 只有一场胜算
2295s 我也一定要试试
2297s 母亲
2314s 我卓人
2315s 给您煮了一碗羹
2317s 这么晚了
2321s 你还没睡
2324s 睡不着啊
2326s 你是在担心你妹妹
2329s 到底会不会
2330s 听从我的安排吧
2332s 我没见过刘备
2341s 她必定是个
2342s 年近半百的人了
2344s 这些年遭遇不及
2346s 风餐露宿
2349s 万一她长得
2352s 长得太不近人意
2354s 小眉看不上她
2357s 那可是无法挽回的
2362s 你不要担心
2364s 我的女儿
2365s 我比谁都清楚
2368s 我们孙家后代
2370s 都是英雄
2372s 英雄
2374s 哪有不爱英雄的呢
2378s 你是要做大事的人
2380s 你忍得住气
2381s 天塌下来
2383s 也要能睡得着
2387s 快回去睡吧
2389s 母亲教导的是
2394s 母亲也早些休息吧
2438s 主公真沉得住气
2440s 还是睡得很香
2443s 主公就是主公
2445s 从我第一天跟他起
2446s 我就知道
2447s 他就是天上的
2448s 星宿下凡
2467s 公瑾在甘露寺里
2468s 摆下了一场红梅宴
2470s 万一小姐不肯嫁给皇叔
2472s 那埋伏在甘露寺两乡的
2473s 三百刀斧首饰
2474s 绝不会让皇叔走出去的
