8s 罗长马,东吴真是人节地历。
848s 大多都,主公已经到了,在营中等你。
858s 在大多都追杀留备之时,曹匹也开始用兵。
866s 他拜曹仁为大将军,率军十万出如须。
871s 曹修为左将军,率军五万出洞口。
875s 曹真为右将军,率军五万出南郡。
880s 二十万大军直逼京乡啊。
884s 末将相信,主公一定早有预料。
888s 敢问主公是如何应敌的?
893s 曹匹敢悍然进军,是想趁我军不备。
898s 他若知道我军早有准备,定会算死的。
903s 我已令吕范引三万大军去拒曹修,
907s 又令朱桓引三万大军去拒曹真。
911s 他们早已把握城中要债,而且朱桓还设下埋伏,
917s 战杀魏军前锋长雕。
921s 好啊。
923s 朱桓、吕范都是我东吴的青年俊姐。
929s 敢问主公,何人应付曹仁呢?
939s 不是别人,正是大都督你啊。
945s 主公令京乡各城便查大都督旗号,
949s 但坚守不出。
951s 曹仁见状,惊一不定,
954s 以为你陆迅已经回师迎敌。
957s 再者,另外两路魏军的败报也相继传来。
962s 数日之后,曹仁只能不战而退了。
966s 主公高明之志啊,末将敬佩万分。
973s 不言子虞,咱们先饮一杯。
978s 孤,有话要说。
980s 伊陵大战后,我军大获全胜,
991s 刘备大败,
994s 魏竹三方行事发生了巨变。
998s 依你们看,我军应值何战守之策?
1003s 伊陵大战后,刘备损兵折价。
1008s 七十万大军所胜无几国力大损。
1012s 而我东吴虽然获胜,
1016s 前后损兵也不下于十万吧?
1021s 更为重要的是,
1023s 此役耗尽了东吴积攒多年之储备。
1027s 而曹匹却一一代劳,
1030s 力兵莫马,整训军旅。
1035s 主公,臣据实而论,
1039s 当今吴卫蜀三方,曹卫最强,
1044s 吴蜀皆弱欲为啊。
1047s 那孤还想问你们一句,
1050s 我们该如何以弱敌强呢?
1054s 主公是想恢复孙柳联盟。
1061s 子昀,我想劳你去一趟白帝城,
1065s 把我们所缴获的蜀军的兵士,
1068s 战船,车马,全部归还于刘备。
1073s 主公圣明,在下遵命。
1077s 一天都没吃东西了,喝点粥。
1111s 陛下,当以大业为重,
1123s 千万不可自毁龙体啊。
1126s 赶至战地,要从战地至此,
1140s 够辛苦的,赶紧歇着去吧。
1146s 臣,可千万别这么说啊,
1188s 万万不可,万万不可。
1191s 怎么还没来啊?
1203s 陛下的口谕,我已经派人送出去了。
1207s 估计这两天,
1209s 丞相和太子很快就会到。
1212s 蜀皆,让他们快,越快越好。
1223s 那我现在就去,很快就回来。
1226s 你可一定要吃东西啊。
1252s 殿下,丞相,尚书李大人到。
1255s 参见殿下,丞相。
1261s 郑芳啊,成都还有多少兵马?
1265s 还有一万五千御林郡。
1268s 除了守城之外,都督办粮草去了。
1273s 你把这些兵马,都交给魏延统领吧。
1278s 这,为何呀?
1282s 用不着督办军粮了。
1285s 你要随太子与我,前往白帝城。
1288s 出什么事了?
1290s 父王已领大败,并未在白帝城召我们过去见驾呢。
1297s 这是长军的兵符,魏将军收好。
1307s 魏延哪,成都就交给你来守护了,万不容失。
1313s 有事,卓人兴也赶往白帝城报我。
1317s 遵命。
1320s 退下吧,你也回府收拾一下。
1338s 天一亮,我们就上路。
1340s 遵命。
1341s 请殿下好生休息。
1354s 前往白帝城,要奔波三日呢。
1358s 丞,丞相,我父王会死了。
1362s 殿下不要胡思乱想,早生休息吧。
1369s 哦。
1371s 丞相,我能代谢随身物品吗?
1379s 随身物品,侍卫都会替殿下准备妥当,不用担心。
1384s 那屈卷呢?
1386s 什么?
1387s 我,我这两块屈卷,是片刻不分离的。
1392s 皇上正在病危之中。
1398s 他如果看到殿下拿着这些玩物去见驾,会不会生气啊?
1404s 殿下,难道也是啊?
1408s 那我就不待了。
1410s 臣,来迟了。
1431s 父皇。
1432s 孔明。
1433s 陛下。
1434s 陛下好生气,来势方长啊。
1466s 二十年前。
1468s 我应该早日警示,你定能战胜陆续。
1515s 是臣对不起陛下呀。
1518s 陛下!
1551s 何事啊?
1552s 多姆的战船,逆降而上。
1569s 有多少兵力?
1573s 前少使兵远远望去,战船上满是甲士和战马,不下两三万人。
1580s 孔明。
1581s 陛下。
1582s 传命迎敌。
1585s 陛下,快躺下。
1587s 躺下。
1588s 迎敌之事,就交给臣来办吧。
1593s 关闭所有城门,众驾上乘巨敌。
1604s 没有命令,任何人不许出城。
1608s 遵命。
1609s 参见陛下。
1610s 何事啊?
1617s 禀丞相,东门守将急报。
1628s 东吴使臣诸葛锦,奉孙全之命,请求进城。
1633s 建议陛下,召诸葛锦进城相见。
1649s 诸葛锦是我兄长。
1665s 此时此刻,臣不能与他单独相见。
1669s 无论诸葛锦要说什么,都应该向陛下明言。
1674s 陛下口谕,宣东吴使臣诸葛锦觐见。
1694s 遵命。
1695s 东吴使臣诸葛锦拜见陛下。
1707s 谢陛下。
1719s 陛下,我奉吴王之命,送还被俘蜀军两万余人。
1726s 另有兵器,车船,战马,一并送还。
1731s 吴王还让在下代话。
1733s 夷陵之战,东吴取胜,失蜀侥幸。
1738s 吴王向陛下赔罪了。
1741s 陛下,吴王的意思是希望陛下能消除前仇。
1754s 与东吴再结盟号,共举曹位。
1758s 父王!
1759s 羞辱我的吗?
1782s 陛下!
1783s 父王!
1784s 陛下!
1785s 子昀,先退下,有话回头再说。
1789s 多谢你在我陛下大败蒙羞之际,前来为世言和。
1810s 此恩此情,感激不尽啊。
1813s 二弟不必客气,陛下有无大碍啊。
1818s 陛下方才怒火攻心,现在已安然睡去了。
1822s 那就好,那依你之见,陛下这回还会愿意和东吴再结盟号吗?
1833s 陛下不会愿意,但是他会同意的。
1839s 此话何意啊?
1841s 因为我们别无选择了。
1844s 父王你醒了?
1868s 父王你睡了一整天了?
1875s 一整天就这样一直?
1884s 丞相安排他到管邑中住下了。
1916s 丞相
1917s 何意什么何意?
1925s 和东吴重结盟号,共举曹。
1932s 儿臣想起来了,丞相说等父王醒来以后请旨呢?
1942s 他懂啊。
1944s 儿臣遵奉父王旨意。
1953s 你为什么就不能自己有个主意,别忘了。
1961s 儿臣不敢自作主张。
1968s 龙姓汉。
1982s 不会的,父王绝对不会死的,绝对不会的。
1988s 不要回避。
1989s 我问你。
1992s 儿臣,儿臣从来没有想过这些事情,儿臣只想。
2005s 想什么?
2008s 儿臣只想一辈子做儿臣。
2010s 父王那盏灯灭了。
2022s 既然灯熄了,该怎么办?
2028s 儿臣遵奉父王旨意。
2032s 要活得多。
2053s 不不不,儿臣不要生在百姓家里。
2056s 儿臣愿意一辈子侍奉着父王,愿意一辈子做儿臣。
2061s 孙权监盟号。
2084s 请先生谢见。
2093s 臣丽颜叩见陛下。
2105s 谢陛下。
2113s 你先帝儿去了。
2131s 陛下如此说话。
2146s 朕已年过六训了,死有何憾未成。
2166s 下天命,定会转悠未安。
2185s 陛下请讲。
2188s 朕纵横天下四十载,你与皇权等人俊杰。
2204s 不岂是你,更是朕最出色的川蜀人臣们心中。
2233s 你为何成相?
2245s 臣想到了,若是粉身碎骨,也难以报答。
2401s 誓死与成相,同心同德,太子。
