12s 成相有令,攻进众地,外臣只可到此为止。
1273s 杀什么人嘛,
1275s 但是我一直担心,
1277s 有人在我睡觉的时候行刺我,
1280s 怎么会呢,
1281s 丞相多虑了,
1282s 怎么不会,
1284s 当年,
1285s 我就是在董卓睡觉的时候行刺他的,
1288s 我能刺人,
1289s 人也能刺我,
1291s 所以就算是在睡觉的时候,
1293s 也不可不防啊,
1296s 那丞相是怎么提防的?
1301s 我就故意扬言,
1304s 说我好梦中杀人,
1306s 所有人在我睡觉的时候靠近,
1308s 都会有生命危险,
1310s 下人将信将疑,
1314s 这可不好,
1316s 于是,
1318s 今日上午,
1320s 我就再踏上假妹,
1322s 说梦话,
1324s 下人以为我在唤她,
1327s 就上前伺候,
1328s 我大叫一声,
1329s 拔剑便刺,
1330s 杀完了,
1332s 我回去接着睡,
1334s 睡醒了,
1337s 假装不知道,
1338s 一无所知,
1340s 悲痛万分,
1344s 我想此时此刻,
1346s 草草梦中杀人的事,
1349s 会一传十,
1350s 十传百,
1352s 从今往后,
1354s 没有人敢在我睡觉的时候靠近我,
1357s 原来,
1359s 丞相不在梦中,
1361s 是世人,
1362s 却在梦中,
1363s 除了你刘皇叔,
1365s 来,
1366s 好风啊,
1378s 风从虎,
1380s 云从龙,
1381s 龙虎英雄,
1382s 傲苍穹啊,
1384s 说得好,
1386s 宣德啊,
1387s 你九历四方,
1389s 越人无数,
1390s 必然接纳过不少英雄豪奸,
1393s 你说说,
1394s 谁,
1395s 才是当时英雄?
1397s 岂敢岂敢,
1398s 在下一双俗眼,
1400s 哪里识得什么英雄?
1402s 说说,
1403s 不用客气,
1404s 就算是未曾谋面,
1406s 也会,
1407s 有耳闻嘛,
1408s 说说,
1412s 怀南元树,
1413s 有称帝之志,
1415s 虽称帝失败,
1417s 但曾经独霸一方,
1419s 算得上是英雄了,
1421s 败君之将,
1422s 忠忠枯骨,
1424s 他活不了多久了,
1426s 早晚备备我所请,
1428s 那,
1432s 河北元绍,
1434s 祖上四世三宫,
1436s 兵精两族,
1437s 虎拒千里济州,
1439s 而且图谋天下,
1441s 他算得上是英雄。
1443s 元绍,
1444s 色利而胆薄,
1447s 优柔寡断,
1448s 做大事而牺牲,
1451s 见小利而妄议,
1454s 绝非英雄。
1457s 有一人,
1458s 名列当世八郡,
1460s 威震九州,
1462s 刘景升,
1463s 可称得上是英雄?
1465s 刘表,
1466s 有名无实,
1469s 离英雄二字还差得远啊。
1472s 那一州刘继玉,
1474s 可称得上英雄吗?
1476s 柳章,
1478s 虽然是皇室宗亲,
1480s 不过是御阶下的一条看门狗而已。
1484s 再有一人,
1488s 血气方刚,
1490s 江东领袖,
1492s 孙伯福,
1493s 一定可称得上英雄了。
1495s 孙策是靠其父孙坚成名的,
1498s 不算英雄。
1500s 那,
1501s 马腾张秀,
1504s 韩髓等辈,
1506s 丞相认为如何?
1508s 都是些昏昏沥沥的徒,
1511s 陆路小人,
1512s 何足寡持?
1513s 除了这些,
1514s 在下实不知道,
1518s 该有谁称得起英雄。
1520s 那我告诉你,
1522s 所谓英雄,
1523s 应该胸怀大志,
1526s 负有良谋,
1528s 上,
1530s 能洞察宇宙之妙,
1532s 下,
1534s 能吞吐天地之机。
1536s 丞相说得好,
1538s 可是,
1539s 如此高的评价,
1541s 天下谁人挡得起?
1543s 天下英雄,
1545s 唯有刘备,
1547s 和曹操。
1549s 丞相言重了,
1559s 刘备岂敢,
1561s 丞相相提并问。
1563s 宣德,
1565s 你觉得我不会识人是吗?
1571s 我只说几件事,
1573s 便可简短想。
1575s 请丞相识想。
1577s 你我初次相识,
1579s 是在袁绍的盟军大营。
1582s 当日,
1583s 西梁的勇将华雄挑战,
1586s 一连斩了我盟军三元上将,
1590s 诸侯将士,
1592s 诸侯接经。
1594s 你二弟关羽,
1596s 杯酒喂粮,
1598s 单刀匹马,
1600s 就斩了华雄。
1602s 当他把华雄的头颅
1604s 抛到大堂上的时候,
1606s 满堂诸侯接经,
1608s 唯有你,
1610s 连眼皮都没动一下。
1612s 其二,
1615s 当我率五万铁骑,
1617s 攻伐徐州的时候,
1619s 各路诸侯做官成败,
1621s 没有一个人,
1623s 敢因为逃迁,
1625s 而跟我草草作对。
1627s 唯有你,
1629s 带了区区不到两千人马。
1631s 来了,
1633s 你明知道斩不过我,
1635s 你明知,
1637s 不可为而为之。
1639s 为何?
1643s 仁义。
1645s 你为仁义而死,
1647s 可以不计生死,
1650s 愿为天下贤。
1652s 皇帝,
1654s 我奉旨逃逆,
1656s 照天下诸侯来源,
1658s 却没有一个人来助我。
1660s 当我到达前线的时候,
1662s 又是你,
1664s 在那儿等我。
1666s 虚之我根本就没有
1668s 发诏给你,
1670s 你却来了,
1672s 为何呢?
1674s 因为你是汉帝后裔,
1676s 你最恨奸贼篡你。
1682s 是。
1684s 原来我以为,
1686s 仁义就是仁义,
1688s 却有它在。
1692s 后来我明白了,
1694s 仁义到了你这儿,
1696s 就不光是
1698s 世道人心了,
1702s 它还是杀人的利器。
1704s 你的兵器不是双骨剑吗?
1708s 在我看来,
1710s 一把叫仁之剑,
1712s 一把叫义之剑。
1716s 有了这两把剑,
1718s 还能不是英雄吗?
1720s 见笑,见笑。
1741s 一阵之危,
1743s 乃至于此。
1745s 这雷把我吓死了。
1747s 英雄还怕打雷吗?
1749s 迅雷乃天意。
1754s 世人谁敢不为天意?
1758s 况且,
1760s 刚才丞相所言,
1762s 句句也如雷关耳啊。
1764s 你看我说的对吗?
1766s 说的对。
1768s 在下,
1770s 也有一点疑问。
1772s 敢请丞相直言相告。
1774s 请讲。
1776s 如我所料不错,
1778s 丞相好几次,
1780s 都想杀在下。
1782s 为何到现在,
1784s 还不杀呢?
1786s 问得好啊。
1790s 贤弟问得极是。
1794s 我也把实话告诉你吧。
1796s 第一,
1798s 得不得。
1801s 自古以来就是英雄相系嘛。
1803s 第二,
1805s 你虽是英雄,
1807s 却无用武之地。
1809s 一个无用武之地的英雄,
1811s 是无害于我曹操的。
1813s 所以,
1815s 我才能跟你相敬如宾,
1817s 青梅竹酒,
1819s 论英雄。
1829s 谢丞相。
1831s 来。
1833s 大马来报,
1846s 公孙瓒。
1848s 七日内,连下幽州七郡,
1850s 并得祥族十八万,
1852s 粮草三十一万弹。
1854s 各种兵马器械无数。
1861s 徐先生,
1865s 公孙瓒生死如何?
1869s 公孙瓒战败之后,
1871s 筑起了一座易经楼,
1873s 楼高十丈,是坚不可摧。
1875s 内屯兵六万,储粮三十一万,
1877s 试图坚守待变。
1879s 谁料想,
1881s 袁绍派人,
1883s 三尺穿洞而入,
1885s 直倒易经楼下,
1887s 然后放起了大火,
1889s 公孙瓒是走投无路,
1891s 先杀了自己的妻妻,
1893s 再杀此内,
1895s 最后,他自尽了。
1899s 公孙瓒是我至娇,
1901s 待我有厚恩,
1903s 不料,
1905s 就是这般下场,
1907s 惜在痛在。
1909s 公孙瓒
1911s 能败于袁绍这我,
1913s 早有预料。
1915s 但我没有料到的是,
1917s 他败得这么快。
1919s 我原以为,
1921s 他再怎么窝囊,
1923s 也能挺到明年吧。
1925s 人算不如天算。
1932s 丞相日理万机,
1934s 容在下告退。
1936s 你坐这儿。
1938s 徇玉,
1940s 玄德是我贤弟,
1949s 你但说无妨。
1951s 实力大增,
1953s 现有兵马六十万到七十万,
1955s 战将上千元,
1957s 并熊居寄青幽病四周,
1959s 东临沧海,
1961s 西至河内,
1963s 三分天下,
1965s 他自己独占一分以上,
1967s 而且协大胜之势,
1969s 兵风正劲。
1971s 在下担心,
1973s 主公与袁绍的决战,
1975s 就在眼前了。
1977s 立刻你一道诏书,
1979s 以天子之名,
1981s 给袁绍赐恩赏功,
1983s 马上给他加官进爵,
1985s 把他夺到手的城池土地,
1987s 统统封赏给他。
1991s 遵命。
2000s 你不想与袁绍决战了吗?
2002s 决战已经开始了。
2006s 就从我的魅缘示弱,
2008s 开始。
2019s 平身。
2021s 臣谨奏,
2048s 大将军袁绍,
2053s 成天威,率王氏,
2055s 身兼士卒,
2057s 为朝廷一举剿灭公孙瓒,
2059s 收取幽州七郡之地,
2061s 朝廷应于恩旨奖赏,
2065s 竟封袁绍为
2067s 护国公,
2069s 想九夕领天下兵马大元帅。
2073s 爱卿竟然为袁绍请功。
2075s 朕
2077s 朕准奏。
2079s 禀陛下,
2093s 逆贼袁绍在淮南交涉淫役,
2095s 使得部下纷纷叛乱。
2097s 据报,袁绍与将传国玉玺
2099s 转赠袁绍。
2101s 请袁绍称帝,自己甘为其臣属,
2103s 并率领本部参与兵马,
2105s 前往济州投靠袁绍。
2107s 现在玉玺还在袁绍手中。
2120s 不好,
2123s 袁绍和袁绍这对堂兄弟
2125s 要是一旦相和,
2127s 势头就更大了。
2129s 禀陛下,
2139s 丞相,
2143s 臣意绝不可使二人合兵。
2145s 袁绍如投袁绍,
2147s 必经由徐州一带。
2149s 臣对那里的山川地势
2151s 了如指掌。
2153s 臣愿率军劫击,
2155s 生秦袁绍,
2157s 现于朝廷。
2171s 皇叔壮志可嘉呀!
2173s 丞相,
2177s 袁绍是一定要阻击的,
2179s 但是刘备兵少,
2181s 我怕他不是袁绍的对手。
2183s 那么丞相可以助他一些兵马,
2185s 令他为朝廷建功啊?
2189s 爱卿啊,
2191s 刘备乃是皇亲后裔,
2193s 如果可以让他生秦逆贼袁绍的话,
2195s 正可大展我列祖列宗的天威,
2197s 告慰天下呀!
2201s 禀陛下,
2206s 丞相,
2208s 臣愿以十五日为期限,
2210s 如不能擒拿袁绍,
2212s 臣愿受军法处置。
2214s 刘皇叔如此忠义,
2218s 丞相,
2220s 难道你...
2222s 宣德,
2245s 我助你五万精兵阻击袁绍,
2247s 但这些人马,
2249s 要由朱京,
2251s 陆昭二位将军执掌,
2253s 由他们助你出征。
2255s 我令你,
2257s 速速赶往徐州,
2259s 阻击袁绍,
2261s 务必,
2263s 禀袁绍回朝。
2265s 刘备,领命。
2267s 刘皇叔,
2295s 国舅为何在此?
2297s 陛下无法出宫,
2299s 特令我前来为将军送行。
2301s 陛下说,
2303s 他之所以极力促成你出征袁绍,
2305s 就是要你在外,
2307s 谋利大业。
2309s 今后,
2311s 汉室的安危荣辱,
2313s 就托付于你了。
2315s 臣理解圣意,
2319s 绝不辜负陛下。
2321s 陛下还说,
2323s 自今日起,
2325s 他会在宫里,
2327s 为将军奔向祈祷,
2329s 祝将军成功。
2331s 臣刘备,
2333s 誓慕皇恩,
2340s 万死必报。
2344s 崇先生,
2346s 我找一下丞相。
2348s 您看,
2350s 丞相还没起床。
2352s 那你赶紧把丞相叫起来,
2354s 我有要事向他禀报。
2356s 丞相尚在睡梦中,
2358s 在下万万不敢。
2360s 你是怕丞相梦中杀人是吧?
2365s 是啊,
2367s 丞相睡梦中,
2369s 任何人不得靠近。
2371s 丞先生,
2373s 丞先生,
2384s 丞先生,
2386s 丞先生,
2388s 丞先生,
2393s 丞先生,
2396s 丞先生,
2398s 丞先生,
2400s 丞先生,
2402s 丞先生,
2407s 丞先生,
2409s 恐怕 sufficiently鬼 csak hoard
2411s 相信我 điều理。
2413s 一败两归。
2417s 这四个人,
2419s 恨不得韩 amplifier,
2421s preciphythm,
2423s 人,
2425s 人,
2429s 传命
2431s 钟将军张辽
2433s 偏将军徐楚
2435s 率五百铁骑星夜追赶
2439s 务必追刘备回朝
2442s 我这就去办
