62s 敬请上路,老主公去吧。
789s 损失了我东吴
791s 大半的骑兵战甲
795s 老臣看则
797s 说你是晴天之助
800s 并以全家性命
802s 担保你担此大任
804s 想来
807s 江东反对此意者
810s 也不在少数吧
812s 实备于看则
814s 如此看来
816s 江东文武必不服我
823s 在下
825s 乃一介书生
828s 才疏德薄
831s 不配当此重任
832s 先兄孙策
843s 提令江东时
845s 二十一岁
848s 我继承父兄大业
851s 年方十八
854s 周瑜驰逼建功
855s 也不过三十岁
857s 鲁迅
858s 江东自古英雄出少年
861s 现在是威王之际
863s 我既然用你
865s 定与你荣辱与共
866s 生死同命
876s 谢主公
880s 江边已设好将坛
882s 明日午时
884s 江东文武旗帜坛下
886s 我会登坛拜帅
888s 为你扬位
891s 末将遵命
898s 邯郸周泰
901s 末将在
903s 孤
904s 将十万精锐托付给你们
908s 你们却轻举妄动
911s 首战
912s 便挣我七万将士
915s 四白
916s 夺君位丧尽
922s 动无万机
926s 末将罪无可赦
928s 愿受君罚
931s 大人
933s 在
935s 将这两个败军之将
937s 拖下去
938s 应前正法
940s 诺
941s 主公
942s 主公
943s 邯郸周泰
945s 罪敢论战
946s 可其二人
947s 为东吴立过书勋
949s 恳请主公暂设其死
952s 令其回到镇前将功折罪
955s 法不正令不行
957s 今要关头更要严刑俱法
959s 拖下去
960s 诺
962s 主公呢
963s 我意已决
964s 你不必多费唇舌
966s 且慢
978s 主公授我大都督之职
982s 依主公之授权
985s 三军将士的生死
987s 当归兵马大都督执掌
991s 你有何意啊
993s 赴池口之战
995s 邯郸周泰二家
998s 有罪
999s 可也有功
1001s 罪在清帅出击遭敌埋伏
1004s 功
1005s 则是射杀了
1006s 蜀军的五虎上将黄忠
1009s 为夷灵的坚守与加固
1012s 争取了二十天的时间
1015s 这二十天
1017s 现在看来是微不足道
1020s 可在日后
1021s 极有可能成为
1022s 五鼠之战胜负之关键
1025s 末将建议
1027s 剥夺邯郸周泰二将军中之职
1031s 罚往军前效力
1037s 你是大都督
1039s 就都听你的吧
1042s 谢主公恩典
1043s 谢我作甚
1045s 又不是我宽恕你们
1049s 末将叩谢大都督
1053s 听着
1054s 你们折损了主公七万精锐
1057s 日后定当斩杀七万蜀军
1061s 否则
1062s 本都督两罪并罚
1065s 遵命 遵命
1069s 鲁迅
1071s 战事之事
1073s 就都交给你了
1076s 我刚接到来信
1077s 太夫人救兵复发
1080s 我要回监业去了
1089s 恭送主公
1105s 禀陛下
1106s 这些营寨都是吴军新住的
1108s 十天前我率少级探查时
1110s 对面还一无所有
1112s 现在吴军已掌山寨
1114s 平险拘守
1115s 作我大军进路
1117s 也就是说
1118s 吴军在十天里
1119s 不声不响地
1120s 住起了几十座营寨
1122s 本事不小啊
1125s 查清楚了吗
1126s 领军的将军是谁
1129s 据刚刚招获的俘虏说
1131s 半月前
1132s 孙权任命陆迅
1134s 为都务大都督
1135s 陆迅
1137s 我没有听说过
1140s 陛下
1141s 陆迅 自薄言
1143s 吴郡人士
1144s 此人乃是
1145s 汉城校尉陆鱼之孙
1148s 九江都尉陆郡之子
1150s 柬吴侯 孙策之婿
1152s 据说此人三年前
1154s 做过吕蒙的副都督
1156s 专门掌管粮饷军械
1159s 不到两个月
1160s 即被孙权罢免
1162s 此后未再担任过
1162s 任何军职
1164s 只在家中读书
1166s 多大了
1168s 二十七岁
1169s 孙子笨
1175s 看来通吾真是无人可用了
1177s 竟然拎住个书生来做都督
1180s 且不说他从未统兵征战
1182s 只怕连他帐下的将军
1184s 也未必服他
1186s 陛下
1188s 臣觉得
1190s 孙权既然敢在危急关头
1192s 任用此人
1194s 这就足以证明
1196s 此人不可小识
1199s 且试试他的能力
1201s 关兴听令
1202s 在
1204s 陆迅在十天之内
1206s 住起的这些营寨
1208s 朕令你在五日之内攻破
1211s 令必
1213s 马梁传命
1214s 在
1214s 待吴军山寨攻破后
1216s 三军即行开进
1218s 至萧亭扎营
1220s 诺
1221s 此攻击寨口
1222s 我军屡粗退敌
1230s 但他们依然踩着尸体往上来了
1232s 战
1233s 诺
1234s 禀将军
1236s 禀将军
1237s 蜀将关兴带其部下突破南城
1239s 送将军阵亡
1240s 战
1241s 诺
1242s 报
1243s 将军
1244s 蜀军火箭射入营中
1245s 后营起火
1247s 战
1248s 死战
1249s 遵命
1251s 海当
1252s 计战快两个时辰了
1254s 这时候
1254s 如果有一支精兵能冲出营寨
1256s 定能杀蜀军一个出其不意
1258s 人仰马分哪
1260s 不行啊
1262s 大都督令我们坚守不战
1266s 你忘记了吗
1268s 五尺口之败
1269s 令我二人名声扫地
1270s 此时不建功
1271s 更待何时啊
1273s 击寨进攻太过冒险
1276s 万一丢了营寨怎么办
1278s 我宁可和他们拼了
1280s 也不厌坐着挨打
1282s 我领三千人马冲出营寨
1285s 你坚守阵地
1285s 站住
1286s 不行
1287s 将军
1289s 二位将军
1290s 大都督降令
1290s 放弃索尔山寨
1291s 后撤三十里
1293s 胡说
1297s 大都督严令我们坚守二十日
1300s 为何十日不当
1302s 你轻言厚辄
1303s 就是
1304s 朝令夕改
1305s 如同儿戚
1307s 大都督说了
1308s 入围令不撤
1309s 战无赦
1313s 我们原本就欠鲁迅一条命
1315s 他爱斩就斩
1316s 我不撤
1317s 不
1318s 回禀大都督
1321s 韩当周泰
1323s 奉命即撤
1325s 遵命
1329s 左弓弩手
1330s 上城放箭
1331s 箭矢射击后
1332s 轻言厚辄
1338s 陛下
1339s 吴军二十五座营寨
1341s 不到十日就被我全部攻克
1343s 战敌两千多
1344s 韩当周泰弃寨西逃了
1351s 万兴
1353s 你怎么了
1355s 你受伤了
1358s 陛下
1359s 这些都是吴军的心
1364s 你们这仗打得不错
1366s 让你的部下休整几天
1368s 以后再全军开进
1370s 等过了夷令山脉
1373s 咱们就是一马平川
1375s 可以直下荆乡了
1378s 去
1379s 把身上的血迹擦一擦
1383s 遵命
1387s 陛下
1389s 少级探保
1390s 三十里外山坡上
1391s 又出现吴军寨墙
1393s 约有二十余座
1395s 又有了
1412s 陛下
1412s 给我两万军
1413s 我十日之内攻破它
1416s 营寨之后
1424s 三十里外
1425s 再出现吴军营寨怎么办
1428s 那末将就再攻破它
1430s 我就不信
1431s 吴军能在座座山上
1432s 都住满了营寨
1435s 那倒不会
1442s 你率领三万精兵
1445s 绕过这些山寨
1447s 直取三十里外的
1449s 吴军营寨
1450s 只要把那里的营寨
1452s 拔除了
1453s 这里的敌军
1454s 就成了瓮中之边
1455s 不攻自破
1457s 遵命
1468s 关键在于
1469s 必须要越过夷令山脉
1475s 才能进入荆乡平原
1481s 而越过夷令山脉
1484s 又必须拔除这些钉子
1489s 蜀军张包
1490s 率军猛攻我夷灵城
1492s 大都督始终不肯发兵救援
1494s 还说什么孙桓必能牵手
1499s 刘备
1500s 十日之内连破我两道营寨
1503s 进军数百里
1504s 大都督
1505s 居然没有退兵之策
1507s 大都督为何不让我目睬
1508s 大都督声仗
1520s 参拜大都督
1526s 人都到齐了吗
1529s 后将军
1530s 附军未到
1540s 站住
1545s 率杖点兵
1547s 本都督都到了
1549s 你为何耻误啊
1551s 末将营寨太远
1553s 因此耻误
1554s 既然耻误
1556s 为什么不叩败谢罪啊
1559s 恕我直言
1560s 本将不败不战自退的都督
1566s 来人
1567s 在
1572s 拉出去
1574s 打四师军棍
1576s 诺
1577s 陆迅
1578s 有能耐去和刘备打呀
1580s 在我身上耍足威风
1582s 本都督的威风无处不在
1586s 我先打你
1588s 再打刘备
1590s 四师军棍算个屁
1594s 说得好
1596s 军机在先
1599s 口出不讯在后
1602s 捉打八师军棍
1604s 诺
1606s 陆迅
1607s 陆迅
1608s 陆迅
1610s 大都督
1617s 我知道你要说什么
1619s 你想说
1621s 傅俊是主公的内地
1624s 打伤了主公面子上不好看
1628s 可是军法无情
1630s 还有犯者
1634s 我必请出王界
1638s 斩
1639s 诺
1644s 蜀军连破我两道营寨
1646s 本部已失去了屏障
1648s 下面的仗怎么打呀
1650s 三十里外
1653s 我已经为你们住好了
1654s 第三道营寨
1655s 共二十座
1657s 你和邯郸所部尽助把守
1660s 这一次
1662s 你们只需要守五天
1665s 五天之内仍然不准出击
1668s 五天之后
1671s 如果蜀军攻击猛烈
1675s 你们就继续后撤罢了
1678s 五十里外
1680s 我会为你们准备好
1681s 第四道营寨
1683s 请问大都督
1684s 我们一退再退
1685s 退到什么时候是逃啊
1690s 这个嘛
1693s 到时候你们自会知道
1696s 恳请大都督开恩
1698s 现在就告诉我们
1700s 已安军心
1702s 大都督
1705s 好吧
1709s 我们最后的防线
1712s 是萧亭山
1714s 蜀军攻到那里
1717s 应该是两个月后吧
1721s 我们现在要做的
1724s 就是要争取一切时间
1728s 拖垮蜀军
1730s 以待天时
1731s 两个月后
1734s 我自有三十万雄兵
1737s 从天而降
1742s 三十万雄兵从天而降
1744s 简直就是痴人说梦啊
1746s 我担心大都督并无良策
1748s 他现在是表面镇定
1751s 内心恐惧不安哪
1752s 主公让他做大都督
1754s 早晚得大祸临头啊
1755s 不说了
1757s 战死报国罢
1758s 死又何惧啊
1759s 怕就怕活得窝囊死的冤
1766s 丞相 丞相
1772s 陛下的大军又告捷了
1776s 进展到何程度了
1778s 陛下在富池口设伏
1780s 一举歼灭了吴军精锐七万余
1783s 之后灰尸东进
1785s 先后攻破吴军三道连营
1787s 进九十多座营寨
1791s 陛下现已深入吴径二百里了
1793s 吴军上下是一片混乱
1798s 想不到啊
1801s 进展得如此顺的
1804s 是啊
1806s 孙全用陆迅为大都督
1808s 此人太过稚嫩
1811s 在军中有无威信
1813s 连吃败仗也是在所难免的
1816s 孙全并不会打仗
1818s 凡战必败
1821s 但是他有一条好处
1822s 就是有知人知命
1825s 知道谁是梁家
1827s 知道该找谁为自己打仗
1830s 周瑜 鲁素 吕蒙
1833s 他就用对了
1836s 如今用陆迅
1838s 看来陆迅也有过人之处
1845s 陛下还有什么话捎来吗
1847s 陛下传话说
1848s 蜀军年内定可荡平东吴
1851s 请丞相斟酌迁都何处
1859s 丞相 怎么了
1865s 没什么
1867s 只是有些担心
1870s 可担心什么我也不清楚
1873s 现在就想到荡都了
1876s 远隔两千里
1878s 我仿佛就能听见
1879s 将士们的笑声
1884s 举笔来
1886s 我给陛下回一封信
1887s 你亲自送到军中
1894s 吴军败退了五十里
1896s 这第三道连营又有劲势了
1900s 对 这可怎么办
1902s 这陆迅误国误军
1904s 再不撤换东吴无救
1907s 是 自从陆迅挂帅后
1909s 我军是打一仗败一仗
1912s 再照这么下去
1914s 不出半年
1915s 刘备的皇妻
1916s 就可以插到剑叶的城头上了
1919s 待会主公来了
1921s 我们一起进剑
1922s 请主公换帅
1925s 对 我就是寇破头颅
1928s 也要寇请主公罢免陆迅
1930s 罢免陆迅
1931s 对对对 罢免陆迅
1933s 紫布 你有何意啊
1937s 主公用陆迅为帅
1941s 我原本就不同意
1944s 我言已尽
1946s 只待殉国罢了
1949s 紫布之中 故甚为感动
1952s 但殉国之言
1953s 故不以为然
1956s 主公
1965s 要逼宫不成吗
1972s 听着
1973s 我是不会换陆迅
1977s 打仗的门法
1978s 千奇百怪 层出不穷
1981s 我不重视过程
1982s 只重视最终的结果
1985s 别说陆迅现在连败三阵
1988s 就是连败十阵
1990s 我也绝不会换他
1993s 主公
1995s 邯郸周泰
1997s 在富池口只败一阵
1999s 你就要杀他们
2000s 为何陆迅连战皆败
2003s 你却置若罔闻哪
2006s 记着
2007s 败与败不同
2009s 邯郸周泰之败
2012s 损失东吴几万将士
2014s 而陆迅之败
2015s 只不过留给刘备了几座空营
2018s 并无多大损害
2022s 所以
2023s 二者不可并论
2026s 就算陆迅损兵不多
2028s 但丧成师弟之罪
2030s 也非同小可
2032s 主公若不予追究
2034s 以后守成将士
2036s 岂不可以个个弃成而逃了吗
2038s 主公
2040s 蜀军多
2062s 吴军胜
2065s 更何况
2067s 蜀军铁技
2068s 胜过吴军
2071s 所以丢几座城池
2074s 必不可免
2077s 我东吴所需的
2079s 不是几座城池
2082s 几土寨墙
2083s 而是军力
2088s 记住
2089s 只要军力和斗志二者在
2092s 不管失掉多少城池
2094s 我们都能把它拿回来
2096s 主公
2100s 臣原本不想说话
2103s 但有些忍耐不住
2107s 说吧
2108s 请主公亲自前往江口大营督战
2115s 臣以为
2117s 关键时刻
2118s 主公在与不在
2122s 大不相同啊
2140s 各位将军都到齐了吗
2142s 启禀大都督
2143s 都到齐了
2150s 你们有谁能够告诉我
2153s 自本都挂帅以来
2155s 我军败了多少阵了
2164s 怎么没人说话呀
2167s 回大都督
2168s 你已经连败四阵了
2170s 自你挂帅以来
2171s 末将打的败仗
2172s 比从军以来都多
2178s 你心中有气对吧
2181s 不错
2181s 我气冲斗牛
2183s 夫君 放肆
2185s 傅将军说得在理
2188s 不算放肆
2192s 接着说
2192s 说就说
2194s 我傅军从军为什么
2195s 一是保主公 保江东父老
2198s 二是为了杀敌建功
2200s 如果只打败仗
2201s 那便是欺食大辱
2202s 我生不如死
2207s 还有谁是和傅将军一样想法的
2210s 大都督
2211s 我等你与将军见证
2229s 我们已经是退无可退了
2233s 列位将军请看
2236s 那就是伊岭山脉最后一道山梁
2240s 越过它
2242s 就是一马平川直下金香
2245s 再无险关可守
2250s 我已经在那里
2252s 住齐了五十座坚固的营寨
2255s 那也是我军最后的防线
2257s 从今日起
2260s 自本都以下
2262s 所有将士
2264s 都必须和营寨共存亡
2267s 我等愿意死
2272s 拿酒来
2273s 诺
2274s 八师 死战不退
2314s 击败刘备
2315s 死战不退 击败刘备
2318s 陛下
2319s 末将眼看就要攻下山寨了
2321s 可是吴军就像换了个魂似的
2322s 各个死战不退
2324s 左营一万兵勇猛攻炮战
2326s 血人一天
2327s 也没能得手
2330s 右营攻打陆彦平
2332s 也遭到了吴军的猛烈抵抗
2334s 伤亡不小
2335s 吴军正在做困兽一刀
2354s 这说明
2355s 他们知道自己的死期不远了
2361s 听令
2365s 各营组成干死队
2368s 由各营将军亲自率领
2371s 明天继续攻打
2373s 三天之内务必全部攻占
2377s 遵命
2380s 陛下
2386s 我军征战
2387s 一快两个月了
2390s 将士们都极为疲惫
2392s 可否休息一天
2395s 待后天
2396s 再攻山寨
2397s 你们疲惫了吗
2417s 吴军比你们更疲惫
2423s 平兵战平兵
2425s 就看谁能刺出最后一枪
2429s 这个时候
2432s 谁要是敢停下来喘口气
2434s 那么对手的枪精
2435s 就会刺到你的胸膛上
2442s 把后军各营
2444s 全部调至萧廷前线
2447s 从明天开始
2449s 轮番攻杀
2451s 哪怕他吴军营寨
2453s 就是一座泰山
2456s 我也要一寸一寸的
2458s 把他砍平了
2461s 遵命
