4s 此时的来意我已经知道了
583s 全部委于他手
585s 就连我们兄弟
587s 也要听他的号令
589s 大哥你就不怕他趁机会
592s 做了荆襄之主吗
597s 二哥说得是啊
598s 那孔明一肚子花花肠子
602s 子龙 黄忠 魏妍
604s 他们这干人
605s 对他那简直是敬佩之极呀
609s 尤其是那个赵云
611s 最近他娶的一房妻子
613s 也是孔明做的美
615s 他对军师佩服的
617s 更是无体投地
619s 言听既足
621s 甚至比对大哥更敬了
625s 大哥你心怀坦荡
627s 我等兄弟不必多言
629s 只是你这一走
631s 不知何日能归
633s 时间长了
635s 人心都付了他
637s 恐怕这荆州之主
639s 就不姓刘了
641s 哥 大哥
656s 你
663s 二弟 三弟
666s 以后
668s 如果我再从你们嘴里
669s 听到这样的话
671s 我再听到你们议论孔明先生
674s 我就扎聋我自己的耳朵
676s 大哥 大哥
677s 别动
678s 你居然这样议论孔明先生
689s 我回头看看
694s 在先生出山辅助之前
695s 我们是什么样子
698s 被困在新野小县
701s 兵不稳两千
702s 粮不赢千户
704s 每个人手上都有上万精兵
710s 这不都是拜先生所赐
713s 我今天话说到这儿
721s 私事我们是兄弟
724s 公事我们是主臣
726s 我既然说了把荆襄之事
728s 全部托不给军事
730s 你们就必须照办
732s 如有什么违抗
736s 无论我在东宫
738s 还是回到荆襄
739s 它倒结果了我自己的性命
743s 大哥 大哥
746s 我们兄弟听你的就是了
749s 我们都听你的
756s 三弟
757s 这把刀我先留下
788s 先生
789s 主公
790s 来 先生快坐
792s 没打扰你吧
794s 主公
795s 瞧你说的
801s 我也没别的事
803s 就是
805s 明天要去建康了
807s 来和你画个别
811s 先生在补光
813s 是啊
815s 我已经补了三卦了
819s 倒是凶光
833s 我还是那句话
836s 你能不能改个主意啊
837s 孔明啊
843s 我这是别无选择了
846s 自卓俊起兵
848s 到今天二十多年了
852s 我还一事无成
856s 对于一个快五十岁的人来说
860s 上天还会留给他多少时间呢
863s 如果我不拼死
865s 保住这片来之不易的土地
868s 那中兴汉室的愿望
870s 就只能是水中之月了
881s 我已说句心里话
883s 虽然我口口声声
886s 不赞成你去
889s 但是我心里
890s 还是希望你能去
899s 不让主公去是出于情
902s 担心主公的安危
904s 让主公去是出于礼
907s 我知道这是大局
909s 请主公恕罪
912s 我也是两难难
913s 你把荆州之事竟托付于我
926s 我怕我自立尚浅
927s 不能服众
929s 负了主公的重托
931s 我知道你在担忧什么
937s 你在担忧
940s 我二弟和三弟
943s 他们与我桃园结义后
946s 纵横天下
947s 得了一些虚名
949s 自先生出山以来
951s 他们虽然被先生的才气所折服
955s 但毕竟与我的感情太深了
958s 我说过
960s 我走以后
962s 以我的名义
962s 从江东来的一切号令
965s 他们可以一概不遵
968s 但如果我真的遇到什么危险
970s 他们难免
971s 会不听你的差遣
973s 做出一些蠢事来
976s 主公连这个都想到了
979s 这确实是我忧虑之处啊
981s 不用不必担心
998s 我这就
999s 留一道密令给你
1000s 这两位兄弟
1008s 不听你的号令
1019s 你就把这道密令
1021s 交给子龙
1034s 这怎么能行呢
1036s 云长与易德
1037s 跟随主公出生入死几十年
1039s 不管二位将军做什么
1041s 都不该这么对他们的
1054s 我漂泊一生
1056s 逆境遁错
1058s 只有遇到了你
1061s 我才有了今天这个局面
1064s 我心里清楚
1067s 只有你
1069s 能帮我完成
1070s 中兴汉室的梦想
1072s 如果我这次
1077s 真的回不来
1080s 荆州也只能交给你
1082s 主公
1087s 至于我这两个弟弟
1089s 你能用
1094s 则用着
1096s 不能用
1098s 就弃之
1100s 不要有任何顾忌
1103s 跟汉夜 中兴比起来
1106s 我们兄弟间的情分
1109s 不算什么
1112s 主公
1113s 孔明
1115s 你对在下真是
1116s 不攻就放行
1122s 去吧
1123s 主公是天人
1128s 我这挂号
1129s 能补人间生死
1131s 但补不了天际
1134s 我想主公
1135s 定能平安回来的
1136s 是老天不开眼
1142s 出了什么意外
1143s 定和云长易德
1146s 尽心辅佐少主
1149s 诛贼强悍
1164s 我只知道先生的志
1168s 今天
1169s 我才知道先生的忠啊
1177s 这我就放心了
1179s 我可以放心地走了
1181s 此去动物
1186s 路途艰险
1188s 主公还是带上子隆吧
1191s 他公马贤手
1192s 一身势难
1193s 办事稳当
1194s 有他在主公身边
1197s 我也好安心一些
1198s 至于这封密令
1203s 在下
1204s 孔明啊
1240s 能给我弹一曲吗
1242s 我已经很久
1243s 没有听你弹琴了
1250s 这张琴
1252s 自赤壁之后
1254s 我就没有弹过
1258s 今夜我就弹上一曲
1261s 算是为我主公送行
1346s 好久没心情抚琴
1348s 手都生了
1352s 都督的琴声
1353s 清越无比
1354s 沁人心胸
1357s 就如同是
1358s 天上现象的月光一样
1361s 是吗
1364s 你也变得会说话了
1369s 都督
1371s 该服药了
1381s 荆州那边的消息如何
1384s 甘宁派回的细作说
1386s 朱葛亮秘密调集
1387s 关张 赵 黄 四路人马
1389s 急于公安
1390s 大约两万人马
1396s 这朱葛亮到底是跟别人不同
1400s 看出我招亲是假
1402s 修复荆襄是真
1408s 他点破了这桩事也好
1410s 亮他刘备也不敢到建康成亲
1413s 这样我们就可以起兵问罪了
1417s 马上通知三军
1419s 只要刘备拒婚的消息一传出
1421s 立即向公安警发
1424s 一举收复荆襄
1427s 遵命
1446s 你一身势淡
1447s 主公就拜托给你了
1451s 军师请放心
1452s 有我在 主公无忧
1457s 二弟 三弟
1459s 就送到这儿了
1461s 大哥千万要保重啊
1474s 我这里有三个警囊
1475s 分别装了三条计策
1477s 你把它藏好
1478s 按照红黄白的顺序依次打开
1482s 待传开到东吴时
1483s 打开第一个
1485s 按照囊中计策行事
1487s 如果你们能在东吴住到年底
1489s 再打开第二个
1490s 也按照囊中计策行事
1493s 第三个
1494s 待到危难时刻再打开
1497s 切切谨记
1502s 末将记住了
1504s 但愿有助于你们
1506s 军师都保重
1522s 大都督有消息来
1524s 刘备骑车往建康去了
1526s 什么
1531s 他们是走陆路还是水路
1533s 水路乘坐三轨快船
1535s 两真是狡诈
1539s 他让刘备直下建康
1541s 先去了小姐再说
1544s 如果刘备真成了江东女婿
1546s 我们就不好下手了
1553s 都督
1555s 末将请命率水师
1556s 前去劫住刘备
1560s 他们是顺风
1564s 那怎么办
1579s 末将明白
1631s 前面是卢江镇
1633s 江东一带繁华胜地
1635s 咱们走得仓促
1636s 也没带些聘礼
1638s 应该上岸采购一些吧
1642s 何不到建康在采购呢
1644s 那里是江东首府
1645s 物品会更丰富些
1648s 这样
1649s 孙全就会知道我们
1651s 是临时抱佛脚
1653s 与主人不公吧
1656s 好
1657s 那靠岸让人采买些吧
1659s 遵命
1680s 这五百士族
1682s 分成十人一队
1684s 每队带足黄金钱币
1686s 热热闹闹去采购
1688s 要让全镇的人都知道
1690s 刘皇叔父母成亲了
1693s 遵命
1716s 店家
1717s 我有上好的绸缎啊
1721s 禀君爷
1722s 本店经营的
1723s 那都是上好的绸缎哪
1726s 就连太夫人用的
1727s 那都是本店送到侯府里去的
1730s 这些绸缎我全要了
1732s 立刻搁人
1733s 把末将位子传上去
1734s 这 这绸缎你都要了
1736s 那可值三百斤哪
1738s 三百斤算什么
1740s 吴侯的妹子要嫁我家主公了
1742s 那可是千金小姐
1744s 那 那你家主子是谁啊
1746s 刘皇叔
1748s 师父
1749s 我过来采购聘礼了吗
1752s 那可是天大的喜事啊
1754s 伙计们
1755s 快点装会啊
1756s 快点快点啊
1771s 主公
1772s 满街都是传言哪
1774s 说刘备
1775s 来我东吴成亲来了
1778s 而且他们大肆采购聘礼
1780s 昨天他们几乎把卢江镇都买空了
1785s 估计明天一早
1786s 就该到建康了
1792s 怎么来得这么快
1807s 不好
1808s 刘备大肆购买聘礼
1809s 闹得满城风雨
1811s 这件事
1812s 必然会传到母亲的耳朵里
1814s 万一他老人家生气气来
1816s 该如何是好啊
1818s 这件事情
1819s 他可是一无所知啊
1821s 母亲
1838s 子稷
1838s 太夫人
1839s 你下去
1840s 诺
1844s 母亲
1847s 孩儿正要
1848s 你住嘴
1850s 你眼里还有我这个娘吗
1853s 虽说男大当婚女大当嫁
1855s 可我毕竟是你母亲
1858s 你妹子是我女儿
1860s 你做儿子的要嫁我女儿
1862s 竟然不跟为娘的说一声
1865s 你好大的胆啊
1867s 你放肆
1868s 我
1869s 母亲
1871s 孩儿知错了
1873s 这都是朱公瑾的主意
1875s 她想促成
1876s 孙柳两家勤尽之好
1879s 共抗曹军
1882s 难道东吴的男人都死光了吗
1884s 要用我这个女儿来做抵押
1887s 去换取与刘备的联盟
1890s 好
1891s 我记得那刘备
1893s 和你父亲是一辈人
1895s 如今得多大岁数了
1897s 你把自己的七妹妹嫁给他
1900s 你忍得下这个心吗
1903s 母亲 我
1903s 你
1905s 派人去把周瑜换来
1908s 我要骂死他
1914s 好
1915s 还有你
1916s 亏你还是祝国大夫
1919s 看你主子办傻事
1920s 怎么就不知道说句明白话
1928s 叫周瑜来
1930s 我等着
1943s 紫荆
1944s 快起来吧
1945s 想想这戏
1947s 该怎么收场啊
1962s 朱公啊
1963s 刘备现在既然已经来了
1966s 不管这事以后成不成
1968s 你总该先尽地主之谊吧
1971s 这其他的事
1975s 还是等公瑾回来以后
1977s 咱们再议一把
1979s 你先去码头迎接
1983s 留他们在管驿住下
1987s 遵命
1988s 带我上前把他拿下
2019s 慢着
2020s 现在已经下不了手了
2027s 赵将军
2034s 赵云拜见
2035s 赵云拜见大人
2041s 刘皇叔
2043s 刘皇叔一路辛苦了
2047s 紫荆别来无恙啊
2050s 没想到刘皇叔来得这么快啊
2052s 也没事先知会一声
2054s 你看
2055s 我们连古月遗障都没有准备
2057s 实在是抱歉哪
2060s 我是成亲心切
2062s 老天也相佑
2064s 江上一帆风顺
2065s 本来是五日的路程
2067s 三日就到了
2068s 好好好
2069s 刘皇叔请
2074s 我已经叫人洒扫过管驿了
2076s 皇叔先去安歇
2077s 我家主公随后就来拜见
2083s 撤
2089s 紫荆没有准备古月
2091s 却准备了不少精兵战甲
2095s 也许是皇叔驾到的消息传开了
2099s 你看
2100s 连刺史那里都带来了卫士
2102s 来保护皇叔的安全
2107s 东吴朋友想得真是周到
2109s 刘备多谢了
2111s 请
2126s 来人可是大都督
2135s 事情怎么样了
2138s 禀大都督
2139s 末将还是迟了一步
2141s 刘备已经被鲁素迎入管驿
2151s 怎么又让紫荆占了先
2158s 你怎么样
2160s 不安心
2169s 诺
2181s 主公请用膳
2183s 放下吧
2186s 鲁素回来了吗
2191s 他在驿馆为刘备摆酒接风
2206s 紫荆
2208s 是紫荆回来了吗
2213s 周瑜拜见主公
2214s 公谨
2217s 公谨
2218s 身体如何
2220s 还好
2222s 公谨
2223s 你来得正是时候
2225s 刘备已来到建康
2227s 弄得满城风雨
2229s 招亲之事已成难局
2232s 太夫人大发雷霆
2235s 这些事我都已经知道了
2237s 主公
2238s 你是怎么向太夫人解释的
2241s 我跟她说
2242s 招刘备成亲
2243s 是为了孙刘联盟
2245s 可尚未开口
2247s 已遭一头痛骂
2248s 主公
2249s 为今之计必须毫不相瞒
2251s 直言禀报太夫人
2253s 就说招刘备成亲是假
2254s 拘押刘备
2255s 逼还荆州市镇
2258s 而且主公
2259s 您可以将全部罪责
2260s 推到我的身上
2261s 就说是公谨一意为之
2263s 你好不知情
2267s 不妥吧
2269s 如果太夫人觉得
2270s 我们是在欺骗她
2271s 岂不更怒
2274s 江东文武也会大感突然
2276s 只要能够取回荆州
2279s 他们人人都会高兴的
2282s 难道不是这样吗
2291s 还有一件事
2293s 我必须向主公禀报
2295s 公谨
2296s 这是为何
2297s 起来说话
2300s 刘备起刑时
2301s 我已经密令六万大军
2302s 向荆州开拔
2306s 你要动兵袭取荆州
2308s 朱国良早有准备
2309s 你不怕记忆孙刘两家大战吗
2311s 主公
2312s 此战早晚不免
2313s 现在这个时机恰恰对我们有利
2316s 刘备已到建康
2318s 他是差池难飞
2320s 荆州现在群龙无首
2322s 我已经做好了万全的准备
2324s 此战必胜
2326s 主公如果担心天下人非议
2328s 那好办
2329s 等荆州之后
2331s 主公可将全部罪责
2334s 推到我的身上
2336s 除以军法
2338s 如果我向上人头
2340s 堵得了天下人的嘴
2344s 我也含笑九泉了
2356s 既然主公同意
2358s 我这就去觐见太夫人
2360s 公谨
2386s 我觉得这个事情
2390s 不能这么办
2395s 若太夫人不知此事
2398s 还可以公谨之计行事
2401s 但现在太夫人已经知道了
2403s 刘备来建康招亲的事
2407s 她老人家从小交给我们兄弟俩
2410s 忠孝仁义
2412s 她若知道
2414s 我嫁小妹转刘备
2417s 是为了换荆州的话
2420s 她一定不会宽恕我的
2424s 主公你真的是因为
2425s 担心太夫人吗
2428s 就算
2431s 不完全是吧
