4s 我本想结交曹操这个肖雄,
211s 主公遭此大难,
217s 已经是肝肠痛断。
219s 列位可否先退下,
221s 让主公稍早休息。
227s 走走走。
242s 在下一者能悲伤,
246s 二者给主公道喜。
257s 你胡说什么?
259s 家父刚刚过世,
261s 我何喜之有?
264s 福中有祸,
266s 祸中有福,
268s 福祸相医,
270s 大势可期。
275s 你所说的祸中之福指的是什么?
279s 主公心如明镜,
281s 何必要拷问在下?
286s 主公自起兵两年以来,
288s 势如破竹,
290s 威震四方,
291s 但却有一桩难言之隐。
295s 那就是,
296s 虽然拥兵二十一万,
298s 却只能折服与远州一余。
304s 主公要想成天下大业,
306s 首先要突霸中原。
310s 中原守望之地,
312s 当属徐州六郡。
314s 因此,
315s 主公心里头早就惦记着徐州了。
320s 否则的话,
321s 主公刚才的痛呼声中,
324s 怎么会带有这么凛然的杀机呢?
330s 让你说着了。
334s 我就是想让他们
335s 把我的悲伤之情传出去,
337s 传给天下的诸侯。
339s 陶谦杀了我爹,
341s 我痛不欲生。
344s 此时刺客这个消息,
347s 已经顺风传出百里开外。
350s 徐州并不好取。
357s 继续说。
358s 在下以为,
359s 取徐州有两难。
362s 这第一难,
364s 徐州刺史陶谦,
366s 乃先帝亲命。
367s 此人制正以宽人为本,
370s 御民以厚道主称。
373s 官生的口碑马也堪称上家,
376s 因此取之不易。
379s 这第二难,
381s 是济州的袁绍,
382s 南洋的袁硕,
384s 平原的公孙瓒,
385s 甚至连荆州的刘表,
387s 都对徐州是垂涎三尺。
390s 他们只是望而止不叹不取,
394s 就是怕触犯众怒,
396s 树敌各路诸侯啊。
398s 因此,
400s 他们能听凭主公你,
402s 去取徐州吗?
404s 那你说我是取呢,
407s 还是不取?
410s 豪谦命不下杀害主公家父,
413s 此仇不报,
415s 天理难容啊。
417s 此外,
418s 陶谦厚道近乎于府,
420s 宽人如同昏妹。
422s 像这样的人,
423s 他能具配有徐州吗?
426s 徐州是乃中原重人,
429s 和黄河耳旁泰山,
431s 得知可纵横南北。
434s 苍天送徐州给主公,
437s 如同送一杆大旗给狂风,
440s 送一把宝剑给剑桥。
442s 徐女,
454s 听李讲话,
456s 如饮梅酒,
458s 令人陶醉啊。
469s 在下建议,
475s 主公即刻上书朝廷,
477s 奏明陶谦之罪,
479s 并派人到袁绍袁树,
481s 公孙暂处去报丧,
483s 让各路诸侯都知道,
485s 陶谦杀害了主公家父。
488s 此讯一到,
489s 他们也就都明白了。
491s 到那个时候,
493s 主公起兵去讨贼,
495s 那是奉旨讨贼啊。
497s 上和天意,
499s 下和人情,
500s 中和道义。
502s 为此,
503s 这徐州非主公莫属了。
506s 我嘛,
507s 因为悲伤过度,
521s 不能只比。
524s 就劳你,
525s 带你一道哀书,
527s 在上奏朝廷的同时,
529s 飞马传送给各路诸侯,
531s 表明杀父之仇,
534s 和被迫起兵道仇。
537s 此书,
538s 在下已腻好,
540s 请主公过目。
542s 不必了。
543s 你写的东西,
544s 肯定是字字句句结合我意。
547s 传命三军,
549s 明日晨时起兵,
551s 讨伐陶谦。
553s 遵命。
555s 主公啊,
556s 此次出征,
557s 你为什么不分配好,
562s 谁为先锋,
563s 谁为中军,
564s 谁为后应啊?
565s 你想说什么?
566s 主公从不打无准备之仗。
567s 以往出征,
568s 都是先分配好,
569s 谁为先锋,
570s 谁为中军,
571s 谁为后应。
572s 这回打陶谦,
573s 怎么说打中军啊?
575s 那是因为这回与以往不同,
577s 我是要为父报仇,
579s 怒火满墙,
580s 我已经乱了方寸了,
582s 恨不得朝发西至。
584s 所以我的五万大军
586s 全都是先锋,
587s 我们要一鼓作气,
589s 拿下徐州,
590s 以免迟则胜变。
592s 袁绍袁术等诸侯
593s 在接到主公哀疏同时,
595s 很可能也会接到
596s 陶谦的求言书信。
598s 就袁绍的心性而言,
600s 他要犹豫解定,
601s 拿不定主意,
602s 是帮助陶谦好呢,
604s 还是保持中立,
605s 就在他犹豫这几天里,
607s 我们一定要拿下徐州,
609s 造成继承事实。
610s 你听听,
611s 徐玉说得多好,
613s 比我自个儿说得多好。
615s 末将明白了。
616s 我不能和主公相提并论,
618s 我是跟着主公时间长了,
620s 多学了一些教育。
622s 徐玉,
627s 你是怕我嫉妒你吗?
630s 我可以告诉你不会的,
632s 因为我了解你的忠心,
634s 我要是嫉妒你,
639s 不就是嫉妒我自个儿吗?
644s 主公的一席话,
645s 真是令人讨不醉。
650s 曹孟德,
683s 亲率大军征讨,
686s 陶谦至之不敌,
689s 值得出城起罪。
694s 如何罪?
695s 曹老太爷,
697s 路经徐州时,
699s 我想借此机会结交你。
705s 所以我们全家老少,
708s 像伺候王国,
710s 不不不,
711s 像伺候自己的父亲那样,
713s 伺候曹老太爷。
716s 临行时,
718s 我征送了价值十万钱的礼品,
722s 并派部将张凯护送。
726s 万不了,
728s 此人恶行未改,
732s 杀害了曹老太爷。
735s 是我,
737s 造成了大错,
739s 现已无意之绝境。
742s 因此,
746s 我们全家老少,
748s 和徐州城的老少,
751s 都在为曹老太爷,
754s 服效。
757s 欺骗曹公,
766s 我曹乾,
768s 虽然身患重病,
770s 仍要前往吴凤山,
772s 捉拿恶贼张凯,
775s 亲手交给你,
777s 把他刮心去肝,
780s 祭奠曹老太爷的在天之灵。
785s 你说得好听。
787s 杀父之仇不共戴天,
789s 区区一个张凯,
790s 能让我父复活吗?
792s 在下,
794s 虽然有罪,
796s 但出于有意献宠,
798s 无心获罪呀。
800s 祈求曹公,
803s 看在这一劫上,
805s 少数获罪,
807s 暂且退兵,
809s 容额杀贼自赎。
813s 对了,
815s 从今年起,
817s 徐州府愿意每年向贵部提供,
819s 二十万两侠。
821s 你是想收买我?
823s 不不不,
825s 我不是这个意思,
827s 不是这个意思。
829s 那你是什么意思?
831s 陶谦,
833s 你不仅纵使部下,
835s 杀害我父,
837s 还暗中勾结袁绍,
839s 谋我眼中,
841s 妄想与他人共分我的属地。
843s 曹蒙德呀,
845s 世人皆知我陶谦,
847s 其实我陶谦,
849s 向无大志,
851s 只图自保,
853s 我何曾贪恋过别人的城池?
855s 你瞒得了别人,
857s 瞒不了我。
859s 陶谦,你一向都是故作讨悔,
861s 虚伪,陷恶。
863s 我跟你明说了吧,
865s 看在你披麻戴孝的份上,
867s 今日我就不杀你。
869s 赶紧回去备战,
871s 两日之后我要拿下徐州。
873s 曹蒙德,
875s 我陶谦也是义方刺史。
877s 身受皇命,
879s 士受国恩,
881s 其实我比你父亲
883s 还大一岁呢。
885s 我卑躬屈膝的
887s 向你起罪,
889s 都起到这个地步了,
891s 还不放过我吗?
895s 你非要
897s 强占徐州,
899s 非要比我
901s 徐州数十万军民
903s 一死,
905s 相抗吗?
907s 两日之后破城,
909s 我要取你的手机,
911s 祭奠家父。
913s 阁下如果知趣,
915s 回家洗尽了脖子等着,
917s 转告
921s 徐州城中的百姓,
923s 破城之后,
925s 我不会屠城,凡为我赋,
927s 扶丧者都可以免死。
929s 主公,你为何不下兵,
959s 趁势攻城啊?
961s 你不是让我们一鼓作气拿下徐州吗?
970s 因为我发现,
974s 郝迁比我想象中的要厉害。
978s 我刚才仔细看了,
980s 虽然他的城关
982s 便差白旗,
984s 但是每一杆白旗下的
986s 都暗藏着强弓印。
989s 你看他表面上对我
991s 卑躬屈膝,
993s 实则,
995s 故作讨回暗藏杀机。
997s 我相信他们一定
999s 做好了守城的准备,
1001s 而且城里的军民
1003s 也一定会跟他共存。
1005s 郝迁再是顽抗,
1007s 不过是八千守军,
1009s 我们五万精甲,
1011s 岂能拿他不下。
1013s 他除了八千守军,
1015s 还有几十万百姓了。
1017s 郝迁,
1019s 素以忍耐之力,
1021s 大难临头,
1023s 百姓多会效命。
1025s 你在看他的城关,
1027s 高三丈有余,
1029s 我们的人虽多,
1031s 但多是亲戚,
1033s 如果强弓,
1035s 势必伤亡太大。
1037s 我答应给他们两天时间,
1039s 也是迫不得已,
1041s 因为我们攻城的气血
1043s 要两天之后才能到来。
1045s 那是在攻,
1047s 就可一鼓作气,
1053s 将其拿下。传命下去,
1057s 就说陶迁已经下的,
1059s 肝胆都破碎了,
1061s 我们一战可胜,
1063s 让将士们歇息两天,
1065s 第三天日出时分,
1067s 各部合力攻城。
1071s 遵命。
1073s 军医。在。
1075s 陪我喝杯。遵命。
1077s 陶公子。
1086s 徐大人。
1090s 让你久等了。
1092s 陶使军写给我家主公的信,
1094s 我家主公
1096s 已经详细地越过了。
1098s 袁将军何时发兵啊?
1100s 什么?发兵?
1102s 不不不。
1104s 我家主公考虑再三,
1106s 还是不能发兵相救。
1108s 为什么呀?
1110s 在你来冀州求救之前,
1112s 那曹操的哀书
1114s 已经到了冀州。
1116s 书上写的分明,
1118s 这杀父之仇,
1120s 可是不共戴天啊。
1124s 我家主公
1126s 若是在此时此刻
1128s 又为此事而发兵相救,
1130s 不仅难以服众,
1132s 实在是
1134s 出师无名啊。
1136s 徐大人,
1138s 我父亲从未纵使张凯
1140s 杀害曹松啊。
1142s 相反,
1144s 他之所以派人去护送曹松,
1146s 他是想结交曹操啊。
1148s 这正是这件事情的
1150s 可笑可悲之处。
1152s 你父陶谦原本是想
1154s 向那曹操献媚,
1156s 不料想弄巧成拙,
1158s 化虎没成,
1160s 反累其犬,
1162s 致使你们两家反目成仇,
1164s 兵戎相见。
1166s 徐大人。
1168s 可悲啊,
1170s 堂堂的朝廷命官,
1172s 义州之长尊,
1174s 居然
1178s 做出了这种荒唐的事情。
1180s 恕徐悠之言,
1183s 这件事情
1185s 实在是愚蠢之计。
1187s 曹公子不妨想一想,
1191s 我家主公袁绍元本初,
1193s 那是何许人也?
1195s 乃四世三公,
1197s 声震寰雨,
1199s 威名满天下。
1201s 我家主公
1203s 总不能在你父陶谦
1205s 做出了这等
1207s 可笑可悲的事之后,
1209s 在荒唐的天上
1211s 一些可叹
1213s 和可怜吧。
1215s 数不远送。
1223s 七州袁绍不肯
1230s 发兵相助,
1232s 南洋袁术虽然肯发兵聚草,
1234s 但他却让家父
1236s 各让武宁似水两郡之地
1238s 作为仇械。
1240s 二元原本与家父相交最深,
1242s 但在紧要关头
1244s 却都晚年推辞。
1246s 公孙将军,
1248s 家父的生死
1250s 和徐州城谷这三万百姓的存亡
1252s 就仰仗将军了。
1254s 曹操一旦得了徐州,
1256s 必然会图谋中原,
1258s 进而
1260s 会与袁氏二兄争天下。
1262s 只而猜想,
1264s 袁绍和袁术都知道曹操得势之后的后果,
1266s 但这两兄弟
1268s 本来就是面和心不和,
1270s 都想等着对方先发兵,
1272s 自己做官成败,
1274s 以取余翁之力啊。
1276s 这一对唐兄弟可谓是
1278s 一对笑面虎,两头五脚杀。
1280s 两人之间
1282s 老晚必有一场恶斗。
1284s 公孙将军,我求你快快发兵,
1286s 救救徐州城吧。
1292s 禀主公,平原令刘备求见。
1294s 好,玄德老弟来了。
1296s 陶芝啊,你先下去歇息,
1298s 待我和玄德商议之后,
1300s 再做定夺。
1302s 好好好。
1310s 玄德啊。
1312s 刘备拜见公孙将军。
1314s 贤弟啊,
1316s 你先看一下陶谦发给我的求援信。
1318s 曹操亲率五万大军
1322s 攻打徐州。
1324s 陶谦危在旦夕。
1326s 老弟啊,
1328s 你说我是救陶谦
1330s 还是不救啊?
1332s 敢问将军的意思是
1337s 我是想救陶谦,
1339s 但是
1341s 我现在是兵少将弱,
1343s 非曹操之对手。
1345s 再说了,
1347s 袁绍和袁束各自有二十多万兵马,
1349s 却做官成败。
1351s 我哪有能力救徐州啊?
1353s 即便是我全军出园,
1355s 而且侥幸成功了,
1357s 我得到了什么?
1359s 我只不过是得到
1361s 像陶谦这般弱勇,
1363s 却结下了像曹操,
1365s 袁绍这样的强敌。
1367s 不至啊。
1369s 将军所言,
1374s 在下万万不敢苟同。
1376s 陶公祖为先帝亲命,
1378s 忠义厚道,
1380s 知徐州多年,
1382s 贤民远播。
1384s 曹孟德以报复仇为名,
1386s 趁火打劫,
1388s 图谋徐州六军。
1390s 虽说是乱世争雄,
1392s 各凭势力,
1394s 但我总觉得,
1396s 最终必定是得人心者,
1398s 方能得天下。
1400s 在下此次前来,
1402s 就是来和将军辞行的。
1404s 我要去徐州
1406s 援救陶谦。
1408s 我说刘备啊,
1410s 你才有多少兵马,
1412s 居两三千人,
1414s 竟敢拒破曹操的五万大军。
1416s 你这可是以卵击石哦。
1418s 我刘备未必是卵,
1420s 他曹操
1422s 也未必就是石头。
1424s 也罢,
1428s 既然你非得要去,
1430s 那我就借给你精兵三千,
1432s 稍壮声势。
1435s 多谢公孙将军,
1439s 在下不要将军任何兵马,
1441s 只向将军借一个人。
1443s 借谁?
1445s 常山赵子龙。
1451s 你为何独独要借赵云?
1459s 世人只知道
1461s 吕布名冠天下,
1463s 却并不知道赵子龙之勇
1465s 远胜于匹夫吕布。
1467s 子龙啊。
1470s 将军。
1472s 你愿意跟随刘备
1474s 去援救徐州吗?
1476s 末将愿望。
1484s 我看出来了,
1486s 你们两个是英雄相惜。
1490s 好,
1492s 子龙啊,
1494s 那你就随刘备去吧。
1498s 谢将军。
1500s 谢将军。
1502s 公孙将军虽有数万将士,
1504s 但真正的英雄
1506s 只有子龙一个。
1508s 其实在下对玄德军的人品
1510s 早已是仰慕已久。
1512s 从今以后,
1514s 只要主公一声领下,
1516s 子龙从此
1518s 刘官张召就是四兄弟了。
1520s 意义如何?
1522s 谢主公的答案。
1524s 主公。
1526s 子龙,我们赶紧赶回平原县,
1528s 明日一早奔赴徐州。
1530s 我估计,
1532s 陶前支持不了多久,
1534s 只怕三五日之内便会破产。
1536s 遵命。
1538s 在下有一事不解。
1540s 请讲。
1542s 元少元术坐拥几十万大军,
1544s 军兵不过两千,将不过官张召。
1546s 却何以敢对抗曹操呢?
1548s 好,
1550s 问得好。
1552s 子龙若不问,我早晚也会告诉你。
1554s 方金天下,各路英雄豪杰
1556s 皆以兵马拳谋,称霸一方。
1558s 而我刘备,
1560s 在兵马上远步他们。
1562s 但我有两样,是他们没有的。
1564s 其一,我以仁义为力生之本,
1566s 待人之道。
1568s 因为天下大乱,首先在于人心丧命。
1570s 一至乱世,必先收人心。
1572s 我必须以仁,抗不忍。
1574s 以义,拒不义。
1576s 其二,我身为
1578s 汉皇后裔,
1580s 除贼俘汉,是我必生心愿。
1582s 那涛迁,是先帝亲命,
1584s 素以仁义之证。
1586s 我助他,便是俘汉。
1588s 而曹操,
1590s 名为保复仇,
1592s 使为取徐州,意在取天下。
1594s 耿耿野心,
1596s 路人皆知。
1598s 我举兵抗曹,便是以仁,
1600s 抗不忍。以天下大义,
1602s 拒萧雄之不义。
1604s 就算此战不胜,
1606s 世人也能看见一件事情。
1608s 何事?
1610s 正道不灭,大义永存。
1612s 探马来报。
1633s 袁绍,袁术,刘表,
1635s 公孙战等各路捉猴,
1637s 都不愿意出兵援助涛迁。
1639s 果然不出我之所料。
1643s 没有人愿意
1645s 为了一个涛迁跟我为敌。
1647s 徐州是我们的囊中之物了。
1649s 工程的器械
1651s 大部分也到位了。
1659s 明日中午
1661s 开始工程。
1663s 还有一件事,令在下不安。
1665s 说。
1667s 远州城来信,
1669s 说南郊一带发现
1671s 吕布的兵马,
1673s 八千至一万,
1675s 似有所图谋。
1677s 吕布?
1680s 败君之将,丧主之徒,
1682s 不足为虑。
1688s 难道他敢攻我的
1690s 远州大营?
1692s 主公,
1694s 善用兵者,
1696s 不虑胜,先虑败。
1698s 万一吕布作乱呢?
1700s 远州可是我们的大本营啊。
1702s 你可是把精兵强将
1704s 都带来打徐州了。
1706s 远州几乎
1708s 是座空城。
1710s 主公,
1712s 吕布可是骁勇异常啊。
1714s 吕布虽勇,
1716s 贪耳好利,勇耳无谋。
1718s 连袁绍、袁树
1720s 都不敢动我的远州大营。
1722s 他敢吗?
1724s 再说了,
1726s 我估计三日之内
1728s 我就能攻下徐州。
1731s 城一破,
1733s 我就令徐楚带领两万精兵
1735s 回防远州大营。
1737s 徐楚早就想跟吕布
1739s 大战三百合了。
1745s 从地图上看,
1747s 吕布似乎已超出了徐州了。
1751s 没错,
1753s 天下有那么大,
1755s 我惦记着他们的。
1998s 吕布已经天下无敌了,
2000s 没想到有人比他还勇猛,
2002s 这是谁的部将?
2004s 主公,
2006s 他们打着平安令的旗号,
2008s 看来此人是刘备的部下。
2010s 刘备?
2012s 他只有区区几千人嘛,
2014s 也敢来与我为敌。
2016s 是的,
2018s 他来了,
2036s 平安令刘备,
2038s 可轻敌啊,
2066s 刘备既来,
2068s 必有准备。
2070s 关羽张飞已经得了,
2072s 现在又多出了这么一员猛将。
2074s 刘备这似乎为何如此明显。
2076s 是不继续攻城?
2151s 传命,
2153s 缓缓退军,
2155s 迎他们来攻。
2159s 主公有令,
2161s 撤退!
2172s 草草大军压境之际,
2174s 徐州生死关头,
2176s 我陶谦便修各镇诸侯,
2180s 而他们虽然坐拥数十万兵马,
2184s 却无一肯拔兵相救。
2186s 玄德军呢,
2188s 我并没有求他,
2190s 他却仗义前来,
2192s 以区区两千兵马,
2194s 却能冲破朝军铁桶般的镇压。
2196s 玄德啊,
2198s 我感激之情,
2200s 无疑言表啊。
2202s 陶公,
2204s 刘备早就知道,
2206s 天下之大,
2208s 为徐州刺史陶公族,
2210s 最是宽仁厚道,
2212s 爱民如子。
2215s 刘备想,
2217s 当天下之大,
2219s 为徐州刺史陶公族,
2221s 最是宽仁厚道,
2223s 爱民如子。
2225s 刘备想,
2227s 如果连陶公族,
2229s 这样的人德之君,
2231s 都无法生存的话,
2233s 那么这个国家,
2235s 还有什么指望的?
2237s 大汉何日才可中兴?
2239s 刘备无尺寸功德,
2241s 唯有忠勇二字。
2243s 今日,
2245s 我相救徐州,
2247s 便是救世道良心,
2251s 救我大汉天下。
2253s 说得好啊。
2255s 请。
2257s 尽饮此中。
2259s 今以此酒,
2264s 敬陶前辈。
2266s 请。
2270s 我知道我自己,
2272s 德薄利弱,
2274s 无福提领徐州。
2276s 而今,
2278s 天下纷乱,
2280s 刚长崩溃,
2282s 能匡扶汉师者,
2284s 非你这样的英雄不可呀。
2290s 现在,
2292s 我就把徐州
2294s 五十万百姓,
2296s 托付给你了。
2298s 明日我就上奏曹廷,
2300s 赐你为
2302s 徐州墓。
2306s 万万不可,
2308s 刘备万万不敢。
2310s 有何不可呀?
2312s 连曹操那样的奸雄
2314s 都能戒去延州。
2316s 你身为汉帝中士,
2318s 德行操守,
2320s 王氏的风范,
2322s 为何就不能统领徐州啊?
2324s 我不是曹操,
2326s 在下此行前来,
2328s 是为了救徐州,
2330s 而不是为了图谋徐州。
2332s 涛公,
2334s 请万万不可,
2336s 陷我于不义。
2338s 玄德呀,
2340s 请为徐州
2342s 百姓着想,
2344s 担此重任罢。
2346s 禀涛公,
2356s 今日流言在此,
2358s 一旦曹操退兵,
2360s 徐州转位为安,
2362s 在下即行离去,
2364s 重归平原县。
2371s 玄德呀,
2373s 真是令人敬佩呀。
2375s 此事,
2379s 咱们以后从长计议吧。
2381s 哥呀,
2385s 你这个人哪,
2387s 是样样都好,
2389s 就是有装毛病不好。
2391s 打装毛病?
2393s 看得太过了。
2397s 心善也是毛病啊。
2399s 人家陶谦
2402s 大好的心意,
2404s 送你一座徐州城,
2406s 你为何不要啊?
2408s 这徐州落在咱手里,
2410s 总比落在曹操手里强吧。
2412s 二哥,你说是不是?
2414s 三弟所言并非没有道理。
2416s 我们这三兄弟,
2418s 自陶渊劫役以来,
2420s 一直漂泊不定。
2422s 如果得了徐州,
2424s 我们能成立。
2426s 进可以图大业,
2428s 退可以保平安。
2432s 住嘴。
2434s 你们俩听着,
2436s 再说此话,
2438s 我就不敢认你们为兄弟了。
2440s 我刘备宁肯粉身碎骨,
2447s 也绝不行此不宜。
2449s 那不让说,
2451s 那咱就把嘴给缝上。
2453s 城池算什么,
2455s 还是兄弟要紧。
2457s 二哥,你说是不是?
2459s 不管如何,
2461s 让徐州,我们都难逃,
2463s 趁人之危之险啊。
2465s 道义人心,
2467s 自有公论。
2469s 人意道德,
2476s 不只是说在嘴上。
2478s 更重要的,
2480s 是要让自己问心无愧。
