49s 黄叔
759s 蜀道曲起
761s 千山万水
763s 车不能方轨
765s 马不能连配
767s 从来都是一手难工啊
770s 现在有了永年兄这幅图
774s 又有永年兄做内应
777s 义州唾手可得呀
789s 永年御献西川
791s 乃是对大汉的一片忠诚
794s 你是汉室之后
795s 可不要负了永年
797s 一片赤诚之心呢
799s 永年请起
818s 永年啊
820s 刘备深谢你一片好意
823s 只是这仁义二字
826s 是我刘备的立身之本
828s 行使之命啊
830s 刘备就算九破之死
834s 也不能娶刘继义的西川
836s 天哪
844s 我蜀中为何就得不到
848s 贤君名主啊
850s 川民为何不能长治久安哪
855s 主公的脾气就是这么倔
860s 他心意已决
861s 从不做背信弃义之事
863s 永年兄
876s 你要真是想让刘皇叔入主属中
881s 那在下有一个办法
884s 什么办法
885s 西川不是面临险境吗
888s 只要你主公刘璋
890s 请我主公领兵铸川
893s 以计张若
895s 我家主公必去无疑
898s 刘皇叔刚刚说过
900s 刘皇叔刚才已经说了
903s 他意已决不去
908s 是在人为嘛
911s 你放心
912s 我自会想办法逼他去
917s 有这等法子
919s 永年你是我义州特使
927s 专程前往许昌朝贡
930s 草草不予相助也就罢了
933s 岂能将你乱绑打回呀
936s 主公
937s 在下连死都不惧
940s 何惧草草的棍棒
944s 在下悲愤的事
947s 草草正如此无礼
949s 入籍主公
951s 入籍我西川四十一军
953s 仕臣军民
955s 是啊
958s 想当年
959s 董卓在朝为相的时候
962s 他不过是军门一校尉而已
965s 论出身
966s 我是皇室宗亲
968s 他只是个宦官之后
970s 而如今
971s 他却视主公你为残序败流
974s 不配做义州之主
977s 那草草甚至暗藏
979s 夺取西川之心
982s 草草想图我西川
984s 正是
986s 在许昌大操场上
989s 那草草当入我的面
991s 悬要他的并位
993s 问道
995s 你们西川有如此的精兵强将吗
999s 你们主公知道天下大事吗
1003s 主公
1004s 他这是在威胁你
1005s 归乡于他呀
1010s 草草确实有篡汉自立之心
1013s 这是人所周知啊
1017s 事已至此
1019s 我当如何
1026s 你们说呀
1027s 主公不必过于多虑
1030s 臣归属途中
1032s 以私德一策
1035s 快说
1037s 荆州刘备
1039s 与主公同宗
1041s 他仁慈宽厚
1043s 胸怀大志
1045s 手下有关羽
1046s 张飞
1048s 赵云等数十猛将
1050s 赤壁熬兵时
1051s 就连草草都对他
1053s 文风淡烈
1055s 如果主公能前始节好
1058s 那荆州引他为外援
1061s 非但张鲁
1062s 就连草草也不敢犯
1067s 何不请他率军入川呢
1070s 不可
1071s 断断不可
1073s 主公
1074s 若听了张颂之言
1076s 西川之地既属刘备
1078s 此策万不可行
1080s 你的意思是说
1083s 刘备想趁势屠我西川
1086s 正是
1087s 刘备远得人心
1088s 尽得民望
1090s 更兼诸葛亮庞统之志
1093s 观张赵之勇
1095s 如果赵他入蜀中
1097s 请问主公如何相待
1100s 主公若以不取代之
1102s 刘备岂肯浮低坐小
1105s 主公若以克里相待
1108s 那么一国岂能容二主
1111s 时间已长
1112s 刘备若反客为主
1114s 主公又该当如何呀
1118s 这
1119s 黄泉之言有理啊
1122s 汉中张颂犯戒
1124s 乃险戒之急
1127s 刘备如果入川
1128s 必成心腹大患
1131s 况且刘备原本为
1133s 士之萧雄
1135s 他先是曹操便图谋害
1138s 后从孙泉更夺荆州
1142s 此人心术如此
1144s 岂可置于暗踏之监护
1148s 况且我还听说
1151s 有人出使许昌回来
1153s 路过荆州
1156s 是不是你和刘备
1158s 商量好了吧
1161s 丽颜
1162s 你是说我沟通刘备了
1166s 有何证据啊
1168s 那你为何要去荆州啊
1172s 荆州刘备仰慕主公
1175s 闻我出使许昌
1177s 特迎荆州境界
1180s 托我带来了绸缎千匹
1182s 美酒百坛
1184s 女月十名
1186s 敬献主公
1188s 丽颜呢丽颜
1190s 我向曹操入宫
1192s 曹操将我棍棒打出
1195s 而如今刘备给主公入宫
1198s 你却要诬陷我为奸人
1201s 难道你的心像与曹操吗
1205s 你
1206s 好了好了
1208s 且说君情吧
1211s 如果不请刘备相助
1214s 张鲁率军亲我西川
1216s 如何抵挡
1218s 毕竟绝关
1220s 深沟高雷已聚之
1225s 天真
1226s 马超是何等的孝勇
1229s 深沟高雷
1231s 能挡得住西梁铁骑吗
1235s 主公
1237s 刚才有人说我勾结了刘备
1241s 我看这里
1242s 有人勾结了张鲁才是真的呢
1246s 张僧
1246s 你胡说八道
1248s 丽颜
1250s 张鲁去年来犯
1252s 你就劝主公
1254s 毕竟绝关
1255s 深沟高雷已聚之
1258s 结果怎么样呢
1259s 并败巫侠
1260s 格地赔银
1262s 今年张鲁拎马超来犯
1265s 你又劝主公毕竟绝关
1268s 深沟高雷已聚之
1270s 难道我们西川是劳地
1273s 永远就只能毕竟绝关
1276s 难道我们主公是昏君
1278s 就永远只能躲藏于
1280s 深沟高雷的后面吗
1284s 主公
1286s 我们越是这样
1287s 那张鲁胆子就越大
1289s 为什么他永远是贱
1291s 而我们就自干是盾
1294s 长期以往
1295s 贱必能击穿盾
1300s 主公
1302s 刘备之人
1303s 天下无人不知
1305s 如果主公
1306s 连自己的皇室血脉
1308s 都信不过
1309s 那么天下还有谁也能可信
1314s 请主公恕罪
1316s 在下不忍作势
1318s 西川威望
1323s 告退了
1332s 武艺已决
1334s 派法政为正使
1336s 前往荆州
1348s 孝治
1350s 你主公想让我
1352s 带兵入川抵抗张鲁
1355s 正是
1357s 我主公
1358s 邀皇叔入川
1360s 如大汉
1362s 望云霓呀
1368s 为何
1381s 孝治兄
1383s 我们也有难处
1385s 你看
1387s 曹操虎视于北
1389s 孙全狼窝于南
1392s 再说本来我们兵马也不多
1395s 如果主公分兵入川
1398s 我们就有丧失
1399s 荆州的危险
1404s 世元这话
1406s 我听着像是托词
1409s 诸位
1410s 时下曹孙刘三方
1412s 已成三足鼎立之势
1415s 你望我
1416s 我望你
1418s 他望他
1419s 谁都不敢轻易起兵
1422s 为何呢
1424s 因为三家偷盼着
1426s 另外两家打起了
1427s 自己好从中毛利
1430s 于是乎
1432s 三家一时也就打不起来了
1434s 比如
1436s 曹操在中原实行三策
1439s 养民
1440s 吞啃
1441s 休战
1442s 所为何来
1444s 其实他就是早看破这一点了
1448s 孝之兄所言极是
1451s 在下不敢高谈阔论了
1455s 只好说些俗气话了
1458s 请讲
1460s 大军西川好用甚久
1464s 而荆州地狭
1467s 我们拿不出更多的粮饷了
1469s 世元
1471s 这可不是俗话
1473s 反而说了句实在话
1475s 同样
1477s 我也跟列位说句实在话
1480s 我主要皇叔入川
1483s 主要是想借皇叔
1485s 和各位将军的威名
1487s 来震慑张罗
1489s 还有
1490s 西川物产丰盛
1492s 粮饷富足
1493s 而且我主有言在先
1495s 皇叔若能入川
1497s 粮饷全部由树中供给
1510s 孝之
1511s 既然你主公
1512s 把话都说到这个份上了
1515s 我深为感动
1519s 是经奸臣当道
1521s 汉氏轻微
1523s 在天下各州墓里的汉氏血脉
1526s 也只有皇兄留记忆于我了
1528s 皇兄有难我岂能袖手
1531s 皇兄有命我岂能不尊呢
1534s 只是如今
1536s 确实两相匮乏
1539s 所以才为难他
1541s 如此说来
1543s 皇叔答应入川了
1545s 府中前途
1547s 灿烂啊
1550s 对了 皇叔
1551s 我这儿有一封张松给你的信
1571s 原来孝之与永年是至交啊
1575s 正是
1577s 不瞒皇叔与各位
1579s 就是我劝张松
1581s 把西川相途
1582s 献于皇叔的
1590s 一将无能
1592s 累死三军
1595s 如果人主无能
1596s 岂不祸满天下
1599s 书中有实之事
1601s 谁都知道刘章昏庸
1604s 西川
1605s 迟早会落入贼人之手
1608s 与其如此
1609s 不如让有德者举之
1613s 皇叔
1615s 此次刘章面对张鲁的威胁
1617s 是惊慌失措
1618s 为此
1621s 我等求皇叔入川
1623s 还望皇叔顺势而为
1627s 莫失良机啊 皇叔
1631s 孝之兄
1636s 难得你一片热忱
1639s 只是我与刘继玉乃同宗
1643s 此次入川
1644s 我只是帮他抵抗张鲁
1647s 报敬安民
1649s 绝无非分之想
1656s 交辽尚存意志
1659s 狡兔犹藏三窟
1663s 何况人无
1666s 况且
1667s 荆州东有孙权
1669s 北有曹操
1671s 难以回旋
1672s 而益州户口百万
1674s 土广财富
1675s 可资大业
1678s 更有张松与我等为内助
1681s 如此天赐良机
1685s 皇叔
1695s 孝之啊
1697s 当时
1699s 与乌水火相敌者曹操
1703s 曹操以疾 乌以宽
1706s 曹操以暴 乌以仁
1709s 曹操以绝 乌以忠
1712s 没与操相反 则事可长
1715s 是我本 是我命
1721s 屈尔代之的话
1723s 请族家不要再说了
1725s 大哥也真是
1740s 到手的地盘他都不要
1743s 哼
1744s 等跟大哥入了川
1747s 不管他同意不同意
1749s 你我只管动手
1751s 先站了一周再说
1755s 你们以为主公
1757s 真的不想娶西川吗
1760s 军师
1761s 先生来了
1762s 先生请坐
1769s 先生喝完酒
1774s 先生刚才说什么来着
1776s 照先生的意思
1777s 是大哥心里想
1779s 这嘴上不说呀
1782s 主公胸有大志
1786s 一直梦想忠心汉食
1789s 要想忠心汉食
1791s 就少不了土地
1793s 一周卧绕千里
1796s 主公岂能不动心呢
1800s 那他为何一再拒绝
1804s 张松和法政呢
1806s 就是啊
1810s 这其一
1812s 刘章是奉了天子使命
1814s 出掌西川的
1817s 而且已经至川十多年了
1821s 主公要娶西川
1824s 必须要到
1825s 不得不娶的时候才能娶
1829s 起码让世人看得见
1830s 也是如此
1832s 否则
1834s 西川的官吏
1836s 这心不服啊
1839s 蜀中的百姓也会唾骂
1842s 这个道理
1845s 主公是再明白不过了
1847s 主公要不娶西川
1850s 就不会入川
1852s 入了
1853s 早晚必娶
1855s 何时娶
1857s 这必须要等待时机呀
1862s 好
1863s 好
1866s 再者
1868s 张松和法政二人
1871s 他们是真心的
1873s 要主公娶西川
1876s 还是奉了刘章之命
1878s 前来试探
1880s 这要
1881s 视目相看
1883s 你们两个
1885s 跟随主公这么多年了
1887s 怎么就不明白呢
1889s 那主公做事
1891s 向来是滴水不漏啊
1897s 明白了
1898s 明白了
1900s 我和二哥一入了川
1904s 不管大哥愿意不愿意
1906s 如果大哥不动手
1908s 我们就下手
1909s 不
1915s 你们俩
1917s 谁都不能娶
1920s 为何
1923s 这靖州必须要有重兵把守
1927s 你们二人还有子弓
1929s 必须得留下
1931s 才能镇得住孙全
1933s 这齐二呢
1935s 主公如果把你们二位重将
1937s 调往西川
1940s 那刘章岂不是更担心了吗
1943s 他的部署
1944s 岂不是更寒心了吗
1947s 那我们不去
1949s 谁替大哥打一招啊
1951s 刘章岸弱
1953s 他的手下
1954s 没有几个能争善战的将军
1959s 主公有皇中魏炎相随
1964s 还有在下
1966s 足能够对付川军
1968s 如果实在不行
1971s 再调你们二位重将
1973s 也不迟啊
1975s 好
1976s 军师
1977s 来 喝
1978s 来
1979s 喝
1989s 五弟刘玄德
1991s 果然是仁义时君哪
1995s 我卓发征一请
1996s 他立刻带兵入川了
1999s 这已经是半个月前的事了
2002s 刘备此时
2003s 已经进入川境
2007s 真是兵贵神速啊
2009s 他们现在在哪里
2011s 据报刘备大军一锅四马关
2014s 沿途秋毫未损
2016s 好啊
2018s 真是仁义之君
2020s 就有仁义之师啊
2022s 主公
2024s 在下觉得
2027s 刘备越是这样
2028s 我们越要小心啊
2030s 真是在收买人心啊
2033s 请问黄大人
2036s 倘若秋毫无犯
2038s 是实在的事
2039s 秋毫无犯是收买人心
2042s 莫非你是想让人家
2044s 奸淫烧杀吗
2048s 荒唐
2051s 主公
2052s 此次刘备入川
2053s 只带了三万人马
2055s 关张 赵等将军一个没带
2059s 这是像取西川的样子吗
2063s 主公有十万大军
2066s 刘备就凭这三万人马
2068s 想攻占我义州
2071s 这可能吗
2073s 永年说得是啊
2077s 主公
2078s 刘备千里而来
2080s 且已经进入川境
2084s 在下之见
2085s 是请主公顺将而下
2089s 迎他一程
2091s 这既是主公之礼
2093s 又可以试探其君
2096s 不错
2097s 我是该去啊
2099s 你看迎到哪里
2101s 福城是川东重镇
2104s 而且是水路两路码头
2106s 都方便
2107s 主公就在福城相迎好了
2111s 永年
2113s 你立即准备车程仗漫
2116s 令上将张任率军三千
2119s 随同我去福城
2121s 告诉他
2122s 所率兵士
2124s 务必个个是川军壮士
2127s 营中要骑甲鲜明
2129s 士族的刀枪要闪亮
2132s 定要向刘备展示一下
2135s 我属中的军威
2138s 主公明鉴
2140s 不可呀
2143s 主公是义州之主
2145s 岂可轻身前去福城
2147s 况且如果刘备起了谋反之心
2151s 顺势将主公拿下了怎么办
2154s 主公若有难
2155s 川叔必是大乱
2159s 李大人呢 李大人
2161s 为何人人在你眼里都是贼呢
2166s 为何既请人家又防着人家
2171s 主公 李爷所律有理啊
2175s 请归请 防归防
2177s 刀枪无情不得不防啊
2180s 请主公纳其忠言
2182s 不要轻身履兵离冤哪
2185s 黄泉
2186s 黄泉
2187s 你这是在离间
2189s 主公和刘备的皇室亲情
2195s 在下以为
2196s 宜人不用 用人不宜
2198s 明君也
2200s 妾用 妾宜
2202s 半盈半聚 用君也
2204s 敢请主公三思
2217s 无意早已决
2219s 都是儿等三番五次的进缠
2222s 你们如果有本事
2223s 去杀张鲁 去灭曹操啊
2225s 如果没有这个本领
2227s 就不要阻止我出营刘备
2232s 主公 主公
2234s 不能去啊 主公
2236s 让开
2237s 主公
2239s 我与人人相会 如亲之兰
2241s 你却屡次如我
2243s 左右
2244s 在
2244s 主公
2245s 与我把黄武恒拉开
2246s 若
2248s 松口
2251s 畜生
2252s 松口
2255s 松口
2256s 畜生
2261s 主公 主公
2263s 不能去啊 主公
2266s 去不得啊 主公
2285s 主公
2286s 郭佑政臣家中正子
2288s 黄光和众议之言
2289s 主公不能不听啊
2290s 现在阻止刘备还不晚
2293s 如果让刘备进入福城
2294s 让他进入川树之地
2297s 那就是龙入海虎进山
2299s 川树之地尽失啊 主公
2303s 刘备是我宗兄
2305s 血脉相亲
2307s 儿等为何一再蛊惑
2309s 再言者必斩
2311s 主公
2311s 让开
2312s 去不得啊 主公
2314s 主公
2315s 左右 乱报打散
2316s 遵命
2317s 主公
2318s 闪开 闪开
2341s 你想干什么
2342s 义州同事王磊
2345s 弃血而诫
2348s 吾闻两药苦口利于病
2352s 种言逆耳
2355s 利于刑
2357s 今日主公亲身入险境
2362s 必然
2364s 有去无回
2366s 若主公斩张诵 拒刘备
2370s 则西川老幼兴盛
2373s 主公今夜兴盛哪
2377s 而越是剑
2379s 我越是要去
2381s 西川连年败落
2382s 就是败在你们这些庸臣手里
2385s 苍天哪
2388s 王鼠啊
2391s 将军
2413s 三千金状皆一点急
2414s 请将军下令
2416s 主公已出义州
2417s 前往福城会见刘备
2420s 各营四经造饭 五经出营
2424s 随我护卫主公
2426s 遵命
2430s 张将军 张将军
2433s 张将军
2434s 黄大人
2435s 你 你怎么弄得一身伤血啊
2440s 张将军
2441s 你真的只带三千人去福城
2444s 主公命我率三千金状护驾
2447s 我等自然奉命行事
2450s 如果主公一受奸人蒙蔽
2452s 正前往虎口
2454s 你怎么办
2455s 你身为将军
2456s 难道就见死不救吗
2459s 大人 此话何意
2463s 刘备是虎狼之辈
2465s 手下既是百战之士
2467s 如果他在福城动手
2469s 劫杀主公
2470s 你三千人
2472s 如何敌得过他们
2473s 如何获得助主公啊
2475s 那以大人之见
2478s 我该怎么办
2479s 你带三万人前往
