8s 来,二哥,过酒。
954s 你想要在她手中
955s 找一条活路,
956s 其实简单得很。
958s 七先生指教。
959s 公子切记,
963s 但凡你要对付某个人,
965s 首先要弄清楚
967s 她最要得到什么。
969s 蔡茂想独霸荆州。
971s 这是自然。
973s 还有呢?
974s 她想杀我。
976s 心里是想,
977s 但是还没有做。
979s 因为你是
980s 刘景生的长世子。
982s 杀了你
983s 会引起刘表旧部的反抗。
985s 所以不到万不得已,
987s 她不会动手杀你。
989s 除此之外,
992s 我就不知道了。
994s 蔡茂最希望的
996s 并不是杀你。
997s 她首先要把你
998s 逼离荆州,
1000s 然后再寻机杀你。
1002s 因为你是她的
1003s 眼中钉,
1004s 肉中刺。
1005s 虽然公子在荆州
1006s 日夜不安,
1007s 可蔡茂她,
1008s 她更不安。
1010s 特别是刘表
1011s 临终脱孤时,
1012s 她最希望公子能不在场。
1014s 如此,
1015s 她便能发布狡诏。
1017s 皇城主公下令
1018s 让次子刘从承继大位。
1021s 公子啊,
1022s 如果你想活命,
1024s 那便随了蔡茂所愿吧。
1026s 离开荆州,
1027s 请命助守江厦。
1030s 我,
1031s 我岂能做事蔡茂篡意啊?
1033s 公子留在荆州
1035s 对大局毫无相助,
1036s 只会是束手待毙。
1038s 江厦,
1039s 是荆乡的重镇,
1041s 那里驻军八万,
1042s 粮草军械
1043s 更是多得不以胜计。
1045s 你助守江厦,
1046s 反可以虎视荆州。
1048s 蔡茂若敢妄动,
1050s 她便要有所顾忌。
1052s 这便是摇乡挥印,
1054s 以远至近之策。
1056s 谢先生之教。
1063s 好了公子,
1064s 请起吧。
1066s 公子啊,
1070s 现在能否把云梯拿来,
1073s 我也该回去了。
1075s 伯旺坡的战事,
1077s 我估计,
1079s 打得差不多了。
1081s 先生这边请。
1083s 先生。
1095s 真是啊。
1096s 二位将军辛苦了。
1098s 先生,
1099s 这乃天人啊,
1100s 用兵如神。
1102s 官某此次出战,
1104s 所到之处,
1105s 曹兵,
1106s 正像先生所料的那样,
1108s 就连出入也分毫不差。
1111s 先生,
1112s 俺张飞在这里,
1113s 嫌要向你赔个不是啊。
1115s 我这回是杀敌两箭,
1117s 破敌上万的。
1118s 这都要拜先生之功啊。
1120s 在下,
1121s 为了让二位将军听令,
1123s 不得不借用主攻硬箭,
1124s 来震慑二位将军的虎威。
1126s 得罪,
1127s 得罪。
1128s 情感,情感。
1129s 在下虽箭为军师,
1131s 却才博至弱。
1132s 今后,
1133s 还盼二位将军多多照应。
1136s 先生放心,
1137s 以后军师但有军令,
1139s 俺张飞是无忧不尊的。
1141s 将军如此说,
1142s 在下心里甚为感激。
1144s 孙前已备好庆功酒宴,
1146s 二位将军请。
1147s 好,
1148s 走。
1149s 请。
1150s 要随我们一块去,
1151s 俺张飞要好好敬军师几碗酒。
1153s 好好好。
1155s 主攻啊,
1166s 下侯蹲兵败之后,
1168s 曹操必会轻率大军前来征讨。
1171s 兴野小城,
1173s 终是难以抵抗强敌啊。
1175s 军师有何善策啊?
1179s 有是有,
1181s 就怕主攻不用。
1184s 你且说。
1185s 刘表病重,
1189s 荆州淡西之时,
1190s 定会发生天大变连。
1192s 主攻如果能娶荆州立足,
1194s 那就不惧草参。
1196s 我什么都可以听你的,
1211s 就是让我娶荆州。
1213s 刘景升是我皇兄啊,
1218s 我受他厚恩,
1220s 岂能趁他危难时,
1223s 夺了他的基业。
1224s 在下早就说过,
1226s 主攻若不娶,
1228s 曹操就会娶。
1230s 荆香久居,
1231s 关须到主攻盛衰,
1233s 甚至存亡。
1235s 请主攻三思。
1237s 孔明,
1238s 我一生以仁义为本,
1243s 这就是我与曹操最大的区别。
1245s 不义之举,
1248s 我是宁死不为的。
1250s 主攻,
1258s 荆州来使求见。
1260s 快招进来。
1261s 诺。
1266s 刘皇叔,
1267s 刘皇叔,
1268s 我家主攻沾起,
1269s 就吐血不止。
1270s 时而清醒,
1271s 时而昏迷。
1272s 主攻请你去一趟。
1274s 我马上就去。
1275s 等等。
1277s 你先去吃杯茶,
1278s 容我主攻更衣。
1280s 谢皇叔。
1285s 主攻,
1286s 此去荆州有危险。
1288s 景升兄病重,
1290s 纵然有天大的危险,
1291s 我也得去啊。
1292s 那就带上赵云,
1293s 率三百甲师护驾,
1294s 令赵云片刻不离左右。
1295s 好,
1296s 我知道了。
1298s 我估计刘表可能会临终脱固。
1300s 如果他把荆州托付于你,
1302s 请主攻万无推辞,
1303s 务必揭晓。
1304s 不。
1305s 刘表如果死了,
1306s 主攻为何还不去荆州?
1307s 刘表不在,
1308s 刘齐还在。
1309s 子承父也,
1310s 他应该是荆州之主。
1311s 景升兄啊。
1331s 景升兄。
1332s 贤弟来了。
1338s 景升兄。
1340s 刘齐呢?
1344s 刘齐,
1345s 为何还不来啊?
1348s 禀主攻,
1350s 在下已派人飞马传命,
1353s 江下路远,
1355s 到此总得数日啊。
1357s 你们先下去吧。
1362s 遵命。
1365s 都下去。
1370s 贤弟我已病入膏肓,
1396s 将不久于诊施。
1400s 令公万万不可这么说,
1402s 待到明年春暖花开时,
1406s 定会好起来。
1408s 我好不到那时候。
1410s 你听着,
1422s 在我养病的日子中,
1426s 死来相知,
1429s 如今,
1435s 刘从良,
1437s 都无声大财。
1441s 臣夫妻,
1444s 倾乡久居,
1447s 这么大的天下。
1450s 我死后,
1455s 贤弟,
1457s 你可自领金周?
1463s 万万不可,
1465s 在下万万不敢聪明。
1468s 这,
1469s 为什么不让我进城?
1477s 主公有令,
1478s 要公子助守江下,
1480s 公子不应该擅立之手。
1482s 我得报,
1483s 父亲病重,
1484s 快快开城,
1485s 让我探望父亲。
1488s 这是谣传,
1489s 公子怎能轻信?
1490s 如果主公病危,
1492s 我们更应该封城戒严。
1494s 公子,
1495s 快回江下去。
1496s 如果有什么问题,
1498s 我们不能担当。
1500s 蔡氏家族心怀不轨,
1502s 想奪我父亲金周。
1504s 公子这么说,
1505s 就是在侮辱我们蔡氏。
1507s 如果你再不走,
1509s 别怪我们不客气。
1511s 快快离开。
1513s 我把金周,
1541s 都不给你。
1542s 我只是为了你,
1546s 我只是为了上班班。
1550s 我不想让他们,
1559s 落在曹操的手里。
1563s 李公子刘齐为金周之主,
1572s 在下定会,
1574s 尽忠业长,
1576s 辅佐刘齐。
1578s 这我早就想,
1580s 即使刘齐,
1587s 做了金周之主,
1589s 他也是,
1593s 独有大业。
1601s 别想,
1605s 一个弱主,
1609s 做出弱大的金周,
1613s 会引来什么?
1616s 也来,
1619s 虎狼吹弦,
1623s 也来,
1624s 强举规则呀。
1629s 别人不说,
1630s 他就会强先下手。
1636s 以先帝的胸才大,
1639s 没有请你,
1643s 接下金周,
1646s 一日强敌。
1649s 先帝,
1655s 日后善待我的,
1658s 妻儿老乡。
1661s 如此,
1662s 不仅是金周之幸,
1667s 也是我,
1671s 刘氏之幸。
1675s 在下,
1682s 无论身在何处,
1684s 都会视两位公子,
1686s 如骨肉的。
1687s 只是刘辈,
1691s 断不敢趁君之危,
1694s 去金周自带。
1698s 你,
1699s 主公,
1700s 少记谈报,
1707s 曹操亲自率领五十万大军,
1709s 向金周开来。
1711s 现在,
1712s 距新野已不足八十里。
1716s 主公,
1717s 赶紧回新野吧。
1718s 明公,
1720s 曹操来返,
1721s 在下,
1723s 必须告辞了。
1725s 先帝,
1726s 切记我说的话。
1733s 在下谨记。
1766s 你平安回来记好。
1767s 两个时辰前,
1768s 曹操攻下了樊城。
1770s 拜军将士已被关张二将,
1772s 收入新野。
1773s 我估计,
1774s 曹操明日便会向新野发兵。
1777s 这么快,
1778s 竟连樊城都失了。
1780s 是快。
1781s 曹操率五十万大军出征,
1783s 还能有这么快的进军速度,
1785s 足见曹操其志,
1786s 就是要精吞精香。
1788s 据拜兵所报,
1789s 曹操此次带来了很多新型的攻城兵器。
1791s 以我军的力量,
1793s 新野估计是保不住了。
1796s 你意如何?
1798s 主公,
1799s 刘表
1800s 有没有把金周托付给你?
1802s 他确实想让我提令金周,
1807s 但是我拒绝了。
1809s 我请刘表理刘齐为金周之主,
1811s 我会忠心辅助。
1813s 果然不出我所料。
1817s 快走吧,
1821s 主公,
1825s 我们急切需要一座尖城立足。
1828s 需要是需要,
1830s 但不必再惦记金周了。
1832s 军师既然料到我会聚领金周,
1835s 总该想好下一步方律了吧。
1837s 当然,
1839s 放弃新野,
1841s 退守江夏。
1847s 启程?
1848s 除此之外,
1849s 别无他途。
1850s 刘齐驻军江夏,
1852s 那里城防坚实,
1853s 粮草兵器充足。
1854s 刘公子又对我们感情深厚。
1856s 我们只有立足江夏,
1858s 与刘齐合兵,
1859s 才能与曹操周旋,
1860s 以待时变。
1865s 好吧,
1866s 放弃新野,
1867s 移军江夏。
1868s 不过军师,
1871s 你难道不想与曹操一战吗?
1874s 就这么走了吗?
1875s 这个请主公放心。
1879s 我上次一把大火,
1880s 烧了夏侯敦大阪兵马。
1882s 曹操必然会将夏侯敦痛骂一顿。
1885s 但曹操至此亲自来了,
1887s 我也要让他再吃一把火烧。
1890s 好,
1891s 那就请军师即刻用兵吧。
1893s 遵命。
1894s 关将军,
1898s 你引三千军士到白河上游埋伏。
1901s 每位将士必须带一条布带,
1902s 装入沙土,
1903s 遏制白河水。
1904s 明日三更,
1905s 听见下游人喊马斯,
1907s 便取出沙袋放水,
1908s 是时你顺水追杀。
1910s 遵命。
1911s 不过,军师,
1912s 苍粗之间,
1913s 你让我上哪儿去找这三千条布带?
1917s 关将军,
1918s 五天前,
1919s 军师已经让我准备好了三千布带。
1922s 全部堆放在南城门前了。
1925s 你领兵出城时,
1927s 顺手可得。
1929s 遵命。
1930s 张将军。
1932s 在。
1933s 你引三千军士到柏林渡口埋伏。
1935s 那里水势最缓,
1936s 曹军被淹之后,
1937s 必从柏林渡讨难。
1938s 是时,
1939s 你趁势攻杀。
1940s 遵命。
1941s 子龙。
1943s 你也引三千军士,
1946s 分为四队。
1947s 你亲自领一队,
1948s 埋伏于新叶东门。
1949s 其一三队,
1950s 分别布于西南北三门。
1952s 曹军入城后,
1953s 必会入民居安歇。
1955s 我已令弥方,
1957s 在防粮上布满了硫磺消炭。
1959s 明日黄昏,
1960s 曹军造饭时,
1961s 会起大风。
1962s 你旦见风起,
1963s 就命四门将士,
1964s 一同往城内射入火箭。
1966s 见到城中大火冲天时,
1967s 西南北三门将士,
1968s 摇旗呐喊,
1969s 作围攻声势,
1970s 只留东门,
1971s 放曹军出走。
1973s 遵命。
1975s 官平刘丰听令。
1976s 在。
1977s 你二人率两千军士,
1978s 一半直红旗,
1979s 一半直青旗,
1980s 埋伏于新野城外,
1981s 却尾坡。
1983s 曹军拜军奔来时,
1984s 红旗军在左,
1985s 青旗军在右,
1986s 摇旗鼓噪。
1988s 曹军必生疑惑,
1989s 不敢出兵,
1990s 必会向白河方向撤军。
1992s 是时,
1993s 你们率军追杀,
1994s 把曹军赶往柏林渡。
1996s 遵命。
1997s 听军师用兵布阵,
1999s 如同听一场大戏,
2001s 明日定然会有好戏可看。
2013s 主公啊,
2015s 明日之战,
2016s 曹军必败,
2018s 但也只是为我们
2019s 争取撤军的时间,
2021s 并不能将曹操
2022s 五十万大军击溃。
2024s 所以,
2026s 新野还在。
2027s 这一截我明白。
2028s 有见没难事。
2030s 明天大战之后,
2032s 新野就是一片废墟了。
2037s 城里的十八万百姓
2038s 怎么办啊?
2043s 对啊,
2044s 对啊。
2045s 我们把民房都烧了,
2047s 百姓们无处容身啊。
2049s 因此,
2050s 军师决定,
2053s 把我们的粮草、金钱
2057s 全部分发给百姓。
2059s 这一截
2060s 我们必须尽力。
2062s 这一截
2063s 我们的粮草、金钱
2064s 全部分发给百姓,
2066s 让他们迁到别的郡县去。
2069s 该当如此,
2070s 顺好,
2072s 该当如此啊。
2074s 可百姓不愿意。
2076s 百姓说了,
2077s 刘皇叔到哪儿,
2078s 我们就跟到哪儿。
2080s 只要跟定刘皇叔,
2081s 我们就有好日子过。
2083s 民心可疑啊。
2096s 赶紧张出告示,
2097s 城中所有百姓
2098s 跟我一起迁往江夏。
2100s 这,
2102s 主公恕我直言,
2103s 写百姓远征
2104s 是万万不可的。
2106s 此去江夏
2107s 二百八十多里,
2108s 十八万百姓
2109s 福老邪幼,
2110s 每日能行多少,
2111s 不到三十里。
2113s 假如曹军铁骑追杀,
2114s 那我们与百姓
2116s 都会玉石俱焚。
2118s 听令,
2122s 带上百姓一块走。
2126s 如玉战时,
2128s 百姓可以弃我而走。
2130s 我绝不会抛弃百姓。
2132s 主公。
2133s 我已经决定了,
2134s 军师不必再劝。
2136s 宁可百姓弃我,
2139s 我绝不起百姓。
2141s 主公果然是非常之主啊。
2156s 爹。
2160s 爹。
2162s 我等商议已定,
2171s 奉主公一命,
2173s 拜公子刘从
2174s 为荆州之主。
2176s 拜见少主公。
2180s 父亲刚刚去世,
2189s 曹操大军押井,
2191s 我们该怎么办?
2196s 少主公,
2197s 你觉得自己的恩威才智
2200s 比曹操如何呢?
2202s 万万不如也。
2204s 那我荆州的兵马
2205s 又比曹操如何呢?
2207s 少主公明鉴啊,
2213s 当下之计
2214s 唯有归降曹操,
2216s 方能保得京乡平安。
2218s 否则,
2219s 战断一开,
2220s 山河俱碎,
2221s 玉石俱焚,
2222s 不但祖业难保,
2224s 就连少主公的性命
2228s 莫将换。
2231s 我流逝的百年七夜,
2233s 就要这样攻守让给曹操吗?
2236s 不是让给曹操,
2237s 而是回归朝廷。
2239s 大汉难道不是流氏天下吗?
2242s 曹操只不过是朝廷一个丞相,
2245s 而那位与少主公同宗的
2247s 流氏天子
2249s 才是大汉之主啊。
2251s 蔡茂,
2261s 我有一个要求,
2263s 归顺朝廷以后,
2268s 刘从仍做荆州刺史,
2271s 让我儿世世代代
2274s 提领京乡九郡。
2276s 禀少主公夫人,
2280s 半个月前
2281s 我已将此意通报给曹丞相了。
2284s 如何?
2286s 曹丞相当着我的面对天立誓,
2289s 他完全同意,
2291s 永不食言。
2292s 丛儿,
2298s 那我们就归顺朝廷吧。
2302s 刘从,
2370s 率京乡九郡
2371s 所有文武官民归顺朝廷。
2375s 请丞相接应。
2377s 本相,
2392s 奉天子诏,
2394s 斥封刘从,
2396s 为荆州刺史襄阳侯。
2399s 施习罔替,
2401s 永远提领京乡九郡。
2404s 万岁万岁万岁万岁万岁。
2411s 好了,
2413s 刘从接应。
