7s 你好糊弄啊
797s 与吕布战斗一起
799s 怎么样
800s 三个回合
801s 三位将军全都被吕布
804s 斩落马下
819s 传令
822s 紧闭城门
824s 任何人不得擅自主战
827s 遵命
830s 关内各镇诸侯听着
832s 你们胆小如鼠
834s 所守如归
836s 看我吕布如何教训你们
855s 关内诸侯们
857s 你们不是有十八剑吗
860s 今日就让我吕布
862s 来送你们十八剑
863s 袁盟主
891s 大帝当前 懂贼亲智
894s 此仗许胜不许败
896s 操某不才
898s 愿为盟军排兵布阵
902s 孟德兄请
904s 吕布再是汉勇
910s 也不过是一介匹夫
913s 他之所以敢如此嚣张
915s 是因为董卓的大军
916s 居此不远
918s 董卓
919s 是想用吕布为二
921s 迎我们出关作战
922s 与他的西凉军野战
925s 我意
927s 三个时辰之内
928s 我们不可出关迎敌
930s 我们要等到
931s 日过上午
933s 西凉军人困马乏的时候
935s 方可开关迎敌
938s 说得好
939s 可袁硕
940s 可袁硕
941s 答应给我的两万斤粮草
943s 至今还没有踪影呢
944s 没有粮草
945s 叫我的兵马饿着肚子奔袭吗
948s 袁国禄
949s 你答应布给我的三千兵马在哪里
951s 还有我布的粮草呢
952s 什么时候发给我
953s 兰少给了你多少粮抢兵马
955s 你为何老替他说话
956s 他是你天王老子吗
957s 公孙将军
958s 你欺人太甚
959s 本太守会盟以来
961s 何曾得到过一兵一卒
962s 刘代
963s 你为何霸占我当阳三军布阵
966s 好啊 我倒想问问你
967s 你为何纵容不浅
968s 出宫出狗
970s 听我草谋一言
972s 我算是明白天下大乱的根源了
975s 正如玄德所言
978s 天下大乱的根源在于人心丧乱
981s 现在此时此刻
984s 董卓的大军正在关前挑战
987s 我们却在这儿勾心斗角
988s 天下岂能不乱
990s 你少废话
991s 你别吵了
992s 你别吵了
993s 你别吵了
994s 你别吵了
995s 你别吵了
996s 你别吵了
997s 别吵了
998s 你别吵了
999s 你别吵了
1000s 你别吵了
1001s 你别吵了
1002s 种族红蓝鸡
1003s 不要打他
1004s 摘除马汉数字消息
1009s 不足一轮大事
1011s 玄德兄
1022s 留步
1024s 请留步
1026s 梦德
1027s 在下就要出城了
1029s 形色匆匆不及面子
1031s 请阁下恕罪
1033s 为什么要走了
1036s 是觉得袁绍不配做盟主
1038s 还是
1039s 玄德兄无异于功名利益
1042s 袁绍配不配做盟主
1044s 在下不敢往
1046s 但我兄弟三个前来会盟
1048s 是为了诛贼的
1050s 并不是为了功名利益
1052s 说得好
1054s 曹某也有一句话
1055s 搁在心里很久了
1058s 请梦德试下
1060s 你们三兄弟的报国壮志
1063s 忠义豪情
1064s 曹某极为敬佩
1066s 在下斗胆相邀
1068s 请你们
1069s 暂居曹营咱们共壮
1072s 多谢梦德厚爱
1084s 不过我三兄弟
1086s 刚刚离开袁绍
1088s 转眼就投入曹营
1090s 梦德不怕忠诸侯
1092s 非议吗
1093s 在下也斗胆直言
1098s 留备别无所长
1100s 但为使的原则
1102s 却恪守不便
1103s 不过此刻你们也出不了城
1111s 为何
1112s 因为吕布
1114s 此刻正在关前挑战
1116s 此刻正在关前挑战
1119s 这小子真的来了
1120s 来得好
1123s 有句话不知道你们听说过没
1125s 这个世上有两样绝品
1128s 是为
1129s 人中吕布
1130s 马中蚩兔
1132s 吕布手中那杆方天画旗
1135s 使得那是
1136s 出神入化
1138s 他跨下的那批蚩兔马
1140s 日行千里
1141s 快如闪电
1143s 他还视天下英雄
1147s 成为草芥
1149s 山川巨谷在蚩兔马的脚下
1151s 也是如履平地
1153s 董卓得吕布
1157s 胜得十万雄兵
1159s 如今更可怕的是
1161s 这两样绝品居然
1163s 合二为一了
1165s 此刻
1169s 吕布正骑着蚩兔马
1171s 在关前挑战
1173s 可是十八路诸侯
1175s 居然没有一个人敢去应战
1177s 全都像缩头乌龟一样的
1179s 不敢露面
1181s 所以
1183s 我觉得你们也是
1185s 先回避一下
1187s 大哥 二哥
1189s 你们站起来这里稍候
1191s 看我从吕布那小子
1193s 一万个透明窟窿去
1195s 三弟
1197s 吕布勇猛过人
1199s 还是由我来站啊
1201s 二哥
1203s 你先前已经斩了花雄
1205s 如果你要是抢我的功劳
1207s 我就不认你这二哥了
1209s 三弟 还是
1211s 听大哥的吩咐
1216s 孟德 你抢你把我两兄弟
1218s 都系成什么样
1220s 那里 我是好意
1222s 我觉得我们还是要
1224s 回避一下吕布这头猛虎
1226s 好
1228s 在下也有一句话
1230s 请曹公转告袁绍
1232s 请讲
1234s 我三兄弟会盟当日
1236s 便送了一份大礼
1238s 为盟军斩了花雄
1242s 今日我三兄弟离去
1244s 同样
1246s 还要再送盟军一份大礼
1248s 何礼
1250s 斩吕布
1252s 玄德兄这一句话
1257s 足以羞煞
1259s 十八路诸侯
1261s 三弟
1269s 令你初战吕布
1271s 我和你二哥为你略震
1273s 我堂堂吕布
1337s 为何成了三姓家奴
1339s 哼 你小子
1341s 姓吕是不
1345s 可你先带了丁元将军做义父
1347s 那董卓
1349s 用了一匹赤兔马
1351s 就把你给收买过来了
1353s 你竟然为了一匹马
1355s 就亲手杀了你义父丁元
1357s 后来
1359s 任董卓做了义父
1361s 你不是三姓家奴
1363s 是什么呀
1366s 三姓家奴 快来杀死
1368s 三姓家奴
1374s 你是个英雄豪解
1680s 董卓是乱世奸贼
1682s 你为何要施神于贼
1684s 为何不归顺朝廷
1686s 为大汉建立万世功勋
1688s 此时我三兄弟要你性命
1690s 如探囊取物
1692s 但是英雄相惜
1694s 我等不忍杀你
1696s 天舞一眼 快快弃暗透明
1698s 哥哥 不必跟他啰嗦
1700s 三姓家奴
1706s 武艺高强
1785s 不愧是人中吕布 马中赤兔
1789s 可惜啊 如此英雄却陷入奸人之手
1791s 可惜啊 如此英雄却陷入奸人之手
1794s 你又动了侧隐之心了
1796s 此人不可叫话
1798s 大哥 二哥
1800s 现在正好乘胜追杀才是
1802s 董卓大军肯定藏于山后
1804s 二弟 三弟不必再追了
1806s 董贼若待 正好推他手机
1808s 杀过去
1810s 三弟 三弟 三弟 回来
1812s 快回来 走
1827s 袁盟主 贼军失穷 良机难得
1829s 快传命进军吧
1831s 好 众将听令
1833s 大开城门
1835s 出战 董卓
1837s 走
1839s 出战
1841s 快
1847s 曹仁
1849s 在 我部将是何在
1851s 全部集结完毕
1853s 都在城东待命
1855s 随我直奔虎牢关
1857s 共取洛阳
1880s 袁绍率领的王师
1882s 已经攻破了虎牢关
1884s 大获全胜
1886s 西梁军之溃败
1888s 董卓被刘关璋三兄弟
1890s 赐于马下
1892s 生死不明
1894s 好啊
1896s 生死不明 那就是死了
1898s 上天哪
1900s 苍生有幸
1902s 日月光复
1904s 是啊
1906s 西梁军败兵
1908s 正在苍黄逃命
1910s 我王师
1912s 兵临城下
1914s 眼瞅着破城灾及
1916s 我大汉
1918s 不日即可复兴
1920s 我快将这消息
1922s 赶紧告诉太后和天子
1924s 你们赶紧
1926s 召集人手
1928s 准备应变
1930s 是
1955s 带着甲师们闯进皇宫里来了
1962s 袁绍的五十万大军
1964s 被咱家打得落花流水
1966s 死伤大步
1968s 可是还有些部分残余
1970s 可能要
1972s 进犯京城
1974s 掠夺圣驾
1976s 所以咱家是
1978s 不得不防啊
1980s 对了
1982s 近日有童谣说
1984s 东偷一个汉
1986s 西偷一个汉
1988s 迁都入长安
1990s 方可无私难
1994s 好 真好说的
1998s 东都洛阳
2000s 历经二百年
2002s 气数已尽
2004s 咱家是夜观天象
2006s 见地气望于长安
2008s 所以咱家决定
2010s 护驾西兴
2012s 迁都于长安
2014s 那么
2016s 各位百官公卿们
2018s 都快快准备吧
2022s 服装启行吧
2026s 禀相国
2032s 自从黄金启事之后
2034s 连年兵戈
2036s 早已将长安化为一片
2038s 断臂裁员
2040s 相国如果欺骗长安
2042s 犹如弃公事
2044s 而救瓦礼
2046s 与相国明察
2051s 都是个国家大忌
2053s 迁都长安
2055s 那是中兴大汉王朝
2057s 那是百年大忌
2059s 洛阳暗 长安明
2061s 迁都长安
2063s 就是弃暗投明
2066s 启禀相国
2068s 京都洛阳乃朝廷命脉
2070s 倘若无故离宗庙弃皇陵
2072s 将是朝廷大乱
2074s 百姓沦难
2076s 如此关天之事
2078s 启叛相国
2080s 甚之又甚
2082s 甚之又甚
2086s 咱家有什么
2088s 不慎重了
2090s 那长安有
2092s 寒关之险 笼山之右
2094s 建宫用的木材
2096s 砖网
2098s 它是唾手可得
2100s 咱家半月之内
2102s 就可以再造一座皇宫
2104s 那可比
2106s 常乐宫舒服多了
2112s 哈哈哈哈
2114s 对了
2116s 咱家把这宫定名为
2118s 万乐宫
2120s 万乐宫
2122s 哈哈哈哈
2124s 相国
2126s 您驻然迁都
2128s 车马如何筹集
2130s 百官如何安置
2132s 邻民百姓如何料理啊相国
2134s 咱家有战车兵马
2136s 百官们坐上去
2138s 不就完了吗
2140s 至于那些城中小民
2142s 贱如草芥
2144s 爱死爱活
2146s 咱家就管不了那么多了
2148s 随他去随他去
2152s 既然相国的
2154s 迁都大计已定
2156s 请问何日
2158s 启行啊
2160s 你看你看你看
2162s 哈哈哈哈
2164s 这才是你应该问的嘛
2166s 哈哈哈哈
2168s 听着
2170s 咱家做事向来是
2172s 雷厉风行啊
2174s 迁都就在今日
2176s 那么今日午时出客
2178s 启行
2180s 吸亲
2185s 相国 孟然迁都
2187s 必是朝纲大乱
2189s 这万万不可
2191s 万万不可呀
2193s 你这贼子
2195s 肯定是私通元少
2197s 阻我大忌
2199s 除魔不轨
2201s 你今天必死无疑
2213s 各位爱卿
2217s 谁
2219s 还有什么好的建议
2221s 赶快说出来吧
2225s 我这儿听着呢
2227s 说呀
2230s 有没有
2236s 好
2238s 来呀
2240s 伺候天子起驾
2282s 天上安
2284s 数百年汉都洛阳
2286s 被分为灰烬
2288s 豪神富户
2290s 寂寞入关
2292s 宗庙地灵
2294s 道觉殆尽
2296s 你们总算来了
2322s 门太兄
2324s 门太兄
2326s 在下怕你们真是望眼欲穿哪
2328s 岳少何在
2330s 大军何在各路诸侯何在
2332s 他们
2334s 喝酒呢
2339s 卓节驾西逃
2341s 洛阳城一片大火
2343s 西梁军正在拜退
2345s 袁绍为何不成声追杀
2347s 袁绍担心董卓
2349s 暗藏复兵
2351s 各路诸侯也是
2353s 你望我我望你
2355s 谁都不肯率先出兵
2357s 为了一点兵马
2359s 粮草城池都快搭起来了
2361s 只有我
2363s 率本部万余荆棘
2365s 咱们盟主真是
2367s 做事良机啊
2369s 门太兄啊
2371s 你真是太抬举袁绍了
2373s 他连这个千载难逢的机会
2375s 看都没看出来
2377s 谈何做事
2379s 门太兄
2381s 有何高见
2383s 门太兄眼下有一个
2385s 天大的功劳
2387s 摆在你我二人眼前
2389s 会盟之初各路诸侯
2391s 约定谁先攻入京城
2393s 就启奏圣上封谁为
2395s 彪纪大将军
2397s 眼下洛阳空虚
2399s 东贼败逃
2401s 你我何不兵分两路
2403s 一路集中所有的部兵
2405s 开进洛阳
2407s 另一路集中所有的齐兵
2409s 星夜追杀东贼
2411s 孙将军
2413s 你愿意去哪一路
2415s 我部将东子弟
2421s 大多是部军
2423s 齐兵还不到三千
2427s 而我率领的全部都是经纪
2429s 孙将军
2431s 可否把你的三千齐兵
2433s 全部交给我
2435s 我会亲自率领他们
2437s 星夜追杀东贼
2439s 你
2441s 率部军开进洛阳
2443s 当真千真万确
2447s 如此
2454s 真就有劳孟德兄吧
2458s 为国出贼何分彼此
2460s 门太兄
2462s 你我何不即可分头行动
2464s 好
2466s 城铺把所有齐兵
2470s 全部交付曹操
2474s 诺
2478s 保重
2480s 珍重
