6s 末将是有意让他们给擒去的。
434s 真不是个好鸟。
436s 他摆下了个工土阵,
438s 骗我入圈套。
440s 不过,
441s 幸亏他使了这奸计。
444s 反而让我不用工程,
446s 就拿了刘杜的儿子刘贤了。
450s 刘贤在哪儿?
451s 在那儿。
452s 刘贤在哪儿?
453s 在那儿。
454s 刘贤在哪儿?
456s 让我绑在后头马就了。
458s 这岂是待客之道?
459s 快快快,请上来。
461s 易德,
462s 你立了大功,
463s 拿了刘贤,
464s 就等于得到了灵灵。
467s 这是为何?
469s 我早就说过,
470s 刘杜生性懦弱,
472s 却一向疼爱这个独子,
473s 视作为姓名。
475s 灵灵城中有大半事情,
477s 都是刘贤做的主。
479s 看着吧,
480s 明儿一大早,
481s 刘杜定会高举祥旗,
482s 大开城门,
483s 击凤授印前来请祥,
485s 以换取刘贤的性命。
487s 这小子,
488s 竟是一座大城啊。
490s 好,
491s 值了,值了。
493s 灵灵城,
519s 太守刘杜,
520s 恭迎刘皇叔。
523s 恭迎刘皇叔。
525s 太客气了,
533s 你也是皇族后裔,
535s 我们相见很晚了。
536s 不敢,不敢。
538s 在下,
539s 断断不敢,
540s 与皇叔相见。
543s 请公子刘贤。
548s 你活着,
569s 这我就放心了。
573s 父亲,
574s 请香吧。
577s 罪臣刘杜,
591s 奉上灵灵太守印寿,
594s 请皇叔收纳。
597s 素闻刘兄贤,
617s 任灵灵太守十年来,
619s 百姓衣食保暖,
621s 盗贼不敢入境。
623s 宣德斗胆,
625s 恳请刘兄继续执掌此人,
628s 担当灵灵太守。
631s 灵皇叔啊,
633s 灵灵虽然地僻民少,
637s 但她终归是一个君啊,
639s 你可不能弃之不要啊。
643s 我求还难求呢,
645s 怎么会弃之不要啊?
647s 皇叔,
648s 那你为何不叫自家人做灵灵太守啊?
653s 你不就是自家人吗?
655s 你姓刘,
656s 我也姓刘,
657s 舍你之外,
658s 还有谁才合适担当呢?
661s 刘兄,
662s 你放胆知道,
663s 一如从前。
666s 刘皇叔啊,
668s 刘皇叔之胸怀,
671s 真是海阔天高啊。
675s 久闻灵灵太守,
677s 九闻灵灵,
682s 凤花酒,
683s 醇厚香浓。
684s 你这做太守的,
685s 也不请我们喝一中吗?
687s 我们可都是饿了。
689s 对对对,
690s 走走走,
691s 咱们喝酒去,
692s 我在这儿都闻到酒香了。
694s 皇叔,
696s 不,
697s 主公,
699s 请进城。
709s 主公当众把姓胤还给刘渡,
711s 此举着实高明。
713s 你们知道,
714s 像刘渡这样的俊手,
716s 他心里想什么吗?
718s 其一,
719s 当然是他的官位了。
721s 其二,
722s 就是何人能做他的主子。
724s 对他而言,
725s 皇帝太遥远,
727s 而荆州之主则是可以
729s 置他生死的顶头上司。
732s 所以,
733s 谁做荆州之主,
734s 竟比谁做皇帝还重要。
738s 荆州先主刘表,
740s 后来是曹子。
741s 而我呢,
742s 自以为比刘表强些,
745s 比曹操善些,
746s 又继续拜他为郡守。
748s 他岂能不大喜国望,
749s 岂能不忠心耿耿。
752s 主公以仁义攻心,
753s 此举比刀剑更锋利百倍。
756s 主公是一发厉害了,
758s 在下钦佩之至。
761s 这刘渡归顺的消息传出去,
763s 这武林长沙贵阳,
765s 必定是人心大乱,
767s 或许可不攻自下。
770s 子龙说得不错,
772s 我也以为这三郡
774s 已无需主公带军一个一个打,
776s 只需遣一上将,
778s 引一偏师取之足矣。
780s 主公可率大部兵马再次修整,
782s 整军练兵以待十遍,
784s 毕竟北边和东边都有强临溃失。
787s 好,马梁有言在先,
793s 先取陵陵,
795s 次取贵阳,
796s 最后当具长沙和武陵,
798s 现在陵陵已下,
800s 该着贵阳了,
802s 谁愿领兵取贵阳?
804s 我愿意。
805s 我也愿意。
809s 义德,
811s 陵陵此意,你已立下大功,
813s 这贵阳该轮到我了。
815s 这陵陵算什么?
818s 我这杖巴蛇毛还没展开,
820s 这杖就打完了。
822s 不过意不过意,太不过意了。
824s 这贵阳还得让我打。
826s 义德,
827s 是我跟主公先开的口。
829s 你先开口,
831s 就归你了。
833s 我是南征先锋,
835s 你是傅先锋。
837s 先锋不去,让傅先锋去。
839s 这不豈不成笑话了?
841s 好,
843s 你们俩不要争了。
845s 要不,
847s 抓究决定。
849s 好,
851s 抓究。
853s 我已经写好了。
855s 义德,
877s 莫要反悔,
879s 是你自己抓到不去,
881s 说明天意该着子龙出战。
883s 主公,
885s 那就请子龙引三千兵马
887s 攻取贵阳如何?
889s 好,就这么定了。
892s 我只需两千兵马,
894s 就能拿下贵阳。
895s 退下了。
901s 义德,
902s 你就等候我的佳音吧。
904s 我先去准备了。
918s 军师。
921s 子龙。
932s 我想问军师,
934s 为何使用障眼法,
936s 助我得到攻取贵阳的机会?
941s 你难道不想要这个机会吗?
943s 我当然想要,
945s 但,
946s 我不想军师偏袒。
948s 到底是子龙,
950s 忠勇刚正。
952s 我告诉你,
954s 我并没有偏袒你。
956s 长军者最忌讳的,
958s 就是在将领中有轻疏远径。
960s 我之所以正做,
962s 完全是为了大局。
964s 请军师试想。
966s 主公此次南征,
968s 想要的是南部四军轻臣而已。
971s 要想达成这个目的,
973s 仅凭刀枪攻杀,
975s 就远远不够。
977s 如果闹了个
978s 祥而不服的南局,
980s 则非但不能扩大荆州水地,
982s 反而落下个
984s 狼烟不止的后面。
986s 易得生性粗犷,
988s 勇猛好战。
990s 一旦遇到宁死不祥的守将,
992s 他定会火冒三丈,
994s 动不动就捅人几个透明窟窿。
996s 所以,
998s 我选你,
1000s 去攻取贵阳。
1003s 我乃常山赵子龙。
1046s 来将何人?
1048s 贵阳军前校尉陈应。
1050s 赵范何在?
1052s 我家赵太守,
1054s 岂能见你?
1057s 武主刘玄德,
1059s 乃荆州旧主刘景生之弟。
1061s 今与公子刘齐共领荆州,
1063s 本将奉命特来府民,
1065s 你怎敢应战?
1067s 我等只服曹丞相,
1069s 岂能顺从你家
1071s 知己犯履的常尔贼?
1073s 你听说过青釭剑的威名吗?
1102s 什么?
1104s 这就是青釭剑?
1106s 刚才我若杀你的话,
1110s 你断了头颅都不知道疼。
1112s 赶紧换件结实的兵器吧,
1114s 我等你。
1125s 将军!
1127s 赵云!
1130s 你我再战三百回合!
1132s 陈应,
1134s 我这一辈子就没跟人战过三十回合,
1136s 何谈三百啊?
1170s 难道你们贵阳城都是破铜烂铁吗?
1172s 你再去换件结实的兵器来,
1175s 我还等你。
1181s 你也没什么真本领,
1183s 只是你手中的青釭剑厉害。
1185s 好,
1187s 那我收起青釭剑,
1189s 让你看看真本事。
1191s 你可要看好,
1209s 你先使插,又使刀,
1211s 现在又使双锤。
1213s 陈应啊,你这个校尉
1215s 还真是有意思。
1217s 赵云!本将宁死不辱!
1219s 来啊!
1221s 我不杀好汉,
1331s 你走吧,
1333s 回去告诉赵藩,
1335s 让他早早归向我主公。
1348s 赵云不愧是世上名将,
1350s 的确有万夫不等之用。
1352s 末将先使插,
1354s 再使刀,
1356s 后使锤,
1358s 都被他瞬间击败。
1360s 他本可取我性命,
1363s 却放我归来,
1365s 他可是个义士啊!
1367s 赵云已是如此,
1369s 可想,他主刘备
1371s 一定是个贤明之君。
1373s 你想说什么,
1375s 就直说吧。
1377s 归向吧主公,
1379s 长板坡上
1381s 百万曹军都奈何不了赵云,
1383s 而他只是刘备
1385s 亏欠的一员大将而已。
1387s 那关羽张飞
1389s 还没有出面呢,
1391s 我桂阳
1393s 有何能力
1395s 与刘备大军相抗,
1397s 只怕曹操也不能。
1399s 归向吧主公,
1401s 住口!
1403s 投降?
1405s 亏你说得出口!
1407s 若赵反浴血拼杀
1412s 争下他,
1414s 岂能拱手送给刘备?
1416s 伪将者宁死不想!
1418s 你们且说说,
1422s 如何才能抵住赵云?
1424s 怎么都不吭声呢?
1430s 太守大人,
1432s 如果陈将军都抵挡不住赵云,
1434s 我等又岂是对手?
1436s 末将以为以祥为上策。
1438s 你们,
1440s 你们也太没有骨气了!
1442s 我平日,
1444s 是怎么对待你们的?
1446s 主公,
1448s 零零流渡,归向刘备后,
1450s 仍然被刘备封为太守啊?
1452s 是啊是啊是啊。
1454s 看来,
1456s 你们都铁了心归祥了。
1458s 如果
1462s 我不祥呢?
1468s 哥哥,休怪我等了。
1472s 你们要干什么?
1474s 公劝太守归祥刘皇叔。
1476s 归祥刘皇叔。
1478s 哎哟,将军们啊,
1480s 别生气,别生气啊。
1482s 都是自家人,
1484s 自家的事,
1486s 有事好商量吗?
1488s 赵太守,
1492s 依我看,将军们所意之事,
1494s 也是为了桂阳好,
1496s 更是为了你好,
1500s 为了将军们吧。
1527s 张刘备,
1529s 敢问太守何日出巷?
1531s 哎哟,
1533s 大事都定了,
1535s 时辰的事就不用太着急了吗?
1537s 总须太守
1539s 清点一下兵丁名册,
1541s 钱粮税付,
1543s 准备好售印呢?
1545s 是吗?
1547s 我看这样吧,
1549s 后天即刻出巷。
1551s 那好,
1553s 我等就等太守
1555s 下令了。
1569s 保龙,最心得过你,
1573s 怎么到了万急时刻,
1575s 你怎么替他们一般人
1577s 说话呢?
1579s 大人哪,
1581s 其一,敌兵势大,
1583s 我们断然打不过。
1585s 其二,兵心已变,
1587s 已独木难支。
1589s 依我看,
1591s 与其战败而降,
1593s 不如主动投降,
1595s 如此还可以像刘渡一样,
1597s 保留一个官位啊。
1599s 难道,
1605s 我们就束手就擒了吗?
1607s 难道,
1609s 我们就没有别的什么办法了吗?
1613s 办法嘛,倒是有,
1615s 不过,
1617s 那样做,
1619s 可太险恶了。
1627s 请,将军,
1635s 将军,请上座。
1637s 赵大人是贵阳郡守,
1639s 理应上座。
1641s 万万不敢,
1643s 赵某身为侠官,
1645s 立当下座相陪。
1647s 将军,请。
1649s 赵大人,
1654s 你我已是义主同仁,
1656s 还何必客气?
1661s 将军,请坐。
1669s 将军,明镇天下,
1671s 却如此谦和,
1674s 下官照范,
1676s 敬子龙将军。
1681s 请。
1701s 贵阳刚刚归顺刘备,
1703s 你等务虚严加寻防,
1705s 你等立即去关闭城门,
1707s 禁止任何人出入。
1709s 诺。
1711s 将军,
1719s 姓赵,
1721s 我也姓赵,
1723s 五百年前何是一家呀?
1725s 此外,
1727s 将军是正定人,
1729s 某
1731s 也是正定人,
1733s 万世中,
1735s 两个正定人在此相逢,
1737s 乃天意呀。
1739s 如若将军不弃,
1741s 下官愿与将军
1743s 结为兄弟,
1745s 可好啊。
1747s 那大人,
1749s 小弟敬你为兄啊。
1751s 哪里哪里。
1753s 兄弟,
1755s 你这是。
1757s 兄长在上,
1759s 受小弟一。
1761s 醉了,
1764s 真快。
1766s 来人,
1775s 咋了?
1777s 先把酒倒掉,
1779s 把他的佩剑拿掉,
1781s 把人抬进屋里休息吧。
1783s 诺。
1785s 待会儿我请嫂夫人出来。
1820s 将军请擦脸。
1822s 这里是?
1824s 这里是我夫君先前的卧房。
1829s 我走错地方了。
1834s 兄弟,
1836s 你没走错啊。
1838s 兄长,
1840s 这到底怎么回事?
1842s 我哥已经去世。
1844s 嫂嫂
1846s 久仰将军大名。
1848s 所以,
1850s 就让嫂嫂
1852s 侍奉兄弟吧。
1854s 这有位李叔,
1856s 断断不可。
1868s 兄弟啊,
1870s 错怪我了。
1872s 此事绝非乱伦。
1874s 中间,
1876s 有个缘故啊。
1879s 你听我给你解释。
1886s 你说说,
1889s 先兄弃世已经三年多了。
1891s 嫂嫂孤军,
1893s 终非了局啊。
1895s 我多次劝她改嫁,
1897s 可她非要嫁给一个
1899s 文武双全,
1901s 文明天下,
1903s 相貌堂堂,
1905s 威仪出众的人啊。
1907s 此外,
1909s 这个人还必须得姓赵。
1911s 你看,天下哪有这般巧合的事啊。
1913s 兄弟,
1915s 我都不愿啊。
1917s 那如此,
1919s 我要多谢你的好意了。
1921s 那敢问赵大人,
1923s 如果我答应了这门亲事,
1925s 你还有什么长远打算吗?
1927s 玉雄,
1929s 我在徐昌有一座豪宅。
1931s 徐昌?
1933s 那不是嫂嫂的属地吗?
1935s 正是,
1937s 正是啊。
1941s 丞相对子龙将军,
1943s 压目已久啊。
1945s 你设下此局,
1947s 就是要我投奔曹贼。
1951s 不是啊,兄弟啊。
1953s 谁是你兄弟?
1955s 我们毕竟结为兄弟了嘛。
1957s 兄弟,你听我说,
1959s 刘备成不了大事。
1961s 多其天下,必定是曹操啊。
1963s 兄弟,
1965s 你们是要拿我吗?
1976s 将赵云拿下!
2010s 快追,
2044s 抓住赵云!
2046s 大人啊,
2048s 看来赵云的武艺,
2050s 果然是匪夷所思啊。
2052s 赵云再勇,也是肉身凡胎。
2054s 再说,他只带了五计人。
2056s 和烈,
2058s 斗不过他,就杀了他。
2060s 绝不可以放走赵云!
2062s 快,追!
2123s 拿住赵云了吗?
2125s 没,没有。
2127s 杀死他了吗?
2129s 也没有。
2131s 中军效费沉硬,
2133s 打开城门,把赵云送出城了。
2135s 什么?
2137s 赵云,
2139s 他出城了!
2150s 咱们快走吧,不到一个时辰,
2152s 赵云必率军进城。
2154s 你这是找什么啊?
2173s 印寿,
2175s 我的太守印寿啊。
2177s 我连命都过不了了,
2179s 还要什么印寿啊?
2181s 找到了!
2185s 快走!
2187s 快逃命吧!
2230s 关将军,主公和军师正在后堂议事。
2232s 大哥,军师,
2246s 我来了。
2248s 印长啊,怎么来的这么快?
2250s 我算你至少还得两日呢。
2252s 在荆州,
2254s 除了操练士族,就是打造军械。
2256s 办得很啊。
2258s 哪有易得子龙他们痛快。
2260s 军师,
2262s 图看得怎么样?
2264s 长沙一定是我的。
2266s 啊,
2268s 关将军路途劳顿,
2270s 我看先休息两日,
2272s 此事以后再议吧。
2274s 些什么呀?
2276s 赤壁之后,
2278s 你们一直让我操练兵马,
2280s 我可是练就了
2282s 一万进足啊。
2284s 如果再不出战,刀都要朽了。
2286s 看这样,
2290s 不让运长早些上阵是不行了。
2292s 既然如此,
2295s 那就请主公下令吧。
2301s 丹羽听令。
2303s 在。
2305s 令你三十日内收取长沙及其所属各处城关。
2307s 此议,
2309s 务须恩威并治,不可坏了城国,
2311s 不可扰民,更不可妄杀无辜。
2313s 遵命。
2315s 嬴长啊,
2317s 子龙娶贵阳,易得娶玲玲,
2319s 都只带了三千军去。
2321s 但此次长沙不同,
2323s 其太守韩玄所部,可谓兵经将。
2325s 尤其是手下老将黄忠,
2327s 年余六巡,
2329s 你不可小识。
2331s 此议,
2333s 你带六千军去。
2335s 军师,
2337s 何以长他人锐气,
2339s 灭自家威风呢?
2341s 量一老族,
2343s 不足瓜池。
2346s 我无须带这么多人吧。
2348s 只带本部五百孝道手,
2350s 便可娶黄忠,
2352s 韩玄首级,
2354s 县宇大哥。
2356s 嬴长,你未免太轻敌了。
2358s 请军师带六千军去。
2360s 不,
2366s 我只带五百孝道手。
2368s 这……
2370s 大哥,你就放心吧。
2377s 不然,
2379s 我愿立军令庄。
2381s 若秦不到皇中,
2383s 甘愿军法从事。
2385s 华戎道一事,
2388s 将军也曾立过军令庄。
2390s 请军师相信,
2404s 此次,
2406s 官某,
2408s 愿为华戎道之罪,
2410s 学齿。
2412s 好了,
2415s 备酒,为嬴长壮行。
2417s 不用了,
2419s 大哥军师,待我娶了长沙,
2421s 再回来痛饮庆功酒。
2423s 军令庄,
2425s 随后送上。
2427s 嬴长为将这么多年,
2443s 这争强好胜的性子
2445s 还是改不了。
2450s 你料此意,嬴长能成吗?
2452s 此意,
2454s 嬴长必成,必胜。
2456s 你好像比他自己还缺心吗?
2460s 因为我们提到的华戎道,
2462s 此事,
2464s 是官将军心中的一块隐痛。
2466s 他非要学齿建功不可。
