7s 我们以前真是错待他了。
1372s 期数已尽
1373s 早就应该改朝换代吧
1375s 望眼天下
1377s 还有谁
1379s 还有谁比相国你
1380s 更配成天即位
1382s 做皇帝呀
1384s 李兄弟的这份心
1388s 咱家是
1389s 极为感动
1391s 只是
1392s 各路诸侯
1398s 如是听说
1399s 咱家是做了皇帝
1403s 他们会不会
1404s 记恨咱家
1405s 会不会起兵闹事
1407s 还有
1408s 满朝百官会不会
1411s 认咱们是天子
1414s 门
1415s 相国
1416s 相国你多虑吧
1420s 自古以来
1421s 都是为帝者
1422s 先坐上龙椅之后
1424s 再迫使那些
1425s 不遵奉者
1427s 那些不遵奉者
1428s 为遵奉
1429s 不服气者
1430s 为服气
1432s 如果
1433s 相国想慎重从事的话
1436s 也可以分两步走
1439s 这第一
1440s 先遵奉为上奉
1443s 进出用天子一仗
1446s 第二
1447s 斥令以圣旨办法
1449s 这样一来
1450s 也可以看看
1451s 各路诸侯
1452s 与朝中百官
1454s 作何反应
1455s 之后
1456s 再更进一步
1458s 及皇帝大位
1462s 这
1463s 上父是什么意思
1468s 就如同
1469s 当今天子的爹
1476s 那李兄弟的意思是说
1478s 让咱家先坐一下
1480s 太上皇
1481s 然后再坐皇上
1483s 是吧
1485s 正是
1488s 好
1489s 好啊
1490s 这个名目好啊
1497s 李兄弟
1499s 看来
1500s 你真是个好兄弟
1504s 那就有劳你
1505s 来传达一下咱
1508s 不
1509s 要传一下
1510s 上父的旨意
1512s 你说
1513s 咱家明日正午
1515s 要宴请各位百官
1518s 并给他们加官进爵
1521s 请各位百官
1522s 统统赴宴
1524s 臣遵旨
1528s 还有
1529s 李如廷旨
1531s 臣在
1533s 咱家即刻拜你
1534s 为朝廷大司空
1537s 为举三功
1539s 臣谢恩
1544s 杨大人
1565s 王大人
1566s 王大人
1567s 刘大人
1568s 来了
1569s 王大人
1570s 李将军
1571s 请
1572s 李将军
1575s 请
1576s 李将军
1578s 真是好地方
1582s 好地方
1583s 真是
1584s 你看看
1585s 是啊
1586s 你看看
1587s 这情况啊
1588s 真是
1592s 真是
1593s 如意先驾
1594s 这门宫巧相不错
1599s 好啊
1600s 好气派
1602s 你看这门宫啊
1604s 真是不错
1610s 看看
1611s 董相伯这片私宅
1614s 一大片宫廷
1615s 都要壮丽十倍
1618s 董相他
1619s 为了造这座梅雾
1621s 调集了三十万民族
1623s 耗尽了朝廷库人
1626s 他还把宫女和嫔妃
1627s 都调到这里
1628s 供他迎乐
1630s 此外
1631s 他还在梅雾
1632s 囤积了足够
1633s 食用二十年的粮谷
1635s 助生有八万金币
1637s 王大人
1638s 这梅雾
1639s 虽说是风花雪月之地
1642s 可以是天下第一重镇
1644s 是啊
1647s 看来董相伯
1649s 是要在这安享人生极乐
1653s 他董贼不死
1655s 必胜
1656s 必胜
1657s 大汗必亡啊
1659s 必胜
1660s 请请
1661s 请
1662s 各位爱卿
1663s 袁绍的十八路贼军
1666s 被咱家是通通打垮了
1669s 贼将孙坚
1671s 也被咱西粮将士给斩杀了
1675s 各州的刺史太守们
1677s 纷纷上表称贺
1680s 中原大地是一片平安
1684s 恭喜相国
1687s 恭喜尚父
1688s 恭喜相国
1690s 恭喜尚父
1694s 尚父平叛护国
1696s 臣氏古机罕见
1698s 堪与日月同辉
1700s 臣张温敬送尚父万寿无疆
1704s 哪里哪里啊
1706s 寡人只是和各位爱卿
1708s 同福同喜
1710s 寡人
1713s 尚父为国建此书勋
1715s 足见天意所归
1717s 大势所趋
1718s 臣请求尚父
1720s 承天意顺民心
1722s 改缘开国及天子位
1725s 张爱卿
1726s 你觉得咱家做皇上合适吗
1731s 合适合适啊
1733s 如果尚父不肯做皇上
1735s 反而是上武天意
1737s 下富民心
1738s 那就不合适了
1740s 臣请求尚父
1741s 为国为民着想
1743s 及大魏创新朝啊
1748s 张爱卿
1749s 你对咱家可真是
1751s 一片忠肝义胆哪
1755s 那么这个事
1756s 各位爱卿是怎么看的
1787s 张爱卿劝咱家做皇帝
1792s 真可谓是一片忠肝义胆
1796s 忠肝义胆哪
1798s 臣只是不必容辱
1800s 直言尽忠而已啊
1802s 可不知道你这副忠肝义胆
1810s 取出来下酒如何呀
1815s 拿下
1820s 诺
1821s 尚父
1822s 臣无罪啊
1824s 尚父
1825s 臣忠心肝肝啊尚父
1827s 尚父
1828s 臣无罪啊
1830s 尚父
1831s 这位爱卿
1832s 尚父
1833s 请不要惊慌
1837s 张温这死
1839s 表面上劝咱家做皇帝
1842s 可暗地里却勾结袁氏兄弟
1847s 想取咱手机
1850s 尚父
1851s 刚刚袁氏有密信来
1854s 被咱邵记截住
1859s 不知道在座的宗爱卿当中
1861s 还有谁像张温那样
1863s 表面上忠顺
1865s 背地里却勾结叛逆
1868s 图谋取咱手机
1870s 有没有啊
1873s 有没有
1875s 有没有
1880s 要是有的话
1882s 咱家可是一眼就能看出来啊
1889s 上酒
1901s 按照咱凉州将士的规矩
1934s 对待那些叛逆者
1936s 要削其手
1939s 擒其皮
1940s 食其肉
1941s 饮其血
1944s 列位爱卿都是高雅之事
1947s 这食肉擒皮之事吗
1950s 咱家就提列位免了
1953s 那么各位只要是请稍用此酒
1958s 便可表明心意
1961s 请
1962s 真是甜美无比
1979s 回味无穷啊
1982s 好
1983s 好酒啊
1987s 你们
1988s 请啊
2013s 王司徒大人
2015s 这酒的味道如何呀
2018s 好
2019s 真好吗
2025s 真好
2026s 算不算
2030s 来啊
2033s 让司徒大人再饮三杯
2040s 一醉方休
2042s 请
2043s 主公回来了
2076s 主公
2077s 这是怎么了
2079s 小姐
2080s 貂蝉小姐
2083s 义父
2084s 平手
2086s 我不是
2087s 平手
2092s 我不是人
2095s 亲手
2097s 义父小心
2100s 我不是人
2102s 我不是人啊
2111s 我与亲手
2113s 我与亲手绝不
2116s 绝不两立
2120s 义父
2125s 我生不能杀你
2128s 我死也要向你索命
2133s 义父
2134s 是在诅咒董卓那个老贼吗
2137s 他不但是个亲手
2140s 他把公卿搭着
2142s 把我也逼成亲手了
2147s 貂蝉啊
2150s 我王云本是书香门第
2154s 三代为臣
2156s 忠义一世
2158s 清白平胜
2161s 可是今天
2163s 今天
2166s 今天我却满嘴血腥
2172s 身为臣子
2178s 受秦寿之辱
2181s 却不能反抗
2183s 是天子蒙尘
2186s 我却苟且投生
2192s 我王云连亲手都不如我
2198s 我生不如死
2203s 义父
2204s 你担当着新国新邦的大业
2206s 万万不可有亲生的念头啊
2208s 你看天子
2210s 他小小年纪
2212s 受了那么多的苦难
2214s 容辱不禁
2216s 如果你撇下他
2217s 一走了之
2218s 你在九泉之下
2220s 如何面对先帝啊
2222s 先帝啊
2224s 先帝啊
2236s 老臣向你请罪
2240s 老臣向你
2241s 义父
2242s 主公
2243s 主公这是怎么了
2245s 无妨
2250s 主公
2251s 何事
2252s 吕布前来拜见
2259s 定是董卓
2267s 派他前来拿我了
2270s 扶我起来
2272s 更衣
2276s 我要堂堂正正的
2283s 赴死
2285s 不
2286s 主公
2287s 吕布是来送礼的
2291s 送礼
2293s 是给弟弟
2294s 送礼
2296s 是给貂蝉小姐
2298s 送生日礼物的
2306s 那就大堂
2307s 拜茶
2310s 遵命
2311s 今日
2322s 是你的生日吗
2324s 是
2327s 今天
2328s 是奴婢的生日
2332s 这事
2333s 连我都忘了
2336s 他吕布怎么会知道
2338s 是你告诉他的
2346s 说
2347s 你们有何苟且之事
2353s 义父
2354s 吕将军
2374s 我家主公请将军稍候
2377s 他这就出来了
2378s 貂蝉小姐在吗
2382s 在
2383s 在
2384s 来人哪
2385s 给将军拜茶
2387s 义父恕罪
2389s 奴婢
2390s 奴婢与吕将军
2391s 绝无苟且之事
2394s 那
2396s 他为何如此待你
2400s 便义父
2402s 您没在家的时候
2404s 吕将军
2405s 已经来过好几次了
2407s 什么
2412s 我怎么一点都不知道
2415s 他为何而来
2418s 上次
2419s 在千都的路上
2420s 吕将军
2421s 救了奴婢之后
2423s 就经常脱固而来
2426s 每次
2427s 都带些米面
2428s 酒水
2430s 和琳珞绸缎
2434s 我说最近家里
2436s 不缺吃穿
2438s 原来是他送的
2443s 百官眼眼待闭
2446s 他吕布
2447s 为何独独送我呢
2457s 我明白了
2459s 原来你
2460s 女儿
2475s 请受老夫一拜
2477s 你这是干什么呀
2480s 万万使不得
2481s 请起请起
2483s 女儿
2484s 你要不答应我一件事
2486s 老夫就常归不起
2489s 义父
2490s 我答应
2491s 什么事情
2492s 我全都答应
2493s 粉身碎骨
2494s 绝不退辞
2496s 求女儿
2497s 救救大汉
2499s 救救天下苍生吧
2502s 我一个弱女子
2503s 如何救得了大汉
2505s 和天下苍生啊
2508s 女儿
2509s 你只要答应一个救
2511s 就成了
2513s 要不然老夫
2515s 宁肯跪死
2517s 也绝不起身
2519s 我答应
2520s 我答应
2521s 义父
2522s 快快请起
2530s 女儿
2533s 老夫
2534s 想让你
2539s 喜欢上吕布
2542s 成了
2543s 成不成啊
2548s 你说呀
2549s 成不成啊
2550s 配不上吕将军
2563s 我糊涂了
2564s 我老糊涂了
2568s 好
2569s 好真是
2570s 天作之合呀
2573s 可是
2575s 这跟救大汉
2576s 有什么关系呢
2579s 这个
2582s 老夫
2583s 日后会和你说的
2586s 这会
2587s 这会
2589s 我得去会客
2592s 好
2593s 好
