18s 都带二百铁机,从后代杀出重围。
605s 传命。
606s 装将齐聚大战,
607s 听令。
608s 诺。
611s 恭喜啊,将军。
613s 为何?
615s 因为你脑袋还在脖子上。
618s 沈为将军,
619s 不听魏王的,
620s 反而听杨修的。
624s 刘的脑袋何用?
629s 刘备连胜武阵,
631s 已称交兵,
633s 交兵必败。
634s 此意,
636s 是我与刘备的最后战役。
638s 胜了,
639s 刘备死无葬身之地。
642s 败了,
643s 我就是第二个元上。
645s 明日,
646s 武精造范,
647s 天亮启程,
649s 全军开往五界山布阵,
651s 迎战刘备。
653s 遵命。
654s 来者何人?
717s 汉皇后裔,
719s 刘备自玄德。
722s 孟德兄好健忘啊。
726s 原来是玄德先帝啊。
729s 这世上还有比你更健忘的人吗?
733s 当年讨伐董卓的时候,
736s 是谁把你扶进了十八路诸侯?
738s 你被吕布追杀得无路可逃的时候,
741s 又是谁将你收留?
744s 常言道,
746s 知恩必报,
748s 你却恩将仇报,
749s 背反朝廷,
751s 祸乱天下。
755s 曹操,
757s 你建位称王,
759s 篡汉自立,
761s 求君事后,
763s 屠戮忠良。
765s 每一个大汉子民,
767s 都恨不得食乳肉,
769s 勤乳皮。
770s 我今日,
772s 奉天子写诏,
774s 杀你报国。
777s 又一个,
778s 食肉勤皮的就没点新词吗?
787s 我身后有四十万大军,
790s 你若不降,
793s 今天就是你的忌日。
800s 曹孟德,
803s 今日之战,
806s 我朝思暮想,
807s 我汉了十八年,
810s 明年今天,
813s 我会到你的坟前祭拜。
816s 你真敢与我交战?
819s 你以为我在虚张声势吗?
947s 天黑之前,
952s 还有哪些敌将没有出现?
955s 禀魏王,
956s 马超和魏延还没有出现在战场上。
960s 报!
961s 禀魏王,
962s 马超引兵外渔从左翼杀至魏河,
963s 现已夺下我军福侨!
969s 我来就来,
971s 传令徐晃,
973s 请他率两营铁骑,
975s 迎战马超。
976s 遵命!
978s 报!
981s 魏王,
981s 魏延率数千战骑,
983s 已经攻下了我军粮草大营!
984s 慌什么?
986s 那是座空营,
988s 我儿曹章早就在那等着他了。
996s 想什么呢你在?
1017s 大将没有出现。
1019s 谁?
1024s 他不是应该在刘备和诸葛亮身边吗?
1028s 确实如此,
1030s 可是在下担心。
1031s 担心什么?
1033s 在下担心的是,
1036s 魏王把所有的将军都派上了战场,
1039s 诸葛亮为何留下赵云不用呢?
1043s 话言之,
1045s 如果赵云不出现的话,
1047s 会不会在我们最薄弱的地方,
1051s 突然出现呢?
1052s 最薄弱的地方?
1053s 率领战机,
1059s 向我军带人上来了!
1060s 请魏王快快上马!
1061s 赵云冲我来啦!
1063s 魏王快走吧!
1064s 快上马,魏王!
1065s 快走吧,魏王!
1066s 我冲反了,
1076s 头痛欲裂!
1077s 魏王!
1081s 叫司马一来!
1110s 遵命!
1111s 主公有令,
1112s 叫司马一同同!
1114s 我军损失二十五万至三十万,
1137s 资中粮草尽失,
1139s 刘备攻取汉中各城市,
1141s 在魏王昏迷时,
1143s 军情万起,
1146s 臣便与承玉、曹璋、徐皇等商量后,
1151s 替魏王下令撤军,
1153s 现正在回徐昌的路上,
1156s 臣越权行事,
1158s 请魏王治罪!
1159s 你们做得对!
1162s 现在谁在断后?
1163s 三公子曹璋亲率三万军马,
1166s 服于邪谷一带,
1168s 他此意极为应用,
1171s 不下于赵云,
1173s 刘备必不敢追杀。
1175s 当初真应该听你的,
1178s 杨洞与汉中,
1180s 避免跟刘备作战,
1182s 辉石南下直取荆州,
1193s 你说刘备,
1195s 下一步会有什么企图?
1197s 刘备攻取汉中以后,
1199s 必效仿高祖刘邦,
1202s 辉石中原,
1203s 居高临下,
1205s 先攻取徐昌、洛阳,
1207s 进而进取天下。
1213s 你说,
1215s 我会成为第二个袁绍吗?
1223s 误会。
1224s 说实话。
1225s 臣说的是实话。
1226s 为何?
1227s 此意刘备虽大胜,
1230s 但他粮草共浅,
1231s 托制千里,
1234s 数粮运至汉中,
1236s 非一月不至。
1237s 还有,
1239s 刘备此意伤亡不少,
1241s 急需修正。
1243s 臣估计三个月乃至半年内
1245s 不会有大战。
1247s 再者,
1248s 魏王此意随败,
1251s 但中原各州仍有三十万旧决,
1254s 加之曹人,
1255s 樊城、襄阳两地,
1256s 仍住有十万精锐,
1258s 丝毫未动。
1260s 那你有何良策?
1262s 魏王安心修养,
1263s 日后再议吧。
1264s 现在就说,
1265s 快。
1269s 臣愚钝,
1270s 并无什么良策。
1272s 魏王非让臣说,
1274s 臣还是先前那句话,
1276s 致输孙权,
1277s 约他攻取荆州。
1281s 可是上次,
1282s 我借了他几十万粮草,
1284s 他却言而无信,
1285s 并没有举逼。
1287s 上次魏王刘备胜负未分,
1290s 孙权想坐观成效,
1292s 坐收余力。
1294s 这次不同了,
1295s 魏王大败而刘备大胜,
1298s 对孙权而言,
1301s 最可怕的敌人现在不是魏王,
1305s 而是刘备。
1329s 各位将军辛苦了,
1332s 我敬各位一尊。
1333s 头贼,
1342s 这回是兵败如山倒啊。
1344s 四十万大军是不堪一击,
1347s 就连他的帅旗都被我们给夺下来了,
1351s 我是一直追杀到邪谷啊,
1354s 又不是曹操那个狗儿子曹章,
1357s 拼死挡我,
1360s 曹操的狗头早就被我摘下来了。
1363s 曹军这次是锐气夺劲的,
1366s 被扶的兵族说,
1368s 曹操中箭,
1369s 差点是丧命了。
1374s 禀报主公,
1375s 刘丰、孟达、王平三将,
1376s 已攻取上庸诸君,
1378s 汉中全境,
1379s 见归主公了。
1380s 好啊,
1381s 兄长,
1383s 你已经是坐拥半地天下了。
1386s 恭喜主公,
1390s 都是列位之功,
1392s 只曹操未死,
1394s 许昌未下,
1396s 我等仍不可懈怠。
1400s 来,
1401s 我等共敬主公一杯。
1404s 好,
1405s 敬敬主公。
1417s 主公仁义住于四海,
1420s 又是皇室正统,
1422s 更拂有两川之地于荆州,
1425s 代价百万,
1426s 上将千元,
1429s 天下大势,
1430s 已归于主公了。
1435s 敢请主公敬汉中王,
1436s 之后召天下本领,
1437s 共讨操贼,
1438s 一统天下。
1440s 说得好。
1443s 孝侄,
1445s 此言差矣,
1447s 天子仍困于许昌,
1450s 刘备如不思救驾,
1452s 反而自立,
1454s 岂不跟曹操一样了吗?
1458s 建居尊位的事,
1460s 我不能做。
1462s 此事万万不要再提了。
1465s 请主公及王位,
1466s 如再推却,
1467s 我等不答应。
1469s 请主公及王位。
1478s 主公庭生,
1480s 以义为本,
1483s 无天子召,
1484s 主公绝不肯自立为王。
1488s 依我之见,
1490s 众文武的心意不可为。
1493s 请主公敬畏汉中王。
1496s 各位尊我为王,
1503s 令被感激不已。
1509s 没有天子明诏,
1512s 我这可是僭越。
1514s 主公,
1515s 高祖早有一言,
1518s 非刘氏称王者,
1519s 天下共诛之,
1521s 曹操是异性贼,
1522s 尚且做了位王。
1524s 主公乃汉氏正宗,
1526s 做个汉中王,
1528s 又有何不可?
1529s 说得好,
1531s 哥哥就别说是做王了,
1534s 就是哥哥做了皇帝,
1535s 又有何不可?
1541s 主公应遗从权便,
1543s 先敬畏汉中王,
1545s 然后裱奏天子,
1547s 也未迟矣。
1551s 那就以军师所言吧。
1559s 臣法正参见汉中王。
1564s 参见汉中王。
1598s 好久没有听到先生
1599s 弹奏这支琴曲了。
1601s 是啊,
1605s 手都生了。
1608s 先生,
1609s 好像有心事。
1612s 刘长啊,
1614s 昨天,
1616s 已经有人拥主公为弟了。
1619s 我感觉到,
1620s 不仅众将有此心。
1622s 不许胡说。
1629s 在下失言。
1632s 学生想说的是,
1633s 如此大盛,
1634s 已经让好些文武忘无所以。
1637s 是啊,
1640s 以前我们经历了
1641s 那么多的失败,
1642s 我都不曾感到恐惧。
1645s 而今天的大盛,
1647s 却让我感到
1648s 前所未有的忧虑。
1650s 先生之所虑,
1652s 正是学生之所想啊。
1655s 你听听那狂欢之声,
1658s 悠悠青史告诉我们,
1661s 危险,
1663s 总在狂欢时逼近。
1666s 而让我忧虑的却是,
1668s 我不知道这危险是从何而来。
1679s 主公已攻起汉中,
1681s 还尽位为
1683s 汉中王。
1685s 好啊,
1688s 下一步,
1689s 主公必亲率
1691s 百万大军,
1692s 挥师东上,
1693s 一举拿下洛阳许昌。
1696s 草草大势已去,
1699s 不出一年,
1701s 天下必然大定。
1706s 父亲,
1706s 我们该如何行动?
1708s 先挥师北上,
1709s 攻取藩城,
1711s 然后等我
1713s 和主公南北相击,
1715s 挥师在许昌城下。
1718s 君侯,
1720s 藩城本是一座尖城,
1723s 那里更有大将曹仁
1724s 率十万重兵驻防,
1727s 那里形势险要,
1728s 易守难攻,
1731s 而曹仁
1732s 志勇皆备,
1733s 惯于打硬仗恶仗。
1735s 五年前,
1737s 他在极其不利的情况下,
1739s 差点射死周瑜。
1747s 此话什么意思?
1750s 军师入川前
1752s 再三嘱咐我们,
1753s 坚守京中,
1755s 不可轻动。
1757s 再说,
1758s 主公并没有令我们
1760s 攻取藩城。
1762s 你就只听诸葛亮的话,
1764s 主公随吴明命
1765s 命我攻取藩城,
1767s 他让我以京中为戒,
1770s 伺机而动。
1772s 藩城
1773s 是曹操中原重镇,
1775s 一直阻挡我们北上,
1777s 岂能不拔指。
1780s 再说,
1782s 毕德和子龙在汉中
1784s 已经立了大功。
1785s 诸位将军,
1786s 难道你们
1787s 就甘心坐在京中
1789s 看着别人杀敌立功吗?
1791s 攻取藩城,
1792s 与主公会师许长成家。
1794s 莫将愿当先报!
1795s 莫将愿当先报!
1796s 莫将愿当先报!
1797s 攻取藩城!
1798s 副使人,
1799s 民方听令。
1801s 莫将在!
1802s 命你二人
1803s 同两万精兵为先锋
1805s 明日出发,
1806s 先去襄阳,
1808s 等我大军一到,
1810s 再去藩城。
1812s 遵命!
1813s 大吏请话!
1821s 将军,
1822s 副使人民方半夜饮酒
1823s 不是引起冰胀大火,
1824s 现已燃了半个军营了。
1826s 他们二人明日就要出征,
1828s 今天还在饮酒?
1830s 快快调集兵马,
1831s 前去救火。
1832s 少将军已经带了五千人,
1833s 前去救火。
1834s 升帐!
1835s 拿下副使人民方!
1837s 诺!
1838s 是从你二人帐里燃起的?
1856s 都是莫将疏忽。
1860s 疏?
1861s 我命你二人为先锋,
1864s 未曾出发,
1865s 先起大火,
1866s 如此无事,
1868s 要二人等何用?
1870s 推进去!
1872s 战!
1873s 诺!
1874s 将军饶命!
1875s 将军饶命!
1876s 将军饶命!
1877s 将军饶命!
1878s 我将再也不敢了!
1879s 继皇,
1880s 大军尚未曾出师,
1882s 先斩先锋,
1883s 于君不利啊。
1885s 还请将军念其旧功,
1887s 暂免一死,
1889s 令其二人在阵前
1890s 戴罪立功。
1892s 求将军宽恕,
1894s 穆将愿以杀敌减功啊!
1896s 如此无事,
1897s 怎为先锋?
1898s 我只看在继常的面上。
1901s 传令下去,
1904s 每人重责四十大板,
1912s 军将三职。
1914s 一方守南郡,
1916s 副使人守公安,
1918s 再有差池,
1920s 二罪并罚!
1922s 谢将军不杀之人!
1924s 谢将军不杀之人!
1926s 谢将军不杀之人!
1928s 继皇啊,
1929s 南郡公安皆乃要法,
1935s 君侯若不愿让弥方副使人
1938s 在阵前效力,
1940s 也不该把这两个要法之地
1942s 交给他们去守。
1944s 只怕再出差池啊。
1947s 大晋既要北征,
1949s 正是用人之计。
1953s 此案人虽然有些粗心,
1955s 但是作战尚且勇猛。
1957s 对付江东那些鼠辈足矣。
1961s 在下,
1962s 还请君侯三思。
1969s 不必多礼,
1970s 此事就这么定了。
1972s 官平调划听令!
1974s 在!
1975s 命你二人为先锋,
1979s 明早出发,
1981s 如有差池,
1983s 定斩不赦!
1984s 遵命!
1985s 昨日揭报,
1987s 关羽突然发兵北藩,
2004s 破了襄阳,
2006s 现为凡城甚急。
2008s 曹人来信求援,
2011s 凡城几乎是
2014s 凡城乃我中原重镇,
2017s 万不容失。
2019s 列为将军,
2024s 谁愿以领一支军
2026s 出战关羽,
2027s 借凡城之为案?
2037s 看来,
2038s 经过汉中大败,
2041s 无人愿意出征了。
2045s 好吧,
2046s 那我就点将吧。
2048s 羽敬,
2050s 末将在!
2054s 各位将军都刚从汉中归来,
2057s 各有伤情,
2058s 你是我的上将,
2060s 多年未曾出战,
2062s 此意你去如何?
2064s 禀威王,
2069s 自西梁之战后,
2071s 末将奉命屯田,
2072s 九叔阵战,
2074s 只怕会误了
2076s 威王的大事。
2077s 什么话?
2078s 当将军的只知道屯田
2080s 还能叫将军吗?
2083s 你从前不是也打过许多恶仗,
2086s 见过许多功训吗?
2088s 那都是卫王在阵前指点的,
2091s 而这次,
2093s 关羽成名汉将,
2095s 威震天下,
2096s 末将担心。
2098s 你为什么不反过来想想呢?
2102s 你如果斩了关羽,
2104s 你不就威震天下了吗?
2106s 末将遵命,
2110s 请卫王再派一员将军为先锋,
2113s 随我出战关羽。
2116s 谁愿意做这个先锋官呀?
2118s 看来汉中小败几仗,
2129s 列卫都不愿意打仗,
2133s 都怕了。
2135s 是吗?
2136s 那好吧,
2140s 就让我这个老朽,
2142s 去给于敬将军当这个先锋官吧。
2145s 我此去,
2147s 定会与关羽一命相补。
2150s 列卫,
2151s 就请坐毕上官吧。
2154s 卫王,
2155s 末将愿为先锋,
2160s 誓秦关羽,
2162s 欠于婚下。
2164s 庞德,
2165s 好。
2168s 看来我军中,
2170s 还有一个人没有被关羽吓破胆。
2174s 庞德,
2175s 我且问你,
2177s 那关羽,
2178s 威震天下,
2180s 十多年未逢对手,
2182s 莫非你不惧他?
2184s 那关羽是人,
2185s 我也是人,
2187s 那关羽有刀,
2189s 我也有刀,
2191s 我何惧之有?
2194s 卫王何不问问,
2196s 那关羽惧我否?
2200s 好!
2202s 庞德,
2204s 就冲你这份豪气,
2207s 我赏你进爵两机,
2209s 令你为先锋,
2211s 与于晋,
2212s 同率八万军,
2214s 前往樊城,
2215s 出战关羽。
2217s 我会自提二十万人马,
2220s 为你们的后援。
2222s 遵命!
2223s 受于晋,
2228s 上将军印,
2229s 受庞德,
2231s 先锋副将印。
2234s 都退了吧,
2236s 明日,
2237s 我会舍酒,
2238s 为两位将军送进。
2240s 于晋,
2254s 你还有何事吗?
2256s 卫王,
2258s 这庞德,
2259s 原是马超手下的副将,
2261s 不得已,
2262s 而归顺卫王,
2264s 现在,
2265s 其雇主在刘备那里,
2266s 已高居五虎上将,
2268s 其心胸庞柔,
2269s 已在西川为郡守,
2271s 卫王使他为先锋,
2273s 末将担心,
2274s 是颇有救火呀,
2276s 请卫王三思,
2278s 再换一将。
2280s 酒我倒忘了,
2282s 快,
2283s 传庞德回来。
2285s 遵命,
2286s 卫王,
2287s 脚下庞德的先锋印寿,
2304s 这,
2305s 卫王,
2306s 为何如此?
2308s 庞德,
2309s 不是我信不过你,
2314s 你的雇主马超,
2316s 现在刘备帐下,
2318s 你的家兄,
2319s 也在川蜀做官,
2321s 我若用你,
2323s 众将,
2324s 也有非议,
2326s 恐怕会动摇军心,
2329s 所以你还是回归本职吧,
2333s 卫王,
2334s 当年我受伤背棋,
2337s 卫王不但不杀我,
2339s 还厚待于我,
2341s 我深感龙恩厚德,
2344s 此生就是肝脑涂地,
2346s 也难报答,
2348s 今天,
2350s 我做先锋是为了杀敌报恩,
2354s 请卫王明察,
2356s 就凭你这几句话,
2358s 我还是不敢,
2362s 把一支军队交给你,
2364s 将在外,
2365s 军命有所不受,
2368s 一旦你到了军前,
2370s 手握兵符,
2372s 谁又能管得了你,
2374s 卫王若是拿我的军印,
2379s 我今天就寇死在这里,
2382s 庞德,
2383s 如果你带兵去偷雇主,
2418s 说明你对雇主忠义,
2421s 如果你带兵去占关羽,
2424s 说明你对我忠义,
2426s 无论怎么做,
2428s 你都是个忠义的人,
2430s 刚才的事,
2439s 是故错了,
2441s 故向你赔罪,
2443s 来啊,
2444s 结果先锋印手,
