4s 丞相啊,如果要是二次北伐,你是不是打算从陈仓进军的?
985s 好招兵败,司马仪难逃欺君之罪。
991s 再者说了,陈仓要是会失手,早就失手了。
996s 让好招先消磨消磨诸葛亮吧。
999s 日后再战,对我有利。
1002s 大徒徒,施侯在外面抓住一名商客。
1008s 此人带来一封书信。
1025s 这是我军旧将江伟写给你的。
1028s 念。
1037s 就归乡大徒。
1042s 下去吧。
1043s 诺。
1046s 最将江伟百败,书成大徒徒。
1049s 在下父祖皆为未臣,天授边城,刀切后文。
1054s 在下知音误众诸葛亮奸计,
1057s 竟致陷身于滇崖之中,不得而乍翔之。
1061s 在下思念故徒养弃国君,无日敢忘。
1066s 今信赖大徒徒率军而来。
1070s 在下如酒汉望甘林,
1073s 愿归乡大徒徒将功折罪,以为父祖天灵。
1078s 此信,八成就是诸葛亮的圈套。
1083s 诸葛亮诡计妥团。
1085s 数月前,东吴的周房就是违规诈相计。
1088s 大白操修啊。
1090s 诸葛亮何等奸诈?
1098s 若照葫芦画瓢,
1100s 岂不是连皇口孩童都骗不了?
1102s 大徒徒的意思?
1105s 江伟和周房不同。
1107s 周房是吴人,
1109s 江伟是魏人,
1111s 江伟的父祖坟陵都在中原。
1114s 而这相属,
1116s 也是情势所迫啊。
1119s 这回,当天让我见功。
1128s 关怀,
1134s 你马上去众上来人,让他告诉江伟,
1137s 约好日期举火为号,
1139s 一举攻破蜀君。
1141s 还有,
1142s 诸服江伟,
1143s 定要生秦诸葛亮。
1145s 遵命。
1146s 我倒要让朝廷看看,
1154s 会打仗的,
1156s 不只是司马仪啊。
1160s 江伟派人来迎了。
1182s 禀大都督,
1183s 江伟将军已派三千甲士将中军大战围住,
1186s 等候大都督到来。
1188s 诸葛亮呢?
1189s 就在中军大战之中,
1191s 已插翅难飞。
1193s 你回去告诉江伟,
1195s 半个时辰之后,
1196s 我率五万兵马杀到,
1198s 叫他听到号响,
1199s 立刻行动。
1201s 如果这回真的抓住了诸葛亮,
1204s 我报他做卫大司徒。
1206s 去吧。
1207s 传令加速。
1213s 加快速度!
1216s 中军大战,
1217s 勤拿诸葛亮!
1249s 丞相,
1392s 卫军大败,
1393s 往南而逃,
1394s 死伤不下两万。
1395s 禀丞相,
1400s 末将连破卫军五座营阵,
1402s 缴获自重兵器无数。
1410s 丞相。
1414s 丞相,
1416s 这是卫先锋上将废掉的人头。
1419s 我只差片刻,
1420s 没能斩下曹真。
1423s 我说此计,
1425s 本是要情杀曹真的。
1429s 可惜大计小用啊。
1431s 诸位将军,
1436s 你们回本战,
1438s 好生休息一日。
1439s 明天,
1440s 班师难归。
1443s 我军刚刚大胜,
1453s 为何却要班师难归啊?
1455s 不归不行啊。
1458s 陈仓那边,
1460s 熬兵二十多日都没有攻破。
1463s 陈仓粮道不同,
1465s 汉中的粮食就运不进来。
1468s 军中的粮草,
1470s 只能维持五日。
1472s 如不退军,
1474s 断了粮,
1475s 就真的危险了。
1477s 那为何不乘胜禁军,
1479s 一虎作擒,
1480s 攻下陈仓?
1481s 陈仓尘位于险要之地,
1487s 周围容不下太多军士,
1489s 力功无用。
1492s 武艺已决,
1494s 你们准备拔营吧。
1498s 遵命!
1500s 若非你,
1535s 为父就回不了京城了。
1538s 儿正在山中扎营,
1541s 突然听说父亲起兵偷袭蜀军,
1543s 儿急忙赶来驻战。
1545s 多亏了虎威将军王双,
1547s 儿才杀入崇威。
1549s 王双,
1551s 你是哪里人士?
1553s 西梁,
1554s 末将的战绩,
1556s 都是西梁骏马。
1558s 我怪你之用,
1560s 不下当年吕布。
1563s 司马夷见了个好招,
1566s 在陈仓城是屡战屡胜,
1568s 整个朝廷都在夸他。
1571s 你好好效力,
1573s 我保你做车记将军。
1576s 谢大都督,
1577s 末将必效死命。
1579s 大都督!
1581s 大都督!
1583s 蜀军追来了?
1584s 拜军回报,
1585s 说诸葛亮拔营难归了。
1587s 拔营难归了?
1588s 这可怪了。
1592s 按理说,
1593s 诸葛亮打了胜仗,
1595s 应该成胜追击才是。
1597s 诸葛亮他断粮了!
1603s 真的?
1605s 父亲何以知道?
1607s 大都督所言不错,
1609s 只因蜀军一直未能攻下陈仓,
1612s 陈仓粮道不通,
1614s 汉中粮草就叙不上。
1616s 诸葛亮所用粮草皆为随营所带。
1618s 三十万大军能用多久?
1621s 他若不退,
1622s 只能饿死。
1624s 父亲,
1626s 请赐我五万军,
1627s 而日夜追杀。
1628s 五万怎够啊?
1630s 最少也得是五万,
1632s 要杀就杀他个片甲不留。
1635s 现在,
1636s 哪来的十五万军啊?
1641s 诸葛亮退兵,
1642s 避过旗山。
1643s 曹爽,
1644s 你率本部人马,
1645s 从北面追杀,
1646s 至旗山下方指。
1648s 王双,
1649s 你率我剩下人马,
1651s 约十万上下,
1652s 从南面追杀,
1653s 至杨平关方指。
1655s 遵命!
1656s 慢!
1657s 这些还不够。
1659s 王双!
1660s 在!
1661s 你途经陈仓,
1662s 传我军令,
1663s 令郝昭跟你一起起兵,
1665s 合兵一处,
1666s 咽杀诸葛亮。
1667s 大都督,
1668s 郝昭是司马仪的部将,
1670s 如果他不奉命,
1671s 我该怎么办?
1673s 取我大都督兵符来,
1679s 王双接符。
1682s 王双,
1683s 郝昭若是不奉命,
1685s 你支此符,
1686s 令他交出所有兵马,
1688s 归你同属。
1690s 王双啊,
1691s 如此一来,
1692s 你拥兵不下十五万,
1694s 见大公的时候到了。
1697s 多谢大都督,
1699s 王双如不能斩下诸葛亮,
1701s 甘受军阀。
1702s 虎威将军王双,
1716s 见过好将军。
1718s 你来何事?
1719s 奉大都督军令,
1721s 请将军出军,
1722s 与我共同追杀蜀军。
1725s 哪个大都督?
1727s 还有哪个大都督?
1729s 曹真。
1730s 恕我不奉命。
1732s 将军说什么?
1733s 朝廷给我的言令,
1735s 要固守陈仓,
1736s 无论何时,
1737s 城中兵不得倾处。
1743s 将军请看,
1744s 这是天子赐予大都督的兵符,
1747s 见此符如见天子。
1749s 你如不奉命,
1751s 即使今天我杀不得你,
1753s 日后曹真一样会杀了你。
1756s 将军请三思啊,
1758s 你主司马已远在洛阳,
1761s 而现在统兵征战的,
1764s 是曹真大都督啊。
1766s 你留下兵符为质,
1768s 我拨你一半人马。
1770s 你!
1771s 当然了,
1772s 你还有一个办法。
1773s 什么办法?
1774s 拔剑杀我。
1778s 好,
1780s 请将军,
1782s 拨给我一半兵马吧。
1784s 丞相太过于谨小慎微了,
1795s 换了我,
1796s 就会一鼓作气,
1798s 拿下陈仓。
1799s 我只要把废药的人头往城头上一扔,
1802s 守军便会胆寒。
1804s 是啊,
1805s 撤军太可惜了,
1807s 下回再来,
1808s 不知要到何年何月了。
1811s 上次被发,
1812s 我就建议丞相给我精兵五千,
1816s 从紫巫谷击袭长安。
1819s 他要是早点听了我的话,
1821s 中原今天早就大定了,
1823s 何止于今天?
1831s 禀少将军,
1834s 丞相口谕,
1835s 请少将军到前面神庙相见。
1837s 丞相。
1867s 好你个魏文查,
1872s 胆子不小啊,
1874s 一路上都在叨咕本相的故事,
1876s 连上次被发的事都翻出来了,
1879s 你熬到天上去了。
1881s 丞相,
1882s 在下有罪,
1884s 甘当受罚,
1886s 但是我也有冤屈。
1889s 说。
1890s 三十万大军,
1892s 千里被发,
1893s 却被一个小小的陈仓当主,
1896s 我心有不甘。
1898s 再者,
1899s 丞相让我担当重任,
1902s 敢问重任何在啊?
1904s 难道是让我带头退兵不成?
1906s 你不想走就别走,
1908s 我赴你五万精兵留守此处,
1911s 等着攻杀曹箴的追兵。
1913s 如追兵不来怎办?
1914s 我自降三级,
1916s 如果追兵来了你战不胜,
1919s 怎办?
1920s 我甘受军罢。
1923s 好,
1924s 我告诉你,
1926s 曹箴的公子曹爽,
1928s 正率着五万精兵奔来。
1930s 我都有去布置服兵。
1931s 我也赴你五万精兵,
1945s 祝你功取陈仓。
1947s 大事不好了,
1958s 蜀军已经破城而入了。
1960s 胡说!
1961s 城门始终关闭,
1962s 蜀军怎么攻得进来?
1963s 将军,
1964s 开了。
1965s 蜀军穿着我军的衣服,
1967s 打着你的将棋,
1968s 已经抓开了城门。
1970s 我军的衣服怎么到了蜀军的手里?
1972s 将军,
1973s 你忘了你已经给了王双一半的兵马吗?
1976s 将军!
1977s 将军!
1979s 王双在道口中了埋伏,
1981s 被魏延斩杀,
1983s 十几万军马已经死伤过半,
1986s 蜀将将为张宝,
1987s 已经杀进城来了。
1989s 快快随我迎敌!
1992s 将军,
1993s 来不及了,
1995s 蜀军不下五万,
1996s 已经攻破城城。
1998s 而我军,
1999s 不足两万,
2001s 何况城中各处要宅,
2003s 已经被攻破了。
2017s 司马大人,
2018s 我对不住你啊!
2024s 将军!
2031s 父亲!
2039s 父亲!
2043s 儿中了蜀军埋伏,
2045s 怎么办?
2049s 儿啊,
2053s 为父让你受苦,
2055s 王双呢?
2060s 王双呢?
2061s 也中了蜀军埋伏,
2067s 定是魏延斩杀,
2069s 十几万兵马,
2072s 死尸大半。
2074s 我如何向陛下交代啊?
2089s 父亲,
2091s 对我陈仓吧,
2094s 那是一座奸城,
2095s 牢不可破。
2096s 有为陈仓。
2097s 阿渡渡!
2103s 蜀军打着我军旗号,
2113s 遍开陈仓城门,
2115s 陈仓失陷,
2116s 首将号召自尽。
2118s 我全料到了,
2131s 蜀军粮道已经打开,
2135s 我军大势已去。
2137s 父亲,
2142s 我们还有十几万兵马,
2144s 如果一战俱首,
2145s 坚决抗敌,
2146s 定当挽回败局。
2148s 我做了一辈子将帅,
2158s 一直做到大多了,
2160s 可我打的败仗比谁动。
2166s 你坚定着皇叔这张老脸,
2172s 陛下不和我计较,
2174s 可这次不通。
2179s 陈仓已失,
2181s 庸良为代,
2182s 当位就晚了,
2183s 陛下他只能饶我。
2193s 儿啊,
2196s 为父是开国以来
2198s 第一个被斩的大...
2200s 大都督莫慌,
2201s 大局还有办法挽回。
2208s 你有何良策,
2213s 若能救我脱身此难,
2215s 我...
2217s 大都督,
2218s 请大都督撑兵,
2220s 上奏朝廷,
2222s 让司马仪出境,
2224s 迎战诸葛亮。
2226s 把兵权让给司马仪?
2228s 大都督啊,
2229s 这都什么时候了?
2231s 你还惦记这个?
2232s 司马仪在前,
2234s 他也是卫臣。
2236s 诸葛亮一旦攻下中原,
2238s 大魏就要亡国了。
2240s 亡国了?
2243s 可我折了十几万兵马,
2250s 陛下依然会将罪杀我。
2253s 我看啊,
2254s 不会。
2255s 你看,
2259s 公子血战诸葛亮,
2261s 已经战断了一条臂膀。
2263s 你就让公子挂着几条断臂,
2265s 火速前往洛阳建家。
2267s 陛下见到血迹般般的公子,
2270s 还能忍心杀你吗?
2272s 是。
2273s 你那总打败仗的爹怎么不来受死?
2295s 曹氏祖宗的颜面都被他丢尽了,
2298s 江山就要葬于他手。
2300s 他还有什么颜面活在这个世上?
2303s 他为何还不自尽?
2305s 陛下,
2306s 父亲拜后,
2308s 五内俊坟,
2310s 几次要自尽,
2312s 是仲家私自拦着,
2314s 才没死成。
2315s 仲家说,
2317s 大都督啊,
2319s 你就算要死,
2321s 也不该死在军前。
2323s 你应该打败诸葛亮后,
2325s 回到洛阳城外,
2327s 自尽一切天下。
2329s 父亲觉得仲家说得对,
2331s 因此在监守军中,
2336s 待来日,
2338s 再自尽谢罪。
2340s 悲壮啊,
2342s 他为什么不来?
2344s 只差你来。
2347s 父亲本想来的,
2349s 可是,
2350s 继任大都的未到,
2351s 蜀军又不断北犯。
2353s 父亲气血上奏,
2355s 请陛下,
2356s 把扯他,
2357s 派司马仪继任,
2359s 担任大都督。
2361s 父亲愿意在司马仪麾下,
2363s 做军前一族。
2365s 陛下,
2367s 曹将军,
2369s 左臂是断的。
2371s 曹爽啊,
2383s 罪警在。
2385s 念你英勇作战,
2409s 朕不会降罪于你。
2411s 你回去告诉曹真,
2413s 就说朕,
2415s 已经为他准备好天牢,
2417s 叫他立刻回来。
2419s 父亲,
2421s 为何?
2423s 罪将来时,
2425s 父亲引力重病,
2427s 一夜殴血不止,
2429s 恐怕此时此刻,
2431s 父亲,
2433s 已经亡故了。
2435s 陛下,
2437s 曹真虽然罪在无赦,
2440s 但请陛下免他一死吧。
2442s 陛下,
2444s 曹真,
2446s 您的命,
2448s 您的命,
2450s 将一死吧。
2451s 陛下,
2452s 曹真虽败了,
2453s 但七子英勇杀敌,
2455s 功不可没啊。
2456s 花心啊。
2456s 臣在。
2464s 召司马一进宫。
2466s 遵旨。
