7s 这都是你的老熟人,说说吧,谁主使你的?
1458s 徐先生满腹刀劣
1460s 在员工架前是一言九鼎啊
1463s 只有先请徐先生准了
1465s 才能让员工进军哪
1467s 你家主公真是这么说的
1469s 一字不差
1472s 实话跟你说吧
1473s 我这儿正等着他攻打徐州呢
1479s 这该如何是好啊
1481s 如等在这儿说些什么
1483s 小公子病了
1484s 主公焦虑万分
1485s 我等都不敢进去
1488s 都给我闪开
1490s 诺
1490s 苍见哪
1502s 这 这 这可怎么办哪
1506s 我可怎么办
1510s 在下徐游拜见主公
1513s 徐州王
1516s 小儿突然患病
1518s 生命垂危
1520s 你说怎么办
1523s 主公无忧
1524s 少公子定无大碍
1527s 一点小急而已
1529s 主公
1530s 我们的圣机到了
1533s 什么圣机
1535s 主公啊
1536s 方才刘备派迷芳
1538s 刚前来报信
1540s 说是那曹操正亲统二十万大军
1543s 在攻打徐州
1545s 如此一来
1546s 那徐昌定然空虚
1549s 请主公立刻挥师东进
1551s 一举荡平徐昌
1553s 那曹贼一旦失去了根据
1555s 势必大乱
1557s 而且
1558s 我们可以顺手牵羊
1561s 顺势迎娶县帝
1564s 从今以后
1565s 这邪天子已令诸侯的
1567s 可就是主公你了
1570s 天下
1571s 指日可待呀
1574s 徐昌有多远哪
1576s 主公
1578s 你不会连徐昌有多远都不记得了
1581s 才二百五十里啊
1586s 我儿现在一步都走不动
1589s 哪走得了二百多里呢
1592s 主公啊
1593s 我
1594s 我没说要少公子前去啊
1596s 我是恳请主公
1598s 你派兵齐袭徐昌
1600s 主公 你就快快下令吧
1603s 我儿是我的掌上明珠
1607s 他害又不测
1609s 我也就不活了
1611s 主公
1612s 这兵法院既不可失十步再来啊
1615s 灭曹完全在此一举
1617s 时不我待 主公
1619s 在下恳求你快快发兵吧
1625s 我心乱如麻
1628s 我生魂颠倒
1631s 还打什么仗啊
1637s 我儿如又不测
1639s 我也就不活了
1643s 主公
1644s 你醒醒醒吧
1646s 退下
1647s 主公
1647s 我
1648s 主公
1649s 主啊
1676s 庸主啊
1678s 庸主
1682s 竟然为了一个孺子
1684s 遗物了这么好的战绩
1689s 真乃根骨奇闻哪
1691s 庸主
1696s 徐庸如我
1698s 二师军官
1701s 遵命
1702s 庸主
1703s 庸 庸主
1705s 你是个庸主
1718s 庸主
1720s 你是个庸主
1724s 儿啊
1727s 已经被备五六天了
1732s 展狂如
1733s 少纪报
1734s 徐州城日夜激战
1736s 城官面前全是曹军的死尸
1739s 曹操是有备而来
1741s 如果曹军伤亡巨大的话
1744s 怕是主公的伤亡也少不了
1746s 但是城池还在主公的手里
1749s 估计数日之后
1750s 袁绍就该出兵了
1754s 如果主公坚持不了数日啊
1763s 这样
1764s 我
1766s 率兵出城偷袭曹操
1769s 或许能解徐州之危
1771s 下必成就交给你把手
1773s 绝对不可
1774s 将军难道忘了主公的军令了吗
1776s 只可坚守
1778s 不可出战
1779s 主公正在血战
1781s 我岂能站在这里看着
1783s 将军
1784s 整个下必成里只有八千守军
1787s 其实你全部带出去攻袭
1789s 也无济于事啊
1791s 相反
1792s 如果不出战
1793s 曹操就不知虚实
1796s 将军你看
1797s 连日来咱们牵制了曹军五六万人嘛
1801s 他们之所以不敢妄动
1802s 就是提防将军你呀
1804s 所以
1805s 主公的军令是对的
1807s 不出战比出战的作用更大
1815s 直率
1817s 两千骑兵偷袭曹操
1820s 你打着我的旗号守城
1822s 我偷袭得手即刻回来
1824s 绝不练战
1825s 我受命监军
1827s 如果将军执意要出城
1829s 就从我的尸体上踏过去
1831s 将军回来了
1862s 将军回来了
1865s 主公
1867s 伤着没有
1868s 还好
1877s 袁绍发病了吗
1878s 袁绍他不肯发病
1880s 袁绍
1882s 他
1883s 他小儿病了
1884s 他心思恍惚
1885s 无心作战的
1887s 他小儿病了
1888s 你当前生死关头
1891s 他身为统帅
1892s 岂能为一介小儿一物容忌
1895s 要是在下不亲眼看见
1896s 也不敢相信呢
1897s 但是袁绍他偏偏就这么做了
1902s 那徐悠可是明白人
1903s 他劝了没有
1904s 劝了
1905s 袁绍就是不听啊
1907s 他就大喊
1908s 什么
1909s 雍主
1909s 雍主
1910s 就还被袁绍打了二十军棍呢
1914s 就这种主公啊
1915s 还不如个婆娘呢
1917s 杀了咱倘啊
1918s 他也得尿裤子
1920s 大哥
1921s 咱们不求他相助
1923s 咱们自个儿也能打退曹三
1935s 主公
1937s 曹操把徐州围得像铁筒一般
1940s 你是怎么进城的
1942s 奇怪呀主公
1943s 我本来没指望能回来
1945s 我前到城关下一看
1947s 到处都是死尸啊
1949s 这 曹军他撤围了
1951s 撤围了
1953s 当真
1954s 当真
1955s 撤围三十里外
1956s 扎下了几座大营
1958s 看来曹操连日攻城
1967s 伤亡惨重
1969s 这是想休息调整
1971s 养足军力以力再战
1973s 他扎的几座大营
1974s 一定在药道口上
1976s 对付
1976s 对
1977s 主公要是突围
1978s 他们仍可迎头阻击啊
1981s 曹操的军力已经是不知了
1987s 所以他才退得远远的嘛
1989s 咱们呀
1990s 要抓住这个时机
1992s 趁夜齐袭曹军大营
1995s 定可大胜
1996s 也只能如此了
2003s 袁绍是没有指望了
2005s 我们只能靠自己
2007s 若等曹操养足军力
2009s 我们就更没有机会了
2010s 只有夜出骑兵
2012s 放到有几分生机
2015s 看看看看
2015s 我不就是这么说的吗
2018s 传令
2019s 各营三更造反
2021s 四更出城
2022s 人嫌没马过体
2024s 知悉曹操中军大营
2026s 若能攻杀曹操本人
2028s 此意便可胜
2029s 答令
2030s 遵命
2046s 主公
2047s 依照兵法
2049s 我军远来
2050s 力在速战
2052s 可你为何要撤军呢
2057s 莫非是主公
2058s 觉得伤亡太大
2060s 有些担心
2063s 那五千多具尸首
2066s 是我有意留在刘备眼皮底下的
2069s 什么
2070s 这
2071s 曹仁娜
2073s 兵法交出来的都是呆子
2077s 你何时才能成为真正的主将
2081s 连日攻城
2084s 我用的大多都是弱力
2087s 精锐部队根本没用
2089s 我为何不用
2092s 就是因为徐州城间
2094s 枪空伤亡太大
2097s 既然非伤亡不可
2101s 那我就留给刘备
2103s 几千具弱力的尸首
2106s 刘备看到城下
2108s 尸首密布
2111s 他肯定会想
2112s 曹军伐力了
2117s 撤军三十里修整
2119s 于是
2122s 他会怎么样
2124s 你说
2129s 他肯定会
2130s 趁夜结营
2131s 对了
2134s 这就是
2136s 那几千具尸首换来的战机
2139s 我们必须要把刘备
2143s 引出城
2145s 才能消灭他
2148s 末将明白了
2155s 尤其是今夜
2157s 务必加倍提防
2160s 至于如何设伏
2162s 交你安排
2164s 我要睡了
2166s 分兵
2210s 曹操是好物防备
2211s 咱们杀进去吧
2212s 慢着
2214s 为何连巡逻的少记都没有
2220s 曹操一向军纪严明
2222s 不可能连少记都不设
2231s 主公
2232s 你看
2233s 那两个少记
2239s 看来
2241s 曹军上下也是疲惫过度了
2258s 我现在令你们不顾一切代价冲过去
2261s 若能斩杀曹操
2263s 那就大功告成了
2264s 遵命
2266s 上
2267s 这帐内空无一人
2317s 这里也没人
2325s 撞计了
2326s 撤
2326s 御助
2473s 走
2473s 在青天之御助
2585s 驾海之金粮
2587s 这宽伏汉室
2589s 辱则无旁贷
2591s 安可轻生了
2594s 来来来
2595s 在下许忧
2597s 这香
2598s 有礼了
