4s 来人呐,在。
1901s 曹操先是败于赤壁
1904s 后又败于南郡
1906s 他能不南下复仇吗
1907s 想倒是想
1909s 主公也可无虑
1911s 为何
1912s 我一直在琢磨
1914s 赤壁之后曹操引兵北患
1917s 在合肥一带重兵不防
1920s 而在荆州只留下两万兵马
1923s 这是为何
1926s 这么说
1929s 曹操他不是真心守荆州
1931s 我苦思许久
1933s 终于想明白了
1935s 曹操心里有如意算盘
1937s 他明白
1938s 在孙柳两家兵封面前
1940s 荆州早晚是要失守的
1943s 既然非丢不可
1945s 那就要丢得有价值
1946s 如何才能有价值
1948s 就是以荆州为耳
1950s 让我们和东吴交兵
1953s 他坐视孙柳交兵
1954s 两败俱伤之后
1956s 再引兵南下
1958s 所以
1959s 只要我们和东吴不交兵
1961s 维持联盟大局
1963s 曹操就不敢妄动
1970s 那这么说
1973s 此作
1975s 我做得
1978s 做得做得
1979s 主公
1980s 但做无妨
1982s 龙马半生
2008s 颠沛流离
2011s 今日
2014s 总算有了这么一块立足之地了
2018s 恭喜主公
2020s 恭喜主公
2032s 你还记得
2034s 三顾茅庐时
2036s 你对我说的什么话
2040s 在下
2042s 不记得了
2045s 你说
2046s 玉城大业
2048s 第一
2050s 须取荆州为本
2052s 第二
2054s 须取西川城鼎足之势
2057s 第三
2059s 便是举兵备法
2060s 今天
2071s 是你帮我完成了这第一步
2075s 刘备心中
2077s 万分感激
2084s 主公天赐雄才
2086s 大业必成
2093s 曹人丧失师弟
2095s 惭愧不已
2096s 尚书请丞相降罪
2098s 拿来我看
2107s 主公
2109s 和我带着八十三万大军
2111s 尚且兵败赤壁
2115s 曹人
2117s 带着那么点人
2119s 居然能跟孙柳两家
2121s 周旋这么久
2123s 还差一点杀了周瑜
2127s 不容易啊
2130s 曹人是个将才
2134s 不忘我对他的一番教诲啊
2137s 打败仗
2139s 打得都这么漂亮
2142s 他把周瑜的兵马打了个金光
2144s 却把三座城池
2147s 丢给了刘备
2151s 我们就等着看好戏吧
2154s 我等不知丞相的意思
2158s 文弱知我心思不
2160s 在下
2162s 只是怕说不好
2163s 你试试
2166s 金乡
2168s 乃四面受敌之地
2172s 据孙柳尽
2174s 据许昌元
2176s 孙柳早就对他垂涎三尺
2180s 碧玉取之
2182s 金乡
2184s 早晚会丢失
2187s 如果那样
2188s 丢给刘备
2191s 必丢给孙全好
2193s 为何呢
2195s 一根骨头
2197s 两口相争
2200s 瘦弱的那只嘴快
2202s 先叼走了
2204s 强壮的那只
2207s 岂能甘愿
2211s 梦
2211s 梦梦
2226s 恭敬祥请主公
2227s 禁起江东之兵
2228s 交与他讨伐刘备
2231s 夺回京乡
2258s 刘备此人
2261s 赐命仁义之君
2264s 其心底太险恶了
2269s 有诸葛亮在
2271s 谁也不必故作仁义
2275s 主公啊
2277s 我们如何恢复恭敬呢
2286s 如果我让恭敬
2289s 引兵攻打京乡
2293s 就算最终夺取城池
2296s 那我与刘备
2302s 倘若这事
2304s 曹操来攻我江东
2308s 如何应敌
2326s 这次
2328s 就当让刘备占了个便宜
2331s 我们暂且先忍一下这口气
2335s 好
2336s 我急传主公之令
2338s 命恭敬退兵
2342s 紫敬
2345s 此时此刻
2348s 你觉得我的令
2351s 恭敬还能挺得进去吗
2355s 主公担心的正是
2358s 事到如今
2359s 在下不得不直言相禀了
2363s 快讲
2365s 请主公收回恭敬的兵符
2367s 命他回江东养伤
2385s 紫敬
2386s 在
2387s 我意已决
2389s 恭敬的兵符
2391s 断不可夺
2396s 当初
2398s 我父兄引兵渡江
2400s 只有几百部中
2403s 凭什么在短短数年
2405s 就可以雄拒江东
2408s 凭的
2409s 就是对部下的肝胆相照
2411s 令江东才俊争相敬从
2417s 我文功武略皆不如父兄
2421s 如果再无点儿胸襟
2423s 那凭什么拒江东以政天下
2428s 恭敬这人
2431s 虽然傲慢一些
2433s 专断一些
2436s 可他满腹才华
2437s 忠勇双全
2439s 赤壁一战
2440s 若不是恭敬
2441s 东吴早就完了
2444s 恭敬之功足可传世
2448s 我连刘备这等伪君子
2450s 都可以忍受
2452s 为何
2454s 就容不下一个周恭敬
2462s 恭敬之权断不可夺
2466s 就算
2468s 他把东吴之兵
2470s 都折损干净了
2472s 我也认了
2475s 大王
2477s 从头再来
2480s 主公啊
2481s 在下还有一计
2482s 可是恭敬不得不回师
2485s 不知主公愿意采拿否
2488s 快讲
