8s 自陛下出征后
838s 姑
839s 想念你们
841s 趁巡查荆州之际
844s 可以弯过来靠军
846s 走
846s 进账说话
878s 列为将士
880s 与五倍敌军
882s 周旋两月有余
884s 是敌
886s 寸步能进
889s 大挫刘备焦狂之气
892s 大展
893s 我东吴之军威
896s 姑
897s 本职之后
899s 喜不自禁哪
901s 多谢主公厚爱
905s 这些赏赐
907s 应该全部分给三军将士
911s 只是
914s 末将非但不该领赏
917s 还请主公赐罪
921s 为何
922s 末将将傅俊
925s 斩首正法了
933s 说实话
935s 姑在进园门的时候
938s 看见傅俊的头
958s 列为将军
960s 你们知道姑
962s 是怎么想的吗
963s 如果陆迅贪望法
973s 不斩傅俊的话
974s 那过不了多久
976s 我孙权的人头
977s 就会被刘备斩下
978s 挂在建业的城楼上
981s 主公
983s 陆迅
984s 你不是不要赏赐吗
986s 好
988s 我再交给你另外一些东西
990s 来呀
992s 抬上来
992s 喏
1010s 陆迅
1011s 这是你继任大都督以来
1015s 所有朝中老臣
1017s 要替换你的奏章
1020s 今天
1022s 我把他
1023s 一并交给你
1062s 我陆迅发誓
1065s 一定会还主公一把火
1069s 一把天崩地裂的胜利之火
1080s 陛下
1081s 细作探报
1083s 陆迅斩了
1083s 擅自出战的傅俊之后
1085s 制下严令
1086s 吴军便兼并不出
1088s 拒险而守
1090s 现在
1091s 无论我不将士怎么叫骂
1094s 吴军再也不肯出来接战了
1100s 陆迅
1102s 自然是惧怕吴军
1105s 但孙权
1107s 不会容他一味避战的
1110s 更何况
1111s 建业城里面的文武老臣
1115s 岂容他一败再败
1117s 他们定会弹劾陆迅
1119s 逼他出战
1123s 这陆迅
1126s 是在等待战机呀
1130s 禀陛下
1132s 我军久居战地
1134s 水土不适
1136s 眼下天已入树
1137s 酷热难挡
1139s 军营中水源也已干涸了
1142s 将士们不得不取乌水为食
1144s 致使疫病流行
1146s 臣
1148s 昨日前去营中视察
1150s 看到前少士兵染病甚多
1153s 十厅中竟然病到三厅
1156s 臣想
1158s 可否
1159s 让三军轮番退入紫归城中
1163s 让将士们休整几时日
1165s 等秋后再继续出战
1173s 都有此意
1176s 将士们若能休整一下
1178s 定然会精神倍增
1181s 斗志更盛
1186s 有经沙场
1189s 深知用兵之道
1191s 此时此刻
1193s 兵马若后退半步
1195s 气便泄了
1200s 如果你们觉得苦数难当
1203s 那么吴军定然也会觉得
1205s 苦数难当
1206s 都在熬
1210s 就看谁熬得过谁
1214s 传命
1216s 三军断不可退
1218s 只需把营寨迁入山林茂盛处
1222s 依稀伴水驻场
1224s 待秋凉时
1226s 兵力紧闭
1229s 遵命
1233s 陛下
1234s 眼下战局已成焦灼之势
1238s 臣可否把双方营寨化成图本
1241s 送成丞相遗约
1244s 看看丞相有无两策
1249s 莫非朕不知兵吗
1256s 书信图本相送
1258s 来往太过繁琐
1260s 不必了
1262s 古人云
1263s 监听则明
1264s 偏听则暗
1266s 陛下乃圣君也
1269s 定能博彩重昌
1274s 你再去阵营
1276s 将敌我阵势化成四至八道图本
1280s 前往西川问问孔明
1282s 若有不便之处
1284s 速来报我
1286s 臣领旨
1307s 大多多
1308s 守军不带库属
1309s 都已在林中扎营了
1311s 总横数百里
1311s 共有四十余吞
1315s 查清楚了吗
1317s 是部分仪应
1319s 末将看清楚了
1323s 守军全部仪应
1324s 就连刘备的中军龙杖
1326s 也已进入林中
1327s 他们是想在秋凉后作战
1330s 主军必败了
1352s 两个月前
1368s 我跟诸位将军说
1370s 我会有三十万大军从天而降
1374s 你们不信
1376s 现在我告诉你们
1379s 我的三十万大军已经到了
1384s 到了
1387s 你们不必动张细娃
1391s 我所指的三十万大军
1395s 就是现在的库属
1397s 义病和瘴气
1400s 入府以来
1401s 属军中十庭
1403s 已然病倒了三庭
1406s 即便未病者
1407s 也是士气低落
1409s 属军耗损如此
1412s 岂不等于是上天
1414s 赐给我们三十万大军吗
1417s 是
1418s 七十万属军
1419s 转眼之间
1420s 就变成七十万条病虫了呀
1427s 何止是病虫啊
1431s 六位将军
1433s 亲看眼前这片山林
1436s 它就像是
1439s 一只堆满干柴的火炉子
1443s 只需要一把火
1447s 刘备和他的七十万大军
1450s 就将死无葬身之地
1453s 大都督
1454s 你说是用火弓
1458s 正是
1460s 昔日周瑜
1462s 赤壁一把火
1464s 烧得草草片甲不留
1468s 我们今日之火
1470s 要烧得比赤壁之火更加猛烈
1475s 定是刘备和他的七十万大军
1478s 灰飞烟灭
1485s 我大军
1487s 以夷营夹脚
1489s 横七百余里
1492s 扎住四十余吞
1494s 皆依稀绑箭
1496s 拘于临沐茂盛之处
1500s 怎么了 丞相
1501s 何人哪
1506s 何人叫陛下如此下债啊
1509s 此人不是祸害
1510s 便是奸贼当力斩此人哪
1512s 这这
1514s 丞相啊
1516s 关于夷营的事
1518s 全是陛下圣意独断
1520s 绝无他人所谋啊
1522s 不缘其休矣啊
1531s 为何
1534s 包园习祖厨劫营扎寨
1537s 自古乃兵家大计
1541s 陆迅如用火弓
1542s 如何解救啊
1550s 处处山林茂密
1552s 我七十万大军都进了林子
1555s 虽可遮蔽枯树
1557s 但容易引发大火呀
1563s 岂有连营七百里可拒敌的吗
1567s 这一旦火起
1568s 七百里连营
1569s 就是七百里的火喷哪
1572s 明白了
1575s 可坚守不出
1580s 正是为此啊
1586s 马良
1588s 你行夜返回萧廷
1589s 觐见陛下
1591s 告诉他立刻转移空旷处
1593s 迟者
1595s 断然无酒
1599s 丞相
1600s 你说
1601s 从成都到萧廷最快
1604s 也要五天五夜呀
1607s 万一已经发生不测
1609s 如何是好啊
1612s 大火已经烧起来了
1621s 我们二十多年积攒的兵马
1627s 就要毁于一旦了
1634s 马良你听着
1637s 待你赶到萧廷时
1639s 如果吴军已经破营
1641s 你和将领们护着陛下
1644s 今往川东白地城避难
1646s 那里地势险峻 粮草足备
1649s 可保陛下无虞
1651s 丞相
1652s 万一吴军追杀不舍
1655s 不妨
1656s 我在余府府一带
1658s 布下十万夫君
1660s 陆迅断不敢追杀
1663s 我来成都路过余府府
1667s 那里是空空如也
1669s 未曾见到任何伏兵啊
1672s 不当有时自然没有
1675s 当有时自然会有
1679s 不必多问了
1680s 行业返回萧廷去吧
1682s 好
1683s 我这就出发
1729s 陛下 陛下
1731s 快起来用药吧
1734s 陛下
1736s 奴才马上换太医来
1738s 医里看过了
1755s 年少时得的顾疾
1758s 是好是坏
1770s 陛下
1771s 请用吧
1772s 不让任何人
1793s 司马仪请求见驾
1825s 陛下口谕
1830s 请司马大人入鉴
1848s 仲达啊
1849s 何事啊
1850s 竟然连朕上朝都等不及了
1865s 禀陛下
1867s 我军少纪已萧廷前线探知
1871s 法武蜀军
1872s 库蜀难耐
1875s 全部移入山林中驻扎
1879s 总横七百余里
1881s 扎营四十余吨
1888s 这又如何
1889s 这是败兵者
1909s 总横七百余里拒敌的
1911s 七三
1913s 库蜀当头
1915s 林沐易燃
1917s 陆迅若用火攻
1919s 刘备死无葬身之地
1930s 记得当初
1932s 在刘备东征之初
1935s 你曾经断言
1937s 说陆迅
1939s 绝不是刘备的对手
1941s 此意
1943s 蜀军必胜
1945s 吴军必败啊
1947s 吴备清国初一万万没料到
1960s 陆迅竟然会有
1962s 这般阴谋
1964s 他数月间屡屡败战
1967s 继而坚守不战
1970s 原来这是他的
1971s 交兵吃鸡
1972s 其目的
1973s 就是要等待刘备
1975s 失老兵癖
1977s 最后欲以致命一击
1980s 臣昏庸短实
1982s 误导了陛下
1984s 臣请罪
1987s 罢了
1989s 不只是李小看了陆迅
1992s 朕当初也以为
1993s 刘备必胜嘛
1995s 依现在的情形
2003s 吴军大败蜀军之后
2006s 该当如何呢
2010s 吴迅战败刘备后
2021s 当乘胜晋军
2023s 挥师直取成都
2025s 不错
2026s 森泉梦寐以求
2029s 想得到川蜀之力呀
2031s 我敢请陛下
2040s 赐予臣二十万军
2042s 待陆迅大军西撤后
2044s 臣率军断旗后
2045s 挥师直取青香
2048s 如不胜
2049s 臣甘当军法
2051s 要亲自率军征古
2060s 臣必胜最大的心愿
2062s 就是能为陛下
2063s 沙场建功
2065s 先生啊
2069s 朕相信
2073s 你如果亲自出征的话
2077s 必定是
2078s 大胜无疑啊
2080s 谢陛下
2081s 是
2085s 朕
2087s 离不开你呀
2090s 朕更想留你在身边
2092s 帮助朕运筹帷幄呀
2096s 至于领军出征等事
2098s 还是交给为将者去吧
2106s 朕意
2107s 拜曹仁为大将军
2119s 率军十万
2121s 出如须
2123s 曹修为左将军
2125s 率军五万
2126s 出洞口
2127s 曹臣为右将军
2129s 率军五万
2130s 出南郡
2132s 三军
2132s 接奉曹仁之号令
2134s 俺遵旨
2135s 何事啊 长官
2136s 朝中传言
2188s 说父亲
2194s 今日被陛下斥责了
2198s 传得真快
2201s 莫非是真的
2203s 不瞒你
2204s 是真的
2206s 我原以为刘备出军
2210s 蜀军必胜
2212s 想到区区陆迅
2214s 竟能战胜陆军
2217s 竟能战败刘备
2219s 刘备东中之初兵士滔天
2225s 当时满朝文武
2226s 甚至包括陛下
2227s 都相信刘备必胜
2230s 岂止是父亲判断失误了
2232s 常之处就在这儿啊
2236s 你好生想想
2238s 家为何不责备别人
2243s 反而偏偏降罪于我呢
2246s 陛下是有意贬蚀父亲
2253s 不错
2255s 我入幕多年
2256s 为陛下屡见恭讯
2259s 虽然位居高位
2262s 可我在朝中却是一言九鼎
2265s 此等权威
2269s 岂不遭人记恨
2270s 为我不放心哪
2275s 心最痛苦的
2279s 不是遭陛下责备
2281s 陛下始终提防着父亲哪
2287s 这 这何以见得
2290s 我向陛下请命
2298s 要率军出征
2300s 陛下当面拒绝
2302s 反而派曹修 曹仁 曹真
2305s 率军出征
2307s 他们都是曹氏亲贵
2309s 明白了吗
2310s 陛下不允许我长兵
2314s 明白了吗
2315s 密主是所宗人
2317s 及各处门生亲信
2324s 从现在起
2325s 反在朝为官者
2327s 务须谨晓慎为
2328s 切不可一时弄全
2330s 反在外
2331s 治学为礼行商者
2334s 绝不可妄议朝政
2336s 不错
2337s 应该这样
2338s 本儿大有长进哪
2340s 外面是谁啊
2345s 老爷
2349s 老爷
2351s 奴婢熬了碗羹
2368s 你吃一些吧
2369s 我已越来越惊到啦
2372s 老爷若是喜欢
2378s 以后奴婢经常熬给老爷吃
2382s 奴婢退下了
2383s 不必
2389s 就坐这儿吧
2390s 都是自家人
2395s 净说啊
2396s 记住
2398s 今后我和昭儿说话
2400s 你不必回避
2402s 昭儿
2403s 接着说
