4s 父亲不守规矩,儿子也不守规矩。
920s 快去救火
921s 快
922s 攻下五凤楼
938s 杀
939s 徐主
970s 卫王
971s 出什么事了
972s 卫王
973s 御林军营起了大祸
975s 好像还有乱兵
976s 卫王
977s 你快回上马
978s 末将护送你
979s 冲杀出城去
980s 不要慌
982s 你听
984s 现在这四面八方
985s 都是呐喊声
987s 你怎么知道
988s 哪条路才能走得通
990s 你只要护住五凤楼
993s 如果有叛贼赶来
995s 杀无赦
996s 诺
998s 公子 不好了 公子
1013s 公子 不好了
1014s 攻城火起
1015s 四面到处都是杀声
1016s 满城人都在喊
1019s 喊什么
1020s 杀
1021s 杀尽曹贼
1022s 匡扶汉室
1024s 父王在哪
1025s 昨夜留宿五凤楼
1026s 火就要烧到那儿了
1028s 马上叫齐所有家兵
1031s 随我去五凤楼
1032s 遵命
1033s 驾
1045s 这是续网合作
1046s 军营有人放火
1047s 乱兵起事
1048s 往前去杀贼
1049s 那是叛贼的奸计
1050s 附近在五凤楼
1051s 快随我去护驾
1052s 只要父亲安全
1053s 他把整栋徐城城
1054s 杀了都无妨
1055s 好 我送你去
1056s 快
1058s 你为何造反
1148s 造反的人不是我
1149s 是你
1153s 我是为大汉诛贼
1155s 口气不小啊
1158s 知道吗
1159s 我会灭你九族
1162s 即便断子绝孙
1163s 我也要杀你
1165s 把这叛贼的死路
1166s 割下来
1167s 不
1168s 让他骂
1170s 让他痛痛快快地
1172s 骂几句
1174s 我好久没听人骂了
1175s 你
1176s 耿少卿
1184s 有件事我想请教祖俠
1189s 自从临地以后
1195s 汉庭日渐衰微
1198s 腐败
1200s 皇帝百官玉厥
1203s 官吏横征暴敛
1206s 豪强风起
1207s 为祸四方
1209s 整个汉市
1211s 就像我脚下这片
1212s 废墟一样
1214s 是我
1216s 藕心沥血重整河山
1219s 才让老百姓有了饭吃
1222s 让那些贪官无力
1224s 没有了作恶的地方
1226s 我自认为
1228s 还是有些微薄之功的
1231s 可是为什么你们这么恨我
1233s 还要杀我
1235s 难道你们想让汉市
1238s 再变成一片废墟吗
1241s 终为百德之首
1243s 我生而读圣人之书
1245s 死而进圣人之道
1247s 圣人之道要是管用的话
1249s 圣人早就自个儿一统天下了
1252s 你知道吗
1253s 你这叫愚忠
1255s 贪官无力可恨
1260s 混用的君主可恨
1262s 你这种愚忠不化的人
1265s 更可恨
1266s 曹阿蛮
1268s 我生不能杀你
1269s 死也要作厉鬼杀你
1271s 是吗
1273s 那你就看清楚点
1276s 记清楚我这张脸
1278s 别到了阴间记不住
1281s 你们这些鼠辈
1283s 在阳间不是我的对手
1285s 到了阴间
1286s 就能放过神来吗
1289s 老实说
1290s 曹阿蛮
1291s 我死也不会放过你的
1293s 我死也不会放过你的
1307s 公子
1309s 先生
1311s 先生
1313s 先生无碍吧
1315s 公子没有危险吧
1316s 我甚为公子担心
1319s 这都是别人的
1321s 不是我的
1322s 先生
1323s 昨天傅王被围在五凤楼
1325s 是我第一个带着家谱杀进营去
1328s 公子去五凤楼了
1332s 是啊
1334s 曹芝去了没有
1336s 没有
1337s 她昨天和她的一群室友痛饮
1340s 喝醉了
1341s 部长都输了
1342s 曹芝赢了
1351s 丞相心智过人
1364s 他会猜疑
1366s 这么多的人去攻五凤楼
1368s 又有这么多的人去救五凤楼
1370s 连御林军里都有岗级内应
1372s 谁知道旧军里头有没有奸贼呢
1375s 尤其是你们二位公子
1377s 来杀贼还是来助贼
1380s 丞相甚至怀疑你们二位公子
1382s 策划了这场兵变
1384s 曹芝没去
1389s 虽然丞相看不出他的忠勇
1391s 却至少知道他没有反应
1404s 魏王
1405s 乱贼都被捕杀
1408s 除耿季外
1409s 还有司马维黄
1411s 太医吉平的儿子
1413s 吉渺吉木
1415s 和大祖子弟金维等五十余人
1419s 这些都是被捕获的
1423s 还有没被捕获的
1426s 此事务必深挖严查
1432s 一定要挖出余党
1435s 遵命
1436s 为什么没有见到曹芝呢
1440s 魏王危难之际
1442s 四公子未来就驾
1444s 为此心中惶恐
1448s 不敢来见魏王
1451s 传王命
1454s 让曹芝统领御陵军
1456s 为蜀夜城
1475s 启禀魏王
1476s 百官已押到
1493s 耿季 维黄等造反
1518s 与放火焚烧五凤楼
1521s 你们中间
1522s 有人曾经救火击贼
1525s 也有人闭门不出
1528s 救火击贼的
1529s 可立于洪旗下
1533s 闭门不出的
1534s 可立于白旗下
1536s 你们
1538s 各赏金二十两
1567s 回归本职
1569s 谢白王
1571s 统统拿下
1572s 诺
1573s 你们以为我不知道吗
1588s 尔等文官
1598s 手无缚鸡之力
1601s 救什么火
1603s 击什么贼
1605s 你们跑到五凤楼
1608s 拾住贼儿
1609s 都给我牵到张河边
1613s 一起斩了
1614s 诺
1617s 希儿
1619s 随我来
1635s 你为何不安呢
1637s 父王刚刚
1661s 杀了三百多口毒
1665s 赫赫王威
1667s 令孩儿
1669s 惊心动魄
1670s 知道我为什么
1671s 要杀他们吗
1672s 洪旗下的人
1676s 多为皇宫内侍
1681s 他们跑到五凤楼下
1683s 齐心不轨
1685s 既知道如此
1688s 那你为何
1689s 要去五凤楼下
1691s 父王
1692s 孩儿宁肯被父王怀疑
1694s 也绝不能
1697s 间谍害了父王
1698s 平安
1699s 你昨夜的一举一动
1701s 我都看见了
1711s 你本不是习武之人
1713s 剑法拙劣不堪
1716s 但是在与逆贼
1717s 殊死相搏时
1718s 却像个疯子一样
1720s 毫不顾及
1721s 自己的性命
1722s 我要立你为世子
1725s 成王嗣
1726s 今日
1746s 我就会让董昭
1748s 昭告天下
1750s 父王
1752s 你要杀人
1753s 父王
1757s 你要尽快地
1758s 搬到丞相府来
1760s 日后我不在
1761s 徐昌的时候
1763s 都城里的军政要务
1765s 文武三军
1767s 包括皇宫里的事务
1769s 都归你职场
1771s 儿臣
1777s 听令
1778s 去叫司马一来
1782s 仲大
1806s 我已经立
1807s 曹匹为世子了
1809s 臣看见匹公子
1815s 满面是泪
1816s 族下的才华
1817s 不亚于孔明周瑜
1820s 日后
1821s 我还盼你
1822s 忠心辅佐曹匹
1824s 臣领命
1825s 卫王
1836s 卫王
1840s 曹弘从汉中
1842s 发来告急文书
1843s 皇中率两万军
1844s 连破三寨
1845s 并攻破了我军要害
1847s 我军将士皆伤亡惨重
1849s 汉中关爱已洞开
1851s 曹将军请卫王
1852s 快发救兵
1856s 刘备
1857s 去川蜀不到一年
1860s 就要攻取汉中之地
1864s 汉中一失
1866s 刘备就可以居高临下
1869s 像刘邦一样出兵中原
1872s 攻许昌
1874s 与我一决此行
1877s 卫王
1878s 汉中断不可失啊
1879s 赶紧发兵救援曹弘吧
1882s 你说呢
1883s 刘备帝王之心
1888s 已经暗奈不住了
1892s 他坐拥于川蜀京乡
1894s 其兵马不下于百万
1896s 战将不下于千元
1898s 两相军械取之不尽
1900s 用之不竭
1905s 此时刘备大军斗之震撼
1908s 丞相不必与之争讽
1911s 难道你想让我放弃汉中
1914s 臣以为
1915s 还有一处比汉中
1917s 更要紧的地方
1919s 那就是天下之父
1921s 荆州
1925s 丞相可让曹仁率十万军
1928s 在汉中扬动
1930s 丞相新率三十万大军
1933s 挥施南下
1934s 攻取荆乡
1936s 如此
1937s 刘备必乱
1939s 汉中之危也可立即
1941s 好方略
1942s 不过我想稍作修改
1948s 叫曹仁率十万军南下
1953s 进驻凡城
1955s 择机攻去荆州
1957s 我亲率三十万大军
1959s 往汉中迎战刘备
1962s 你
1963s 随我出征
1966s 遵命
1968s 禀丞相
1970s 如果丞相
1971s 非要和刘备决战
1973s 臣还有一个建议
1975s 说
1976s 置书孙权
1978s 让他发兵过疆
1979s 以我军联合行动
1981s 攻取荆乡
1982s 事成后
1983s 平分其地
1985s 孙权在河北屡败于我
1987s 他还会与我联手吗
1988s 肯定会
1990s 为何
1991s 一者
1993s 孙权朝思暮想
1994s 贪图荆州
1996s 二者
1997s 他此时的心思
1998s 与丞相不谋而合
2000s 他也不想看到
2001s 刘备吞定天下
2003s 列位
2005s 今天我们是双喜临门的
2028s 其一
2029s 皇中炎炎
2031s 率偏军
2032s 便清取了我军的要害关
2034s 使汉中门户洞开
2036s 其二
2038s 曹操刚刚在许昌
2039s 建立称王
2040s 便激起了兵变
2042s 差点杀了他
2045s 大哥
2046s 我看我们要抓紧时机
2048s 进起三军
2049s 夺了汉中吧
2050s 汉中
2051s 自古以来就是
2052s 兵家必争之地
2054s 我们若占取汉中
2055s 就可以居高临下
2057s 威胁中原
2058s 若让曹操占取汉中
2060s 我们就能够
2061s 对
2062s 一定要拿下汉中
2063s 拿下汉中
2064s 拿下汉中
2066s 孔明
2067s 你何意
2069s 我有些忧虑
2071s 如果禁起蜀中三军
2073s 万一荆州有事
2079s 如何应对
2086s 先生
2087s 你这人
2088s 是样样都好
2089s 就是太过谨慎了
2091s 你杀了他
2093s 你杀了他
2095s 你杀了他
2096s 我杀了他
2097s 你太过谨慎了
2099s 你想想
2100s 如果我们禁起三军
2102s 进攻汉中
2103s 那曹操
2104s 哪还有力量难顾啊
2106s 除了曹操
2107s 还有孙全呢
2110s 这江东蜀碑
2111s 却是云城之地啊
2112s 我还是心存忧虑
2118s 我决定了
2130s 徽军攻取汉中
2132s 与曹操一决刺凶
2135s 遵命
2136s 孔明
2142s 机不可失
2144s 只不再来
2146s 我想
2147s 我们越快攻取汉中
2149s 荆州就越安全
2164s 主公
2166s 那里就是主公
2167s 昔日插剑的地方
2169s 青龙门
2172s 真是龙盘虎拒
2174s 气象万千哪
2176s 主公啊
2178s 曹操来信
2179s 想让主公去攻打荆州
2183s 刘备也来信
2184s 想让主公去攻打曹操
2186s 这二人
2187s 都是折腰降尊
2189s 有求于主公
2191s 这是东吴的大好时机啊
2193s 不知主公如何决断
2196s 你看
2199s 我是应该答应曹操呢
2202s 还是应该答应刘备呢
2204s 在下建议主公
2206s 两边都答应着
2209s 但是
2210s 都不发明
2213s 目前
2214s 曹刘都是孤注一掷
2216s 血拼汉中
2218s 主公可以静观其变
2221s 看看到底是谁胜谁负
2224s 到时候再决定
2225s 是攻曹还是攻刘
2229s 至于荆州
2230s 放在那里
2231s 他也跑不掉
2233s 如果曹操胜
2235s 荆州自然是主公的
2238s 如果刘备胜了
2240s 就算主公现在
2241s 拿下了荆州
2242s 只怕到时候
2243s 也会引来刘备的大军的
2247s 好主意
2248s 我两边都答应
2251s 但却都不出兵
2254s 不过
2255s 我还想更进一步
2258s 立刻书信给曹操
2261s 向他索要十万粮草
2264s 以备攻刘所用
2266s 再向刘备索要十万粮草
2269s 以备
2270s 攻曹所用
2272s 你看如何
2274s 主公英明
2277s 依眼下的情况
2279s 主公向他们要什么
2281s 他们都会给的
2282s 不过
2284s 我现在还在想一件事
2290s 如果此时此刻
2292s 在汉中击占的不是曹刘
2295s 而是我们
2297s 你看
2298s 我们能够取胜吗
2302s 只怕不能
2304s 为何
2309s 远野作战
2311s 仰仗的是铁技和战甲
2314s 我江东的水师天下无比
2317s 可是布技
2318s 皆不如曹刘
2321s 这也是我们
2322s 多年拒守江东
2324s 无法远途的原因之一
2327s 主公
2328s 我们自保有余
2330s 可想要夺取天下
2332s 就必须要有一支
2333s 装备精良的铁技
2335s 陆迅
2337s 我为何要找你来
2338s 明白吗
2343s 明白
2345s 主公是要我
2350s 抓住时机
2352s 训练铁技
2353s 没错
2355s 命你为东吴副董
2357s 立即招募壮士
2359s 训练出一万铁技
2360s 和一万战甲
2362s 以备将来所用
2364s 从此以后
2365s 以备将来所用
2367s 遵命
2373s 我从刘备和曹操那儿
2375s 拿来的二十万粮草
2377s 就都交给你了
2380s 谢主公
2389s 全面发起冲杀
2425s 不留任何后备
2427s 有切斩者
2428s 格查无论
2430s 可在之后
2431s 定要斩杀夏侯渊
2433s 他是曹操的上将
2435s 他一死
2436s 曹军就会全线动摇
2438s 奴隶
