14s 徐将军,曹任将军令在下冒死突围。
1280s 跑走?刚才说什么?不要荆州了吗?
1288s 站住!你们是哪个营的?
1300s 我等是廖化将军属下
1302s 廖化何在?廖化何在?
1305s 廖化将军前往上庸,催促刘丰、孟达发兵救援
1310s 但是刘丰孟达不肯,说君侯大失已去
1314s 现在发兵等于是杯水车薪
1317s 廖将军把刀怒斥,被刘丰手下捉出了城池
1321s 生死不明
1323s 进麦城!
1350s 多多,你看,这是冠羽的令旗
1352s 陆迅的追兵可有追上?
1358s 回大多多,不见踪影
1360s 好
1362s 给我追!
1364s 喝些水吧
1390s 要比现在的情况
1417s 可后来,赤壁一把大火
1422s 不是烧掉了草草八十三万大军吗?
1425s 虽然可好
1489s 四面八方全是兵马!我们被包围了!
1491s 是草兵吗?
1493s 黑灯下火的,什么都看不清楚!
1495s 武军多,北马
1504s 外面的战机是南马
1510s 铁儿,蒙到了
1518s 父亲,麦城三里小过
1521s 武军都是生力军呢
1523s 我们只剩几百兵马
1525s 是无论如何也挡不住的呀
1527s 趁敌力足未稳
1531s 我等护着你撑出去
1533s 吃土马快,他们追不上你
1535s 哼,好生
1539s 昨天我已经去了上庸
1541s 迎战
1545s 将军,父亲
1547s 将军,你走吧
1549s 留的青山在,不怕没柴烧
1551s 我们留下来,总计无军
1571s 陪我出征
1625s 还有十二计
1627s 看清楚他往哪个方向走了吗?
1629s 天色太暗,看不清楚
1631s 此处是麦城
1636s 他身边只剩下十几个残兵败将了
1640s 一定是往上庸走了
1642s 都懂,关羽这赤兔马太快了
1647s 他的赤兔马是快
1649s 不过从凡城到这里
1651s 他们已经狂奔了三天三夜
1653s 就算是赤兔马
1655s 也早已经筋疲力尽
1657s 你骑个毛轮也能赶上他
1659s 好像是陆迅的声音
1663s 你按人听令
1667s 搭上我的将棋
1669s 率领人马,往西边去
1671s 我带着剩下的人
1673s 往南继续追击关羽
1675s 陆迅准追奔我的将棋而去
1677s 明白吗?
1679s 跟我来
1683s 上将军
1697s 无军很快就会追来的
1699s 不要紧
1701s 从麦城出来快二百里了
1703s 马歇息一下
1751s 上将军
1753s 旅盟在此等候多时了
2035s 有一天我会战胜关羽
2037s 我做到了
2039s 我要用关羽的人头
2041s 决定你的在天之灵
2043s 不可斩杀关羽
2051s 你来晚了
2061s 建安二十四年东
2063s 一代豪杰关羽
2065s 被东吴所杀
2067s 十年五十八岁
2070s 因其忠义无双
2072s 勇冠三军
2074s 久久传颂
2079s 主公令
2080s 旅盟回建业续职
2082s 陆迅驻守荆州
2084s 遵命
2086s 接令
2088s 告辞
2093s 大都督
2094s 为东吴立下了盖世术训
2096s 这次回新都
2098s 主公定会率文武
2100s 出城相迎
2102s 霍言
2104s 不瞒你说
2106s 我此刻最大的愿望
2108s 大都督
2109s 替这关羽守机而归
2131s 末将旅盟拜见主公
2133s 旅盟
2135s 你拥夺荆州
2136s 大败关羽
2137s 功垂千古啊
2139s 我已奏天子
2141s 敬你为征西将军
2143s 赤武廷侯
2145s 谢主公
2146s 起来吧
2147s 主公
2151s 末将有一物
2153s 要献给主公
2154s 何物啊
2162s 这是什么
2163s 这是关羽的首级
2165s 好
2173s 好
2174s 斩得好啊
2177s 此役
2178s 如曹军鼎力相助
2180s 虚晃曹人那苦战
2182s 十万的荆州军
2184s 我看
2185s 我们也难以大败关羽
2187s 你们说是不是啊
2189s 主公说得其实是
2191s 所以关羽之死
2195s 应该归功于曹操
2198s 下月初五
2201s 就是曹操
2202s 六十五岁的寿辰
2203s 你即刻派快马
2205s 向关羽的首级送往许昌
2207s 这也是送给曹操
2209s 最好的寿礼啊
2211s 遵命
2214s 走
2215s 随我进殿
2217s 陆将军
2230s 主公御令
2231s 将军
2250s 出什么事了吗
2252s 御盟突发重病
2259s 主公让我即刻赶回建野一事
2262s 大都都走的时候还好好的
2265s 莫非
2266s 他又要诈兵
2268s 但愿太平无事吧
2274s 我走之后
2280s 你们要小心把守荆州
2285s 遵命
2286s 主公
2300s 陆迅已经进入都府大门
2303s 四部啊
2308s 先带陆迅
2310s 探望一下吕盟大都都
2312s 将军请卸下佩剑
2332s 将军里面请
2343s 见过张大人
2352s 大都都的病好些了吗
2361s 阁下
2364s 自己看吧
2366s 大都都过世了
2393s 庆功宴上
2398s 吕盟忽然狂挤大作
2401s 浑身抽搐
2404s 半个时辰后
2406s 就可然死去了
2409s 医官们束手无策
2412s 至今不明原因
2415s 不是说主公召见我吗
2426s 带我来这里做什么
2429s 难道
2432s 你不应该来看看吗
2436s 你不想看看大都都
2440s 是怎么死的吗
2443s 陆迅啊
2444s 大都都违抗主公军令
2450s 一意孤行
2452s 置东吴于危机之中
2457s 死了也是上天报名
2465s 据老夫看来
2468s 东吴必须重整三军了
2474s 请吧
2475s 主公在等你
