7s 在我们玉旅部交战的时候,京都长安发生了惊天动地的巨变。
723s 陛下,回宫了,陛下。
737s 陛下,我们终算是回来了。
744s 陛下,陛下,
746s 我们终算是回宫了。
750s 陛下,
755s 陛下,
757s 先坐一会儿吧。
766s 整座皇城都炒变了,
812s 没有水,
814s 连护人河都干了,
816s 祖宗保佑,
826s 最艰难的时候都过去了。
828s 陛下,
832s 这次咱们重返东东,
836s 盯着镇兴大汉的。
838s 恭喜皇上回朝!
843s 恭喜皇上回朝!
845s est
874s 最美家
875s 最美家
876s 最美派
877s 最美派
878s 天赋最美
879s 太后
880s 天赋最美
881s 气AK
881s 气AK
882s 万全
883s 天赋最美
884s 九家 九家
889s 祖宗啊
893s 睁开眼
896s 看看皇朝的子孙吧
905s 胡佑
911s 怎么办 你们快点拿主意啊
915s 大喜啊 大喜啊
917s 救兵 救兵
918s 救兵来了 皇上
921s 陛下 陛下
923s 祖宗显灵了
924s 救兵到了
927s 是谁来救
928s 肯定是冀州的元少
930s 奉招前来护驾
932s 他离洛阳最近啊
934s 陛下
935s 好
936s 忠臣啊
937s 好
939s 陛下
940s 真是忠臣啊
941s 陛下
945s 禀陛下
946s 救兵不 不是冀州元少
948s 是 延 延州刺史
950s 曹操
952s 怎么是曹操啊
954s 曹孟德
955s 这是怎么回事
957s 朕没想到
959s 曹操能来呀
961s 是啊
963s 元少离洛阳最近
965s 却左直不顾
967s 而曹操
968s 却从千里之外
970s 赶来护驾
973s 陛下
975s 这真是
977s 家平见孝子
979s 祸难见忠臣啊
982s 陛下
983s 是啊 皇上
986s 待会曹操来了
988s 您可要
989s 好好地奖赏他几句呀
991s 是啊 皇上
993s 可要好好地奖赏他
997s 陛下
999s 朕知道
1001s 朕
1003s 重重地夸奖他
1017s 给朕更衣
1018s 快 给皇上更衣
1020s 快 快
1024s 荀玉
1025s 在
1026s 有个事儿忘了
1027s 何事
1029s 依礼外臣觐见天子
1030s 都得上供点什么
1032s 我走得匆忙
1033s 什么都没准备怎么办
1035s 禀主公
1035s 在下倒有个主意
1037s 说
1037s 此时此刻天子和百官
1039s 肯定是饥寒交迫
1041s 他们现在最需要什么
1043s 一口肉汤
1044s 两只面饼罢了
1046s 这个时候
1047s 一口肉汤
1048s 胜死万两黄金啊
1049s 没错
1050s 当年我亡命的时候
1052s 馋肉汤馋得真是要命啊
1054s 曹人
1054s 在
1055s 曹当地
1056s 遵命
1056s 还有一事情主公在意
1058s 说
1059s 主公拜见天子时
1060s 务必恪守朝廷礼法
1062s 让天子和百官安心
1065s 知道了 知道了
1077s 荀玉
1078s 还有一件事你也得考虑
1080s 何事
1082s 洛阳已成废墟不能再用
1084s 我们接驾之后
1085s 该在何处建都为托
1087s 盐州府许县
1089s 为何
1090s 因为那是主公的腹地
1093s 主公把天子放在
1094s 自个儿的身边才会安心
1096s 其实主公早就想好了
1098s 但不愿执眼
1101s 荀玉
1104s 你怎么把我的心思
1105s 琢磨得这么透
1110s 禀主公
1111s 这是做属下的本分
1139s 盐州刺史曹操
1142s 叩见吾皇
1143s 宦南见忠臣哪
1175s 爱卿平身
1199s 吾皇万岁万岁
1202s 万万岁
1230s 陛下 请
1234s 爱卿
1235s 这是何物啊
1237s 请陛下一猜
1241s 玉玺
1246s 玛瑙
1249s 琥珀
1252s 朕猜不出来了
1255s 请陛下揭盖
1266s 陛下
1267s 这是刚刚烹熟的鸡汤啊
1283s 爱卿啊
1284s 朕
1285s 已经半年多没有吃过肉粪了
1289s 请陛下用膳
1314s 各位大人
1315s 请用膳吧
1346s 臣
1371s 恭请陛下教育盐州将士
1378s 爱卿啊
1380s 这些将士都是你的吗
1382s 不
1383s 他们都是天子的将士
1387s 你有多少兵马
1389s 精兵五十万
1390s 战将上千元
1399s 了不起
1400s 比董卓他们英雄十倍
1405s 有曹将军在
1442s 这乃朝廷之幸
1444s 大汉之福
1446s 乱贼可灭
1448s 大势可欺
1450s 陛下
1452s 现在
1453s 应该奖赏曹操才是
1456s 爱卿啊
1457s 朕
1458s 拜你为大将军
1461s 授武平侯
1462s 从今天起你就是这天下的栋梁
1466s 臣
1467s 谢五皇贺文
1469s 恭祝武平侯
1473s 禀陛下
1474s 臣有本劲奏
1476s 爱卿请讲
1479s 东都洛阳
1480s 眼下已是残破不堪
1483s 宫廷庙宇皆为乱军所废
1486s 而且
1487s 洛阳聚西梁贼军太近
1491s 臣为天子安危所忌
1494s 为忠心大汉宗室所想
1498s 恳请千都许昌
1500s 重建朝廷
1501s 重振朝纲
1508s 这是二百年帝都
1509s 天灵地秀 虎巨龙盘
1512s 许昌是什么地方
1514s 是曹操的王朝啊
1517s 如果千都许昌
1519s 那不是掉进曹操的囊中了吗
1521s 是不是
1521s 是啊是啊
1522s 言之有理
1558s 陛下看看吧
1560s 陛下好好看看吧
1563s 只有在许昌才能得到
1565s 这么多精兵猛将的保护
1567s 朝廷才能安然无忧啊
1579s 千都许
1581s 许昌
1583s 刚逃出兰窝
1607s 却又落入虎穴
1609s 这可怎说是好
1614s 事已至此
1617s 陛下应该韬光养贵
1620s 官时待变
1622s 不会把朕杀了
1629s 自己当皇帝
1631s 不会
1632s 曹操只是想把陛下
1634s 握于掌中
1636s 为他所用
1644s 那朕不就成了个弃物了吗
1691s 马上
1692s 以汉帝之名逆旨
1693s 召告天下
1695s 就说天子
1698s 将帝都迁于许昌
1702s 召告各州驻侯
1704s 太守四使将军
1706s 速速前来朝拜
1708s 此外
1710s 自即日起
1712s 许昌更名为许东
1714s 朝廷改年号为
1716s 建安并大赦天下
1719s 遵命
1722s 驾
1785s 平身
1798s 禀陛下
1800s 自从迁都许昌以来
1802s 天下军民无不欢欣鼓舞
1805s 交口称信
1807s 九州也是海燕和亲
1809s 雨顺风调
1811s 好 好
1813s 这都是爱亲之功
1814s 朕
1817s 欢喜得很
1818s 恳请陛下恩旨
1822s 加封季州袁绍为大将军
1825s 授武廷侯
1827s 加封南阳袁术为镖戚将军
1829s 授忠义侯
1831s 加封金州刘表为前将军
1834s 授东安侯
1836s 加封幽州公孙瓒为后将军
1839s 授靖安侯
1847s 曹操
1849s 天子刚刚一驾许昌
1852s 百费待兴
1854s 为何要急于嘉奖
1856s 各路诸侯呢
1857s 正是因为刚刚迁都
1859s 所以才要恩威天下
1861s 机不可失 时不我待
1864s 族下在这道奏章里
1867s 把袁绍 刘表 公孙瓒
1871s 这各路诸侯都封赏了一遍
1876s 有的还生寿两三级
1879s 可独独没有你自个儿呀
1882s 想当年
1884s 董卓还把自己封个什么
1888s 相国
1890s 甚至还自号上傅
1895s 你为何不请之加恩呢
1898s 那正是董卓的狂妄和愚蠢
1902s 我不是董卓
1904s 我是曹操
1910s 臣是受不恩
1913s 知恩图报
1915s 只想为陛下尽忠
1917s 不想贪图虚名
1924s 族下是勿识 图勿虚眼
1929s 凡曹爱卿所奏
1944s 朕 胡不照传
1949s 臣谢恩
1952s 朝廷颁罚诏书
1955s 封我为司马将军
1957s 加授武廷侯
1960s 朝廷还把济州 青州
1964s 深州我们一直图谋工区
1967s 但还没有到手的病州
1971s 也一并地赤封给我了
1978s 你们说说
1980s 此诏 我是接还是不接
1989s 恭喜主公容领大将军
1992s 此诏当接
1997s 朝廷刚刚迁于许昌
1999s 天子自顾不暇
2001s 此诏只不过是一道
2003s 顺水人情罢了
2007s 主公 以在下之见
2011s 这道诏书表面上看
2013s 是个顺水人情
2015s 实际上是暗藏祸心哪
2021s 主公应该明白
2023s 这道诏书
2024s 虽然是以皇帝的名义下诏
2028s 可从那诏书的字里行间中
2030s 不难看出那每一个字
2033s 都是曹操的意思
2035s 主公 你一旦接下此诏
2038s 就须上表谢恩
2040s 如此一来
2041s 就等于主公你承认了那曹操
2044s 挟天子以令诸侯是合法的了
2047s 主公如果不接此诏
2051s 又有违臣道
2052s 那曹操会说你身为汉臣
2055s 却对抗朝廷
2057s 此外 今天是以恩诏
2060s 主公便接了
2062s 明天再来一恶诏呢
2065s 令主公或纳粮 或退兵
2069s 甚至是让你割地
2072s 到那时 主公
2074s 你是接还是不接
2078s 因此 此诏接与不接均属两难
2085s 只是那曹贼的祸心
2087s 已然得逞了
2094s 我后悔没有采纳先生之言
2099s 曹把天子夺到首领那就好了
2103s 这样一来 挟天子令诸侯的
2106s 就不是他曹操 而是我了
2110s 我兵马将士比他多二十万
2113s 城池属地更比他多两倍有余
2117s 我甚至可以把朝廷安在这儿
2123s 接引我一时疏忽
2126s 让曹操占了先机
2128s 奉来他要听他的脚诏 乱命
2135s 可惜啊
2137s 当初我的这个建议
2140s 却被那鼠目寸光之人
2143s 说成是匹夫之言
2146s 此事 既因我迟疑而耽误
2152s 与裂尾断然无关
2155s 你说 我们现在该怎么办
2163s 主公 臣下可以断言
2167s 五年之内
2170s 五年之内
2172s 你与那曹操
2174s 必将有一场生死之战
2180s 竟有这么快
2183s 主公 你不妨想想
2187s 那曹操为何要挟天子一令诸侯
2190s 又为何遍封了各地诸侯
2192s 而独独不封他自己
2196s 因为在他眼里
2198s 他已然是天子
2200s 天子就是他
2202s 他已经知天下牛儿
2203s 用不着再自封了
2207s 现在的曹操
2209s 论蜀地之广
2211s 不及你
2212s 论兵马之强
2214s 钱粮之多
2216s 也不如你
2218s 可那曹操
2219s 他一定会充分利用
2221s 挟天子一令诸侯之力
2224s 一步步逐渐地壮大起来
2227s 主公 曹操可远非董卓可比
2232s 他比董卓
2233s 要阴险狡诈百倍
2236s 此人
2239s 志在天下呀
2243s 想不到当年和我一块
2245s 吃喝嫖赌的臭小子
2247s 今天却要和我争夺天下了
2253s 恕在下直言
2256s 那曹操非但要跟你争天下
2261s 鹿死水手
2264s 尤为可知啊
2267s 我绝不会坐视曹操为患
2272s 我绝不会坐等曹操有能力
2275s 向我挑战
2276s 我再和他一决此行
2278s 众卿听令
2279s 秋收过后
2280s 计发兵十五万
2282s 攻去幽禀二州
2284s 之后
2285s 立兵默马
2286s 剿灭曹操
2288s 遵命
2290s 主公
2292s 倘能如此
2295s 主公幸甚
2296s 天下幸甚
2315s 主公
2317s 袁绍 袁术 刘表 公孙瓒等
2320s 都接受了朝廷的斥风
2322s 上表谢恩了
2326s 好
2331s 向朝廷先
2334s 就是向我曹操谢恩嘛
2337s 巡语
2338s 在
2339s 你说
2340s 袁绍他们此时此刻
2343s 心中当是何等滋味
2346s 又苦又酸
2348s 又忌又恨吧
2355s 养一个天子
2358s 比自个儿做天子舒服多了
2360s 主公当心啊
2362s 此时此刻
2363s 你可是各路诸侯心目中的大敌
2366s 嗯 这我知道
2369s 早晚有一天我跟他们必有一战
2372s 但是眼下他们还顾不上
2376s 袁绍
2377s 正忙着和公孙瓒交战
2379s 将攻去幽州
2382s 袁术
2383s 正图谋独霸将来
2386s 巡语
2387s 我们也应该抓紧时机
2391s 进取中原了
2393s 主公心里头
2395s 一直还惦记着徐州吧
2397s 何止是惦记
2398s 简直是朝思暮想啊
2403s 欲成大业
2405s 必取徐州啊
2408s 徐州一日不得
2410s 我一日不安
2412s 但是眼下
2415s 刘备和吕布
2417s 团聚在徐州
2420s 他们二人相互支援
2423s 着实棘手
2424s 你曾经说过
2427s 棘弓
2428s 则二人同心相聚
2432s 宽忍
2433s 则毕生分裂
2436s 我已经宽忍许久了
2440s 何以不见他们分裂呢
2442s 主公要去徐州
2444s 在下倒有一计
2451s 我悉耳恭听
2452s 主公可以以天子的名义
2454s 给刘备下一刀诏书
2456s 斥封他为徐州牧
2458s 除徐州各郡之外
2460s 还可以把元素的南洋郡
2462s 一并斥封给他
2464s 同时下道密令
2466s 叫他出兵征讨元素
2469s 就说元素图谋不轨
2471s 暗怀称帝之心
2474s 刘备乃汉帝后裔啊
2476s 对朝廷是忠心耿耿
2478s 刚刚做了徐州牧
2480s 他岂敢不尽忠效命
2483s 与此同时
2485s 我在以天子之名
2487s 给元素下一道诏书
2490s 就说刘备心怀叵测
2493s 给朝廷上表密奏
2496s 说他元素有称帝之心
2500s 要发兵恭喜他的首府南洋郡
2503s 对吗
2504s 正是
2505s 这样一来
2507s 刘备和元素之间
2509s 必有一场恶斗
2510s 不是你死就是我活
2513s 最后他们会同归于尽
2516s 而我们就可以四肌
2518s 攻取徐州了
2522s 主公圣命
2523s 驱虎吞狼
2525s 此诏书到
2530s 赵偏将军刘备接旨
2538s 刘备接旨
2541s 顺天承运
2543s 皇帝诏曰
2544s 刘备自提领徐州以来
2547s 忠心护国
2549s 保静安民
2551s 振兴甚位
2553s 今特命其为徐州牧
2556s 领徐州六郡
2558s 并封车继将军
2561s 五义侯
2563s 钦此
2565s 臣刘备领旨谢恩
2574s 恭喜将军晋升为徐州牧
2577s 此外
2578s 陛下还有一道密诏给将军
2580s 盼将军务必遵行
