3s 你竟然能在这里七乐融融啊你啊。
355s 既然都不杀,
357s 就请将军撤去酒席,
359s 让我和纪将军来决战吧。
361s 不可,
363s 断断不可。
367s 我吕布虽然杀人无数,
369s 但我平生不好斗,
371s 最好解斗。
373s 今日我请二位来,
375s 就是想
377s 杯酒试宾歌。
379s 上将军,
384s 你这是什么意思?
386s 敢问阁下,
388s 你可以开多少金弓,
392s 可射多少步?
394s 哼!
396s 末将不才,
398s 可开到五百斤硬弓,
400s 五十步内,
402s 箭头穿血而过。
407s 好啊!
410s 请问张一德,
412s 你可以开多少金弓,
414s 可射多少步?
416s 哼哼!
421s 我可以开八百斤弓,
423s 八十步内,
425s 箭头穿血而过。
429s 哼哼!
431s 好!
433s 好!
435s 来人呐!
439s 在!
441s 将军,
443s 取我方天化己,
455s 查于原门之下,
473s 遵命!
475s 二十步,
477s 如果我一箭射中几上小枝,
479s 你们则罢兵言和,
481s 如果射不中,
483s 你们只管厮杀,
485s 势战势和,
487s 拒凭天意,
489s 你们看是如何?
491s 天下无人能射这么远,
493s 小枝?
503s 到如今,
505s 势战势和,
509s 尽凭天意,
521s 将军请!
532s 我在!
534s 将军!
595s 这是上天令你们罢兵言和,
597s 谁敢违背天意,
599s 我吕布只有替天行道,
601s 再射一支金铃剑,
603s 将他
605s 穿胸而过!
607s 在下退兵!
611s 那吕布原门射几,
621s 迫使我们双方罢兵休战,
623s 他说,
625s 谁敢抗拒天意,
627s 他,他就替天行道!
629s 这个三姓家奴,
631s 太过可恨,
633s 先前骗自我二十万军饷,
637s 现在又自作轻薄,
639s 搞什么原门儿戏,
641s 坏我大事,
643s 是可忍,
645s 孰不可忍,
647s 众下听令,
649s 令你们速速整军,
651s 我要轻征吕布,
653s 再请刘备!
655s 遵命!
657s 请慢,请慢,请慢,请主公息怒,
659s 请主公息怒啊,
661s 在下以为,如果主公派兵
663s 敢杀吕布的话,
665s 对主公有诸多不利啊,
667s 首先是我们送他的
669s 二十万粮饷,
671s 那可就真的助贼了呀,
673s 其二,这样就把吕布
675s 又赶到了刘备那边,
677s 他们联起手来防御我们,
679s 这个结果,
681s 正是曹操所愿哪!
683s 我也知道,
688s 成大事者,
690s 不能举小例,
692s 可吕布这丝太可恨,
694s 我忍不住,
696s 请主公不要只是
698s 恨自己的敌人,
700s 这样会妨碍你的判断力,
702s 主公可记得,
704s 曹操对他的死敌,
706s 那经常是亲密无比,
708s 笑脸相迎啊,
712s 那个奸雄,
714s 他比吕布更可恨,
716s 他比吕布更可恨,
718s 在下以为,
720s 吕布固然可恨,
722s 但是原门设计一世,
724s 足见其勇冠天下,
728s 主公想建树大业,
730s 那就要忍,
732s 常人所不忍之事啊,
734s 主公恕吕布
736s 为强敌,
738s 为何不可以把吕布,
740s 变为我们的强园呢,
742s 主公啊,
744s 来日方长啊,
748s 报,
750s 禀主公,
752s 怀疑校尉孙策觐见,
754s 小霸王孙策来了,
756s 快招进来,
758s 末将孙策,
770s 拜见主公,
772s 孙策,
774s 你说说这些年来,
776s 我待你如何啊,
778s 主公待我,
781s 如君如父,
783s 恩重如山,
785s 那么,
789s 我令你三十天之内,
791s 夺取卢江城,
793s 你怎么不遵行啊,
795s 现在已经是第十三天了,
797s 你竟然还没有出兵,
799s 禀主公,
801s 末将,
805s 已经攻陷了卢江城,
809s 无稽之谈,
811s 卢江距此,
813s 八百多里,
815s 一来一往,
817s 最少也要二十天,
819s 更何况,
821s 卢江太守陆康,
823s 拥军上万,
825s 居城坚守,
827s 你孙策就是再善战,
829s 没有三十天的时间,
831s 你根本拿不下那个重镇,
836s 主公,
838s 这是卢江太守陆康的首级,
847s 真是陆康,
849s 孙策,
853s 你真把卢江城拿下来了,
855s 此时此刻,
857s 卢江两郡四县五座城池,
859s 已经全部归属主公,
868s 孙策,
870s 快说说,你是怎么把他攻下来的,
872s 末将接到命令后,
874s 当天就率领五千轻骑,
876s 星夜兼程,
878s 奔赴卢江,
880s 三天内,
882s 纵横八百里,
884s 陆康还没有来得及设法,
886s 就已经被我攻下城池了,
892s 那,那我借你那三万精兵,
894s 你损失多少啊?
896s 主公借给我的三万精兵,
898s 我一概没用,
900s 只用了他们的战马,
902s 此次战役,战马损失四百余匹,
904s 望主公见谅,
915s 末将交还兵符,
917s 好啊,
925s 孙郎之勇,
927s 比起令尊孙坚将军,
929s 有过之而无不及啊,
931s 我有孙郎在,
933s 何愁离不,
935s 何惧天下啊,
946s 苍天哪,
949s 我要是有孙郎这样的子嗣,
951s 死而无憾哪,
955s 谢主公教教,
961s 率台设宴,
963s 我要为孙郎庆功,
965s 禀主公,
967s 好啊,
969s 今天是家父的忌日,
971s 末将想去,
973s 坟前祭礼一番,
975s 好啊,
982s 等你祭父回来,
984s 我再为你庆功,
986s 谢主公,
989s 将军留步,
1005s 皇叔,
1007s 公子,你还是叫我,
1009s 皇盖吧,
1011s 皇将军找我有事,
1013s 刚才在大唐上,
1015s 袁公如此夸你,
1017s 公子,
1019s 难道没有听出他的话外之音吗?
1022s 什么话外之音?
1027s 袁公当中说,
1029s 若能有孙郎如此,
1031s 虽死无恨,
1033s 他言下之意是,
1037s 享受你做他的义子啊,
1039s 这个我听出来了,
1041s 既然听出来了,
1046s 那公子的意思是?
1048s 皇将军的意思呢?
1050s 袁氏宗族,四十三功,
1052s 多少人想攀附,却苦于无门,
1054s 袁术更是用兵三十余万,
1056s 雄居江南庶郡,
1058s 久怀帝王之志,
1060s 他早晚会成大业的,
1062s 公子既然得其厚爱,
1064s 何不借此机会,
1066s 求取晋升之道?
1068s 袁术,
1071s 他不配做我的义父,
1073s 公子一言,
1079s 英雄斑涩啊,
1090s 先将军孙涧,
1092s 视我如兄弟,
1094s 袁术啊,
1096s 无论何时何地,
1098s 如果需要在下效力,
1107s 在下。
1111s 皇叔,我记下了,
1137s 你归天之后,
1139s 母亲和孩儿千居取恶,
1141s 实受各地诸侯欺凌,
1143s 旧日将士行散,
1147s 家产丢,
1149s 不得不归从袁术,
1158s 孩儿未能继承你的英雄大业,
1161s 孩儿向你请罪,
1163s 大丈夫生为豪杰,
1183s 死为鬼熊,
1185s 若不拔剑而起,建功立业,
1187s 岂不愧对先父天灵?
1189s 孙策,
1214s 我从如江城就开始追你,
1216s 足足追了八百多里,
1218s 今天总算是追上你了。
1220s 早知道你要来,
1222s 我就让你再追我八百里。
1224s 家父病亡之后,
1248s 我母亲悲伤过度,
1250s 也跟随父亲而去了。
1252s 现在,
1259s 我已是无牵无挂,
1261s 飘然一人了。
1263s 你打算以后怎么办?
1267s 我把所有的祖产跟田地
1273s 全部换成了钱粮,
1275s 得钱五万,
1277s 钱来投奔你了。
1279s 我愿跟你一同实现
1284s 昔日的誓言,
1286s 纵横天下共创大业。
1294s 十年了,
1296s 今天是我十年来
1298s 最高兴的一天!
1300s 来!
1309s 公主,
1311s 如意成就大业,
1313s 首先你必须要脱离元术。
1315s 这一点我早就想过了。
1317s 我只是担心
1319s 他会舍不得放我走。
1324s 那方传国玉玺还在吗?
1329s 送给他,
1331s 化魁自由之神。
1335s 你说得倒是潇洒呀,
1337s 但你知道吗?
1339s 我父亲就是因为他
1341s 丢掉的性命。
1343s 而且多少诸侯
1345s 都对他梦寐以庆。
1347s 不就是块石头吗?
1351s 大丈夫手提三尺剑
1353s 既可纵横天下,
1355s 合力区区俗物。
1357s 孙全也曾经说过你这样的话。
1361s 他也说
1363s 这玉玺是祸水,
1365s 留之有害
1367s 而无益。
1369s 果然有见识。
1375s 这孙全到哪儿去了?
1377s 怎么没看见他?
1379s 他呀
1381s 喜欢云游四方,
1383s 现在正在各处
1385s 遍访闲事。
1387s 说不定过两天就回来了。
1393s 这孙仲谋年少至大,
1395s 早晚能成一方英好。
1399s 我母亲在书信里说
1401s 扬州刺史刘瑶
1403s 逼迫日记
1405s 要将我全家
1407s 赶出曲额。
1409s 我舅父
1411s 几乎被他谋害。
1413s 我想向你借一些兵马
1417s 前去曲额
1419s 救难行亲。
1421s 请主公恩准。
1423s 曲额远在江东,
1430s 来去路上
1433s 也得不少日子。
1435s 据报
1437s 曹操和公孙瓒
1439s 随时都准备向我用兵。
1441s 我这里
1443s 大战在即啊。
1445s 孙策
1447s 我离不开你啊。
1451s 要不这么点。
1457s 我派人到曲额
1459s 把你母亲接到南洋来住。
1461s 我保证她
1463s 富贵终身。
1468s 曲额是故土。
1472s 请不愿离开。
1475s 求主公让我去吧。
1477s 你执意要去
1491s 那就快去
1493s 快回吧。
1495s 不过
1499s 这将士的事
1501s 有些不便。
1503s 你也知道
1505s 我这大战在即啊。
1514s 主公
1516s 这是我父亲留下的玉玺。
1520s 我愿以它为质。
1551s 果然是传国玉玺。
1562s 今日终得一见啊。
1564s 孙策
1568s 你说吧。
1570s 你要多少将士?
1574s 我只要四个人。
1576s 成普黄盖
1578s 邯郸祖茂
1580s 一概不要。
1582s 这四个人
1584s 不是令尊孙监的
1586s 旧部吗?
1588s 主公
1590s 他们不只是先父的旧将
1594s 他们更是我孙策的叔伯
1596s 成普黄盖
1599s 邯郸祖茂
1601s 在
1603s 你们愿意随孙策前去吗?
1605s 莫向愿随
1607s 那你们就跟他去吧
1625s 谢主公
1640s 你们有半个时辰回家收拾物品
1642s 带上七小
1644s 我在城门外面等你们。
1646s 公子,真的有这么紧急吗?
1648s 对。元树一旦反火
1650s 就会派军追杀我。
1652s 目前我还不想和他反目成仇。
1654s 遵命
1656s 恭喜主公
1675s 得此玉玺便是得天意啊
1677s 天寿玉玺于我主
1679s 请我主成天顺命
1681s 即位九五
1683s 成帝王大业
1685s 请我主成帝王大业
1693s 我看成大业
1695s 只怕是孙策
1697s 他不但不会回到你的身边
1699s 日后
1701s 还会成为主公的
1703s 大敌
1705s 先生此话什么意思啊?
1707s 孙策用区区一块石头
1709s 就换走了我
1711s 皇城寒祖
1713s 寒祖思源大将
1715s 而他们
1717s 都是欺负孙尖
1719s 昔日的萧将
1721s 孙策的用意
1723s 主公
1725s 难道就没有看出
1727s 他的志向吗?
1731s 他
1735s 背后有高人之点啊
1741s 孙策宁可舍弃玉玺
1743s 也要背我而去
1745s 我还能看不出
1747s 他的志向吗?
1749s 不过
1751s 孙策有志向
1753s 没有实力
1755s 就凭他现在
1757s 区区几千人嘛
1759s 成不了什么大事
1761s 但愿主公
1763s 说的是对的
1832s 先生
1834s 你看我
1836s 人已年过花甲
1838s 满面沧桑
1840s 年华将逝
1842s 事来日如多
1844s 我要再不创立大魏
1846s 以后就没有时间
1848s 完成心愿了
1850s 等我继位后
1852s 一定拜先生
1854s 为国师
1856s 一人之下万人之上
1858s 不
1860s 清史阳明啊
1862s 先生
1864s 不要再劝了
1866s 不
1868s 请主公见谅
1870s 您可执言死于剑
1872s 不愿缠妹屠戎华
1874s 主公啊
1876s 您万万不可
1878s 做皇帝
1880s 为何不可
1882s 当年高皇帝刘邦
1884s 官位不过
1886s 四上一廷长
1888s 手中不过三尺剑
1890s 随从不过数十人
1892s 就敢谋取天下
1894s 现在汉廷
1896s 已延年四百年
1898s 气数已尽了
1900s 当今
1902s 四海沸腾
1904s 萧雄分起
1906s 强者为王
1908s 强者之中的强者
1910s 就可称帝
1912s 我雄居淮南
1914s 梁多地广
1916s 拥有精兵四十余万
1918s 强将千余名
1922s 谁能与我争风
1924s 谁敢与我争
1926s 谁敢与我争秀
1928s 主公虽是明主贤人
1934s 可你不是汉高主
1936s 刘邦爷
1938s 当今世上
1940s 就有两人
1942s 可与主公相争
1944s 谁
1946s 谁啊
1948s 叶骏袁绍
1950s 许昌曹操
1952s 袁绍承任十八镇
1954s 诸侯盟主
1956s 他现在占领着
1958s 既清并三州
1960s 而且图谋攻打
1962s 北方的幽州
1964s 他现在拥兵有五十万
1966s 仗下文成武将
1968s 皆是海内的豪杰
1970s 而且还是主公的
1972s 堂兄明望
1974s 比主公高
1976s 曹操更为当世兼雄
1978s 其文才武略
1980s 百年罕见
1982s 虽然眼下
1984s 势力不及主公
1986s 可是他携天子令诸侯
1988s 直天下牛耳
1990s 远交进攻
1992s 纵横南北
1994s 其兵威
1996s 已经是日盛一日
2000s 由此二人在
2002s 主公啊
2004s 你做不得皇帝啊
2008s 袁绍本是
2010s 我们袁家小妾
2012s 第一树子
2014s 要论祖上卑贱
2016s 他只配给我当奴仆
2018s 我就是看他
2020s 比我年长两岁
2022s 认他为兄而已
2024s 敢跟我较量
2026s 还有那个曹阿满
2028s 他原本就是奸患之后
2030s 贱民之孙
2032s 鹰犬之辈
2034s 无耻之徒
2036s 到时候
2038s 我继了王位
2040s 一个出兵灭掉的就是他
2042s 我要
2044s 杀鸡尽猴
2046s 彰显天威
2048s 什么事啊
2060s 臣等三百五十五名文武官员
2066s 联名向主公上表
2068s 请主公顺天承命
2070s 集皇帝位
2072s 改元开国
2074s 这
2076s 这么大的事
2082s 我要三思啊
2086s 主公
2088s 若你不能顺天承命
2090s 老臣今日就叩死在你面前
2092s 请主公顺天承命
2094s 改元开国
2096s 好
2100s 诸位爱卿
2102s 事已至此
2106s 我只好
2108s 上乘天命
2110s 下顺民心
2112s 集皇帝位
2114s 主公万岁
2116s 吾皇万岁
2137s 元树率先成立
2139s 健康重视
2141s 帝寿春为宗
2143s 并不告天下
2145s 由此
2147s 也使各地军阀之间的战争
2149s 更加具体
2151s 元树
2164s 逆天警卫
2166s 在寿春开国
2168s 还自称是个什么
2170s 中世皇帝
2172s 他甚至还要让我
2174s 向他上表
2176s 上表称臣
2178s 什么
2180s 这无耻的屁股
2182s 胆大包天哪
2184s 如论战地之广
2186s 拥兵之多 威望之盛
2188s 将士之优良
2190s 我家主公样样都在元树之上
2192s 要做皇帝
2194s 也得我家主公做
2196s 哪轮得着他元树啊
2198s 说得好
2202s 末将请主公立刻集皇帝大位
2204s 开国之后
2206s 末将必为主公
2208s 平定天下
2210s 请主公建国安安
2212s 请主公集皇帝大位
2214s 请主公集皇帝大位
2216s 主公
2218s 以许忧之见
2220s 在天下大乱之际
2222s 各路诸侯
2224s 无非有以下三种选择
2226s 其一是
2228s 伏汉
2230s 其二是篡汉
2232s 这其三嘛
2234s 以伏汉为名
2236s 行篡汉之实
2238s 元树急功近利
2240s 采取了公然篡汉自立
2242s 这
2244s 是他的预见
2246s 势必引火烧身
2248s 主公
2250s 你一向深谋远虑
2252s 高瞻原主
2254s 此时当取自强之道
2256s 观时待变
2258s 后发之人
2260s 这才是主公
2262s 列位将军想做开国公勋
2264s 留得清史阳明
2266s 这我可以理解
2268s 不过如今汉庭尤存
2270s 天子仍在
2272s 各地诸侯分分列土称霸
2274s 天下未定
2276s 远不到主公开国称帝之事
2278s 远不到主公开国称帝之事
2280s 元树在陶子未成熟之前
2282s 就急于采摘
2284s 她只采得蛮守经济
2286s 成为众诸侯的功敌
2288s 成为众诸侯的功敌
2290s 在下料定
2292s 长则三年短则数月
2294s 元树必败
2296s 主公啊
2298s 元树汉然称帝
2300s 主公不必为之气恼
2302s 因为这不是恶训
2304s 而是主公的喜事啊
2309s 如何是喜事啊
2311s 古往今来想当皇帝的人多了
2313s 古往今来想当皇帝的人多了
2315s 凡是想当皇帝的人
2317s 就越容不得别人当皇帝
2319s 元树汉然称帝必然招致天下共愤
2321s 元树汉然称帝必然招致天下共愤
2323s 这样一来所有的兵风和愤怒都转移到元树那边去了
2325s 这样一来所有的兵风和愤怒都转移到元树那边去了
2327s 这样一来所有的兵风和愤怒都转移到元树那边去了
2329s 主公正好趁此攻伐河北
2331s 去幽州各郡
2333s 待霸业已成
2335s 再回过头来考虑君王帝位之事
2337s 再回过头来考虑君王帝位之事
2339s 总之让元树去叹取帝王之名吧
2341s 而主公则取帝王之实
2343s 而主公则取帝王之实
2345s 到头来有名无事者必自灭
2347s 到头来有名无事者必自灭
2349s 而主公则终将实至名归
2351s 而主公则终将实至名归
2353s 而主公则终将实至名归
2355s 而主公则终将实至名归
2357s 国徒天封二位大人
2359s 所言极是
2361s 但在下以为
2363s 主公
2365s 有一件事
2367s 主公必须先做
2369s 那元树不是让主公上表称臣吗
2371s 那元树不是让主公上表称臣吗
2373s 依在下之见
2375s 主公倒不如真就给她
2377s 上一道奏表
2379s 但只是称贺
2381s 仅仅只是称贺
2383s 而绝非是称臣
2407s 何日
2421s 今夕
2423s 何夕啊
2425s 五月初五
2427s 天下的愚夫蠢货
2429s 天下的愚夫蠢货
2431s 五月初五都爬出来了吗
2433s 五月初五都爬出来了吗
2439s 知道吗
2441s 元树称帝了
2445s 差点没把我笑死
2447s 差点没把我笑死
2451s 我看错了元树
2453s 我看错了元树
2455s 我知过了
