7s 在线上不得不。
765s 不能亲往
766s 令我代为出席
769s 我明日既去
770s 三五日归来
773s 列尉务必各守其职
775s 不得大意
777s 我不再是
778s 城中大小事
780s 均由云长做主
783s 遵命
785s 哥哥刚刚死里逃生
787s 好不容易离开了京州
789s 还去那面会干吗
791s 叫我说呀
792s 这宴无好宴
794s 会无好会
795s 哥哥不去
796s 如若不去
798s 那就是对
799s 刘景升的失礼
800s 人家好生待我
802s 我怎能推辞
804s 哪怕是有些风险
805s 我也得去
807s 我不能负了景升兄
809s 那我跟着
810s 为你护驾
811s 你性情过于火爆了
817s 还是子隆
819s 随我去吧
821s 遵命
822s 神车啊神车
840s 万里挑一人
843s 先生慧眼
848s 能敲出此马不凡
851s 请问先生尊姓大名
854s 萍水相逢
856s 不必通报姓
858s 我是否可以
860s 细细看看此马
861s 请
863s 此马虽是沈骏
873s 眼下却有一道类草
875s 名叫狄鲁
879s 尊家不可再用它
880s 作为乘骑
882s 骑则防主啊
883s 请问
887s 它如何防我
891s 数日之内
892s 恐怕就会有
893s 血光之灾
894s 敢问先生
898s 此灾能避吗
900s 避也不难
906s 尊家只需将此马
908s 送给任何一位仇家
910s 待狄鲁马
911s 伤害那位仇家之后
913s 尊家再取回
915s 自用乘骑
917s 这样
918s 就利害两遍了
925s 先生这是何话
927s 损人利己
928s 伤天害理
930s 此等事
931s 我是宁死不为的
937s 人言留玄得人意
939s 金剑
940s 果然哪
941s 先生如何得知我姓名
965s 京乡九郡四十二剑官员
967s 欢聚于此
968s 共贺道古江蜀
970s 国泰民安
972s 家父因偶然危恙
973s 未能亲临此会
975s 只能在荆州府中
977s 向各位同仁
978s 遥相致贺了
980s 祝父祖道日康复
982s 谢大夫子国民
984s 家父特意请来
985s 左将军怡成侯
987s 也即是当今天子的皇叔
989s 刘玄德
992s 刘皇叔
995s 在下
996s 自从踏进京乡地界
999s 那刻起
1001s 就深感这里
1003s 天灵地秀
1005s 物胜民风
1008s 与朝军铁骑下的
1010s 乱世相比
1012s 京乡
1013s 简直就是天上人间
1015s 刘皇叔说得对
1016s 我京乡九郡
1017s 本就是世外桃源
1019s 天上人间嘛
1020s 刘皇叔果然是个贤君子
1022s 是不是
1023s 是啊是啊
1024s 这里的这片太平
1026s 尚靠名公刘景生
1029s 下赖列为文武官吏
1033s 今日
1035s 刘备受景生兄委托
1037s 特此前来相和
1040s 请
1041s 刘皇叔请
1042s 你也下去
1043s 陪他们喝杯酒
1055s 主公
1056s 子龙有护甲之责
1058s 还是不喝的
1059s 这些都是冷地官员
1062s 我们如想久居此地
1064s 就必须以礼相待
1067s 再说
1068s 你岸间在此
1069s 也不好看
1071s 遵命
1072s 在下敬你一杯
1080s 你们听着
1097s 刘备在此
1099s 刘备此行
1100s 只带了赵云一人及吴北军士
1102s 你们立即把神庙四周
1104s 各围上
1105s 待我号令一下
1106s 马上冲进去
1107s 如有人问
1108s 就说刘备勾结曹操
1110s 谋取京州
1111s 主公命令斩杀
1113s 这一回
1114s 绝对不能让他再逃脱
1116s 遵命
1118s 来来来
1119s 先干
1122s 干干干
1124s 我敬你一杯
1127s 好酒
1129s 公子何事
1133s 相爷主播刚才禀报我
1135s 说外面已经布满了
1136s 虎奔军师
1138s 虎奔军师
1140s 京州兄您要杀我吗
1144s 全是将军府的
1149s 从边门出去
1156s 公子
1158s 我能不能不逃了
1160s 你说
1165s 我这辈子
1166s 颠沛于柳林
1168s 东奔西跑
1169s 总是在逃
1172s 我能不能不逃了
1174s 听天由命吧
1177s 我就在此恭候
1181s 看那菜猫
1182s 能把我怎养
1184s 皇叔
1185s 你是个仁义贤民之君
1187s 早晚必成大业
1189s 如果束手就死
1190s 岂是大上不作为啊
1195s 京州肯定会
1196s 酿出一场血光之灾
1198s 关正赵三位将军
1199s 必会找我夫妻复仇
1201s 到那时恐怕连我父亲
1208s 都难逃厄运了
1210s 公子说得是
1217s 快走吧
1218s 不要惊动任何人
1247s 我家主公呢
1248s 将军不必着急
1249s 皇叔已经走了
1365s 你家主公嘛
1366s 他已经越到对岸去了
1368s 这西界如此之高
1378s 没有马可以越得过去
1381s 将军说得没错
1383s 可刘备却越过去了
1389s 你为何带兵马来
1391s 九郡四十二县的官员
1392s 都聚在襄阳
1394s 我身为京州上将
1396s 岂能不来护卫
1400s 你快说
1401s 你把我主公怎么样了
1403s 我并没有把他怎么样
1405s 如果不信
1406s 你自己问刘备去
1407s 让开
1410s 赵云
1414s 你
1416s 你家主公现在生死未过
1419s 你想厮杀吗
1537s 秦升突转高抗
1539s 必有英雄窃听啊
1544s 老朽无名
1545s 别号水净
1548s 在下刘备刘玄德
1550s 拜见水净先生
1554s 是刘皇叔啊
1556s 幸会
1559s 将军的作技
1560s 如此神俊
1562s 可将军的衣着
1564s 却有如此的狼狈
1567s 想必是刚刚多显吧
1571s 先生慧眼
1572s 动若观火
1574s 在下被人追杀
1577s 献马于五里外的
1578s 河西间
1580s 追兵张弓搭剑
1582s 我以为必死无疑
1584s 万疾之中
1586s 不料这匹敌鲁马
1588s 腾空而起
1589s 越向对面高雅
1591s 我才得图此难
1593s 侥幸 侥幸
1596s 若果真如此
1598s 那老夫我
1599s 更要祝贺你了
1602s 为何
1603s 那条河西
1605s 名叫潭西
1607s 想当年
1608s 楚王项羽
1609s 曾在那里
1610s 屠杀了
1611s 三十万秦国降兵啊
1614s 整整杀了一个月呀
1617s 真是不得了
1619s 真是
1620s 血流如河
1621s 头颅如山啊
1624s 潭西
1625s 足足冲杀了好几年
1628s 才将他们
1629s 冲进了滔滔向江
1632s 可想而知啊
1633s 那溪水之中
1635s 埋葬了多少
1636s 英雄壮士
1638s 又击砸了
1639s 多少冤魂亡灵啊
1642s 也只有刘将军你呀
1645s 献马潭西之后
1646s 居然还能腾空而起
1648s 脱此踏难啊
1650s 将军
1661s 是应该感谢苍天了
1664s 摄下还有水酒赋坛
1667s 将军若不嫌弃
1668s 吃剩几杯
1669s 压压惊怒火
1671s 多谢先生赐酒
1674s 请吧
1675s 将军
1690s 依你所见
1692s 荆州刘表的前途如何
1695s 刘景升是无皇兄
1697s 贤德仁义
1699s 志勇生
1702s 定能担当得起
1704s 忠心汉业的大人
1708s 将军啊
1714s 将军所言
1716s 怕是连将军
1717s 自己都不相信
1719s 你是爱于情面
1721s 不仁直言其短罢了
1725s 那么先生以为
1727s 景升兄前景如何呢
1730s 刘景升
1734s 外有强敌
1736s 家有内乱
1738s 文武离心
1739s 将帅不和
1741s 荆州
1743s 迟早落入他人之手啊
1747s 在下是
1749s 有苦难言
1751s 先生则是
1752s 一语道破
1754s 年来
1756s 这荆襄各郡之间
1762s 盛传着一首
1764s 童谣
1767s 其末两句是
1770s 最终天命
1772s 有所归
1774s 西中盘龙向天飞
1778s 刘将军
1780s 不觉得
1782s 此谣
1783s 正应了刘将军
1785s 今日谈西月马
1787s 最终天命
1788s 有所归
1791s 西中盘龙
1793s 西中盘龙向天飞
1797s 先生啊
1798s 我兵威将寡
1802s 多少年来
1804s 屡战屡败
1805s 我
1808s 我这等人
1811s 真的能成大业吗
1814s 这世上
1815s 英雄不少
1818s 可叹
1819s 兄有大志者多
1822s 成其大业者少
1824s 为何呀
1828s 因为你想要一飞冲天
1831s 那总得有两支羽翼相助吧
1835s 也就是
1836s 文武两翼
1839s 将军是
1840s 武强文弱
1842s 其不下
1843s 关羽张飞赵云
1845s 都堪称是万人敌
1848s 可是
1849s 孙贤简雍弥方等辈
1852s 均无经国济世之才呀
1857s 所以呢
1858s 将军
1859s 只有一支羽翼
1862s 将军
1863s 缺少的是一位
1865s 仰观天下
1867s 胸有韬略的军师啊
1871s 先生说得极是
1872s 请问先生
1875s 那这样的军师
1878s 我何处寻求呢
1880s 是有卧龙凤雏
1884s 二人得一
1886s 便可安天下
1888s 卧龙凤雏
1890s 此二人何在
1892s 请先生指点
1897s 天机不可谢
1899s 将军见谅
1900s 先生
1906s 刘备
1910s 既是得不到卧龙凤雏
1913s 但若能
1915s 请先生出山相助
1917s 那也是三生有幸啊
1922s 老朽年迈
1923s 来日不多
1925s 只有
1926s 与这青山绿水相伴了
1937s 将军莫急
1938s 迟早会有
1939s 强过老夫十倍者
1941s 相助于你
1943s 只待时运吧
1946s 时不来
1947s 运宜不至
1949s 时来
1950s 万事顺遂
1953s 多谢先生教诲
1958s 来来来
1959s 吃酒
1960s 吃酒
1961s 是原池啊
1978s 你不是受刘表之约
1979s 去青州了吗
1982s 言何深夜到此
1984s 在下失去了一趟
1985s 荆州府
1987s 但刘锦升此功啊
1989s 虽有善心
1990s 却无大事
1991s 徒具虚名而已
1993s 两天不到
1994s 我已看破极短
1996s 刘表喜善
1997s 而不能用
1998s 恨恶
1999s 又不能除之
2001s 外不能遇将士
2003s 内不能治家政
2005s 我料他
2006s 早晚自献其祸
2007s 我怕刘府强留于我
2009s 我便星夜离开了荆州
2011s 轻声轻声
2012s 我这里另有贵客
2015s 放心
2016s 贵客何人
2017s 在下大梦初醒
2019s 左将军刘备
2020s 拜上
2026s 原来是刘皇叔啊
2028s 缘分
2029s 缘分啊
2030s 先生
2031s 是你
2035s 敢问阁下
2036s 是卧龙还是凤雏
2039s 区区在下
2040s 既非卧龙
2041s 也非凤雏
2043s 在下
2044s 姓徐名树
2045s 在下
2046s 姓徐名树
2047s 自原之
2049s 刚才我在里面
2050s 听先生所言
2052s 一语便能道破
2053s 刘景升之弊端
2055s 即使不是卧龙凤雏
2056s 定然远胜卧龙凤雏
2059s 万不敢当
2060s 在下与卧龙和凤雏相比
2063s 犹如繁星
2064s 比于昊玥
2066s 先生太过谦虚了
2069s 玄德所说不错
2072s 但凡才华超群
2073s 精伦满腹者
2075s 往往偏做谦虚
2077s 请吧请吧
2078s 请入座
2079s 皇叔请
2080s 皇叔请
2081s 我久闻刘皇叔仁义
2097s 那天故意借狄鲁玛一事
2101s 果然是
2104s 先生说狄鲁玛房主
2107s 果然异语重地
2110s 当日
2111s 我便现马谈西
2113s 差点送命
2114s 狄鲁玛方得懂寻常庸主
2116s 却方不懂名功
2119s 我离开荆州时
2120s 顺路访查了新野
2123s 在乡下已有名谣了
2126s 唱的是
2128s 新野牧
2129s 刘皇叔
2131s 自到此
2134s 名丰足
2137s 我听后甚是感慨
2139s 因为阁下铸新野
2140s 刚刚一年
2141s 就有如此的名声
2143s 真是
2144s 仁义之君
2145s 感召天下
2148s 阁下
2149s 无论是荣是衰
2151s 也无论是胜是败
2154s 总会有民心相随
2156s 须知
2157s 民谣所唱
2159s 便是民心所向
2161s 而能得到民心者
2163s 距离得天意
2165s 也就不远了
2167s 宣德君
2168s 你也知道
2169s 刚才
2170s 原旨所言
2179s 是刘备此声
2181s 听到的
2182s 最动心的
2183s 但也犹如
2184s 一把利剑传心的
2186s 痛且快哉
2188s 刘备不才
2192s 想请你出山
2194s 担当我的军师
2197s 以便早晚手脚
2207s 在下
2208s 才识学弄
2209s 却不知
2210s 何以
2211s 却不知
2212s 怎么讲
2214s 在下
2215s 才识学弄
2217s 万万当不起
2218s 如此大任
2219s 明宫
2220s 另请他人吧
2222s 我刘备
2224s 二十多年
2225s 一直盼望
2226s 能有先生
2227s 这样的高士相助
2229s 可以说
2230s 朝思暮想
2232s 今日
2233s 能与先生相遇
2235s 有如大寒风干练
2237s 刘备
2238s 叩请先生
2240s 相助我一笔之礼
2241s 明宫之意
2244s 令我万分感动
2246s 但军师大任
2248s 我确实
2249s 不敢担当
2260s 徐述啊
2261s 刘皇叔
2262s 如此将尊于贵
2264s 屈膝相求
2266s 已足见其成了
2268s 你就答应了吧
2270s 否则
2271s 您那满腹经纶
2273s 怕是要荒废了呀
2276s 自古来
2278s 才是一德
2280s 名主难求啊
2283s 刘皇叔
2284s 虽然时运不济
2286s 可他无疑是一位
2288s 贤民之主啊
2290s 迟早
2291s 会亦飞冲天
2293s 成其大业
2295s 今日
2296s 你俩在我寒舍相见
2299s 也是天衣使然
2307s 奉先生为师
2309s 终生不改
2310s 徐述
2319s 奉命了
2320s 好
2324s 好
2325s 先生快快请起
2329s 二位相识
2331s 真是天地宦然
2333s 可贺可贺可贺可贺
2336s 是子龙
2342s 二位先生
2343s 是我不将赵云寻我来了
2346s 常山赵子龙
2348s 威名满天下
2349s 快请
2350s 快请他进来
2351s 子龙
2352s 主公
2353s 子龙
2362s 你怎么寻到这里来的
2364s 牧家找了一夜
2365s 终于发现马蹄印
2366s 按照马蹄印
2367s 才找到这儿的
2369s 忠勇啊
2370s 难得呀
2372s 这位是
2374s 水净先生
2375s 这位是徐述先生
2377s 这位便是
2378s 赵云赵子龙
2380s 曹操战败袁绍之后
2388s 当需修兵一年
2390s 以求囤积粮饷
2392s 军信
2393s 之后再挥师取天下
2396s 其兵封所向
2397s 必然只取荆州九郡
2400s 而我们依附刘表
2401s 驻兵兴隐
2403s 自然是首当其冲
2405s 我料曹操大军启时
2408s 应在明年开春
2410s 依曹操用兵的习惯
2413s 在大军启之前
2414s 总要先着一支禁吕
2416s 攻入荆乡
2418s 攻城略地
2420s 但曹操的用意
2422s 并不在乎此禁吕
2424s 胜负如何
2425s 战祸多少
2427s 而是用这支禁吕
2429s 探查荆州的防务虚实
2432s 以找出敌军的薄弱所在
2436s 甚至找出
2437s 刘表兵马的优劣长短
2441s 昔日我与曹操交战
2443s 曾有多少不解除
2446s 今日听军师一言
2448s 豁然开朗
2450s 因此
2451s 我军当前药物有二
2458s 其
2459s 请云长子龙各饮一步
2461s 在新野城外三十里处
2463s 扎下营寨
2465s 云长营为虚
2466s 子龙营为实
2468s 二营于新野
2469s 互成计较之势
2471s 而且虚实相应
2473s 已被曹军来犯
2475s 其二
2477s 孙乾芈芳继续招兵买马
2479s 扩充军备
2481s 已准备明年那场
2482s 生死存亡的大战
2484s 其实说了半天
2487s 却没有说
2488s 曹操那支禁吕
2489s 何时来犯
2491s 三十天以后
2492s 前后相差不会一两天
2496s 干吗非要三十日之后
2498s 我要是曹操
2499s 明天就攻过来了
2501s 三弟所言极是
2504s 官某
2505s 虽然不像先生那样
2506s 会算命
2507s 但也粗知兵法
2509s 兵贵神速
2511s 才是良将
2512s 官将近谦虚了
2517s 你深知兵法
2518s 早已堪称良将
2520s 不过兵者
2522s 应当顺天而进
2524s 不应当逆天而行
2526s 兵后天起
2527s 京乡一带
2528s 将进入秋雨时节
2530s 长达二时
2531s 等地面风干
2533s 还需三五日
2534s 从许昌发兵至此
2536s 又需三五日
2538s 而曹操的禁吕
2539s 多为北方铁技
2541s 总不至于
2542s 陷在泥泞当中作战吧
2546s 所以我说
2547s 各位
2548s 快快遵从军师吩咐
2550s 分头行事
2551s 切记
2553s 军师所言
2565s 句句都是军令
2567s 遵命
2568s 据报
2570s 刘表旧病复发
2572s 卧床不起
2573s 金州军务
2575s 大多落在了
2581s 水师将军蔡茂手里
2583s 此人
2584s 水战尚可
2585s 陆战尚可
2586s 此人
2587s 此人
2588s 此人
2589s 此人
2590s 此人
2591s 水战尚可
2592s 陆战无能
2593s 而与此同时
2595s 刘备正在新野
2597s 招兵买马
2598s 扩军备战
2600s 一日作大一日
2602s 我意
2603s 即向金州用兵
2606s 攻伐刘备
