16s 西梁军的精锐主要是他的战绩。
649s 二哥,我也敬你一碗。
652s 大哥,官某不负大哥三弟厚望,侥幸成功。
657s 来。
658s 来。
659s 有句话,我可先撂下了。
670s 二哥,你已经是斩将立功了。
674s 回头吕布那小子来了,可不准二哥你动,得该轮到我了。
679s 成,我让给你。
682s 二弟三弟,我们三兄弟此次来会盟,从入关起便饱受情。
689s 十八路诸侯根本就没把我等放在眼里。
693s 在这乱世当中,我们要想有立足之地,
697s 就必须要靠自己的本事,剿贼建功,方能成就大业。
703s 大哥,你现在也应该是一路诸侯了。
707s 第十九阵统兵将军,
710s 如今咱们也可以和各路诸侯平起平坐啊。
715s 未必,我这路将军是西社的。
720s 袁绍袁盟主答应给我们的兵马粮饷,可曾见踪影啊?
726s 我已经派小肖去取了。
729s 料那袁绍四十三功,名满天下,总不至于言而无信吧。
735s 再说,二哥你刚替他斩了华兄立了功。
739s 袁绍那司如敢外战,我拿大尔瓜子杀掉。
743s 主子爷,主子爷,主子爷,小子叫人给打了。
748s 打了?
749s 打了,他们是大尔瓜子打了小子。
751s 谁打的你?为何打你啊?
753s 小子奉二爷之命,去大营领取粮饷。
757s 可是那个后将军袁术,他一个字也不给咱们。
761s 你有没有说过,是袁盟主当着众诸侯的面,
766s 许给我们金千金,马百匹,粮草五百丹。
770s 小的说清楚了,可袁术说,粮草堆在洛阳城呢。
774s 想要啊,自个儿打进洛阳城取去。
777s 小的和他争辩,他的手下就打了小的。
781s 还辱骂了三位主公。
783s 好,骂什么呀?一个字都不准漏,说我听听。
787s 他们骂,他们骂主,主子爷是,是什么知习饭旅之徒。
795s 屠猪,屠猪卖狗之徒。
799s 这帮鸟人。
801s 三弟,且慢。
803s 二哥,你刚替他们出生入死,战将立功。
806s 这帮鸟人言而无信。
808s 二哥,你别管,让我去痛袁术那小子一万个托眉窟窿。
812s 等等,我们应该和袁绍去说理。
815s 袁绍那小子,浑身上下都是嘴。
817s 跟他讲理用孔蛇,管个鸟用啊,只能刀下理论。
821s 三弟,不可造词。
823s 依我看,无论是说理还是动刀,只怕都没有用。
834s 为何?
836s 袁术是袁绍的堂弟,而且还是袁绍亲自任命他为盟军总提调官。
842s 我担心袁术拒不发给我们兵马粮饷。
847s 袁绍心里清楚,但洋装不知。
850s 真没有想到,袁氏兄弟明晚天下,做起事来竟如此不堪。
857s 既然有这层担忧,我们干吗还要在这儿寄人篱下,在这种地方受这鸟气啊?
863s 我们离开这鸟地吧,走人!
866s 三弟别急,且听大哥有何主意。
870s 你们还记得曹操吗?
875s 当然记得。
876s 此人暗藏韬略,颇有见识,为人也很仗义,对我们也算不错。
884s 我想不妨先向他请教一下,再做定夺。
889s 那小子,满脸虚情假意,我看也不是什么好东西。
894s 禀相公,上将华雄被一个名叫关羽的贼将斩了,我三万前军全军溃败。
908s 十八路诸侯共有兵马五十余万,声势浩荡。
913s 前封将军为长沙太守孙坚,他亲率两万精兵率先进军。
920s 昨日已攻破了白马要战,还有,臣刚才得报,虎牢关也已万机。
930s 吕布。
934s 在。
936s 即刻调集全部西粮人马,本相要亲自率军出战。
941s 遵命。
942s 相国要亲自率军出战,那定然是马到成功。
953s 不过臣担心,如果相国这次清城出兵的话,城中恐有不渝呀。
963s 把话说明白了,到底是什么意思。
966s 相国您是知道的,现在的朝中大臣,大半都是前朝公卿。
973s 他们对相国,对相国你,一直是虚以为矣,表面公顺,其心叵测。
981s 比如说袁绍的叔父,现为朝中太傅的元奎。
985s 当他得知华雄兵败后,记得是受无阻挡。
989s 相国您想一想,如果你统军清城出兵一旦,那些大臣们,要是与袁绍利因外合的话,则多有不可。
1000s 国司。
1008s 在。
1009s 即刻拿下袁奎,全家老少。
1013s 明日出征时城门下,全部斩首计席,为我西粮大军壮行。
1018s 让那些个前朝公卿大臣们看看。
1022s 这就是与我董卓暗中为敌的下场。
1026s 遵命。
1027s 传令三军,本相出征后,五日内要取孙坚首级,十日内定斩袁绍首级。
1035s 遵命。
1038s 并相国,臣还有一个建议。
1041s 相国此次教贼,未必一定要立战啊。
1053s 哎呀,李儒,你把话说明白喽。
1057s 那时八路诸侯中,过去彼此之间,一直勾心斗角。
1063s 今日,又怎么可能同心同德呢?
1068s 相国,你何不使些离间计,让他们的会盟土崩瓦解。
1076s 王司徒大人,本相就要为国剿贼去了,你就没有什么贺词相赠吗?
1145s 相国煞血出征,威加海内。
1152s 臣祝相国马到成功,名流千古。
1161s 说得好,说得好。
1164s 挺会说话的啊。
1169s 王尹啊,看见了吧,这些乱臣的下场。
1178s 臣看见了。
1181s 你怕不怕呀?
1185s 很怕,怕得浑身发抖。
1189s 怕就好,你就在城里给我好生子待着,别给我惹麻烦。
1195s 听清了吗?
1197s 臣遵命。
1199s 都听清了吗?
1200s 听清了。
1204s 十日之内,咱家必灭袁绍,凯旋回京。
1208s 到时候,你们就等着喝咱家的庆功酒吧。
1213s 将叛贼袁魁满门抄斩,为相国壮行,刀斧手。
1223s 我知道你为何要探望刘备的。
1226s 为何呀?
1228s 大哥想把这三人收入麾下。
1241s 没错,乱世当中,有的人夺黄泉,有的人抢城池。
1249s 有的人抢兵马钱粮。
1251s 可是你要记住,大业之本守在英才。
1255s 英才比什么都重要。
1257s 这三个人可都是英雄啊。
1260s 而且更为难得的是,他们现在正处于英雄诺了。
1264s 这种时候,你给他们一分好处,比得上平时时分。
1269s 大哥,这三人虽有,却是丹利伯呀。
1273s 大哥若想招募他们,只需书信一封,黄金百两即可。
1277s 何必专程折腰拜访呢?
1279s 有的人可以招之即来。
1282s 可是有的人,也就是千呼万唤,他也不一定来。
1291s 这三个人,你没瞅见他们在帅台上的样子吗?
1296s 刘备,虽然坐于墨座,却弃于宣郎。
1302s 那两个也是。
1304s 你知道当关羽把华雄的头颅扔到大堂上的时候,我最吃惊的是什么吗?
1309s 是什么呀?
1310s 是刘备的眼睛。
1312s 他连眼皮都没眨一下。
1315s 就好像这一切都是理所当然的。
1318s 这种人,泰山崩于前而面不变色。
1326s 他连眼皮都没眨一下。
1331s 就好像这一切都是理所当然的。
1335s 这种人,泰山崩于前而面不变色。
1339s 是啊,我想起来了。
1345s 的确如此。
1347s 大哥,你要是招不动这三个人怎么办?
1353s 招不动?
1354s 那我就让他们主动来投靠我。
1358s 好啊,照我看来。
1361s 大哥,你才是天下真正的英主啊。
1364s 刘关章,不过是英才而已啊。
1368s 三下曹操,拜访刘将军。
1386s 原来是曹将军大驾光临。
1388s 未及远迎,请恕罪。
1390s 怎么?这就是第十九阵将军府吗?
1398s 正是。
1401s 我看他比原本出的率台要气派。
1404s 曹将军为何这么说?
1406s 因为袁绍的率台虽然显赫。
1409s 却只围了一群陆路之徒和势力小人。
1413s 这间茅屋却住着三个一泊云天的兄弟。
1418s 这三个人不求同年同月同日生,
1422s 但求同年同月同日死。
1425s 曹某在百里之外都能感到这茅屋里所发出的英雄之气。
1430s 曹操,你讲得太好了。
1433s 刚才我还在骂你来着。
1436s 请问易德老弟刚才骂我什么?
1440s 我刚才骂你虚情假意,都要得罪了啊。
1445s 易德老弟骂得对。
1448s 我是宁肯听你骂,
1450s 也不愿意听他们的虚情假意,天眼里。
1455s 说得好。
1456s 说得真好啊。
1457s 说得我这心里舒服死了。
1460s 你知道不?
1462s 袁绍那哥俩真他奶奶的不是个东西。
1465s 三弟。
1468s 看来袁绍是失言了。
1471s 或许原本出一时疏忽了。
1473s 三位请看,这车上有千斤粮食,百斤熟肉,还有十坛美酒。
1482s 袁绍把赏赐之物拨发给我们了?
1485s 不是袁绍,是我大哥。
1488s 我大哥听说袁绍竟敢难为三位英雄。
1491s 立刻令我从我部存粮当中拨出一部分来,
1495s 相助三位英雄啊。
1497s 代谢曹将军。
1499s 多谢。
1500s 多谢。
1501s 些许薄物,聊表寸心罢了。
1504s 不过不是我自夸。
1506s 这十坛美酒可都是配国的百年价酿啊。
1510s 每一坛都价值百斤啊。
1512s 真的吗?那太好了。
1516s 美酒能让英雄所饮也是美酒的福分。
1520s 曹仁啊。
1521s 在。
1522s 你先陪云长和易得饮酒,我跟刘将军叙坛片刻。
1526s 好。
1527s 好嘞。
1529s 走走走。拿着。
1531s 曹公请入内。
1532s 请。
1533s 来来来。
1534s 你给我吧。
1535s 请。
1536s 慢点。
1537s 京城董贼作乱,九州战火风起。
1545s 官民世子无不出于水深火热之中啊。
1550s 四百年旱时日渐水滑。
1554s 我身为刘氏宗人,
1556s 何以面对先皇在天之恋爱?
1560s 痛在痛在,痛不肯。
1564s 我倒是与君不同。
1571s 一方面是痛,另一方面却是喜。
1576s 敢问曹公喜从何来?
1578s 夏五百年止于商,
1582s 商五百年止于周。
1586s 周三百年而昼起春秋战,
1590s 实施天下大乱,
1592s 迎来英雄备出。
1595s 由此可见,国运甚衰长短,
1599s 聚平天意。
1601s 如无乱世何来英雄?
1603s 请君设想,
1607s 如果是在太平盛世,
1610s 只能是个知习贩旅之徒。
1616s 我呢,
1617s 也只能是个门下校尉之辈。
1620s 恰恰是这天下大乱,
1623s 你我才可能创下。
1625s 看来曹公是为这乱世而生的。
1635s 生于乱世是为不幸,
1638s 但如能变乱为至,
1641s 岂非不幸中之大幸?
1644s 敢问宣德兄,
1645s 此次会盟有何指向?
1648s 刘备虽不才,
1654s 却想以天下星王为己人,
1658s 除贼安邦,
1662s 中兴大汉。
1664s 那么如何才能实现你的雄心呢?
1669s 天下大乱是根源,
1672s 首先在于人心丧乱,
1677s 因此,
1678s 欲安天下,
1682s 先取人心,
1684s 而人心之本,
1685s 在于寻天道,
1687s 行人意,
1689s 持忠相。
1691s 在下以为,
1693s 如今安天下已经不可能,
1695s 取天下,
1697s 却有可能,
1699s 而取天下之道,
1701s 在于全谋,
1703s 全谋所至,
1705s 则应裁必及,
1708s 上有贤君能臣,
1710s 下有精兵强将。
1712s 莫非曹将军暗怀君王之知吗?
1717s 莫非你想取憾自立吗?
1720s 曹某,
1721s 岂敢有这等非粉之想?
1724s 不过,
1728s 此次我一进城关,
1730s 我就感觉到,
1731s 歌鲁诸侯名为惠蒙,
1734s 实则勾心斗角,
1737s 暗藏雄心大志的,
1740s 也绝不在少数。
1742s 这一点,
1745s 在下也深有同感。
1747s 我一直在想,
1749s 何以袁绍振臂一呼,
1752s 十八路诸侯纷纷聚集会盟,
1756s 难道他们真的想除贼服汉吗?
1759s 未必。
1763s 乱贼董卓,
1765s 原是西梁一刺史,
1767s 其权位尚不如这些诸侯。
1770s 而今呢,
1772s 高拒京城,
1774s 口贤天险,
1775s 独霸朝纲。
1777s 这就使得天下的众诸侯
1779s 心中不平啊。
1781s 他们会觉得,
1782s 昔日西梁一猪狗,
1784s 怎配妾居龙庭。
1787s 恕在下直言,
1789s 与其说,
1791s 他们在仇恨东中,
1793s 倒不如说,
1795s 他们在嫉妒东中。
1797s 于是,
1799s 匆匆起兵,
1800s 匆匆回门。
1802s 其意,
1804s 是想趁天下碎裂之时,
1806s 争夺一块地盘。
1808s 他们哪里是在救天下?
1814s 他们是想趁乱征天下,
1817s 趁乱分天下。
1819s 所以在下才认定,
1821s 天下大乱之根源,
1824s 首先在于人心之丧乱。
1829s 你跟刘备,
1858s 谈得如何啊?
1860s 你先说说,
1863s 你跟关羽张妃,
1864s 酒喝得如何?
1866s 好啊,
1867s 关张这二位,
1868s 真是忠肝义胆,
1870s 豪气穷天啊。
1871s 好,
1872s 世上罕见的英雄。
1874s 如此英雄,
1877s 却不属于我,
1879s 竟然落到了刘备手里,
1881s 可惜可恨啊。
1887s 莫非,
1888s 莫非刘备,
1890s 没能让大哥受入婚下?
1892s 此人既非囊中物,
1897s 也非痴中鱼,
1900s 他暗藏雄心大志,
1902s 岂能为我所用?
1905s 但愿日后不要成为我的大敌才好。
1909s 父亲,
1919s 此次一战即攻下了白马药寨,
1922s 足以可见西梁兵徒有虚名。
1925s 父亲何不乘胜追击,
1927s 拿下虎牢关,
1928s 直接进入京师洛阳?
1930s 只要我军率先进入,
1933s 父亲就是守攻。
1940s 我儿壮志可嘉呀。
1944s 现在,
1945s 我军孤军深入数百里,
1948s 已经远离了盟军大营,
1950s 袁绍答应的粮草和援军,
1953s 却一直不到。
1957s 末将建议,
1959s 我军先做修整,
1961s 待袁绍大军抵达之后,
1963s 再共同进攻虎牢关。
1966s 樊将军言之有理,
1969s 不过,
1971s 等袁绍援兵抵达后,
1973s 我军仍然要承担先锋重任,
1976s 因为此次剿贼,
1978s 共有十八九路诸侯,
1980s 彼此争雄。
1982s 他们谁不想建功立业啊?
1984s 谁不想率先攻入洛阳,
1986s 一求天子封上啊?
1988s 所以,
1989s 我江东子弟,
1990s 一定要为天下先,
1992s 在剿灭董卓之意中,
1994s 壮大实力,
1995s 争得称职,
1997s 一定日后发展。
2005s 兵主公,
2006s 董卓来使求见。
2008s 董卓使者?
2010s 也罢,
2012s 让他说什么吧。
2022s 在下,
2024s 常侍李儒,
2026s 拜见孙将军。
2028s 李儒啊,
2032s 来此何意?
2034s 在下,
2036s 特来给孙将军道贺的。
2040s 贺什么?
2042s 和我一战攻城,
2044s 打败了你们西梁军吗?
2048s 这只是其中之一贺,
2051s 这二贺嘛,
2053s 孙将军,
2054s 你更有可贺之处啊。
2057s 喜儿恭听。
2061s 董相,
2062s 有一爱女,
2064s 年当花季,
2065s 尚未及继,
2066s 孙将军,
2067s 你有一爱子,
2069s 名叫孙全。
2071s 董相,
2072s 素来敬佩将军,
2074s 想将爱女嫁与孙将军之子,
2076s 结为儿女亲家,
2079s 共图大业呀。
2083s 嫁给我哪个儿子?
2087s 孙全?
2088s 董相还说了,
2089s 如果将军有美意,
2091s 相国立刻呈报天子,
2093s 授孙将军你,
2095s 为朝廷大司马,
2097s 位居三宫啊。
2099s 而且,
2101s 而且,
2103s 让孙将军你,
2104s 领荆州刺史,
2106s 统领荆州九郡,
2108s 所有的城池啊。
2116s 叫全儿进来。
2119s 全儿来了。
2148s 他就是孙全?
2150s 世人传闻,
2152s 孙全是文武抽群,
2154s 智勇双全。
2156s 他,
2157s 他怎么还是个娃娃呀?
2164s 我儿,
2165s 个个智勇双全,
2167s 文武超群。
2170s 不信,
2171s 咱可以问问他。
2172s 儿啊,
2173s 来,
2174s 爹问问你啊,
2179s 这位使者,
2181s 为什么要给你
2182s 送个媳妇啊?
2184s 董卓被我爹爹打怕了,
2186s 所以才让我
2187s 做他的女婿。
2189s 这样,
2190s 爹爹就变成了他的奴才。
2191s 爹,
2192s 这件事你可
2193s 万万不能答应他呀。
2195s 听见了吗?
2197s 连我九岁的孩子
2199s 都能看出董卓的祸心。
2202s 这等离间计
2203s 还能瞒得过天下人吗?
2209s 在下誓言,
2211s 在下,
2212s 告罪。
2214s 李柔啊,
2217s 滚回去,
2219s 告诉董卓,
2221s 叫他洗干净脖子,
2223s 等我的战刀。
2229s 爹,
2230s 刚才全儿又想了一下,
2232s 你可以答应董卓。
2234s 为什么?
2235s 是这样的,
2236s 咱们不是真的答应,
2238s 而是假装答应。
2239s 冰书上说,
2240s 冰不厌诈,
2241s 你假装答应以后,
2243s 趁西梁军不备,
2245s 领军突然杀进洛阳城。
2252s 妙啊!
2257s 都听见了吧?
2259s 我小小的儿子,
2261s 就如此多职。
2265s 河朝江东,
2266s 大业不成。
2268s 恭喜主公,
2270s 恭喜主主公。
2271s 先锋将军孙涧,
2298s 传来第三道书信,
2299s 急催梁祥和元军。
2301s 知道了,
2308s 叫元叔来见我。
2310s 诺。
2317s 禀盟主,
2318s 孙涧遣将叩营。
2319s 来将何人?
2320s 上将黄盖。
2334s 黄将军亲自来了。
2339s 元盟主请看,
2340s 末将这把战剑,
2342s 已经砍杀过25个西梁贼子。
2344s 剑身已残,
2346s 剑锋崩去。
2347s 此时此刻,
2348s 我数万江东子弟,
2350s 就像这把战剑,
2351s 正在虎牢关下,
2352s 与西梁军孤军血战。
2354s 而你答应的,
2356s 梁祥,
2357s 战马,
2358s 军械,
2359s 现在何处?
2360s 黄将军莫急,
2364s 梁祥军械,
2366s 我早已叫元叔给孙将军送去。
2369s 留想,
2371s 三五日之内,
2373s 必送到。
2374s 还说三五日?
2376s 如今,
2377s 几个三五日都过去了。
2378s 我主公一不见梁祥,
2380s 二不见军械,
2381s 三不见元军。
2383s 而我进关时却看见,
2385s 众诸侯都在营中饮酒作乐,
2387s 根本不见进军的迹象。
2391s 哪里?哪里?
2394s 五镇诸侯,
2396s 已经率兵出关了。
2398s 不日,
2399s 即可与孙将军会合。
2402s 这样吧,
2404s 黄将军,
2405s 还是退下歇息。
2408s 容我稍作布置。
2410s 不,
2411s 丁盟主,
2412s 我主公说了,
2413s 不见梁祥军械,
2414s 我就不离开盟主寸步。
2416s 黄将军,
2422s 日落之前,
2423s 我定将梁祥军械交给你。
2426s 好,
2427s 元盟主,
2428s 一言为定,
2429s 再也不食言。
2431s 一言为定,
2432s 有如此见。
2434s 黄将军,
2439s 还是退下歇息吧。
