10s 对面的那个人就是关羽吗
1005s 你要 你要干什么
1010s 我要杀贼
1013s 魏妍
1014s 我待你不薄
1017s 你为何要判我
1019s 我屡力战功
1021s 但你却有功不赏
1022s 无罪缺乏
1024s 让我做一个偏君校位
1030s 这还叫不薄吗
1036s 可造刺
1042s 魏妍
1044s 你为何杀了韩太守
1046s 韩生不必惊慌
1048s 这样子太守死了
1049s 那是一城之务
1055s 黄将军
1057s 在这长沙城文武中
1059s 属你德高望重
1061s 我等请你领衔
1063s 我们一起打开城门
1064s 迎接刘备吧
1073s 你以为我和你一样下作
1076s 这种背祖求荣的事
1078s 足下自辩吧
1080s 将军
1081s 殷长
1084s 拜见主公军师
1098s 殷长 殷长
1100s 我前日起身
1104s 只见营中轻骑盗卷
1105s 医押自北南飞
1107s 连教三声而去
1108s 我便问军师
1110s 此诏何应获福啊
1111s 军师袖战一刻
1113s 说长沙军已得
1114s 我都不敢相信
1115s 结果当天下午
1117s 便收到了你的结报
1119s 大哥让我三十日取下长城
1122s 让我三十日取下长沙
1124s 而今天
1126s 已经十九天了
1128s 更可赞的是
1129s 云长只用五百孝刀手
1131s 便取下了长沙
1132s 如此勇烈
1134s 无异于当年过五关斩六将
1138s 大哥
1139s 军师
1140s 请入蜀崖
1144s 这长沙军到底非小军
1147s 太守蜀崖
1149s 气派非凡啊
1151s 那黄忠怎么样了
1153s 这个老黄忠真是个英雄啊
1156s 我和他交手两日
1157s 大战三百回合
1159s 不分胜负
1160s 他人呢
1162s 快快请来相见
1164s 你们来之前
1165s 我请他出来迎候
1167s 日后也好辅佐兄长
1170s 可他托兵拒绝了
1173s 我早就知道
1177s 这黄瀚生
1179s 在长沙军民中威望甚高
1182s 我若得不到他的辅助
1183s 便难得长沙一军的民心
1186s 主公说得甚是
1188s 既然汉生撑病
1190s 主公就应该亲自探陪
1192s 好剑法
1193s 此功无力
1222s 剑头没有穿透银壶
1241s 在下刘备
1256s 久仰将军大名
1257s 故不揣冒昧
1259s 前来拜访
1260s 我知道你是刘皇叔
1262s 可不知道你是怎么进来的
1265s 诸夏府门大厂
1267s 在下不请自如
1269s 如果我请你出去
1270s 你会出去吗
1272s 会
1273s 但我会一直在府门等候
1275s 直到将军准我进来
1281s 此处无座
1284s 请皇叔入内拜茶吧
1287s 不必了
1288s 何不席地而坐 开城相谈
1291s 黄老将军
1310s 今日在下
1311s 是想请将军出山相助的
1314s 这些年间
1315s 奸雄祸国
1321s 天子盟臣
1323s 刚长金锥
1325s 黎民百姓更是饱受苦难
1328s 我等这些大汉臣子们
1330s 何忍作势啊
1333s 我老了也厌倦了
1336s 心灰意蓝
1342s 全无功名大业之念了
1346s 非也
1348s 将军名字为忠
1350s 人如其名
1353s 事忠贞如性命
1356s 自汉生
1358s 可见是为大汉而生
1360s 盼望大汉太平
1362s 繁荣生平啊
1364s 仅从将军的性命中
1366s 就足见将军的雄心壮志了
1370s 更何况
1372s 将军虽年长些
1374s 但武艺盖世
1376s 忠勇无双
1377s 一口金背大刀
1379s 竟让官羽敬佩不已
1381s 时常赞叹
1382s 还有
1383s 所有的将军
1387s 还有
1388s 所持宝雕弓
1389s 百步穿杨剑舞叙发
1392s 连张飞和子龙
1393s 都自叹不如
1396s 将军啊
1398s 你不仅是长沙威望所在
1401s 更是天下之助
1404s 皇叔过誉了
1408s 皇将军
1410s 大汉将位
1412s 只有你这样的英雄豪杰
1415s 才可以擎天助地
1422s 是想请你
1423s 相助一臂之力的
1440s 在下对将军虽然渴望已久
1443s 但实事不敢勉强
1446s 希望将军三思而后决
1449s 我会一直等候将军
1459s 我有一个愿望
1465s 请讲
1470s 韩玄虽然无道
1472s 可他是我的救主
1475s 我想起回他的尸体
1478s 厚葬于南山
1481s 如将军不弃
1482s 下葬之日
1484s 我与将军共同祭奠
1487s 多谢
1500s 魏将军请
1507s 主公和军师在里面候着呢
1509s 请进吧
1535s 末将拜见主公
1536s 拜见孔明先生
1543s 你就是首任韩玄
1545s 开城献祥的魏炎吧
1549s 正是在下
1551s 左右
1552s 在
1552s 将此人拖下去斩了
1554s 诺
1556s 先生
1557s 魏炎无罪啊
1563s 主公
1573s 识其路而杀其主
1576s 不忠意
1577s 居其土而陷其地
1579s 不义
1580s 如此投机小人必须杀
1593s 话虽如此
1595s 但若斩了此人
1597s 只怕
1598s 想者人人自危
1600s 顺者不寒而栗
1602s 还望军师宽恕
1608s 你抬起头来看着
1615s 听着
1617s 我能看透人间的中间善恶
1619s 更能看透你的隐秘心思
1622s 今日主公替你求情
1624s 我且饶你
1626s 日后尽忠报主
1628s 勿生一心
1630s 若生一心
1631s 哪怕是一丝一毫的一心
1634s 我谭指尖便能取你手机
1639s 在下谨记
1640s 在下谨记了
1646s 请主公赐魏炎五百斤
1648s 升他做前军副将吧
1653s 传命
1655s 赠魏炎五百斤
1656s 拜前军副将
1660s 谢主公
1662s 谢军师
1667s 退下吧
1668s 你刚才是真的想杀他
1695s 还是做事震慑
1698s 我是真想杀了他
1700s 此人心存投机
1702s 生性凶狠
1704s 我担心此人留着
1706s 迟早会是个祸患
1709s 那为何又要我
1710s 赠金升职呢
1712s 震起胆之后便得安其心
1715s 魏炎虽然不贤
1716s 但敢做事
1717s 胆大过人
1719s 昨日营场考教过他的兵法和武艺
1722s 所学也是颇有所长
1725s 此人留之可律 杀之可惜
1728s 今日主公开口
1730s 我就趁势饶他一命
1732s 只要主公与我健在
1733s 魏炎就不敢起异行
1738s 今时恩为并用
1742s 片刻之间折服魏炎
1744s 令人钦佩
1746s 主公片言之间请出皇中
1748s 这才是恩威齐恬
1751s 主公
1752s 主公
1754s 主公
1756s 主公
1756s 军师
1757s 金州传来急报
1758s 说刘七公子病重
1760s 命在旦夕啊
1761s 也悬心
1770s 却不能消灾免祸呀
1773s 主公
1774s 刘七一旦过世
1776s 东吴内宾必生波澜
1778s 我率三千军星夜返回荆州
1785s 我一定要见刘七公子一面
1787s 我随主公一起去
1788s 谢你
1818s 你为何众人而去
1827s 令人痛断
1829s 感情痛在先知
1836s 爱在先知啊
1840s 刘七乃大贤大义
1894s 还记得吗
1899s 长坂坡之后
1901s 草草追杀我们多时
1904s 若无刘七率船相救
1907s 我们造成倒下之鬼
1910s 还有赤壁之战
1915s 刘七公子
1918s 倾其所不为我所用
1921s 如果无他
1924s 何以成今日之机也
1927s 何以有荆州啊
1929s 刘七虽是若贯之主
1937s 但多自助我们脱大难
1939s 无刘七
1943s 无我今日之生
1945s 大哥
1946s 公子已去
1949s 人死人活
1951s 人死不能复生
1954s 大哥
1955s 你不要太过于伤心了
1957s 二弟
1960s 我不仅为刘七公子难过
1966s 也为荆乡前途担忧啊
1969s 现在我们兵多将广
1971s 粮草富足
1973s 又何可担忧的
1978s 我们占据荆州
1980s 是用了刘七公子的名号
1985s 而如今
1987s 公子殡田而去
1989s 那周瑜岂有不追讨的道理
1992s 赤壁之意
1996s 东吴出力最多
1998s 在荆州城下败曹人的
2000s 仍是周瑜
2002s 鲁素与我们有约
2004s 刘七如在
2006s 荆州归刘七
2008s 刘七如不在
2011s 荆州当归东吴
2013s 如果我们不见前诺
2020s 周瑜必起刀兵
2022s 或许主公记错了
2027s 鲁素与我们定约时
2030s 我说的是
2032s 刘七如在
2034s 荆州归刘七
2036s 刘七如不在
2037s 倒是在商量
2039s 话虽如此
2044s 可怎么商量
2046s 人家岂肯商量啊
2048s 大哥
2050s 我们现在并非当年弱驴
2053s 取下长沙四郡后
2056s 拥并六万
2058s 兼呈十余座
2060s 进可攻 退可守
2063s 周瑜若想来
2065s 就让他来好了
2067s 斗志有先手
2069s 斗兵有我和易德
2071s 本无虑
2074s 是啊
2075s 有我等的
2076s 打仗好啊
2079s 我们是越打越强
2080s 何惧周瑜那小子
2082s 你亏呀
2091s 为大局起
2093s 只要曹操在
2095s 主公与东吴
2096s 无论如何不可开战
2099s 我们虽得了四郡
2100s 但根基未稳
2102s 兵马虽多了些
2103s 但多为星母兵丁
2105s 弓马不惊
2107s 何况
2109s 四郡还需要分兵把守
2111s 反观周瑜所不
2113s 他让甘宁领统
2114s 屯兵巴黎
2115s 全力打造军械
2117s 操练士族
2118s 一意待劳已久
2121s 一旦开战
2123s 最好的结果是两败俱伤
2127s 最差的结果
2129s 是我军大势崩坏
2131s 再度落于赤壁之前的境遇
2135s 那密不发丧
2141s 过一阵子再说
2142s 没有不脱风的强
2146s 如果我们密不发丧
2148s 万一让周瑜知道
2150s 反而让他判明我军心虚
2152s 促使他冒险吸取精香
2157s 此事我心神已乱
2160s 但我冷静几日
2162s 再从长计议吧
2164s 主公
2165s 变乱在即
2166s 事不宜迟
2169s 您要何意
2171s 我意
2173s 我们不但不满
2175s 还要主动向动物发丧
2177s 坦率地告诉孙权他们
2179s 荆州刺史刘奇去世死了
2181s 我们正在治丧
2184s 另外
2184s 让所有兵马全部回营
2186s 掩藏起来
2187s 不要有一兵一卒的调动
2189s 周瑜不知我军虚实
2192s 或许不敢轻举妄动
2194s 之后
2196s 我们看动物举动
2198s 再相继行事
2209s 照军事说的办
2211s 遵命
2212s 大哥
2213s 紫荆
2231s 我已下了诏命
2234s 任何人不必打扰
2237s 可我也想
2238s 有一个知心的人
2242s 来让我倒到心中的苦水
2244s 主公请讲
2249s 此次合肥大战
2252s 我连败于张廖
2257s 这是我击毁以来
2259s 第一次率兵出征
2262s 本想借此立威的
2263s 却不料
2266s 连众敌军埋伏
2268s 四千多将士阵亡
2270s 还折了太史次将军
2279s 反思赤壁之战
2282s 周瑜仅用五万精兵
2284s 就烧掉了曹操八十三万大军
2287s 势精天下
2288s 气吞山河
2291s 而我身为人主
2292s 脸自立
2298s 还有一件事情
2303s 更为压抑
2310s 刘备连驱长沙四军
2313s 并未搭阵
2315s 不错
2317s 就在我战败之时
2319s 刘备却连连攻城拔寨
2320s 我岂能不分
2322s 自警
2324s 我想下道诏命
2328s 言成己过
2331s 饮罪自责
2332s 不可
2333s 无过亦无罪
2337s 即便是偶尔打了败仗
2339s 也要像打了胜仗一样
2341s 带给部下一志气
2347s 无论是曹操还是刘备
2349s 他们都是熬不过你
2350s 他们都会死在你的前面的
2359s 耐性
2362s 你说的是坚韧和耐性
2364s 正是
2368s 主公
2369s 在下还有一事相比
2372s 讲
2373s 现在
2375s 不仅在主公面前有一座坟
2378s 此时此刻
2379s 在江北
2380s 野心添了一座孤坟
2383s 谁死了
2384s 喝酒去
2402s 主公何出此言呢
2404s 三个月前
2405s 你出使荆州
2407s 就看出刘岐已病务高荒
2410s 命不久矣
2411s 你说长者半年
2414s 短者三个月
2416s 此人必死
2418s 果然
2419s 才刚过三个月
2420s 他就真的死了
2423s 我们现在再去向刘备索要荆州
2426s 看他
2427s 还有何话说
2435s 主公啊
2437s 刘岐固然已死
2440s 但是
2442s 你估计
2444s 这荆州
2445s 咱们要得回来吗
2448s 你的意思是
2451s 他们竟敢备约
2454s 不
2456s 在下的意思是
2458s 如果我们去要荆州
2461s 就要先想好了
2463s 要得回来怎么办
2465s 要不回来又怎么办
