15s 陈鲁迅
899s 据此有二百余力
900s 快
901s 派人飞抵前方敏俊
902s 把华佗请来
904s 遵命
940s 这位就是神医华佗
942s 罔头疾
979s 皆因风寒恶意所致
982s 其病根在脑中
987s 起码
988s 患病有二十五年了
995s 某有一法
996s 只恐
998s 卫王不肯啊
1000s 你
1000s 千叔
1001s 先饮麻肺汤
1004s 然后
1005s 用利刃砍开卫王头颅
1008s 取出风险
1010s 方可除去病根
1015s 拿斧头劈开我的头颅
1019s 你是想杀了我吗
1025s 卫王的病根在头中
1028s 只饮汤药
1030s 已无济于事
1032s 只能开颅救治
1035s 昔日
1035s 关于左臂中毒箭
1038s 是在下
1039s 用利刃割开其臂肉
1042s 刮骨治髓
1043s 方才治愈的
1045s 臂肉可以切除
1047s 头颅怎能加以刀斧
1050s 你定是
1052s 与关羽有交
1055s 想趁治病之际杀我
1058s 来啊
1059s 是
1060s 拿下
1060s 诺
1061s 大王
1062s 我只会救人
1063s 不会害人啊
1067s 遵命
1068s 谋谴人上表
1101s 都说什么了
1103s 劝卫王
1104s 加尊九五
1106s 谨避卫
1108s 孙权
1110s 是越来越
1112s 吴侯在信上说
1117s 他早就知道天命归于卫王
1120s 势不可阻
1121s 俘望卫王早证大魏
1124s 剿灭刘备
1125s 扫平西川
1127s 到那时
1128s 他就携东吴文武士民
1131s 纳土归乡
1134s 到那时
1137s 那时
1138s 是那时啊
1143s 五年
1145s 十年
1151s 我还能活得到
1153s 那时吗
1157s 聪明
1159s 真聪明
1164s 一个行将要死的人
1168s 还当什么皇帝
1171s 卫王
1172s 臣和百官都以为
1174s 卫王
1176s 功改古今
1178s 得备天地
1180s 虽无皇帝之名
1181s 早居皇帝之时
1184s 应该顺天即位
1186s 垂名青史啊
1191s 来啊
1199s 卫王请看
1201s 这是新制的皇冠
1203s 和百官的劝禁表
1264s 都在外面恭候呢
1266s 让他们都退了吧
1285s 我从来都没有想过当皇帝
1292s 汉氏衰微无救
1294s 徒有虚名而已
1296s 卫王功德微微
1298s 生灵养望
1300s 连孙全
1301s 都上表劝禁了
1303s 你以为他是真心的吗
1312s 他用力我
1314s 是想把我搁在
1317s 火上烤啊
1322s 我
1323s 虽有些功德
1327s 但明智王侯
1329s 明觉已及
1335s 苏
1394s 请开府门
1398s 殿下
1399s 请开府门
1400s 吕楚
1422s 殿下
1424s 何事啊
1425s 卫王令殿下即刻入宫
1431s 徐将军
1433s 为何带了这么多假事啊
1438s 这都是为殿下安全着想
1442s 请
1460s 儿臣拜见父王
1468s 在
1470s 把这个
1471s 人不易的东西拖下去
1474s 斩了
1480s 父王
1481s 父王为何要杀儿啊
1483s 你弟弟曹冲是怎么死的
1493s 哪里有什么毒树
1496s 他是被人放毒蛇咬死的
1500s 原来是这样
1503s 父王
1504s 谁
1504s 谁如此狠毒啊
1506s 毒蛇就是你放的
1509s 父王你冤枉我
1514s 父王你冤枉我啊
1515s 我
1515s 冤枉你
1516s 出殡前四天
1522s 我给你们每家罚了五只猫
1524s 罚春期的猫
1529s 可是那些猫
1531s 整夜地叫个不休为什么
1534s 因为他们
1536s 无数可补
1539s 还有
1540s 让你们给冲儿守灵
1546s 死惊天的时候
1549s 曹指和曹章
1551s 都熬不住睡过去了
1553s 唯有你
1555s 心神不灵
1557s 这也不免为何
1560s 你心中有鬼
1562s 你要死了
1572s 就想听一句实话
1595s 儿说过的话
1598s 句句属实
1601s 冲弟
1604s 不是我害的
1614s 你就杀吧
1621s 徐初
1628s 你先去吧
1629s 你不杀我了
1666s 不杀你
1669s 我还要把团给你
1679s 有你这样的主子
1682s 再有司马尼尼尔的谋士
1685s 我们曹氏的大业
1688s 才能延续下去
1689s 让他对手
1710s 永远
1716s 永远牢记
1729s 永远牢记
1743s 你在家是长兄
1746s 在朝是君王
1748s 一定要善待兄弟姐妹
1756s 儿臣
1758s 对天理事
1762s 永远牢记
1763s 父王的祝福
1787s 卫王有旨
1788s 都进来
1826s 纵横天下三十余年
1831s 群雄劫灭
1835s 只有江东孙权
1839s 西蜀刘备未曾角逐
1844s 今姑
1846s 并未
1848s 不能再与亲等共事
1853s 她将家世相托
1859s 姑
1860s 长子曹王
1864s 早年
1866s 不幸莫于晚成
1870s 桓夫人所生曹冲
1874s 聪明过人
1877s 不幸
1879s 姚王
1885s 便是所生四子
1889s 毕
1891s 张
1892s 直
1893s 雄
1896s 姑虽
1898s 甚爱曹植
1902s 但她
1905s 虚华俗礼
1907s 十九放纵
1908s 因此
1909s 不能立
1911s 曹张
1914s 雄儿无谋
1918s 曹雄
1920s 多病
1921s 难保
1924s 唯曹匹
1928s 敦厚
1929s 恭敬
1931s 可继我大业
1934s 亲等
1938s 义父左之
1942s 谨孙
1969s 此生
1970s 杀人甚多
1972s 死后
1975s 你们要
1977s 在得章府五城外
1981s 修
1983s 遗种七十二处
1985s 断不可让世人
1988s 知道故的葬处
1990s 还有
1992s 故这一双门
1994s 愿走则走
1996s 愿改嫁者
1998s 准其改嫁
2000s 死不可怕
2020s 此时凉爽的夏夜
2023s 可供人
2024s 不忧地
2027s 安眠
2032s 世人
2037s 昨日看错我曹操
2041s 今日
2043s 又看错了
2047s 也许明日
2049s 还会看错
2052s 可是我
2054s 仍然是我
2057s 我从来不怕别人
2059s 看错我
2177s 年争运
2179s 曹操带着他未尽的梦想
2182s 走了
2184s 相年六十六岁
2187s 曹操是一位卓越的政治家
2190s 军事家
2191s 文学家
2193s 也是一位非凡的谋略家
2197s 由于他的努力
2198s 为三国之后再次统一
2201s 打下了基础
2206s 父王
2209s 父王
2213s 父王
2219s 主公
2220s 天子驾到
2221s 主公不必接驾
2250s 天子驾到
2252s 臣等都该去接驾呀
2254s 你们可以去
2256s 主公不必去
2260s 昔日天子册封魏王时
2264s 曾下诏免于十二流
2266s 使用天子车扶软椅
2268s 出井入壁
2270s 剑履上殿
2272s 按照此诏
2274s 魏王以天子理智相等
2279s 因此主公不必接驾
2341s 爱卿啊
2345s 魏王毕生功勋卓著
2348s 此一去
2350s 朕痛断肝肠
2353s 陛下有误了
2355s 去的是先王
2361s 先王临终一命
2364s 令世子曹匹继位魏王
2368s 朕
2371s 朕没有下旨啊
2372s 陛下明白
2373s 先王一命
2375s 就是朝廷旨意
2378s 莫非陛下有疑问吗
2381s 没有
2383s 没有
2385s 朕
2388s 朕也觉得极为应当
2390s 先王御驾而去
2393s 陛下应当向先王
2394s 兴叩拜之礼
2395s 才合天下子民之望
2403s 朕是皇帝
2408s 皇帝专程来
2411s 平调大臣
2413s 以示疏礼
2414s 朕怎么还能下跪
2416s 没有先王护佑
2418s 朝廷早已崩溃
2421s 陛下也早不知亡于何方
2424s 陛下素来尊先王如亚父
2427s 如今亚父病天
2429s 后辈难道不该行叩拜之礼
