12s 主公,刘备派人送来一份拜帖。
687s 谨遵陶公所命,
698s 暂领徐州,
700s 待朝廷旨意到达,
703s 再遵旨办理。
705s 何处鸣钟?
707s 声音像是西门顶钟,
773s 城守正在鸣钟报警。
776s 曹军来得好快啊。
778s 报!
779s 禀太太!
780s 吕布率数千铁骑,
781s 正在西门叩关。
783s 是吕布?
788s 刘将军,
789s 你看吕布想攻我徐州城了。
792s 关旗阵势,
810s 不像是攻城。
811s 将军,
812s 吕布拜关!
813s 捉人取来!
815s 公太先生,
830s 如果刘备不让我们进城,
833s 那我们该怎么办?
851s 将军放心吧,
852s 刘备是个仁义之君。
855s 刘备,
858s 现在他最大的敌人是曹操。
861s 要抵抗曹操大军,
863s 尤其需要我们的帮助。
865s 好,
866s 那如果刘备收留了我们,
869s 我们该怎么办呢?
873s 那就更好办了。
877s 官时待变,
878s 乡机行事。
880s 好啊,
882s 吕布被曹操击败后,
884s 无处容身,
901s 现在想来投靠我了。
904s 这司,
905s 还有脸来投靠咱们。
907s 像当初咱哥儿仨揍他的时候,
909s 没砍下他的脑袋,
910s 就算他命大了。
912s 此一时比一时嘛,
914s 别忘了,
915s 后来吕布改邪归正了,
917s 亲手斩杀了国贼董卓,
919s 被汉庭立下了大功。
921s 不愧是当时英雄,
923s 此一劫
924s 也得到了天下人的赞赏。
926s 再说,
927s 吕布是个猛将,
929s 部下八千铁骑,
931s 如果能得到他的帮助,
933s 我们就不怕曹操来犯了。
936s 大哥,
938s 吕布虽勇,
939s 却素无信义,
941s 把他留在身边
942s 等于养虎为患,
944s 当心被他咬伤了。
946s 就是,
947s 二哥说得是,
949s 吕布这司
950s 倒是有一处好,
951s 人长得漂亮,
952s 讨女人喜欢,
953s 其他的一无是处。
956s 吕布,
958s 哥,
959s 你想想看,
960s 吕布一共有多少个爹?
962s 丁远一个,
963s 董卓一个,
964s 王远一个,
965s 再加上他自个儿的亲爹一个,
967s 这前前后后
968s 共有四个爹。
970s 这四个爹
971s 都因吕布而死,
972s 可见
973s 他是个大灾星啊,
975s 谁要是做了他的爹,
977s 可准不得好死啊。
979s 吕布,
980s 吕布,
982s 吕布,
983s 吕布,
984s 吕布,
985s 吕布,
987s 我只想做他的友,
988s 没想做他的爹。
990s 可这回
991s 吕布不甘心
992s 做人家儿子,
993s 他想做人家的爹啊,
995s 他这回来投靠咱们这儿,
998s 我看
999s 就是来图谋徐州来了,
1001s 肯定吗?
1002s 先生,
1027s 我们走吧,
1029s 看来刘备是不会接到我们的,
1033s 再等一等,
1034s 我们都已经等了两个时辰了,
1038s 当初我见董卓,
1040s 都不需要等这么久,
1042s 现在不是当初,
1044s 刘备更不是董卓,
1048s 咱们平心静气地想一想,
1050s 前段日子,
1052s 如果没有吕布
1053s 偷袭曹操的根据地衍州,
1056s 曹操岂能退兵,
1058s 徐州岂有今日之平安,
1061s 现在,
1062s 吕布仕穷来投我,
1065s 如果聚而不纳,
1066s 成何道理,
1068s 再说,
1069s 我等,
1070s 如想匡扶汉室,
1072s 成就大业,
1073s 就必须结交各路英雄,
1075s 眼下,
1076s 我们的大敌是曹操,
1078s 吕布的大敌也是曹操,
1080s 我们两家,
1082s 只有和军聚曹,
1084s 方能胜算在握,
1086s 曹操不是有句名言吗,
1088s 叫宁肯我负天下人,
1094s 休叫天下人负我,
1096s 我也有句名言,
1100s 宁肯天下人负我,
1105s 我不负天下人,
1107s 诸公明鉴,
1110s 开城相迎,
1116s 诺,
1117s 格格要见死来见,
1119s 我不见就死,
1120s 先生你看,
1136s 刘备他亲自出城相迎,
1138s 记住,
1140s 见面的时候,
1141s 对刘备一定要十分恭敬,
1144s 知道了,
1149s 拜军之将吕布,
1156s 拜见徐州刺史刘玄德,
1159s 刘备俏望已久,
1161s 终于把奉献和攻台盼望来了,
1164s 今日之会令人无限欢喜,
1167s 快随我进城,
1169s 来,请,
1172s 刘备,
1178s 你可知道,
1180s 天底下哪家骑兵是最厉害的,
1183s 不知道,
1184s 请将军赐教,
1186s 是我吕布统帅的八千铁骑呀,
1189s 那你可知道,
1191s 那八千铁骑当中,
1194s 最勇猛善战的是谁吗,
1196s 这个我知道,
1197s 是吕布,
1201s 正是,
1202s 正是,
1203s 我有赤兔马,
1205s 可日行千里,
1207s 有方天化际,
1208s 能破金断石,
1210s 你可知道,
1212s 世人是怎么称赞我的吗,
1215s 人中吕布,
1216s 马中赤兔,
1218s 正是,
1220s 正是,
1221s 来,
1222s 奉献,
1223s 奉献,
1224s 你喝醉了,
1225s 我们还是早点歇息吧,
1226s 不醉不醉,
1228s 酒风知己,
1229s 千杯少,
1230s 来,
1231s 斟酒,
1232s 斟酒,
1233s 刘备,
1234s 只要你我联手,
1237s 自然是,
1238s 大业有成,
1240s 你呢,
1241s 只要坐守成官,
1243s 每日,
1245s 喝酒,
1246s 吃茶,
1247s 听歌赏月就够了,
1249s 剩下的事情呢,
1251s 交给我,
1252s 我呢,
1253s 率领八千铁骑,
1255s 征战四方,
1256s 为你打天下,
1258s 等天下打下来,
1260s 你我一人一半,
1262s 你看可好?
1265s 奉献将军,
1267s 你既然如此英雄,
1269s 为何在眼州城下,
1271s 败于曹操呢?
1273s 不是我败于曹操,
1275s 是曹操败于我!
1277s 行了,
1278s 不提了不提了,
1280s 你知道,
1281s 星洋大战中,
1283s 我是怎么痛击曹操的吗?
1286s 不知道,
1288s 请将军赐教,
1291s 奉献哪,
1292s 来来来,
1293s 咱们多敬敬神德兄,
1295s 哪一日,
1296s 天昏地暗,
1301s 日月无光,
1304s 我单骑冲入敌阵当中,
1306s 看见一个穿红袍的家伙,
1308s 正在逃命,
1310s 我直击朝他头盔上,
1312s 我直击朝他头盔上一击,
1314s 大鹤,
1315s 曹操何在?
1320s 他回答我说,
1323s 前面骑黄马的便是,
1326s 我赶紧追上骑黄马的家伙,
1328s 一击把他刺翻,
1330s 你看,
1334s 这是一个小小的小鬼,
1339s 后来我才知道,
1341s 刚才在我几下的家伙,
1343s 竟然就是该死的曹操,
1349s 我一时大意,
1350s 竟然让他在我几下逃生了,
1355s 你说,
1356s 曹贼,
1359s 他奸是不奸,
1360s 奸,
1362s 竟然,
1364s 都把奉先将军给蒙骗了,
1367s 他们虽奸,
1369s 却有雄才大略,
1371s 人言,
1372s 治世之能臣,
1374s 乱世之奸雄,
1376s 奸贼与奸雄,
1377s 虽只差一字,
1379s 却有天地玄书啊,
1381s 只要有我吕布在,
1384s 不管他是奸贼还是奸雄,
1388s 都是待死鼠辈,
1390s 柳辈,
1394s 咱俩约定,
1396s 我打天下,
1398s 你,
1399s 坐数徐州,
1403s 你只需按月供我两想即可,
1407s 好,
1411s 我这个徐州刺史,
1414s 只是暂时带领而已,
1416s 天子并没有下旨,
1418s 各镇诸侯也未必心服,
1420s 奉先兄兵强马壮,
1422s 英勇盖世,
1424s 又加上天子钦封奋威将军,
1428s 授忠义侯,
1429s 一统三司,
1431s 我刘辈,
1432s 却什么封号都没有,
1433s 实在是不配体领着徐州啊,
1437s 难道,
1439s 你不想要徐州啊?
1450s 请奉先将军,
1451s 收下此印,
1452s 领徐州刺史,
1455s 奉先,
1456s 奉先,
1457s 刘将军,
1460s 我们兵败相投,
1462s 能得刘将军荣流,
1464s 已经是感激不尽,
1465s 岂能有非分之想,
1467s 请将军万万不要生疑啊,
1470s 是,
1475s 强兵不压主,
1477s 在下,
1478s 只想为玄德效劳,
1480s 共聚操操,
1482s 保徐州太平,
1483s 奉先,
1484s 公台,
1485s 你们二位,
1487s 以为我在做态势吧,
1490s 非夜,
1492s 我是真心愿让徐州,
1495s 因为,
1496s 一者吕布名震天下,
1498s 兵强马壮,
1499s 二者,
1500s 得公台兄相助,
1501s 和仇大业不成,
1503s 三者,
1504s 曹操不怕我刘备,
1506s 却惧怕吕布,
1508s 所以,
1509s 只有将徐州交由你们,
1511s 才可得保太平,
1514s 玄德兄,
1515s 你如此说来,
1516s 真是在撵我们走啊,
1518s 绝非此意,
1519s 绝非此意,
1521s 奉先哪,
1523s 我们还是快快离开徐州,
1525s 别逃他处吧,
1527s 以免,
1528s 玄德兄生疑啊,
1530s 且慢,
1531s 这样,
1532s 二位暂且歇下,
1534s 此事我们从长计议,
1535s 可好?
1539s 多谢,
1540s 奉先哪,
1555s 奉先哪,
1556s 你听我说,
1558s 刚才在酒宴上,
1559s 你真是太情帅了,
1561s 刘备那是做事要让徐州,
1563s 你怎么能去接他的官房呢?
1566s 是他要给,
1568s 又不是我要躲他的,
1570s 他那是试探我们,
1573s 刘备根本不是真心诚意,
1575s 就算他真心诚意要让徐州,
1577s 他两个兄弟关于张飞,
1579s 难道会答应吗?
1581s 行行行,
1583s 那刘备的真意到底是什么呢?
1586s 刘备的真意嘛,
1588s 是想施加恩典于你,
1591s 将你引为己用,
1594s 共聚曹操,
1598s 那不一样嘛,
1600s 我也正想跟他共聚曹操,
1602s 当然不一样了,
1604s 你想一想,
1605s 他的想法是以他为主,
1607s 用你为将,
1608s 你的想法是以你为主,
1610s 用他为仆,
1612s 你甚至想取而代之,
1614s 做徐州刺史,
1615s 这能一样吗?
1626s 那我该怎么做?
1627s 看来刘备是真心要用我们,
1632s 也好,
1634s 那我们就投其所好,
1635s 趁热打铁,
1638s 可以结拜为异性兄弟,
1640s 把关系搞好,
1642s 至于以后嘛,
1643s 看情况,
1644s 再定进退,
1650s 明白了,
1651s 你照我的,
1666s 数月来,
1667s 我劳师远征,
1672s 在衍州和徐州两地,
1675s 浴血苦战,
1677s 花费了几十万的粮饷,
1679s 却连半寸土地都没有得到,
1682s 可这个刘备,
1684s 不费吹灰之力,
1689s 坐收徐州六郡,
1692s 由此可见,
1694s 这个人是,
1695s 忠厚其表,
1697s 奸恶其心,
1699s 在下早就说过,
1702s 刘备表面上看像个人与君子,
1705s 但他大之若鱼,
1706s 大北四中,
1707s 厉害啊,
1708s 主公,
1709s 绝不能小事,
1710s 我从来都没有小看过他,
1714s 倒是他,
1715s 在内心里小看我,
1718s 主公想怎么办,
1722s 我找你来,
1726s 就是想跟你商量,
1728s 我想等,
1729s 粮草备齐之后,
1732s 就攻打刘备,
1733s 夺回徐州,
1735s 不妥,
1736s 有何不妥,
1738s 徐州,
1739s 徐州,
1740s 来夺取中原之要地,
1743s 我们豫城大业,
1745s 必须得占领徐州,
1747s 主公三思,
1749s 徐州和以前不同了,
1751s 现在刘备与吕不联手,
1755s 徐州城是更加强大,
1758s 如果主公率军急攻,
1760s 势必会逼得两人生死同心,
1762s 合力抵抗,
1764s 相反,
1765s 主公要是能够容忍一下,
1767s 徐州城肯定是一山难容二虎,
1771s 吕布和刘备这两个人,
1773s 一个是贪耳好女,
1775s 一个是虚伪自士,
1777s 早晚会争起来,
1779s 到那个时候,
1780s 主公再踢兵取徐州,
1782s 岂不是更加,
1784s 言之有理,
1796s 急攻,
1798s 则,
1800s 同心相聚,
1803s 宽忍,
1804s 则,
1805s 必胜分裂,
1807s 徐御,
1808s 你想得深远,
1810s 我不如你,
1812s 主公,
1813s 只是一时脑怒罢,
1815s 如果主公心平气和,
1817s 静起心来,
1819s 片刻就能看出这里的要害,
1822s 这话说得倒是,
1824s 以后,
1825s 如果我再脑怒过头,
1827s 你马上骂我,
1828s 把我骂醒,
1829s 在下断了,
1831s 我命令你骂,
1832s 留我们在徐州小住,
1834s 日日宴请,
1865s 百般关照,
1867s 奉献将军和本人啊,
1869s 都是,
1870s 又感动又不安哪,
1872s 龚太兄这话,
1874s 倒让我不安了,
1876s 徐州就是你们的家,
1878s 你们若能长居于此,
1880s 非但,
1881s 刘备之幸,
1882s 而是徐州全城军民之幸,
1885s 谢谢谢谢,
1887s 奉献将军,
1888s 确实,
1889s 感恩不尽,
1891s 今天特设嘉宴,
1892s 请刘公光临哪,
1895s 奉献把嘉卷都带来了,
1898s 贤弟,
1899s 来来来,
1900s 快来,
1901s 于兄恭候多时了,
1903s 宣德兄慢用,
1904s 好,
1907s 贤弟,
1908s 于兄现在是,
1909s 一日不见,
1910s 如隔三秋,
1911s 今日我们要痛饮三百杯,
1913s 好,
1914s 就是你嫂子,
1916s 雕柴,
1917s 嫂夫人,
1928s 美名天下,
1929s 刘备拜见,
1932s 平妾不敢,
1933s 刘将军,
1934s 才是人中龙凤,
1937s 贤弟,
1938s 于兄是,
1939s 略备薄拙,
1940s 为答谢你,
1944s 代我之厚恩,
1945s 多谢,
1947s 雕柴,
1948s 唱几出你拿手的曲子,
1950s 为刘贤弟助兴吧,
1952s 贤妾遵命,
1955s 多谢,
1957s 来,
1958s 贤弟请,
1959s 刘将军,
1960s 请刘将军,
1961s 来,
1962s 贤弟请,
1980s 贤弟,
1981s 请,
2029s 贤弟,
2030s 喝酒,
2031s 这什么家宴,
2079s 把咱大哥也叫起来,
2084s 倒是喝喝酒嘛,
2087s 试宴的是谁嘛,
2088s 谁啊,
2089s 雕柴,
2093s 就是吕布抢来的那个女人,
2095s 听说此女美艳无双,
2097s 男人碰到她呀,
2098s 都会鼓吐神秘,
2101s 这吕布叫她试宴,
2103s 这是给大哥摆的什么阵,
2105s 大哥熔马半生,
2107s 心肠又软,
2108s 这不,
2109s 好啊,
2110s 吕布这丝,
2111s 用自家家门勾引咱哥,
2113s 这还得了啊,
2115s 咱得想个办法,
2116s 把大哥弄回来,
2117s 别中了吕布的圈套,
2119s 想个什么办法,
2120s 我一天跳了天就是,
2122s 三弟,
2123s 不可莽撞,
2124s 将军请,
2136s 多谢嫂夫人,
2138s 玄德,
2141s 今天起咱们就是自家兄弟了,
2144s 生死同舟,
2145s 荣辱与共,
2147s 来来来,
2148s 喝酒,
2150s 我哥哥金枝玉叶,
2157s 你这丝竟敢叫他做贤弟,
2159s 你是什么东西啊,
2161s 三姓家奴,
2162s 大灾星,
2163s 临元董卓王云,
2164s 都是被你这家奴害死的,
2167s 你现在又舔着脸,
2168s 来拔救我哥不成,
2169s 羞死来了,
2173s 三弟,
2174s 快快出口,
2175s 吕布你听着,
2176s 张爷爷把你的小姐带来了,
2179s 赶快拿上你的兵器,
2180s 过来跟张爷爷大战三百回合,
2182s 快快退下,
2185s 吕布,
2186s 你听着啊,
2187s 爷爷在关前等着你,
2189s 将军不要,
2194s 奉贤兄,
2197s 嫂夫人,
2198s 真是对不住,
2199s 我三弟是个粗人,
2200s 不知礼法,
2201s 我替他向你们赔罪,
2203s 得罪,
2204s 得罪,
2208s 将军其实不必在意的,
2210s 我们都知道,
2211s 这刘光章三兄弟,
2213s 是天下的大英雄,
2216s 玄子你别说了,
2218s 我吕布再傻也明白事理,
2221s 徐州我是不能留了,
2223s 我今天就走,
2225s 奉贤兄想哪里去了?
2227s 大战斧,
2228s 四海为家,
2229s 我兵方天化及赤兔马,
2232s 何处没容身之地,
2241s 可否这样,
2242s 徐州城外五十里处有边城小配,
2246s 那也是我先前驻兵之处,
2248s 奉贤可率军暂时驻扎小配,
2251s 粮草军饷具有徐州共济,
2254s 可否?
2258s 我看可以啊,
2260s 这样,
2262s 小配和徐州城曾计较之事,
2265s 一旦有警,
2266s 咱们两军可以互相应援,
2269s 奉贤哪,
2270s 快,
2271s 谢过玄德,
2281s 请如此,
2282s 拜谢玄德了,
2285s 不谢,
2288s 在下这就领命,
2289s 前往小配,
2290s 我竟然入到这个地步,
2312s 竟然看门守关,
2314s 当年韩信友,
2315s 跨夏之日,
2316s 张良有十里之修,
2319s 将军和他们相比,
2321s 修与辱还差得远,
2323s 卫羽博倒是要多得多了,
2325s 咱们下一步,
2328s 该怎么做?
2329s 暂驻小配,
2333s 招兵买马,
2334s 官时待变,
2336s 这灾情糟了,
2344s 咱们少了个大麻烦啊,
2346s 麻烦事在后面哪,
2348s 曹操战败吕布已有半日,
2352s 按理早就该向徐州用兵了,
2355s 可是到现在,
2357s 远州方向已是没有任何动作,
2360s 不知在谋划什么,
2362s 怕什么,
2363s 徐州城是座监城,
2365s 粮饷充足,
2366s 曹操赶来犯,
2368s 我必迎头通缉,
2370s 就是就是,
2371s 这多日不打仗,
2372s 这手都痒痒了,
2374s 这整天除了喝酒,
2376s 也没有别的事情做,
2377s 难过得紧的,
2381s 这曹操要是再不来,
2383s 干脆我们打到远州去找他算了,
2388s 在下遵命,
2396s 禀主公,
2397s 董城从长安派来一密使,
2399s 秘密传达天子诏书,
2403s 人呢?
2405s 那许臣啊,
2406s 饿的只剩下一把锅头了,
2409s 刚刚进门就昏过去了,
2411s 我派人把他送到后院喝粥去了,
2413s 究竟发生什么事?
2458s 让末将也知道一点吧,
