5s 只有天子才能册封王位啊。
2149s 无不惧过魏王。
2157s 朕愿以奉天命,
2164s 顺民心,
2166s 效法先贤遥典,
2169s 臣安慰于魏王。
2173s 禀陛下,
2178s 臣德行薄浅,
2181s 岂敢见居九五之尊?
2184s 请陛下令求大贤,
2186s 以似天位,
2188s 臣只当尽忠孝命,
2190s 别无他求。
2204s 朕以在下善国之兆,
2209s 魏王仍然不接。
2213s 朕如此奈何?
2217s 陛下,
2219s 天子善让受善者,
2222s 应当一词再词三词,
2225s 为之圣德呀。
2228s 陛下难道不明白吗?
2230s 你想要朕怎样?
2233s 请陛下再受第三诏,
2236s 亦见天子之诚啊。
2239s 天哪!
2245s 杀朕两次,还要杀朕第三次吗?
2248s 他们没有为难你吧?
2276s 陛下,陛下!
2300s 人食草肉,
2333s 我从之见吗?
2334s 你为让给他,陛下,
2345s 臣妾愿以终生陪朕,
2349s 生死不离。
2379s 司马仪叩见吾皇。
2381s 司马仪,
2393s 很久都没有人向朕叩首了,
2399s 你又何必多此一举呢?
2401s 臣世代为汉臣,
2404s 只要陛下一日为天子,
2406s 臣就恭守一日君臣之道。
2410s 真是难得啊,
2414s 还有人记得君臣之道。
2418s 平身吧。
2423s 谢陛下。
2427s 这么晚了,你来做甚?
2432s 华新大人,
2434s 奉陛下旨意,
2436s 也令人在城外住起受善高谈。
2439s 这没有下旨啊?
2443s 那一定是陛下记错了,
2446s 华新大人不会错,
2448s 是吗陛下?
