12s 我成就大业的时机到了。
1313s 恩天!
1353s 丞相,
1354s 此意啊,
1367s 霍军斩首八万余级,
1369s 交霍军械资助无数啊。
1372s 袁绍,
1373s 袁绍已经退回关渡大营,
1376s 挖沟助寨,
1377s 归缩着再也不敢接战了。
1380s 我们折损了多少将士?
1383s 生余两万,
1387s 盟约七千多。
1390s 真是大获全胜,
1395s 是我起兵以来从未有过的大胜。
1402s 丞相,
1403s 将士们都乐疯了,
1405s 说照这样打下去啊,
1407s 卓妍就可以打进冀州了。
1409s 如果帝军突然此时来袭你怎么办?
1412s 什么?
1413s 袁绍要来袭击?
1416s 我是说如果,
1418s 你瞅瞅他们明顶大罪的样子,
1424s 如果袁绍此时来袭我们必然大败。
1429s 虽然帝军没有来,
1435s 但是身为中军主将,
1437s 就要设想他们前来偷袭。
1441s 知道了,
1444s 我立刻加强步防。
1446s 我们虽然大胜袁绍,
1452s 但是敌强我弱的基本态势没有改变。
1457s 袁绍手里还有四五十万人马,
1461s 青州,
1462s 幽州,
1463s 宾州,
1465s 还会继续供给他粮饷兵马。
1468s 如果袁绍支持而后勇,
1473s 后头的仗就更难打。
1477s 还有,
1481s 我们的粮草不多了。
1489s 丞相,
1490s 刚才在庆功宴上,
1492s 你说我们还有百日之粮啊?
1495s 我骗你们的,
1498s 实际上只有十日之粮。
1501s 那么,
1508s 末将建议丞相班师,
1510s 我军是功成凯旋,
1513s 袁军是败而心乱,
1515s 袁绍见我等退兵,
1517s 必然是恶手成亲,
1519s 断然不敢追杀呀。
1521s 我何尝不想退军,
1525s 你着实可惜。
1529s 终于不在我身边啊,
1539s 他若在,
1541s 定能帮我一决进退。
1544s 公子,
1549s 丞相在此信中问我进退,
1552s 丞相在信中言,
1561s 军中粮草殆尽,
1563s 难以久战,
1565s 如果袁绍得知我军粮草不济,
1568s 会坚守不战,
1570s 我军早晚要陷入被冻之。
1573s 丞相还说,
1577s 现在退军甚为可惜,
1580s 等于是主动放弃了大好局面,
1583s 给袁绍以喘息之计。
1585s 新先生,
1590s 父亲在信里面,
1592s 把进退立毙,
1594s 样样都说到了,
1596s 那咱们是应该进呢,
1598s 还是应该退啊?
1600s 公子问得好,
1602s 那我问你,
1606s 丞相是什么意思?
1608s 我告诉你,
1620s 其实丞相,
1622s 早有意退军,
1624s 只不过他不愿意直说,
1626s 其意,
1627s 是想让我劝他退军,
1629s 这样一来,
1630s 他就可以和前方的将军讲,
1632s 军中粮草殆尽,
1634s 寻衣力劝班师,
1636s 我不得已而从之。
1638s 这太聪明了。
1649s 丞相的聪明,
1651s 不是天下第一,
1653s 也是天下第二。
1655s 那这天下第一是谁啊?
1662s 虚伪以待吧。
1672s 父亲既然希望你劝他退军,
1677s 那你打算怎么劝呢?
1680s 我非但不劝丞相退军,
1686s 丞相万万不可撤军,
1699s 袁绍虽大败,
1701s 但他仍然拥有四周富裕之地,
1704s 万千田牧不但能够生产出无尽的粮食,
1707s 也能生长出无尽的兵马,
1709s 时间立袁绍,
1711s 不立丞相,
1712s 但战局立丞相,
1714s 不离袁绍。
1715s 丞相应抓住战机,
1717s 成胜再战。
1718s 在下以为,
1719s 此时此刻最可怕的不是粮草殆尽,
1722s 乃是丞相的心病。
1725s 丞相初战大杰,
1727s 反而顾虑重重,
1729s 欲胜俱败,
1731s 欲尽俱错。
1733s 没有这等臣子,
1742s 何愁袁士不灭?
1744s 丞相,
1748s 是否班师啊?
1750s 敢言班师者,
1752s 斩!
1754s 传令三军,
1756s 备好兵器军械,
1758s 准备再战。
1760s 遵命!
1762s 丞相,
1763s 那粮草怎么办?
1765s 徐州屯有数万粮草,
1767s 立刻派飞机前往徐州,
1769s 调运粮草。
1771s 遵命!
1772s 军师,
1784s 在下仔细看过了,
1789s 曹军布下三重防卫。
1790s 第一重是护卫营,
1792s 驻扎在大营数里之外,
1794s 分布于东南西北四角。
1797s 第二重是巡计,
1799s 每隔一个时辰,
1800s 便有一校卫带百计巡防。
1803s 这第三重,
1805s 才是哨位。
1806s 军师快看,
1814s 那边出了一个单计。
1816s 这肯定是,
1823s 曹营派出求救的信石,
1825s 派快马火速追上,
1827s 将其吃饭。
1829s 诺!
1835s 有封信!
1863s 不出我的所料。
1899s 这回,
1901s 曹阿满,
1903s 你的死期到了。
1906s 主公,
1912s 冀州幽州的援兵,
1914s 今天已经陆续到达。
1916s 青州的十万粮草,
1918s 估计明天也可运到。
1920s 这样算来,
1921s 我军有马军八万,
1923s 步军二十五万,
1925s 水军十万,
1927s 总计不下四十三万。
1929s 另外,
1930s 粮草足可支应百日。
1933s 我军虽然损失了一部分,
1939s 但亦然是兵广粮多。
1942s 传令,
1945s 三军十日内休整,
1947s 之后如何灭草?
1952s 有一件小事,
1956s 望主公听了,
1958s 不要动怒。
1959s 说,
1960s 叶军太守密报,
1962s 该军本该拨付五万粮草的,
1965s 但由于许幽之子坚守自盗,
1968s 贪污了三万多,
1970s 因而耽误了此次粮草。
1974s 这难道还是小事吗?
1977s 大敌当前,
1979s 粮草性命攸关,
1981s 许子贪污之事,
1987s 许幽知不知情?
1989s 其子在牢中招供说,
1992s 许幽略知一二,
1994s 因为那三万多粮饷,
1996s 就是为其父母修府邸的。
1999s 我父母,
2000s 这是咱且前各想,
2010s 等战事过后,
2012s 我要严查重办。
2015s 主公啊,主公!
2021s 主公,
2022s 那草贼败相已现,
2024s 我们是胜机在望了。
2033s 郭徒也在。
2035s 草草,
2036s 如何败相已现了?
2039s 回主公,
2040s 今夜初更时分,
2042s 在下亲率部族,
2044s 到那曹军大寨探营,
2047s 但见他不防严密,
2050s 竟然没有一丝携带。
2053s 既然如此,
2055s 败相何来?
2057s 主公,
2058s 你别急嘛,
2059s 且听我说,
2060s 当我正欲拨马归营时,
2063s 忽然看见那曹营
2065s 远门处冲出一计,
2067s 竟直奔着徐州方向而去,
2070s 而是……
2071s 知道了,
2072s 那必定是信使。
2076s 信使?
2083s 敢问郭徒大人,
2085s 这个信使深夜出营,
2087s 又有何干呢?
2091s 主公,
2092s 当下我们正与曹军对垒,
2096s 他们大胜之后却避垒森严,
2098s 这天到这般时候,
2100s 放出单人毒计,
2102s 其中一定有诈,
2103s 于是在下急令快马,
2105s 豁速追上,
2106s 用乱剑将其射翻,
2107s 然后从他的腰间,
2110s 搜出了曹操的军令。
2113s 主公,
2114s 那曹操,
2130s 分明是粮草已尽,
2133s 兵器缺乏,
2135s 他已经难以支撑了,
2137s 所以,
2138s 这才急令徐州,
2140s 发运粮草兵器,
2142s 以解他的关堵之位。
2144s 完了军令之后,
2146s 方才明白,
2153s 那曹操不防严密,
2156s 没有一丝懈怠,
2157s 全是做给我们看的。
2159s 那曹操是,
2160s 那曹孟德此刻最害怕的,
2166s 就是我们对他的攻袭。
2169s 徐庸,
2170s 你有何打算?
2172s 主公,
2173s 你应该抓住这个绝好的战机,
2176s 四十万大军,
2177s 清朝而出,
2179s 兵分两路,
2180s 一路,
2181s 以十万人马,
2182s 仰攻他在关渡的千里大营,
2184s 另一路,
2185s 击三十万精锐,
2187s 连夜奔袭他的老巢徐昌。
2189s 主公,
2190s 我们的这两路人马,
2192s 无论哪一路能够成功,
2194s 那曹贼必败亡,
2197s 而我需要几乎可以断言,
2200s 我们的这两路人马,
2202s 都会成功。
2206s 这,
2210s 必是曹贼的奸计,
2212s 岂能瞒得过主公啊。
2214s 国徒,
2216s 你怎么能说这是奸计呢?
2218s 那曹操分明是,
2219s 形同雷卵了。
2221s 曹操,
2222s 故意在你的眼皮下,
2224s 放出一个信使,
2225s 好让你截得军令,
2227s 诱骗我军,
2228s 去夜袭曹营。
2230s 而曹操,
2231s 早在那里张网设伏,
2234s 等着我们去送死呢。
2237s 主公,
2238s 那曹贼分明是粮曹已尽,
2241s 兵器缺乏,
2243s 这可是我们剿灭他,
2245s 最好的战机了。
2246s 主公,
2247s 如果是让那曹操得到补充,
2249s 无疑是做失良机,
2251s 甚或是,
2252s 主公,
2253s 这道军令,
2254s 万万不可相信。
2256s 主公难道忘了,
2258s 就在几日前,
2259s 曹操还拿天子作为诱饵,
2261s 乍眼启合,
2262s 连堂堂天子,
2264s 都能被曹操用来做诱饵,
2267s 何况一道军令。
2269s 是啊,
2271s 我又险些中了曹贼的奸计,
2277s 需要,
2279s 今后再有线册,
2282s 定要三思。
2284s 曹操这道军令,
2286s 是否是诡计,
2299s 但令在下着实没有想到,
2305s 那曹操给人诡计多端的印象,
2309s 居然比他本人的诡计,
2311s 还要可怕。
2313s 此话何意?
2315s 因为在你郭徒眼里,
2317s 那曹营处处都是陷阱,
2322s 那曹操事事都诡计多端。
2325s 由此可见,
2327s 世人已经被那个曹操,
2329s 给吓怕了。
2331s 其实那个曹操,
2333s 那么强大,
2334s 可正是在,
2335s 你们这些人心目中,
2336s 对他的恐惧,
2341s 助长了那个曹操的强大呀。
2344s 徐幽,
2346s 你放肆了。
2348s 主公,
2349s 主公,
2350s 恕罪。
2351s 主公,
2359s 在下偶尔放肆一下,
2362s 要远比那曹孟德,
2364s 放肆一生,
2365s 要强啊。
2369s 主公,
2370s 天封已在狱中附件。
2372s 他死了,
2378s 死了。
2379s 天封,
2385s 可有一言?
2389s 天别家临死前,
2391s 为主公留下一封书信。
2393s 我心乱如麻,
2395s 还是你念吧。
2408s 主公啊,
2410s 当在下的死讯,
2417s 到主公的面前,
2419s 主公一定会后悔的。
2421s 因为在下,
2422s 虽然是才傲上,
2424s 但在下罪不至死。
2426s 主令在下,
2428s 一定有小人尽缠。
2430s 这个小人,
2431s 就是貌似忠诚的许幽。
2438s 许幽跟曹操是少年密友,
2440s 同窗发小。
2442s 他们藕断丝连红雁传书。
2445s 如果主公胜了曹操,
2448s 许幽会结成尽忠主公。
2451s 如果主公败于曹操,
2453s 许幽会背主投敌。
2457s 这,
2458s 想不到。
2467s 这个天封在临死之前,
2473s 还要在我的心窝子上,
2475s 捅上一刀啊。
2478s 许幽,
2480s 你是否与那曹操
2482s 是发小?
2484s 是,
2485s 禀主公。
2487s 许幽的老家和那曹操的老家
2489s 相距不过二年。
2491s 少时,
2492s 我也曾与那曹操同窗共渡。
2495s 但是,
2497s 自从我临死前,
2499s 自从我许幽决意
2501s 跟随主公以来,
2502s 我就与那曹贼
2504s 生不两立,
2505s 死不相容。
2507s 你有没有和曹操互通红雁,
2512s 藕断丝连?
2514s 没有没有没有,
2515s 主公,
2516s 万万没有。
2517s 这一定是那天封对我的诬陷啊。
2519s 主公,
2520s 这常言道,
2522s 人之将死,其言也哀。
2525s 那这天封在临死之前
2527s 对我的诬陷,
2529s 一定是革命。
2536s 许幽,
2537s 你律尽禅言害死巅峰。
2540s 你这个头现在是寄存在你这儿。
2545s 等我灭了曹贼,
2547s 我再明察言办。
2549s 庸主,
2570s 天封之后。
2584s 主公,
2613s 外面有一位来客,
2614s 自称是主公咎由许幽,
2616s 请求拜见主公。
2617s 许幽?
