15s 请禀告丞相,关羽求见。
1159s 听说他是连斩元盛的上将,
1161s 颜良文丑,连个大气都不喘啊。
1164s 关羽勇虽勇,但他只有一人一计。
1168s 我们有五百甲士,何惧之有?
1170s 遵命。
1195s 空修,你虽奸诈,
1199s 我却不想杀你。
1201s 二当速速放我过关便是。
1204s 你不杀我,我却要杀你建功。
1206s 杀!
1207s 杀!
1222s 我杀空修时不得已与儿等无关。
1227s 速速通报丞相,
1228s 叫他赶紧下令通知各官,不要再为难于我。
1233s 听到了吗?
1235s 遵命。
1237s 这,这,这。
1238s 平太守,关羽杀了东陵关空将军,
1254s 真往洛阳赶来。
1256s 关羽为何过关,为何斩甲?
1259s 关羽要去河北投奔元盛,
1260s 可空将军不许,
1262s 叫战中杀死空将军。
1264s 请太守亲杀关羽,为空将军报仇。
1267s 他可有丞相文书?
1269s 没有。
1275s 那么丞相会追究我们的罪过的。
1277s 太守,
1278s 关羽那把青龙雁月刀能斩金德御,
1281s 死人在三天之内就杀了两名大将,
1283s 永不可挡啊。
1286s 你聚战了?
1287s 不,
1288s 末将的意思是,
1289s 我不可与他为敌,
1290s 先设下埋伏,
1292s 不下强攻硬舞,
1293s 因关羽进入伏击,
1295s 再轻杀他。
1297s 好,
1298s 即刻准备。
1299s 诺,
1315s 快下马投降。
1317s 我已杀了东宁关孔秀,
1319s 我不想再杀你了。
1321s 关羽,
1322s 在下无意平平,
1323s 自知斗不过你。
1324s 不过,
1325s 在下以命护关,
1326s 绝不容你冲过。
1328s 好吧,
1329s 好汉,
1331s 你过来,
1332s 我让你三招。
1333s 再来,
1336s 可就是第四项了。
1342s 那就如何?
1344s 我不想杀你。
1349s 待我换过兵器再战。
1354s 关羽来啦!
1355s 将军,
1356s 小心伏兵啊。
1362s 有伏兵我也不惧。
1364s 我已设下重重埋伏,
1366s 你赶快下马受降吧。
1393s 不想杀你们,
1394s 快快开关。
1419s 快跟上将军,
1421s 快,
1426s 二位夫人,
1435s 二位夫人已经歇息了。
1462s 二位嫂夫人有何吩咐?
1467s 夫人们有些担心,
1470s 他们说,
1471s 如此一关一关地杀下去,
1473s 叔叔的身体怎么吃得消啊?
1476s 将军,
1478s 此处离冀州还有五百多里,
1480s 沿途有十几道关外,
1482s 我看,
1483s 不如在此休息几日,
1485s 等曹操的过关文书已下来,
1487s 咱们再行上路。
1489s 我担心,
1491s 迟则生变,
1493s 万一曹操后悔,
1495s 不但不给我们过关文书,
1497s 反而派精兵强将前来追杀,
1500s 那二位嫂夫人,
1502s 岂不危险?
1504s 不如我们就,
1506s 抢关夺道。
1509s 下一关是哪里?
1511s 下一关是四水关,
1513s 守将名叫便喜,
1515s 善使刘兴垂,
1516s 守关将士大约有八百吧。
1518s 也早点歇着吧,
1521s 天明其星。
1523s 来将可是汉寿天后关将军吗?
1555s 正是。
1557s 四水关守将,便喜,
1563s 见过关将军。
1565s 关某,
1566s 匆匆赶路,
1568s 未能取得曹丞相的过关文书。
1570s 这个末将知道。
1572s 东陵关守将孔秀,
1574s 洛阳关守将韩芙,
1576s 也曾与我有些纠葛。
1578s 这些在下都知道,
1580s 其只是纠葛,
1581s 他们早被将军斩杀了。
1584s 那你为何开关相迎?
1586s 关将军忠义无双,
1588s 明震天下,
1589s 在下早就仰慕不已。
1591s 再者,
1592s 我原本是吕布部将,
1594s 顺操之后,
1595s 非但不得重用,
1596s 反而饱受排挤。
1597s 在下早就想弃关而去了。
1600s 请受关某一拜。
1605s 关将军,
1606s 请。
1607s 多谢。
1608s 将军,
1610s 过了那座山,
1637s 就到了华州。
1640s 华州往北三十里,
1641s 华州往北三十里,
1642s 就是借守渡口。
1643s 将军,
1644s 百船过渡后,
1645s 就进入袁绍的河北境地了。
1647s 那就多谢将军了。
1651s 就此告辞了。
1653s 关将军,
1654s 你看,
1655s 那座寺庙叫做郑国寺。
1656s 主持是一位德道高僧,
1658s 发名为普晋。
1660s 他就问将军的威名,
1661s 想借此一会。
1663s 无心打扰,
1668s 心有不安的,
1670s 我们还是赶紧赶路吧。
1672s 将军,
1673s 再有两个时辰,
1674s 太阳就要下山了。
1675s 今天你们无论如何
1676s 也赶不到华州。
1678s 何不在郑国寺歇息一夜?
1680s 既是将军不累,
1682s 车驾来的嫂夫人
1684s 也该累了。
1685s 当然,
1686s 一切听便关将军的意思。
1688s 急匆匆行进数百里,
1691s 山路跌坡。
1693s 二位嫂夫人
1694s 早已疲惫不已。
1695s 那就在寺内安歇一晚吧。
1701s 禀命,
1702s 在下立刻派人通知普晋。
1704s 关将军,
1705s 请。
1706s 关将军,
1715s 贫僧普晋
1719s 恭候关将军。
1721s 欢迎
1723s 拜见大师。
1724s 得知关将军
1729s 经此过关,
1731s 贫僧十分心染。
1734s 寺中
1735s 已备下靖室三间
1737s 菜饭树席。
1739s 请关将军
1741s 入内一叙。
1743s 多谢大师。
1746s 可否
1747s 先请二位嫂嫂入室歇息?
1750s 把车架引入后院静视。
1753s 是。
1755s 将军,请。
1756s 请。
1757s 大师,请。
1761s 大师,
1770s 还是卓人
1772s 先给二位嫂夫人上茶吧。
1775s 已静安排了。
1778s 多谢了。
1779s 多谢了。
1780s 听口音,
1784s 将军好像是何东谢两人。
1787s 祖居小村
1789s 浦东。
1790s 浦东村有道清水河
1793s 四北向南流。
1796s 将军
1797s 居于何东
1799s 还是何西?
1801s 在下
1802s 居于何西。
1804s 大师怎知道
1805s 哪儿有一条清水河?
1809s 贫僧
1810s 祖居何东
1812s 与将军
1814s 仅隔一小河。
1816s 原来是
1817s 请受关羽一拜。
1824s 家乡
1825s 除了将军这等英雄
1827s 贫僧
1829s 欣喜万分哪。
1832s 大师
1833s 快请关将军
1834s 法堂入宴吧。
1835s 贫僧遵命。
1837s 将军
1839s 请。
1840s 便将军。
1846s 关将军,请。
1849s 将军,请入席。
1851s 请。
1871s 请。
1872s 贫僧
1873s 你法堂作孽
1900s 就不怕血水
1901s 玷污了圣殿吗?
1904s 来人
1905s 动手!
1906s 杀!
1908s 杀!
1909s 多谢那位高僧啊
1910s 那净是原来是一件
1913s 铜墙铁壁之处
1914s 夫人进去
1955s 谁也伤害不了他们。
1960s 大师
1961s 扰乱法堂多有得罪
1963s 若二位扫夫人
1964s 就得罪了
1965s 我早就知道
1966s 将军是一个
1967s 忠义之人哪。
1971s 大师
1972s 天高地厚之恩
1974s 容
1975s 关与厚报。
1980s 我以这把年纪了
1984s 从未见将军
1986s 这般英雄。
1988s 将军
1990s 请
1992s 请
1994s 请
1995s 从未见将军这般英雄
1998s 你快快随刘皇叔
2001s 拯救天下去吧
2004s 谢大师
2039s 将军
2040s 将军
2041s 快看哪
2042s 渡口到了
2043s 过了黄河
2044s 就是袁绍的储地了
2045s 是啊
2049s 跟上
2054s 那我是谁嘛
2085s 听闻
2086s 曹丞相帐下
2087s 有一对兄弟大将
2089s 其兄下侯敦
2090s 其弟下侯渊
2092s 不知足下是哪一位
2095s 我便是下侯敦
2098s 既然知我的威名
2100s 就下马投降吧
2105s 你比颜良文丑如何
2107s 官某三日之内
2109s 连斩袁绍两元大将
2113s 颜良文丑算什么
2115s 什么
2116s 区区数倍而已
2119s 你不杀他俩还好
2121s 你杀了他俩
2123s 闹得我心痒难熬啊
2125s 早就想和你一箭高低了
2128s 匹夫
2129s 竟敢出此狂言
2131s 关羽
2135s 你别害怕
2137s 我已经下令
2139s 我这些部将
2140s 今天都不会动手
2142s 所以
2143s 只有你我
2144s 看刀
2232s 就让我杀关羽的吧
2233s 不
2234s 丞相想起来
2235s 关羽没有过路文书
2236s 丞相担心沿途关爱阻挡
2238s 特令末将飞马递送文书
2240s 这下你可以放我过关了吧
2243s 丞相知不知道
2245s 关羽在沿途过关斩将
2247s 他已经杀了我五六位部将了
2249s 这个丞相确实不知道
2252s 既然丞相不知
2253s 那我只能声起一关羽
2255s 叫丞相发落
2256s 丞相如果放他
2257s 是丞相的事
2258s 我不放
2260s 你以为我杀不了你吗
2262s 丞相他知不知道
2338s 关羽在沿途
2339s 过关斩将的事啊
2341s 丞相已经知道
2342s 丞相说
2343s 他忘了给关羽过路文品
2346s 所以不怨关羽
2350s 多谢
2354s 俗下好刀法
2358s 将军
2359s 枪法超群
2361s 运气也不错
2363s 云章
2364s 赶紧过渡吧
2372s 替我谢过丞相
2374s 就此别过
2375s 后会有期
2376s 就
2380s 将军
2383s 由此相北八十里
2385s 就是汝南郡
2386s 过了汝南郡
2387s 就是冀州的首府了
2389s 主公应该就在那里啊
2393s 如此看来
2394s 三天之后啊
2395s 就可以和兄长相会了
2398s 快
2407s 天弓将军张角
2411s 快快下马受降
2414s 匹夫
2420s 敢冒充我威名
2425s 老汉
2427s 你又是何人哪
